"","Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_hydrogen","Year"
"137","Azerbaijan","AZE",1,2023
"138","Bahrain","BHR",1,2023
"139","Bangladesh","BGD",1,2023
"140","Belarus","BLR",1,2023
"141","Belgium","BEL",1,2023
"142","Benin","BEN",1,2023
"143","Bolivia","BOL",1,2023
"144","Bosnia and Herzegovina","BIH",1,2023
"145","Botswana","BWA",1,2023
"146","Brazil","BRA",1,2023
"147","Brunei Darussalam","BRN",1,2023
"148","Bulgaria","BGR",1,2023
"149","Cambodia","KHM",1,2023
"150","Cameroon","CMR",1,2023
"151","Canada","CAN",1,2023
"152","Chile","CHL",1,2023
"153","China","CHN",1,2023
"154","Colombia","COL",1,2023
"155","Costa Rica","CRI",1,2023
"156","Croatia","HRV",1,2023
"157","Cuba","CUB",1,2023
"158","Cyprus","CYP",1,2023
"159","Denmark","DNK",1,2023
"160","Dominican Republic","DOM",1,2023
"161","Ecuador","ECU",1,2023
"162","Egypt","EGY",1,2023
"163","El Salvador","SLV",1,2023
"164","Eritrea","ERI",1,2023
"165","Estonia","EST",1,2023
"166","Ethiopia","ETH",1,2023
"167","Finland","FIN",1,2023
"168","France","FRA",1,2023
"169","Gabon","GAB",1,2023
"170","Georgia","GEO",1,2023
"171","Germany","DEU",1,2023
"172","Ghana","GHA",1,2023
"173","Gibraltar","GIB",1,2023
"174","Greece","GRC",1,2023
"175","Guatemala","GTM",1,2023
"176","Haiti","HTI",1,2023
"177","Honduras","HND",1,2023
"178","Hungary","HUN",1,2023
"179","Iceland","ISL",1,2023
"180","India","IND",1,2023
"181","Indonesia","IDN",1,2023
"182","Iraq","IRQ",1,2023
"183","Ireland","IRL",1,2023
"184","Israel","ISR",1,2023
"185","Italy","ITA",1,2023
"186","Jamaica","JAM",1,2023
"187","Japan","JPN",1,2023
"188","Jordan","JOR",1,2023
"189","Kazakhstan","KAZ",1,2023
"190","Kenya","KEN",1,2023
"191","Korea","KOR",1,2023
"192","Kosovo","XKX",1,2023
"193","Kuwait","KWT",1,2023
"194","Latvia","LVA",1,2023
"195","Lebanon","LBN",1,2023
"196","Libya","LBY",1,2023
"197","Lithuania","LTU",1,2023
"198","Luxembourg","LUX",1,2023
"199","Malaysia","MYS",1,2023
"200","Malta","MLT",1,2023
"201","Mauritius","MUS",1,2023
"202","Mexico","MEX",1,2023
"203","Mongolia","MNG",1,2023
"204","Montenegro","MNE",1,2023
"205","Morocco","MAR",1,2023
"206","Mozambique","MOZ",1,2023
"207","Myanmar","MMR",1,2023
"208","Namibia","NAM",1,2023
"209","Nepal","NPL",1,2023
"210","Netherlands","NLD",1,2023
"211","New Zealand","NZL",1,2023
"212","Nicaragua","NIC",1,2023
"213","Niger","NER",1,2023
"214","Nigeria","NGA",1,2023
"215","Norway","NOR",1,2023
"216","Oman","OMN",1,2023
"217","Pakistan","PAK",1,2023
"218","Panama","PAN",1,2023
"219","Paraguay","PRY",1,2023
"220","Peru","PER",1,2023
"221","Philippines","PHL",1,2023
"222","Poland","POL",1,2023
"223","Portugal","PRT",1,2023
"224","Qatar","QAT",1,2023
"225","Romania","ROU",1,2023
"226","Russian Federation","RUS",1,2023
"227","Saudi Arabia","SAU",1,2023
"228","Senegal","SEN",1,2023
"229","Serbia","SRB",1,2023
"230","Singapore","SGP",1,2023
"231","Slovak Republic","SVK",1,2023
"232","Slovenia","SVN",1,2023
"233","South Africa","ZAF",1,2023
"234","South Sudan","SSD",1,2023
"235","Spain","ESP",1,2023
"236","Sri Lanka","LKA",1,2023
"237","Sudan","SDN",1,2023
"238","Suriname","SUR",1,2023
"239","Sweden","SWE",1,2023
"240","Switzerland","CHE",1,2023
"241","Syrian Arab Republic","SYR",1,2023
"242","Tajikistan","TJK",1,2023
"243","Thailand","THA",1,2023
"244","Togo","TGO",1,2023
"245","Trinidad and Tobago","TTO",1,2023
"246","Tunisia","TUN",1,2023
"247","Turkey","TUR",1,2023
"248","Turkmenistan","TKM",1,2023
"249","Ukraine","UKR",1,2023
"250","United Arab Emirates","ARE",1,2023
"251","United Kingdom","GBR",1,2023
"252","United States","USA",1,2023
"253","Uruguay","URY",1,2023
"254","Uzbekistan","UZB",1,2023
"255","Venezuela","VEN",1,2023
"256","Vietnam","VNM",1,2023
"257","Zambia","ZMB",1,2023
"258","Zimbabwe","ZWE",1,2023
"259","Albania","ALB",1,2024
"260","Algeria","DZA",1,2024
"261","Angola","AGO",1,2024
"262","Argentina","ARG",1,2024
"263","Armenia","ARM",1,2024
"264","Australia","AUS",1,2024
"265","Austria","AUT",1,2024
"266","Azerbaijan","AZE",1,2024
"267","Bahrain","BHR",1,2024
"268","Bangladesh","BGD",1,2024
"269","Belarus","BLR",1,2024
"270","Belgium","BEL",1,2024
"271","Benin","BEN",1,2024
"272","Bolivia","BOL",1,2024
"273","Bosnia and Herzegovina","BIH",1,2024
"274","Botswana","BWA",1,2024
"275","Brazil","BRA",1,2024
"276","Brunei Darussalam","BRN",1,2024
"277","Bulgaria","BGR",1,2024
"278","Cambodia","KHM",1,2024
"279","Cameroon","CMR",1,2024
"280","Canada","CAN",1,2024
"281","Chile","CHL",1,2024
"282","China","CHN",1,2024
"283","Colombia","COL",1,2024
"284","Costa Rica","CRI",1,2024
"285","Croatia","HRV",1,2024
"286","Cuba","CUB",1,2024
"287","Cyprus","CYP",1,2024
"288","Denmark","DNK",1,2024
"289","Dominican Republic","DOM",1,2024
"290","Ecuador","ECU",1,2024
"291","Egypt","EGY",1,2024
"292","El Salvador","SLV",1,2024
"293","Eritrea","ERI",1,2024
"294","Estonia","EST",1,2024
"295","Ethiopia","ETH",1,2024
"296","Finland","FIN",1,2024
"297","France","FRA",1,2024
"298","Gabon","GAB",1,2024
"299","Georgia","GEO",1,2024
"300","Germany","DEU",1,2024
"301","Ghana","GHA",1,2024
"302","Gibraltar","GIB",1,2024
"303","Greece","GRC",1,2024
"304","Guatemala","GTM",1,2024
"305","Haiti","HTI",1,2024
"306","Honduras","HND",1,2024
"307","Hungary","HUN",1,2024
"308","Iceland","ISL",1,2024
"309","India","IND",1,2024
"310","Indonesia","IDN",1,2024
"311","Iraq","IRQ",1,2024
"312","Ireland","IRL",1,2024
"313","Israel","ISR",1,2024
"314","Italy","ITA",1,2024
"315","Jamaica","JAM",1,2024
"316","Japan","JPN",1,2024
"317","Jordan","JOR",1,2024
"318","Kazakhstan","KAZ",1,2024
"319","Kenya","KEN",1,2024
"320","Korea","KOR",1,2024
"321","Kosovo","XKX",1,2024
"322","Kuwait","KWT",1,2024
"323","Latvia","LVA",1,2024
"324","Lebanon","LBN",1,2024
"325","Libya","LBY",1,2024
"326","Lithuania","LTU",1,2024
"327","Luxembourg","LUX",1,2024
"328","Malaysia","MYS",1,2024
"329","Malta","MLT",1,2024
"330","Mauritius","MUS",1,2024
"331","Mexico","MEX",1,2024
"332","Mongolia","MNG",1,2024
"333","Montenegro","MNE",1,2024
"334","Morocco","MAR",1,2024
"335","Mozambique","MOZ",1,2024
"336","Myanmar","MMR",1,2024
"337","Namibia","NAM",1,2024
"338","Nepal","NPL",1,2024
"339","Netherlands","NLD",1,2024
"340","New Zealand","NZL",1,2024
"341","Nicaragua","NIC",1,2024
"342","Niger","NER",1,2024
"343","Nigeria","NGA",1,2024
"344","Norway","NOR",1,2024
"345","Oman","OMN",1,2024
"346","Pakistan","PAK",1,2024
"347","Panama","PAN",1,2024
"348","Paraguay","PRY",1,2024
"349","Peru","PER",1,2024
"350","Philippines","PHL",1,2024
"351","Poland","POL",1,2024
"352","Portugal","PRT",1,2024
"353","Qatar","QAT",1,2024
"354","Romania","ROU",1,2024
"355","Russian Federation","RUS",1,2024
"356","Saudi Arabia","SAU",1,2024
"357","Senegal","SEN",1,2024
"358","Serbia","SRB",1,2024
"359","Singapore","SGP",1,2024
"360","Slovak Republic","SVK",1,2024
"361","Slovenia","SVN",1,2024
"362","South Africa","ZAF",1,2024
"363","South Sudan","SSD",1,2024
"364","Spain","ESP",1,2024
"365","Sri Lanka","LKA",1,2024
"366","Sudan","SDN",1,2024
"367","Suriname","SUR",1,2024
"368","Sweden","SWE",1,2024
"369","Switzerland","CHE",1,2024
"370","Syrian Arab Republic","SYR",1,2024
"371","Tajikistan","TJK",1,2024
"372","Thailand","THA",1,2024
"373","Togo","TGO",1,2024
"374","Trinidad and Tobago","TTO",1,2024
"375","Tunisia","TUN",1,2024
"376","Turkey","TUR",1,2024
"377","Turkmenistan","TKM",1,2024
"378","Ukraine","UKR",1,2024
"379","United Arab Emirates","ARE",1,2024
"380","United Kingdom","GBR",1,2024
"381","United States","USA",1,2024
"382","Uruguay","URY",1,2024
"383","Uzbekistan","UZB",1,2024
"384","Venezuela","VEN",1,2024
"385","Vietnam","VNM",1,2024
"386","Zambia","ZMB",1,2024
"387","Zimbabwe","ZWE",1,2024
"388","Albania","ALB",1,2025
"389","Algeria","DZA",1,2025
"390","Angola","AGO",1,2025
"391","Argentina","ARG",1,2025
"392","Armenia","ARM",1,2025
"393","Australia","AUS",1,2025
"394","Austria","AUT",1,2025
"395","Azerbaijan","AZE",1,2025
"396","Bahrain","BHR",1,2025
"397","Bangladesh","BGD",1,2025
"398","Belarus","BLR",1,2025
"399","Belgium","BEL",1,2025
"400","Benin","BEN",1,2025
"401","Bolivia","BOL",1,2025
"402","Bosnia and Herzegovina","BIH",1,2025
"403","Botswana","BWA",1,2025
"404","Brazil","BRA",1,2025
"405","Brunei Darussalam","BRN",1,2025
"406","Bulgaria","BGR",1,2025
"407","Cambodia","KHM",1,2025
"408","Cameroon","CMR",1,2025
"409","Canada","CAN",1,2025
"410","Chile","CHL",1,2025
"411","China","CHN",1,2025
"412","Colombia","COL",1,2025
"413","Costa Rica","CRI",1,2025
"414","Croatia","HRV",1,2025
"415","Cuba","CUB",1,2025
"416","Cyprus","CYP",1,2025
"417","Denmark","DNK",1,2025
"418","Dominican Republic","DOM",1,2025
"419","Ecuador","ECU",1,2025
"420","Egypt","EGY",1,2025
"421","El Salvador","SLV",1,2025
"422","Eritrea","ERI",1,2025
"423","Estonia","EST",1,2025
"424","Ethiopia","ETH",1,2025
"425","Finland","FIN",1,2025
"426","France","FRA",1,2025
"427","Gabon","GAB",1,2025
"428","Georgia","GEO",1,2025
"429","Germany","DEU",1,2025
"430","Ghana","GHA",1,2025
"431","Gibraltar","GIB",1,2025
"432","Greece","GRC",1,2025
"433","Guatemala","GTM",1,2025
"434","Haiti","HTI",1,2025
"435","Honduras","HND",1,2025
"436","Hungary","HUN",1,2025
"437","Iceland","ISL",1,2025
"438","India","IND",1,2025
"439","Indonesia","IDN",1,2025
"440","Iraq","IRQ",1,2025
"441","Ireland","IRL",1,2025
"442","Israel","ISR",1,2025
"443","Italy","ITA",1,2025
"444","Jamaica","JAM",1,2025
"445","Japan","JPN",1,2025
"446","Jordan","JOR",1,2025
"447","Kazakhstan","KAZ",1,2025
"448","Kenya","KEN",1,2025
"449","Korea","KOR",1,2025
"450","Kosovo","XKX",1,2025
"451","Kuwait","KWT",1,2025
"452","Latvia","LVA",1,2025
"453","Lebanon","LBN",1,2025
"454","Libya","LBY",1,2025
"455","Lithuania","LTU",1,2025
"456","Luxembourg","LUX",1,2025
"457","Malaysia","MYS",1,2025
"458","Malta","MLT",1,2025
"459","Mauritius","MUS",1,2025
"460","Mexico","MEX",1,2025
"461","Mongolia","MNG",1,2025
"462","Montenegro","MNE",1,2025
"463","Morocco","MAR",1,2025
"464","Mozambique","MOZ",1,2025
"465","Myanmar","MMR",1,2025
"466","Namibia","NAM",1,2025
"467","Nepal","NPL",1,2025
"468","Netherlands","NLD",1,2025
"469","New Zealand","NZL",1,2025
"470","Nicaragua","NIC",1,2025
"471","Niger","NER",1,2025
"472","Nigeria","NGA",1,2025
"473","Norway","NOR",1,2025
"474","Oman","OMN",1,2025
"475","Pakistan","PAK",1,2025
"476","Panama","PAN",1,2025
"477","Paraguay","PRY",1,2025
"478","Peru","PER",1,2025
"479","Philippines","PHL",1,2025
"480","Poland","POL",1,2025
"481","Portugal","PRT",1,2025
"482","Qatar","QAT",1,2025
"483","Romania","ROU",1,2025
"484","Russian Federation","RUS",1,2025
"485","Saudi Arabia","SAU",1,2025
"486","Senegal","SEN",1,2025
"487","Serbia","SRB",1,2025
"488","Singapore","SGP",1,2025
"489","Slovak Republic","SVK",1,2025
"490","Slovenia","SVN",1,2025
"491","South Africa","ZAF",1,2025
"492","South Sudan","SSD",1,2025
"493","Spain","ESP",1,2025
"494","Sri Lanka","LKA",1,2025
"495","Sudan","SDN",1,2025
"496","Suriname","SUR",1,2025
"497","Sweden","SWE",1,2025
"498","Switzerland","CHE",1,2025
"499","Syrian Arab Republic","SYR",1,2025
"500","Tajikistan","TJK",1,2025
"501","Thailand","THA",1,2025
"502","Togo","TGO",1,2025
"503","Trinidad and Tobago","TTO",1,2025
"504","Tunisia","TUN",1,2025
"505","Turkey","TUR",1,2025
"506","Turkmenistan","TKM",1,2025
"507","Ukraine","UKR",1,2025
"508","United Arab Emirates","ARE",1,2025
"509","United Kingdom","GBR",1,2025
"510","United States","USA",1,2025
"511","Uruguay","URY",1,2025
"512","Uzbekistan","UZB",1,2025
"513","Venezuela","VEN",1,2025
"514","Vietnam","VNM",1,2025
"515","Zambia","ZMB",1,2025
"516","Zimbabwe","ZWE",1,2025
"517","Albania","ALB",1,2026
"518","Algeria","DZA",1,2026
"519","Angola","AGO",1,2026
"520","Argentina","ARG",1,2026
"521","Armenia","ARM",1,2026
"522","Australia","AUS",1,2026
"523","Austria","AUT",1,2026
"524","Azerbaijan","AZE",1,2026
"525","Bahrain","BHR",1,2026
"526","Bangladesh","BGD",1,2026
"527","Belarus","BLR",1,2026
"528","Belgium","BEL",1,2026
"529","Benin","BEN",1,2026
"530","Bolivia","BOL",1,2026
"531","Bosnia and Herzegovina","BIH",1,2026
"532","Botswana","BWA",1,2026
"533","Brazil","BRA",1,2026
"534","Brunei Darussalam","BRN",1,2026
"535","Bulgaria","BGR",1,2026
"536","Cambodia","KHM",1,2026
"537","Cameroon","CMR",1,2026
"538","Canada","CAN",1,2026
"539","Chile","CHL",1,2026
"540","China","CHN",1,2026
"541","Colombia","COL",1,2026
"542","Costa Rica","CRI",1,2026
"543","Croatia","HRV",1,2026
"544","Cuba","CUB",1,2026
"545","Cyprus","CYP",1,2026
"546","Denmark","DNK",1,2026
"547","Dominican Republic","DOM",1,2026
"548","Ecuador","ECU",1,2026
"549","Egypt","EGY",1,2026
"550","El Salvador","SLV",1,2026
"551","Eritrea","ERI",1,2026
"552","Estonia","EST",1,2026
"553","Ethiopia","ETH",1,2026
"554","Finland","FIN",1,2026
"555","France","FRA",1,2026
"556","Gabon","GAB",1,2026
"557","Georgia","GEO",1,2026
"558","Germany","DEU",1,2026
"559","Ghana","GHA",1,2026
"560","Gibraltar","GIB",1,2026
"561","Greece","GRC",1,2026
"562","Guatemala","GTM",1,2026
"563","Haiti","HTI",1,2026
"564","Honduras","HND",1,2026
"565","Hungary","HUN",1,2026
"566","Iceland","ISL",1,2026
"567","India","IND",1,2026
"568","Indonesia","IDN",1,2026
"569","Iraq","IRQ",1,2026
"570","Ireland","IRL",1,2026
"571","Israel","ISR",1,2026
"572","Italy","ITA",1,2026
"573","Jamaica","JAM",1,2026
"574","Japan","JPN",1,2026
"575","Jordan","JOR",1,2026
"576","Kazakhstan","KAZ",1,2026
"577","Kenya","KEN",1,2026
"578","Korea","KOR",1,2026
"579","Kosovo","XKX",1,2026
"580","Kuwait","KWT",1,2026
"581","Latvia","LVA",1,2026
"582","Lebanon","LBN",1,2026
"583","Libya","LBY",1,2026
"584","Lithuania","LTU",1,2026
"585","Luxembourg","LUX",1,2026
"586","Malaysia","MYS",1,2026
"587","Malta","MLT",1,2026
"588","Mauritius","MUS",1,2026
"589","Mexico","MEX",1,2026
"590","Mongolia","MNG",1,2026
"591","Montenegro","MNE",1,2026
"592","Morocco","MAR",1,2026
"593","Mozambique","MOZ",1,2026
"594","Myanmar","MMR",1,2026
"595","Namibia","NAM",1,2026
"596","Nepal","NPL",1,2026
"597","Netherlands","NLD",1,2026
"598","New Zealand","NZL",1,2026
"599","Nicaragua","NIC",1,2026
"600","Niger","NER",1,2026
"601","Nigeria","NGA",1,2026
"602","Norway","NOR",1,2026
"603","Oman","OMN",1,2026
"604","Pakistan","PAK",1,2026
"605","Panama","PAN",1,2026
"606","Paraguay","PRY",1,2026
"607","Peru","PER",1,2026
"608","Philippines","PHL",1,2026
"609","Poland","POL",1,2026
"610","Portugal","PRT",1,2026
"611","Qatar","QAT",1,2026
"612","Romania","ROU",1,2026
"613","Russian Federation","RUS",1,2026
"614","Saudi Arabia","SAU",1,2026
"615","Senegal","SEN",1,2026
"616","Serbia","SRB",1,2026
"617","Singapore","SGP",1,2026
"618","Slovak Republic","SVK",1,2026
"619","Slovenia","SVN",1,2026
"620","South Africa","ZAF",1,2026
"621","South Sudan","SSD",1,2026
"622","Spain","ESP",1,2026
"623","Sri Lanka","LKA",1,2026
"624","Sudan","SDN",1,2026
"625","Suriname","SUR",1,2026
"626","Sweden","SWE",1,2026
"627","Switzerland","CHE",1,2026
"628","Syrian Arab Republic","SYR",1,2026
"629","Tajikistan","TJK",1,2026
"630","Thailand","THA",1,2026
"631","Togo","TGO",1,2026
"632","Trinidad and Tobago","TTO",1,2026
"633","Tunisia","TUN",1,2026
"634","Turkey","TUR",1,2026
"635","Turkmenistan","TKM",1,2026
"636","Ukraine","UKR",1,2026
"637","United Arab Emirates","ARE",1,2026
"638","United Kingdom","GBR",1,2026
"639","United States","USA",1,2026
"640","Uruguay","URY",1,2026
"641","Uzbekistan","UZB",1,2026
"642","Venezuela","VEN",1,2026
"643","Vietnam","VNM",1,2026
"644","Zambia","ZMB",1,2026
"645","Zimbabwe","ZWE",1,2026
"646","Albania","ALB",1,2027
"647","Algeria","DZA",1,2027
"648","Angola","AGO",1,2027
"649","Argentina","ARG",1,2027
"650","Armenia","ARM",1,2027
"651","Australia","AUS",1,2027
"652","Austria","AUT",1,2027
"653","Azerbaijan","AZE",1,2027
"654","Bahrain","BHR",1,2027
"655","Bangladesh","BGD",1,2027
"656","Belarus","BLR",1,2027
"657","Belgium","BEL",1,2027
"658","Benin","BEN",1,2027
"659","Bolivia","BOL",1,2027
"660","Bosnia and Herzegovina","BIH",1,2027
"661","Botswana","BWA",1,2027
"662","Brazil","BRA",1,2027
"663","Brunei Darussalam","BRN",1,2027
"664","Bulgaria","BGR",1,2027
"665","Cambodia","KHM",1,2027
"666","Cameroon","CMR",1,2027
"667","Canada","CAN",1,2027
"668","Chile","CHL",1,2027
"669","China","CHN",1,2027
"670","Colombia","COL",1,2027
"671","Costa Rica","CRI",1,2027
"672","Croatia","HRV",1,2027
"673","Cuba","CUB",1,2027
"674","Cyprus","CYP",1,2027
"675","Denmark","DNK",1,2027
"676","Dominican Republic","DOM",1,2027
"677","Ecuador","ECU",1,2027
"678","Egypt","EGY",1,2027
"679","El Salvador","SLV",1,2027
"680","Eritrea","ERI",1,2027
"681","Estonia","EST",1,2027
"682","Ethiopia","ETH",1,2027
"683","Finland","FIN",1,2027
"684","France","FRA",1,2027
"685","Gabon","GAB",1,2027
"686","Georgia","GEO",1,2027
"687","Germany","DEU",1,2027
"688","Ghana","GHA",1,2027
"689","Gibraltar","GIB",1,2027
"690","Greece","GRC",1,2027
"691","Guatemala","GTM",1,2027
"692","Haiti","HTI",1,2027
"693","Honduras","HND",1,2027
"694","Hungary","HUN",1,2027
"695","Iceland","ISL",1,2027
"696","India","IND",1,2027
"697","Indonesia","IDN",1,2027
"698","Iraq","IRQ",1,2027
"699","Ireland","IRL",1,2027
"700","Israel","ISR",1,2027
"701","Italy","ITA",1,2027
"702","Jamaica","JAM",1,2027
"703","Japan","JPN",1,2027
"704","Jordan","JOR",1,2027
"705","Kazakhstan","KAZ",1,2027
"706","Kenya","KEN",1,2027
"707","Korea","KOR",1,2027
"708","Kosovo","XKX",1,2027
"709","Kuwait","KWT",1,2027
"710","Latvia","LVA",1,2027
"711","Lebanon","LBN",1,2027
"712","Libya","LBY",1,2027
"713","Lithuania","LTU",1,2027
"714","Luxembourg","LUX",1,2027
"715","Malaysia","MYS",1,2027
"716","Malta","MLT",1,2027
"717","Mauritius","MUS",1,2027
"718","Mexico","MEX",1,2027
"719","Mongolia","MNG",1,2027
"720","Montenegro","MNE",1,2027
"721","Morocco","MAR",1,2027
"722","Mozambique","MOZ",1,2027
"723","Myanmar","MMR",1,2027
"724","Namibia","NAM",1,2027
"725","Nepal","NPL",1,2027
"726","Netherlands","NLD",1,2027
"727","New Zealand","NZL",1,2027
"728","Nicaragua","NIC",1,2027
"729","Niger","NER",1,2027
"730","Nigeria","NGA",1,2027
"731","Norway","NOR",1,2027
"732","Oman","OMN",1,2027
"733","Pakistan","PAK",1,2027
"734","Panama","PAN",1,2027
"735","Paraguay","PRY",1,2027
"736","Peru","PER",1,2027
"737","Philippines","PHL",1,2027
"738","Poland","POL",1,2027
"739","Portugal","PRT",1,2027
"740","Qatar","QAT",1,2027
"741","Romania","ROU",1,2027
"742","Russian Federation","RUS",1,2027
"743","Saudi Arabia","SAU",1,2027
"744","Senegal","SEN",1,2027
"745","Serbia","SRB",1,2027
"746","Singapore","SGP",1,2027
"747","Slovak Republic","SVK",1,2027
"748","Slovenia","SVN",1,2027
"749","South Africa","ZAF",1,2027
"750","South Sudan","SSD",1,2027
"751","Spain","ESP",1,2027
"752","Sri Lanka","LKA",1,2027
"753","Sudan","SDN",1,2027
"754","Suriname","SUR",1,2027
"755","Sweden","SWE",1,2027
"756","Switzerland","CHE",1,2027
"757","Syrian Arab Republic","SYR",1,2027
"758","Tajikistan","TJK",1,2027
"759","Thailand","THA",1,2027
"760","Togo","TGO",1,2027
"761","Trinidad and Tobago","TTO",1,2027
"762","Tunisia","TUN",1,2027
"763","Turkey","TUR",1,2027
"764","Turkmenistan","TKM",1,2027
"765","Ukraine","UKR",1,2027
"766","United Arab Emirates","ARE",1,2027
"767","United Kingdom","GBR",1,2027
"768","United States","USA",1,2027
"769","Uruguay","URY",1,2027
"770","Uzbekistan","UZB",1,2027
"771","Venezuela","VEN",1,2027
"772","Vietnam","VNM",1,2027
"773","Zambia","ZMB",1,2027
"774","Zimbabwe","ZWE",1,2027
"775","Albania","ALB",1,2028
"776","Algeria","DZA",1,2028
"777","Angola","AGO",1,2028
"778","Argentina","ARG",1,2028
"779","Armenia","ARM",1,2028
"780","Australia","AUS",1,2028
"781","Austria","AUT",1,2028
"782","Azerbaijan","AZE",1,2028
"783","Bahrain","BHR",1,2028
"784","Bangladesh","BGD",1,2028
"785","Belarus","BLR",1,2028
"786","Belgium","BEL",1,2028
"787","Benin","BEN",1,2028
"788","Bolivia","BOL",1,2028
"789","Bosnia and Herzegovina","BIH",1,2028
"790","Botswana","BWA",1,2028
"791","Brazil","BRA",1,2028
"792","Brunei Darussalam","BRN",1,2028
