,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw
147,American Samoa,ASM,2048,5153.583333333334
148,American Samoa,ASM,2049,5153.583333333334
149,American Samoa,ASM,2050,5153.583333333334
150,Andorra,AND,2021,6256.666666666667
151,Andorra,AND,2022,6256.666666666667
152,Andorra,AND,2023,6256.666666666667
153,Andorra,AND,2024,6256.666666666667
154,Andorra,AND,2025,6256.666666666667
155,Andorra,AND,2026,6256.666666666667
156,Andorra,AND,2027,6256.666666666667
157,Andorra,AND,2028,6256.666666666667
158,Andorra,AND,2029,6256.666666666667
159,Andorra,AND,2030,6256.666666666667
160,Andorra,AND,2031,6256.666666666667
161,Andorra,AND,2032,6256.666666666667
162,Andorra,AND,2033,6256.666666666667
163,Andorra,AND,2034,6256.666666666667
164,Andorra,AND,2035,6256.666666666667
165,Andorra,AND,2036,6256.666666666667
166,Andorra,AND,2037,6256.666666666667
167,Andorra,AND,2038,6256.666666666667
168,Andorra,AND,2039,6256.666666666667
169,Andorra,AND,2040,6256.666666666667
170,Andorra,AND,2041,6256.666666666667
171,Andorra,AND,2042,6256.666666666667
172,Andorra,AND,2043,6256.666666666667
173,Andorra,AND,2044,6256.666666666667
174,Andorra,AND,2045,6256.666666666667
175,Andorra,AND,2046,6256.666666666667
176,Andorra,AND,2047,6256.666666666667
177,Andorra,AND,2048,6256.666666666667
178,Andorra,AND,2049,6256.666666666667
179,Andorra,AND,2050,6256.666666666667
180,Angola,AGO,2021,5153.583333333334
181,Angola,AGO,2022,5153.583333333334
182,Angola,AGO,2023,5153.583333333334
183,Angola,AGO,2024,5153.583333333334
184,Angola,AGO,2025,5153.583333333334
185,Angola,AGO,2026,5153.583333333334
186,Angola,AGO,2027,5153.583333333334
187,Angola,AGO,2028,5153.583333333334
188,Angola,AGO,2029,5153.583333333334
189,Angola,AGO,2030,5153.583333333334
190,Angola,AGO,2031,5153.583333333334
191,Angola,AGO,2032,5153.583333333334
192,Angola,AGO,2033,5153.583333333334
193,Angola,AGO,2034,5153.583333333334
194,Angola,AGO,2035,5153.583333333334
195,Angola,AGO,2036,5153.583333333334
196,Angola,AGO,2037,5153.583333333334
197,Angola,AGO,2038,5153.583333333334
198,Angola,AGO,2039,5153.583333333334
199,Angola,AGO,2040,5153.583333333334
200,Angola,AGO,2041,5153.583333333334
201,Angola,AGO,2042,5153.583333333334
202,Angola,AGO,2043,5153.583333333334
203,Angola,AGO,2044,5153.583333333334
204,Angola,AGO,2045,5153.583333333334
205,Angola,AGO,2046,5153.583333333334
206,Angola,AGO,2047,5153.583333333334
207,Angola,AGO,2048,5153.583333333334
208,Angola,AGO,2049,5153.583333333334
209,Angola,AGO,2050,5153.583333333334
210,Anguilla,AIA,2021,5153.583333333334
211,Anguilla,AIA,2022,5153.583333333334
212,Anguilla,AIA,2023,5153.583333333334
213,Anguilla,AIA,2024,5153.583333333334
214,Anguilla,AIA,2025,5153.583333333334
215,Anguilla,AIA,2026,5153.583333333334
216,Anguilla,AIA,2027,5153.583333333334
217,Anguilla,AIA,2028,5153.583333333334
218,Anguilla,AIA,2029,5153.583333333334
219,Anguilla,AIA,2030,5153.583333333334
220,Anguilla,AIA,2031,5153.583333333334
221,Anguilla,AIA,2032,5153.583333333334
222,Anguilla,AIA,2033,5153.583333333334
223,Anguilla,AIA,2034,5153.583333333334
224,Anguilla,AIA,2035,5153.583333333334
225,Anguilla,AIA,2036,5153.583333333334
226,Anguilla,AIA,2037,5153.583333333334
227,Anguilla,AIA,2038,5153.583333333334
228,Anguilla,AIA,2039,5153.583333333334
229,Anguilla,AIA,2040,5153.583333333334
230,Anguilla,AIA,2041,5153.583333333334
231,Anguilla,AIA,2042,5153.583333333334
232,Anguilla,AIA,2043,5153.583333333334
233,Anguilla,AIA,2044,5153.583333333334
234,Anguilla,AIA,2045,5153.583333333334
235,Anguilla,AIA,2046,5153.583333333334
236,Anguilla,AIA,2047,5153.583333333334
237,Anguilla,AIA,2048,5153.583333333334
238,Anguilla,AIA,2049,5153.583333333334
239,Anguilla,AIA,2050,5153.583333333334
240,Antarctica,ATA,2021,5153.583333333334
241,Antarctica,ATA,2022,5153.583333333334
242,Antarctica,ATA,2023,5153.583333333334
243,Antarctica,ATA,2024,5153.583333333334
244,Antarctica,ATA,2025,5153.583333333334
245,Antarctica,ATA,2026,5153.583333333334
246,Antarctica,ATA,2027,5153.583333333334
247,Antarctica,ATA,2028,5153.583333333334
248,Antarctica,ATA,2029,5153.583333333334
249,Antarctica,ATA,2030,5153.583333333334
250,Antarctica,ATA,2031,5153.583333333334
251,Antarctica,ATA,2032,5153.583333333334
252,Antarctica,ATA,2033,5153.583333333334
253,Antarctica,ATA,2034,5153.583333333334
254,Antarctica,ATA,2035,5153.583333333334
255,Antarctica,ATA,2036,5153.583333333334
256,Antarctica,ATA,2037,5153.583333333334
257,Antarctica,ATA,2038,5153.583333333334
258,Antarctica,ATA,2039,5153.583333333334
259,Antarctica,ATA,2040,5153.583333333334
260,Antarctica,ATA,2041,5153.583333333334
261,Antarctica,ATA,2042,5153.583333333334
262,Antarctica,ATA,2043,5153.583333333334
263,Antarctica,ATA,2044,5153.583333333334
264,Antarctica,ATA,2045,5153.583333333334
265,Antarctica,ATA,2046,5153.583333333334
266,Antarctica,ATA,2047,5153.583333333334
267,Antarctica,ATA,2048,5153.583333333334
268,Antarctica,ATA,2049,5153.583333333334
269,Antarctica,ATA,2050,5153.583333333334
270,Antigua and Barbuda,ATG,2021,5153.583333333334
271,Antigua and Barbuda,ATG,2022,5153.583333333334
272,Antigua and Barbuda,ATG,2023,5153.583333333334
273,Antigua and Barbuda,ATG,2024,5153.583333333334
274,Antigua and Barbuda,ATG,2025,5153.583333333334
275,Antigua and Barbuda,ATG,2026,5153.583333333334
276,Antigua and Barbuda,ATG,2027,5153.583333333334
277,Antigua and Barbuda,ATG,2028,5153.583333333334
278,Antigua and Barbuda,ATG,2029,5153.583333333334
279,Antigua and Barbuda,ATG,2030,5153.583333333334
280,Antigua and Barbuda,ATG,2031,5153.583333333334
281,Antigua and Barbuda,ATG,2032,5153.583333333334
282,Antigua and Barbuda,ATG,2033,5153.583333333334
283,Antigua and Barbuda,ATG,2034,5153.583333333334
284,Antigua and Barbuda,ATG,2035,5153.583333333334
285,Antigua and Barbuda,ATG,2036,5153.583333333334
286,Antigua and Barbuda,ATG,2037,5153.583333333334
287,Antigua and Barbuda,ATG,2038,5153.583333333334
288,Antigua and Barbuda,ATG,2039,5153.583333333334
289,Antigua and Barbuda,ATG,2040,5153.583333333334
290,Antigua and Barbuda,ATG,2041,5153.583333333334
291,Antigua and Barbuda,ATG,2042,5153.583333333334
292,Antigua and Barbuda,ATG,2043,5153.583333333334
293,Antigua and Barbuda,ATG,2044,5153.583333333334
294,Antigua and Barbuda,ATG,2045,5153.583333333334
295,Antigua and Barbuda,ATG,2046,5153.583333333334
296,Antigua and Barbuda,ATG,2047,5153.583333333334
297,Antigua and Barbuda,ATG,2048,5153.583333333334
298,Antigua and Barbuda,ATG,2049,5153.583333333334
299,Antigua and Barbuda,ATG,2050,5153.583333333334
300,Argentina,ARG,2021,5153.583333333334
301,Argentina,ARG,2022,5153.583333333334
302,Argentina,ARG,2023,5153.583333333334
303,Argentina,ARG,2024,5153.583333333334
304,Argentina,ARG,2025,5153.583333333334
305,Argentina,ARG,2026,5153.583333333334
306,Argentina,ARG,2027,5153.583333333334
307,Argentina,ARG,2028,5153.583333333334
308,Argentina,ARG,2029,5153.583333333334
309,Argentina,ARG,2030,5153.583333333334
310,Argentina,ARG,2031,5153.583333333334
311,Argentina,ARG,2032,5153.583333333334
312,Argentina,ARG,2033,5153.583333333334
313,Argentina,ARG,2034,5153.583333333334
314,Argentina,ARG,2035,5153.583333333334
315,Argentina,ARG,2036,5153.583333333334
316,Argentina,ARG,2037,5153.583333333334
317,Argentina,ARG,2038,5153.583333333334
318,Argentina,ARG,2039,5153.583333333334
319,Argentina,ARG,2040,5153.583333333334
320,Argentina,ARG,2041,5153.583333333334
321,Argentina,ARG,2042,5153.583333333334
322,Argentina,ARG,2043,5153.583333333334
323,Argentina,ARG,2044,5153.583333333334
324,Argentina,ARG,2045,5153.583333333334
325,Argentina,ARG,2046,5153.583333333334
326,Argentina,ARG,2047,5153.583333333334
327,Argentina,ARG,2048,5153.583333333334
328,Argentina,ARG,2049,5153.583333333334
329,Argentina,ARG,2050,5153.583333333334
330,Armenia,ARM,2021,4050.5
331,Armenia,ARM,2022,4050.5
332,Armenia,ARM,2023,4050.5
333,Armenia,ARM,2024,4050.5
334,Armenia,ARM,2025,4050.5
335,Armenia,ARM,2026,4050.5
336,Armenia,ARM,2027,4050.5
337,Armenia,ARM,2028,4050.5
338,Armenia,ARM,2029,4050.5
339,Armenia,ARM,2030,4050.5
340,Armenia,ARM,2031,4050.5
341,Armenia,ARM,2032,4050.5
342,Armenia,ARM,2033,4050.5
343,Armenia,ARM,2034,4050.5
344,Armenia,ARM,2035,4050.5
345,Armenia,ARM,2036,4050.5
346,Armenia,ARM,2037,4050.5
347,Armenia,ARM,2038,4050.5
348,Armenia,ARM,2039,4050.5
349,Armenia,ARM,2040,4050.5
350,Armenia,ARM,2041,4050.5
351,Armenia,ARM,2042,4050.5
352,Armenia,ARM,2043,4050.5
353,Armenia,ARM,2044,4050.5
354,Armenia,ARM,2045,4050.5
355,Armenia,ARM,2046,4050.5
356,Armenia,ARM,2047,4050.5
357,Armenia,ARM,2048,4050.5
358,Armenia,ARM,2049,4050.5
359,Armenia,ARM,2050,4050.5
360,Aruba,ABW,2021,5153.583333333334
361,Aruba,ABW,2022,5153.583333333334
362,Aruba,ABW,2023,5153.583333333334
363,Aruba,ABW,2024,5153.583333333334
364,Aruba,ABW,2025,5153.583333333334
365,Aruba,ABW,2026,5153.583333333334
366,Aruba,ABW,2027,5153.583333333334
367,Aruba,ABW,2028,5153.583333333334
368,Aruba,ABW,2029,5153.583333333334
369,Aruba,ABW,2030,5153.583333333334
370,Aruba,ABW,2031,5153.583333333334
371,Aruba,ABW,2032,5153.583333333334
372,Aruba,ABW,2033,5153.583333333334
373,Aruba,ABW,2034,5153.583333333334
374,Aruba,ABW,2035,5153.583333333334
375,Aruba,ABW,2036,5153.583333333334
376,Aruba,ABW,2037,5153.583333333334
377,Aruba,ABW,2038,5153.583333333334
378,Aruba,ABW,2039,5153.583333333334
379,Aruba,ABW,2040,5153.583333333334
380,Aruba,ABW,2041,5153.583333333334
381,Aruba,ABW,2042,5153.583333333334
382,Aruba,ABW,2043,5153.583333333334
383,Aruba,ABW,2044,5153.583333333334
384,Aruba,ABW,2045,5153.583333333334
385,Aruba,ABW,2046,5153.583333333334
386,Aruba,ABW,2047,5153.583333333334
387,Aruba,ABW,2048,5153.583333333334
388,Aruba,ABW,2049,5153.583333333334
389,Aruba,ABW,2050,5153.583333333334
390,Australia,AUS,2021,5153.583333333334
391,Australia,AUS,2022,5153.583333333334
392,Australia,AUS,2023,5153.583333333334
393,Australia,AUS,2024,5153.583333333334
394,Australia,AUS,2025,5153.583333333334
395,Australia,AUS,2026,5153.583333333334
396,Australia,AUS,2027,5153.583333333334
397,Australia,AUS,2028,5153.583333333334
398,Australia,AUS,2029,5153.583333333334
399,Australia,AUS,2030,5153.583333333334
400,Australia,AUS,2031,5153.583333333334
401,Australia,AUS,2032,5153.583333333334
402,Australia,AUS,2033,5153.583333333334
403,Australia,AUS,2034,5153.583333333334
404,Australia,AUS,2035,5153.583333333334
405,Australia,AUS,2036,5153.583333333334
406,Australia,AUS,2037,5153.583333333334
407,Australia,AUS,2038,5153.583333333334
408,Australia,AUS,2039,5153.583333333334
409,Australia,AUS,2040,5153.583333333334
410,Australia,AUS,2041,5153.583333333334
411,Australia,AUS,2042,5153.583333333334
412,Australia,AUS,2043,5153.583333333334
413,Australia,AUS,2044,5153.583333333334
414,Australia,AUS,2045,5153.583333333334
415,Australia,AUS,2046,5153.583333333334
416,Australia,AUS,2047,5153.583333333334
417,Australia,AUS,2048,5153.583333333334
418,Australia,AUS,2049,5153.583333333334
419,Australia,AUS,2050,5153.583333333334
420,Austria,AUT,2021,6256.666666666667
421,Austria,AUT,2022,6256.666666666667
422,Austria,AUT,2023,6256.666666666667
423,Austria,AUT,2024,6256.666666666667
424,Austria,AUT,2025,6256.666666666667
425,Austria,AUT,2026,6256.666666666667
426,Austria,AUT,2027,6256.666666666667
427,Austria,AUT,2028,6256.666666666667
428,Austria,AUT,2029,6256.666666666667
429,Austria,AUT,2030,6256.666666666667
430,Austria,AUT,2031,6256.666666666667
431,Austria,AUT,2032,6256.666666666667
432,Austria,AUT,2033,6256.666666666667
433,Austria,AUT,2034,6256.666666666667
434,Austria,AUT,2035,6256.666666666667
435,Austria,AUT,2036,6256.666666666667
436,Austria,AUT,2037,6256.666666666667
437,Austria,AUT,2038,6256.666666666667
438,Austria,AUT,2039,6256.666666666667
439,Austria,AUT,2040,6256.666666666667
440,Austria,AUT,2041,6256.666666666667
441,Austria,AUT,2042,6256.666666666667
442,Austria,AUT,2043,6256.666666666667
443,Austria,AUT,2044,6256.666666666667
444,Austria,AUT,2045,6256.666666666667
445,Austria,AUT,2046,6256.666666666667
446,Austria,AUT,2047,6256.666666666667
447,Austria,AUT,2048,6256.666666666667
448,Austria,AUT,2049,6256.666666666667
449,Austria,AUT,2050,6256.666666666667
450,Azerbaijan,AZE,2021,4050.5
451,Azerbaijan,AZE,2022,4050.5
452,Azerbaijan,AZE,2023,4050.5
453,Azerbaijan,AZE,2024,4050.5
454,Azerbaijan,AZE,2025,4050.5
455,Azerbaijan,AZE,2026,4050.5
456,Azerbaijan,AZE,2027,4050.5
457,Azerbaijan,AZE,2028,4050.5
458,Azerbaijan,AZE,2029,4050.5
459,Azerbaijan,AZE,2030,4050.5
460,Azerbaijan,AZE,2031,4050.5
461,Azerbaijan,AZE,2032,4050.5
462,Azerbaijan,AZE,2033,4050.5
463,Azerbaijan,AZE,2034,4050.5
464,Azerbaijan,AZE,2035,4050.5
465,Azerbaijan,AZE,2036,4050.5
466,Azerbaijan,AZE,2037,4050.5
467,Azerbaijan,AZE,2038,4050.5
468,Azerbaijan,AZE,2039,4050.5
469,Azerbaijan,AZE,2040,4050.5
470,Azerbaijan,AZE,2041,4050.5
471,Azerbaijan,AZE,2042,4050.5
472,Azerbaijan,AZE,2043,4050.5
473,Azerbaijan,AZE,2044,4050.5
474,Azerbaijan,AZE,2045,4050.5
475,Azerbaijan,AZE,2046,4050.5
476,Azerbaijan,AZE,2047,4050.5
477,Azerbaijan,AZE,2048,4050.5
478,Azerbaijan,AZE,2049,4050.5
479,Azerbaijan,AZE,2050,4050.5
480,Bahamas,BHS,2021,5153.583333333334
481,Bahamas,BHS,2022,5153.583333333334
482,Bahamas,BHS,2023,5153.583333333334
483,Bahamas,BHS,2024,5153.583333333334
484,Bahamas,BHS,2025,5153.583333333334
485,Bahamas,BHS,2026,5153.583333333334
486,Bahamas,BHS,2027,5153.583333333334
487,Bahamas,BHS,2028,5153.583333333334
488,Bahamas,BHS,2029,5153.583333333334
489,Bahamas,BHS,2030,5153.583333333334
490,Bahamas,BHS,2031,5153.583333333334
491,Bahamas,BHS,2032,5153.583333333334
492,Bahamas,BHS,2033,5153.583333333334
493,Bahamas,BHS,2034,5153.583333333334
494,Bahamas,BHS,2035,5153.583333333334
495,Bahamas,BHS,2036,5153.583333333334
496,Bahamas,BHS,2037,5153.583333333334
497,Bahamas,BHS,2038,5153.583333333334
498,Bahamas,BHS,2039,5153.583333333334
499,Bahamas,BHS,2040,5153.583333333334
500,Bahamas,BHS,2041,5153.583333333334
501,Bahamas,BHS,2042,5153.583333333334
502,Bahamas,BHS,2043,5153.583333333334
503,Bahamas,BHS,2044,5153.583333333334
504,Bahamas,BHS,2045,5153.583333333334
505,Bahamas,BHS,2046,5153.583333333334
506,Bahamas,BHS,2047,5153.583333333334
507,Bahamas,BHS,2048,5153.583333333334
508,Bahamas,BHS,2049,5153.583333333334
509,Bahamas,BHS,2050,5153.583333333334
510,Bahrain,BHR,2021,4050.5
511,Bahrain,BHR,2022,4050.5
512,Bahrain,BHR,2023,4050.5
513,Bahrain,BHR,2024,4050.5
514,Bahrain,BHR,2025,4050.5
515,Bahrain,BHR,2026,4050.5
516,Bahrain,BHR,2027,4050.5
517,Bahrain,BHR,2028,4050.5
518,Bahrain,BHR,2029,4050.5
519,Bahrain,BHR,2030,4050.5
520,Bahrain,BHR,2031,4050.5
521,Bahrain,BHR,2032,4050.5
522,Bahrain,BHR,2033,4050.5
523,Bahrain,BHR,2034,4050.5
524,Bahrain,BHR,2035,4050.5
525,Bahrain,BHR,2036,4050.5
526,Bahrain,BHR,2037,4050.5
527,Bahrain,BHR,2038,4050.5
528,Bahrain,BHR,2039,4050.5
529,Bahrain,BHR,2040,4050.5
530,Bahrain,BHR,2041,4050.5
531,Bahrain,BHR,2042,4050.5
532,Bahrain,BHR,2043,4050.5
533,Bahrain,BHR,2044,4050.5
534,Bahrain,BHR,2045,4050.5
535,Bahrain,BHR,2046,4050.5
536,Bahrain,BHR,2047,4050.5
537,Bahrain,BHR,2048,4050.5
538,Bahrain,BHR,2049,4050.5
539,Bahrain,BHR,2050,4050.5
540,Bangladesh,BGD,2021,4050.5
541,Bangladesh,BGD,2022,4050.5
542,Bangladesh,BGD,2023,4050.5
543,Bangladesh,BGD,2024,4050.5
544,Bangladesh,BGD,2025,4050.5
545,Bangladesh,BGD,2026,4050.5
546,Bangladesh,BGD,2027,4050.5
547,Bangladesh,BGD,2028,4050.5
548,Bangladesh,BGD,2029,4050.5
549,Bangladesh,BGD,2030,4050.5
550,Bangladesh,BGD,2031,4050.5
551,Bangladesh,BGD,2032,4050.5
552,Bangladesh,BGD,2033,4050.5
553,Bangladesh,BGD,2034,4050.5
554,Bangladesh,BGD,2035,4050.5
555,Bangladesh,BGD,2036,4050.5
556,Bangladesh,BGD,2037,4050.5
557,Bangladesh,BGD,2038,4050.5
558,Bangladesh,BGD,2039,4050.5
559,Bangladesh,BGD,2040,4050.5
560,Bangladesh,BGD,2041,4050.5
561,Bangladesh,BGD,2042,4050.5
562,Bangladesh,BGD,2043,4050.5
563,Bangladesh,BGD,2044,4050.5
564,Bangladesh,BGD,2045,4050.5
565,Bangladesh,BGD,2046,4050.5
566,Bangladesh,BGD,2047,4050.5
567,Bangladesh,BGD,2048,4050.5
568,Bangladesh,BGD,2049,4050.5
569,Bangladesh,BGD,2050,4050.5
570,Barbados,BRB,2021,5153.583333333334
571,Barbados,BRB,2022,5153.583333333334
572,Barbados,BRB,2023,5153.583333333334
573,Barbados,BRB,2024,5153.583333333334
574,Barbados,BRB,2025,5153.583333333334
575,Barbados,BRB,2026,5153.583333333334
576,Barbados,BRB,2027,5153.583333333334
577,Barbados,BRB,2028,5153.583333333334
578,Barbados,BRB,2029,5153.583333333334
579,Barbados,BRB,2030,5153.583333333334
580,Barbados,BRB,2031,5153.583333333334
581,Barbados,BRB,2032,5153.583333333334
582,Barbados,BRB,2033,5153.583333333334
583,Barbados,BRB,2034,5153.583333333334
584,Barbados,BRB,2035,5153.583333333334
585,Barbados,BRB,2036,5153.583333333334
586,Barbados,BRB,2037,5153.583333333334
587,Barbados,BRB,2038,5153.583333333334
588,Barbados,BRB,2039,5153.583333333334
589,Barbados,BRB,2040,5153.583333333334
590,Barbados,BRB,2041,5153.583333333334
591,Barbados,BRB,2042,5153.583333333334
592,Barbados,BRB,2043,5153.583333333334
593,Barbados,BRB,2044,5153.583333333334
594,Barbados,BRB,2045,5153.583333333334
595,Barbados,BRB,2046,5153.583333333334
596,Barbados,BRB,2047,5153.583333333334
597,Barbados,BRB,2048,5153.583333333334
598,Barbados,BRB,2049,5153.583333333334
599,Barbados,BRB,2050,5153.583333333334
600,Belarus,BLR,2021,6256.666666666667
601,Belarus,BLR,2022,6256.666666666667
602,Belarus,BLR,2023,6256.666666666667
603,Belarus,BLR,2024,6256.666666666667
604,Belarus,BLR,2025,6256.666666666667
605,Belarus,BLR,2026,6256.666666666667
606,Belarus,BLR,2027,6256.666666666667
607,Belarus,BLR,2028,6256.666666666667
608,Belarus,BLR,2029,6256.666666666667
609,Belarus,BLR,2030,6256.666666666667
610,Belarus,BLR,2031,6256.666666666667
611,Belarus,BLR,2032,6256.666666666667
612,Belarus,BLR,2033,6256.666666666667
613,Belarus,BLR,2034,6256.666666666667
614,Belarus,BLR,2035,6256.666666666667
615,Belarus,BLR,2036,6256.666666666667
616,Belarus,BLR,2037,6256.666666666667
617,Belarus,BLR,2038,6256.666666666667
618,Belarus,BLR,2039,6256.666666666667
619,Belarus,BLR,2040,6256.666666666667
620,Belarus,BLR,2041,6256.666666666667
621,Belarus,BLR,2042,6256.666666666667
622,Belarus,BLR,2043,6256.666666666667
623,Belarus,BLR,2044,6256.666666666667
624,Belarus,BLR,2045,6256.666666666667
625,Belarus,BLR,2046,6256.666666666667
626,Belarus,BLR,2047,6256.666666666667
627,Belarus,BLR,2048,6256.666666666667
628,Belarus,BLR,2049,6256.666666666667
629,Belarus,BLR,2050,6256.666666666667
630,Belgium,BEL,2021,6256.666666666667
631,Belgium,BEL,2022,6256.666666666667
