Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/03/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,1.200000048,2.700000048,5.300000191,9.300000191,17,15.10000038,19,19.60000038,19.79999924,19.89999962,20.60000038,53.09999847,68.80000305,70.80000305,83.19999695,76.5,84.09999847,69.5,99.40000153,82.59999847,47.70000076,160.6000061,165.3000031,135.6999969,199.8000031,144.8000031,143.1000061,193.867,169.602,171.582,175.496,180.432,183.493,190.831,89.026,84.219,0.013,164.4246386,159.6927835,152.319037,225.1869,207.73842,57.00954718,53.97916179,61.74997781,50.616612,168.6607136,117.7852031,
Bulgaria,BGR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,4.900000095,5.099999905,5.599999905,6.300000191,6.5,6.5,7,7.199999809,7.599999905,8.100000382,8.899999619,9,9.5,10.5,11.69999981,8,8.699999809,9.600000382,9,7.699999809,8,5.900000095,14.39999962,27.10000038,30.89999962,29.89999962,23.89999962,31.60000038,30.39999962,12.39999962,5.955,2.405,0.031,0.628,2.558,3.105,3.38,2.952,2.278,1.73,2.13518,2.29862,1.93406,1.731,1.722,1.53095,1.769247647,1.71896,1.375,1.257,1.02489,
Bahrain,BHR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,0.800000012,1,1.100000024,1.100000024,2.200000048,4,6.800000191,8.199999809,9.600000382,14,26.20000076,21.39999962,21.60000038,23.79999924,30.70000076,32.59999847,31.39999962,31.5,33.90000153,40,44.29999924,51.20000076,69.80000305,88.09999847,122.0999985,132.8000031,105.8000031,96.59999847,104.5,209.1000061,208.801,233.928,244.115,341.232,416.514,,,,,564.331,504.494,417.5829886,338.0710086,265.615452,258.367992,240.107004,387.3108131,390.39,420.98375,311.15413,191.96251,
"Bahamas, The",BHS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,1.600000024,1.899999976,1.899999976,2.099999905,3,3,3.5,0.200000003,0.300000012,0.200000003,0.200000003,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.400000006,0.400000006,0.400000006,0.400000006,0.5,1.100000024,1.5,1.598,1.764,1.637,1.644,0.59,0.571,0.561,0.568,0.586,0.489,0.073942936,0.092123115,0.120103571,0.145272,0.176256,0.17273088,0.17480365,0.173580024,0,0,0,
Bosnia and Herzegovina,BIH,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,0.5,0.576,0.507,0.512,0.527,,,,,,0,0.001339148,0.001071318,0.000781858,0.000528,0.000408,8.70E-05,,,0,0,0,
Belarus,BLR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400000095,2.400000095,2.400000095,5.199999809,2.599999905,3.5,1.799999952,1.614,1.491,1.272,1.093,1.152,1.157,1.215,1.239,1.225,1.022,1.539,1.549,1.755,1.695996,1.821996,1.807,1.266,1.9151,1.9004,2.8839,1.882857,
Belize,BLZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069925233,0.07508273,0.06083485,1.19620662,3.00429486,2.463420011,2.689022193,3.746059438,0,0,0,
Bermuda,BMU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,1.5,2.5,2.799999952,2.900000095,2.400000095,2.599999905,4.099999905,27.60000038,43.09999847,33.90000153,37.59999847,43.70000076,27.60000038,17.20000076,38,41.5,27.79999924,25.5,8.300000191,8.399999619,8.399999619,5,6.800000191,10.10000038,28.39999962,48.90000153,46.59999847,47.09999847,43,19.79999924,15.341,13.568,14.922,24.522,24.371,25.295,10.714,8.718,8.755,6.871,11.23659598,17.41246171,12.30031495,7.993202,8.780725577,9.934797486,9.008756313,9.48554382,13.7284774,22.980404,17.95563766,
Brazil,BRA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,164.1000061,180.1999969,254.3000031,316.7000122,407.1000061,460.5,471.6000061,499.2999878,571.2999878,570.5,588.2000122,644.9000244,734.7000122,692.0999756,831.7000122,909.2000122,1014.400024,1013.700012,975.7999878,1147.900024,1082,1005.299988,1143.300049,1284.300049,1468.5,1581.900024,1644.800049,1789.900024,1642.800049,1462.900024,1727.901,1467.445,1539.738,1478.37,1499.485,1530.675,1412.26,1477.828,1807.062,1782.3,1302.474648,1294.49545,1363.447091,1637.382,1596.774,1493.939,1513.832873,1736.549227,1845.64776,1521.14944,1209.70683,
Barbados,BRB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,0.200000003,0.899999976,0.899999976,0.5,0.300000012,1.299999952,,0.300000012,2.599999905,4.300000191,2.599999905,0.400000006,0.400000006,0.400000006,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,4.599999905,4.400000095,4.5,4.900000095,6,8.600000382,9.899999619,22,30,64.80000305,94.40000153,110,108.0999985,120.4000015,120.4000015,148.8999939,140.231,126.014,161.477,149.443,131.441,134.136,130.181,116.368,104.195,90.441,148.524,149.579,128.234,127.595004,115.389,115.147,124.259,132.612,129.352,122.45694,40.227,
Bhutan,BTN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0.21,0.246,0.253,0.263,0.279,0.264,0.448,0.421937732,0.483705822,0.471,0.635292,0.922884,0.538041372,0.65910068,0.530672,0.690916,0.318844,0.510072,
Botswana,BWA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.200000003,0.400000006,3.099999905,0.400000006,0.600000024,0.800000012,0.5,0.300000012,0.200000003,0.200000003,0.200000003,0.200000003,0.267,0.287,0.306,0.277,0.299,0.315,0,,,0,0.121,0.121,0.129878467,0.141492,0.107736,,,0.14564,0.113606,0.675495,0,
Central African Republic,CAF,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.800000191,7.099999905,8,8.300000191,10.80000019,11.5,13.19999981,13.10000038,14.69999981,17.20000076,18.10000038,21.10000038,21.10000038,18.79999924,17.5,18.5,16.60000038,16.39999962,16,18.10000038,17.79999924,16.20000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,370.8999939,403.5,433.3999939,484.2000122,520.2999878,534.2999878,567.7000122,550.4000244,608.5999756,670.4000244,688.5999756,713.0999756,746.5999756,825.5999756,967.2000122,989.7999878,977,1006.799988,1170.599976,1311.300049,1385.300049,1241.400024,1249.699951,1369.199951,1478.599976,1637.400024,1781,1956.5,1805.699951,1881.599976,1896.114,1709.813,1578.027,1496.297,1656.579,1526.819,1503.185,1429.845,1388.665,1346.938,1957.328536,1980,1960,1946.305597,2084.318163,2074.830881,2246.227096,2840.985135,2482,3109.043058,2306.166349,
Central Europe and the Baltics,CEB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,36,37.89999962,40.09999943,42.10000086,44,45.4000001,47.30000019,52.19999981,56.19999981,59.40000153,56.30000019,54.69999981,46.5,44,51.5,53.10000086,54.10000038,55.10000038,58.30000114,74.09999847,91.00000191,84.79999781,108.6999995,133.7000001,153.1999994,177.0999966,169.9999991,204.8000022,207.4740038,181.2190048,190.892,150.13,140.548,154.178,159.906,151.235,169.074,219.086,192.783,124.73,122.8211855,86.14205687,123.1867235,135.8910448,165.6387056,153.0474167,190.5467806,258.60434,305.88687,351.153409,154.1023018,
Switzerland,CHE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,169.1000061,181.8999939,198.1999969,236.6000061,272.2000122,285.7999878,320.8999939,350.8999939,402.5,407,421.5,453.2999878,461.2999878,540,633.5999756,636.7999878,673.9000244,734,813.5,888.7000122,928.5,944.7999878,1063.599976,1247.300049,1408.400024,1509.5,1511.300049,1829.699951,1963.400024,1877.300049,1971.647,1641.819,1028.307,1248.302,1089.934,1109.641,1039.027,1104.843,1181.567,1057.893,1282.496418,1354.590823,1371.470116,1444.374258,1508.892548,1409.329209,1532.761243,1581.35236,1841.314,1640.735,842.992,
Channel Islands,CHI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,41.09999847,46.79999924,52.70000076,46.70000076,55.20000076,57.20000076,75.69999695,105.1999969,102.0999985,85,144.8999939,153.3000031,141.6999969,120.3000031,105.4000015,114.1999969,137.1999969,186.3999939,242.8000031,329.5,418.5,428.8999939,529,616.2000122,652.5,775.4000244,806.2000122,1071.199951,1246.199951,1139.400024,1312.011,1277.282,1098.015,1130.19,1094.133,1053.819,1027.669,1294.967,1307.721,1179.048,1399.549392,1422.29934,1527.067,1512.319,1553.479,1392.236,1441.23,1237.960141,1226.44199,1232.41109,1458.39578,
China,CHN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,29.20000076,46.20000076,49,60,86,123,120.9000015,155.3999939,184.1999969,216,302,403,467.5,647.5,731.7999878,683.0999756,818.2999878,1009.5,1316,1547,1717.199951,1501,1688.599976,2083.600098,2474.199951,3295.399902,3900.08,4232.312,5013.505,5650.63,7024.25,7579.401,7692.205,11189.538,11386.055,11976.438,17193.8774,16764.869,15568.753,16053.7331,17822.581,19805.63,21304.5851,23323.6147,25256.2071,25394.5878,19264.2436,
Cote d'Ivoire,CIV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,7.199999809,8.100000382,8.399999619,10.89999962,11.60000038,13.19999981,13.19999981,14.80000019,17.29999924,18.20000076,21.39999962,21.39999962,19.10000038,17.79999924,18.39999962,16.60000038,16.29999924,15.89999962,18.10000038,17.70000076,16.10000038,15.19999981,14.30000019,14.5,15.30000019,16.5,15.30000019,13.60000038,13.80000019,12.292,7.364,,,,,,,,,15.37696396,2.708603617,0,4.563948,4.71912,0.983368073,1.202230338,5.419406667,4.160268984,9.166862,4.317833,
Cameroon,CMR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,6.800000191,4.300000191,7.400000095,8.300000191,8.5,5.699999809,5.800000191,7.800000191,8.199999809,27.70000076,31.39999962,45.70000076,43.5,55.5,56.90000153,34.79999924,36.70000076,38.29999924,19.10000038,13.10000038,9.600000382,9.300000191,21.70000076,25,38.90000153,41.59999847,34.40000153,51.59999847,46.5,42.03,36.88,42.717,20.254,22.825,24.399,29.001,26.095,25.522,23.105,0,0,0,0,,,,,0.066817,0.031566,0.024731,
"Congo, Dem. Rep.",COD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,13.69999981,17.29999924,18.89999962,24.60000038,33.90000153,44.79999924,53.5,42,37.5,41.5,34.5,38.40000153,30.70000076,28.89999962,32,30.5,31.10000038,52.5,55.29999924,59.70000076,57.29999924,33.20000076,28.5,22.10000038,43.09999847,,,,,,,7.400000095,,,,,,,,,0,0,0.206531325,0.081984,0.084444,0.085839769,0.058456882,0.228606,0.915105,0.7512,0.962586879,
"Congo, Rep.",COG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,7.300000191,8.199999809,8.5,11.10000038,11.80000019,13.5,13.39999962,15.10000038,17.5,18.39999962,21.39999962,21.5,20.20000076,19,20,17.70000076,16.89999962,16.5,18.60000038,18.39999962,16.79999924,15.80000019,14.89999962,15.10000038,16,17.20000076,15.60000038,13.80000019,13.69999981,12.273,7.364,0,0,,,,,,,1.86657368,1.434880584,1.597815205,2.384004,1.992936,4.366939373,4.524110899,4.597160619,4.597160619,4.151108743,1.437077376,
Colombia,COL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,74.69999695,81.59999847,86.30000305,104.4000015,120,121.9000015,149.6000061,171.8999939,206.3999939,183.1000061,147.3999939,204,307.2000122,292.5,381.2000122,375.7000122,391.6000061,398.2999878,403.2999878,395.2999878,463.7000122,526.0999756,527.7999878,492.1000061,565.7999878,498.3999939,311.2000122,812,790.2000122,636.9000244,600.616,610.878,538.757,645.778,1113.899,1092.492,1051.293,1070.449,1099.545,2419.933,954.6601389,968.1603585,918.3240916,1222.156867,1315.403956,1316.795809,1142.854709,1273.568638,1350.008974,1547.674684,1496.604491,
Comoros,COM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.200000003,0.200000003,0.200000003,0.300000012,0.300000012,0.300000012,0.400000006,0.400000006,0.300000012,0.5,0.5,0.5,0.600000024,0.699999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.600000024,0.400000006,0.600000024,0.64,0.366,0.368,0.406,0.834,1.506,1.79,1.611,1.574,1.426,1.641,1.955489972,2.179387385,1.941924,1.882368,,,,0.048636,0.049965,0.031316,
Costa Rica,CRI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,9.300000191,9.199999809,8.600000382,8.100000382,9.199999809,8.899999619,13.19999981,18.29999924,18.89999962,22,22.39999962,20.89999962,21.5,21,24,25.29999924,24.79999924,30,33.09999847,32.70000076,38.70000076,36.09999847,36.20000076,37.90000153,43.40000153,43.79999924,44.90000153,54.5,90.5,84.80000305,79.005,22.948,12.506,9.735,10.173,10.351,10.04,10.241,10.63,9.099,15.69771205,16.86723424,15.744,13.537781,11.81829739,9.28416,6.027344,10.552031,11.13032,10.8,1.613892,
Caribbean small states,CSS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,13.39999986,17.20000029,21.40000033,19.70000052,28.9999994,32.80000001,38.09999961,41.50000001,34.69999999,40.10000056,34.89999992,26.39999944,22.09999996,29.7000002,41.80000054,45.80000024,46.89999954,52.90000049,59.69999973,48.89999883,52.19999902,54.80000131,55.09999849,43.30000006,84.40000115,85.99999724,76.39999805,73.99999996,104.2999988,119.9000001,108.797,99.33,118.334,109.331,108.483,91.545,88.815,90.58,94.014,116.23,43.3658556,43.01739496,44.26515082,77.05199862,,70.10195896,52.44771965,67.69328846,79.31978221,79.79366452,,
