"iso_code3","frac_waso_isw_incinerated_recovered_for_energy","Year"
"DZA",0.0374438172482641,2022
"DZA",0.0374438172482641,2023
"DZA",0.0374438172482641,2024
"DZA",0.0374438172482641,2025
"DZA",0.0374438172482641,2026
"DZA",0.0374438172482641,2027
"DZA",0.0374438172482641,2028
"DZA",0.0374438172482641,2029
"DZA",0.0374438172482641,2030
"DZA",0.0374438172482641,2031
"DZA",0.0374438172482641,2032
"DZA",0.0374438172482641,2033
"DZA",0.0374438172482641,2034
"DZA",0.0374438172482641,2035
"DZA",0.0374438172482641,2036
"DZA",0.0374438172482641,2037
"DZA",0.0374438172482641,2038
"DZA",0.0374438172482641,2039
"DZA",0.0374438172482641,2040
"DZA",0.0374438172482641,2041
"DZA",0.0374438172482641,2042
"DZA",0.0374438172482641,2043
"DZA",0.0374438172482641,2044
"DZA",0.0374438172482641,2045
"DZA",0.0374438172482641,2046
"DZA",0.0374438172482641,2047
"DZA",0.0374438172482641,2048
"DZA",0.0374438172482641,2049
"DZA",0.0374438172482641,2050
"ECU",0.0330740775181832,2021
"ECU",0.0330740775181832,2022
"ECU",0.0330740775181832,2023
"ECU",0.0330740775181832,2024
"ECU",0.0330740775181832,2025
"ECU",0.0330740775181832,2026
"ECU",0.0330740775181832,2027
"ECU",0.0330740775181832,2028
"ECU",0.0330740775181832,2029
"ECU",0.0330740775181832,2030
"ECU",0.0330740775181832,2031
"ECU",0.0330740775181832,2032
"ECU",0.0330740775181832,2033
"ECU",0.0330740775181832,2034
"ECU",0.0330740775181832,2035
"ECU",0.0330740775181832,2036
"ECU",0.0330740775181832,2037
"ECU",0.0330740775181832,2038
"ECU",0.0330740775181832,2039
"ECU",0.0330740775181832,2040
"ECU",0.0330740775181832,2041
"ECU",0.0330740775181832,2042
"ECU",0.0330740775181832,2043
"ECU",0.0330740775181832,2044
"ECU",0.0330740775181832,2045
"ECU",0.0330740775181832,2046
"ECU",0.0330740775181832,2047
"ECU",0.0330740775181832,2048
"ECU",0.0330740775181832,2049
"ECU",0.0330740775181832,2050
"EGY",0.0465802171637107,2021
"EGY",0.0465802171637107,2022
"EGY",0.0465802171637107,2023
"EGY",0.0465802171637107,2024
"EGY",0.0465802171637107,2025
"EGY",0.0465802171637107,2026
"EGY",0.0465802171637107,2027
"EGY",0.0465802171637107,2028
"EGY",0.0465802171637107,2029
"EGY",0.0465802171637107,2030
"EGY",0.0465802171637107,2031
"EGY",0.0465802171637107,2032
"EGY",0.0465802171637107,2033
"EGY",0.0465802171637107,2034
"EGY",0.0465802171637107,2035
"EGY",0.0465802171637107,2036
"EGY",0.0465802171637107,2037
"EGY",0.0465802171637107,2038
"EGY",0.0465802171637107,2039
"EGY",0.0465802171637107,2040
"EGY",0.0465802171637107,2041
"EGY",0.0465802171637107,2042
"EGY",0.0465802171637107,2043
"EGY",0.0465802171637107,2044
"EGY",0.0465802171637107,2045
