Year,prodinit_ippu_mining_tonne,iso_code3
2034,30612782.543556,"ARE"
2035,33372130.0155756,"ARE"
2036,36380197.0693747,"ARE"
2037,39659402.5670168,"ARE"
2038,43234186.1417997,"ARE"
2039,47131190.3447158,"ARE"
2040,51379459.2090677,"ARE"
2041,56010654.7131208,"ARE"
2042,61059292.7540735,"ARE"
2043,66563000.3920361,"ARE"
2044,72562796.281236,"ARE"
2045,79103396.3784802,"ARE"
2046,86233547.2072904,"ARE"
2047,94006389.1615022,"ARE"
2048,102479852.555998,"ARE"
2049,111717089.376303,"ARE"
2050,121786943.944841,"ARE"
2021,24675960,"ARG"
2022,21406265.4279549,"ARG"
2023,18569822.5954353,"ARG"
2024,16109223.3667068,"ARG"
2025,13974666.4861647,"ARG"
2026,12122949.6266807,"ARG"
2027,10516594.9968493,"ARG"
2028,9123090.80987565,"ARG"
2029,7914233.26182788,"ARG"
2030,6865555.70123461,"ARG"
2031,5955833.43671481,"ARG"
2032,5166654.16020314,"ARG"
2033,4482045.29135871,"ARG"
2034,3888150.70080111,"ARG"
2035,3372950.26921901,"ARG"
2036,2926016.60637293,"ARG"
2037,2538304.00611051,"ARG"
2038,2201965.36595306,"ARG"
2039,1910193.36580036,"ARG"
2040,1657082.69129311,"ARG"
2041,1437510.51330486,"ARG"
2042,1247032.80453038,"ARG"
2043,1081794.39467175,"ARG"
2044,938450.943785667,"ARG"
2045,814101.254572904,"ARG"
2046,706228.553645681,"ARG"
2047,612649.553336128,"ARG"
2048,531470.263083227,"ARG"
2049,461047.656043558,"ARG"
2050,399956.415077868,"ARG"
2021,27199640,"ARM"
2022,34283843.9665159,"ARM"
2023,43213143.8916254,"ARM"
2024,54468098.9337759,"ARM"
2025,68654430.904171,"ARM"
2026,86535623.1453265,"ARM"
2027,109074009.856733,"ARM"
2028,137482567.222598,"ARM"
2029,173290193.648724,"ARM"
2030,218423992.375642,"ARM"
2031,275312984.772959,"ARM"
2032,347018835.981355,"ARM"
2033,437400628.325477,"ARM"
2034,551322550.31194,"ARM"
2035,694915678.667666,"ARM"
2036,875907942.065696,"ARM"
2037,1104040024.60372,"ARM"
2038,1391589592.22631,"ARM"
2039,1754032055.0314,"ARM"
2040,2210873426.52197,"ARM"
2041,2786700102.81737,"ARM"
2042,3512502059.08846,"ARM"
2043,4427340675.31242,"ARM"
2044,5580450950.78539,"ARM"
2045,7033891244.86654,"ARM"
2046,8865883148.32281,"ARM"
2047,11175021231.2539,"ARM"
2048,14085579228.799,"ARM"
2049,17754198234.1731,"ARM"
2050,22378316845.7738,"ARM"
2021,0,"ASM"
2022,NA,"ASM"
2023,NA,"ASM"
2024,NA,"ASM"
2025,NA,"ASM"
2026,NA,"ASM"
2027,NA,"ASM"
2028,NA,"ASM"
2029,NA,"ASM"
2030,NA,"ASM"
2031,NA,"ASM"
2032,NA,"ASM"
2033,NA,"ASM"
2034,NA,"ASM"
2035,NA,"ASM"
2036,NA,"ASM"
2037,NA,"ASM"
2038,NA,"ASM"
2039,NA,"ASM"
2040,NA,"ASM"
2041,NA,"ASM"
2042,NA,"ASM"
2043,NA,"ASM"
2044,NA,"ASM"
2045,NA,"ASM"
2046,NA,"ASM"
2047,NA,"ASM"
2048,NA,"ASM"
2049,NA,"ASM"
2050,NA,"ASM"
2021,0,"ATG"
2022,0,"ATG"
2023,0,"ATG"
2024,0,"ATG"
2025,0,"ATG"
2026,0,"ATG"
2027,0,"ATG"
2028,0,"ATG"
2029,0,"ATG"
2030,0,"ATG"
2031,0,"ATG"
2032,0,"ATG"
2033,0,"ATG"
2034,0,"ATG"
2035,0,"ATG"
2036,0,"ATG"
2037,0,"ATG"
2038,0,"ATG"
2039,0,"ATG"
2040,0,"ATG"
2041,0,"ATG"
2042,0,"ATG"
2043,0,"ATG"
2044,0,"ATG"
2045,0,"ATG"
2046,0,"ATG"
2047,0,"ATG"
2048,0,"ATG"
2049,0,"ATG"
2050,0,"ATG"
2021,2457095000,"AUS"
2022,2470692680.68772,"AUS"
2023,2484365611.58762,"AUS"
2024,2498114209.13795,"AUS"
2025,2511938892.08156,"AUS"
2026,2525840081.47863,"AUS"
2027,2539818200.71952,"AUS"
2028,2553873675.53764,"AUS"
2029,2568006934.02246,"AUS"
2030,2582218406.63247,"AUS"
2031,2596508526.20837,"AUS"
2032,2610877727.98621,"AUS"
2033,2625326449.61067,"AUS"
2034,2639855131.14835,"AUS"
2035,2654464215.10123,"AUS"
2036,2669154146.4201,"AUS"
2037,2683925372.51813,"AUS"
2038,2698778343.28449,"AUS"
2039,2713713511.09807,"AUS"
2040,2728731330.84125,"AUS"
2041,2743832259.91374,"AUS"
2042,2759016758.24652,"AUS"
2043,2774285288.31585,"AUS"
2044,2789638315.15737,"AUS"
2045,2805076306.38024,"AUS"
2046,2820599732.18138,"AUS"
2047,2836209065.35982,"AUS"
2048,2851904781.33107,"AUS"
2049,2867687358.14163,"AUS"
2050,2883557276.4835,"AUS"
2021,12849400,"AUT"
2022,12575359.368519,"AUT"
2023,12307163.2331003,"AUT"
2024,12044686.9475042,"AUT"
2025,11787808.5238357,"AUT"
2026,11536408.5758499,"AUT"
2027,11290370.2634658,"AUT"
2028,11049579.2384643,"AUT"
2029,10813923.5913439,"AUT"
2030,10583293.7993101,"AUT"
2031,10357582.6753735,"AUT"
2032,10136685.3185338,"AUT"
2033,9920499.06502658,"AUT"
2034,9708923.44060936,"AUT"
2035,9501860.11386529,"AUT"
2036,9299212.85050298,"AUT"
2037,9100887.46863082,"AUT"
2038,8906791.79498527,"AUT"
2039,8716835.62209257,"AUT"
2040,8530930.6663441,"AUT"
2041,8348990.52696595,"AUT"
2042,8170930.64586344,"AUT"
2043,7996668.26832209,"AUT"
2044,7826122.40454673,"AUT"
2045,7659213.79202089,"AUT"
2046,7495864.85866887,"AUT"
2047,7335999.68680358,"AUT"
2048,7179543.97784316,"AUT"
2049,7026425.01778014,"AUT"
2050,6876571.64338707,"AUT"
2021,767223.1,"AZE"
2022,964100.834390148,"AZE"
2023,1211499.52194059,"AZE"
2024,1522383.38491918,"AZE"
2025,1913043.40505686,"AZE"
2026,2403951.00595888,"AZE"
2027,3020830.79964354,"AZE"
2028,3796008.6114297,"AZE"
2029,4770105.42257077,"AZE"
2030,5994165.99686512,"AZE"
2031,7532333.73584648,"AZE"
2032,9465211.93070783,"AZE"
2033,11894087.5477746,"AZE"
2034,14946238.8829519,"AZE"
2035,18781605.2176328,"AZE"
2036,23601167.9803517,"AZE"
2037,29657482.6050455,"AZE"
2038,37267912.9779013,"AZE"
2039,46831261.9862124,"AZE"
2040,58848669.6457015,"AZE"
2041,73949873.9130391,"AZE"
2042,92926210.306503,"AZE"
2043,116772079.585734,"AZE"
2044,146737056.48602,"AZE"
2045,184391370.116627,"AZE"
2046,231708187.336621,"AZE"
2047,291167010.93367,"AZE"
2048,365883610.892369,"AZE"
2049,459773297.429409,"AZE"
2050,577756091.653135,"AZE"
2021,1234146,"BDI"
2022,1987801.72517664,"BDI"
2023,3201692.26219203,"BDI"
2024,5156869.12429326,"BDI"
2025,8306013.50389687,"BDI"
2026,13378245.3391954,"BDI"
2027,21547936.1154103,"BDI"
2028,34706610.5502984,"BDI"
2029,55900890.4351002,"BDI"
2030,90037877.5653794,"BDI"
2031,145021292.744703,"BDI"
2032,233581420.597943,"BDI"
2033,376222546.468409,"BDI"
2034,605970304.097128,"BDI"
2035,976018085.291438,"BDI"
2036,1572042881.26844,"BDI"
2037,2532042036.70966,"BDI"
2038,4078283710.9963,"BDI"
2039,6568768522.10213,"BDI"
2040,10580117263.6954,"BDI"
2041,17041075650.1621,"BDI"
2042,27447546381.2693,"BDI"
2043,44208934800.7067,"BDI"
2044,71205997398.2548,"BDI"
2045,114689351560.654,"BDI"
2046,184726678117.223,"BDI"
2047,297533686814.661,"BDI"
2048,479228532076.715,"BDI"
2049,771878937188.927,"BDI"
2050,1243242114767.35,"BDI"
2021,41945360,"BEL"
2022,41196277.5384683,"BEL"
2023,40460572.5883985,"BEL"
2024,39738006.2471035,"BEL"
2025,39028343.878347,"BEL"
2026,38331355.0361509,"BEL"
2027,37646813.3899634,"BEL"
2028,36974496.6511637,"BEL"
2029,36314186.5008789,"BEL"
2030,35665668.5190902,"BEL"
2031,35028732.1150051,"BEL"
2032,34403170.4586731,"BEL"
2033,33788780.4138224,"BEL"
2034,33185362.4718965,"BEL"
2035,32592720.6872683,"BEL"
2036,32010662.6136116,"BEL"
2037,31438999.2414087,"BEL"
2038,30877544.9365738,"BEL"
2039,30326117.3801732,"BEL"
2040,29784537.5092211,"BEL"
2041,29252629.4585334,"BEL"
2042,28730220.5036198,"BEL"
2043,28217141.0045954,"BEL"
2044,27713224.351094,"BEL"
2045,27218306.9081659,"BEL"
2046,26732227.9631409,"BEL"
2047,26254829.6734407,"BEL"
2048,25785957.0153237,"BEL"
2049,25325457.733544,"BEL"
2050,24873182.2919109,"BEL"
2021,40087,"BEN"
2022,1340230.03738143,"BEN"
2023,44807956.5220503,"BEN"
2024,1498065937.69883,"BEN"
2025,50084889557.2616,"BEN"
2026,1674489819731.42,"BEN"
2027,55983275218736,"BEN"
2028,1871690748600329,"BEN"
2029,62576300595282632,"BEN"
2030,2092115590740320768,"BEN"
2031,69945771855817908224,"BEN"
2032,2.33849937458517e+21,"BEN"
2033,7.81831292991927e+22,"BEN"
2034,2.61389922676314e+24,"BEN"
2035,8.73905819441729e+25,"BEN"
2036,2.92173230488247e+27,"BEN"
2037,9.76823757375501e+28,"BEN"
2038,3.26581819757636e+30,"BEN"
2039,1.0918621111629e+32,"BEN"
2040,3.65042631790661e+33,"BEN"
2041,1.22044827512813e+35,"BEN"
2042,4.08032887818264e+36,"BEN"
2043,1.36417774463922e+38,"BEN"
2044,4.56086010350672e+39,"BEN"
2045,1.52483391299281e+41,"BEN"
2046,5.09798241876625e+42,"BEN"
2047,1.70441019973382e+44,"BEN"
2048,5.69836043032042e+45,"BEN"
2049,1.90513478497797e+47,"BEN"
2050,6.36944362034498e+48,"BEN"
2021,2553422,"BFA"
2022,6023908.68801231,"BFA"
2023,14211311.675669,"BFA"
2024,33526633.6199475,"BFA"
2025,79094399.414984,"BFA"
2026,186595650.781202,"BFA"
2027,440207361.684121,"BFA"
2028,1038515744.97907,"BFA"
2029,2450015711.78482,"BFA"
2030,5779957614.5217,"BFA"
2031,13635794197.1441,"BFA"
2032,32168900844.4842,"BFA"
2033,75891302448.5944,"BFA"
2034,179039060587.971,"BFA"
2035,422380222528.606,"BFA"
2036,996458827461.597,"BFA"
2037,2350797082500.45,"BFA"
2038,5545885861807.59,"BFA"
2039,13083583530520,"BFA"
2040,30866152363312.5,"BFA"
2041,72817921748488.8,"BFA"
2042,171788490685724,"BFA"
2043,405275031523287,"BFA"
2044,956105094820829,"BFA"
2045,2255596523936907,"BFA"
2046,5321293345633388,"BFA"
2047,12553735816572060,"BFA"
2048,29616161469768704,"BFA"
2049,69869004176871320,"BFA"
2050,164831548127894080,"BFA"
2021,5714965,"BGD"
2022,6613025.30022897,"BGD"
2023,7652208.47747422,"BGD"
2024,8854690.84485445,"BGD"
2025,10246133.5428525,"BGD"
2026,11856230.1516122,"BGD"
2027,13719340.3560563,"BGD"
2028,15875223.1863279,"BGD"
2029,18369885.4810079,"BGD"
2030,21256563.67943,"BGD"
2031,24596859.8946798,"BGD"
2032,28462056.5112306,"BGD"
2033,32934637.3609138,"BGD"
2034,38110047.9393293,"BGD"
2035,44098732.2259583,"BGD"
2036,51028489.5740017,"BGD"
2037,59047201.9663014,"BGD"
2038,68325989.8373622,"BGD"
2039,79062863.8071561,"BGD"
2040,91486950.2552125,"BGD"
2041,105863380.909334,"BGD"
2042,122498950.793434,"BGD"
2043,141748665.2759,"BGD"
2044,164023315.933381,"BGD"
2045,189798246.900007,"BGD"
2046,219623498.777132,"BGD"
2047,254135546.576047,"BGD"
2048,294070882.182991,"BGD"
2049,340281731.198139,"BGD"
2050,393754239.548099,"BGD"
2021,39387680,"BGR"
2022,41175460.9647595,"BGR"
2023,43044388.1350826,"BGR"
2024,44998144.6840242,"BGR"
2025,47040580.9614488,"BGR"
2026,49175722.082076,"BGR"
2027,51407775.8579429,"BGR"
2028,53741141.0909155,"BGR"
2029,56180416.2415918,"BGR"
2030,58730408.4916807,"BGR"
2031,61396143.2177162,"BGR"
2032,64182873.8947776,"BGR"
2033,67096092.4497328,"BGR"
2034,70141540.0844088,"BGR"
2035,73325218.5900181,"BGR"
2036,76653402.1751407,"BGR"
2037,80132649.8305692,"BGR"
2038,83769818.2553869,"BGR"
2039,87572075.3697522,"BGR"
2040,91546914.4410181,"BGR"
2041,95702168.8510295,"BGR"
2042,100046027.533695,"BGR"
2043,104587051.113265,"BGR"
2044,109334188.775108,"BGR"
2045,114296795.902249,"BGR"
2046,119484652.512413,"BGR"
2047,124907982.531917,"BGR"
2048,130577473.944385,"BGR"
2049,136504299.854014,"BGR"
2050,142700140.504868,"BGR"
2021,13891610,"BHR"
2022,14925184.102617,"BHR"
2023,16035658.9694796,"BHR"
2024,17228756.2295705,"BHR"
2025,18510623.2168518,"BHR"
2026,19887864.6438886,"BHR"
2027,21367576.6320798,"BHR"
2028,22957383.2738299,"BHR"
2029,24665475.9150489,"BHR"
2030,26500655.3603773,"BHR"
2031,28472377.2185971,"BHR"
2032,30590800.621866,"BHR"
2033,32866840.5697973,"BHR"
2034,35312224.1680832,"BHR"
2035,37939551.0514278,"BHR"
2036,40762358.3021116,"BHR"
2037,43795190.1986778,"BHR"
2038,47053673.1541121,"BHR"
2039,50554596.2296301,"BHR"
2040,54315997.6389128,"BHR"
2041,58357257.6884958,"BHR"
2042,62699198.6331795,"BHR"
2043,67364191.9609576,"BHR"
2044,72376273.6602399,"BHR"
2045,77761268.063275,"BHR"
2046,83546920.9038645,"BHR"
2047,89763042.2749387,"BHR"
2048,96441660.2225699,"BHR"
2049,103617185.767805,"BHR"
2050,111326590.206575,"BHR"
2021,467657.5,"BHS"
2022,15192772.9841847,"BHS"
2023,493567089.053359,"BHS"
2024,16034496905.2192,"BHS"
2025,520912144885.107,"BHS"
2026,16922854785701.4,"BHS"
2027,549772196540169,"BHS"
2028,17860430282955656,"BHS"
2029,580231179204444160,"BHS"
2030,18849950196455505920,"BHS"
2031,6.12377678317862e+20,"BHS"
2032,1.98942923983157e+22,"BHS"
2033,6.46305187212012e+23,"BHS"
2034,2.09964942031574e+25,"BHS"
2035,6.82112379021655e+26,"BHS"
2036,2.21597612016874e+28,"BHS"
2037,7.19903393660916e+29,"BHS"
2038,2.33874765836845e+31,"BHS"
2039,7.59788140698808e+32,"BHS"
2040,2.46832109775054e+34,"BHS"
2041,8.01882619014931e+35,"BHS"
2042,2.6050732834729e+37,"BHS"
2043,8.46309254165032e+38,"BHS"
2044,2.74940193901391e+40,"BHS"
2045,8.93197254437605e+41,"BHS"
2046,2.9017268228923e+43,"BHS"
2047,9.42682986637061e+44,"BHS"
2048,3.06249094947265e+46,"BHS"
2049,9.94910372686381e+47,"BHS"
2050,3.23216187740702e+49,"BHS"
2021,835447.7,"BIH"
2022,813276.638061725,"BIH"
2023,791693.950461509,"BIH"
2024,770684.022955766,"BIH"
2025,750231.655670786,"BIH"
2026,730322.052106216,"BIH"
2027,710940.808430358,"BIH"
2028,692073.903059553,"BIH"
2029,673707.686514104,"BIH"
2030,655828.871543405,"BIH"
2031,638424.523513124,"BIH"
2032,621482.051047494,"BIH"
2033,604989.19691994,"BIH"
2034,588934.029185444,"BIH"
2035,573304.932548242,"BIH"
2036,558090.599958606,"BIH"
2037,543280.024432632,"BIH"
2038,528862.491089104,"BIH"
2039,514827.569397696,"BIH"
2040,501165.105632881,"BIH"
2041,487865.215528104,"BIH"
2042,474918.277124894,"BIH"
2043,462314.923811748,"BIH"
2044,450046.03754775,"BIH"
2045,438102.742266014,"BIH"
2046,426476.3974522,"BIH"
2047,415158.591893426,"BIH"
2048,404141.137593083,"BIH"
2049,393416.063847137,"BIH"
2050,382975.611477626,"BIH"
2021,590013.3,"BLR"
2022,739107.519928738,"BLR"
2023,925877.308215273,"BLR"
2024,1159843.14427028,"BLR"
2025,1452931.29810457,"BLR"
2026,1820081.76488379,"BLR"
2027,2280009.82233922,"BLR"
2028,2856160.0309727,"BLR"
2029,3577901.3066516,"BLR"
2030,4482023.98371198,"BLR"
2031,5614615.18047557,"BLR"
2032,7033408.06282764,"BLR"
2033,8810724.75817635,"BLR"
2034,11037162.9330906,"BLR"
2035,13826213.9557294,"BLR"
2036,17320048.0511597,"BLR"
2037,21696761.3444294,"BLR"
2038,27179454.2051288,"BLR"
2039,34047603.6566794,"BLR"
2040,42651309.5521828,"BLR"
2041,53429140.7072125,"BLR"
2042,66930490.6856022,"BLR"
2043,83843582.8111822,"BLR"
2044,105030551.944359,"BLR"
2045,131571391.296335,"BLR"
2046,164819004.443811,"BLR"
2047,206468168.78804,"BLR"
2048,258641925.829734,"BLR"
2049,323999801.952952,"BLR"
2050,405873376.208381,"BLR"
2021,0,"BLZ"
2022,0,"BLZ"
2023,0,"BLZ"
2024,0,"BLZ"
2025,0,"BLZ"
2026,0,"BLZ"
2027,0,"BLZ"
2028,0,"BLZ"
2029,0,"BLZ"
2030,0,"BLZ"
2031,0,"BLZ"
2032,0,"BLZ"
2033,0,"BLZ"
2034,0,"BLZ"
2035,0,"BLZ"
2036,0,"BLZ"
2037,0,"BLZ"
2038,0,"BLZ"
2039,0,"BLZ"
2040,0,"BLZ"
2041,0,"BLZ"
2042,0,"BLZ"
2043,0,"BLZ"
2044,0,"BLZ"
2045,0,"BLZ"
2046,0,"BLZ"
2047,0,"BLZ"
2048,0,"BLZ"
2049,0,"BLZ"
2050,0,"BLZ"
2021,1695.619,"BMU"
2022,Inf,"BMU"
2023,Inf,"BMU"
2024,Inf,"BMU"
2025,Inf,"BMU"
2026,Inf,"BMU"
2027,Inf,"BMU"
2028,Inf,"BMU"
2029,Inf,"BMU"
2030,Inf,"BMU"
2031,Inf,"BMU"
2032,Inf,"BMU"
2033,Inf,"BMU"
2034,Inf,"BMU"
2035,Inf,"BMU"
2036,Inf,"BMU"
2037,Inf,"BMU"
2038,Inf,"BMU"
2039,Inf,"BMU"
2040,Inf,"BMU"
2041,Inf,"BMU"
2042,Inf,"BMU"
2043,Inf,"BMU"
2044,Inf,"BMU"
2045,Inf,"BMU"
2046,Inf,"BMU"
2047,Inf,"BMU"
2048,Inf,"BMU"
2049,Inf,"BMU"
2050,Inf,"BMU"
2021,33303610,"BOL"
2022,35376606.442635,"BOL"
2023,37578637.3728578,"BOL"
2024,39917734.5936397,"BOL"
2025,42402429.8507203,"BOL"
2026,45041785.9517443,"BOL"
2027,47845429.8224205,"BOL"
2028,50823587.6202754,"BOL"
2029,53987122.0340756,"BOL"
2030,57347571.9049676,"BOL"
2031,60917194.3138521,"BOL"
2032,64709009.2885026,"BOL"
2033,68736847.2934966,"BOL"
2034,73015399.6761771,"BOL"
2035,77560272.2526421,"BOL"
2036,82388042.229216,"BOL"
2037,87516318.6670204,"BOL"
2038,92963806.7101857,"BOL"
2039,98750375.8119744,"BOL"
2040,104897132.207665,"BOL"
2041,111426495.898541,"BOL"
2042,118362282.427778,"BOL"
2043,125729789.746502,"BOL"
2044,133555890.486865,"BOL"
2045,141869129.978686,"BOL"
2046,150699830.367189,"BOL"
2047,160080201.211577,"BOL"
2048,170044456.967871,"BOL"
2049,180628941.784508,"BOL"
2050,191872262.065889,"BOL"
2021,1363159000,"BRA"
2022,1284544013.03291,"BRA"
2023,1210462845.067,"BRA"
2024,1140654025.4142,"BRA"
2025,1074871162.70934,"BRA"
2026,1012882075.26781,"BRA"
2027,954467971.596575,"BRA"
2028,899422678.165968,"BRA"
2029,847551911.716915,"BRA"
2030,798672593.534986,"BRA"
2031,752612203.271101,"BRA"
2032,709208170.028147,"BRA"
2033,668307298.564349,"BRA"
2034,629765228.588177,"BRA"
2035,593445925.236339,"BRA"
2036,559221198.936524,"BRA"
2037,526970252.960217,"BRA"
2038,496579257.068679,"BRA"
2039,467940945.747269,"BRA"
2040,440954239.61006,"BRA"
2041,415523888.638509,"BRA"
2042,391560135.994957,"BRA"
2043,368978401.224415,"BRA"
2044,347698981.726472,"BRA"
2045,327646771.443667,"BRA"
2046,308750995.773438,"BRA"
2047,290944961.76801,"BRA"
2048,274165822.74055,"BRA"
2049,258354356.446764,"BRA"
2050,243454756.059022,"BRA"
2021,11732.9,"BRB"
2022,16881.0304753192,"BRB"
2023,24288.0438688351,"BRB"
2024,34945.0867846565,"BRB"
2025,50278.1984824264,"BRB"
2026,72339.1319133367,"BRB"
2027,104079.902699859,"BRB"
2028,149747.803982355,"BRB"
2029,215453.744823382,"BRB"
2030,309989.962616673,"BRB"
2031,446006.529159468,"BRB"
2032,641704.080911994,"BRB"
2033,923269.280911971,"BRB"
2034,1328378.90615287,"BRB"
2035,1911241.44904822,"BRB"
2036,2749850.8592996,"BRB"
2037,3956423.06321704,"BRB"
2038,5692411.79106807,"BRB"
2039,8190113.00898214,"BRB"
2040,11783748.885692,"BRB"
2041,16954190.6990493,"BRB"
2042,24393305.1398226,"BRB"
2043,35096534.3145434,"BRB"
2044,50496097.7543398,"BRB"
2045,72652640.444878,"BRB"
2046,104530971.666203,"BRB"
2047,150396791.783097,"BRB"
2048,216387493.755227,"BRB"
2049,311333419.406961,"BRB"
2050,447939464.326317,"BRB"
2021,6642.044,"BRN"
2022,7894.11734719573,"BRN"
2023,9382.21557871289,"BRN"
2024,11150.8310928153,"BRN"
2025,13252.8434267287,"BRN"
2026,15751.1002930134,"BRN"
2027,18720.2966527317,"BRN"
2028,22249.2080075019,"BRN"
2029,26443.3446832612,"BRN"
2030,31428.1064657217,"BRN"
2031,37352.531907432,"BRN"
2032,44393.7544063456,"BRN"
2033,52762.2982874367,"BRN"
2034,62708.373234018,"BRN"
2035,74529.3552648982,"BRN"
2036,88578.6779298581,"BRN"
2037,105276.399559798,"BRN"
2038,125121.762519987,"BRN"
2039,148708.11997342,"BRN"
2040,176740.676447045,"BRN"
2041,210057.572623085,"BRN"
2042,249654.944766058,"BRN"
2043,296716.708033089,"BRN"
2044,352649.954153693,"BRN"
2045,419127.021828288,"BRN"
2046,498135.497701185,"BRN"
2047,592037.642878744,"BRN"
2048,703641.021776122,"BRN"
2049,836282.445012621,"BRN"
2050,993927.736150105,"BRN"
2021,26388.89,"BTN"
2022,82540.979636104,"BTN"
2023,258177.335965542,"BTN"
2024,807544.774730402,"BTN"
2025,2525893.91998922,"BTN"
2026,7900664.20424614,"BTN"
2027,24712239.2489558,"BTN"
2028,77296636.4485428,"BTN"
2029,241773719.737302,"BTN"
2030,756236419.090829,"BTN"
2031,2365408126.99042,"BTN"
2032,7398685736.34554,"BTN"
2033,23142116576.2421,"BTN"
2034,72385499089.0464,"BTN"
2035,226412327546.107,"BTN"
2036,708188003259.938,"BTN"
2037,2215118997260.27,"BTN"
2038,6928601091004.87,"BTN"
2039,21671753588700.4,"BTN"
2040,67786396913382.2,"BTN"
2041,212026940399249,"BTN"
2042,663192402931683,"BTN"
2043,2074378673191745,"BTN"
2044,6488383854777075,"BTN"
2045,20294811931399172,"BTN"
2046,63479504380372904,"BTN"
2047,198555546609589600,"BTN"
2048,621055653698871936,"BTN"
2049,1942580459611822592,"BTN"
2050,6076136364898748416,"BTN"
2021,511300.4,"BWA"
2022,1091073.97342501,"BWA"
2023,2328264.19749612,"BWA"
2024,4968328.7342339,"BWA"
2025,10602014.3409672,"BWA"
2026,22623846.7900827,"BWA"
2027,48277471.348378,"BWA"
2028,103020245.028142,"BWA"
2029,219836925.779978,"BWA"
2030,469114336.92659,"BWA"
2031,1001052304.2445,"BWA"
2032,2136165188.2109,"BWA"
2033,4558404882.5181,"BWA"
2034,9727269776.53255,"BWA"
2035,20757212170.4939,"BWA"
2036,44294223044.0007,"BWA"
2037,94520313178.6942,"BWA"
2038,201698754136.031,"BWA"
2039,430408935940.739,"BWA"
2040,918458088306.783,"BWA"
2041,1959915767390.8,"BWA"
2042,4182302779159.59,"BWA"
2043,8924698105700.92,"BWA"
2044,19044588707158.8,"BWA"
2045,40639622173119.5,"BWA"
2046,86721688547313.4,"BWA"
2047,185057115749261,"BWA"
2048,394897016687487,"BWA"
2049,842678505807740,"BWA"
2050,1798208226810507,"BWA"
