Year,iso_code3,frac_scoe_heat_energy_commercial_municipal_coal
2016,BDI,0.013190323236053207
2017,BDI,0.013190323236053207
2018,BDI,0.013190323236053207
2019,BDI,0.013190323236053207
2011,BEL,0.0
2012,BEL,0.0
2013,BEL,0.0
2014,BEL,0.0
2015,BEL,0.0
2016,BEL,0.0
2017,BEL,0.0
2018,BEL,0.0
2019,BEL,0.0
2011,BEN,0.013190323236053207
2012,BEN,0.013190323236053207
2013,BEN,0.013190323236053207
2014,BEN,0.013190323236053207
2015,BEN,0.013190323236053207
2016,BEN,0.013190323236053207
2017,BEN,0.013190323236053207
2018,BEN,0.013190323236053207
2019,BEN,0.013190323236053207
2011,BFA,0.013190323236053207
2012,BFA,0.013190323236053207
2013,BFA,0.013190323236053207
2014,BFA,0.013190323236053207
2015,BFA,0.013190323236053207
2016,BFA,0.013190323236053207
2017,BFA,0.013190323236053207
2018,BFA,0.013190323236053207
2019,BFA,0.013190323236053207
2011,BGD,0.013190323236053207
2012,BGD,0.013190323236053207
2013,BGD,0.013190323236053207
2014,BGD,0.013190323236053207
2015,BGD,0.013190323236053207
2016,BGD,0.013190323236053207
2017,BGD,0.013190323236053207
2018,BGD,0.013190323236053207
2019,BGD,0.013190323236053207
2011,BGR,0.012116071969467504
2012,BGR,0.009168143756494102
2013,BGR,0.013649082099228804
2014,BGR,0.006696926854676603
2015,BGR,0.014504635176893405
2016,BGR,0.014300423292529401
2017,BGR,0.0089405453732677
2018,BGR,0.005435051138890202
2019,BGR,0.007880996946113602
2011,BHR,0.013190323236053304
2012,BHR,0.013190323236053304
2013,BHR,0.013190323236053304
2014,BHR,0.013190323236053304
2015,BHR,0.013190323236053304
2016,BHR,0.013190323236053304
2017,BHR,0.013190323236053304
2018,BHR,0.013190323236053304
2019,BHR,0.013190323236053304
2011,BHS,0.013190323236053304
2012,BHS,0.013190323236053304
2013,BHS,0.013190323236053304
2014,BHS,0.013190323236053304
2015,BHS,0.013190323236053304
2016,BHS,0.013190323236053304
2017,BHS,0.013190323236053304
2018,BHS,0.013190323236053304
2019,BHS,0.013190323236053304
2011,BIH,0.3553986024494704
2012,BIH,0.35539860244947036
2013,BIH,0.35539860244947036
2014,BIH,0.46022201665124884
2015,BIH,0.509345283637556
2016,BIH,0.4037459139499956
2017,BIH,0.24067235451419838
2018,BIH,0.2874201610663705
2019,BIH,0.19305019305019308
2011,BLR,0.03626672064504151
2012,BLR,0.033873549108877014
2013,BLR,0.029833872436642213
2014,BLR,0.026809651474530804
2015,BLR,0.02301534920715501
2016,BLR,0.02135054617676261
2017,BLR,0.02061204474808421
2018,BLR,0.019951729686242904
2019,BLR,0.018355614047239708
2011,BLZ,0.013190323236053207
