,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw
158,Afghanistan,ALB,2029,9449.533895524697
159,Afghanistan,ALB,2030,9233.70624306925
160,Afghanistan,ALB,2031,9022.808101008648
161,Afghanistan,ALB,2032,8816.72687916987
162,Afghanistan,ALB,2033,8615.352558942997
163,Afghanistan,ALB,2034,8418.57763454664
164,Afghanistan,ALB,2035,8226.297055634843
165,Afghanistan,ALB,2036,8038.408171214874
166,Afghanistan,ALB,2037,7854.810674845911
167,Afghanistan,ALB,2038,7675.406551089408
168,Afghanistan,ALB,2039,7500.100023182531
169,Afghanistan,ALB,2040,7328.797501906729
170,Afghanistan,ALB,2041,7161.407535624159
171,Afghanistan,ALB,2042,6997.840761455275
172,Afghanistan,ALB,2043,6838.0098575715165
173,Afghanistan,ALB,2044,6681.829496577646
174,Afghanistan,ALB,2045,6529.216299958826
175,Afghanistan,ALB,2046,6380.08879356813
176,Afghanistan,ALB,2047,6234.3673641307205
177,Afghanistan,ALB,2048,6091.974216741468
178,Afghanistan,ALB,2049,5952.833333333333
179,Afghanistan,ALB,2050,5816.870432094327
180,Afghanistan,AND,2021,11368.025855622782
181,Afghanistan,AND,2022,11108.37978624005
182,Afghanistan,AND,2023,10854.664041277943
183,Afghanistan,AND,2024,10606.743171939499
184,Afghanistan,AND,2025,10364.484823082554
185,Afghanistan,AND,2026,10127.759662560571
186,Afghanistan,AND,2027,9896.441312177316
187,Afghanistan,AND,2028,9670.406280218554
188,Afghanistan,AND,2029,9449.533895524697
189,Afghanistan,AND,2030,9233.70624306925
190,Afghanistan,AND,2031,9022.808101008648
191,Afghanistan,AND,2032,8816.72687916987
192,Afghanistan,AND,2033,8615.352558942997
193,Afghanistan,AND,2034,8418.57763454664
194,Afghanistan,AND,2035,8226.297055634843
195,Afghanistan,AND,2036,8038.408171214874
196,Afghanistan,AND,2037,7854.810674845911
197,Afghanistan,AND,2038,7675.406551089408
198,Afghanistan,AND,2039,7500.100023182531
199,Afghanistan,AND,2040,7328.797501906729
200,Afghanistan,AND,2041,7161.407535624159
201,Afghanistan,AND,2042,6997.840761455275
202,Afghanistan,AND,2043,6838.0098575715165
203,Afghanistan,AND,2044,6681.829496577646
204,Afghanistan,AND,2045,6529.216299958826
205,Afghanistan,AND,2046,6380.08879356813
206,Afghanistan,AND,2047,6234.3673641307205
207,Afghanistan,AND,2048,6091.974216741468
208,Afghanistan,AND,2049,5952.833333333333
209,Afghanistan,AND,2050,5816.870432094327
210,Afghanistan,ARE,2021,11368.025855622782
211,Afghanistan,ARE,2022,11108.37978624005
212,Afghanistan,ARE,2023,10854.664041277943
213,Afghanistan,ARE,2024,10606.743171939499
214,Afghanistan,ARE,2025,10364.484823082554
215,Afghanistan,ARE,2026,10127.759662560571
216,Afghanistan,ARE,2027,9896.441312177316
217,Afghanistan,ARE,2028,9670.406280218554
218,Afghanistan,ARE,2029,9449.533895524697
219,Afghanistan,ARE,2030,9233.70624306925
220,Afghanistan,ARE,2031,9022.808101008648
221,Afghanistan,ARE,2032,8816.72687916987
222,Afghanistan,ARE,2033,8615.352558942997
223,Afghanistan,ARE,2034,8418.57763454664
224,Afghanistan,ARE,2035,8226.297055634843
225,Afghanistan,ARE,2036,8038.408171214874
226,Afghanistan,ARE,2037,7854.810674845911
227,Afghanistan,ARE,2038,7675.406551089408
228,Afghanistan,ARE,2039,7500.100023182531
229,Afghanistan,ARE,2040,7328.797501906729
230,Afghanistan,ARE,2041,7161.407535624159
231,Afghanistan,ARE,2042,6997.840761455275
232,Afghanistan,ARE,2043,6838.0098575715165
233,Afghanistan,ARE,2044,6681.829496577646
234,Afghanistan,ARE,2045,6529.216299958826
235,Afghanistan,ARE,2046,6380.08879356813
236,Afghanistan,ARE,2047,6234.3673641307205
237,Afghanistan,ARE,2048,6091.974216741468
238,Afghanistan,ARE,2049,5952.833333333333
239,Afghanistan,ARE,2050,5816.870432094327
240,Afghanistan,ARG,2021,11368.025855622782
241,Afghanistan,ARG,2022,11108.37978624005
242,Afghanistan,ARG,2023,10854.664041277943
243,Afghanistan,ARG,2024,10606.743171939499
244,Afghanistan,ARG,2025,10364.484823082554
245,Afghanistan,ARG,2026,10127.759662560571
246,Afghanistan,ARG,2027,9896.441312177316
247,Afghanistan,ARG,2028,9670.406280218554
248,Afghanistan,ARG,2029,9449.533895524697
249,Afghanistan,ARG,2030,9233.70624306925
250,Afghanistan,ARG,2031,9022.808101008648
251,Afghanistan,ARG,2032,8816.72687916987
252,Afghanistan,ARG,2033,8615.352558942997
253,Afghanistan,ARG,2034,8418.57763454664
254,Afghanistan,ARG,2035,8226.297055634843
255,Afghanistan,ARG,2036,8038.408171214874
256,Afghanistan,ARG,2037,7854.810674845911
257,Afghanistan,ARG,2038,7675.406551089408
258,Afghanistan,ARG,2039,7500.100023182531
259,Afghanistan,ARG,2040,7328.797501906729
260,Afghanistan,ARG,2041,7161.407535624159
261,Afghanistan,ARG,2042,6997.840761455275
262,Afghanistan,ARG,2043,6838.0098575715165
263,Afghanistan,ARG,2044,6681.829496577646
264,Afghanistan,ARG,2045,6529.216299958826
265,Afghanistan,ARG,2046,6380.08879356813
266,Afghanistan,ARG,2047,6234.3673641307205
267,Afghanistan,ARG,2048,6091.974216741468
268,Afghanistan,ARG,2049,5952.833333333333
269,Afghanistan,ARG,2050,5816.870432094327
270,Afghanistan,ARM,2021,11368.025855622782
271,Afghanistan,ARM,2022,11108.37978624005
272,Afghanistan,ARM,2023,10854.664041277943
273,Afghanistan,ARM,2024,10606.743171939499
274,Afghanistan,ARM,2025,10364.484823082554
275,Afghanistan,ARM,2026,10127.759662560571
276,Afghanistan,ARM,2027,9896.441312177316
277,Afghanistan,ARM,2028,9670.406280218554
278,Afghanistan,ARM,2029,9449.533895524697
279,Afghanistan,ARM,2030,9233.70624306925
280,Afghanistan,ARM,2031,9022.808101008648
281,Afghanistan,ARM,2032,8816.72687916987
282,Afghanistan,ARM,2033,8615.352558942997
283,Afghanistan,ARM,2034,8418.57763454664
284,Afghanistan,ARM,2035,8226.297055634843
285,Afghanistan,ARM,2036,8038.408171214874
286,Afghanistan,ARM,2037,7854.810674845911
287,Afghanistan,ARM,2038,7675.406551089408
288,Afghanistan,ARM,2039,7500.100023182531
289,Afghanistan,ARM,2040,7328.797501906729
290,Afghanistan,ARM,2041,7161.407535624159
291,Afghanistan,ARM,2042,6997.840761455275
292,Afghanistan,ARM,2043,6838.0098575715165
293,Afghanistan,ARM,2044,6681.829496577646
294,Afghanistan,ARM,2045,6529.216299958826
295,Afghanistan,ARM,2046,6380.08879356813
296,Afghanistan,ARM,2047,6234.3673641307205
297,Afghanistan,ARM,2048,6091.974216741468
298,Afghanistan,ARM,2049,5952.833333333333
299,Afghanistan,ARM,2050,5816.870432094327
300,Afghanistan,ASM,2021,11368.025855622782
301,Afghanistan,ASM,2022,11108.37978624005
302,Afghanistan,ASM,2023,10854.664041277943
303,Afghanistan,ASM,2024,10606.743171939499
304,Afghanistan,ASM,2025,10364.484823082554
305,Afghanistan,ASM,2026,10127.759662560571
306,Afghanistan,ASM,2027,9896.441312177316
307,Afghanistan,ASM,2028,9670.406280218554
308,Afghanistan,ASM,2029,9449.533895524697
309,Afghanistan,ASM,2030,9233.70624306925
310,Afghanistan,ASM,2031,9022.808101008648
311,Afghanistan,ASM,2032,8816.72687916987
312,Afghanistan,ASM,2033,8615.352558942997
313,Afghanistan,ASM,2034,8418.57763454664
314,Afghanistan,ASM,2035,8226.297055634843
315,Afghanistan,ASM,2036,8038.408171214874
316,Afghanistan,ASM,2037,7854.810674845911
317,Afghanistan,ASM,2038,7675.406551089408
318,Afghanistan,ASM,2039,7500.100023182531
319,Afghanistan,ASM,2040,7328.797501906729
320,Afghanistan,ASM,2041,7161.407535624159
321,Afghanistan,ASM,2042,6997.840761455275
322,Afghanistan,ASM,2043,6838.0098575715165
323,Afghanistan,ASM,2044,6681.829496577646
324,Afghanistan,ASM,2045,6529.216299958826
325,Afghanistan,ASM,2046,6380.08879356813
326,Afghanistan,ASM,2047,6234.3673641307205
327,Afghanistan,ASM,2048,6091.974216741468
328,Afghanistan,ASM,2049,5952.833333333333
329,Afghanistan,ASM,2050,5816.870432094327
330,Afghanistan,ATA,2021,11368.025855622782
331,Afghanistan,ATA,2022,11108.37978624005
332,Afghanistan,ATA,2023,10854.664041277943
333,Afghanistan,ATA,2024,10606.743171939499
334,Afghanistan,ATA,2025,10364.484823082554
335,Afghanistan,ATA,2026,10127.759662560571
336,Afghanistan,ATA,2027,9896.441312177316
337,Afghanistan,ATA,2028,9670.406280218554
338,Afghanistan,ATA,2029,9449.533895524697
339,Afghanistan,ATA,2030,9233.70624306925
340,Afghanistan,ATA,2031,9022.808101008648
341,Afghanistan,ATA,2032,8816.72687916987
342,Afghanistan,ATA,2033,8615.352558942997
343,Afghanistan,ATA,2034,8418.57763454664
344,Afghanistan,ATA,2035,8226.297055634843
345,Afghanistan,ATA,2036,8038.408171214874
346,Afghanistan,ATA,2037,7854.810674845911
347,Afghanistan,ATA,2038,7675.406551089408
348,Afghanistan,ATA,2039,7500.100023182531
349,Afghanistan,ATA,2040,7328.797501906729
350,Afghanistan,ATA,2041,7161.407535624159
351,Afghanistan,ATA,2042,6997.840761455275
352,Afghanistan,ATA,2043,6838.0098575715165
353,Afghanistan,ATA,2044,6681.829496577646
354,Afghanistan,ATA,2045,6529.216299958826
355,Afghanistan,ATA,2046,6380.08879356813
356,Afghanistan,ATA,2047,6234.3673641307205
357,Afghanistan,ATA,2048,6091.974216741468
358,Afghanistan,ATA,2049,5952.833333333333
359,Afghanistan,ATA,2050,5816.870432094327
360,Afghanistan,ATF,2021,11368.025855622782
361,Afghanistan,ATF,2022,11108.37978624005
362,Afghanistan,ATF,2023,10854.664041277943
363,Afghanistan,ATF,2024,10606.743171939499
364,Afghanistan,ATF,2025,10364.484823082554
365,Afghanistan,ATF,2026,10127.759662560571
366,Afghanistan,ATF,2027,9896.441312177316
367,Afghanistan,ATF,2028,9670.406280218554
368,Afghanistan,ATF,2029,9449.533895524697
369,Afghanistan,ATF,2030,9233.70624306925
370,Afghanistan,ATF,2031,9022.808101008648
371,Afghanistan,ATF,2032,8816.72687916987
372,Afghanistan,ATF,2033,8615.352558942997
373,Afghanistan,ATF,2034,8418.57763454664
374,Afghanistan,ATF,2035,8226.297055634843
375,Afghanistan,ATF,2036,8038.408171214874
376,Afghanistan,ATF,2037,7854.810674845911
377,Afghanistan,ATF,2038,7675.406551089408
378,Afghanistan,ATF,2039,7500.100023182531
379,Afghanistan,ATF,2040,7328.797501906729
380,Afghanistan,ATF,2041,7161.407535624159
381,Afghanistan,ATF,2042,6997.840761455275
382,Afghanistan,ATF,2043,6838.0098575715165
383,Afghanistan,ATF,2044,6681.829496577646
384,Afghanistan,ATF,2045,6529.216299958826
385,Afghanistan,ATF,2046,6380.08879356813
386,Afghanistan,ATF,2047,6234.3673641307205
387,Afghanistan,ATF,2048,6091.974216741468
388,Afghanistan,ATF,2049,5952.833333333333
389,Afghanistan,ATF,2050,5816.870432094327
390,Afghanistan,ATG,2021,11368.025855622782
391,Afghanistan,ATG,2022,11108.37978624005
392,Afghanistan,ATG,2023,10854.664041277943
393,Afghanistan,ATG,2024,10606.743171939499
394,Afghanistan,ATG,2025,10364.484823082554
395,Afghanistan,ATG,2026,10127.759662560571
396,Afghanistan,ATG,2027,9896.441312177316
397,Afghanistan,ATG,2028,9670.406280218554
398,Afghanistan,ATG,2029,9449.533895524697
399,Afghanistan,ATG,2030,9233.70624306925
400,Afghanistan,ATG,2031,9022.808101008648
401,Afghanistan,ATG,2032,8816.72687916987
402,Afghanistan,ATG,2033,8615.352558942997
403,Afghanistan,ATG,2034,8418.57763454664
404,Afghanistan,ATG,2035,8226.297055634843
405,Afghanistan,ATG,2036,8038.408171214874
406,Afghanistan,ATG,2037,7854.810674845911
407,Afghanistan,ATG,2038,7675.406551089408
408,Afghanistan,ATG,2039,7500.100023182531
409,Afghanistan,ATG,2040,7328.797501906729
410,Afghanistan,ATG,2041,7161.407535624159
411,Afghanistan,ATG,2042,6997.840761455275
412,Afghanistan,ATG,2043,6838.0098575715165
413,Afghanistan,ATG,2044,6681.829496577646
414,Afghanistan,ATG,2045,6529.216299958826
415,Afghanistan,ATG,2046,6380.08879356813
416,Afghanistan,ATG,2047,6234.3673641307205
417,Afghanistan,ATG,2048,6091.974216741468
418,Afghanistan,ATG,2049,5952.833333333333
419,Afghanistan,ATG,2050,5816.870432094327
420,Afghanistan,AUS,2021,11368.025855622782
421,Afghanistan,AUS,2022,11108.37978624005
422,Afghanistan,AUS,2023,10854.664041277943
423,Afghanistan,AUS,2024,10606.743171939499
424,Afghanistan,AUS,2025,10364.484823082554
425,Afghanistan,AUS,2026,10127.759662560571
426,Afghanistan,AUS,2027,9896.441312177316
427,Afghanistan,AUS,2028,9670.406280218554
428,Afghanistan,AUS,2029,9449.533895524697
429,Afghanistan,AUS,2030,9233.70624306925
430,Afghanistan,AUS,2031,9022.808101008648
431,Afghanistan,AUS,2032,8816.72687916987
432,Afghanistan,AUS,2033,8615.352558942997
433,Afghanistan,AUS,2034,8418.57763454664
434,Afghanistan,AUS,2035,8226.297055634843
435,Afghanistan,AUS,2036,8038.408171214874
436,Afghanistan,AUS,2037,7854.810674845911
437,Afghanistan,AUS,2038,7675.406551089408
438,Afghanistan,AUS,2039,7500.100023182531
439,Afghanistan,AUS,2040,7328.797501906729
440,Afghanistan,AUS,2041,7161.407535624159
441,Afghanistan,AUS,2042,6997.840761455275
442,Afghanistan,AUS,2043,6838.0098575715165
443,Afghanistan,AUS,2044,6681.829496577646
444,Afghanistan,AUS,2045,6529.216299958826
445,Afghanistan,AUS,2046,6380.08879356813
446,Afghanistan,AUS,2047,6234.3673641307205
447,Afghanistan,AUS,2048,6091.974216741468
448,Afghanistan,AUS,2049,5952.833333333333
449,Afghanistan,AUS,2050,5816.870432094327
450,Afghanistan,AUT,2021,11368.025855622782
451,Afghanistan,AUT,2022,11108.37978624005
452,Afghanistan,AUT,2023,10854.664041277943
453,Afghanistan,AUT,2024,10606.743171939499
454,Afghanistan,AUT,2025,10364.484823082554
455,Afghanistan,AUT,2026,10127.759662560571
456,Afghanistan,AUT,2027,9896.441312177316
457,Afghanistan,AUT,2028,9670.406280218554
458,Afghanistan,AUT,2029,9449.533895524697
459,Afghanistan,AUT,2030,9233.70624306925
460,Afghanistan,AUT,2031,9022.808101008648
461,Afghanistan,AUT,2032,8816.72687916987
462,Afghanistan,AUT,2033,8615.352558942997
463,Afghanistan,AUT,2034,8418.57763454664
464,Afghanistan,AUT,2035,8226.297055634843
465,Afghanistan,AUT,2036,8038.408171214874
466,Afghanistan,AUT,2037,7854.810674845911
467,Afghanistan,AUT,2038,7675.406551089408
468,Afghanistan,AUT,2039,7500.100023182531
469,Afghanistan,AUT,2040,7328.797501906729
470,Afghanistan,AUT,2041,7161.407535624159
471,Afghanistan,AUT,2042,6997.840761455275
472,Afghanistan,AUT,2043,6838.0098575715165
473,Afghanistan,AUT,2044,6681.829496577646
474,Afghanistan,AUT,2045,6529.216299958826
475,Afghanistan,AUT,2046,6380.08879356813
476,Afghanistan,AUT,2047,6234.3673641307205
477,Afghanistan,AUT,2048,6091.974216741468
478,Afghanistan,AUT,2049,5952.833333333333
479,Afghanistan,AUT,2050,5816.870432094327
480,Afghanistan,AZE,2021,11368.025855622782
481,Afghanistan,AZE,2022,11108.37978624005
482,Afghanistan,AZE,2023,10854.664041277943
483,Afghanistan,AZE,2024,10606.743171939499
484,Afghanistan,AZE,2025,10364.484823082554
485,Afghanistan,AZE,2026,10127.759662560571
486,Afghanistan,AZE,2027,9896.441312177316
487,Afghanistan,AZE,2028,9670.406280218554
488,Afghanistan,AZE,2029,9449.533895524697
489,Afghanistan,AZE,2030,9233.70624306925
490,Afghanistan,AZE,2031,9022.808101008648
491,Afghanistan,AZE,2032,8816.72687916987
492,Afghanistan,AZE,2033,8615.352558942997
493,Afghanistan,AZE,2034,8418.57763454664
494,Afghanistan,AZE,2035,8226.297055634843
495,Afghanistan,AZE,2036,8038.408171214874
496,Afghanistan,AZE,2037,7854.810674845911
497,Afghanistan,AZE,2038,7675.406551089408
498,Afghanistan,AZE,2039,7500.100023182531
499,Afghanistan,AZE,2040,7328.797501906729
500,Afghanistan,AZE,2041,7161.407535624159
501,Afghanistan,AZE,2042,6997.840761455275
502,Afghanistan,AZE,2043,6838.0098575715165
503,Afghanistan,AZE,2044,6681.829496577646
504,Afghanistan,AZE,2045,6529.216299958826
505,Afghanistan,AZE,2046,6380.08879356813
506,Afghanistan,AZE,2047,6234.3673641307205
507,Afghanistan,AZE,2048,6091.974216741468
508,Afghanistan,AZE,2049,5952.833333333333
509,Afghanistan,AZE,2050,5816.870432094327
510,Afghanistan,BDI,2021,11368.025855622782
511,Afghanistan,BDI,2022,11108.37978624005
512,Afghanistan,BDI,2023,10854.664041277943
513,Afghanistan,BDI,2024,10606.743171939499
514,Afghanistan,BDI,2025,10364.484823082554
515,Afghanistan,BDI,2026,10127.759662560571
516,Afghanistan,BDI,2027,9896.441312177316
517,Afghanistan,BDI,2028,9670.406280218554
518,Afghanistan,BDI,2029,9449.533895524697
519,Afghanistan,BDI,2030,9233.70624306925
520,Afghanistan,BDI,2031,9022.808101008648
521,Afghanistan,BDI,2032,8816.72687916987
522,Afghanistan,BDI,2033,8615.352558942997
523,Afghanistan,BDI,2034,8418.57763454664
524,Afghanistan,BDI,2035,8226.297055634843
525,Afghanistan,BDI,2036,8038.408171214874
526,Afghanistan,BDI,2037,7854.810674845911
527,Afghanistan,BDI,2038,7675.406551089408
528,Afghanistan,BDI,2039,7500.100023182531
529,Afghanistan,BDI,2040,7328.797501906729
530,Afghanistan,BDI,2041,7161.407535624159
531,Afghanistan,BDI,2042,6997.840761455275
532,Afghanistan,BDI,2043,6838.0098575715165
533,Afghanistan,BDI,2044,6681.829496577646
534,Afghanistan,BDI,2045,6529.216299958826
535,Afghanistan,BDI,2046,6380.08879356813
536,Afghanistan,BDI,2047,6234.3673641307205
537,Afghanistan,BDI,2048,6091.974216741468
538,Afghanistan,BDI,2049,5952.833333333333
539,Afghanistan,BDI,2050,5816.870432094327
540,Afghanistan,BEL,2021,11368.025855622782
541,Afghanistan,BEL,2022,11108.37978624005
542,Afghanistan,BEL,2023,10854.664041277943
543,Afghanistan,BEL,2024,10606.743171939499
544,Afghanistan,BEL,2025,10364.484823082554
545,Afghanistan,BEL,2026,10127.759662560571
546,Afghanistan,BEL,2027,9896.441312177316
547,Afghanistan,BEL,2028,9670.406280218554
548,Afghanistan,BEL,2029,9449.533895524697
549,Afghanistan,BEL,2030,9233.70624306925
550,Afghanistan,BEL,2031,9022.808101008648
551,Afghanistan,BEL,2032,8816.72687916987
552,Afghanistan,BEL,2033,8615.352558942997
553,Afghanistan,BEL,2034,8418.57763454664
554,Afghanistan,BEL,2035,8226.297055634843
555,Afghanistan,BEL,2036,8038.408171214874
556,Afghanistan,BEL,2037,7854.810674845911
557,Afghanistan,BEL,2038,7675.406551089408
558,Afghanistan,BEL,2039,7500.100023182531
559,Afghanistan,BEL,2040,7328.797501906729
560,Afghanistan,BEL,2041,7161.407535624159
561,Afghanistan,BEL,2042,6997.840761455275
562,Afghanistan,BEL,2043,6838.0098575715165
563,Afghanistan,BEL,2044,6681.829496577646
564,Afghanistan,BEL,2045,6529.216299958826
565,Afghanistan,BEL,2046,6380.08879356813
566,Afghanistan,BEL,2047,6234.3673641307205
567,Afghanistan,BEL,2048,6091.974216741468
568,Afghanistan,BEL,2049,5952.833333333333
569,Afghanistan,BEL,2050,5816.870432094327
570,Afghanistan,BEN,2021,11368.025855622782
571,Afghanistan,BEN,2022,11108.37978624005
572,Afghanistan,BEN,2023,10854.664041277943
573,Afghanistan,BEN,2024,10606.743171939499
574,Afghanistan,BEN,2025,10364.484823082554
575,Afghanistan,BEN,2026,10127.759662560571
576,Afghanistan,BEN,2027,9896.441312177316
577,Afghanistan,BEN,2028,9670.406280218554
578,Afghanistan,BEN,2029,9449.533895524697
