"iso_code3","frac_waso_initial_composition_mun_other","Year"
"CHI",0.0358342997366015,2014
"CHI",0.0358342997366015,2015
"CHI",0.0358342997366015,2016
"CHI",0.0358342997366015,2017
"CHI",0.0358342997366015,2018
"CHI",0.0358342997366015,2019
"CHI",0.0358342997366015,2020
"CHL",0.032,2010
"CHL",0.032,2011
"CHL",0.032,2012
"CHL",0.032,2013
"CHL",0.032,2014
"CHL",0.032,2015
"CHL",0.032,2016
"CHL",0.032,2017
"CHL",0.032,2018
"CHL",0.032,2019
"CHL",0.032,2020
"CHN",0.0262,2010
"CHN",0.0262,2011
"CHN",0.0262,2012
"CHN",0.0262,2013
"CHN",0.0262,2014
"CHN",0.0262,2015
"CHN",0.0262,2016
"CHN",0.0262,2017
"CHN",0.0262,2018
"CHN",0.0262,2019
"CHN",0.0262,2020
"CIV",0.0387458770434929,2010
"CIV",0.0387458770434929,2011
"CIV",0.0387458770434929,2012
"CIV",0.0387458770434929,2013
"CIV",0.0387458770434929,2014
"CIV",0.0387458770434929,2015
"CIV",0.0387458770434929,2016
"CIV",0.0387458770434929,2017
"CIV",0.0387458770434929,2018
"CIV",0.0387458770434929,2019
"CIV",0.0387458770434929,2020
"CMR",0.0208,2010
"CMR",0.0208,2011
"CMR",0.0208,2012
"CMR",0.0208,2013
"CMR",0.0208,2014
"CMR",0.0208,2015
"CMR",0.0208,2016
"CMR",0.0208,2017
"CMR",0.0208,2018
"CMR",0.0208,2019
"CMR",0.0208,2020
"COD",0.0377730962348674,2010
"COD",0.0377730962348674,2011
"COD",0.0377730962348674,2012
"COD",0.0377730962348674,2013
"COD",0.0377730962348674,2014
"COD",0.0377730962348674,2015
"COD",0.0377730962348674,2016
"COD",0.0377730962348674,2017
"COD",0.0377730962348674,2018
"COD",0.0377730962348674,2019
"COD",0.0377730962348674,2020
"COG",0.0390075215298822,2010
"COG",0.0390075215298822,2011
"COG",0.0390075215298822,2012
"COG",0.0390075215298822,2013
"COG",0.0390075215298822,2014
"COG",0.0390075215298822,2015
"COG",0.0390075215298822,2016
"COG",0.0390075215298822,2017
"COG",0.0390075215298822,2018
"COG",0.0390075215298822,2019
"COG",0.0390075215298822,2020
"COL",0.03148,2010
"COL",0.03148,2011
"COL",0.03148,2012
"COL",0.03148,2013
"COL",0.03148,2014
"COL",0.03148,2015
"COL",0.03148,2016
"COL",0.03148,2017
"COL",0.03148,2018
"COL",0.03148,2019
"COL",0.03148,2020
"COM",0.044,2010
"COM",0.044,2011
"COM",0.044,2012
"COM",0.044,2013
"COM",0.044,2014
"COM",0.044,2015
"COM",0.044,2016
"COM",0.044,2017
"COM",0.044,2018
"COM",0.044,2019
"COM",0.044,2020
"CPV",0.0389382660215095,2010
"CPV",0.0389382660215095,2011
"CPV",0.0389382660215095,2012
"CPV",0.0389382660215095,2013
"CPV",0.0389382660215095,2014
"CPV",0.0389382660215095,2015
"CPV",0.0389382660215095,2016
"CPV",0.0389382660215095,2017
"CPV",0.0389382660215095,2018
"CPV",0.0389382660215095,2019
"CPV",0.0389382660215095,2020
"CRI",0.014,2010
"CRI",0.014,2011
"CRI",0.014,2012
"CRI",0.014,2013
"CRI",0.014,2014
"CRI",0.014,2015
"CRI",0.014,2016
"CRI",0.014,2017
"CRI",0.014,2018
"CRI",0.014,2019
"CRI",0.014,2020
"CUB",0.006,2010
"CUB",0.006,2011
"CUB",0.006,2012
"CUB",0.006,2013
"CUB",0.006,2014
"CUB",0.006,2015
"CUB",0.006,2016
"CUB",0.006,2017
"CUB",0.006,2018
"CUB",0.006,2019
"CUB",0.006,2020
"CUW",0.0373135795480841,2010
"CUW",0.0373135795480841,2011
"CUW",0.0373135795480841,2012
"CUW",0.0373135795480841,2013
"CUW",0.0373135795480841,2014
"CUW",0.0373135795480841,2015
"CUW",0.0373135795480841,2016
"CUW",0.0373135795480841,2017
"CUW",0.0373135795480841,2018
"CUW",0.0373135795480841,2019
"CUW",0.0373135795480841,2020
"CYM",0.0228,2010
"CYM",0.0228,2011
"CYM",0.0228,2012
"CYM",0.0228,2013
"CYM",0.0228,2014
"CYM",0.0228,2015
"CYM",0.0228,2016
"CYM",0.0228,2017
"CYM",0.0228,2018
"CYM",0.0228,2019
"CYM",0.0228,2020
"CYP",0.02014,2010
"CYP",0.02014,2011
"CYP",0.02014,2012
"CYP",0.02014,2013
"CYP",0.02014,2014
"CYP",0.02014,2015
"CYP",0.02014,2016
"CYP",0.02014,2017
"CYP",0.02014,2018
