Year,prodinit_ippu_glass_tonne,iso_code3
2033,140734.585875385,"BGD"
2034,152609.78630344,"BGD"
2035,165487.017499762,"BGD"
2036,179450.830935009,"BGD"
2037,194592.91254259,"BGD"
2038,211012.684725445,"BGD"
2039,228817.959160226,"BGD"
2040,248125.644685177,"BGD"
2041,269062.514919661,"BGD"
2042,291766.040655521,"BGD"
2043,316385.292485716,"BGD"
2044,343081.919596861,"BGD"
2045,372031.211152399,"BGD"
2046,403423.247235403,"BGD"
2047,437464.146908061,"BGD"
2048,474377.421582569,"BGD"
2049,514405.442589608,"BGD"
2050,557811.032580421,"BGD"
2021,87921.63,"BGR"
2022,92013.5851922341,"BGR"
2023,96295.9838202331,"BGR"
2024,100777.689300267,"BGR"
2025,105467.977560318,"BGR"
2026,110376.556238766,"BGR"
2027,115513.584776591,"BGR"
2028,120889.695444696,"BGR"
2029,126516.015349849,"BGR"
2030,132404.189464815,"BGR"
2031,138566.40473032,"BGR"
2032,145015.415278753,"BGR"
2033,151764.568831797,"BGR"
2034,158827.834326629,"BGR"
2035,166219.830827879,"BGR"
2036,173955.857785163,"BGR"
2037,182051.926698848,"BGR"
2038,190524.794259556,"BGR"
2039,199391.997030021,"BGR"
2040,208671.887741065,"BGR"
2041,218383.673276835,"BGR"
2042,228547.454427894,"BGR"
2043,239184.267494463,"BGR"
2044,250316.127825927,"BGR"
2045,261966.075386695,"BGR"
2046,274158.222442747,"BGR"
2047,286917.803467556,"BGR"
2048,300271.227370678,"BGR"
2049,314246.13215711,"BGR"
2050,328871.442130547,"BGR"
2021,11975.69,"BHR"
2022,12601.6063741696,"BHR"
2023,13260.236630166,"BHR"
2024,13953.2905779707,"BHR"
2025,14682.5673917743,"BHR"
2026,15449.9602806484,"BHR"
2027,16257.4614033335,"BHR"
2028,17107.1670399003,"BHR"
2029,18001.2830337119,"BHR"
2030,18942.1305178119,"BHR"
2031,19932.1519406074,"BHR"
2032,20973.9174064856,"BHR"
2033,22070.1313478286,"BHR"
2034,23223.6395457429,"BHR"
2035,24437.4365177332,"BHR"
2036,25714.6732914957,"BHR"
2037,27058.6655850145,"BHR"
2038,28472.9024141944,"BHR"
2039,29961.0551503774,"BHR"
2040,31526.987051255,"BHR"
2041,33174.7632899197,"BHR"
2042,34908.6615080903,"BHR"
2043,36733.1829209074,"BHR"
2044,38653.0640021281,"BHR"
2045,40673.288780054,"BHR"
2046,42799.1017761124,"BHR"
2047,45036.0216196807,"BHR"
2048,47389.855374497,"BHR"
2049,49866.7136138493,"BHR"
2050,52473.0262836777,"BHR"
2021,3938.294,"BHS"
2022,4386.06943523015,"BHS"
2023,4884.75596048953,"BHS"
2024,5440.14205563663,"BHS"
2025,6058.67433806058,"BHS"
2026,6747.53239148239,"BHS"
2027,7514.71210262777,"BHS"
2028,8369.11847309768,"BHS"
2029,9320.6689837462,"BHS"
2030,10380.4087113626,"BHS"
2031,11560.6385338687,"BHS"
2032,12875.0579121685,"BHS"
2033,14338.9239059807,"BHS"
2034,15969.2282694265,"BHS"
2035,17784.894681998,"BHS"
2036,19806.998404258,"BHS"
2037,22059.010907913,"BHS"
2038,24567.0723197927,"BHS"
2039,27360.2948421148,"BHS"
2040,30471.1006709719,"BHS"
2041,33935.598335414,"BHS"
2042,37794.0018254621,"BHS"
2043,42091.097374064,"BHS"
2044,46876.7633111388,"BHS"
2045,52206.5490238931,"BHS"
2046,58142.319743661,"BHS"
2047,64752.9746436021,"BHS"
2048,72115.2465825396,"BHS"
2049,80314.5927779293,"BHS"
2050,89446.1867464013,"BHS"
2021,12221.45,"BIH"
2022,12942.6524192407,"BIH"
2023,13706.4138580346,"BIH"
2024,14515.2457751581,"BIH"
2025,15371.8078335814,"BIH"
2026,16278.9166461758,"BIH"
2027,17239.5550375156,"BIH"
2028,18256.8818522298,"BIH"
2029,19334.2423421569,"BIH"
2030,20475.1791664576,"BIH"
2031,21683.4440408576,"BIH"
2032,22963.0100743263,"BIH"
2033,24318.0848337577,"BIH"
2034,25753.1241796133,"BIH"
2035,27272.8469180235,"BIH"
2036,28882.2503175268,"BIH"
2037,30586.6265414704,"BIH"
2038,32391.5800501064,"BIH"
2039,34303.0460296068,"BIH"
2040,36327.3099085964,"BIH"
2041,38471.02802638,"BIH"
2042,40741.2495208264,"BIH"
2043,43145.4395078827,"BIH"
2044,45691.5036289393,"BIH"
2045,48387.8140467651,"BIH"
2046,51243.2369754925,"BIH"
2047,54267.1618351817,"BIH"
2048,57469.5321268296,"BIH"
2049,60860.8781293498,"BIH"
2050,64452.3515260417,"BIH"
2021,36549.54,"BLR"
2022,37477.0537511594,"BLR"
2023,38428.104919167,"BLR"
2024,39403.2908105222,"BLR"
2025,40403.2238895074,"BLR"
2026,41428.5321628452,"BLR"
2027,42479.8595741174,"BLR"
2028,43557.8664081928,"BLR"
2029,44663.2297059187,"BLR"
2030,45796.6436893349,"BLR"
2031,46958.8201976796,"BLR"
2032,48150.4891344589,"BLR"
2033,49372.3989258615,"BLR"
2034,50625.3169908074,"BLR"
2035,51910.0302229241,"BLR"
2036,53227.345484754,"BLR"
2037,54578.0901145037,"BLR"
2038,55963.1124456526,"BLR"
2039,57383.2823397476,"BLR"
2040,58839.4917327189,"BLR"
2041,60332.6551950587,"BLR"
2042,61863.7105062165,"BLR"
2043,63433.6192435702,"BLR"
2044,65043.3673863436,"BLR"
2045,66693.9659348492,"BLR"
2046,68386.4515454459,"BLR"
2047,70121.8871816098,"BLR"
2048,71901.3627815268,"BLR"
2049,73725.9959426273,"BLR"
2050,75596.9326234914,"BLR"
2021,732.4445,"BLZ"
2022,774.280777295928,"BLZ"
2023,818.50668834292,"BLZ"
2024,865.25872591312,"BLZ"
2025,914.681179068304,"BLZ"
2026,966.926578473812,"BLZ"
2027,1022.15616714822,"BLZ"
2028,1080.54039810163,"BLZ"
2029,1142.25946039841,"BLZ"
2030,1207.50383526794,"BLZ"
2031,1276.4748839797,"BLZ"
2032,1349.38546929704,"BLZ"
2033,1426.46061242748,"BLZ"
2034,1507.93818749731,"BLZ"
2035,1594.06965569355,"BLZ"
2036,1685.12084133918,"BLZ"
2037,1781.37275229681,"BLZ"
2038,1883.12244723274,"BLZ"
2039,1990.68395241794,"BLZ"
2040,2104.38923089557,"BLZ"
2041,2224.58920700613,"BLZ"
2042,2351.65484943205,"BLZ"
2043,2485.97831610448,"BLZ"
2044,2627.97416450557,"BLZ"
2045,2778.08063110173,"BLZ"
2046,2936.76098385639,"BLZ"
2047,3104.50495199661,"BLZ"
2048,3281.83023744597,"BLZ"
2049,3469.28411258866,"BLZ"
2050,3667.44510929573,"BLZ"
2021,800.2286,"BMU"
2022,862.28261694989,"BMU"
2023,929.148635144947,"BMU"
2024,1001.19980296656,"BMU"
2025,1078.83820472265,"BMU"
2026,1162.4971044946,"BMU"
2027,1252.64336398408,"BMU"
2028,1349.78004785271,"BMU"
2029,1454.44923109369,"BMU"
2030,1567.23502410215,"BMU"
2031,1688.76683232557,"BMU"
2032,1819.72286868511,"BMU"
2033,1960.8339383688,"BMU"
2034,2112.887517118,"BMU"
2035,2276.73214576593,"BMU"
2036,2453.28216555242,"BMU"
2037,2643.5228206403,"BMU"
2038,2848.51575630823,"BMU"
2039,3069.40494350296,"BMU"
2040,3307.42306281313,"BMU"
2041,3563.89838349058,"BMU"
2042,3840.26217590791,"BMU"
2043,4138.05669881775,"BMU"
2044,4458.94380598693,"BMU"
2045,4804.71422023521,"BMU"
2046,5177.29752663273,"BMU"
2047,5578.77294062355,"BMU"
2048,6011.38091116727,"BMU"
2049,6477.53562365045,"BMU"
2050,6979.83847234085,"BMU"
2021,5990.758,"BOL"
2022,6248.98845898665,"BOL"
2023,6518.34989170791,"BOL"
2024,6799.32209662276,"BOL"
2025,7092.40555380947,"BOL"
2026,7398.12231644279,"BOL"
2027,7717.01694069807,"BOL"
2028,8049.65745573877,"BOL"
2029,8396.63637551499,"BOL"
2030,8758.57175417545,"BOL"
2031,9136.10828697283,"BOL"
2032,9529.91845862334,"BOL"
2033,9940.70374116616,"BOL"
2034,10369.1958434563,"BOL"
2035,10816.1580145168,"BOL"
2036,11282.3864030715,"BOL"
2037,11768.7114756799,"BOL"
2038,12275.9994960016,"BOL"
2039,12805.1540678225,"BOL"
2040,13357.117744594,"BOL"
2041,13932.873708351,"BOL"
2042,14533.4475209989,"BOL"
2043,15159.9089510893,"BOL"
2044,15813.3738793397,"BOL"
2045,16495.0062862888,"BOL"
2046,17206.02032563,"BOL"
2047,17947.682486916,"BOL"
2048,18721.313851485,"BOL"
2049,19528.2924456299,"BOL"
2050,20370.0556951987,"BOL"
2021,296129.3,"BRA"
2022,277396.565646108,"BRA"
2023,259848.838437317,"BRA"
2024,243411.156442953,"BRA"
2025,228013.299721516,"BRA"
2026,213589.490348929,"BRA"
2027,200078.111422597,"BRA"
2028,187421.443840875,"BRA"
2029,175565.419733521,"BRA"
2030,164459.391489786,"BRA"
2031,154055.915397481,"BRA"
2032,144310.54896874,"BRA"
2033,135181.661086671,"BRA"
2034,126630.254161877,"BRA"
2035,118619.79753911,"BRA"
2036,111116.071442393,"BRA"
2037,104087.020791956,"BRA"
2038,97502.6182685188,"BRA"
2039,91334.7360399346,"BRA"
2040,85557.0256022342,"BRA"
2041,80144.8052217593,"BRA"
2042,75074.9544975533,"BRA"
2043,70325.8155935908,"BRA"
2044,65877.1007189212,"BRA"
2045,61709.8054604914,"BRA"
2046,57806.1275984165,"BRA"
2047,54149.3910568845,"BRA"
2048,50723.9746658228,"BRA"
2049,47515.245429005,"BRA"
2050,44509.4960135249,"BRA"
2021,1731.702,"BRB"
2022,1793.83438942916,"BRB"
2023,1858.19605030121,"BRB"
2024,1924.86696748733,"BRB"
2025,1993.92999566612,"BRB"
2026,2065.47096229041,"BRB"
2027,2139.57877424862,"BRB"
2028,2216.34552835296,"BRB"
2029,2295.8666257919,"BRB"
2030,2378.24089068917,"BRB"
2031,2463.57069291649,"BRB"
2032,2551.96207531287,"BRB"
2033,2643.52488546831,"BRB"
2034,2738.37291223597,"BRB"
2035,2836.62402714218,"BRB"
2036,2938.40033087026,"BRB"
2037,3043.828305,"BRB"
2038,3153.03896919151,"BRB"
2039,3266.16804400874,"BRB"
2040,3383.35611958493,"BRB"
2041,3504.74883033978,"BRB"
2042,3630.49703596527,"BRB"
2043,3760.7570089052,"BRB"
2044,3895.69062856133,"BRB"
2045,4035.46558246756,"BRB"
2046,4180.25557468208,"BRB"
2047,4330.24054165652,"BRB"
2048,4485.60687585037,"BRB"
2049,4646.54765736848,"BRB"
2050,4813.26289390963,"BRB"
2021,1059.443,"BRN"
2022,1059.16331086199,"BRN"
2023,1058.88369556092,"BRN"
2024,1058.60415407727,"BRN"
2025,1058.32468639157,"BRN"
2026,1058.04529248433,"BRN"
2027,1057.76597233608,"BRN"
2028,1057.48672592734,"BRN"
2029,1057.20755323864,"BRN"
2030,1056.92845425054,"BRN"
2031,1056.64942894356,"BRN"
2032,1056.37047729825,"BRN"
2033,1056.09159929518,"BRN"
2034,1055.8127949149,"BRN"
2035,1055.53406413796,"BRN"
2036,1055.25540694496,"BRN"
2037,1054.97682331644,"BRN"
2038,1054.698313233,"BRN"
2039,1054.41987667522,"BRN"
2040,1054.14151362369,"BRN"
2041,1053.86322405901,"BRN"
2042,1053.58500796176,"BRN"
2043,1053.30686531257,"BRN"
2044,1053.02879609203,"BRN"
2045,1052.75080028076,"BRN"
2046,1052.47287785939,"BRN"
2047,1052.19502880854,"BRN"
2048,1051.91725310884,"BRN"
2049,1051.63955074092,"BRN"
2050,1051.36192168542,"BRN"
2021,559.2879,"BTN"
2022,706.747672084746,"BTN"
2023,893.086140424649,"BTN"
2024,1128.55391778773,"BTN"
2025,1426.10425546234,"BTN"
2026,1802.10561089943,"BTN"
2027,2277.24208829483,"BTN"
2028,2877.6512859938,"BTN"
2029,3636.36214451948,"BTN"
2030,4595.11189227629,"BTN"
2031,5806.64204041461,"BTN"
2032,7337.59973118038,"BTN"
2033,9272.20404500328,"BTN"
2034,11716.8789525052,"BTN"
2035,14806.1077734415,"BTN"
2036,18709.83120056,"BTN"
2037,23642.7958589741,"BTN"
2038,29876.3676720072,"BTN"
2039,37753.4598952329,"BTN"
2040,47707.3970205696,"BTN"
2041,60285.7522673212,"BTN"
2042,76180.4699776393,"BTN"
2043,96265.9299709835,"BTN"
2044,121647.047805014,"BTN"
2045,153720.05697276,"BTN"
2046,194249.316708322,"BTN"
2047,245464.370653574,"BTN"
2048,310182.595652723,"BTN"
2049,391964.187672871,"BTN"
