,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_commercial_municipal_coal,frac_scoe_heat_energy_commercial_municipal_diesel,frac_scoe_heat_energy_commercial_municipal_electricity,frac_scoe_heat_energy_commercial_municipal_gasoline,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids,frac_scoe_heat_energy_commercial_municipal_hydrogen,frac_scoe_heat_energy_commercial_municipal_kerosene,frac_scoe_heat_energy_commercial_municipal_natural_gas,frac_scoe_heat_energy_commercial_municipal_solid_biomass,gdp_mmm_usd,gdp_class
11,Argentina,2013,17.36,62.19,0.0,7.02,0.0,108.84,0.0,195.41,97.454,0.0,0.1425082603074271,0.11168346091489319,0.01781353253842839,0.0,0.0,0.01781353253842839,0.63814722843598,0.0720339852648429,619.23631742,2
12,Argentina,2014,16.42,61.42,0.0,7.18,0.0,105.68,0.0,190.7,95.588,0.0,0.13742310750303388,0.11055781060384151,0.017177888437879235,0.0,0.0,0.017177888437879235,0.6425492739674437,0.07511403104992259,639.13945706,2
13,Argentina,2015,16.69,61.3,0.0,7.36,0.0,120.34,0.0,205.7,97.384,0.0,0.1371067115747967,0.12357266080670337,0.017138338946849588,0.0,0.0,0.017138338946849588,0.6294668528711082,0.0755770968536926,659.0425967,2
14,Argentina,2016,15.44,47.54,0.0,6.79,0.0,123.28,0.0,193.05,82.098,0.0,0.15045433506297354,0.15016200151039003,0.018806791882871692,0.0,0.0,0.018806791882871692,0.5790640454091451,0.08270603425174791,649.22546224,2
15,Argentina,2017,14.13,59.18,0.0,6.56,0.0,116.14,0.0,196.01,91.48400000000001,0.0,0.12356259017970357,0.1269511608587294,0.015445323772462946,0.0,0.0,0.015445323772462946,0.646889073499191,0.07170652791745004,639.40832778,2
16,Argentina,2018,13.31,58.66,0.0,6.65,0.0,115.47,0.0,194.09,90.167,0.0,0.11809198487251435,0.1280623731520401,0.014761498109064294,0.0,0.0,0.014761498109064294,0.6505706078720596,0.07375203788525736,629.59119332,2
17,Argentina,2019,14.76,50.6,0.0,6.4,0.0,112.12,0.0,183.87,82.97200000000001,0.0,0.1423130694692185,0.13512992334763535,0.017789133683652314,0.0,0.0,0.017789133683652314,0.609844284818975,0.07713445499686641,619.77405886,2
18,Australia,2011,27.97,45.63,0.95,1.1,0.0,220.96,0.4,297.01,98.14599999999999,0.009679457135288245,0.22798687669390505,0.22513398406455695,0.02849835958673813,0.004075560899068735,0.0,0.02849835958673813,0.46491960956126593,0.011207792472439021,861.79223694,1
19,Australia,2012,30.11,45.63,0.86,1.5,0.0,216.4,0.41,294.91,100.15,0.008587119321018471,0.24051922116824762,0.21607588617074389,0.030064902646030952,0.004093859211183225,0.0,0.030064902646030952,0.45561657513729403,0.014977533699450823,895.12347708,1
20,Australia,2013,31.19,45.54,0.87,1.8,0.0,223.3,0.39,303.08,102.11999999999999,0.008519388954171564,0.24433999216607916,0.2186643164904035,0.030542499020759895,0.0038190364277320803,0.0,0.030542499020759895,0.445945945945946,0.017626321974148065,928.45471722,1
21,Australia,2014,32.25,49.26,1.05,2.1,0.0,225.2,0.37,310.23,107.55,0.009762900976290099,0.23988842398884241,0.2093909809390981,0.029986052998605302,0.0034402603440260343,0.0,0.029986052998605302,0.4580195258019526,0.019525801952580198,961.78595736,1
22,Australia,2015,32.66,50.85,0.19,2.0,0.0,241.8,0.4,327.9,110.28,0.0017228871962277838,0.23692419296336598,0.21926006528835693,0.029615524120420747,0.0036271309394269135,0.0,0.029615524120420747,0.46109902067464636,0.018135654697134566,995.1171975,1
23,Australia,2016,29.83,52.2,0.29,0.79,0.0,243.6,0.41,327.11,107.88,0.0026881720430107525,0.22120875046347796,0.22580645161290322,0.027651093807934745,0.003800519095291064,0.0,0.027651093807934745,0.48387096774193555,0.007322951427512051,1012.3560788,1
24,Australia,2017,30.91,53.1,0.48,0.9,0.0,248.5,0.42,334.32,110.66000000000003,0.0043376106994397244,0.22345924453280314,0.2245617205855774,0.027932405566600392,0.0037954093620097586,0.0,0.027932405566600392,0.4798481836255195,0.008133020061449484,1029.5949601,1
25,Australia,2018,30.72,53.73,0.51,0.8,0.0,252.1,0.45,338.31,111.42,0.0045772751750134625,0.22057081313947227,0.2262609944354694,0.027571351642434034,0.004038772213247173,0.0,0.027571351642434034,0.4822294022617124,0.007180039490217197,1046.8338414,1
26,Australia,2019,26.98,53.46,0.58,0.6,0.0,256.7,0.47,338.78,107.75999999999999,0.005382331106161841,0.2002969561989607,0.2382145508537491,0.02503711952487009,0.004361544172234596,0.0,0.02503711952487009,0.4961024498886415,0.005567928730512249,1064.0727227,1
27,Austria,2011,10.12,14.9,0.15,2.8,30.74,42.18,2.71,103.59,65.63799999999999,0.0022852615862762426,0.12334318534994974,0.06426155580608794,0.015417898168743718,0.041287059325390785,0.0,0.015417898168743718,0.6953289253176514,0.042658216277156526,310.97406008,1
28,Austria,2012,6.7,16.79,0.0,1.9,30.86,43.86,2.92,103.04,63.556,0.0,0.08433507457989806,0.06901000692302851,0.010541884322487257,0.04594373465919819,0.0,0.010541884322487257,0.7497325193530116,0.029894895839889232,318.40071376,1
29,Austria,2013,6.6,16.93,0.01,2.27,29.03,44.46,2.58,101.87,61.86600000000001,0.00016163967284130217,0.08534574726020754,0.07186499854524295,0.010668218407525942,0.04170303559305596,0.0,0.010668218407525942,0.7428959363786247,0.036692205734975586,325.82736744,1
30,Austria,2014,7.03,14.17,0.0,1.94,26.33,44.2,2.79,96.45,56.67999999999999,0.0,0.09922371206774878,0.07798165137614681,0.012402964008468598,0.049223712067748775,0.0,0.012402964008468598,0.7145377558221596,0.034227240649259,333.25402112,1
31,Austria,2015,7.25,15.17,0.0,2.55,27.22,44.48,2.47,99.16,59.108,0.0,0.09812546525005077,0.07525208093659064,0.012265683156256346,0.041787913649590586,0.0,0.012265683156256346,0.7171618055085607,0.043141368342694726,340.6806748,1
32,Austria,2016,6.64,14.27,0.0,1.97,29.23,42.33,2.32,96.77,58.663,0.0,0.09055111399007894,0.07215791896084414,0.011318889248759867,0.039547926290847725,0.0,0.011318889248759867,0.7415236179533948,0.03358164430731466,344.50716884,1
33,Austria,2017,8.95,15.02,0.0,3.2,29.88,44.46,2.89,104.4,64.386,0.0,0.11120429907122667,0.06905227844562484,0.013900537383903334,0.04488553412232473,0.0,0.013900537383903334,0.6973565681980555,0.049700245394961644,348.33366288,1
34,Austria,2018,7.85,14.21,0.0,3.32,27.61,45.29,3.25,101.53,60.769,0.0,0.10334216459049846,0.07452813111948527,0.012917770573812307,0.053481215751452225,0.0,0.012917770573812307,0.6881798285309945,0.05463311885994503,352.16015692,1
35,Austria,2019,7.44,15.18,0.0,3.67,28.52,45.32,3.09,103.22,62.432,0.0,0.09533572526909279,0.07259097898513582,0.011916965658636598,0.04949384930804715,0.0,0.011916965658636598,0.6999615581752947,0.058783956945156327,355.98665096,1
36,Azerbaijan,2011,0.39,4.38,0.0,0.78,1.07,14.17,0.0,20.78,8.036999999999999,0.0,0.03882045539380367,0.1763095682468583,0.004852556924225458,0.0,0.0,0.004852556924225458,0.6781137240263782,0.09705113848450916,89.965753648,2
37,Azerbaijan,2012,0.39,5.66,0.0,0.79,1.12,16.04,0.0,23.99,9.564,0.0,0.03262233375156839,0.16771225428690925,0.004077791718946048,0.0,0.0,0.004077791718946048,0.7089084065244667,0.08260142199916354,95.026319836,2
38,Azerbaijan,2013,0.43,6.12,0.0,0.94,1.06,17.38,0.0,25.93,10.288,0.0,0.03343701399688958,0.16893468118195956,0.004179626749611197,0.0,0.0,0.004179626749611197,0.697900466562986,0.09136858475894245,100.086886024,2
39,Azerbaijan,2014,0.43,6.75,0.0,1.01,1.09,17.79,0.0,27.08,11.059,0.0,0.031105886608192426,0.16086445429062302,0.0038882358260240533,0.0,0.0,0.0038882358260240533,0.7089248575820599,0.09132832986707659,105.147452212,2
40,Azerbaijan,2015,0.43,7.73,0.0,0.92,0.89,18.48,0.0,28.46,11.818000000000001,0.0,0.029108140125232693,0.15637163648671518,0.0036385175156540867,0.0,0.0,0.0036385175156540867,0.7293958368590286,0.07784735149771535,110.2080184,2
41,Azerbaijan,2016,0.97,5.42,0.0,0.77,1.13,16.64,0.0,24.92,9.954,0.0,0.07795860960417922,0.16716897729555957,0.009744826200522402,0.0,0.0,0.009744826200522402,0.6580269238497086,0.07735583684950774,110.45247888,2
42,Azerbaijan,2017,0.37,8.83,0.0,0.81,1.01,17.7,0.01,28.73,12.8,0.0,0.023124999999999996,0.13828125,0.0028906249999999995,0.0007812499999999999,0.0,0.0028906249999999995,0.7687499999999999,0.06328125,110.69693936,2
43,Azerbaijan,2018,0.11,4.05,0.0,1.06,0.98,21.19,0.0,27.39,8.319,0.0,0.010578194494530593,0.2547181151580719,0.001322274311816324,0.0,0.0,0.001322274311816324,0.6046399807669189,0.12741916095684577,110.94139984,2
44,Azerbaijan,2019,0.64,23.87,0.0,1.04,0.98,22.71,0.01,49.25,28.811,0.0,0.017770990246780746,0.07882406025476382,0.002221373780847593,0.0003470896532574364,0.0,0.002221373780847593,0.8625177883447295,0.036097323938773386,111.18586032,2
45,Belarus,2011,1.84,1.94,2.15,4.86,45.92,25.73,0.0,82.44,59.283,0.03626672064504158,0.02483005246023312,0.043401987078926514,0.00310375655752914,0.0,0.0,0.00310375655752914,0.807314069800786,0.08197965689995446,125.73442268,2
46,Belarus,2012,1.74,2.11,2.18,4.83,50.72,27.77,0.0,89.36,64.357,0.03387354910887705,0.021629348788787545,0.043149929300619984,0.002703668598598443,0.0,0.0,0.002703668598598443,0.8208897245054928,0.07505011109902575,131.44220136,2
47,Belarus,2013,1.83,2.36,1.9,4.91,49.84,28.46,0.0,89.29,63.68600000000001,0.029833872436642272,0.0229877838143391,0.044688000502465214,0.0028734729767923876,0.0,0.0,0.0028734729767923876,0.8196463901014351,0.07709700719153345,137.14998004,2
48,Belarus,2014,1.48,2.13,1.7,5.14,50.05,29.1,0.0,89.59,63.41,0.02680965147453083,0.01867213373284971,0.045891815171108664,0.0023340167166062136,0.0,0.0,0.0023340167166062136,0.8228985964358935,0.08105976975240499,142.85775872,2
49,Belarus,2015,1.4,1.86,1.36,4.55,47.1,28.21,0.0,84.48,59.091,0.02301534920715507,0.0189538169941277,0.04773992655395915,0.0023692271242659623,0.0,0.0,0.0023692271242659623,0.8285525714575823,0.07699988153864379,148.5655374,2
50,Belarus,2016,1.48,1.91,1.29,4.53,48.33,28.8,0.0,86.35,60.42,0.02135054617676266,0.01959616021185038,0.047666335650446874,0.0024495200264812974,0.0,0.0,0.0024495200264812974,0.831512744124462,0.0749751737835154,149.38737018,2
51,Belarus,2017,1.83,2.09,1.24,4.4,47.72,28.79,0.0,86.07,60.159,0.020612044748084243,0.024335510896125272,0.04785651357236656,0.003041938862015659,0.0,0.0,0.003041938862015659,0.8279725394371582,0.07313951362223442,150.20920296,2
52,Belarus,2018,1.83,2.13,1.24,3.96,50.02,29.7,0.0,88.88,62.150000000000006,0.01995172968624296,0.023555913113435238,0.047787610619469026,0.0029444891391794048,0.0,0.0,0.0029444891391794048,0.8390989541432019,0.06371681415929203,151.03103574,2
53,Belarus,2019,1.95,2.07,1.06,3.35,46.28,30.38,0.0,85.09,57.748000000000005,0.018355614047239732,0.02701392256008866,0.052607882524070095,0.0033767403200110823,0.0,0.0,0.0033767403200110823,0.8372584331924915,0.05801066703608783,151.85286852,2
54,Belgium,2011,35.31,68.49,0.0,0.9,1.92,77.73,0.04,184.38,114.433,0.0,0.24685186965298475,0.06792621009673783,0.030856483706623094,0.000349549518058602,0.0,0.030856483706623094,0.6152945391626541,0.007864864156318544,374.04356334,1
55,Belgium,2012,34.89,76.43,0.0,1.62,1.65,78.62,0.04,193.25,122.49200000000002,0.0,0.22786794239623812,0.06418378343075466,0.028483492799529764,0.0003265519380857525,0.0,0.028483492799529764,0.6374293831433889,0.013225353492472976,382.38528118,1
56,Belgium,2013,38.22,82.8,0.0,2.62,1.68,79.94,0.04,205.3,133.354,0.0,0.22928446090855917,0.059945708415195635,0.028660557613569896,0.000299953507206383,0.0,0.028660557613569896,0.6335018072198809,0.019646954722018085,390.72699902,1
57,Belgium,2014,29.99,66.24,0.0,2.71,2.32,76.12,0.04,177.43,108.91199999999999,0.0,0.22028793888644047,0.06989128837960924,0.027535992360805058,0.00036726898780666965,0.0,0.027535992360805058,0.6294990451006316,0.024882473923901867,399.06871686,1
58,Belgium,2015,35.72,74.17,0.0,3.25,2.64,77.19,0.05,193.01,123.549,0.0,0.23129284737229763,0.06247723575261637,0.028911605921537204,0.00040469773126451853,0.0,0.028911605921537204,0.6216966547685534,0.026305352532193703,407.4104347,1
59,Belgium,2016,32.34,78.43,0.0,3.34,2.17,77.72,0.06,194.07,124.11200000000002,0.0,0.20845687765888873,0.06262085857934768,0.026057109707361092,0.0004834343173907437,0.0,0.026057109707361092,0.6494134330282325,0.02691117700141807,410.35955398,1
60,Belgium,2017,32.38,78.2,0.0,3.47,1.89,78.07,0.06,194.07,123.807,0.0,0.20922888043487042,0.06305782387102506,0.026153610054358803,0.000484625263514987,0.0,0.026153610054358803,0.6468939559152552,0.02802749440661675,413.30867326,1
61,Belgium,2018,31.6,79.13,0.0,3.3,2.08,78.33,0.06,194.5,124.00299999999999,0.0,0.20386603549914117,0.0631678265848407,0.025483254437392647,0.0004838592614694806,0.0,0.025483254437392647,0.654903510398942,0.026612259380821433,416.25779254,1
62,Belgium,2019,29.54,79.21,0.0,3.4,2.06,77.78,0.06,192.07,122.048,0.0,0.19362873623492396,0.06372902464604091,0.024203592029365496,0.0004916098584163607,0.0,0.024203592029365496,0.6658855532249607,0.027857891976927108,419.20691182,1
63,Bosnia and Herzegovina,2011,0.6155555555555555,0.6666666666666666,2.102222222222222,1.201111111111111,0.8177777777777778,5.117777777777778,0.0,10.517777777777777,5.915111111111111,0.3553986024494703,0.08325193478097528,0.08652039972950637,0.01040649184762191,0.0,0.0,0.01040649184762191,0.25095799834698324,0.20305808099782102,27.651166044,2
64,Bosnia and Herzegovina,2012,0.6839506172839507,0.7407407407407409,2.335802469135803,1.3345679012345677,0.9086419753086419,5.686419753086421,0.0,11.686419753086419,6.572345679012347,0.35539860244947025,0.08325193478097527,0.08652039972950636,0.010406491847621909,0.0,0.0,0.010406491847621909,0.2509579983469832,0.20305808099782094,28.593412888,2
65,Bosnia and Herzegovina,2013,0.7599451303155007,0.8230452674897121,2.595336076817558,1.4828532235939642,1.00960219478738,6.318244170096022,0.0,12.984910836762689,7.302606310013718,0.35539860244947025,0.08325193478097528,0.08652039972950636,0.01040649184762191,0.0,0.0,0.01040649184762191,0.25095799834698324,0.203058080997821,29.535659732,2
66,Bosnia and Herzegovina,2014,0.0,0.92,3.98,1.96,1.09,6.98,0.0,14.92,8.648,0.46022201665124884,0.0,0.08071230342275672,0.0,0.0,0.0,0.0,0.23242368177613323,0.22664199814986125,30.477906576,2
67,Bosnia and Herzegovina,2015,0.0,1.09,4.66,1.59,1.16,6.49,0.0,14.99,9.149000000000001,0.5093452836375559,0.0,0.07093671439501584,0.0,0.0,0.0,0.0,0.2459285167777899,0.17378948518963822,31.42015342,2
68,Bosnia and Herzegovina,2016,2.15,1.06,4.57,1.5,1.27,7.69,0.0,18.23,11.318999999999999,0.40374591394999565,0.1519568866507642,0.06793886385723122,0.018994610831345526,0.0,0.0,0.018994610831345526,0.205848573195512,0.132520540683806,32.098256014,2
69,Bosnia and Herzegovina,2017,1.59,1.03,1.89,1.25,1.31,7.83,0.0,14.89,7.853,0.24067235451419838,0.16197631478415894,0.09970711829873934,0.020247039348019868,0.0,0.0,0.020247039348019868,0.297975296065198,0.15917483764166562,32.776358608,2
70,Bosnia and Herzegovina,2018,0.89,0.96,2.07,1.13,1.33,8.22,0.0,14.59,7.202,0.2874201610663704,0.09886142738128299,0.11413496251041379,0.012357678422660374,0.0,0.0,0.012357678422660374,0.31796723132463206,0.15690086087198,33.454461202,2
71,Bosnia and Herzegovina,2019,0.91,0.94,1.75,3.38,1.2,8.85,0.0,17.04,9.065000000000001,0.19305019305019303,0.08030888030888031,0.09762824048538334,0.010038610038610039,0.0,0.0,0.010038610038610039,0.23607280750137885,0.37286265857694423,34.132563796,2
72,Brazil,2011,33.9,9.72,0.0,7.87,0.0,404.09,0.0,455.57,91.899,0.0,0.2951065844024418,0.43971098706188316,0.036888323050305226,0.0,0.0,0.036888323050305226,0.10576828909999021,0.08563749333507438,2064.4301636,2
73,Brazil,2012,30.88,9.94,0.0,7.84,0.0,430.69,0.0,479.35,91.72899999999998,0.0,0.26931504758582353,0.46952435979897317,0.03366438094822794,0.0,0.0,0.03366438094822794,0.10836267701599277,0.08546915370275486,2156.3083482,2
74,Brazil,2013,29.79,9.46,0.0,7.82,0.0,452.71,0.0,499.78,92.34100000000001,0.0,0.2580868736530902,0.49025893156885886,0.03226085920663627,0.0,0.0,0.03226085920663627,0.10244636726914372,0.08468610909563465,2248.1865328,2
75,Brazil,2014,31.04,9.16,0.0,7.91,0.0,480.65,0.0,528.76,96.17499999999998,0.0,0.2581959968806863,0.499766051468677,0.032274499610085786,0.0,0.0,0.032274499610085786,0.09524304652976347,0.08224590590070187,2340.0647174,2
76,Brazil,2015,29.11,6.59,0.0,7.66,0.0,485.68,0.0,529.04,91.92800000000001,0.0,0.2533286920198416,0.5283265164041424,0.0316660865024802,0.0,0.0,0.0316660865024802,0.07168653729005307,0.08332608128100251,2431.942902,2
77,Brazil,2016,28.59,7.42,0.0,7.3,0.0,476.18,0.0,519.49,90.928,0.0,0.25153967974661273,0.5236890726728841,0.03144245996832659,0.0,0.0,0.03144245996832659,0.08160302657047334,0.08028330107337674,2421.7722246,2
78,Brazil,2017,28.99,5.65,0.0,7.35,0.0,480.71,0.0,522.7,90.061,0.0,0.25751435138406187,0.5337604512497085,0.032189293923007734,0.0,0.0,0.032189293923007734,0.06273525721455459,0.08161135230565948,2411.6015472,2
79,Brazil,2018,29.01,6.38,0.0,7.12,0.0,489.64,0.0,532.15,91.47399999999999,0.0,0.25371143712967625,0.535277783851149,0.03171392964120953,0.0,0.0,0.03171392964120953,0.06974659466077793,0.07783632507597789,2401.4308698,2
80,Brazil,2019,29.49,6.16,0.0,6.9,0.0,507.17,0.0,549.72,93.267,0.0,0.2529512046061308,0.5437829028488105,0.03161890057576635,0.0,0.0,0.03161890057576635,0.06604694050414402,0.0739811508893821,2391.2601924,2
81,Bulgaria,2011,1.48,3.46,0.2,0.49,6.21,30.37,1.63,43.84,16.506999999999998,0.0121160719694675,0.0717271460592476,0.183982552856364,0.00896589325740595,0.09874598655116013,0.0,0.00896589325740595,0.5858120797237536,0.029684376325195376,85.657160698,2
82,Bulgaria,2012,1.5,3.42,0.15,2.06,4.59,29.41,1.7,42.82,16.361,0.009168143756494102,0.07334515005195283,0.17975673858566105,0.009168143756494104,0.10390562924026649,0.0,0.009168143756494104,0.489578876596785,0.12590917425585232,88.889704936,2
83,Bulgaria,2013,1.04,3.27,0.2,1.16,4.3,28.63,1.82,40.42,14.652999999999999,0.013649082099228828,0.05678018153279193,0.19538661025046067,0.007097522691598991,0.12420664710298233,0.0,0.007097522691598991,0.5166177574558112,0.0791646761755272,92.122249174,2
84,Bulgaria,2014,0.69,3.48,0.09,0.26,4.27,28.19,1.83,38.81,13.439,0.006696926854676687,0.041074484708683676,0.20976263114815094,0.0051343105885854595,0.13617084604509264,0.0,0.0051343105885854595,0.576679812486048,0.019346677580177097,95.354793412,2
85,Bulgaria,2015,1.62,3.73,0.23,0.75,4.71,29.07,1.91,42.03,15.857,0.014504635176893486,0.08173046604023462,0.18332597590969288,0.010216308255029328,0.12045153559941982,0.0,0.010216308255029328,0.532257047360787,0.04729772340291354,98.58733765,2
86,Bulgaria,2016,1.64,3.75,0.25,0.66,6.14,30.62,1.98,45.04,17.482,0.014300423292529459,0.07504862143919461,0.17515158448690082,0.009381077679899326,0.11325935247683332,0.0,0.009381077679899326,0.5657247454524654,0.03775311749227778,101.19922308,2
87,Bulgaria,2017,1.46,3.97,0.16,2.57,4.68,30.36,2.02,45.21,17.895999999999997,0.00894054537326777,0.06526598122485472,0.16964684845775596,0.00815824765310684,0.1128743853375056,0.0,0.00815824765310684,0.4833482342422889,0.14360751005811356,103.81110851,2
88,Bulgaria,2018,1.1,4.09,0.11,4.24,5.59,30.49,2.06,47.68,20.238999999999997,0.005435051138890262,0.0434804091111221,0.15064973565887643,0.005435051138890263,0.10178368496467219,0.0,0.005435051138890263,0.47828450022234303,0.20949651662631558,106.42299394,2
89,Bulgaria,2019,1.27,3.75,0.16,4.82,5.05,31.52,2.1,48.67,20.302,0.007880996946113683,0.05004433060782189,0.15525563983843957,0.006255541325977736,0.1034380849177421,0.0,0.006255541325977736,0.4334548320362526,0.23741503300167474,109.03487937,2
90,Canada,2011,69.87,454.82,0.0,0.0,0.01,468.05,0.0,992.75,571.505,0.0,0.09780491859213832,0.08189779616976231,0.01222561482401729,0.0,0.0,0.01222561482401729,0.7958460555900648,0.0,1248.397375,1
91,Canada,2012,72.47,419.5,0.0,0.0,0.01,462.66,0.0,954.64,538.246,0.0,0.10771283019288579,0.08595697877921993,0.013464103774110723,0.0,0.0,0.013464103774110723,0.7794019834796728,0.0,1278.761541,1
92,Canada,2013,69.8,443.81,0.0,0.0,0.31,473.77,0.0,987.69,561.297,0.0,0.09948387395621214,0.0844062947067239,0.012435484244526517,0.0,0.0,0.012435484244526517,0.7912388628480109,0.0,1309.125707,1
93,Canada,2014,70.72,475.49,0.0,0.0,0.53,491.66,0.0,1038.4,595.906,0.0,0.09494114843616276,0.08250630132940431,0.011867643554520345,0.0,0.0,0.011867643554520345,0.7988172631253923,0.0,1339.489873,1
94,Canada,2015,68.48,456.26,0.0,0.0,2.26,491.87,0.0,1018.87,576.187,0.0,0.09508024304609441,0.08536638278892096,0.011885030380761802,0.0,0.0,0.011885030380761802,0.795783313403461,0.0,1369.854039,1
95,Canada,2016,62.63,485.84,0.0,0.0,1.95,491.59,0.0,1042.01,599.5790000000001,0.0,0.08356530165332675,0.08198919575235289,0.010445662706665844,0.0,0.0,0.010445662706665844,0.8135541771809885,0.0,1385.3011774,1
96,Canada,2017,61.8,526.27,0.0,0.0,1.44,525.85,0.0,1115.36,642.095,0.0,0.07699795201644616,0.08189598112428847,0.00962474400205577,0.0,0.0,0.00962474400205577,0.8218565788551538,0.0,1400.7483158,1
97,Canada,2018,56.22,557.98,0.0,0.0,1.3,536.71,0.0,1152.21,669.1709999999999,0.0,0.06721151992540024,0.08020520913189605,0.00840143999067503,0.0,0.0,0.00840143999067503,0.8357803909613537,0.0,1416.1954542,1
98,Canada,2019,57.95,591.97,0.0,0.0,0.29,544.82,0.0,1195.03,704.692,0.0,0.06578760650042856,0.07731320917507224,0.00822345081255357,0.0,0.0,0.00822345081255357,0.8404522826993921,0.0,1431.6425926,1
99,Chile,2011,27.39,4.91,0.37,0.04,0.0,33.67,0.0,66.38,36.077000000000005,0.010255841671979377,0.6073675749092219,0.09332815921501234,0.07592094686365274,0.0,0.0,0.07592094686365274,0.13609779083626686,0.0011087396402139865,234.59259256,2
100,Chile,2012,20.9,5.11,0.4,0.0,0.0,33.51,0.0,59.92,29.760999999999996,0.01344040858842109,0.5618090789960015,0.11259702294949768,0.07022613487450019,0.0,0.0,0.07022613487450019,0.17170121971707944,0.0,245.49249002,2
101,Chile,2013,19.28,5.28,0.16,0.1,0.0,39.27,0.0,64.08,28.747000000000007,0.0055657981702438505,0.5365429436115072,0.13660555884092251,0.0670678679514384,0.0,0.0,0.0670678679514384,0.18367133961804707,0.0034786238564024066,256.39238748,2
102,Chile,2014,15.4,5.37,0.38,3.26,0.0,41.04,0.0,65.45,28.514000000000003,0.013326786841551518,0.4320684575997755,0.14392929788875639,0.05400855719997194,0.0,0.0,0.05400855719997194,0.18832854036613592,0.1143298029038367,267.29228494,2
103,Chile,2015,17.73,5.65,0.32,1.11,0.0,42.45,0.0,67.27,29.055,0.011013594906212357,0.4881775942178627,0.1461022199277233,0.06102219927723284,0.0,0.0,0.06102219927723284,0.19445878506281192,0.038203407330924116,278.1921824,2
