Year,iso_code3,ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha
2025,BHS,0.003886
2026,BHS,0.003886
2027,BHS,0.003886
2028,BHS,0.003886
2029,BHS,0.003886
2030,BHS,0.003886
2031,BHS,0.003886
2032,BHS,0.003886
2033,BHS,0.003886
2034,BHS,0.003886
2035,BHS,0.003886
2036,BHS,0.003886
2037,BHS,0.003886
2038,BHS,0.003886
2039,BHS,0.003886
2040,BHS,0.003886
2041,BHS,0.003886
2042,BHS,0.003886
2043,BHS,0.003886
2044,BHS,0.003886
2045,BHS,0.003886
2046,BHS,0.003886
2047,BHS,0.003886
2048,BHS,0.003886
2049,BHS,0.003886
2050,BHS,0.003886
2020,BIH,0.004344
2021,BIH,0.004344
2022,BIH,0.004344
2023,BIH,0.004344
2024,BIH,0.004344
2025,BIH,0.004344
2026,BIH,0.004344
2027,BIH,0.004344
2028,BIH,0.004344
2029,BIH,0.004344
2030,BIH,0.004344
2031,BIH,0.004344
2032,BIH,0.004344
2033,BIH,0.004344
2034,BIH,0.004344
2035,BIH,0.004344
2036,BIH,0.004344
2037,BIH,0.004344
2038,BIH,0.004344
2039,BIH,0.004344
2040,BIH,0.004344
2041,BIH,0.004344
2042,BIH,0.004344
2043,BIH,0.004344
2044,BIH,0.004344
2045,BIH,0.004344
2046,BIH,0.004344
2047,BIH,0.004344
2048,BIH,0.004344
2049,BIH,0.004344
2050,BIH,0.004344
2020,BOL,0.003481
2021,BOL,0.003481
2022,BOL,0.003481
2023,BOL,0.003481
2024,BOL,0.003481
2025,BOL,0.003481
2026,BOL,0.003481
2027,BOL,0.003481
2028,BOL,0.003481
2029,BOL,0.003481
2030,BOL,0.003481
2031,BOL,0.003481
2032,BOL,0.003481
2033,BOL,0.003481
2034,BOL,0.003481
2035,BOL,0.003481
2036,BOL,0.003481
2037,BOL,0.003481
2038,BOL,0.003481
2039,BOL,0.003481
2040,BOL,0.003481
2041,BOL,0.003481
2042,BOL,0.003481
2043,BOL,0.003481
2044,BOL,0.003481
2045,BOL,0.003481
2046,BOL,0.003481
2047,BOL,0.003481
2048,BOL,0.003481
2049,BOL,0.003481
2050,BOL,0.003481
2020,BRA,0.003933
2021,BRA,0.003933
2022,BRA,0.003933
2023,BRA,0.003933
2024,BRA,0.003933
2025,BRA,0.003933
2026,BRA,0.003933
2027,BRA,0.003933
2028,BRA,0.003933
2029,BRA,0.003933
2030,BRA,0.003933
2031,BRA,0.003933
2032,BRA,0.003933
2033,BRA,0.003933
2034,BRA,0.003933
2035,BRA,0.003933
2036,BRA,0.003933
2037,BRA,0.003933
2038,BRA,0.003933
2039,BRA,0.003933
2040,BRA,0.003933
2041,BRA,0.003933
2042,BRA,0.003933
2043,BRA,0.003933
2044,BRA,0.003933
2045,BRA,0.003933
2046,BRA,0.003933
2047,BRA,0.003933
2048,BRA,0.003933
2049,BRA,0.003933
2050,BRA,0.003933
2020,BTN,0.002826
2021,BTN,0.002826
2022,BTN,0.002826
2023,BTN,0.002826
2024,BTN,0.002826
2025,BTN,0.002826
2026,BTN,0.002826
2027,BTN,0.002826
2028,BTN,0.002826
2029,BTN,0.002826
2030,BTN,0.002826
2031,BTN,0.002826
2032,BTN,0.002826
2033,BTN,0.002826
2034,BTN,0.002826
2035,BTN,0.002826
2036,BTN,0.002826
2037,BTN,0.002826
2038,BTN,0.002826
2039,BTN,0.002826
2040,BTN,0.002826
2041,BTN,0.002826
2042,BTN,0.002826
2043,BTN,0.002826
2044,BTN,0.002826
2045,BTN,0.002826
2046,BTN,0.002826
2047,BTN,0.002826
2048,BTN,0.002826
2049,BTN,0.002826
2050,BTN,0.002826
2020,CAF,0.003964
2021,CAF,0.003964
2022,CAF,0.003964
2023,CAF,0.003964
2024,CAF,0.003964
2025,CAF,0.003964
2026,CAF,0.003964
2027,CAF,0.003964
2028,CAF,0.003964
2029,CAF,0.003964
2030,CAF,0.003964
2031,CAF,0.003964
2032,CAF,0.003964
2033,CAF,0.003964
2034,CAF,0.003964
2035,CAF,0.003964
2036,CAF,0.003964
2037,CAF,0.003964
2038,CAF,0.003964
2039,CAF,0.003964
2040,CAF,0.003964
2041,CAF,0.003964
2042,CAF,0.003964
2043,CAF,0.003964
2044,CAF,0.003964
2045,CAF,0.003964
2046,CAF,0.003964
2047,CAF,0.003964
2048,CAF,0.003964
2049,CAF,0.003964
2050,CAF,0.003964
2020,CAN,0.002935
2021,CAN,0.002935
2022,CAN,0.002935
2023,CAN,0.002935
2024,CAN,0.002935
2025,CAN,0.002935
2026,CAN,0.002935
2027,CAN,0.002935
2028,CAN,0.002935
2029,CAN,0.002935
2030,CAN,0.002935
2031,CAN,0.002935
2032,CAN,0.002935
2033,CAN,0.002935
2034,CAN,0.002935
2035,CAN,0.002935
2036,CAN,0.002935
2037,CAN,0.002935
2038,CAN,0.002935
2039,CAN,0.002935
2040,CAN,0.002935
2041,CAN,0.002935
2042,CAN,0.002935
2043,CAN,0.002935
2044,CAN,0.002935
2045,CAN,0.002935
2046,CAN,0.002935
2047,CAN,0.002935
2048,CAN,0.002935
2049,CAN,0.002935
2050,CAN,0.002935
2020,CHE,0.003532
2021,CHE,0.003532
2022,CHE,0.003532
2023,CHE,0.003532
2024,CHE,0.003532
2025,CHE,0.003532
2026,CHE,0.003532
2027,CHE,0.003532
2028,CHE,0.003532
2029,CHE,0.003532
2030,CHE,0.003532
2031,CHE,0.003532
2032,CHE,0.003532
2033,CHE,0.003532
2034,CHE,0.003532
2035,CHE,0.003532
2036,CHE,0.003532
2037,CHE,0.003532
2038,CHE,0.003532
2039,CHE,0.003532
2040,CHE,0.003532
2041,CHE,0.003532
2042,CHE,0.003532
2043,CHE,0.003532
2044,CHE,0.003532
2045,CHE,0.003532
2046,CHE,0.003532
2047,CHE,0.003532
2048,CHE,0.003532
2049,CHE,0.003532
2050,CHE,0.003532
2020,CHL,0.003249
2021,CHL,0.003249
2022,CHL,0.003249
2023,CHL,0.003249
2024,CHL,0.003249
2025,CHL,0.003249
2026,CHL,0.003249
2027,CHL,0.003249
2028,CHL,0.003249
2029,CHL,0.003249
2030,CHL,0.003249
2031,CHL,0.003249
2032,CHL,0.003249
2033,CHL,0.003249
2034,CHL,0.003249
2035,CHL,0.003249
2036,CHL,0.003249
2037,CHL,0.003249
2038,CHL,0.003249
2039,CHL,0.003249
2040,CHL,0.003249
2041,CHL,0.003249
2042,CHL,0.003249
2043,CHL,0.003249
2044,CHL,0.003249
2045,CHL,0.003249
2046,CHL,0.003249
2047,CHL,0.003249
2048,CHL,0.003249
2049,CHL,0.003249
2050,CHL,0.003249
2020,CHN,0.003151
2021,CHN,0.003151
2022,CHN,0.003151
2023,CHN,0.003151
2024,CHN,0.003151
2025,CHN,0.003151
2026,CHN,0.003151
2027,CHN,0.003151
2028,CHN,0.003151
2029,CHN,0.003151
2030,CHN,0.003151
2031,CHN,0.003151
2032,CHN,0.003151
2033,CHN,0.003151
2034,CHN,0.003151
2035,CHN,0.003151
2036,CHN,0.003151
2037,CHN,0.003151
2038,CHN,0.003151
2039,CHN,0.003151
2040,CHN,0.003151
2041,CHN,0.003151
2042,CHN,0.003151
2043,CHN,0.003151
2044,CHN,0.003151
2045,CHN,0.003151
2046,CHN,0.003151
2047,CHN,0.003151
2048,CHN,0.003151
2049,CHN,0.003151
2050,CHN,0.003151
2020,CIV,0.003964
2021,CIV,0.003964
2022,CIV,0.003964
2023,CIV,0.003964
2024,CIV,0.003964
2025,CIV,0.003964
2026,CIV,0.003964
2027,CIV,0.003964
2028,CIV,0.003964
2029,CIV,0.003964
2030,CIV,0.003964
2031,CIV,0.003964
2032,CIV,0.003964
2033,CIV,0.003964
2034,CIV,0.003964
2035,CIV,0.003964
2036,CIV,0.003964
2037,CIV,0.003964
2038,CIV,0.003964
2039,CIV,0.003964
2040,CIV,0.003964
2041,CIV,0.003964
2042,CIV,0.003964
2043,CIV,0.003964
2044,CIV,0.003964
2045,CIV,0.003964
2046,CIV,0.003964
2047,CIV,0.003964
2048,CIV,0.003964
2049,CIV,0.003964
2050,CIV,0.003964
2020,CMR,0.003916
2021,CMR,0.003916
2022,CMR,0.003916
2023,CMR,0.003916
2024,CMR,0.003916
2025,CMR,0.003916
2026,CMR,0.003916
2027,CMR,0.003916
2028,CMR,0.003916
2029,CMR,0.003916
2030,CMR,0.003916
2031,CMR,0.003916
2032,CMR,0.003916
2033,CMR,0.003916
2034,CMR,0.003916
2035,CMR,0.003916
2036,CMR,0.003916
2037,CMR,0.003916
2038,CMR,0.003916
2039,CMR,0.003916
2040,CMR,0.003916
2041,CMR,0.003916
2042,CMR,0.003916
2043,CMR,0.003916
2044,CMR,0.003916
2045,CMR,0.003916
2046,CMR,0.003916
2047,CMR,0.003916
2048,CMR,0.003916
2049,CMR,0.003916
2050,CMR,0.003916
2020,COD,0.003874
2021,COD,0.003874
2022,COD,0.003874
2023,COD,0.003874
2024,COD,0.003874
2025,COD,0.003874
2026,COD,0.003874
2027,COD,0.003874
2028,COD,0.003874
2029,COD,0.003874
2030,COD,0.003874
2031,COD,0.003874
2032,COD,0.003874
2033,COD,0.003874
2034,COD,0.003874
2035,COD,0.003874
2036,COD,0.003874
2037,COD,0.003874
2038,COD,0.003874
2039,COD,0.003874
2040,COD,0.003874
2041,COD,0.003874
2042,COD,0.003874
2043,COD,0.003874
2044,COD,0.003874
2045,COD,0.003874
2046,COD,0.003874
2047,COD,0.003874
2048,COD,0.003874
2049,COD,0.003874
2050,COD,0.003874
2020,COG,0.003964
2021,COG,0.003964
2022,COG,0.003964
2023,COG,0.003964
2024,COG,0.003964
2025,COG,0.003964
2026,COG,0.003964
2027,COG,0.003964
2028,COG,0.003964
2029,COG,0.003964
2030,COG,0.003964
2031,COG,0.003964
2032,COG,0.003964
2033,COG,0.003964
2034,COG,0.003964
2035,COG,0.003964
2036,COG,0.003964
2037,COG,0.003964
2038,COG,0.003964
2039,COG,0.003964
2040,COG,0.003964
2041,COG,0.003964
2042,COG,0.003964
2043,COG,0.003964
2044,COG,0.003964
2045,COG,0.003964
2046,COG,0.003964
2047,COG,0.003964
2048,COG,0.003964
2049,COG,0.003964
2050,COG,0.003964
2020,COL,0.003873
2021,COL,0.003873
2022,COL,0.003873
2023,COL,0.003873
2024,COL,0.003873
2025,COL,0.003873
2026,COL,0.003873
2027,COL,0.003873
2028,COL,0.003873
2029,COL,0.003873
2030,COL,0.003873
2031,COL,0.003873
2032,COL,0.003873
2033,COL,0.003873
2034,COL,0.003873
2035,COL,0.003873
2036,COL,0.003873
2037,COL,0.003873
2038,COL,0.003873
2039,COL,0.003873
2040,COL,0.003873
2041,COL,0.003873
2042,COL,0.003873
2043,COL,0.003873
2044,COL,0.003873
2045,COL,0.003873
2046,COL,0.003873
2047,COL,0.003873
2048,COL,0.003873
2049,COL,0.003873
2050,COL,0.003873
2020,CRI,0.004002
2021,CRI,0.004002
2022,CRI,0.004002
2023,CRI,0.004002
2024,CRI,0.004002
2025,CRI,0.004002
2026,CRI,0.004002
2027,CRI,0.004002
2028,CRI,0.004002
2029,CRI,0.004002
2030,CRI,0.004002
2031,CRI,0.004002
2032,CRI,0.004002
2033,CRI,0.004002
2034,CRI,0.004002
2035,CRI,0.004002
2036,CRI,0.004002
2037,CRI,0.004002
2038,CRI,0.004002
2039,CRI,0.004002
2040,CRI,0.004002
2041,CRI,0.004002
2042,CRI,0.004002
2043,CRI,0.004002
2044,CRI,0.004002
2045,CRI,0.004002
2046,CRI,0.004002
2047,CRI,0.004002
2048,CRI,0.004002
2049,CRI,0.004002
2050,CRI,0.004002
2020,CUB,0.003963
2021,CUB,0.003963
2022,CUB,0.003963
2023,CUB,0.003963
2024,CUB,0.003963
2025,CUB,0.003963
2026,CUB,0.003963
2027,CUB,0.003963
2028,CUB,0.003963
2029,CUB,0.003963
2030,CUB,0.003963
2031,CUB,0.003963
2032,CUB,0.003963
2033,CUB,0.003963
2034,CUB,0.003963
2035,CUB,0.003963
2036,CUB,0.003963
2037,CUB,0.003963
2038,CUB,0.003963
2039,CUB,0.003963
2040,CUB,0.003963
2041,CUB,0.003963
2042,CUB,0.003963
2043,CUB,0.003963
2044,CUB,0.003963
2045,CUB,0.003963
2046,CUB,0.003963
2047,CUB,0.003963
2048,CUB,0.003963
2049,CUB,0.003963
2050,CUB,0.003963
2020,CUW,0.002848
2021,CUW,0.002848
2022,CUW,0.002848
2023,CUW,0.002848
2024,CUW,0.002848
2025,CUW,0.002848
2026,CUW,0.002848
2027,CUW,0.002848
2028,CUW,0.002848
2029,CUW,0.002848
2030,CUW,0.002848
2031,CUW,0.002848
2032,CUW,0.002848
2033,CUW,0.002848
2034,CUW,0.002848
2035,CUW,0.002848
2036,CUW,0.002848
2037,CUW,0.002848
2038,CUW,0.002848
2039,CUW,0.002848
2040,CUW,0.002848
2041,CUW,0.002848
2042,CUW,0.002848
2043,CUW,0.002848
2044,CUW,0.002848
2045,CUW,0.002848
2046,CUW,0.002848
2047,CUW,0.002848
2048,CUW,0.002848
2049,CUW,0.002848
2050,CUW,0.002848
2020,CYP,0.002757
2021,CYP,0.002757
2022,CYP,0.002757
2023,CYP,0.002757
2024,CYP,0.002757
2025,CYP,0.002757
2026,CYP,0.002757
2027,CYP,0.002757
2028,CYP,0.002757
2029,CYP,0.002757
2030,CYP,0.002757
2031,CYP,0.002757
2032,CYP,0.002757
2033,CYP,0.002757
2034,CYP,0.002757
2035,CYP,0.002757
2036,CYP,0.002757
2037,CYP,0.002757
2038,CYP,0.002757
2039,CYP,0.002757
2040,CYP,0.002757
2041,CYP,0.002757
2042,CYP,0.002757
2043,CYP,0.002757
2044,CYP,0.002757
2045,CYP,0.002757
2046,CYP,0.002757
2047,CYP,0.002757
2048,CYP,0.002757
2049,CYP,0.002757
2050,CYP,0.002757
2020,CZE,0.003922
2021,CZE,0.003922
2022,CZE,0.003922
2023,CZE,0.003922
2024,CZE,0.003922
2025,CZE,0.003922
2026,CZE,0.003922
2027,CZE,0.003922
2028,CZE,0.003922
2029,CZE,0.003922
2030,CZE,0.003922
2031,CZE,0.003922
2032,CZE,0.003922
2033,CZE,0.003922
2034,CZE,0.003922
2035,CZE,0.003922
2036,CZE,0.003922
2037,CZE,0.003922
2038,CZE,0.003922
2039,CZE,0.003922
2040,CZE,0.003922
2041,CZE,0.003922
2042,CZE,0.003922
2043,CZE,0.003922
2044,CZE,0.003922
2045,CZE,0.003922
2046,CZE,0.003922
2047,CZE,0.003922
2048,CZE,0.003922
2049,CZE,0.003922
2050,CZE,0.003922
2020,DEU,0.004575
2021,DEU,0.004575
2022,DEU,0.004575
2023,DEU,0.004575
2024,DEU,0.004575
2025,DEU,0.004575
2026,DEU,0.004575
2027,DEU,0.004575
2028,DEU,0.004575
2029,DEU,0.004575
2030,DEU,0.004575
2031,DEU,0.004575
2032,DEU,0.004575
2033,DEU,0.004575
2034,DEU,0.004575
2035,DEU,0.004575
2036,DEU,0.004575
2037,DEU,0.004575
2038,DEU,0.004575
2039,DEU,0.004575
2040,DEU,0.004575
2041,DEU,0.004575
2042,DEU,0.004575
2043,DEU,0.004575
2044,DEU,0.004575
2045,DEU,0.004575
2046,DEU,0.004575
2047,DEU,0.004575
2048,DEU,0.004575
2049,DEU,0.004575
2050,DEU,0.004575
2020,DNK,0.004653
2021,DNK,0.004653
2022,DNK,0.004653
2023,DNK,0.004653
2024,DNK,0.004653
2025,DNK,0.004653
2026,DNK,0.004653
2027,DNK,0.004653
2028,DNK,0.004653
2029,DNK,0.004653
2030,DNK,0.004653
2031,DNK,0.004653
2032,DNK,0.004653
2033,DNK,0.004653
2034,DNK,0.004653
2035,DNK,0.004653
2036,DNK,0.004653
2037,DNK,0.004653
2038,DNK,0.004653
2039,DNK,0.004653
2040,DNK,0.004653
2041,DNK,0.004653
2042,DNK,0.004653
2043,DNK,0.004653
2044,DNK,0.004653
2045,DNK,0.004653
2046,DNK,0.004653
2047,DNK,0.004653
2048,DNK,0.004653
2049,DNK,0.004653
2050,DNK,0.004653
2020,DOM,0.003992
2021,DOM,0.003992
2022,DOM,0.003992
2023,DOM,0.003992
2024,DOM,0.003992
2025,DOM,0.003992
2026,DOM,0.003992
2027,DOM,0.003992
2028,DOM,0.003992
2029,DOM,0.003992
2030,DOM,0.003992
2031,DOM,0.003992
2032,DOM,0.003992
2033,DOM,0.003992
2034,DOM,0.003992
2035,DOM,0.003992
2036,DOM,0.003992
2037,DOM,0.003992
2038,DOM,0.003992
2039,DOM,0.003992
2040,DOM,0.003992
2041,DOM,0.003992
2042,DOM,0.003992
2043,DOM,0.003992
2044,DOM,0.003992
2045,DOM,0.003992
2046,DOM,0.003992
2047,DOM,0.003992
2048,DOM,0.003992
2049,DOM,0.003992
2050,DOM,0.003992
2020,DZA,0.002771
2021,DZA,0.002771
2022,DZA,0.002771
2023,DZA,0.002771
2024,DZA,0.002771
2025,DZA,0.002771
2026,DZA,0.002771
2027,DZA,0.002771
2028,DZA,0.002771
2029,DZA,0.002771
2030,DZA,0.002771
2031,DZA,0.002771
2032,DZA,0.002771
2033,DZA,0.002771
2034,DZA,0.002771
2035,DZA,0.002771
2036,DZA,0.002771
2037,DZA,0.002771
2038,DZA,0.002771
2039,DZA,0.002771
2040,DZA,0.002771
2041,DZA,0.002771
2042,DZA,0.002771
2043,DZA,0.002771
2044,DZA,0.002771
2045,DZA,0.002771
2046,DZA,0.002771
2047,DZA,0.002771
2048,DZA,0.002771
2049,DZA,0.002771
2050,DZA,0.002771
2020,ECU,0.003563
2021,ECU,0.003563
2022,ECU,0.003563
2023,ECU,0.003563
2024,ECU,0.003563
2025,ECU,0.003563
2026,ECU,0.003563
2027,ECU,0.003563
2028,ECU,0.003563
2029,ECU,0.003563
2030,ECU,0.003563
2031,ECU,0.003563
2032,ECU,0.003563
2033,ECU,0.003563
2034,ECU,0.003563
2035,ECU,0.003563
2036,ECU,0.003563
2037,ECU,0.003563
2038,ECU,0.003563
2039,ECU,0.003563
