Year,iso_code3,prodinit_ippu_cement_tonne
2020,AUS,66415493.68
2010,AUT,29092030.94
2011,AUT,36099579.2
2012,AUT,33638446.51
2013,AUT,33053436.18
2014,AUT,36580658.24
2015,AUT,31832230.72
2016,AUT,34419216.18
2017,AUT,36423877.1
2018,AUT,34689220.03
2019,AUT,33287699.19
2020,AUT,32064992.78
2010,AZE,20575730.65
2011,AZE,18314470.81
2012,AZE,18131570.14
2013,AZE,16542929.02
2014,AZE,11799456.37
2015,AZE,3224535.43
2016,AZE,2022585.976
2017,AZE,2063480.975
2018,AZE,1994781.879
2019,AZE,2358702.977
2020,AZE,2027936.204
2010,BDI,2478484.315
2011,BDI,2229867.105
2012,BDI,1761186.244
2013,BDI,1188138.909
2014,BDI,1279487.039
2015,BDI,1280150.372
2016,BDI,1326564.13
2017,BDI,1877909.718
2018,BDI,1656205.468
2019,BDI,3310252.382
2020,BDI,2578959.801
2010,BEL,39621469.72
2011,BEL,49118854.71
2012,BEL,41180067.6
2013,BEL,41239383.64
2014,BEL,42620061.96
2015,BEL,37300907.42
2016,BEL,37209860.32
2017,BEL,36683831.43
2018,BEL,36237361.45
2019,BEL,37231824.12
2020,BEL,32981851.57
2010,BEN,4451540.849
2011,BEN,5971485.025
2012,BEN,6266942.671
2013,BEN,5618619.138
2014,BEN,6230578.969
2015,BEN,6921540.436
2016,BEN,3946895.13
2017,BEN,3709029.47
2018,BEN,4938807.043
2019,BEN,4632789.006
2020,BEN,4626773.638
2010,BFA,5755389.58
2011,BFA,6623532.277
2012,BFA,8733011.311
2013,BFA,8025276.928
2014,BFA,7636431.24
2015,BFA,5679414.821
2016,BFA,6446668.422
2017,BFA,7813173.527
2018,BFA,6584945.974
2019,BFA,5162302.062
2020,BFA,6846014.614
2010,BGD,43747001.85
2011,BGD,31160355.01
2012,BGD,44899563.82
2013,BGD,47269214.58
2014,BGD,52306486.87
2015,BGD,55346759.22
2016,BGD,76845878.99
2017,BGD,83222166.67
2018,BGD,86284682.92
2019,BGD,98587856.18
2020,BGD,79777114.35
2010,BGR,3651408.67
2011,BGR,3855801.757
2012,BGR,4471048.387
2013,BGR,3453937.755
2014,BGR,3326611.808
2015,BGR,3837663.703
2016,BGR,4093579.555
2017,BGR,3616792.641
2018,BGR,3455169.054
2019,BGR,3204833.957
2020,BGR,4178392.493
2010,BHR,3947614.096
2011,BHR,2888418.261
2012,BHR,2628289.399
2013,BHR,2666253.559
2014,BHR,2807904.4
2015,BHR,3043846.618
2016,BHR,5268858.6
2017,BHR,4193407.424
2018,BHR,5199112.884
2019,BHR,3148035.534
2020,BHR,2525170.315
2010,BHS,1021242.33
2011,BHS,1462061.536
2012,BHS,1472907.2
2013,BHS,2171524.916
2014,BHS,1296335.681
2015,BHS,1433789.955
2016,BHS,1371682.63
2017,BHS,1141849.744
2018,BHS,2088721.572
2019,BHS,1407864.774
2020,BHS,940599.936
2010,BIH,5224607.719
2011,BIH,5847477.586
2012,BIH,4526693.194
2013,BIH,3989756.838
2014,BIH,4944542.912
2015,BIH,3768735.849
2016,BIH,3938912.913
2017,BIH,3926381.236
2018,BIH,4132842.791
2019,BIH,5710128.343
2020,BIH,5262309.777
2010,BLR,6593966.628
2011,BLR,5986272.944
2012,BLR,8964688.868
2013,BLR,14638751.38
2014,BLR,18208046.51
2015,BLR,9088895.237
2016,BLR,8593946.584
2017,BLR,9034695.107
2018,BLR,8147293.305
2019,BLR,9031507.499
2020,BLR,8020876.753
2010,BLZ,536252.7823
2011,BLZ,493759.1189
2012,BLZ,591437.1653
2013,BLZ,649489.2675
2014,BLZ,640773.2737
2015,BLZ,607293.1093
2016,BLZ,673987.4817
2017,BLZ,3782918.087
2018,BLZ,829961.7178
2019,BLZ,763989.3017
2020,BLZ,745957.5018
2010,BMU,521368.7402
2011,BMU,379316.0041
2012,BMU,398958.4068
2013,BMU,182167.3897
2014,BMU,388944.1388
2015,BMU,212177.9328
2016,BMU,286594.4117
2017,BMU,401389.3162
2018,BMU,297054.0307
2019,BMU,144427.0239
2020,BMU,303081.8836
2010,BOL,1272375.87
2011,BOL,1800058.778
2012,BOL,2772108.289
2013,BOL,2716931.433
2014,BOL,2517717.866
2015,BOL,3556005.969
2016,BOL,4415524.657
2017,BOL,3724408.456
2018,BOL,2526864.558
2019,BOL,1970086.281
2020,BOL,890566.0093
2010,BRA,64090000.0
2011,BRA,64090000.0
2012,BRA,68810000.0
2013,BRA,70160000.0
2014,BRA,71710000.0
2015,BRA,65280000.0
2016,BRA,57560000.0
2017,BRA,54000000.0
2018,BRA,53550000.0
2019,BRA,54680000.0
2020,BRA,60790000.0
2010,BRB,1116866.207
2011,BRB,967495.8707
2012,BRB,1038006.905
2013,BRB,2154325.367
2014,BRB,2149342.922
2015,BRB,1725396.061
2016,BRB,2487113.609
2017,BRB,2099704.94
2018,BRB,2684525.112
2019,BRB,2977281.895
2020,BRB,2166949.667
2010,BRN,1919473.064
2011,BRN,3047951.342
2012,BRN,3047972.765
2013,BRN,2198377.943
2014,BRN,2189234.522
2015,BRN,2671020.185
2016,BRN,2960289.381
2017,BRN,5887780.017
2018,BRN,4090132.704
2019,BRN,2261773.375
2020,BRN,602702.816
2010,BTN,67611.46126
2011,BTN,218231.9879
2012,BTN,343750.7679
2013,BTN,382492.1451
2014,BTN,277142.309
2015,BTN,170701.419
2016,BTN,53216.41789
2017,BTN,113415.8181
2018,BTN,266289.6744
2019,BTN,1662784.768
2020,BTN,1338771.573
2010,BWA,5589995.161
2011,BWA,4482214.761
2012,BWA,4039736.398
2013,BWA,2634358.595
2014,BWA,2865160.652
2015,BWA,2767800.971
2016,BWA,3203488.344
2017,BWA,3688553.622
2018,BWA,3606178.401
2019,BWA,3557198.736
2020,BWA,3002809.819
2010,CAF,451463.3534
2011,CAF,624034.0533
2012,CAF,621948.1187
2013,CAF,312165.9416
2014,CAF,53897.18577
2015,CAF,59133.65124
2016,CAF,155358.9611
2017,CAF,231080.0184
2018,CAF,243500.0837
2019,CAF,116446.1642
2020,CAF,133035.9622
2010,CAN,84882033.97
2011,CAN,92505277.98
2012,CAN,106936628.1
2013,CAN,103486271.4
2014,CAN,105421995.0
2015,CAN,114065103.1
2016,CAN,121113611.3
2017,CAN,128665188.3
2018,CAN,137632959.3
2019,CAN,137695725.3
2020,CAN,121616556.0
2010,CHE,15482206.98
2011,CHE,18474585.52
2012,CHE,18748274.97
2013,CHE,18836644.23
2014,CHE,20999968.36
2015,CHE,18205151.55
2016,CHE,17149402.37
2017,CHE,18780893.42
2018,CHE,17197020.66
2019,CHE,15702772.91
2020,CHE,14783393.58
2010,CHL,4410000.0
2011,CHL,4410000.0
2012,CHL,4720000.0
2013,CHL,4880000.0
2014,CHL,4200000.0
2015,CHL,4320000.0
2016,CHL,4310000.0
2017,CHL,4000000.0
2018,CHL,4750000.0
2019,CHL,5030000.0
2020,CHL,4280000.0
2010,CHN,182741630.4
2011,CHN,224832779.9
2012,CHN,259982380.1
2013,CHN,338901495.6
2014,CHN,359634142.6
2015,CHN,464272806.8
2016,CHN,482004194.3
2017,CHN,528975471.0
2018,CHN,646804220.8
2019,CHN,678659622.9
2020,CHN,649062940.3
2010,CIV,6650833.562
2011,CIV,5998003.276
2012,CIV,6277486.989
2013,CIV,9252420.149
2014,CIV,11601902.21
2015,CIV,15067113.73
2016,CIV,12593269.46
2017,CIV,10711038.81
2018,CIV,13062315.18
2019,CIV,14443393.14
2020,CIV,12972063.64
2010,CMR,5840364.93
2011,CMR,6761767.037
2012,CMR,10853905.49
2013,CMR,13049233.59
2014,CMR,10352081.96
2015,CMR,8937811.62
2016,CMR,9379272.659
2017,CMR,10193312.12
2018,CMR,13920588.85
2019,CMR,8108208.7
2020,CMR,7471946.854
2010,COD,4546260.133
2011,COD,6440309.451
2012,COD,9182234.214
2013,COD,16019075.66
2014,COD,8223160.732
2015,COD,9656759.057
2016,COD,6374301.591
2017,COD,2913731.944
2018,COD,4309453.557
2019,COD,6937550.788
2020,COD,5889085.494
2010,COG,2274577.634
2011,COG,2808906.333
2012,COG,5188171.951
2013,COG,4805335.015
2014,COG,3610881.349
2015,COG,1583408.043
2016,COG,662850.3014
2017,COG,505070.8255
2018,COG,324920.8646
2019,COG,774103.3363
2020,COG,349981.9265
2010,COL,22330305.64
2011,COL,22801644.94
2012,COL,19884803.21
2013,COL,23798138.42
2014,COL,25663450.83
2015,COL,32911258.18
2016,COL,36022205.08
2017,COL,26261299.45
2018,COL,16500891.6
2019,COL,17706517.26
2020,COL,13749417.12
2010,COM,1452452.573
2011,COM,1421283.418
2012,COM,1444022.953
2013,COM,1477608.553
2014,COM,1196398.545
2015,COM,1846217.623
2016,COM,1278705.635
2017,COM,1119231.01
2018,COM,935050.5176
2019,COM,975555.5918
2020,COM,1083716.321
2010,CPV,930193.4426
2011,CPV,849849.8993
2012,CPV,738857.6392
2013,CPV,750984.9916
2014,CPV,665232.718
2015,CPV,600049.7494
2016,CPV,668036.2176
2017,CPV,500491.775
2018,CPV,565331.3737
2019,CPV,609381.04
2020,CPV,631787.6206
2010,CRI,3294779.964
2011,CRI,5366483.74
2012,CRI,6992193.608
2013,CRI,4742009.052
2014,CRI,3898121.885
2015,CRI,4497955.986
2016,CRI,6349316.817
2017,CRI,6444216.924
2018,CRI,5259717.407
2019,CRI,5167069.168
2020,CRI,4541190.8
2010,CUB,2920817.571
2011,CUB,2626392.8
2012,CUB,4338635.183
2013,CUB,4441800.743
2014,CUB,1227117.868
2015,CUB,1835803.177
2016,CUB,2086809.124
2017,CUB,1845907.847
2018,CUB,2867952.932
2019,CUB,2377600.826
2020,CUB,2116336.302
2010,CUW,183910.4666
2011,CUW,304920.2387
2012,CUW,234924.3472
2013,CUW,152832.3118
2014,CUW,153892.1722
2015,CUW,138154.8527
2016,CUW,135851.8154
2017,CUW,166797.5285
2018,CUW,183910.4666
2019,CUW,183910.4666
2020,CUW,183910.4666
2010,CYM,229942.4406
2011,CYM,229942.4406
2012,CYM,229942.4406
2013,CYM,229942.4406
2014,CYM,229942.4406
2015,CYM,229942.4406
2016,CYM,229942.4406
2017,CYM,302138.535
2018,CYM,160599.0231
2019,CYM,185954.8243
2020,CYM,271077.38
2010,CYP,1836184.978
2011,CYP,1511925.998
2012,CYP,2028826.475
2013,CYP,3656640.327
2014,CYP,3227180.568
2015,CYP,3368693.863
2016,CYP,2982295.905
2017,CYP,2110188.812
2018,CYP,2622117.513
2019,CYP,2629781.543
2020,CYP,2390910.25
2010,CZE,17722017.54
2011,CZE,22464044.44
2012,CZE,17991123.26
2013,CZE,16740009.37
2014,CZE,17574259.23
2015,CZE,15527622.62
2016,CZE,15891089.37
2017,CZE,16190693.73
2018,CZE,17258474.43
2019,CZE,17841488.07
2020,CZE,17846717.22
2010,DEU,161048693.4
2011,DEU,199631946.0
2012,DEU,170460313.6
2013,DEU,169681559.3
2014,DEU,174098641.3
2015,DEU,150850969.2
2016,DEU,164633981.2
2017,DEU,165602979.1
2018,DEU,165502691.3
2019,DEU,158880347.6
2020,DEU,151080755.7
2010,DJI,301443.2516
2011,DJI,301443.2516
2012,DJI,301443.2516
2013,DJI,155193.7401
2014,DJI,383165.9423
2015,DJI,306062.3973
2016,DJI,326833.7896
2017,DJI,272041.7519
2018,DJI,531443.2038
2019,DJI,247690.1471
2020,DJI,189115.0407
2010,DMA,158815.4545
2011,DMA,109620.5685
2012,DMA,437908.1381
2013,DMA,440422.8146
2014,DMA,45492.58912
2015,DMA,58015.48796
2016,DMA,14717.57467
2017,DMA,100062.709
2018,DMA,93896.17953
2019,DMA,162105.724
2020,DMA,162105.724
2010,DNK,23702722.36
2011,DNK,29958204.89
2012,DNK,27899306.51
2013,DNK,26056300.38
2014,DNK,29004199.96
2015,DNK,26350230.45
2016,DNK,32942219.0
2017,DNK,31255621.57
2018,DNK,29985798.98
2019,DNK,27140170.87
2020,DNK,25109260.34
2010,DOM,11425273.14
2011,DOM,12611449.07
2012,DOM,16091721.21
2013,DOM,13796606.46
2014,DOM,15176974.21
2015,DOM,14282374.91
2016,DOM,11886892.52
2017,DOM,11428581.28
2018,DOM,10821851.22
2019,DOM,11487972.3
2020,DOM,10215273.3
2010,DZA,18591836.59
2011,DZA,19446344.7
2012,DZA,22850601.35
2013,DZA,29454806.41
2014,DZA,39323875.55
2015,DZA,31374245.53
2016,DZA,20389739.99
2017,DZA,7873410.34
2018,DZA,6802435.143
2019,DZA,11050231.77
2020,DZA,8460549.543
2010,ECU,1594218.873
2011,ECU,4643891.904
2012,ECU,5141381.743
2013,ECU,7786311.22
2014,ECU,7969599.152
2015,ECU,3888667.673
2016,ECU,3831935.049
2017,ECU,2877043.468
2018,ECU,2831684.912
2019,ECU,3149571.801
2020,ECU,3944281.371
2010,EGY,30897311.9
2011,EGY,24639753.05
2012,EGY,44779157.13
2013,EGY,41979917.48
2014,EGY,56549566.27
2015,EGY,27091392.24
2016,EGY,24368791.24
2017,EGY,22922263.69
2018,EGY,24006307.21
2019,EGY,27815375.94
2020,EGY,29345437.67
2010,ERI,394062.1632
2011,ERI,128950.6085
2012,ERI,261506.3859
2013,ERI,261506.3859
2014,ERI,261506.3859
2015,ERI,261506.3859
2016,ERI,261506.3859
2017,ERI,261506.3859
2018,ERI,261506.3859
2019,ERI,261506.3859
2020,ERI,261506.3859
2010,ESP,97532938.66
2011,ESP,93444243.91
2012,ESP,102502898.4
2013,ESP,93486509.47
2014,ESP,100289237.1
2015,ESP,96016548.96
2016,ESP,100370502.4
2017,ESP,99526231.37
2018,ESP,107124279.3
2019,ESP,102960793.7
2020,ESP,94251654.87
2010,EST,1996649.406
2011,EST,3170918.934
2012,EST,2682096.406
2013,EST,3002380.394
2014,EST,3188543.879
2015,EST,2380135.522
2016,EST,2780065.557
2017,EST,3396287.475
2018,EST,4297852.159
2019,EST,4456681.407
2020,EST,3929641.106
2010,ETH,3167530.546
2011,ETH,2352119.018
2012,ETH,1328942.778
2013,ETH,1449460.784
2014,ETH,6648524.38
2015,ETH,1319891.65
2016,ETH,2925152.05
2017,ETH,5129162.62
2018,ETH,6259758.246
2019,ETH,3010261.676
2020,ETH,1252032.255
2010,FIN,13150592.06
2011,FIN,16096563.74
2012,FIN,15116191.59
2013,FIN,14568705.22
2014,FIN,16137357.06
2015,FIN,11709842.66
2016,FIN,12326033.61
2017,FIN,10922814.41
2018,FIN,12266612.77
2019,FIN,10384979.13
2020,FIN,10562129.59
2010,FJI,396984.3423
2011,FJI,448324.7282
2012,FJI,493181.0675
2013,FJI,561509.3089
2014,FJI,843228.7213
2015,FJI,1050834.809
2016,FJI,1139092.849
2017,FJI,1009682.862
2018,FJI,1119907.722
2019,FJI,665643.725
2020,FJI,754669.4918
2010,FRA,136719889.9
2011,FRA,163205284.6
2012,FRA,161915059.7
2013,FRA,148017088.2
2014,FRA,145383811.9
2015,FRA,125194944.4
2016,FRA,130938759.5
2017,FRA,131485037.0
2018,FRA,130684820.4
2019,FRA,130017285.7
2020,FRA,117236129.2
2010,FRO,163381.9143
2011,FRO,64846.91619
2012,FRO,61684.54262
2013,FRO,150182.44
2014,FRO,190358.8975
2015,FRO,141069.9326
2016,FRO,233138.8013
2017,FRO,338972.2591
2018,FRO,216086.6285
2019,FRO,282745.8674
2020,FRO,137839.2599
2010,FSM,51038.18637
2011,FSM,83596.78382
2012,FSM,85249.07633
2013,FSM,99209.7656
2014,FSM,85415.04281
2015,FSM,92378.25538
2016,FSM,117208.3067
2017,FSM,107131.5021
2018,FSM,144308.3041
2019,FSM,90725.96928
2020,FSM,84998.36606
2010,GAB,1426766.594
2011,GAB,2681310.766
2012,GAB,3394800.672
2013,GAB,3740062.277
2014,GAB,4349187.559
2015,GAB,3692869.017
2016,GAB,2348558.711
2017,GAB,2755011.743
2018,GAB,1441686.838
2019,GAB,2370361.427
2020,GAB,1428980.392
2010,GBR,60596661.71
2011,GBR,62784721.56
2012,GBR,61683726.57
2013,GBR,67565746.02
2014,GBR,85939915.61
2015,GBR,89906451.54
2016,GBR,105913472.5
2017,GBR,97100154.33
2018,GBR,103665904.0
2019,GBR,100223969.1
2020,GBR,86681199.55
2010,GEO,1761585.821
2011,GEO,2780123.472
2012,GEO,4971059.969
2013,GEO,4361153.588
2014,GEO,2791588.115
2015,GEO,1241355.35
2016,GEO,1605570.879
2017,GEO,1620227.504
2018,GEO,1697468.527
2019,GEO,1762755.36
2020,GEO,1658612.581
2010,GHA,6680789.601
2011,GHA,12442256.7
2012,GHA,12365603.91
2013,GHA,15856451.34
2014,GHA,13414072.28
2015,GHA,17300777.45
2016,GHA,18832616.52
2017,GHA,16704196.21
2018,GHA,14638792.97
2019,GHA,11049544.49
2020,GHA,22398025.5
2010,GIN,2756313.055
2011,GIN,1718886.656
2012,GIN,3582809.034
2013,GIN,3267261.041
2014,GIN,2301835.13
2015,GIN,2582113.8
2016,GIN,1540677.627
2017,GIN,2214053.758
2018,GIN,2805830.529
2019,GIN,3238776.998
2020,GIN,1838233.385
2010,GMB,1901422.622
2011,GMB,2196557.429
2012,GMB,1955560.035
2013,GMB,2142067.292
2014,GMB,1638319.718
2015,GMB,1709458.802
2016,GMB,3934431.329
2017,GMB,2760568.959
2018,GMB,1672111.457
2019,GMB,1972040.472
2020,GMB,2839856.508
2010,GNB,654406.8982
2011,GNB,1241062.068
2012,GNB,1318839.141
2013,GNB,1330056.324
2014,GNB,815202.2168
2015,GNB,742656.0333
2016,GNB,747752.9164
2017,GNB,909800.7515
2018,GNB,735463.7219
2019,GNB,551809.4978
2020,GNB,504246.9611
2010,GNQ,1987472.463
2011,GNQ,3739938.502
2012,GNQ,3306346.786
2013,GNQ,3720726.321
2014,GNQ,3723198.788
2015,GNQ,2617743.621
2016,GNQ,1303814.649
2017,GNQ,756498.9426
2018,GNQ,777973.228
2019,GNQ,483454.4016
2020,GNQ,609576.9272
2010,GRC,34499000.41
2011,GRC,22956743.68
2012,GRC,30799636.18
2013,GRC,33630428.55
2014,GRC,29079939.28
2015,GRC,26091204.35
2016,GRC,27652360.22
2017,GRC,22966663.14
2018,GRC,20091664.24
2019,GRC,18240811.58
2020,GRC,16537019.99
2010,GRL,304610.7988
2011,GRL,466016.2013
2012,GRL,589938.8695
2013,GRL,478045.8228
2014,GRL,337819.1166
2015,GRL,319070.9671
2016,GRL,756498.6224
2017,GRL,808847.1942
2018,GRL,512545.0495
2019,GRL,383581.0978
2020,GRL,375991.9387
2010,GTM,2869406.145
2011,GTM,2904487.368
2012,GTM,3465394.035
2013,GTM,3611520.932
2014,GTM,3197472.032
2015,GTM,4232743.881
2016,GTM,4655365.9
2017,GTM,6288708.321
2018,GTM,6386146.052
2019,GTM,6582472.693
2020,GTM,7478128.316
2010,GUM,258414.9939
2011,GUM,293096.6517
2012,GUM,371268.4382
2013,GUM,332484.7122
2014,GUM,199296.0809
2015,GUM,104222.9612
2016,GUM,221786.7999
2017,GUM,149359.2522
2018,GUM,155679.9945
2019,GUM,232092.9604
2020,GUM,202257.7681
2010,HKG,2813259.776
2011,HKG,4106403.951
2012,HKG,4825217.972
2013,HKG,5413707.759
2014,HKG,6483255.142
2015,HKG,7995612.379
2016,HKG,8956210.469
2017,HKG,9848755.046
2018,HKG,7867976.301
2019,HKG,6989712.155
2020,HKG,7915994.655
2010,HND,567188.4665
2011,HND,742526.0067
2012,HND,1302886.112
2013,HND,1290730.092
2014,HND,1684538.432
2015,HND,2022614.154
2016,HND,1961197.296
2017,HND,2266125.404
2018,HND,1859874.96
2019,HND,2140274.801
2020,HND,1940685.001
2010,HRV,14134007.77
2011,HRV,13987540.64
2012,HRV,13050097.25
2013,HRV,13437679.83
2014,HRV,13741867.75
2015,HRV,11467522.81
2016,HRV,10993674.2
2017,HRV,11314934.7
2018,HRV,12547103.4
2019,HRV,12006153.03
2020,HRV,12782079.9
2010,HTI,3510034.237
2011,HTI,5971456.741
2012,HTI,6712441.02
2013,HTI,6699100.542
2014,HTI,7194638.643
2015,HTI,7829759.88
2016,HTI,6935715.387
2017,HTI,7227007.811
2018,HTI,6213466.936
2019,HTI,5579223.042
2020,HTI,6966408.105
2010,HUN,5812456.0
2011,HUN,7793024.703
2012,HUN,6712112.194
2013,HUN,6508924.995
2014,HUN,6531521.876
2015,HUN,6173890.37
2016,HUN,7037163.933
2017,HUN,8135716.004
2018,HUN,8879630.784
2019,HUN,9543675.345
2020,HUN,8972119.295
2010,IDN,29596844.28
2011,IDN,31954296.86
2012,IDN,39281329.44
2013,IDN,49566342.78
2014,IDN,52208425.81
2015,IDN,58133146.54
2016,IDN,37700008.93
2017,IDN,44980548.89
2018,IDN,56445027.99
2019,IDN,79844365.62
2020,IDN,84672314.06
2010,IND,46051794.84
2011,IND,51594281.5
2012,IND,45019404.16
2013,IND,49075120.19
2014,IND,62842238.97
2015,IND,67497880.8
2016,IND,84370776.84
2017,IND,84211002.55
2018,IND,89594597.75
2019,IND,96419986.41
2020,IND,69545873.3
2010,IRL,8325278.713
2011,IRL,8348559.565
2012,IRL,8330327.146
2013,IRL,8867508.002
2014,IRL,10676953.9
2015,IRL,9437489.301
2016,IRL,10221595.41
2017,IRL,9860749.533
2018,IRL,10324270.36
2019,IRL,9398532.273
2020,IRL,8188642.785
2010,IRN,61620000.0
2011,IRN,66460000.0
2012,IRN,70100000.0
2013,IRN,71000000.0
2014,IRN,66464000.0
2015,IRN,58214962.75700001
2016,IRN,55527134.67
2017,IRN,55986756.650999986
2018,IRN,56905760.07600001
2019,IRN,61665375.217999995
2020,IRN,69408800.0
2010,IRQ,61445590.31
2011,IRQ,83517162.22
2012,IRQ,24793571.54
2013,IRQ,99986409.4
2014,IRQ,49914970.35
2015,IRQ,45774785.6
2016,IRQ,31624278.26
2017,IRQ,25920177.52
2018,IRQ,15897421.09
2019,IRQ,2981955.352
2020,IRQ,2530162.618
2010,ISL,443085.7441
2011,ISL,476295.0519
2012,ISL,685180.3027
2013,ISL,790231.1145
2014,ISL,911943.5137
2015,ISL,971060.0638
2016,ISL,1289821.875
2017,ISL,1575052.849
2018,ISL,1671678.102
2019,ISL,1531693.649
2020,ISL,1382978.841
2010,ISR,24424551.1
2011,ISR,27635210.35
2012,ISR,36826978.46
2013,ISR,41208518.86
2014,ISR,50319387.01
2015,ISR,53227254.27
2016,ISR,67093521.34
2017,ISR,66676221.92
2018,ISR,48367826.29
2019,ISR,51650456.37
2020,ISR,57285891.06
2010,ITA,103920010.4
2011,ITA,109546616.6
2012,ITA,101100396.3
2013,ITA,99680434.08
2014,ITA,104265901.2
2015,ITA,87556140.43
2016,ITA,87219974.7
2017,ITA,76487937.34
2018,ITA,82672476.56
2019,ITA,80135933.07
2020,ITA,72082450.35
2010,JAM,1570823.664
2011,JAM,2208248.448
2012,JAM,2212944.076
2013,JAM,2063603.275
2014,JAM,3955350.186
2015,JAM,3540248.089
2016,JAM,1381388.084
2017,JAM,947872.3033
2018,JAM,1128940.262
2019,JAM,1182372.619
2020,JAM,840378.7647
2010,JOR,3088716.979
2011,JOR,3938337.468
2012,JOR,2898203.078
2013,JOR,2865484.876
2014,JOR,3459509.561
2015,JOR,2846288.468
2016,JOR,2595675.25
2017,JOR,3521754.55
2018,JOR,5763822.937
2019,JOR,5777372.086
2020,JOR,5116792.796
2010,JPN,110466863.7
2011,JPN,121991157.0
2012,JPN,133540057.8
2013,JPN,106861768.6
2014,JPN,96427049.87
2015,JPN,101881933.5
2016,JPN,118870337.1
2017,JPN,101583791.5
2018,JPN,89001474.63
2019,JPN,94810638.95
2020,JPN,96771837.4
2010,KAZ,9665270.603
2011,KAZ,14957479.74
2012,KAZ,21192353.84
2013,KAZ,26847366.98
2014,KAZ,20769364.27
2015,KAZ,15654321.14
2016,KAZ,11835870.9
2017,KAZ,17769800.48
2018,KAZ,18210113.0
2019,KAZ,15928012.13
2020,KAZ,17144423.49
2010,KEN,17278018.17
2011,KEN,14465119.36
2012,KEN,20898052.72
2013,KEN,22279865.4
2014,KEN,21849056.81
2015,KEN,27439961.79
2016,KEN,23533126.21
2017,KEN,16751887.25
2018,KEN,17917755.96
2019,KEN,11959706.98
2020,KEN,15048990.52
2010,KGZ,494982.4657
2011,KGZ,848834.7418
2012,KGZ,1353394.365
2013,KGZ,1607661.028
2014,KGZ,1121557.697
2015,KGZ,343693.4948
2016,KGZ,734270.2688
2017,KGZ,1077371.616
2018,KGZ,2969352.242
2019,KGZ,3173220.704
2020,KGZ,2370453.791
2010,KHM,6254607.73
2011,KHM,6566667.936
2012,KHM,8236829.652
2013,KHM,8334482.584
2014,KHM,9931087.402
2015,KHM,9592201.407
2016,KHM,8946052.176
2017,KHM,8299371.451
2018,KHM,7244461.629
2019,KHM,10187701.63
2020,KHM,5911928.521
2010,KIR,21140.5606
2011,KIR,27114.84202
2012,KIR,38264.69265
2013,KIR,33464.5249
2014,KIR,47028.51637
2015,KIR,39309.41372
2016,KIR,35534.53846
2017,KIR,37408.42565
2018,KIR,41349.39548
2019,KIR,15333.91467
2020,KIR,21252.1803
2010,KOR,26675058.56
2011,KOR,30350553.24
2012,KOR,34025972.25
2013,KOR,34785849.6
2014,KOR,39066312.75
2015,KOR,36400074.95
2016,KOR,34907248.96
2017,KOR,27656094.74
