Year,Nation,Region,density_wali_kg_n_per_m3_ww_industrial
2009,Brazil,South America,1184903
2010,Brazil,South America,1236332
2011,Brazil,South America,1269134
2012,Brazil,South America,1305039
2013,Brazil,South America,1378287
2014,Brazil,South America,1152602
2015,Brazil,South America,1047613
2016,Brazil,South America,1106388
2017,Brazil,South America,1429843
2018,Brazil,South America,1769610
2019,Brazil,South America,2064110
1990,Chile,South America,60341
1991,Chile,South America,66181
1992,Chile,South America,72091
1993,Chile,South America,77961
1994,Chile,South America,83729
1995,Chile,South America,89968
1996,Chile,South America,90984
1997,Chile,South America,93213
1998,Chile,South America,93889
1999,Chile,South America,88869
2000,Chile,South America,90973
2001,Chile,South America,90371
2002,Chile,South America,93124
2003,Chile,South America,91416
2004,Chile,South America,101087
2005,Chile,South America,154903
2006,Chile,South America,146527
2007,Chile,South America,153974
2008,Chile,South America,163674
2009,Chile,South America,133667
2010,Chile,South America,143089
2011,Chile,South America,153998
2012,Chile,South America,572395
2013,Chile,South America,140119
2014,Chile,South America,55449
2015,Chile,South America,78263
2016,Chile,South America,101322
2017,Chile,South America,102993
2018,Chile,South America,109963
2019,Chile,South America,114869
1990,Colombia,South America,664844
1991,Colombia,South America,551432
1992,Colombia,South America,432217
1993,Colombia,South America,317905
1994,Colombia,South America,203909
1995,Colombia,South America,91855
1996,Colombia,South America,83346
1997,Colombia,South America,82766
1998,Colombia,South America,87410
1999,Colombia,South America,85785
2000,Colombia,South America,98920
2001,Colombia,South America,116244
2002,Colombia,South America,133071
2003,Colombia,South America,149513
2004,Colombia,South America,174486
2005,Colombia,South America,198660
2006,Colombia,South America,227526
2007,Colombia,South America,253723
2008,Colombia,South America,276214
2009,Colombia,South America,296742
2010,Colombia,South America,319409
2011,Colombia,South America,345002
2012,Colombia,South America,371588
2013,Colombia,South America,396277
2014,Colombia,South America,388955
2015,Colombia,South America,407226
2016,Colombia,South America,429404
2017,Colombia,South America,451495
2018,Colombia,South America,475178
2019,Colombia,South America,495167
1990,Costa Rica,Central America,13555
1991,Costa Rica,Central America,13115
1992,Costa Rica,Central America,11830
1993,Costa Rica,Central America,10866
1994,Costa Rica,Central America,10450
1995,Costa Rica,Central America,9672
1996,Costa Rica,Central America,10587
1997,Costa Rica,Central America,10441
1998,Costa Rica,Central America,10915
1999,Costa Rica,Central America,11788
2000,Costa Rica,Central America,12080
2001,Costa Rica,Central America,12615
2002,Costa Rica,Central America,13027
2003,Costa Rica,Central America,13319
2004,Costa Rica,Central America,14142
2005,Costa Rica,Central America,15213
2006,Costa Rica,Central America,15877
2007,Costa Rica,Central America,17064
2008,Costa Rica,Central America,17687
2009,Costa Rica,Central America,18515
2010,Costa Rica,Central America,19108
2011,Costa Rica,Central America,19660
2012,Costa Rica,Central America,20138
2013,Costa Rica,Central America,20645
2014,Costa Rica,Central America,18238
2015,Costa Rica,Central America,18549
2016,Costa Rica,Central America,19043
2017,Costa Rica,Central America,19712
2018,Costa Rica,Central America,20389
2019,Costa Rica,Central America,19672
1990,Dominican Republic,Caribbean,19157
1991,Dominican Republic,Caribbean,20527
1992,Dominican Republic,Caribbean,21970
1993,Dominican Republic,Caribbean,23015
1994,Dominican Republic,Caribbean,23424
1995,Dominican Republic,Caribbean,24854
1996,Dominican Republic,Caribbean,28352
1997,Dominican Republic,Caribbean,28171
1998,Dominican Republic,Caribbean,31072
1999,Dominican Republic,Caribbean,42316
2000,Dominican Republic,Caribbean,40123
2001,Dominican Republic,Caribbean,44491
2002,Dominican Republic,Caribbean,24181
2003,Dominican Republic,Caribbean,22415
2004,Dominican Republic,Caribbean,26344
2005,Dominican Republic,Caribbean,28687
2006,Dominican Republic,Caribbean,31908
2007,Dominican Republic,Caribbean,32675
2008,Dominican Republic,Caribbean,31531
2009,Dominican Republic,Caribbean,31706
2010,Dominican Republic,Caribbean,40077
2011,Dominican Republic,Caribbean,47510
2012,Dominican Republic,Caribbean,44633
2013,Dominican Republic,Caribbean,48562
2014,Dominican Republic,Caribbean,46952
2015,Dominican Republic,Caribbean,49524
2016,Dominican Republic,Caribbean,57209
2017,Dominican Republic,Caribbean,64600
2018,Dominican Republic,Caribbean,72152
2019,Dominican Republic,Caribbean,76855
1990,Ecuador,South America,143925
1991,Ecuador,South America,121390
1992,Ecuador,South America,97863
1993,Ecuador,South America,74379
1994,Ecuador,South America,51062
1995,Ecuador,South America,28277
1996,Ecuador,South America,31925
1997,Ecuador,South America,32914
1998,Ecuador,South America,31731
1999,Ecuador,South America,33659
2000,Ecuador,South America,32298
2001,Ecuador,South America,37738
2002,Ecuador,South America,33085
2003,Ecuador,South America,34279
2004,Ecuador,South America,36062
2005,Ecuador,South America,36590
2006,Ecuador,South America,42484
2007,Ecuador,South America,43590
2008,Ecuador,South America,45922
2009,Ecuador,South America,40580
2010,Ecuador,South America,43848
2011,Ecuador,South America,50390
2012,Ecuador,South America,43488
2013,Ecuador,South America,43933
2014,Ecuador,South America,33631
2015,Ecuador,South America,36229
2016,Ecuador,South America,41480
2017,Ecuador,South America,50500
2018,Ecuador,South America,60682
2019,Ecuador,South America,69937
1990,El Salvador,Central America,15547
1991,El Salvador,Central America,15799
1992,El Salvador,Central America,16116
1993,El Salvador,Central America,16549
1994,El Salvador,Central America,16747
1995,El Salvador,Central America,17023
1996,El Salvador,Central America,15174
1997,El Salvador,Central America,15145
1998,El Salvador,Central America,12149
1999,El Salvador,Central America,13162
2000,El Salvador,Central America,14728
2001,El Salvador,Central America,15607
2002,El Salvador,Central America,16981
2003,El Salvador,Central America,17772
2004,El Salvador,Central America,19110
2005,El Salvador,Central America,20542
2006,El Salvador,Central America,21975
2007,El Salvador,Central America,23020
2008,El Salvador,Central America,23985
2009,El Salvador,Central America,25024
2010,El Salvador,Central America,26384
2011,El Salvador,Central America,27371
2012,El Salvador,Central America,28622
2013,El Salvador,Central America,29571
2014,El Salvador,Central America,28785
2015,El Salvador,Central America,29941
2016,El Salvador,Central America,31142
2017,El Salvador,Central America,32215
2018,El Salvador,Central America,33303
2019,El Salvador,Central America,34326
1990,Guatemala,Central America,16389
1991,Guatemala,Central America,14734
1992,Guatemala,Central America,13355
1993,Guatemala,Central America,12187
1994,Guatemala,Central America,10996
1995,Guatemala,Central America,9733
1996,Guatemala,Central America,10776
1997,Guatemala,Central America,11447
1998,Guatemala,Central America,15586
1999,Guatemala,Central America,16039
2000,Guatemala,Central America,16634
2001,Guatemala,Central America,18001
2002,Guatemala,Central America,19683
2003,Guatemala,Central America,20606
2004,Guatemala,Central America,21791
2005,Guatemala,Central America,23402
2006,Guatemala,Central America,24507
2007,Guatemala,Central America,26018
2008,Guatemala,Central America,27720
2009,Guatemala,Central America,33296
2010,Guatemala,Central America,38545
2011,Guatemala,Central America,44067
2012,Guatemala,Central America,49600
2013,Guatemala,Central America,50436
2014,Guatemala,Central America,51576
2015,Guatemala,Central America,56181
2016,Guatemala,Central America,60667
2017,Guatemala,Central America,64745
2018,Guatemala,Central America,69259
2019,Guatemala,Central America,73466
1990,Guyana,South America,5844
1991,Guyana,South America,5325
1992,Guyana,South America,4853
1993,Guyana,South America,4344
1994,Guyana,South America,3852
1995,Guyana,South America,3318
1996,Guyana,South America,2688
1997,Guyana,South America,58634
1998,Guyana,South America,1924
1999,Guyana,South America,2025
2000,Guyana,South America,2018
2001,Guyana,South America,2078
2002,Guyana,South America,2176
2003,Guyana,South America,2274
2004,Guyana,South America,2369
2005,Guyana,South America,2349
2006,Guyana,South America,2362
2007,Guyana,South America,2454
2008,Guyana,South America,2319
2009,Guyana,South America,2433
2010,Guyana,South America,2528
2011,Guyana,South America,3493
2012,Guyana,South America,4551
2013,Guyana,South America,5507
2014,Guyana,South America,6047
2015,Guyana,South America,7016
2016,Guyana,South America,7979
2017,Guyana,South America,8911
2018,Guyana,South America,10058
2019,Guyana,South America,10713
1990,Haiti,Caribbean,1521
1991,Haiti,Caribbean,1708
1992,Haiti,Caribbean,1860
1993,Haiti,Caribbean,1969
1994,Haiti,Caribbean,2077
1995,Haiti,Caribbean,2000
1996,Haiti,Caribbean,2138
1997,Haiti,Caribbean,2284
1998,Haiti,Caribbean,2555
1999,Haiti,Caribbean,2665
2000,Haiti,Caribbean,3093
2001,Haiti,Caribbean,3279
2002,Haiti,Caribbean,3465
2003,Haiti,Caribbean,3574
2004,Haiti,Caribbean,3651
2005,Haiti,Caribbean,3781
2006,Haiti,Caribbean,3852
2007,Haiti,Caribbean,3973
2008,Haiti,Caribbean,4063
2009,Haiti,Caribbean,4154
2010,Haiti,Caribbean,4274
2011,Haiti,Caribbean,4382
2012,Haiti,Caribbean,4489
2013,Haiti,Caribbean,4580
2014,Haiti,Caribbean,3449
2015,Haiti,Caribbean,3537
2016,Haiti,Caribbean,3661
2017,Haiti,Caribbean,3750
2018,Haiti,Caribbean,3848
2019,Haiti,Caribbean,3160
1990,Honduras,Central America,17075
1991,Honduras,Central America,15315
1992,Honduras,Central America,13482
1993,Honduras,Central America,11635
1994,Honduras,Central America,10510
1995,Honduras,Central America,8482
1996,Honduras,Central America,8342
1997,Honduras,Central America,8098
1998,Honduras,Central America,7818
1999,Honduras,Central America,8289
2000,Honduras,Central America,8761
2001,Honduras,Central America,8608
2002,Honduras,Central America,9836
2003,Honduras,Central America,13234
2004,Honduras,Central America,16567
2005,Honduras,Central America,19908
2006,Honduras,Central America,22620
2007,Honduras,Central America,24776
2008,Honduras,Central America,26495
2009,Honduras,Central America,28225
2010,Honduras,Central America,29448
2011,Honduras,Central America,31399
2012,Honduras,Central America,34073
2013,Honduras,Central America,35588
2014,Honduras,Central America,34680
2015,Honduras,Central America,36120
2016,Honduras,Central America,38896
2017,Honduras,Central America,38651
2018,Honduras,Central America,38501
2019,Honduras,Central America,36957
1990,Jamaica,Caribbean,5691
1991,Jamaica,Caribbean,6189
1992,Jamaica,Caribbean,6731
1993,Jamaica,Caribbean,6966
1994,Jamaica,Caribbean,7418
1995,Jamaica,Caribbean,13311
1996,Jamaica,Caribbean,12797
1997,Jamaica,Caribbean,7773
1998,Jamaica,Caribbean,8022
1999,Jamaica,Caribbean,8114
2000,Jamaica,Caribbean,8259
2001,Jamaica,Caribbean,7104
2002,Jamaica,Caribbean,9489
2003,Jamaica,Caribbean,8750
2004,Jamaica,Caribbean,9071
2005,Jamaica,Caribbean,9519
2006,Jamaica,Caribbean,9455
2007,Jamaica,Caribbean,9324
2008,Jamaica,Caribbean,9815
2009,Jamaica,Caribbean,12292
2010,Jamaica,Caribbean,14735
2011,Jamaica,Caribbean,17264
2012,Jamaica,Caribbean,19908
2013,Jamaica,Caribbean,22488
2014,Jamaica,Caribbean,23607
2015,Jamaica,Caribbean,26125
2016,Jamaica,Caribbean,28860
2017,Jamaica,Caribbean,31390
2018,Jamaica,Caribbean,33956
2019,Jamaica,Caribbean,35686
1990,Mexico,Central America,5496821
1991,Mexico,Central America,4481001
1992,Mexico,Central America,3458582
1993,Mexico,Central America,2438324
1994,Mexico,Central America,1418189
1995,Mexico,Central America,405444
1996,Mexico,Central America,393772
1997,Mexico,Central America,393792
1998,Mexico,Central America,401402
1999,Mexico,Central America,410243
2000,Mexico,Central America,420527
2001,Mexico,Central America,440827
2002,Mexico,Central America,446654
2003,Mexico,Central America,453258
2004,Mexico,Central America,450438
2005,Mexico,Central America,460239
2006,Mexico,Central America,459414
2007,Mexico,Central America,563028
2008,Mexico,Central America,562605
2009,Mexico,Central America,569316
2010,Mexico,Central America,588935
2011,Mexico,Central America,614283
2012,Mexico,Central America,622176
2013,Mexico,Central America,636162
2014,Mexico,Central America,567195
2015,Mexico,Central America,545259
2016,Mexico,Central America,558147
2017,Mexico,Central America,785855
2018,Mexico,Central America,1021107
2019,Mexico,Central America,1250572
1990,Nicaragua,Central America,121268
1991,Nicaragua,Central America,109424
1992,Nicaragua,Central America,97931
1993,Nicaragua,Central America,86583
1994,Nicaragua,Central America,74804
1995,Nicaragua,Central America,63019
1996,Nicaragua,Central America,51670
1997,Nicaragua,Central America,40435
1998,Nicaragua,Central America,32006
1999,Nicaragua,Central America,33944
2000,Nicaragua,Central America,30115
2001,Nicaragua,Central America,32973
2002,Nicaragua,Central America,28805
2003,Nicaragua,Central America,32731
2004,Nicaragua,Central America,31747
2005,Nicaragua,Central America,31686
2006,Nicaragua,Central America,31866
2007,Nicaragua,Central America,32053
2008,Nicaragua,Central America,31922
2009,Nicaragua,Central America,31976
2010,Nicaragua,Central America,32314
2011,Nicaragua,Central America,32205
2012,Nicaragua,Central America,31356
2013,Nicaragua,Central America,32146
2014,Nicaragua,Central America,28965
2015,Nicaragua,Central America,28614
2016,Nicaragua,Central America,28455
2017,Nicaragua,Central America,28768
2018,Nicaragua,Central America,28324
2019,Nicaragua,Central America,27949
1990,Panama,Central America,940873
1991,Panama,Central America,753468
1992,Panama,Central America,566042
1993,Panama,Central America,378634
1994,Panama,Central America,191233
1995,Panama,Central America,3817
1996,Panama,Central America,3630
1997,Panama,Central America,2951
1998,Panama,Central America,3054
1999,Panama,Central America,2795
2000,Panama,Central America,2880
2001,Panama,Central America,3198
2002,Panama,Central America,3421
2003,Panama,Central America,3851
2004,Panama,Central America,4228
2005,Panama,Central America,4587
2006,Panama,Central America,4957
2007,Panama,Central America,5353
2008,Panama,Central America,5745
2009,Panama,Central America,6126
2010,Panama,Central America,6469
2011,Panama,Central America,6868
2012,Panama,Central America,7250
2013,Panama,Central America,7600
2014,Panama,Central America,7984
2015,Panama,Central America,7821
2016,Panama,Central America,8173
2017,Panama,Central America,16890
2018,Panama,Central America,25607
2019,Panama,Central America,34324
1990,Paraguay,South America,24427
1991,Paraguay,South America,23055
1992,Paraguay,South America,20892
1993,Paraguay,South America,18121
1994,Paraguay,South America,15423
1995,Paraguay,South America,12625
1996,Paraguay,South America,12713
1997,Paraguay,South America,13327
1998,Paraguay,South America,13909
1999,Paraguay,South America,13609
2000,Paraguay,South America,14158
2001,Paraguay,South America,13397
2002,Paraguay,South America,13633
2003,Paraguay,South America,12167
2004,Paraguay,South America,13178
2005,Paraguay,South America,14372
2006,Paraguay,South America,16136
2007,Paraguay,South America,14734
2008,Paraguay,South America,15777
2009,Paraguay,South America,16628
2010,Paraguay,South America,18199
2011,Paraguay,South America,18733
2012,Paraguay,South America,18813
2013,Paraguay,South America,20565
2014,Paraguay,South America,14930
2015,Paraguay,South America,14536
2016,Paraguay,South America,15165
2017,Paraguay,South America,15721
2018,Paraguay,South America,16100
2019,Paraguay,South America,15701
1990,Peru,South America,54867
1991,Peru,South America,59859
1992,Peru,South America,64136
1993,Peru,South America,66780
1994,Peru,South America,70324
1995,Peru,South America,74901
1996,Peru,South America,83804
1997,Peru,South America,75221
1998,Peru,South America,85451
1999,Peru,South America,82004
2000,Peru,South America,83697
2001,Peru,South America,87110
2002,Peru,South America,86859
2003,Peru,South America,87966
2004,Peru,South America,88904
2005,Peru,South America,93450
2006,Peru,South America,100262
2007,Peru,South America,100471
2008,Peru,South America,103462
2009,Peru,South America,106128
2010,Peru,South America,116180
2011,Peru,South America,123492
2012,Peru,South America,125346
2013,Peru,South America,123935
2014,Peru,South America,107322
2015,Peru,South America,85869
2016,Peru,South America,83496
2017,Peru,South America,117489
2018,Peru,South America,152235
2019,Peru,South America,184881
1990,Suriname,South America,763
1991,Suriname,South America,786
1992,Suriname,South America,800
1993,Suriname,South America,801
1994,Suriname,South America,751
1995,Suriname,South America,780
1996,Suriname,South America,768
1997,Suriname,South America,798
1998,Suriname,South America,780
1999,Suriname,South America,804
2000,Suriname,South America,808
2001,Suriname,South America,838
2002,Suriname,South America,858
2003,Suriname,South America,863
2004,Suriname,South America,882
2005,Suriname,South America,919
2006,Suriname,South America,936
2007,Suriname,South America,1037
2008,Suriname,South America,991
2009,Suriname,South America,1064
2010,Suriname,South America,1107
2011,Suriname,South America,1100
2012,Suriname,South America,1111
2013,Suriname,South America,1039
2014,Suriname,South America,907
2015,Suriname,South America,897
2016,Suriname,South America,873
2017,Suriname,South America,879
2018,Suriname,South America,871
2019,Suriname,South America,782
1990,Trinidad and Tobago,Caribbean,8197
1991,Trinidad and Tobago,Caribbean,10874
1992,Trinidad and Tobago,Caribbean,13522
1993,Trinidad and Tobago,Caribbean,16188
1994,Trinidad and Tobago,Caribbean,18861
1995,Trinidad and Tobago,Caribbean,21495
1996,Trinidad and Tobago,Caribbean,23813
1997,Trinidad and Tobago,Caribbean,27023
1998,Trinidad and Tobago,Caribbean,29493
1999,Trinidad and Tobago,Caribbean,32004
2000,Trinidad and Tobago,Caribbean,35454
2001,Trinidad and Tobago,Caribbean,38085
2002,Trinidad and Tobago,Caribbean,40718
2003,Trinidad and Tobago,Caribbean,43795
2004,Trinidad and Tobago,Caribbean,46665
2005,Trinidad and Tobago,Caribbean,52267
2006,Trinidad and Tobago,Caribbean,52241
2007,Trinidad and Tobago,Caribbean,53786
2008,Trinidad and Tobago,Caribbean,52544
2009,Trinidad and Tobago,Caribbean,57539
2010,Trinidad and Tobago,Caribbean,68375
2011,Trinidad and Tobago,Caribbean,66358
2012,Trinidad and Tobago,Caribbean,64816
2013,Trinidad and Tobago,Caribbean,62939
2014,Trinidad and Tobago,Caribbean,62797
2015,Trinidad and Tobago,Caribbean,66220
2016,Trinidad and Tobago,Caribbean,66593
2017,Trinidad and Tobago,Caribbean,68245
2018,Trinidad and Tobago,Caribbean,67555
2019,Trinidad and Tobago,Caribbean,48468
1990,Uruguay,South America,17664
1991,Uruguay,South America,19037
1992,Uruguay,South America,20036
1993,Uruguay,South America,20001
1994,Uruguay,South America,22375
1995,Uruguay,South America,22128
1996,Uruguay,South America,25546
1997,Uruguay,South America,26880
1998,Uruguay,South America,27202
1999,Uruguay,South America,27119
2000,Uruguay,South America,27163
2001,Uruguay,South America,23330
2002,Uruguay,South America,25343
2003,Uruguay,South America,24806
2004,Uruguay,South America,27819
2005,Uruguay,South America,31436
2006,Uruguay,South America,32685
2007,Uruguay,South America,30687
2008,Uruguay,South America,32277
2009,Uruguay,South America,31630
2010,Uruguay,South America,33585
2011,Uruguay,South America,32534
2012,Uruguay,South America,33220
2013,Uruguay,South America,32802
2014,Uruguay,South America,25958
2015,Uruguay,South America,25153
2016,Uruguay,South America,26008
2017,Uruguay,South America,26867
2018,Uruguay,South America,27283
2019,Uruguay,South America,22932
1990,Venezuela,South America,63205
1991,Venezuela,South America,68678
1992,Venezuela,South America,74478
1993,Venezuela,South America,79289
1994,Venezuela,South America,81736
1995,Venezuela,South America,85618
1996,Venezuela,South America,85467
1997,Venezuela,South America,93784
1998,Venezuela,South America,97431
1999,Venezuela,South America,97060
2000,Venezuela,South America,97266
2001,Venezuela,South America,99325
2002,Venezuela,South America,96987
2003,Venezuela,South America,92775
2004,Venezuela,South America,92957
2005,Venezuela,South America,99089
2006,Venezuela,South America,104753
2007,Venezuela,South America,111282
2008,Venezuela,South America,112618
2009,Venezuela,South America,109263
2010,Venezuela,South America,114176
2011,Venezuela,South America,119974
2012,Venezuela,South America,121103
2013,Venezuela,South America,118453
2014,Venezuela,South America,93347
2015,Venezuela,South America,0
2016,Venezuela,South America,0
2017,Venezuela,South America,0
2018,Venezuela,South America,0
2019,Venezuela,South America,0
