"iso_code3","frac_waso_non_recycled_landfilled","Year"
"CAF",0,2016
"CAF",0,2017
"CAF",0,2018
"CAF",0,2019
"CAF",0,2020
"CAN",0.7233,2010
"CAN",0.7233,2011
"CAN",0.7233,2012
"CAN",0.7233,2013
"CAN",0.7233,2014
"CAN",0.7233,2015
"CAN",0.7233,2016
"CAN",0.7233,2017
"CAN",0.7233,2018
"CAN",0.7233,2019
"CAN",0.7233,2020
"CHE",0,2010
"CHE",0,2011
"CHE",0,2012
"CHE",0,2013
"CHE",0,2014
"CHE",0,2015
"CHE",0,2016
"CHE",0,2017
"CHE",0,2018
"CHE",0,2019
"CHE",0,2020
"CHI",0.39218063583815,2010
"CHI",0.39218063583815,2011
"CHI",0.39218063583815,2012
"CHI",0.39218063583815,2013
"CHI",0.39218063583815,2014
"CHI",0.39218063583815,2015
"CHI",0.39218063583815,2016
"CHI",0.39218063583815,2017
"CHI",0.39218063583815,2018
"CHI",0.39218063583815,2019
"CHI",0.39218063583815,2020
"CHL",0.8525,2010
"CHL",0.8525,2011
"CHL",0.8525,2012
"CHL",0.8525,2013
"CHL",0.8525,2014
"CHL",0.8525,2015
"CHL",0.8525,2016
"CHL",0.8525,2017
"CHL",0.8525,2018
"CHL",0.8525,2019
"CHL",0.8525,2020
"CHN",0.6016,2010
"CHN",0.6016,2011
"CHN",0.6016,2012
"CHN",0.6016,2013
"CHN",0.6016,2014
"CHN",0.6016,2015
"CHN",0.6016,2016
"CHN",0.6016,2017
"CHN",0.6016,2018
"CHN",0.6016,2019
"CHN",0.6016,2020
"CIV",0,2010
"CIV",0,2011
"CIV",0,2012
"CIV",0,2013
"CIV",0,2014
"CIV",0,2015
"CIV",0,2016
"CIV",0,2017
"CIV",0,2018
"CIV",0,2019
"CIV",0,2020
"CMR",0,2010
"CMR",0,2011
"CMR",0,2012
"CMR",0,2013
"CMR",0,2014
"CMR",0,2015
"CMR",0,2016
"CMR",0,2017
"CMR",0,2018
"CMR",0,2019
"CMR",0,2020
"COD",0,2010
"COD",0,2011
"COD",0,2012
"COD",0,2013
"COD",0,2014
"COD",0,2015
"COD",0,2016
"COD",0,2017
"COD",0,2018
"COD",0,2019
"COD",0,2020
"COG",0,2010
"COG",0,2011
"COG",0,2012
"COG",0,2013
"COG",0,2014
"COG",0,2015
"COG",0,2016
"COG",0,2017
"COG",0,2018
"COG",0,2019
"COG",0,2020
"COL",0,2010
"COL",0,2011
"COL",0,2012
"COL",0,2013
"COL",0,2014
"COL",0,2015
"COL",0,2016
"COL",0,2017
"COL",0,2018
"COL",0,2019
