,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_other_se_coal,frac_scoe_heat_energy_other_se_diesel,frac_scoe_heat_energy_other_se_electricity,frac_scoe_heat_energy_other_se_gasoline,frac_scoe_heat_energy_other_se_hydrocarbon_gas_liquids,frac_scoe_heat_energy_other_se_hydrogen,frac_scoe_heat_energy_other_se_kerosene,frac_scoe_heat_energy_other_se_natural_gas,frac_scoe_heat_energy_other_se_solid_biomass,gdp_mmm_usd,gdp_class
13,Argentina,2015,56.43,391.93,0.0,11.92,0.0,155.94,0.0,616.23,475.874,0.0,0.09486544757645932,0.03276917839596196,0.011858180947057415,0.0,0.0,0.011858180947057415,0.8236003648024477,0.02504864733101619,659.0425967,2
14,Argentina,2016,57.21,414.41,0.0,11.06,0.0,161.04,0.0,643.71,498.78400000000005,0.0,0.09175915827291974,0.032286520818630905,0.011469894784114967,0.0,0.0,0.011469894784114967,0.8308406043497786,0.02217392699044075,649.22546224,2
15,Argentina,2017,53.73,371.1,0.0,10.73,0.0,160.95,0.0,596.51,451.65500000000003,0.0,0.09516998594059625,0.03563560682379249,0.011896248242574532,0.0,0.0,0.011896248242574532,0.8216448395346005,0.023757071215861663,639.40832778,2
16,Argentina,2018,50.5,368.81,0.0,10.94,0.0,159.79,0.0,590.04,446.229,0.0,0.09053647342507996,0.03580896804107308,0.011317059178134995,0.0,0.0,0.011317059178134995,0.8265038802946469,0.024516559882930066,629.59119332,2
17,Argentina,2019,50.27,354.8,0.0,10.56,0.0,155.46,0.0,571.09,431.176,0.0,0.0932704974302837,0.03605488246099041,0.011658812178785463,0.0,0.0,0.011658812178785463,0.8228658366884984,0.024491159062656552,619.77405886,2
18,Australia,2011,15.87,131.16,0.0,52.8,0.0,225.19,13.45,438.47,235.79900000000004,0.0,0.05384246752530756,0.09550082909596733,0.006730308440663445,0.05704010619213821,0.0,0.006730308440663445,0.5562364556253419,0.22391952467991802,861.79223694,1
19,Australia,2012,15.58,133.55,0.0,52.8,0.0,221.34,14.22,437.5,238.284,0.0,0.05230733074818284,0.09288915747595307,0.006538416343522855,0.05967668832149872,0.0,0.006538416343522855,0.5604656628225144,0.22158432794480534,895.12347708,1
20,Australia,2013,15.87,136.95,0.0,52.8,0.0,218.01,15.17,438.8,242.591,0.0,0.05233500006183246,0.08986730752583567,0.006541875007729058,0.06253323495100807,0.0,0.006541875007729058,0.5645304236348421,0.21765028381102347,928.45471722,1
21,Australia,2014,15.68,140.58,0.0,51.77,0.0,207.88,15.45,431.36,244.268,0.0,0.05135343147690242,0.08510324725301718,0.006419178934612802,0.06325020059934171,0.0,0.006419178934612802,0.5755154174922626,0.21193934530925052,961.78595736,1
22,Australia,2015,15.3,143.29,0.0,49.8,0.0,213.43,17.1,438.93,246.83300000000003,0.0,0.049588183103555845,0.08646736862575102,0.006198522887944481,0.06927760874761478,0.0,0.006198522887944481,0.58051395072782,0.20175584301936933,995.1171975,1
23,Australia,2016,16.7,146.38,0.0,49.22,0.0,213.79,17.36,443.46,251.03900000000002,0.0,0.053218822573385005,0.08516206645182621,0.006652352821673126,0.06915260178697333,0.0,0.006652352821673126,0.5830966503212648,0.19606515322320434,1012.3560788,1
24,Australia,2017,14.65,146.15,0.0,48.8,0.0,213.1,18.24,440.95,249.15000000000003,0.0,0.04703993578165763,0.08553080473610275,0.005879991972707204,0.073208910295003,0.0,0.005879991972707204,0.586594421031507,0.19586594421031503,1029.5949601,1
25,Australia,2018,14.74,145.92,0.0,48.2,0.0,212.95,19.16,440.95,249.315,0.0,0.04729759541142732,0.08541403445440508,0.005912199426428415,0.07685057056334356,0.0,0.005912199426428415,0.5852836772757355,0.19332972344223173,1046.8338414,1
26,Australia,2019,15.2,148.58,0.0,47.6,0.0,211.59,20.21,443.18,252.74900000000002,0.0,0.04811097175458656,0.08371546474961325,0.00601387146932332,0.07996075157567388,0.0,0.00601387146932332,0.5878559361263546,0.18832913285512504,1064.0727227,1
27,Austria,2011,48.34,58.18,1.67,71.73,24.49,65.14,4.32,273.86,215.24400000000003,0.007758636709966363,0.17966586757354444,0.030263329059114306,0.022458233446693055,0.02007024586051179,0.0,0.022458233446693055,0.3840757465945624,0.3332497073089145,310.97406008,1
28,Austria,2012,44.01,59.22,1.75,75.83,27.4,65.99,4.52,278.72,219.329,0.007978881041722709,0.16052596783827036,0.030087220568187516,0.020065745979783795,0.020608309890620936,0.0,0.020065745979783795,0.3949318147622977,0.34573631393933313,318.40071376,1
29,Austria,2013,47.33,59.83,1.33,77.73,31.19,64.48,4.99,286.88,228.848,0.0058117178214360625,0.1654547996923722,0.02817590715234566,0.020681849961546525,0.021804866112004474,0.0,0.020681849961546525,0.39773124519331604,0.3396577641054324,325.82736744,1
30,Austria,2014,41.46,52.4,1.1,68.24,28.64,61.27,4.9,258.02,202.86700000000002,0.005422271734683314,0.16349628081452378,0.030202053562186065,0.020437035101815472,0.024153755909043857,0.0,0.020437035101815472,0.3994735467079416,0.3363780210679903,333.25402112,1
31,Austria,2015,43.19,56.84,0.89,72.65,31.48,62.96,5.34,273.35,216.686,0.004107325807850992,0.15945654080097468,0.02905586886093241,0.019932067600121835,0.02464395484710595,0.0,0.019932067600121835,0.4075943992689883,0.335277775213904,340.6806748,1
32,Austria,2016,42.85,62.82,0.86,74.71,32.62,65.15,5.49,284.5,225.865,0.0038075841763885506,0.151772076240232,0.028844663847873733,0.018971509530029,0.024306554800433887,0.0,0.018971509530029,0.42255329510991074,0.330772806765103,344.50716884,1
33,Austria,2017,43.37,61.5,0.95,75.1,34.55,65.28,5.09,285.83,227.088,0.004183400267737617,0.15278658493623617,0.02874656520820123,0.019098323117029522,0.022414218276615234,0.0,0.019098323117029522,0.42296378496441905,0.3307088001127316,348.33366288,1
34,Austria,2018,38.58,56.28,0.81,69.22,32.5,64.75,4.64,266.79,208.505,0.0038847989256852356,0.14802522721277667,0.03105441116519988,0.018503153401597083,0.022253662981703077,0.0,0.018503153401597083,0.4257931464473274,0.33198244646411357,352.16015692,1
35,Austria,2019,38.84,59.49,0.83,70.69,32.09,66.46,4.73,273.13,213.316,0.003890941138967541,0.14566183502409571,0.031155656397082263,0.018207729378011964,0.022173676611224664,0.0,0.018207729378011964,0.4293161319357198,0.3313863001368861,355.98665096,1
36,Azerbaijan,2011,2.62,102.19,0.0,3.21,2.03,21.3,0.0,131.35,112.17999999999999,0.0,0.018684257443394546,0.018987341772151903,0.0023355321804243183,0.0,0.0,0.0023355321804243183,0.9290426100909254,0.028614726332679623,89.965753648,2
37,Azerbaijan,2012,2.39,83.99,0.0,3.26,2.44,23.4,0.0,115.48,94.42,0.0,0.02024994704511756,0.024782884981995337,0.002531243380639695,0.0,0.0,0.002531243380639695,0.9153780978606226,0.034526583350984956,95.026319836,2
38,Azerbaijan,2013,2.09,81.1,0.0,3.04,2.93,24.18,0.0,113.34,91.578,0.0,0.018257660136714055,0.026403721417807773,0.002282207517089257,0.0,0.0,0.002282207517089257,0.9175784577081831,0.03319574570311647,100.086886024,2
39,Azerbaijan,2014,1.73,90.56,0.0,2.49,3.93,26.25,0.0,124.96,101.33500000000001,0.0,0.01365767010411013,0.02590417920757882,0.0017072087630137663,0.0,0.0,0.0017072087630137663,0.9324517688853802,0.024571964276903342,105.147452212,2
40,Azerbaijan,2015,1.3,96.7,0.0,2.25,4.26,28.58,0.0,133.09,107.36800000000001,0.0,0.009686312495343118,0.02661873183816407,0.0012107890619178897,0.0,0.0,0.0012107890619178897,0.9403174130094628,0.020955964533194246,110.2080184,2
41,Azerbaijan,2016,0.9,112.03,0.0,0.48,4.82,29.06,0.0,147.3,121.13600000000001,0.0,0.005943732664113063,0.023989565447100777,0.0007429665830141329,0.0,0.0,0.0007429665830141329,0.9646182802800157,0.003962488442742042,110.45247888,2
42,Azerbaijan,2017,0.67,99.36,0.0,0.55,4.73,25.68,0.0,131.0,107.878,0.0,0.004968575613192681,0.023804668236341052,0.0006210719516490851,0.0,0.0,0.0006210719516490851,0.9648862604052727,0.005098351841895475,110.69693936,2
43,Azerbaijan,2018,0.64,107.41,0.0,0.48,5.05,24.12,0.0,137.69,115.992,0.0,0.0044140975239671705,0.020794537554314093,0.0005517621904958963,0.0,0.0,0.0005517621904958963,0.9695496241120076,0.004138216428719222,110.94139984,2
44,Azerbaijan,2019,0.49,116.6,0.0,0.46,5.06,23.1,0.0,145.72,124.91999999999999,0.0,0.0031380083253282104,0.018491834774255526,0.0003922510406660263,0.0,0.0,0.0003922510406660263,0.973903298110791,0.003682356708293308,111.18586032,2
45,Belarus,2011,5.23,57.22,8.96,27.77,93.28,22.02,0.0,214.47,194.662,0.04602850068323556,0.021493665944046603,0.011311915011661238,0.0026867082430058254,0.0,0.0,0.0026867082430058254,0.7731349724137222,0.1426575294613227,125.73442268,2
46,Belarus,2012,4.35,64.3,8.41,26.37,97.96,22.82,0.0,224.22,203.672,0.041291881063671,0.017086295612553516,0.011204289249381359,0.0021357869515691895,0.0,0.0,0.0021357869515691895,0.7966730822106131,0.1294728779606426,131.44220136,2
47,Belarus,2013,4.19,63.48,7.88,23.58,98.13,23.02,0.0,220.27,199.562,0.039486475381084574,0.016796784959060344,0.011535262224271153,0.002099598119882543,0.0,0.0,0.002099598119882543,0.809823513494553,0.11815876770126575,137.14998004,2
48,Belarus,2014,3.73,62.25,6.03,19.67,93.46,23.06,0.0,208.2,187.44600000000003,0.032169264748247495,0.015919251411073053,0.012302209703061147,0.0019899064263841316,0.0,0.0,0.0019899064263841316,0.8306925727942979,0.10493688849055194,142.85775872,2
49,Belarus,2015,3.36,60.09,4.7,17.15,91.92,23.8,0.0,201.02,179.6,0.026169265033407576,0.014966592427616929,0.013251670378619155,0.001870824053452116,0.0,0.0,0.001870824053452116,0.846380846325167,0.09548997772828507,148.5655374,2
50,Belarus,2016,2.81,65.86,4.76,16.66,96.11,24.11,0.0,210.31,188.61100000000002,0.025237128269295,0.011918710997767893,0.012782923583460136,0.0014898388747209867,0.0,0.0,0.0014898388747209867,0.8587516104575024,0.0883299489425325,149.38737018,2
51,Belarus,2017,2.47,65.28,5.38,19.41,97.67,23.76,0.0,213.97,192.58599999999998,0.027935571640721548,0.01026035121971483,0.012337345393746174,0.0012825439024643538,0.0,0.0,0.0012825439024643538,0.8461155016460179,0.10078614229487087,150.20920296,2
52,Belarus,2018,2.34,65.49,5.44,19.92,98.01,23.68,0.0,214.86,193.56799999999998,0.02810381881302695,0.009671020003306332,0.012233427012729376,0.0012088775004132914,0.0,0.0,0.0012088775004132914,0.8446644073400563,0.10290957183005457,151.03103574,2
53,Belarus,2019,2.11,62.92,4.81,20.52,92.67,23.47,0.0,206.48,185.377,0.025947123968992913,0.009105768245251568,0.012660686061377624,0.001138221030656446,0.0,0.0,0.001138221030656446,0.8393166358286087,0.11069334383445627,151.85286852,2
54,Belgium,2011,110.49,130.36,4.12,18.23,0.54,69.33,0.55,333.61,271.223,0.015190452137171257,0.3259015643953499,0.025561991424031146,0.04073769554941874,0.0020278516202534447,0.0,0.04073769554941874,0.4826286856203198,0.0672140637040369,374.04356334,1
55,Belgium,2012,109.62,139.38,4.02,23.74,0.59,71.45,0.58,349.39,285.075,0.014101552223099183,0.30762430939226526,0.025063579759712358,0.03845303867403316,0.002034552310795405,0.0,0.03845303867403316,0.49099359817591864,0.08327633079014295,382.38528118,1
56,Belgium,2013,119.59,155.92,5.26,25.59,0.45,71.32,0.74,378.87,314.68199999999996,0.01671528717880273,0.30402755797916636,0.022664149840156095,0.038003444747395795,0.0023515803255349846,0.0,0.038003444747395795,0.496914345275548,0.08132018990600036,390.72699902,1
57,Belgium,2014,97.78,121.98,3.46,19.09,0.41,68.1,0.89,311.7,250.42000000000002,0.013816787796501875,0.31237121635652104,0.02719431355323057,0.03904640204456513,0.0035540292308921012,0.0,0.03904640204456513,0.48873891861672386,0.07623193035700024,399.06871686,1
58,Belgium,2015,114.71,134.33,3.95,22.63,0.34,67.79,0.97,344.72,283.709,0.013922716586361378,0.3234581913157496,0.02389420145289716,0.0404322739144687,0.003418996225005199,0.0,0.0404322739144687,0.4746765171355157,0.07976482945553366,407.4104347,1
59,Belgium,2016,105.15,139.92,3.07,26.22,0.51,67.79,0.9,343.56,282.549,0.010865372023967524,0.29771827187496686,0.023992298680936764,0.03721478398437086,0.0031852882154953656,0.0,0.03721478398437086,0.49701113789112683,0.09279806334476498,410.35955398,1
60,Belgium,2017,105.2,136.85,2.94,24.77,0.51,66.63,0.94,337.86,277.873,0.010580373048119105,0.30287217541826666,0.023978580142727076,0.03785902192728333,0.0033828403623237953,0.0,0.03785902192728333,0.4943265448604218,0.0891414423135749,413.30867326,1
61,Belgium,2018,102.69,136.65,2.41,24.15,0.55,66.54,1.02,334.02,274.124,0.008791641738775153,0.2996891917526375,0.02427368636091696,0.037461148969079684,0.003720943806452554,0.0,0.037461148969079684,0.5005034218091083,0.08809881659395018,416.25779254,1
62,Belgium,2019,95.86,135.51,1.74,23.81,0.56,66.17,1.02,324.67,265.11699999999996,0.006563140047601626,0.2892609677991227,0.024958791778724117,0.03615762097489034,0.003847357958938884,0.0,0.03615762097489034,0.5132450955615823,0.08980940490424982,419.20691182,1
63,Bosnia and Herzegovina,2011,0.0,1.81,4.7,7.36,4.34,16.37,0.0,34.58,19.847,0.23681160880737642,0.0,0.08248097949312239,0.0,0.0,0.0,0.0,0.30987050939688615,0.370836902302615,27.651166044,2
64,Bosnia and Herzegovina,2012,0.0,1.64,4.18,7.37,4.14,16.56,0.0,33.89,18.986,0.22016222479721897,0.0,0.08722216369956809,0.0,0.0,0.0,0.0,0.3044348467291688,0.388180764774044,28.593412888,2
65,Bosnia and Herzegovina,2013,3.31,1.36,2.5,7.3,3.98,16.65,0.0,35.1,20.115000000000002,0.12428535918468803,0.13164305244842156,0.08277404921700222,0.016455381556052695,0.0,0.0,0.016455381556052695,0.26547352721849365,0.36291324881928905,29.535659732,2
66,Bosnia and Herzegovina,2014,3.58,1.13,2.36,13.91,3.51,16.57,0.0,41.06,26.147,0.09025892071748193,0.10953455463341877,0.06337247102918117,0.013691819329177346,0.0,0.0,0.013691819329177346,0.17745821700386277,0.5319921979577007,30.477906576,2
67,Bosnia and Herzegovina,2015,3.28,1.39,2.31,18.59,4.05,17.01,0.0,46.62,31.321,0.07375243446888669,0.08377765716292583,0.05430861083618021,0.010472207145365729,0.0,0.0,0.010472207145365729,0.17368538680118767,0.5935314964400881,31.42015342,2
68,Bosnia and Herzegovina,2016,3.54,1.45,3.08,18.61,3.99,17.04,0.0,47.71,32.373999999999995,0.09513807376289617,0.08747760548588375,0.05263483041947242,0.010934700685735469,0.0,0.0,0.010934700685735469,0.16803607833446596,0.5748440106258109,32.098256014,2
69,Bosnia and Herzegovina,2017,1.87,1.58,4.37,14.84,4.0,17.12,0.0,43.78,28.372,0.15402509516424645,0.05272804173128437,0.060341181446496556,0.006591005216410546,0.0,0.0,0.006591005216410546,0.1966727759763147,0.5230508952488369,32.776358608,2
70,Bosnia and Herzegovina,2018,1.11,1.51,3.21,45.33,3.96,16.87,0.0,71.99,56.807,0.05650712060133434,0.015631876353266325,0.02969704437833366,0.0019539845441582907,0.0,0.0,0.0019539845441582907,0.09629095005897159,0.7979650395197775,33.454461202,2
71,Bosnia and Herzegovina,2019,0.58,1.62,2.4,45.1,3.9,17.01,0.0,70.61,55.301,0.04339885354695213,0.008390445019077411,0.03075893745140233,0.0010488056273846764,0.0,0.0,0.0010488056273846764,0.0998173631579899,0.8155367895698089,34.132563796,2
72,Brazil,2011,266.46,11.72,0.0,292.58,0.0,403.17,0.0,973.93,611.077,0.0,0.3488398352417126,0.06597695544096735,0.04360497940521407,0.0,0.0,0.04360497940521407,0.0191792523691777,0.4787939981377142,2064.4301636,2
73,Brazil,2012,267.67,12.37,0.0,291.0,0.0,423.6,0.0,994.65,613.4000000000001,0.0,0.34909683730029345,0.06905771111835671,0.04363710466253668,0.0,0.0,0.04363710466253668,0.020166286273231165,0.4744049559830453,2156.3083482,2
74,Brazil,2013,273.03,13.45,0.0,257.19,0.0,449.53,0.0,993.19,588.6229999999999,0.0,0.371076223660985,0.07636976468809409,0.04638452795762313,0.0,0.0,0.04638452795762313,0.022849939604806472,0.4369350161308682,2248.1865328,2
75,Brazil,2014,273.61,12.98,0.0,275.77,0.0,476.18,0.0,1038.54,609.9780000000001,0.0,0.35884572886235244,0.07806511054497046,0.044855716107794055,0.0,0.0,0.044855716107794055,0.021279455980379617,0.4520982723967093,2340.0647174,2
76,Brazil,2015,273.87,13.04,0.0,285.02,0.0,472.21,0.0,1044.14,619.1510000000001,0.0,0.35386521220186995,0.07626734027725061,0.044233151525233744,0.0,0.0,0.044233151525233744,0.021061098181219116,0.46034004628919273,2431.942902,2
77,Brazil,2016,275.2,14.93,0.0,271.84,0.0,478.32,0.0,1040.29,609.8019999999999,0.0,0.3610352212685429,0.07843857514406317,0.045129402658567866,0.0,0.0,0.045129402658567866,0.024483356892893108,0.44578404137736516,2421.7722246,2
78,Brazil,2017,276.58,15.87,0.0,287.66,0.0,483.88,0.0,1063.99,628.498,0.0,0.35205203516956296,0.07698990291138556,0.04400650439619537,0.0,0.0,0.04400650439619537,0.025250677010905363,0.45769437611575536,2411.6015472,2
79,Brazil,2018,273.44,16.94,0.0,320.46,0.0,496.21,0.0,1107.05,660.461,0.0,0.33121107832256563,0.07513085556906464,0.041401384790320704,0.0,0.0,0.041401384790320704,0.025648751402429518,0.4852065451252988,2401.4308698,2
80,Brazil,2019,272.06,17.08,0.0,313.37,0.0,515.08,0.0,1117.6,654.018,0.0,0.3327859477873698,0.07875624218293688,0.041598243473421226,0.0,0.0,0.041598243473421226,0.02611548917613888,0.47914583390671206,2391.2601924,2
81,Bulgaria,2011,1.15,2.34,9.98,31.27,15.05,39.28,0.33,99.41,64.048,0.1558206345241069,0.014364226829877591,0.06132900324756433,0.0017955283537346989,0.0051523857107169625,0.0,0.0017955283537346989,0.27151511366475145,0.48822757931551336,85.657160698,2
82,Bulgaria,2012,1.05,2.24,9.68,31.77,14.4,39.02,0.35,98.5,63.391999999999996,0.15270065623422516,0.01325088339222615,0.06155350832912672,0.0016563604240282688,0.005521201413427562,0.0,0.0016563604240282688,0.26249369005552753,0.5011673397274105,88.889704936,2
83,Bulgaria,2013,1.01,1.88,7.91,31.39,13.33,37.93,0.38,93.83,59.693000000000005,0.13251134973950043,0.013535925485400297,0.06354178881945957,0.0016919906856750371,0.006365905550064496,0.0,0.0016919906856750371,0.2548037458328447,0.5258573032013804,92.122249174,2
84,Bulgaria,2014,1.01,1.89,5.51,30.7,13.01,38.12,0.4,90.64,56.332,0.09781296598736064,0.01434353475821913,0.06767024071575659,0.0017929418447773912,0.007100759781296599,0.0,0.0017929418447773912,0.2645033018532983,0.544983313214514,95.354793412,2
85,Bulgaria,2015,1.41,2.17,5.59,29.98,13.93,38.32,0.4,91.8,57.312,0.09753629257398101,0.01968174204355109,0.06686208821887214,0.002460217755443886,0.006979341150195422,0.0,0.002460217755443886,0.28091848129536573,0.5231016192071469,98.58733765,2
86,Bulgaria,2016,1.14,2.47,6.3,31.74,13.59,38.64,0.4,94.28,59.504000000000005,0.1058752352783006,0.01532670072600161,0.06493681097069105,0.0019158375907502012,0.006722237160527023,0.0,0.0019158375907502012,0.26989782199515994,0.5334095186878193,101.19922308,2
87,Bulgaria,2017,1.04,2.85,6.64,31.8,14.23,40.1,0.42,97.08,60.989999999999995,0.1088703066076406,0.013641580586981474,0.06574848335792755,0.0017051975733726843,0.006886374815543532,0.0,0.0017051975733726843,0.28004590916543703,0.5213969503197246,103.81110851,2
88,Bulgaria,2018,0.93,3.24,4.8,30.93,13.56,39.47,0.44,93.35,57.847,0.082977509637492,0.012861513993811262,0.06823171469566269,0.0016076892492264078,0.0076062717167701,0.0,0.0016076892492264078,0.290421283731222,0.5346863277265891,106.42299394,2
89,Bulgaria,2019,0.83,3.3,4.28,29.75,12.88,39.04,0.46,90.53,55.404,0.0772507400187712,0.011984694245902823,0.0704642264096455,0.0014980867807378529,0.00830264962818569,0.0,0.0014980867807378529,0.29203667605227057,0.5369648400837485,109.03487937,2
90,Canada,2011,114.56,611.83,0.91,77.36,0.0,589.14,19.99,1413.79,883.5640000000001,0.0010299197341675306,0.10372536680987456,0.06667768265796252,0.01296567085123432,0.02262428075385597,0.0,0.01296567085123432,0.692456913138154,0.08755449520351666,1248.397375,1
91,Canada,2012,100.47,567.14,0.73,74.64,0.0,589.3,22.07,1354.35,823.9799999999999,0.000885943833588194,0.0975460569431297,0.07151872618267434,0.012193257117891213,0.02678463069491978,0.0,0.012193257117891213,0.6882934051797375,0.09058472293016821,1278.761541,1
92,Canada,2013,87.22,613.75,0.69,83.28,0.0,611.28,17.7,1413.92,863.768,0.0007988256105806188,0.08078095044039603,0.07076900278778561,0.010097618805049504,0.020491613488807178,0.0,0.010097618805049504,0.7105495920200794,0.09641477804225208,1309.125707,1
93,Canada,2014,82.97,615.03,0.58,85.92,0.0,629.68,16.41,1430.59,863.8779999999999,0.0006713910992061379,0.076834923449839,0.07288992195657257,0.009604365431229875,0.018995737824090902,0.0,0.009604365431229875,0.7119408064564673,0.09945848835136444,1339.489873,1
94,Canada,2015,80.46,607.24,0.29,84.88,0.0,613.4,16.23,1402.5,850.4399999999999,0.00034099995296552375,0.07568787921546494,0.07212736936174216,0.009460984901933117,0.019084238747001554,0.0,0.009460984901933117,0.7140303842716712,0.09980715864728847,1369.854039,1
95,Canada,2016,76.79,555.71,0.21,81.04,0.0,598.18,18.63,1330.56,792.198,0.00026508524384055503,0.07754626999815704,0.07550890055263962,0.00969328374976963,0.023516848060712095,0.0,0.00969328374976963,0.7014786707363564,0.10229765790875514,1385.3011774,1
96,Canada,2017,72.0,605.1,0.0,82.08,0.0,604.3,18.86,1382.34,838.47,0.0,0.06869655443844144,0.0720717497346357,0.00858706930480518,0.022493350984531348,0.0,0.00858706930480518,0.7216716161580021,0.09789259007477906,1400.7483158,1
97,Canada,2018,70.63,672.24,0.0,78.24,0.0,620.98,16.62,1458.71,899.828,0.0,0.06279422289593121,0.06901096654027215,0.007849277861991402,0.01847019652644728,0.0,0.007849277861991402,0.7470761078783946,0.08694995043497201,1416.1954542,1
98,Canada,2019,67.59,619.49,0.0,69.68,0.0,625.07,16.93,1398.76,836.1970000000001,0.0,0.06466418798441037,0.07475152386339583,0.008083023498051296,0.020246425184495993,0.0,0.008083023498051296,0.7408421699671249,0.08332964600447024,1431.6425926,1
99,Chile,2011,41.86,16.34,0.31,141.07,0.0,34.38,0.0,233.95,203.018,0.0015269582007506723,0.1649508910539952,0.016934459013486492,0.0206188613817494,0.0,0.0,0.0206188613817494,0.08048547419440641,0.6948644947738624,234.59259256,2
100,Chile,2012,41.49,16.39,0.36,154.92,0.0,36.55,0.0,249.71,216.815,0.001660401724972903,0.15308903904250168,0.01685768973548878,0.01913612988031271,0.0,0.0,0.01913612988031271,0.07559440075640524,0.714526208980006,245.49249002,2
101,Chile,2013,43.05,16.98,0.51,156.37,0.0,39.12,0.0,256.03,220.822,0.0023095524902410087,0.15596272110568693,0.017715626160436912,0.019495340138210866,0.0,0.0,0.019495340138210866,0.07689451232214181,0.7081269076450716,256.39238748,2
102,Chile,2014,37.91,17.89,0.1,73.58,0.0,40.94,0.0,170.42,133.57399999999998,0.0007486486891161455,0.22705017443514458,0.030649677332415,0.028381271804393073,0.0,0.0,0.028381271804393073,0.13393325048287844,0.5508557054516598,267.29228494,2
103,Chile,2015,34.44,18.44,0.1,71.0,0.0,42.32,0.0,166.3,128.212,0.0007799581942407888,0.21489408167722213,0.033007830780270184,0.026861760209652766,0.0,0.0,0.026861760209652766,0.14382429101800145,0.55377031791096,278.1921824,2
