Year,iso_code3,nemomod_entc_residual_capacity_pp_coal_gw
2048,AFG,0.0
2049,AFG,0.0
2050,AFG,0.0
2051,AFG,0.0
2052,AFG,0.0
2053,AFG,0.0
2054,AFG,0.0
2055,AFG,0.0
1974,AGO,0.0
1975,AGO,0.0
1976,AGO,0.0
1977,AGO,0.0
1978,AGO,0.0
1979,AGO,0.0
1980,AGO,0.0
1981,AGO,0.0
1982,AGO,0.0
1983,AGO,0.0
1984,AGO,0.0
1985,AGO,0.0
1986,AGO,0.0
1987,AGO,0.0
1988,AGO,0.0
1989,AGO,0.0
1990,AGO,0.0
1991,AGO,0.0
1992,AGO,0.0
1993,AGO,0.0
1994,AGO,0.0
1995,AGO,0.0
1996,AGO,0.0
1997,AGO,0.0
1998,AGO,0.0
1999,AGO,0.0
2000,AGO,0.0
2001,AGO,0.0
2002,AGO,0.0
2003,AGO,0.0
2004,AGO,0.0
2005,AGO,0.0
2006,AGO,0.0
2007,AGO,0.0
2008,AGO,0.0
2009,AGO,0.0
2021,AGO,0.0
2022,AGO,0.0
2023,AGO,0.0
2024,AGO,0.0
2025,AGO,0.0
2026,AGO,0.0
2027,AGO,0.0
2028,AGO,0.0
2029,AGO,0.0
2030,AGO,0.0
2031,AGO,0.0
2032,AGO,0.0
2033,AGO,0.0
2034,AGO,0.0
2035,AGO,0.0
2036,AGO,0.0
2037,AGO,0.0
2038,AGO,0.0
2039,AGO,0.0
2040,AGO,0.0
2041,AGO,0.0
2042,AGO,0.0
2043,AGO,0.0
2044,AGO,0.0
2045,AGO,0.0
2046,AGO,0.0
2047,AGO,0.0
2048,AGO,0.0
2049,AGO,0.0
2050,AGO,0.0
2051,AGO,0.0
2052,AGO,0.0
2053,AGO,0.0
2054,AGO,0.0
2055,AGO,0.0
1951,ALB,0.0
1952,ALB,0.0
1953,ALB,0.0
1954,ALB,0.0
1955,ALB,0.0
1956,ALB,0.0
1957,ALB,0.0
1958,ALB,0.0
1959,ALB,0.0
1960,ALB,0.0
1961,ALB,0.0
1962,ALB,0.0
1963,ALB,0.0
1964,ALB,0.0
1965,ALB,0.0
1966,ALB,0.0
1967,ALB,0.0
1968,ALB,0.0
1969,ALB,0.0
1970,ALB,0.0
1971,ALB,0.0
1972,ALB,0.0
1973,ALB,0.0
1974,ALB,0.0
1975,ALB,0.0
1976,ALB,0.0
1977,ALB,0.0
1978,ALB,0.0
1979,ALB,0.0
1980,ALB,0.0
1981,ALB,0.0
1982,ALB,0.0
1983,ALB,0.0
1984,ALB,0.0
1985,ALB,0.0
1986,ALB,0.0
1987,ALB,0.0
1988,ALB,0.0
1989,ALB,0.0
1990,ALB,0.0
1991,ALB,0.0
1992,ALB,0.0
1993,ALB,0.0
1994,ALB,0.0
1995,ALB,0.0
1996,ALB,0.0
1997,ALB,0.0
1998,ALB,0.0
1999,ALB,0.0
2000,ALB,0.0
2001,ALB,0.0
2002,ALB,0.0
2003,ALB,0.0
2004,ALB,0.0
2005,ALB,0.0
2006,ALB,0.0
2007,ALB,0.0
2008,ALB,0.0
2009,ALB,0.0
2021,ALB,0.0
2022,ALB,0.0
2023,ALB,0.0
2024,ALB,0.0
2025,ALB,0.0
2026,ALB,0.0
2027,ALB,0.0
2028,ALB,0.0
2029,ALB,0.0
2030,ALB,0.0
2031,ALB,0.0
2032,ALB,0.0
2033,ALB,0.0
2034,ALB,0.0
2035,ALB,0.0
2036,ALB,0.0
2037,ALB,0.0
2038,ALB,0.0
2039,ALB,0.0
2040,ALB,0.0
2041,ALB,0.0
2042,ALB,0.0
2043,ALB,0.0
2044,ALB,0.0
2045,ALB,0.0
2046,ALB,0.0
2047,ALB,0.0
2048,ALB,0.0
2049,ALB,0.0
2050,ALB,0.0
2051,ALB,0.0
2052,ALB,0.0
2053,ALB,0.0
2054,ALB,0.0
2055,ALB,0.0
1977,ARE,0.0
1978,ARE,0.0
1979,ARE,0.0
1980,ARE,0.0
1981,ARE,0.0
1982,ARE,0.0
1983,ARE,0.0
1984,ARE,0.0
1985,ARE,0.0
1986,ARE,0.0
1987,ARE,0.0
1988,ARE,0.0
1989,ARE,0.0
1990,ARE,0.0
1991,ARE,0.0
1992,ARE,0.0
1993,ARE,0.0
1994,ARE,0.0
1995,ARE,0.0
1996,ARE,0.0
1997,ARE,0.0
1998,ARE,0.0
1999,ARE,0.0
2000,ARE,0.0
2001,ARE,0.0
2002,ARE,0.0
2003,ARE,0.0
2004,ARE,0.0
2005,ARE,0.0
2006,ARE,0.0
2007,ARE,0.0
2008,ARE,0.0
2009,ARE,0.0
2021,ARE,0.0
2022,ARE,0.0
2023,ARE,0.0
2024,ARE,0.0
2025,ARE,0.0
2026,ARE,0.0
2027,ARE,0.0
2028,ARE,0.0
2029,ARE,0.0
2030,ARE,0.0
2031,ARE,0.0
2032,ARE,0.0
2033,ARE,0.0
2034,ARE,0.0
2035,ARE,0.0
2036,ARE,0.0
2037,ARE,0.0
2038,ARE,0.0
2039,ARE,0.0
2040,ARE,0.0
2041,ARE,0.0
2042,ARE,0.0
1920,ARG,0.0
1921,ARG,0.0
1922,ARG,0.0
1923,ARG,0.0
1924,ARG,0.0
1925,ARG,0.0
1926,ARG,0.0
1927,ARG,0.0
1928,ARG,0.0
1929,ARG,0.0
1930,ARG,0.0
1931,ARG,0.0
1932,ARG,0.0
1933,ARG,0.0
1934,ARG,0.0
1935,ARG,0.0
1936,ARG,0.0
1937,ARG,0.0
1938,ARG,0.0
1939,ARG,0.0
1940,ARG,0.0
1941,ARG,0.0
1942,ARG,0.0
1943,ARG,0.0
1944,ARG,0.0
1945,ARG,0.0
1946,ARG,0.0
1947,ARG,0.0
1948,ARG,0.0
1949,ARG,0.0
1950,ARG,0.0
1951,ARG,0.0
1952,ARG,0.0
1953,ARG,0.0
1954,ARG,0.0
1955,ARG,0.0
1956,ARG,0.0
1957,ARG,0.0
1958,ARG,0.0
1959,ARG,0.0
1960,ARG,0.0
1961,ARG,0.0
1962,ARG,0.239066794060556
1963,ARG,0.239066794060556
1964,ARG,0.239066794060556
1965,ARG,1.5433559846652711
1966,ARG,1.5433559846652711
1967,ARG,1.5433559846652711
1968,ARG,1.7612664252691408
1969,ARG,1.7612664252691408
1970,ARG,1.7612664252691408
1971,ARG,2.0037182358827668
1972,ARG,2.0037182358827668
1973,ARG,2.0037182358827668
1974,ARG,2.0037182358827668
1975,ARG,2.0037182358827668
1976,ARG,2.0037182358827668
1977,ARG,2.0037182358827668
1978,ARG,2.0037182358827668
1979,ARG,2.0037182358827668
1980,ARG,2.0037182358827668
1981,ARG,2.0037182358827668
1982,ARG,2.0037182358827668
1983,ARG,4.100524426974953
1984,ARG,4.100524426974953
1985,ARG,4.100524426974953
1986,ARG,4.100524426974953
1987,ARG,4.100524426974953
1988,ARG,4.100524426974953
1989,ARG,4.100524426974953
1990,ARG,4.75637138413223
1991,ARG,4.755975415430888
1992,ARG,4.574458866019648
1993,ARG,4.8574
1994,ARG,4.984117963537591
1995,ARG,4.8574
1996,ARG,4.905911086417703
1997,ARG,4.8574
1998,ARG,4.968366729991764
1999,ARG,4.8574
2000,ARG,5.067170753708379
2001,ARG,5.143827123254342
2002,ARG,5.115364652059995
2003,ARG,5.104970323570264
2004,ARG,5.1788605175387215
2005,ARG,5.17288505533146
2006,ARG,5.2072576958495125
2007,ARG,5.389046169699174
2008,ARG,5.377251863411325
2009,ARG,5.558613360205672
2021,ARG,5.845728396198957
2022,ARG,5.845728396198957
2023,ARG,5.845728396198957
2024,ARG,5.845728396198957
2025,ARG,5.845728396198957
2026,ARG,5.845728396198957
2027,ARG,5.845728396198957
2028,ARG,5.845728396198957
2029,ARG,5.845728396198957
2030,ARG,5.845728396198957
2031,ARG,5.845728396198957
2032,ARG,5.845728396198957
2033,ARG,1.9352927769543655
2034,ARG,1.9352927769543655
2035,ARG,1.9352927769543655
2036,ARG,1.9352927769543655
2037,ARG,1.9352927769543655
2038,ARG,1.9352927769543655
2039,ARG,1.9352927769543655
2040,ARG,0.7121719597151132
2041,ARG,0.7121719597151132
2042,ARG,0.7121719597151132
2043,ARG,0.0
2044,ARG,0.0
2045,ARG,0.0
2046,ARG,0.0
2047,ARG,0.0
2048,ARG,0.0
2049,ARG,0.0
2050,ARG,0.0
2051,ARG,0.0
2052,ARG,0.0
2053,ARG,0.0
2054,ARG,0.0
2055,ARG,0.0
1969,ARM,0.0
1970,ARM,0.0
1971,ARM,0.0
1972,ARM,0.0
1973,ARM,0.0
1974,ARM,0.0
1975,ARM,0.0
1976,ARM,0.0
1977,ARM,0.0
1978,ARM,0.0
1979,ARM,0.0
1980,ARM,0.0
1981,ARM,0.0
1982,ARM,0.0
1983,ARM,0.0
1984,ARM,0.0
1985,ARM,0.0
1986,ARM,0.0
1987,ARM,0.0
1988,ARM,0.0
1989,ARM,0.0
1990,ARM,0.0
1991,ARM,0.0
1992,ARM,0.0
1993,ARM,0.0
1994,ARM,0.0
1995,ARM,0.0
1996,ARM,0.0
1997,ARM,0.0
1998,ARM,0.0
1999,ARM,0.0
2000,ARM,0.0
2001,ARM,0.0
2002,ARM,0.0
2003,ARM,0.0
2004,ARM,0.0
2005,ARM,0.0
2006,ARM,0.0
2007,ARM,0.0
2008,ARM,0.0
2009,ARM,0.0
2021,ARM,0.0
2022,ARM,0.0
2023,ARM,0.0
2024,ARM,0.0
2025,ARM,0.0
2026,ARM,0.0
2027,ARM,0.0
2028,ARM,0.0
2029,ARM,0.0
2030,ARM,0.0
2031,ARM,0.0
2032,ARM,0.0
2033,ARM,0.0
2034,ARM,0.0
2035,ARM,0.0
2036,ARM,0.0
2037,ARM,0.0
2038,ARM,0.0
2039,ARM,0.0
2040,ARM,0.0
2041,ARM,0.0
2042,ARM,0.0
2043,ARM,0.0
2044,ARM,0.0
2045,ARM,0.0
2046,ARM,0.0
2047,ARM,0.0
2048,ARM,0.0
2049,ARM,0.0
2050,ARM,0.0
2051,ARM,0.0
2052,ARM,0.0
2053,ARM,0.0
2054,ARM,0.0
2055,ARM,0.0
1920,AUS,0.0
1921,AUS,0.0
1922,AUS,0.0
1923,AUS,0.0
1924,AUS,0.0
1925,AUS,0.0
1926,AUS,0.0
1927,AUS,0.0
1928,AUS,0.0
1929,AUS,0.0
1930,AUS,0.0
1931,AUS,0.0
1932,AUS,0.0
1933,AUS,0.0
1934,AUS,0.0
1935,AUS,0.0
1936,AUS,0.0
1937,AUS,0.0
1938,AUS,0.0
1939,AUS,0.0
1940,AUS,0.0
1941,AUS,0.0
1942,AUS,0.0
1943,AUS,0.0
1944,AUS,0.0
1945,AUS,0.0
1946,AUS,0.0
1947,AUS,0.0
1948,AUS,0.0
1949,AUS,0.0
1950,AUS,0.0
1951,AUS,0.0
1952,AUS,0.0
1953,AUS,0.0
1954,AUS,0.0
1955,AUS,0.0
1956,AUS,0.0
1957,AUS,0.0
1958,AUS,0.0
1959,AUS,0.0
1960,AUS,0.0
1961,AUS,0.0
1962,AUS,0.0
1963,AUS,0.0
1964,AUS,0.6414984870500545
1965,AUS,0.6414984870500545
1966,AUS,0.6414984870500545
1967,AUS,0.6414984870500545
1968,AUS,0.6414984870500545
1969,AUS,0.6414984870500545
1970,AUS,0.6414984870500545
1971,AUS,0.6414984870500545
1972,AUS,0.6414984870500545
1973,AUS,0.6414984870500545
1974,AUS,0.6414984870500545
1975,AUS,0.6414984870500545
1976,AUS,4.311610023538347
1977,AUS,4.357871933662149
1978,AUS,4.357871933662149
1979,AUS,6.455078525941173
1980,AUS,10.52612661683575
1981,AUS,10.52612661683575
1982,AUS,10.52612661683575
1983,AUS,12.68501575594651
1984,AUS,12.68501575594651
1985,AUS,12.68501575594651
1986,AUS,12.870063396441717
1987,AUS,14.017358767512007
1988,AUS,14.788390602908708
1989,AUS,15.274140659208626
1990,AUS,18.44153943901827
1991,AUS,18.61413214594017
1992,AUS,18.7569120103754
1993,AUS,19.85358059745571
1994,AUS,22.081112972238543
1995,AUS,22.290917349570936
1996,AUS,22.869028454001235
1997,AUS,22.92066429303631
1998,AUS,23.14187709075912
1999,AUS,23.76914119706195
2000,AUS,23.672752433550468
2001,AUS,23.539659208934317
2002,AUS,23.370572593730863
2003,AUS,23.81613865734208
2004,AUS,24.217718081426156
2005,AUS,23.401320860890365
2006,AUS,24.703090694757226
2007,AUS,25.787938211593406
2008,AUS,25.799414343576142
2009,AUS,26.70370898494899
2021,AUS,38.83356154075445
2022,AUS,38.83356154075445
2023,AUS,38.83356154075445
2024,AUS,38.83356154075445
2025,AUS,38.83356154075445
2026,AUS,35.15529209087999
2027,AUS,35.108927349915184
2028,AUS,35.108927349915184
2029,AUS,33.00705909284407
2030,AUS,28.9269618879413
2031,AUS,28.9269618879413
2032,AUS,28.9269618879413
2033,AUS,26.76327397625044
2034,AUS,26.76327397625044
2035,AUS,26.76327397625044
2036,AUS,26.577815012391223
2037,AUS,25.42796943646408
2038,AUS,24.655223753717348
2039,AUS,24.168393973586905
2040,AUS,20.993954708863317
2041,AUS,19.6710141000009
2042,AUS,19.6710141000009
2043,AUS,17.383686879070567
2044,AUS,14.601802421182317
2045,AUS,14.601802421182317
2046,AUS,12.37165838077524
2047,AUS,12.37165838077524
2048,AUS,12.37165838077524
2049,AUS,12.37165838077524
2050,AUS,12.37165838077524
2051,AUS,12.37165838077524
2052,AUS,12.37165838077524
2053,AUS,12.37165838077524
2054,AUS,10.115240987154769
2055,AUS,10.115240987154769
1925,AUT,0.0
1926,AUT,0.0
1927,AUT,0.0
1928,AUT,0.0
1929,AUT,0.0
1930,AUT,0.0
1931,AUT,0.0
1932,AUT,0.0
1933,AUT,0.0
1934,AUT,0.0
1935,AUT,0.0
1936,AUT,0.0
1937,AUT,0.0
1938,AUT,0.0
1939,AUT,0.0
1940,AUT,0.0
1941,AUT,0.0
1942,AUT,0.0
1943,AUT,0.0
1944,AUT,0.0
1945,AUT,0.0
1946,AUT,0.0
1947,AUT,0.0
1948,AUT,0.0
1949,AUT,0.0
1950,AUT,0.0
1951,AUT,0.0
1952,AUT,0.0
1953,AUT,0.0
1954,AUT,0.0
1955,AUT,0.0
1956,AUT,0.0
1957,AUT,0.0
1958,AUT,0.0
1959,AUT,0.0
1960,AUT,0.0
1961,AUT,0.0
1962,AUT,0.0
1963,AUT,0.0
1964,AUT,0.0
1965,AUT,0.0
1966,AUT,0.0
1967,AUT,0.0
1968,AUT,0.0
1969,AUT,0.0
1970,AUT,0.0
1971,AUT,0.0
1972,AUT,0.0
1973,AUT,0.0
1974,AUT,0.0
1975,AUT,0.0
1976,AUT,0.0
1977,AUT,0.0
1978,AUT,0.0
1979,AUT,0.0
1980,AUT,0.0
1981,AUT,0.0
1982,AUT,0.0
1983,AUT,0.0
1984,AUT,0.0
1985,AUT,0.0
1986,AUT,0.0
1987,AUT,0.0
1988,AUT,0.0
1989,AUT,0.0
1990,AUT,0.0
1991,AUT,0.0
1992,AUT,0.0
1993,AUT,0.0
1994,AUT,0.0
1995,AUT,0.0
1996,AUT,0.0
1997,AUT,0.0
1998,AUT,0.0
1999,AUT,0.0
2000,AUT,0.0
2001,AUT,0.0
2002,AUT,0.0
2003,AUT,0.0
2004,AUT,0.0
2005,AUT,0.0
2006,AUT,0.0
2007,AUT,0.0
2008,AUT,0.0
2009,AUT,0.0
2021,AUT,0.0
2022,AUT,0.0
2023,AUT,0.0
2024,AUT,0.0
2025,AUT,0.0
2026,AUT,0.0
2027,AUT,0.0
2028,AUT,0.0
2029,AUT,0.0
2030,AUT,0.0
2031,AUT,0.0
2032,AUT,0.0
2033,AUT,0.0
2034,AUT,0.0
2035,AUT,0.0
2036,AUT,0.0
2037,AUT,0.0
2038,AUT,0.0
2039,AUT,0.0
2040,AUT,0.0
2041,AUT,0.0
2042,AUT,0.0
2043,AUT,0.0
2044,AUT,0.0
2045,AUT,0.0
2046,AUT,0.0
2047,AUT,0.0
2048,AUT,0.0
2049,AUT,0.0
2050,AUT,0.0
2051,AUT,0.0
2052,AUT,0.0
2053,AUT,0.0
2054,AUT,0.0
2055,AUT,0.0
1953,AZE,0.0
1954,AZE,0.0
1955,AZE,0.0
1956,AZE,0.0
1957,AZE,0.0
1958,AZE,0.0
1959,AZE,0.0
1960,AZE,0.0
1961,AZE,0.0
1962,AZE,0.0
1963,AZE,0.0
1964,AZE,0.0
1965,AZE,0.0
1966,AZE,0.0
1967,AZE,0.0
1968,AZE,0.0
1969,AZE,0.0
1970,AZE,0.0
1971,AZE,0.0
1972,AZE,0.0
1973,AZE,0.0
1974,AZE,0.0
1975,AZE,0.0
1976,AZE,0.0
1977,AZE,0.0
1978,AZE,0.0
1979,AZE,0.0
1980,AZE,0.0
1981,AZE,0.0
1982,AZE,0.0
1983,AZE,0.0
1984,AZE,0.0
1985,AZE,0.0
1986,AZE,0.0
1987,AZE,0.0
1988,AZE,0.0
1989,AZE,0.0
1990,AZE,0.0
1991,AZE,0.0
1992,AZE,0.0
1993,AZE,0.0
1994,AZE,0.0
1995,AZE,0.0
1996,AZE,0.0
1997,AZE,0.0
1998,AZE,0.0
1999,AZE,0.0
2000,AZE,0.0
2001,AZE,0.0
2002,AZE,0.0
2003,AZE,0.0
2004,AZE,0.0
2005,AZE,0.0
2006,AZE,0.0
2007,AZE,0.0
2008,AZE,0.0
2009,AZE,0.0
2021,AZE,0.0
2022,AZE,0.0
2023,AZE,0.0
2024,AZE,0.0
2025,AZE,0.0
2026,AZE,0.0
2027,AZE,0.0
2028,AZE,0.0
2029,AZE,0.0
2030,AZE,0.0
2031,AZE,0.0
2032,AZE,0.0
2033,AZE,0.0
2034,AZE,0.0
2035,AZE,0.0
2036,AZE,0.0
2037,AZE,0.0
2038,AZE,0.0
2039,AZE,0.0
2040,AZE,0.0
2041,AZE,0.0
2042,AZE,0.0
2043,AZE,0.0
2044,AZE,0.0
2045,AZE,0.0
2046,AZE,0.0
2047,AZE,0.0
2048,AZE,0.0
2049,AZE,0.0
2050,AZE,0.0
2051,AZE,0.0
2052,AZE,0.0
2053,AZE,0.0
2054,AZE,0.0
2055,AZE,0.0
1920,BDI,0.0
1921,BDI,0.0
1922,BDI,0.0
1923,BDI,0.0
1924,BDI,0.0
1925,BDI,0.0
1926,BDI,0.0
1927,BDI,0.0
1928,BDI,0.0
1929,BDI,0.0
1930,BDI,0.0
1931,BDI,0.0
1932,BDI,0.0
1933,BDI,0.0
1934,BDI,0.0
1935,BDI,0.0
1936,BDI,0.0
1937,BDI,0.0
1938,BDI,0.0
1939,BDI,0.0
1940,BDI,0.0
1941,BDI,0.0
1942,BDI,0.0
1943,BDI,0.0
1944,BDI,0.0
1945,BDI,0.0
1946,BDI,0.0
1947,BDI,0.0
1948,BDI,0.0
1949,BDI,0.0
1950,BDI,0.0
1951,BDI,0.0
1952,BDI,0.0
1953,BDI,0.0
1954,BDI,0.0
1955,BDI,0.0
1956,BDI,0.0
1957,BDI,0.0
1958,BDI,0.0
1959,BDI,0.0
1960,BDI,0.0
1961,BDI,0.0
1962,BDI,0.0
1963,BDI,0.0
1964,BDI,0.0
1965,BDI,0.0
1966,BDI,0.0
1967,BDI,0.0
1968,BDI,0.0
1969,BDI,0.0
1970,BDI,0.0
1971,BDI,0.0
1972,BDI,0.0
1973,BDI,0.0
1974,BDI,0.0
1975,BDI,0.0
1976,BDI,0.0
1977,BDI,0.0
1978,BDI,0.0
1979,BDI,0.0
1980,BDI,0.0
1981,BDI,0.0
1982,BDI,0.0
1983,BDI,0.0
1984,BDI,0.0
1985,BDI,0.0
1986,BDI,0.0
1987,BDI,0.0
1988,BDI,0.0
1989,BDI,0.0
1990,BDI,0.0
1991,BDI,0.0
1992,BDI,0.0
1993,BDI,0.0
1994,BDI,0.0
1995,BDI,0.0
1996,BDI,0.0
1997,BDI,0.0
1998,BDI,0.0
1999,BDI,0.0
2000,BDI,0.0
2001,BDI,0.0
2002,BDI,0.0
2003,BDI,0.0
2004,BDI,0.0
2005,BDI,0.0
2006,BDI,0.0
2007,BDI,0.0
2008,BDI,0.0
2009,BDI,0.0
2021,BDI,0.0
2022,BDI,0.0
2023,BDI,0.0
2024,BDI,0.0
2025,BDI,0.0
2026,BDI,0.0
2027,BDI,0.0
2028,BDI,0.0
2029,BDI,0.0
2030,BDI,0.0
2031,BDI,0.0
2032,BDI,0.0
2033,BDI,0.0
2034,BDI,0.0
2035,BDI,0.0
2036,BDI,0.0
2037,BDI,0.0
2038,BDI,0.0
2039,BDI,0.0
2040,BDI,0.0
2041,BDI,0.0
2042,BDI,0.0
2043,BDI,0.0
2044,BDI,0.0
2045,BDI,0.0
2046,BDI,0.0
2047,BDI,0.0
2048,BDI,0.0
2049,BDI,0.0
2050,BDI,0.0
2051,BDI,0.0
2052,BDI,0.0
2053,BDI,0.0
2054,BDI,0.0
2055,BDI,0.0
1930,BEL,0.0
1931,BEL,0.0
1932,BEL,0.0
1933,BEL,0.0
1934,BEL,0.0
1935,BEL,0.0
1936,BEL,0.0
1937,BEL,0.0
1938,BEL,0.0
1939,BEL,0.0
1940,BEL,0.0
1941,BEL,0.0
1942,BEL,0.0
1943,BEL,0.0
1944,BEL,0.0
1945,BEL,0.0
1946,BEL,0.0
1947,BEL,0.0
1948,BEL,0.0
1949,BEL,0.0
1950,BEL,0.0
1951,BEL,0.0
1952,BEL,0.0
1953,BEL,0.0
1954,BEL,0.0
1955,BEL,0.0
1956,BEL,0.0
1957,BEL,0.0
1958,BEL,0.0
1959,BEL,0.0
1960,BEL,0.0
1961,BEL,0.0
1962,BEL,0.0
1963,BEL,0.0
1964,BEL,0.0
1965,BEL,0.0
1966,BEL,0.0
1967,BEL,0.0
1968,BEL,0.8414065071528041
1969,BEL,0.8414065071528041
1970,BEL,0.8414065071528041
1971,BEL,0.8414065071528041
1972,BEL,0.8414065071528041
1973,BEL,0.8414065071528041
1974,BEL,0.8414065071528041
1975,BEL,0.8414065071528041
1976,BEL,0.8414065071528041
1977,BEL,0.8414065071528041
1978,BEL,0.8414065071528041
1979,BEL,0.8414065071528041
1980,BEL,0.8414065071528041
1981,BEL,0.8414065071528041
1982,BEL,0.8414065071528041
1983,BEL,0.8414065071528041
1984,BEL,0.8414065071528041
1985,BEL,0.8414065071528041
1986,BEL,0.8414065071528041
1987,BEL,0.8414065071528041
1988,BEL,0.8414065071528041
1989,BEL,0.8414065071528041
1990,BEL,0.8414065071528041
1991,BEL,0.8368773365666363
1992,BEL,0.8333750126300898
1993,BEL,0.8342060725472364
1994,BEL,0.8367624214324979
1995,BEL,0.8359154425791683
1996,BEL,0.8322729874093858
1997,BEL,0.8233629816863793
1998,BEL,0.7822161718311076
1999,BEL,0.784141622597704
2000,BEL,0.7500356096369851
2001,BEL,0.7423895137179929
2002,BEL,0.7432976062152981
2003,BEL,0.7425332362046986
2004,BEL,0.7297783246343449
2005,BEL,0.794505240605768
2006,BEL,0.7982410328187347
2007,BEL,0.793686467762222
2008,BEL,0.7748563670706754
2009,BEL,0.8259995256823258
2021,BEL,0.0
2022,BEL,0.0
2023,BEL,0.0
2024,BEL,0.0
2025,BEL,0.0
2026,BEL,0.0
2027,BEL,0.0
2028,BEL,0.0
2029,BEL,0.0
2030,BEL,0.0
2031,BEL,0.0
2032,BEL,0.0
2033,BEL,0.0
2034,BEL,0.0
2035,BEL,0.0
2036,BEL,0.0
2037,BEL,0.0
2038,BEL,0.0
2039,BEL,0.0
2040,BEL,0.0
2041,BEL,0.0
2042,BEL,0.0
2043,BEL,0.0
2044,BEL,0.0
2045,BEL,0.0
2046,BEL,0.0
2047,BEL,0.0
2048,BEL,0.0
2049,BEL,0.0
2050,BEL,0.0
2051,BEL,0.0
2052,BEL,0.0
2053,BEL,0.0
2054,BEL,0.0
2055,BEL,0.0
1980,BEN,0.0
1981,BEN,0.0
1982,BEN,0.0
1983,BEN,0.0
1984,BEN,0.0
1985,BEN,0.0
1986,BEN,0.0
1987,BEN,0.0
1988,BEN,0.0
1989,BEN,0.0
1990,BEN,0.0
1991,BEN,0.0
1992,BEN,0.0
1993,BEN,0.0
1994,BEN,0.0
1995,BEN,0.0
1996,BEN,0.0
1997,BEN,0.0
1998,BEN,0.0
1999,BEN,0.0
2000,BEN,0.0
2001,BEN,0.0
2002,BEN,0.0
2003,BEN,0.0
2004,BEN,0.0
2005,BEN,0.0
2006,BEN,0.0
2007,BEN,0.0
2008,BEN,0.0
2009,BEN,0.0
1963,BFA,0.0
1964,BFA,0.0
1965,BFA,0.0
1966,BFA,0.0
1967,BFA,0.0
1968,BFA,0.0
1969,BFA,0.0
1970,BFA,0.0
1971,BFA,0.0
1972,BFA,0.0
1973,BFA,0.0
1974,BFA,0.0
1975,BFA,0.0
1976,BFA,0.0
1977,BFA,0.0
1978,BFA,0.0
1979,BFA,0.0
1980,BFA,0.0
1981,BFA,0.0
1982,BFA,0.0
1983,BFA,0.0
1984,BFA,0.0
1985,BFA,0.0
1986,BFA,0.0
1987,BFA,0.0
1988,BFA,0.0
1989,BFA,0.0
1990,BFA,0.0
1991,BFA,0.0
1992,BFA,0.0
1993,BFA,0.0
1994,BFA,0.0
1995,BFA,0.0
1996,BFA,0.0
1997,BFA,0.0
1998,BFA,0.0
1999,BFA,0.0
2000,BFA,0.0
2001,BFA,0.0
2002,BFA,0.0
2003,BFA,0.0
2004,BFA,0.0
2005,BFA,0.0
