Year,iso_code3,yf_agrc_cereals_tonne_ha
2026,IND,25565.17335567028
2027,IND,25974.216129361
2028,IND,26389.80358743078
2029,IND,26812.040444829672
2030,IND,27241.033091946945
2031,IND,27676.8896214181
2032,IND,28119.71985536079
2033,IND,28569.63537304656
2034,IND,29026.749539015305
2035,IND,29491.17753163955
2036,IND,29963.036372145783
2037,IND,30442.44495410012
2038,IND,30929.52407336572
2039,IND,31424.396458539573
2040,IND,31927.186801876207
2041,IND,32438.021790706225
2042,IND,32957.03013935753
2043,IND,33484.342621587246
2044,IND,34020.09210353264
2045,IND,34564.41357718917
2046,IND,35117.44419442419
2047,IND,35679.323301534976
2048,IND,36250.19247435954
2049,IND,36830.19555394929
2050,IND,37419.478682812485
2020,IRL,78281.46339555556
2021,IRL,79533.96680988444
2022,IRL,80806.51027884259
2023,IRL,82099.41444330408
2024,IRL,83413.00507439695
2025,IRL,84747.6131555873
2026,IRL,86103.5749660767
2027,IRL,87481.23216553392
2028,IRL,88880.93188018247
2029,IRL,90303.0267902654
2030,IRL,91747.87521890963
2031,IRL,93215.8412224122
2032,IRL,94707.2946819708
2033,IRL,96222.61139688232
2034,IRL,97762.17317923243
2035,IRL,99326.36795010016
2036,IRL,100915.58983730176
2037,IRL,102530.2392746986
2038,IRL,104170.72310309377
2039,IRL,105837.45467274328
2040,IRL,107530.85394750717
2041,IRL,109251.34761066729
2042,IRL,110999.36917243798
2043,IRL,112775.35907919698
2044,IRL,114579.76482446413
2045,IRL,116413.04106165556
2046,IRL,118275.64971864205
2047,IRL,120168.06011414032
2048,IRL,122090.74907596657
2049,IRL,124044.20106118203
2050,IRL,126028.90827816095
2020,IRN,27407.848551111114
2021,IRN,27846.37412792889
2022,IRN,28291.916113975753
2023,IRN,28744.586771799364
2024,IRN,29204.500160148156
2025,IRN,29671.772162710524
2026,IRN,30146.520517313897
2027,IRN,30628.86484559092
2028,IRN,31118.926683120375
2029,IRN,31616.829510050302
2030,IRN,32122.698782211104
2031,IRN,32636.661962726484
2032,IRN,33158.84855413011
2033,IRN,33689.39013099619
2034,IRN,34228.42037309213
2035,IRN,34776.0750990616
2036,IRN,35332.49230064659
2037,IRN,35897.81217745694
2038,IRN,36472.17717229625
2039,IRN,37055.73200705299
2040,IRN,37648.62371916584
2041,IRN,38251.00169867249
2042,IRN,38863.017725851256
2043,IRN,39484.82600946487
2044,IRN,40116.58322561631
2045,IRN,40758.44855722618
2046,IRN,41410.583734141794
2047,IRN,42073.15307388806
2048,IRN,42746.32352307027
2049,IRN,43430.264699439394
2050,IRN,44125.14893463043
2020,IRQ,21355.525638518502
2021,IRQ,21697.214048734797
2022,IRQ,22044.369473514555
2023,IRQ,22397.079385090787
2024,IRQ,22755.43265525224
2025,IRQ,23119.519577736275
2026,IRQ,23489.431890980057
2027,IRQ,23865.262801235738
2028,IRQ,24247.10700605551
2029,IRQ,24635.060718152403
2030,IRQ,25029.221689642836
2031,IRQ,25429.689236677124
2032,IRQ,25836.56426446396
2033,IRQ,26249.949292695383
2034,IRQ,26669.948481378506
2035,IRQ,27096.667657080565
2036,IRQ,27530.214339593855
2037,IRQ,27970.69776902736
2038,IRQ,28418.228933331793
2039,IRQ,28872.920596265107
2040,IRQ,29334.887325805346
2041,IRQ,29804.24552301823
2042,IRQ,30281.113451386525
2043,IRQ,30765.61126660871
2044,IRQ,31257.86104687445
2045,IRQ,31757.98682362444
2046,IRQ,32266.11461280243
2047,IRQ,32782.37244660727
2048,IRQ,33306.89040575299
2049,IRQ,33839.80065224504
2050,IRQ,34381.237462680954
2020,ISL,33145.4421333333
2021,ISL,33675.76920746664
2022,ISL,34214.5815147861
2023,ISL,34762.01481902268
2024,ISL,35318.207056127045
2025,ISL,35883.29836902508
2026,ISL,36457.43114292948
2027,ISL,37040.75004121635
2028,ISL,37633.402041875815
2029,ISL,38235.53647454583
2030,ISL,38847.30505813856
2031,ISL,39468.86193906878
2032,ISL,40100.363730093886
2033,ISL,40741.969549775386
2034,ISL,41393.84106257179
2035,ISL,42056.14251957294
2036,ISL,42729.040799886105
2037,ISL,43412.70545268429
2038,ISL,44107.30873992723
2039,ISL,44813.02567976608
2040,ISL,45530.03409064233
2041,ISL,46258.51463609261
2042,ISL,46998.650870270096
2043,ISL,47750.62928419441
2044,ISL,48514.63935274152
2045,ISL,49290.873582385386
2046,ISL,50079.52755970355
2047,ISL,50880.80000065881
2048,ISL,51694.89280066935
2049,ISL,52522.01108548006
2050,ISL,53362.36326284775
2020,ISR,107608.815911111
2021,ISR,109330.55696568878
2022,ISR,111079.84587713979
2023,ISR,112857.12341117403
2024,ISR,114662.83738575282
2025,ISR,116497.44278392487
2026,ISR,118361.40186846767
2027,ISR,120255.18429836315
2028,ISR,122179.26724713697
2029,ISR,124134.13552309117
2030,ISR,126120.28169146061
2031,ISR,128138.206198524
2032,ISR,130188.41749770039
2033,ISR,132271.43217766358
2034,ISR,134387.7750925062
2035,ISR,136537.9794939863
2036,ISR,138722.5871658901
2037,ISR,140942.14856054433
2038,ISR,143197.22293751303
2039,ISR,145488.37850451327
2040,ISR,147816.19256058548
2041,ISR,150181.25164155485
2042,ISR,152584.15166781974
2043,ISR,155025.49809450484
2044,ISR,157505.90606401692
2045,ISR,160026.00056104118
2046,ISR,162586.41657001784
2047,ISR,165187.79923513814
2048,ISR,167830.80402290035
2049,ISR,170516.09688726676
2050,ISR,173244.35443746301
2020,ITA,47239.76995925926
2021,ITA,47995.60627860741
2022,ITA,48763.53597906513
2023,ITA,49543.75255473017
2024,ITA,50336.45259560586
2025,ITA,51141.83583713555
2026,ITA,51960.10521052972
2027,ITA,52791.4668938982
2028,ITA,53636.13036420057
2029,ITA,54494.308450027784
2030,ITA,55366.21738522822
2031,ITA,56252.07686339188
2032,ITA,57152.11009320615
2033,ITA,58066.54385469745
2034,ITA,58995.6085563726
2035,ITA,59939.53829327456
2036,ITA,60898.57090596696
2037,ITA,61872.94804046244
2038,ITA,62862.91520910984
2039,ITA,63868.721852455594
2040,ITA,64890.62140209489
2041,ITA,65928.87134452841
2042,ITA,66983.73328604086
2043,ITA,68055.47301861751
2044,ITA,69144.3605869154
2045,ITA,70250.67035630604
2046,ITA,71374.68108200694
2047,ITA,72516.67597931904
2048,ITA,73676.94279498816
2049,ITA,74855.77387970797
2050,ITA,76053.4662617833
2020,JAM,9917.870266666658
2021,JAM,10076.556190933326
2022,JAM,10237.781089988259
2023,JAM,10401.585587428071
2024,JAM,10568.01095682692
2025,JAM,10737.09913213615
2026,JAM,10908.89271825033
2027,JAM,11083.435001742335
2028,JAM,11260.769961770213
2029,JAM,11440.942281158537
2030,JAM,11623.997357657072
2031,JAM,11809.981315379586
2032,JAM,11998.94101642566
2033,JAM,12190.924072688471
2034,JAM,12385.978857851485
2035,JAM,12584.154519577109
2036,JAM,12785.500991890343
2037,JAM,12990.06900776059
2038,JAM,13197.91011188476
2039,JAM,13409.076673674916
2040,JAM,13623.621900453714
2041,JAM,13841.599850860974
2042,JAM,14063.06544847475
2043,JAM,14288.074495650346
2044,JAM,14516.683687580751
2045,JAM,14748.950626582044
2046,JAM,14984.933836607357
2047,JAM,15224.692777993074
2048,JAM,15468.287862440964
2049,JAM,15715.780468240018
2050,JAM,15967.23295573186
2020,JOR,124864.04288
2021,JOR,126861.86756608
2022,JOR,128891.65744713727
2023,JOR,130953.92396629148
2024,JOR,133049.18674975215
