,Nation,iso_code3,Year,deminit_trde_freight_mt_km
55,Afghanistan,AFG,2046,71378.704245393
56,Afghanistan,AFG,2047,71378.704245393
57,Afghanistan,AFG,2048,71378.704245393
58,Afghanistan,AFG,2049,71378.704245393
59,Afghanistan,AFG,2050,71378.704245393
60,Angola,AGO,2021,101759.909865
61,Angola,AGO,2022,101759.909865
62,Angola,AGO,2023,101759.909865
63,Angola,AGO,2024,101759.909865
64,Angola,AGO,2025,101759.909865
65,Angola,AGO,2026,101759.909865
66,Angola,AGO,2027,101759.909865
67,Angola,AGO,2028,101759.909865
68,Angola,AGO,2029,101759.909865
69,Angola,AGO,2030,101759.909865
70,Angola,AGO,2031,101759.909865
71,Angola,AGO,2032,101759.909865
72,Angola,AGO,2033,101759.909865
73,Angola,AGO,2034,101759.909865
74,Angola,AGO,2035,101759.909865
75,Angola,AGO,2036,101759.909865
76,Angola,AGO,2037,101759.909865
77,Angola,AGO,2038,101759.909865
78,Angola,AGO,2039,101759.909865
79,Angola,AGO,2040,101759.909865
80,Angola,AGO,2041,101759.909865
81,Angola,AGO,2042,101759.909865
82,Angola,AGO,2043,101759.909865
83,Angola,AGO,2044,101759.909865
84,Angola,AGO,2045,101759.909865
85,Angola,AGO,2046,101759.909865
86,Angola,AGO,2047,101759.909865
87,Angola,AGO,2048,101759.909865
88,Angola,AGO,2049,101759.909865
89,Angola,AGO,2050,101759.909865
90,Albania,ALB,2021,8677.972389335202
91,Albania,ALB,2022,8677.972389335202
92,Albania,ALB,2023,8677.972389335202
93,Albania,ALB,2024,8677.972389335202
94,Albania,ALB,2025,8677.972389335202
95,Albania,ALB,2026,8677.972389335202
96,Albania,ALB,2027,8677.972389335202
97,Albania,ALB,2028,8677.972389335202
98,Albania,ALB,2029,8677.972389335202
99,Albania,ALB,2030,8677.972389335202
100,Albania,ALB,2031,8677.972389335202
101,Albania,ALB,2032,8677.972389335202
102,Albania,ALB,2033,8677.972389335202
103,Albania,ALB,2034,8677.972389335202
104,Albania,ALB,2035,8677.972389335202
105,Albania,ALB,2036,8677.972389335202
106,Albania,ALB,2037,8677.972389335202
107,Albania,ALB,2038,8677.972389335202
108,Albania,ALB,2039,8677.972389335202
109,Albania,ALB,2040,8677.972389335202
110,Albania,ALB,2041,8677.972389335202
111,Albania,ALB,2042,8677.972389335202
112,Albania,ALB,2043,8677.972389335202
113,Albania,ALB,2044,8677.972389335202
114,Albania,ALB,2045,8677.972389335202
115,Albania,ALB,2046,8677.972389335202
116,Albania,ALB,2047,8677.972389335202
117,Albania,ALB,2048,8677.972389335202
118,Albania,ALB,2049,8677.972389335202
119,Albania,ALB,2050,8677.972389335202
120,United Arab Emirates,ARE,2021,432500.38745999994
121,United Arab Emirates,ARE,2022,432500.38745999994
122,United Arab Emirates,ARE,2023,432500.38745999994
123,United Arab Emirates,ARE,2024,432500.38745999994
124,United Arab Emirates,ARE,2025,432500.38745999994
125,United Arab Emirates,ARE,2026,432500.38745999994
126,United Arab Emirates,ARE,2027,432500.38745999994
127,United Arab Emirates,ARE,2028,432500.38745999994
128,United Arab Emirates,ARE,2029,432500.38745999994
129,United Arab Emirates,ARE,2030,432500.38745999994
130,United Arab Emirates,ARE,2031,432500.38745999994
131,United Arab Emirates,ARE,2032,432500.38745999994
132,United Arab Emirates,ARE,2033,432500.38745999994
133,United Arab Emirates,ARE,2034,432500.38745999994
134,United Arab Emirates,ARE,2035,432500.38745999994
135,United Arab Emirates,ARE,2036,432500.38745999994
136,United Arab Emirates,ARE,2037,432500.38745999994
137,United Arab Emirates,ARE,2038,432500.38745999994
138,United Arab Emirates,ARE,2039,432500.38745999994
139,United Arab Emirates,ARE,2040,432500.38745999994
140,United Arab Emirates,ARE,2041,432500.38745999994
141,United Arab Emirates,ARE,2042,432500.38745999994
142,United Arab Emirates,ARE,2043,432500.38745999994
143,United Arab Emirates,ARE,2044,432500.38745999994
144,United Arab Emirates,ARE,2045,432500.38745999994
145,United Arab Emirates,ARE,2046,432500.38745999994
146,United Arab Emirates,ARE,2047,432500.38745999994
147,United Arab Emirates,ARE,2048,432500.38745999994
148,United Arab Emirates,ARE,2049,432500.38745999994
149,United Arab Emirates,ARE,2050,432500.38745999994
150,Argentina,ARG,2021,992797.8382299999
151,Argentina,ARG,2022,992797.8382299999
152,Argentina,ARG,2023,992797.8382299999
153,Argentina,ARG,2024,992797.8382299999
154,Argentina,ARG,2025,992797.8382299999
155,Argentina,ARG,2026,992797.8382299999
156,Argentina,ARG,2027,992797.8382299999
157,Argentina,ARG,2028,992797.8382299999
158,Argentina,ARG,2029,992797.8382299999
159,Argentina,ARG,2030,992797.8382299999
160,Argentina,ARG,2031,992797.8382299999
161,Argentina,ARG,2032,992797.8382299999
162,Argentina,ARG,2033,992797.8382299999
163,Argentina,ARG,2034,992797.8382299999
164,Argentina,ARG,2035,992797.8382299999
165,Argentina,ARG,2036,992797.8382299999
166,Argentina,ARG,2037,992797.8382299999
167,Argentina,ARG,2038,992797.8382299999
168,Argentina,ARG,2039,992797.8382299999
169,Argentina,ARG,2040,992797.8382299999
170,Argentina,ARG,2041,992797.8382299999
171,Argentina,ARG,2042,992797.8382299999
172,Argentina,ARG,2043,992797.8382299999
173,Argentina,ARG,2044,992797.8382299999
174,Argentina,ARG,2045,992797.8382299999
175,Argentina,ARG,2046,992797.8382299999
176,Argentina,ARG,2047,992797.8382299999
177,Argentina,ARG,2048,992797.8382299999
178,Argentina,ARG,2049,992797.8382299999
179,Argentina,ARG,2050,992797.8382299999
180,Armenia,ARM,2021,28494.637724700002
181,Armenia,ARM,2022,28494.637724700002
182,Armenia,ARM,2023,28494.637724700002
183,Armenia,ARM,2024,28494.637724700002
184,Armenia,ARM,2025,28494.637724700002
185,Armenia,ARM,2026,28494.637724700002
186,Armenia,ARM,2027,28494.637724700002
187,Armenia,ARM,2028,28494.637724700002
188,Armenia,ARM,2029,28494.637724700002
189,Armenia,ARM,2030,28494.637724700002
190,Armenia,ARM,2031,28494.637724700002
191,Armenia,ARM,2032,28494.637724700002
192,Armenia,ARM,2033,28494.637724700002
193,Armenia,ARM,2034,28494.637724700002
194,Armenia,ARM,2035,28494.637724700002
195,Armenia,ARM,2036,28494.637724700002
196,Armenia,ARM,2037,28494.637724700002
197,Armenia,ARM,2038,28494.637724700002
198,Armenia,ARM,2039,28494.637724700002
199,Armenia,ARM,2040,28494.637724700002
200,Armenia,ARM,2041,28494.637724700002
201,Armenia,ARM,2042,28494.637724700002
202,Armenia,ARM,2043,28494.637724700002
203,Armenia,ARM,2044,28494.637724700002
204,Armenia,ARM,2045,28494.637724700002
205,Armenia,ARM,2046,28494.637724700002
206,Armenia,ARM,2047,28494.637724700002
207,Armenia,ARM,2048,28494.637724700002
208,Armenia,ARM,2049,28494.637724700002
209,Armenia,ARM,2050,28494.637724700002
210,Australia,AUS,2021,1547646.1008452342
211,Australia,AUS,2022,1547646.1008452342
212,Australia,AUS,2023,1547646.1008452342
213,Australia,AUS,2024,1547646.1008452342
214,Australia,AUS,2025,1547646.1008452342
215,Australia,AUS,2026,1547646.1008452342
216,Australia,AUS,2027,1547646.1008452342
217,Australia,AUS,2028,1547646.1008452342
218,Australia,AUS,2029,1547646.1008452342
219,Australia,AUS,2030,1547646.1008452342
220,Australia,AUS,2031,1547646.1008452342
221,Australia,AUS,2032,1547646.1008452342
222,Australia,AUS,2033,1547646.1008452342
223,Australia,AUS,2034,1547646.1008452342
224,Australia,AUS,2035,1547646.1008452342
225,Australia,AUS,2036,1547646.1008452342
226,Australia,AUS,2037,1547646.1008452342
227,Australia,AUS,2038,1547646.1008452342
228,Australia,AUS,2039,1547646.1008452342
229,Australia,AUS,2040,1547646.1008452342
230,Australia,AUS,2041,1547646.1008452342
231,Australia,AUS,2042,1547646.1008452342
232,Australia,AUS,2043,1547646.1008452342
233,Australia,AUS,2044,1547646.1008452342
234,Australia,AUS,2045,1547646.1008452342
235,Australia,AUS,2046,1547646.1008452342
236,Australia,AUS,2047,1547646.1008452342
237,Australia,AUS,2048,1547646.1008452342
238,Australia,AUS,2049,1547646.1008452342
239,Australia,AUS,2050,1547646.1008452342
240,Austria,AUT,2021,102539.478543
241,Austria,AUT,2022,102539.478543
242,Austria,AUT,2023,102539.478543
243,Austria,AUT,2024,102539.478543
244,Austria,AUT,2025,102539.478543
245,Austria,AUT,2026,102539.478543
246,Austria,AUT,2027,102539.478543
247,Austria,AUT,2028,102539.478543
248,Austria,AUT,2029,102539.478543
249,Austria,AUT,2030,102539.478543
250,Austria,AUT,2031,102539.478543
251,Austria,AUT,2032,102539.478543
252,Austria,AUT,2033,102539.478543
253,Austria,AUT,2034,102539.478543
254,Austria,AUT,2035,102539.478543
255,Austria,AUT,2036,102539.478543
256,Austria,AUT,2037,102539.478543
257,Austria,AUT,2038,102539.478543
258,Austria,AUT,2039,102539.478543
259,Austria,AUT,2040,102539.478543
260,Austria,AUT,2041,102539.478543
261,Austria,AUT,2042,102539.478543
262,Austria,AUT,2043,102539.478543
263,Austria,AUT,2044,102539.478543
264,Austria,AUT,2045,102539.478543
265,Austria,AUT,2046,102539.478543
266,Austria,AUT,2047,102539.478543
267,Austria,AUT,2048,102539.478543
268,Austria,AUT,2049,102539.478543
269,Austria,AUT,2050,102539.478543
270,Azerbaijan,AZE,2021,93511.37809
271,Azerbaijan,AZE,2022,93511.37809
272,Azerbaijan,AZE,2023,93511.37809
273,Azerbaijan,AZE,2024,93511.37809
274,Azerbaijan,AZE,2025,93511.37809
275,Azerbaijan,AZE,2026,93511.37809
276,Azerbaijan,AZE,2027,93511.37809
277,Azerbaijan,AZE,2028,93511.37809
278,Azerbaijan,AZE,2029,93511.37809
279,Azerbaijan,AZE,2030,93511.37809
280,Azerbaijan,AZE,2031,93511.37809
281,Azerbaijan,AZE,2032,93511.37809
282,Azerbaijan,AZE,2033,93511.37809
283,Azerbaijan,AZE,2034,93511.37809
284,Azerbaijan,AZE,2035,93511.37809
285,Azerbaijan,AZE,2036,93511.37809
286,Azerbaijan,AZE,2037,93511.37809
287,Azerbaijan,AZE,2038,93511.37809
288,Azerbaijan,AZE,2039,93511.37809
289,Azerbaijan,AZE,2040,93511.37809
290,Azerbaijan,AZE,2041,93511.37809
291,Azerbaijan,AZE,2042,93511.37809
292,Azerbaijan,AZE,2043,93511.37809
293,Azerbaijan,AZE,2044,93511.37809
294,Azerbaijan,AZE,2045,93511.37809
295,Azerbaijan,AZE,2046,93511.37809
296,Azerbaijan,AZE,2047,93511.37809
297,Azerbaijan,AZE,2048,93511.37809
298,Azerbaijan,AZE,2049,93511.37809
299,Azerbaijan,AZE,2050,93511.37809
300,Burundi,BDI,2021,75644.85464262668
301,Burundi,BDI,2022,75644.85464262668
302,Burundi,BDI,2023,75644.85464262668
303,Burundi,BDI,2024,75644.85464262668
304,Burundi,BDI,2025,75644.85464262668
305,Burundi,BDI,2026,75644.85464262668
306,Burundi,BDI,2027,75644.85464262668
307,Burundi,BDI,2028,75644.85464262668
308,Burundi,BDI,2029,75644.85464262668
309,Burundi,BDI,2030,75644.85464262668
310,Burundi,BDI,2031,75644.85464262668
311,Burundi,BDI,2032,75644.85464262668
312,Burundi,BDI,2033,75644.85464262668
313,Burundi,BDI,2034,75644.85464262668
314,Burundi,BDI,2035,75644.85464262668
315,Burundi,BDI,2036,75644.85464262668
316,Burundi,BDI,2037,75644.85464262668
317,Burundi,BDI,2038,75644.85464262668
318,Burundi,BDI,2039,75644.85464262668
319,Burundi,BDI,2040,75644.85464262668
320,Burundi,BDI,2041,75644.85464262668
321,Burundi,BDI,2042,75644.85464262668
322,Burundi,BDI,2043,75644.85464262668
323,Burundi,BDI,2044,75644.85464262668
324,Burundi,BDI,2045,75644.85464262668
325,Burundi,BDI,2046,75644.85464262668
326,Burundi,BDI,2047,75644.85464262668
327,Burundi,BDI,2048,75644.85464262668
328,Burundi,BDI,2049,75644.85464262668
329,Burundi,BDI,2050,75644.85464262668
330,Belgium,BEL,2021,632408.5429035339
331,Belgium,BEL,2022,632408.5429035339
332,Belgium,BEL,2023,632408.5429035339
333,Belgium,BEL,2024,632408.5429035339
334,Belgium,BEL,2025,632408.5429035339
335,Belgium,BEL,2026,632408.5429035339
336,Belgium,BEL,2027,632408.5429035339
337,Belgium,BEL,2028,632408.5429035339
338,Belgium,BEL,2029,632408.5429035339
339,Belgium,BEL,2030,632408.5429035339
340,Belgium,BEL,2031,632408.5429035339
341,Belgium,BEL,2032,632408.5429035339
342,Belgium,BEL,2033,632408.5429035339
343,Belgium,BEL,2034,632408.5429035339
344,Belgium,BEL,2035,632408.5429035339
345,Belgium,BEL,2036,632408.5429035339
346,Belgium,BEL,2037,632408.5429035339
347,Belgium,BEL,2038,632408.5429035339
348,Belgium,BEL,2039,632408.5429035339
349,Belgium,BEL,2040,632408.5429035339
350,Belgium,BEL,2041,632408.5429035339
351,Belgium,BEL,2042,632408.5429035339
352,Belgium,BEL,2043,632408.5429035339
353,Belgium,BEL,2044,632408.5429035339
354,Belgium,BEL,2045,632408.5429035339
355,Belgium,BEL,2046,632408.5429035339
356,Belgium,BEL,2047,632408.5429035339
357,Belgium,BEL,2048,632408.5429035339
358,Belgium,BEL,2049,632408.5429035339
359,Belgium,BEL,2050,632408.5429035339
360,Benin,BEN,2021,70360.43286266967
361,Benin,BEN,2022,70360.43286266967
362,Benin,BEN,2023,70360.43286266967
363,Benin,BEN,2024,70360.43286266967
364,Benin,BEN,2025,70360.43286266967
365,Benin,BEN,2026,70360.43286266967
366,Benin,BEN,2027,70360.43286266967
367,Benin,BEN,2028,70360.43286266967
368,Benin,BEN,2029,70360.43286266967
369,Benin,BEN,2030,70360.43286266967
370,Benin,BEN,2031,70360.43286266967
371,Benin,BEN,2032,70360.43286266967
372,Benin,BEN,2033,70360.43286266967
373,Benin,BEN,2034,70360.43286266967
374,Benin,BEN,2035,70360.43286266967
375,Benin,BEN,2036,70360.43286266967
376,Benin,BEN,2037,70360.43286266967
377,Benin,BEN,2038,70360.43286266967
378,Benin,BEN,2039,70360.43286266967
379,Benin,BEN,2040,70360.43286266967
380,Benin,BEN,2041,70360.43286266967
381,Benin,BEN,2042,70360.43286266967
382,Benin,BEN,2043,70360.43286266967
383,Benin,BEN,2044,70360.43286266967
384,Benin,BEN,2045,70360.43286266967
385,Benin,BEN,2046,70360.43286266967
386,Benin,BEN,2047,70360.43286266967
387,Benin,BEN,2048,70360.43286266967
388,Benin,BEN,2049,70360.43286266967
389,Benin,BEN,2050,70360.43286266967
390,Burkina Faso,BFA,2021,72602.04948134208
391,Burkina Faso,BFA,2022,72602.04948134208
392,Burkina Faso,BFA,2023,72602.04948134208
393,Burkina Faso,BFA,2024,72602.04948134208
394,Burkina Faso,BFA,2025,72602.04948134208
395,Burkina Faso,BFA,2026,72602.04948134208
396,Burkina Faso,BFA,2027,72602.04948134208
397,Burkina Faso,BFA,2028,72602.04948134208
398,Burkina Faso,BFA,2029,72602.04948134208
399,Burkina Faso,BFA,2030,72602.04948134208
400,Burkina Faso,BFA,2031,72602.04948134208
401,Burkina Faso,BFA,2032,72602.04948134208
402,Burkina Faso,BFA,2033,72602.04948134208
403,Burkina Faso,BFA,2034,72602.04948134208
404,Burkina Faso,BFA,2035,72602.04948134208
405,Burkina Faso,BFA,2036,72602.04948134208
406,Burkina Faso,BFA,2037,72602.04948134208
407,Burkina Faso,BFA,2038,72602.04948134208
408,Burkina Faso,BFA,2039,72602.04948134208
409,Burkina Faso,BFA,2040,72602.04948134208
410,Burkina Faso,BFA,2041,72602.04948134208
411,Burkina Faso,BFA,2042,72602.04948134208
412,Burkina Faso,BFA,2043,72602.04948134208
413,Burkina Faso,BFA,2044,72602.04948134208
414,Burkina Faso,BFA,2045,72602.04948134208
415,Burkina Faso,BFA,2046,72602.04948134208
416,Burkina Faso,BFA,2047,72602.04948134208
417,Burkina Faso,BFA,2048,72602.04948134208
418,Burkina Faso,BFA,2049,72602.04948134208
419,Burkina Faso,BFA,2050,72602.04948134208
420,Bangladesh,BGD,2021,457385.81997605605
421,Bangladesh,BGD,2022,457385.81997605605
422,Bangladesh,BGD,2023,457385.81997605605
423,Bangladesh,BGD,2024,457385.81997605605
424,Bangladesh,BGD,2025,457385.81997605605
425,Bangladesh,BGD,2026,457385.81997605605
426,Bangladesh,BGD,2027,457385.81997605605
427,Bangladesh,BGD,2028,457385.81997605605
428,Bangladesh,BGD,2029,457385.81997605605
429,Bangladesh,BGD,2030,457385.81997605605
430,Bangladesh,BGD,2031,457385.81997605605
431,Bangladesh,BGD,2032,457385.81997605605
432,Bangladesh,BGD,2033,457385.81997605605
433,Bangladesh,BGD,2034,457385.81997605605
434,Bangladesh,BGD,2035,457385.81997605605
435,Bangladesh,BGD,2036,457385.81997605605
436,Bangladesh,BGD,2037,457385.81997605605
437,Bangladesh,BGD,2038,457385.81997605605
438,Bangladesh,BGD,2039,457385.81997605605
439,Bangladesh,BGD,2040,457385.81997605605
440,Bangladesh,BGD,2041,457385.81997605605
441,Bangladesh,BGD,2042,457385.81997605605
442,Bangladesh,BGD,2043,457385.81997605605
443,Bangladesh,BGD,2044,457385.81997605605
444,Bangladesh,BGD,2045,457385.81997605605
445,Bangladesh,BGD,2046,457385.81997605605
446,Bangladesh,BGD,2047,457385.81997605605
447,Bangladesh,BGD,2048,457385.81997605605
448,Bangladesh,BGD,2049,457385.81997605605
449,Bangladesh,BGD,2050,457385.81997605605
450,Bulgaria,BGR,2021,86966.32489
451,Bulgaria,BGR,2022,86966.32489
452,Bulgaria,BGR,2023,86966.32489
453,Bulgaria,BGR,2024,86966.32489
454,Bulgaria,BGR,2025,86966.32489
455,Bulgaria,BGR,2026,86966.32489
456,Bulgaria,BGR,2027,86966.32489
457,Bulgaria,BGR,2028,86966.32489
458,Bulgaria,BGR,2029,86966.32489
459,Bulgaria,BGR,2030,86966.32489
460,Bulgaria,BGR,2031,86966.32489
461,Bulgaria,BGR,2032,86966.32489
462,Bulgaria,BGR,2033,86966.32489
463,Bulgaria,BGR,2034,86966.32489
464,Bulgaria,BGR,2035,86966.32489
465,Bulgaria,BGR,2036,86966.32489
466,Bulgaria,BGR,2037,86966.32489
467,Bulgaria,BGR,2038,86966.32489
468,Bulgaria,BGR,2039,86966.32489
469,Bulgaria,BGR,2040,86966.32489
470,Bulgaria,BGR,2041,86966.32489
471,Bulgaria,BGR,2042,86966.32489
472,Bulgaria,BGR,2043,86966.32489
473,Bulgaria,BGR,2044,86966.32489
474,Bulgaria,BGR,2045,86966.32489
475,Bulgaria,BGR,2046,86966.32489
476,Bulgaria,BGR,2047,86966.32489
477,Bulgaria,BGR,2048,86966.32489
478,Bulgaria,BGR,2049,86966.32489
479,Bulgaria,BGR,2050,86966.32489
480,Bahrain,BHR,2021,73042.60190000001
481,Bahrain,BHR,2022,73042.60190000001
482,Bahrain,BHR,2023,73042.60190000001
483,Bahrain,BHR,2024,73042.60190000001
484,Bahrain,BHR,2025,73042.60190000001
485,Bahrain,BHR,2026,73042.60190000001
486,Bahrain,BHR,2027,73042.60190000001
487,Bahrain,BHR,2028,73042.60190000001
488,Bahrain,BHR,2029,73042.60190000001
489,Bahrain,BHR,2030,73042.60190000001
490,Bahrain,BHR,2031,73042.60190000001
491,Bahrain,BHR,2032,73042.60190000001
492,Bahrain,BHR,2033,73042.60190000001
493,Bahrain,BHR,2034,73042.60190000001
494,Bahrain,BHR,2035,73042.60190000001
495,Bahrain,BHR,2036,73042.60190000001
496,Bahrain,BHR,2037,73042.60190000001
497,Bahrain,BHR,2038,73042.60190000001
498,Bahrain,BHR,2039,73042.60190000001
499,Bahrain,BHR,2040,73042.60190000001
500,Bahrain,BHR,2041,73042.60190000001
501,Bahrain,BHR,2042,73042.60190000001
502,Bahrain,BHR,2043,73042.60190000001
503,Bahrain,BHR,2044,73042.60190000001
504,Bahrain,BHR,2045,73042.60190000001
505,Bahrain,BHR,2046,73042.60190000001
506,Bahrain,BHR,2047,73042.60190000001
507,Bahrain,BHR,2048,73042.60190000001
508,Bahrain,BHR,2049,73042.60190000001
509,Bahrain,BHR,2050,73042.60190000001
510,Bosnia and Herzegovina,BIH,2021,11173.40057523528
511,Bosnia and Herzegovina,BIH,2022,11173.40057523528
512,Bosnia and Herzegovina,BIH,2023,11173.40057523528
513,Bosnia and Herzegovina,BIH,2024,11173.40057523528
514,Bosnia and Herzegovina,BIH,2025,11173.40057523528
515,Bosnia and Herzegovina,BIH,2026,11173.40057523528
516,Bosnia and Herzegovina,BIH,2027,11173.40057523528
517,Bosnia and Herzegovina,BIH,2028,11173.40057523528
518,Bosnia and Herzegovina,BIH,2029,11173.40057523528
519,Bosnia and Herzegovina,BIH,2030,11173.40057523528
520,Bosnia and Herzegovina,BIH,2031,11173.40057523528
521,Bosnia and Herzegovina,BIH,2032,11173.40057523528
522,Bosnia and Herzegovina,BIH,2033,11173.40057523528
523,Bosnia and Herzegovina,BIH,2034,11173.40057523528
524,Bosnia and Herzegovina,BIH,2035,11173.40057523528
525,Bosnia and Herzegovina,BIH,2036,11173.40057523528
526,Bosnia and Herzegovina,BIH,2037,11173.40057523528
527,Bosnia and Herzegovina,BIH,2038,11173.40057523528
528,Bosnia and Herzegovina,BIH,2039,11173.40057523528
529,Bosnia and Herzegovina,BIH,2040,11173.40057523528
530,Bosnia and Herzegovina,BIH,2041,11173.40057523528
531,Bosnia and Herzegovina,BIH,2042,11173.40057523528
532,Bosnia and Herzegovina,BIH,2043,11173.40057523528
533,Bosnia and Herzegovina,BIH,2044,11173.40057523528
534,Bosnia and Herzegovina,BIH,2045,11173.40057523528
535,Bosnia and Herzegovina,BIH,2046,11173.40057523528
536,Bosnia and Herzegovina,BIH,2047,11173.40057523528
537,Bosnia and Herzegovina,BIH,2048,11173.40057523528
538,Bosnia and Herzegovina,BIH,2049,11173.40057523528
539,Bosnia and Herzegovina,BIH,2050,11173.40057523528
540,Belarus,BLR,2021,223423.882857
541,Belarus,BLR,2022,223423.882857
542,Belarus,BLR,2023,223423.882857
543,Belarus,BLR,2024,223423.882857
544,Belarus,BLR,2025,223423.882857
545,Belarus,BLR,2026,223423.882857
546,Belarus,BLR,2027,223423.882857
547,Belarus,BLR,2028,223423.882857
548,Belarus,BLR,2029,223423.882857
549,Belarus,BLR,2030,223423.882857
550,Belarus,BLR,2031,223423.882857
551,Belarus,BLR,2032,223423.882857
552,Belarus,BLR,2033,223423.882857
553,Belarus,BLR,2034,223423.882857
554,Belarus,BLR,2035,223423.882857
555,Belarus,BLR,2036,223423.882857
556,Belarus,BLR,2037,223423.882857
557,Belarus,BLR,2038,223423.882857
558,Belarus,BLR,2039,223423.882857
559,Belarus,BLR,2040,223423.882857
560,Belarus,BLR,2041,223423.882857
561,Belarus,BLR,2042,223423.882857
562,Belarus,BLR,2043,223423.882857
563,Belarus,BLR,2044,223423.882857
564,Belarus,BLR,2045,223423.882857
565,Belarus,BLR,2046,223423.882857
566,Belarus,BLR,2047,223423.882857
567,Belarus,BLR,2048,223423.882857
568,Belarus,BLR,2049,223423.882857
569,Belarus,BLR,2050,223423.882857
570,Belize,BLZ,2021,78279.43780495744
571,Belize,BLZ,2022,78279.43780495744
572,Belize,BLZ,2023,78279.43780495744
573,Belize,BLZ,2024,78279.43780495744
574,Belize,BLZ,2025,78279.43780495744
575,Belize,BLZ,2026,78279.43780495744
576,Belize,BLZ,2027,78279.43780495744
577,Belize,BLZ,2028,78279.43780495744
578,Belize,BLZ,2029,78279.43780495744
579,Belize,BLZ,2030,78279.43780495744
580,Belize,BLZ,2031,78279.43780495744
581,Belize,BLZ,2032,78279.43780495744
582,Belize,BLZ,2033,78279.43780495744
583,Belize,BLZ,2034,78279.43780495744
584,Belize,BLZ,2035,78279.43780495744
585,Belize,BLZ,2036,78279.43780495744
586,Belize,BLZ,2037,78279.43780495744
587,Belize,BLZ,2038,78279.43780495744
588,Belize,BLZ,2039,78279.43780495744
589,Belize,BLZ,2040,78279.43780495744
590,Belize,BLZ,2041,78279.43780495744
591,Belize,BLZ,2042,78279.43780495744
592,Belize,BLZ,2043,78279.43780495744
593,Belize,BLZ,2044,78279.43780495744
594,Belize,BLZ,2045,78279.43780495744
595,Belize,BLZ,2046,78279.43780495744
596,Belize,BLZ,2047,78279.43780495744
597,Belize,BLZ,2048,78279.43780495744
598,Belize,BLZ,2049,78279.43780495744
599,Belize,BLZ,2050,78279.43780495744
600,Bolivia,BOL,2021,78805.24432666
601,Bolivia,BOL,2022,78805.24432666
602,Bolivia,BOL,2023,78805.24432666
603,Bolivia,BOL,2024,78805.24432666
604,Bolivia,BOL,2025,78805.24432666
605,Bolivia,BOL,2026,78805.24432666
606,Bolivia,BOL,2027,78805.24432666
607,Bolivia,BOL,2028,78805.24432666
608,Bolivia,BOL,2029,78805.24432666
609,Bolivia,BOL,2030,78805.24432666
610,Bolivia,BOL,2031,78805.24432666
611,Bolivia,BOL,2032,78805.24432666
612,Bolivia,BOL,2033,78805.24432666
613,Bolivia,BOL,2034,78805.24432666
614,Bolivia,BOL,2035,78805.24432666
615,Bolivia,BOL,2036,78805.24432666
616,Bolivia,BOL,2037,78805.24432666
617,Bolivia,BOL,2038,78805.24432666
618,Bolivia,BOL,2039,78805.24432666
619,Bolivia,BOL,2040,78805.24432666
