Year,iso_code3,pij_lndu_forests_mangroves_to_forests_mangroves
2050,PNG,0.9424347245447752
2019,POL,0.990360162121178
2020,POL,0.990415009720911
2021,POL,0.990415009720911
2022,POL,0.990415009720911
2023,POL,0.990415009720911
2024,POL,0.990415009720911
2025,POL,0.990415009720911
2026,POL,0.990415009720911
2027,POL,0.990415009720911
2028,POL,0.990415009720911
2029,POL,0.990415009720911
2030,POL,0.990415009720911
2031,POL,0.990415009720911
2032,POL,0.990415009720911
2033,POL,0.990415009720911
2034,POL,0.990415009720911
2035,POL,0.990415009720911
2036,POL,0.990415009720911
2037,POL,0.990415009720911
2038,POL,0.990415009720911
2039,POL,0.990415009720911
2040,POL,0.990415009720911
2041,POL,0.990415009720911
2042,POL,0.990415009720911
2043,POL,0.990415009720911
2044,POL,0.990415009720911
2045,POL,0.990415009720911
2046,POL,0.990415009720911
2047,POL,0.990415009720911
2048,POL,0.990415009720911
2049,POL,0.990415009720911
2050,POL,0.990415009720911
2019,PRI,0.973765654930626
2020,PRI,0.971129001007314
2021,PRI,0.971129001007314
2022,PRI,0.971129001007314
2023,PRI,0.971129001007314
2024,PRI,0.971129001007314
2025,PRI,0.971129001007314
2026,PRI,0.971129001007314
2027,PRI,0.971129001007314
2028,PRI,0.971129001007314
2029,PRI,0.971129001007314
2030,PRI,0.971129001007314
2031,PRI,0.971129001007314
2032,PRI,0.971129001007314
2033,PRI,0.971129001007314
2034,PRI,0.971129001007314
2035,PRI,0.971129001007314
2036,PRI,0.971129001007314
2037,PRI,0.971129001007314
2038,PRI,0.971129001007314
2039,PRI,0.971129001007314
2040,PRI,0.971129001007314
2041,PRI,0.971129001007314
2042,PRI,0.971129001007314
2043,PRI,0.971129001007314
2044,PRI,0.971129001007314
2045,PRI,0.971129001007314
2046,PRI,0.971129001007314
2047,PRI,0.971129001007314
2048,PRI,0.971129001007314
2049,PRI,0.971129001007314
2050,PRI,0.971129001007314
2019,PRK,0.9903519124733986
2020,PRK,0.99040166223901
2021,PRK,0.99040166223901
2022,PRK,0.99040166223901
2023,PRK,0.99040166223901
2024,PRK,0.99040166223901
2025,PRK,0.99040166223901
2026,PRK,0.99040166223901
2027,PRK,0.99040166223901
2028,PRK,0.99040166223901
2029,PRK,0.99040166223901
2030,PRK,0.99040166223901
2031,PRK,0.99040166223901
2032,PRK,0.99040166223901
2033,PRK,0.99040166223901
2034,PRK,0.99040166223901
2035,PRK,0.99040166223901
2036,PRK,0.99040166223901
2037,PRK,0.99040166223901
2038,PRK,0.99040166223901
2039,PRK,0.99040166223901
2040,PRK,0.99040166223901
2041,PRK,0.99040166223901
2042,PRK,0.99040166223901
2043,PRK,0.99040166223901
2044,PRK,0.99040166223901
2045,PRK,0.99040166223901
2046,PRK,0.99040166223901
2047,PRK,0.99040166223901
2048,PRK,0.99040166223901
2049,PRK,0.99040166223901
2050,PRK,0.99040166223901
2019,PRT,0.9903570293195538
2020,PRT,0.9903996050820506
2021,PRT,0.9903996050820506
2022,PRT,0.9903996050820506
2023,PRT,0.9903996050820506
2024,PRT,0.9903996050820506
2025,PRT,0.9903996050820506
2026,PRT,0.9903996050820506
2027,PRT,0.9903996050820506
2028,PRT,0.9903996050820506
2029,PRT,0.9903996050820506
2030,PRT,0.9903996050820506
2031,PRT,0.9903996050820506
2032,PRT,0.9903996050820506
2033,PRT,0.9903996050820506
2034,PRT,0.9903996050820506
2035,PRT,0.9903996050820506
2036,PRT,0.9903996050820506
2037,PRT,0.9903996050820506
2038,PRT,0.9903996050820506
2039,PRT,0.9903996050820506
2040,PRT,0.9903996050820506
2041,PRT,0.9903996050820506
2042,PRT,0.9903996050820506
2043,PRT,0.9903996050820506
2044,PRT,0.9903996050820506
2045,PRT,0.9903996050820506
2046,PRT,0.9903996050820506
2047,PRT,0.9903996050820506
2048,PRT,0.9903996050820506
2049,PRT,0.9903996050820506
2050,PRT,0.9903996050820506
2019,PRY,0.990357824012801
2020,PRY,0.9904024050880088
2021,PRY,0.9904024050880088
2022,PRY,0.9904024050880088
2023,PRY,0.9904024050880088
2024,PRY,0.9904024050880088
2025,PRY,0.9904024050880088
2026,PRY,0.9904024050880088
2027,PRY,0.9904024050880088
2028,PRY,0.9904024050880088
2029,PRY,0.9904024050880088
2030,PRY,0.9904024050880088
2031,PRY,0.9904024050880088
2032,PRY,0.9904024050880088
2033,PRY,0.9904024050880088
2034,PRY,0.9904024050880088
2035,PRY,0.9904024050880088
2036,PRY,0.9904024050880088
2037,PRY,0.9904024050880088
2038,PRY,0.9904024050880088
2039,PRY,0.9904024050880088
2040,PRY,0.9904024050880088
2041,PRY,0.9904024050880088
2042,PRY,0.9904024050880088
2043,PRY,0.9904024050880088
2044,PRY,0.9904024050880088
2045,PRY,0.9904024050880088
2046,PRY,0.9904024050880088
2047,PRY,0.9904024050880088
2048,PRY,0.9904024050880088
2049,PRY,0.9904024050880088
2050,PRY,0.9904024050880088
2019,ROU,0.990362518924088
2020,ROU,0.9904080906967966
2021,ROU,0.9904080906967966
2022,ROU,0.9904080906967966
2023,ROU,0.9904080906967966
2024,ROU,0.9904080906967966
2025,ROU,0.9904080906967966
2026,ROU,0.9904080906967966
2027,ROU,0.9904080906967966
2028,ROU,0.9904080906967966
2029,ROU,0.9904080906967966
2030,ROU,0.9904080906967966
2031,ROU,0.9904080906967966
2032,ROU,0.9904080906967966
2033,ROU,0.9904080906967966
2034,ROU,0.9904080906967966
2035,ROU,0.9904080906967966
2036,ROU,0.9904080906967966
2037,ROU,0.9904080906967966
2038,ROU,0.9904080906967966
2039,ROU,0.9904080906967966
2040,ROU,0.9904080906967966
2041,ROU,0.9904080906967966
2042,ROU,0.9904080906967966
2043,ROU,0.9904080906967966
2044,ROU,0.9904080906967966
2045,ROU,0.9904080906967966
2046,ROU,0.9904080906967966
2047,ROU,0.9904080906967966
2048,ROU,0.9904080906967966
2049,ROU,0.9904080906967966
2050,ROU,0.9904080906967966
2019,RUS,0.9903616589393246
2020,RUS,0.9904054117491876
2021,RUS,0.9904054117491876
2022,RUS,0.9904054117491876
2023,RUS,0.9904054117491876
2024,RUS,0.9904054117491876
2025,RUS,0.9904054117491876
2026,RUS,0.9904054117491876
2027,RUS,0.9904054117491876
2028,RUS,0.9904054117491876
2029,RUS,0.9904054117491876
2030,RUS,0.9904054117491876
2031,RUS,0.9904054117491876
2032,RUS,0.9904054117491876
2033,RUS,0.9904054117491876
2034,RUS,0.9904054117491876
2035,RUS,0.9904054117491876
2036,RUS,0.9904054117491876
2037,RUS,0.9904054117491876
2038,RUS,0.9904054117491876
2039,RUS,0.9904054117491876
2040,RUS,0.9904054117491876
2041,RUS,0.9904054117491876
2042,RUS,0.9904054117491876
2043,RUS,0.9904054117491876
2044,RUS,0.9904054117491876
2045,RUS,0.9904054117491876
2046,RUS,0.9904054117491876
2047,RUS,0.9904054117491876
2048,RUS,0.9904054117491876
2049,RUS,0.9904054117491876
2050,RUS,0.9904054117491876
2019,RWA,0.990373762399164
2020,RWA,0.990403572931371
2021,RWA,0.990403572931371
2022,RWA,0.990403572931371
2023,RWA,0.990403572931371
2024,RWA,0.990403572931371
2025,RWA,0.990403572931371
2026,RWA,0.990403572931371
2027,RWA,0.990403572931371
2028,RWA,0.990403572931371
2029,RWA,0.990403572931371
2030,RWA,0.990403572931371
2031,RWA,0.990403572931371
2032,RWA,0.990403572931371
2033,RWA,0.990403572931371
2034,RWA,0.990403572931371
2035,RWA,0.990403572931371
2036,RWA,0.990403572931371
2037,RWA,0.990403572931371
2038,RWA,0.990403572931371
2039,RWA,0.990403572931371
2040,RWA,0.990403572931371
2041,RWA,0.990403572931371
2042,RWA,0.990403572931371
2043,RWA,0.990403572931371
2044,RWA,0.990403572931371
2045,RWA,0.990403572931371
2046,RWA,0.990403572931371
2047,RWA,0.990403572931371
2048,RWA,0.990403572931371
2049,RWA,0.990403572931371
2050,RWA,0.990403572931371
2019,SAU,0.9903497421094012
2020,SAU,0.9903700292914496
2021,SAU,0.9903700292914496
2022,SAU,0.9903700292914496
2023,SAU,0.9903700292914496
2024,SAU,0.9903700292914496
2025,SAU,0.9903700292914496
2026,SAU,0.9903700292914496
2027,SAU,0.9903700292914496
2028,SAU,0.9903700292914496
2029,SAU,0.9903700292914496
2030,SAU,0.9903700292914496
2031,SAU,0.9903700292914496
2032,SAU,0.9903700292914496
2033,SAU,0.9903700292914496
2034,SAU,0.9903700292914496
2035,SAU,0.9903700292914496
2036,SAU,0.9903700292914496
2037,SAU,0.9903700292914496
2038,SAU,0.9903700292914496
2039,SAU,0.9903700292914496
2040,SAU,0.9903700292914496
2041,SAU,0.9903700292914496
2042,SAU,0.9903700292914496
2043,SAU,0.9903700292914496
2044,SAU,0.9903700292914496
2045,SAU,0.9903700292914496
2046,SAU,0.9903700292914496
2047,SAU,0.9903700292914496
2048,SAU,0.9903700292914496
2049,SAU,0.9903700292914496
2050,SAU,0.9903700292914496
2019,SDN,0.9689963029094018
2020,SDN,0.9671389991829492
2021,SDN,0.9671389991829492
2022,SDN,0.9671389991829492
2023,SDN,0.9671389991829492
2024,SDN,0.9671389991829492
2025,SDN,0.9671389991829492
2026,SDN,0.9671389991829492
2027,SDN,0.9671389991829492
2028,SDN,0.9671389991829492
2029,SDN,0.9671389991829492
2030,SDN,0.9671389991829492
2031,SDN,0.9671389991829492
2032,SDN,0.9671389991829492
2033,SDN,0.9671389991829492
2034,SDN,0.9671389991829492
2035,SDN,0.9671389991829492
2036,SDN,0.9671389991829492
2037,SDN,0.9671389991829492
2038,SDN,0.9671389991829492
2039,SDN,0.9671389991829492
2040,SDN,0.9671389991829492
2041,SDN,0.9671389991829492
2042,SDN,0.9671389991829492
2043,SDN,0.9671389991829492
2044,SDN,0.9671389991829492
2045,SDN,0.9671389991829492
2046,SDN,0.9671389991829492
2047,SDN,0.9671389991829492
2048,SDN,0.9671389991829492
2049,SDN,0.9671389991829492
2050,SDN,0.9671389991829492
2019,SEN,0.990005963459875
2020,SEN,0.9894875210204986
2021,SEN,0.9894875210204986
2022,SEN,0.9894875210204986
2023,SEN,0.9894875210204986
2024,SEN,0.9894875210204986
2025,SEN,0.9894875210204986
2026,SEN,0.9894875210204986
2027,SEN,0.9894875210204986
2028,SEN,0.9894875210204986
2029,SEN,0.9894875210204986
2030,SEN,0.9894875210204986
2031,SEN,0.9894875210204986
2032,SEN,0.9894875210204986
2033,SEN,0.9894875210204986
2034,SEN,0.9894875210204986
2035,SEN,0.9894875210204986
2036,SEN,0.9894875210204986
2037,SEN,0.9894875210204986
2038,SEN,0.9894875210204986
2039,SEN,0.9894875210204986
2040,SEN,0.9894875210204986
2041,SEN,0.9894875210204986
2042,SEN,0.9894875210204986
2043,SEN,0.9894875210204986
2044,SEN,0.9894875210204986
2045,SEN,0.9894875210204986
2046,SEN,0.9894875210204986
2047,SEN,0.9894875210204986
2048,SEN,0.9894875210204986
2049,SEN,0.9894875210204986
2050,SEN,0.9894875210204986
2019,SLB,0.9705228416193884
2020,SLB,0.96388745916545
2021,SLB,0.96388745916545
2022,SLB,0.96388745916545
2023,SLB,0.96388745916545
2024,SLB,0.96388745916545
2025,SLB,0.96388745916545
2026,SLB,0.96388745916545
2027,SLB,0.96388745916545
2028,SLB,0.96388745916545
2029,SLB,0.96388745916545
2030,SLB,0.96388745916545
2031,SLB,0.96388745916545
2032,SLB,0.96388745916545
2033,SLB,0.96388745916545
2034,SLB,0.96388745916545
2035,SLB,0.96388745916545
2036,SLB,0.96388745916545
2037,SLB,0.96388745916545
2038,SLB,0.96388745916545
2039,SLB,0.96388745916545
2040,SLB,0.96388745916545
2041,SLB,0.96388745916545
2042,SLB,0.96388745916545
2043,SLB,0.96388745916545
2044,SLB,0.96388745916545
2045,SLB,0.96388745916545
2046,SLB,0.96388745916545
2047,SLB,0.96388745916545
2048,SLB,0.96388745916545
2049,SLB,0.96388745916545
2050,SLB,0.96388745916545
2019,SLE,0.990003886606168
2020,SLE,0.9892110129544824
2021,SLE,0.9892110129544824
2022,SLE,0.9892110129544824
2023,SLE,0.9892110129544824
2024,SLE,0.9892110129544824
2025,SLE,0.9892110129544824
2026,SLE,0.9892110129544824
2027,SLE,0.9892110129544824
2028,SLE,0.9892110129544824
2029,SLE,0.9892110129544824
2030,SLE,0.9892110129544824
2031,SLE,0.9892110129544824
2032,SLE,0.9892110129544824
2033,SLE,0.9892110129544824
2034,SLE,0.9892110129544824
2035,SLE,0.9892110129544824
2036,SLE,0.9892110129544824
2037,SLE,0.9892110129544824
2038,SLE,0.9892110129544824
2039,SLE,0.9892110129544824
2040,SLE,0.9892110129544824
2041,SLE,0.9892110129544824
2042,SLE,0.9892110129544824
2043,SLE,0.9892110129544824
2044,SLE,0.9892110129544824
2045,SLE,0.9892110129544824
2046,SLE,0.9892110129544824
2047,SLE,0.9892110129544824
2048,SLE,0.9892110129544824
2049,SLE,0.9892110129544824
2050,SLE,0.9892110129544824
2019,SLV,0.9738771566720829
2020,SLV,0.9737068803464386
2021,SLV,0.9737068803464386
2022,SLV,0.9737068803464386
2023,SLV,0.9737068803464386
2024,SLV,0.9737068803464386
2025,SLV,0.9737068803464386
2026,SLV,0.9737068803464386
2027,SLV,0.9737068803464386
2028,SLV,0.9737068803464386
2029,SLV,0.9737068803464386
2030,SLV,0.9737068803464386
2031,SLV,0.9737068803464386
2032,SLV,0.9737068803464386
2033,SLV,0.9737068803464386
2034,SLV,0.9737068803464386
2035,SLV,0.9737068803464386
2036,SLV,0.9737068803464386
2037,SLV,0.9737068803464386
2038,SLV,0.9737068803464386
2039,SLV,0.9737068803464386
2040,SLV,0.9737068803464386
2041,SLV,0.9737068803464386
2042,SLV,0.9737068803464386
2043,SLV,0.9737068803464386
