Year,Nation,iso_code3,population_gnrl_rural
2032,United Arab Emirates,ARE,1305123.46168928
2033,United Arab Emirates,ARE,1284682.36296892
2034,United Arab Emirates,ARE,1264241.26424856
2035,United Arab Emirates,ARE,1243800.1655281999
2036,United Arab Emirates,ARE,1216180.96007056
2037,United Arab Emirates,ARE,1188561.75461292
2038,United Arab Emirates,ARE,1160942.54915528
2039,United Arab Emirates,ARE,1133323.34369764
2040,United Arab Emirates,ARE,1105704.13824
2041,United Arab Emirates,ARE,1071247.53740784
2042,United Arab Emirates,ARE,1036790.93657568
2043,United Arab Emirates,ARE,1002334.33574352
2044,United Arab Emirates,ARE,967877.734911358
2045,United Arab Emirates,ARE,933421.134079198
2046,United Arab Emirates,ARE,893019.134495038
2047,United Arab Emirates,ARE,852617.134910878
2048,United Arab Emirates,ARE,812215.135326718
2049,United Arab Emirates,ARE,771813.135742557
2050,United Arab Emirates,ARE,731411.1361583971
2021,Argentina,ARG,3403126.94845102
2022,Argentina,ARG,3369053.26497404
2023,Argentina,ARG,3334979.58149706
2024,Argentina,ARG,3300905.89802008
2025,Argentina,ARG,3266832.2145431
2026,Argentina,ARG,3227331.78485648
2027,Argentina,ARG,3187831.35516986
2028,Argentina,ARG,3148330.92548324
2029,Argentina,ARG,3108830.49579662
2030,Argentina,ARG,3069330.06610999
2031,Argentina,ARG,3024968.48410274
2032,Argentina,ARG,2980606.90209548
2033,Argentina,ARG,2936245.32008822
2034,Argentina,ARG,2891883.73808096
2035,Argentina,ARG,2847522.1560737
2036,Argentina,ARG,2799005.32778034
2037,Argentina,ARG,2750488.49948698
2038,Argentina,ARG,2701971.67119362
2039,Argentina,ARG,2653454.84290025
2040,Argentina,ARG,2604938.01460689
2041,Argentina,ARG,2552122.57527408
2042,Argentina,ARG,2499307.13594127
2043,Argentina,ARG,2446491.69660846
2044,Argentina,ARG,2393676.25727565
2045,Argentina,ARG,2340860.81794284
2046,Argentina,ARG,2284690.45124347
2047,Argentina,ARG,2228520.0845441003
2048,Argentina,ARG,2172349.71784473
2049,Argentina,ARG,2116179.35114536
2050,Argentina,ARG,2060008.98444599
2021,Armenia,ARM,1110158.77349896
2022,Armenia,ARM,1105809.15471265
2023,Armenia,ARM,1101459.53592635
2024,Armenia,ARM,1097109.91714005
2025,Armenia,ARM,1092760.29835375
2026,Armenia,ARM,1088087.63154546
2027,Armenia,ARM,1083414.96473718
2028,Armenia,ARM,1078742.29792889
2029,Armenia,ARM,1074069.63112061
2030,Armenia,ARM,1069396.96431232
2031,Armenia,ARM,1064326.40943843
2032,Armenia,ARM,1059255.85456454
2033,Armenia,ARM,1054185.29969066
2034,Armenia,ARM,1049114.74481677
2035,Armenia,ARM,1044044.18994288
2036,Armenia,ARM,1038206.71206792
2037,Armenia,ARM,1032369.23419297
2038,Armenia,ARM,1026531.75631801
2039,Armenia,ARM,1020694.27844306
2040,Armenia,ARM,1014856.8005681
2041,Armenia,ARM,1008148.53988103
2042,Armenia,ARM,1001440.27919396
2043,Armenia,ARM,994732.0185068841
2044,Armenia,ARM,988023.757819812
2045,Armenia,ARM,981315.49713274
2046,Armenia,ARM,973940.520982688
2047,Armenia,ARM,966565.5448326359
2048,Armenia,ARM,959190.5686825841
2049,Armenia,ARM,951815.592532532
2050,Armenia,ARM,944440.61638248
2021,Australia,AUS,3596493.47568264
2022,Australia,AUS,3617394.54111898
2023,Australia,AUS,3638295.60655532
2024,Australia,AUS,3659196.67199166
2025,Australia,AUS,3680097.7374279997
2026,Australia,AUS,3694776.83355318
2027,Australia,AUS,3709455.92967836
2028,Australia,AUS,3724135.02580354
2029,Australia,AUS,3738814.12192872
2030,Australia,AUS,3753493.2180539
2031,Australia,AUS,3762601.15167128
2032,Australia,AUS,3771709.08528866
2033,Australia,AUS,3780817.01890604
2034,Australia,AUS,3789924.95252342
2035,Australia,AUS,3799032.8861407996
2036,Australia,AUS,3803824.63397594
2037,Australia,AUS,3808616.38181108
2038,Australia,AUS,3813408.12964622
2039,Australia,AUS,3818199.87748136
2040,Australia,AUS,3822991.6253165
2041,Australia,AUS,3823816.7499716002
2042,Australia,AUS,3824641.8746267
2043,Australia,AUS,3825466.9992818
2044,Australia,AUS,3826292.1239368995
2045,Australia,AUS,3827117.24859201
2046,Australia,AUS,3823645.95543238
2047,Australia,AUS,3820174.66227276
2048,Australia,AUS,3816703.36911314
2049,Australia,AUS,3813232.07595352
2050,Australia,AUS,3809760.7827938995
2021,Austria,AUT,3581848.27936994
2022,Austria,AUT,3576366.78476943
2023,Austria,AUT,3570885.29016893
2024,Austria,AUT,3565403.79556842
2025,Austria,AUT,3559922.30096792
2026,Austria,AUT,3552381.07553298
2027,Austria,AUT,3544839.85009805
2028,Austria,AUT,3537298.62466311
2029,Austria,AUT,3529757.39922818
2030,Austria,AUT,3522216.17379324
2031,Austria,AUT,3512357.43867984
2032,Austria,AUT,3502498.70356644
2033,Austria,AUT,3492639.96845304
2034,Austria,AUT,3482781.23333964
2035,Austria,AUT,3472922.49822624
2036,Austria,AUT,3461408.47591023
2037,Austria,AUT,3449894.45359422
2038,Austria,AUT,3438380.43127822
2039,Austria,AUT,3426866.40896221
2040,Austria,AUT,3415352.3866462
2041,Austria,AUT,3402736.10427733
2042,Austria,AUT,3390119.82190846
2043,Austria,AUT,3377503.53953959
2044,Austria,AUT,3364887.25717071
2045,Austria,AUT,3352270.97480184
2046,Austria,AUT,3338059.77803195
2047,Austria,AUT,3323848.58126207
2048,Austria,AUT,3309637.38449218
2049,Austria,AUT,3295426.18772229
2050,Austria,AUT,3281214.9909524
2021,Azerbaijan,AZE,4410741.03254622
2022,Azerbaijan,AZE,4403421.62446364
2023,Azerbaijan,AZE,4396102.21638106
2024,Azerbaijan,AZE,4388782.80829848
2025,Azerbaijan,AZE,4381463.4002159
2026,Azerbaijan,AZE,4365255.134326
2027,Azerbaijan,AZE,4349046.8684361
2028,Azerbaijan,AZE,4332838.6025462
2029,Azerbaijan,AZE,4316630.336656299
2030,Azerbaijan,AZE,4300422.070766401
2031,Azerbaijan,AZE,4280139.62066969
2032,Azerbaijan,AZE,4259857.17057298
2033,Azerbaijan,AZE,4239574.72047627
2034,Azerbaijan,AZE,4219292.27037956
2035,Azerbaijan,AZE,4199009.82028285
2036,Azerbaijan,AZE,4175138.50738628
2037,Azerbaijan,AZE,4151267.19448971
2038,Azerbaijan,AZE,4127395.88159314
2039,Azerbaijan,AZE,4103524.56869657
2040,Azerbaijan,AZE,4079653.2558
2041,Azerbaijan,AZE,4050209.56656693
2042,Azerbaijan,AZE,4020765.87733386
2043,Azerbaijan,AZE,3991322.18810079
2044,Azerbaijan,AZE,3961878.49886772
2045,Azerbaijan,AZE,3932434.80963465
2046,Azerbaijan,AZE,3897558.63189732
2047,Azerbaijan,AZE,3862682.45415999
2048,Azerbaijan,AZE,3827806.27642266
2049,Azerbaijan,AZE,3792930.09868533
2050,Azerbaijan,AZE,3758053.920948
2021,Burundi,BDI,9558785.9683829
2022,Burundi,BDI,9718600.871669801
2023,Burundi,BDI,9878415.7749567
2024,Burundi,BDI,10038230.6782436
2025,Burundi,BDI,10198045.581530498
2026,Burundi,BDI,10334582.77655
2027,Burundi,BDI,10471119.9715695
2028,Burundi,BDI,10607657.1665889
2029,Burundi,BDI,10744194.3616084
2030,Burundi,BDI,10880731.556627901
2031,Burundi,BDI,11002726.6468393
2032,Burundi,BDI,11124721.7370506
2033,Burundi,BDI,11246716.827262
2034,Burundi,BDI,11368711.9174734
2035,Burundi,BDI,11490707.0076848
2036,Burundi,BDI,11601762.616772901
2037,Burundi,BDI,11712818.225861
2038,Burundi,BDI,11823873.8349491
2039,Burundi,BDI,11934929.4440373
2040,Burundi,BDI,12045985.0531254
2041,Burundi,BDI,12142614.433637599
2042,Burundi,BDI,12239243.814149901
2043,Burundi,BDI,12335873.1946621
2044,Burundi,BDI,12432502.5751744
2045,Burundi,BDI,12529131.955686599
2046,Burundi,BDI,12607467.9116705
2047,Burundi,BDI,12685803.8676545
2048,Burundi,BDI,12764139.8236384
2049,Burundi,BDI,12842475.7796224
2050,Burundi,BDI,12920811.7356063
2021,Belgium,BEL,212666.518614881
2022,Belgium,BEL,208832.06569416
2023,Belgium,BEL,204997.61277344
2024,Belgium,BEL,201163.15985272
2025,Belgium,BEL,197328.706932
2026,Belgium,BEL,193235.73291424
2027,Belgium,BEL,189142.75889648
2028,Belgium,BEL,185049.784878719
2029,Belgium,BEL,180956.810860959
2030,Belgium,BEL,176863.83684319898
2031,Belgium,BEL,172524.65352030902
2032,Belgium,BEL,168185.470197419
2033,Belgium,BEL,163846.286874529
2034,Belgium,BEL,159507.10355163802
2035,Belgium,BEL,155167.920228748
2036,Belgium,BEL,150608.14332401802
2037,Belgium,BEL,146048.366419288
2038,Belgium,BEL,141488.58951455902
2039,Belgium,BEL,136928.812609829
2040,Belgium,BEL,132369.035705099
2041,Belgium,BEL,127592.47666128901
2042,Belgium,BEL,122815.91761747802
2043,Belgium,BEL,118039.35857366801
2044,Belgium,BEL,113262.799529858
2045,Belgium,BEL,108486.240486048
2046,Belgium,BEL,103515.930397638
2047,Belgium,BEL,98545.6203092275
2048,Belgium,BEL,93575.31022081731
2049,Belgium,BEL,88605.0001324071
2050,Belgium,BEL,83634.6900439969
2021,Benin,BEN,6013191.46500438
2022,Benin,BEN,6086978.88300876
2023,Benin,BEN,6160766.30101314
2024,Benin,BEN,6234553.71901752
2025,Benin,BEN,6308341.1370219
2026,Benin,BEN,6364300.76197512
2027,Benin,BEN,6420260.38692834
2028,Benin,BEN,6476220.01188156
2029,Benin,BEN,6532179.63683478
2030,Benin,BEN,6588139.261787999
2031,Benin,BEN,6626383.08145548
2032,Benin,BEN,6664626.90112296
2033,Benin,BEN,6702870.72079044
2034,Benin,BEN,6741114.54045792
2035,Benin,BEN,6779358.3601254
2036,Benin,BEN,6800383.28454258
2037,Benin,BEN,6821408.20895976
2038,Benin,BEN,6842433.13337694
2039,Benin,BEN,6863458.05779412
2040,Benin,BEN,6884482.982211299
2041,Benin,BEN,6887679.81995154
2042,Benin,BEN,6890876.65769178
2043,Benin,BEN,6894073.49543202
2044,Benin,BEN,6897270.33317226
2045,Benin,BEN,6900467.1709125
2046,Benin,BEN,6884280.21409386
2047,Benin,BEN,6868093.25727522
2048,Benin,BEN,6851906.30045658
2049,Benin,BEN,6835719.34363794
2050,Benin,BEN,6819532.3868193
2021,Burkina Faso,BFA,15208194.99084
2022,Burkina Faso,BFA,15450677.7586698
2023,Burkina Faso,BFA,15693160.526499601
2024,Burkina Faso,BFA,15935643.294329401
2025,Burkina Faso,BFA,16178126.062159197
2026,Burkina Faso,BFA,16400202.7201845
2027,Burkina Faso,BFA,16622279.378209801
2028,Burkina Faso,BFA,16844356.036235
2029,Burkina Faso,BFA,17066432.6942603
2030,Burkina Faso,BFA,17288509.352285597
2031,Burkina Faso,BFA,17478182.7678043
2032,Burkina Faso,BFA,17667856.183323
2033,Burkina Faso,BFA,17857529.5988417
2034,Burkina Faso,BFA,18047203.014360398
2035,Burkina Faso,BFA,18236876.429879103
2036,Burkina Faso,BFA,18387059.7873798
2037,Burkina Faso,BFA,18537243.1448805
2038,Burkina Faso,BFA,18687426.5023811
2039,Burkina Faso,BFA,18837609.8598818
2040,Burkina Faso,BFA,18987793.2173825
2041,Burkina Faso,BFA,19090434.6334663
2042,Burkina Faso,BFA,19193076.0495501
2043,Burkina Faso,BFA,19295717.465634
2044,Burkina Faso,BFA,19398358.8817178
2045,Burkina Faso,BFA,19501000.297801603
2046,Burkina Faso,BFA,19558339.0403776
2047,Burkina Faso,BFA,19615677.7829537
2048,Burkina Faso,BFA,19673016.5255297
2049,Burkina Faso,BFA,19730355.2681058
2050,Burkina Faso,BFA,19787694.0106818
2021,Bangladesh,BGD,102416923.819937
2022,Bangladesh,BGD,102068192.78806801
2023,Bangladesh,BGD,101719461.7562
2024,Bangladesh,BGD,101370730.724331
2025,Bangladesh,BGD,101021999.692463
2026,Bangladesh,BGD,100418301.96386601
2027,Bangladesh,BGD,99814604.2352703
2028,Bangladesh,BGD,99210906.5066742
2029,Bangladesh,BGD,98607208.7780781
2030,Bangladesh,BGD,98003511.04948199
2031,Bangladesh,BGD,97166617.14882809
2032,Bangladesh,BGD,96329723.2481742
2033,Bangladesh,BGD,95492829.3475203
2034,Bangladesh,BGD,94655935.44686641
2035,Bangladesh,BGD,93819041.5462125
2036,Bangladesh,BGD,92781339.3402008
2037,Bangladesh,BGD,91743637.1341891
2038,Bangladesh,BGD,90705934.9281774
2039,Bangladesh,BGD,89668232.7221657
2040,Bangladesh,BGD,88630530.516154
2041,Bangladesh,BGD,87411350.1873986
2042,Bangladesh,BGD,86192169.8586432
2043,Bangladesh,BGD,84972989.5298878
2044,Bangladesh,BGD,83753809.20113242
2045,Bangladesh,BGD,82534628.87237701
2046,Bangladesh,BGD,81165150.1965016
2047,Bangladesh,BGD,79795671.5206262
2048,Bangladesh,BGD,78426192.84475079
2049,Bangladesh,BGD,77056714.1688754
2050,Bangladesh,BGD,75687235.493
2021,Bulgaria,BGR,1687028.35436392
2022,Bulgaria,BGR,1655474.27628706
2023,Bulgaria,BGR,1623920.19821019
2024,Bulgaria,BGR,1592366.12013333
2025,Bulgaria,BGR,1560812.04205647
2026,Bulgaria,BGR,1531314.66971771
2027,Bulgaria,BGR,1501817.29737894
2028,Bulgaria,BGR,1472319.92504018
2029,Bulgaria,BGR,1442822.55270141
2030,Bulgaria,BGR,1413325.18036265
2031,Bulgaria,BGR,1385460.16514064
2032,Bulgaria,BGR,1357595.14991863
2033,Bulgaria,BGR,1329730.13469661
2034,Bulgaria,BGR,1301865.1194746
2035,Bulgaria,BGR,1274000.10425259
2036,Bulgaria,BGR,1247558.42003935
2037,Bulgaria,BGR,1221116.73582611
2038,Bulgaria,BGR,1194675.05161288
2039,Bulgaria,BGR,1168233.36739964
2040,Bulgaria,BGR,1141791.6831863998
2041,Bulgaria,BGR,1116462.62890315
2042,Bulgaria,BGR,1091133.5746199
2043,Bulgaria,BGR,1065804.52033666
2044,Bulgaria,BGR,1040475.46605341
2045,Bulgaria,BGR,1015146.41177016
2046,Bulgaria,BGR,990684.8310597859
2047,Bulgaria,BGR,966223.250349412
2048,Bulgaria,BGR,941761.6696390379
2049,Bulgaria,BGR,917300.0889286641
2050,Bulgaria,BGR,892838.5082182891
2021,Bahrain,BHR,200589.2472285
2022,Bahrain,BHR,203613.89406714
2023,Bahrain,BHR,206638.54090578
2024,Bahrain,BHR,209663.18774442
2025,Bahrain,BHR,212687.83458306
2026,Bahrain,BHR,215098.43741346602
2027,Bahrain,BHR,217509.040243872
2028,Bahrain,BHR,219919.64307427802
2029,Bahrain,BHR,222330.24590468398
2030,Bahrain,BHR,224740.84873509
2031,Bahrain,BHR,226645.251888429
2032,Bahrain,BHR,228549.655041768
2033,Bahrain,BHR,230454.058195107
2034,Bahrain,BHR,232358.46134844603
2035,Bahrain,BHR,234262.864501785
2036,Bahrain,BHR,235726.325110548
2037,Bahrain,BHR,237189.785719311
2038,Bahrain,BHR,238653.246328074
2039,Bahrain,BHR,240116.706936837
2040,Bahrain,BHR,241580.167545599
2041,Bahrain,BHR,242498.50939744103
2042,Bahrain,BHR,243416.851249283
2043,Bahrain,BHR,244335.193101125
2044,Bahrain,BHR,245253.534952967
2045,Bahrain,BHR,246171.876804809
2046,Bahrain,BHR,246415.894420103
2047,Bahrain,BHR,246659.912035397
2048,Bahrain,BHR,246903.92965069102
2049,Bahrain,BHR,247147.947265985
2050,Bahrain,BHR,247391.96488127898
2021,"Bahamas, The",BHS,65204.684062332
2022,"Bahamas, The",BHS,65515.199966964006
2023,"Bahamas, The",BHS,65825.715871596
2024,"Bahamas, The",BHS,66136.231776228
2025,"Bahamas, The",BHS,66446.74768086
2026,"Bahamas, The",BHS,66669.19363940001
2027,"Bahamas, The",BHS,66891.63959794
2028,"Bahamas, The",BHS,67114.08555648
2029,"Bahamas, The",BHS,67336.53151502
2030,"Bahamas, The",BHS,67558.97747356
2031,"Bahamas, The",BHS,67686.650731406
2032,"Bahamas, The",BHS,67814.323989252
2033,"Bahamas, The",BHS,67941.997247098
2034,"Bahamas, The",BHS,68069.670504944
2035,"Bahamas, The",BHS,68197.34376279
2036,"Bahamas, The",BHS,68229.86480881
2037,"Bahamas, The",BHS,68262.38585483
2038,"Bahamas, The",BHS,68294.90690085
2039,"Bahamas, The",BHS,68327.42794687
2040,"Bahamas, The",BHS,68359.94899289
2041,"Bahamas, The",BHS,68299.59576394201
2042,"Bahamas, The",BHS,68239.242534994
2043,"Bahamas, The",BHS,68178.889306046
2044,"Bahamas, The",BHS,68118.536077098
2045,"Bahamas, The",BHS,68058.18284815
2046,"Bahamas, The",BHS,67925.793626984
2047,"Bahamas, The",BHS,67793.404405818
2048,"Bahamas, The",BHS,67661.015184652
2049,"Bahamas, The",BHS,67528.62596348599
2050,"Bahamas, The",BHS,67396.23674232009
2021,Bosnia and Herzegovina,BIH,1878613.57050463
2022,Bosnia and Herzegovina,BIH,1861762.17436626
2023,Bosnia and Herzegovina,BIH,1844910.77822788
2024,Bosnia and Herzegovina,BIH,1828059.38208951
2025,Bosnia and Herzegovina,BIH,1811207.98595114
2026,Bosnia and Herzegovina,BIH,1793576.17031661
2027,Bosnia and Herzegovina,BIH,1775944.35468208
2028,Bosnia and Herzegovina,BIH,1758312.53904754
2029,Bosnia and Herzegovina,BIH,1740680.72341301
2030,Bosnia and Herzegovina,BIH,1723048.90777848
2031,Bosnia and Herzegovina,BIH,1704445.49444518
2032,Bosnia and Herzegovina,BIH,1685842.08111188
2033,Bosnia and Herzegovina,BIH,1667238.66777859
2034,Bosnia and Herzegovina,BIH,1648635.25444529
2035,Bosnia and Herzegovina,BIH,1630031.84111199
2036,Bosnia and Herzegovina,BIH,1610484.85049873
2037,Bosnia and Herzegovina,BIH,1590937.85988547
2038,Bosnia and Herzegovina,BIH,1571390.8692722
2039,Bosnia and Herzegovina,BIH,1551843.87865894
2040,Bosnia and Herzegovina,BIH,1532296.88804568
2041,Bosnia and Herzegovina,BIH,1512295.89970612
2042,Bosnia and Herzegovina,BIH,1492294.91136656
2043,Bosnia and Herzegovina,BIH,1472293.9230270002
2044,Bosnia and Herzegovina,BIH,1452292.93468744
2045,Bosnia and Herzegovina,BIH,1432291.94634788
2046,Bosnia and Herzegovina,BIH,1412173.70059198
2047,Bosnia and Herzegovina,BIH,1392055.45483608
2048,Bosnia and Herzegovina,BIH,1371937.20908018
2049,Bosnia and Herzegovina,BIH,1351818.96332429
2050,Bosnia and Herzegovina,BIH,1331700.71756839
2021,Belarus,BLR,1851992.99811127
2022,Belarus,BLR,1801960.33887548
2023,Belarus,BLR,1751927.6796396999
2024,Belarus,BLR,1701895.02040391
2025,Belarus,BLR,1651862.36116812
2026,Belarus,BLR,1603128.95749873
2027,Belarus,BLR,1554395.55382933
2028,Belarus,BLR,1505662.15015994
2029,Belarus,BLR,1456928.74649054
2030,Belarus,BLR,1408195.34282115
2031,Belarus,BLR,1361236.78780056
2032,Belarus,BLR,1314278.23277997
2033,Belarus,BLR,1267319.67775938
2034,Belarus,BLR,1220361.12273879
2035,Belarus,BLR,1173402.5677182
2036,Belarus,BLR,1128341.58161804
2037,Belarus,BLR,1083280.59551788
2038,Belarus,BLR,1038219.60941771
2039,Belarus,BLR,993158.623317553
2040,Belarus,BLR,948097.6372173909
2041,Belarus,BLR,904646.7951837371
2042,Belarus,BLR,861195.953150083
2043,Belarus,BLR,817745.1111164291
2044,Belarus,BLR,774294.2690827759
2045,Belarus,BLR,730843.427049122
2046,Belarus,BLR,688901.256971444
2047,Belarus,BLR,646959.0868937661
2048,Belarus,BLR,605016.916816088
2049,Belarus,BLR,563074.74673841
2050,Belarus,BLR,521132.576660731
2021,Belize,BLZ,198767.07851788
2022,Belize,BLZ,200633.12008551
2023,Belize,BLZ,202499.16165314
2024,Belize,BLZ,204365.20322077
2025,Belize,BLZ,206231.24478839998
2026,Belize,BLZ,207727.528651624
2027,Belize,BLZ,209223.81251484802
2028,Belize,BLZ,210720.096378072
2029,Belize,BLZ,212216.38024129602
2030,Belize,BLZ,213712.66410452
2031,Belize,BLZ,214885.828493606
2032,Belize,BLZ,216058.992882692
2033,Belize,BLZ,217232.157271778
2034,Belize,BLZ,218405.321660864
2035,Belize,BLZ,219578.48604995
2036,Belize,BLZ,220460.653571224
2037,Belize,BLZ,221342.821092498
2038,Belize,BLZ,222224.988613772
2039,Belize,BLZ,223107.156135046
2040,Belize,BLZ,223989.32365632
2041,Belize,BLZ,224578.96922887603
2042,Belize,BLZ,225168.614801432
2043,Belize,BLZ,225758.260373988
2044,Belize,BLZ,226347.905946544
2045,Belize,BLZ,226937.5515191
2046,Belize,BLZ,227246.72434577602
2047,Belize,BLZ,227555.89717245198
2048,Belize,BLZ,227865.069999128
2049,Belize,BLZ,228174.242825804
2050,Belize,BLZ,228483.41565248
2021,Bolivia,BOL,3384305.16894155
2022,Bolivia,BOL,3380622.3880197997
2023,Bolivia,BOL,3376939.60709805
2024,Bolivia,BOL,3373256.8261762997
2025,Bolivia,BOL,3369574.04525455
2026,Bolivia,BOL,3357968.1655182005
2027,Bolivia,BOL,3346362.28578185
2028,Bolivia,BOL,3334756.4060455
2029,Bolivia,BOL,3323150.52630915
2030,Bolivia,BOL,3311544.6465728
2031,Bolivia,BOL,3291964.03019362
2032,Bolivia,BOL,3272383.41381444
2033,Bolivia,BOL,3252802.79743526
2034,Bolivia,BOL,3233222.18105608
2035,Bolivia,BOL,3213641.5646769
2036,Bolivia,BOL,3186989.45763902
2037,Bolivia,BOL,3160337.35060114
2038,Bolivia,BOL,3133685.24356326
2039,Bolivia,BOL,3107033.13652538
2040,Bolivia,BOL,3080381.0294875
2041,Bolivia,BOL,3047248.34583146
2042,Bolivia,BOL,3014115.66217542
2043,Bolivia,BOL,2980982.97851938
2044,Bolivia,BOL,2947850.29486334
2045,Bolivia,BOL,2914717.6112073
2046,Bolivia,BOL,2876170.48008948
2047,Bolivia,BOL,2837623.34897166
2048,Bolivia,BOL,2799076.21785384
2049,Bolivia,BOL,2760529.08673602
2050,Bolivia,BOL,2721981.9556182004
2021,Brazil,BRA,26831355.3466616
2022,Brazil,BRA,26420008.7802682
2023,Brazil,BRA,26008662.213874802
2024,Brazil,BRA,25597315.6474814
2025,Brazil,BRA,25185969.081088
2026,Brazil,BRA,24712555.8396238
2027,Brazil,BRA,24239142.5981596
2028,Brazil,BRA,23765729.3566954
