,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_rail_passenger
312,Early-demographic dividend,EAR,2006,132.57142857142856
313,Early-demographic dividend,EAR,2007,132.57142857142856
314,Early-demographic dividend,EAR,2008,132.57142857142856
315,East Asia & Pacific,EAS,2004,132.57142857142856
316,East Asia & Pacific,EAS,2005,132.57142857142856
317,East Asia & Pacific,EAS,2006,132.57142857142856
318,East Asia & Pacific,EAS,2007,132.57142857142856
319,East Asia & Pacific,EAS,2008,132.57142857142856
320,Europe & Central Asia (excluding high income),ECA,2004,132.57142857142856
321,Europe & Central Asia (excluding high income),ECA,2005,132.57142857142856
322,Europe & Central Asia (excluding high income),ECA,2006,132.57142857142856
323,Europe & Central Asia (excluding high income),ECA,2007,132.57142857142856
324,Europe & Central Asia (excluding high income),ECA,2008,132.57142857142856
325,Europe & Central Asia,ECS,2004,132.57142857142856
326,Europe & Central Asia,ECS,2005,132.57142857142856
327,Europe & Central Asia,ECS,2006,132.57142857142856
328,Europe & Central Asia,ECS,2007,132.57142857142856
329,Europe & Central Asia,ECS,2008,132.57142857142856
330,Ecuador,ECU,2004,132.57142857142856
331,Ecuador,ECU,2005,132.57142857142856
332,Ecuador,ECU,2006,132.57142857142856
333,Ecuador,ECU,2007,132.57142857142856
334,Ecuador,ECU,2008,132.57142857142856
335,"Egypt, Arab Rep.",EGY,2004,132.57142857142856
336,"Egypt, Arab Rep.",EGY,2005,132.57142857142856
337,"Egypt, Arab Rep.",EGY,2006,132.57142857142856
338,"Egypt, Arab Rep.",EGY,2007,132.57142857142856
339,"Egypt, Arab Rep.",EGY,2008,132.57142857142856
340,Euro area,EMU,2004,132.57142857142856
341,Euro area,EMU,2005,132.57142857142856
342,Euro area,EMU,2006,132.57142857142856
343,Euro area,EMU,2007,132.57142857142856
344,Euro area,EMU,2008,132.57142857142856
345,Eritrea,ERI,2004,132.57142857142856
346,Eritrea,ERI,2005,132.57142857142856
347,Eritrea,ERI,2006,132.57142857142856
348,Eritrea,ERI,2007,132.57142857142856
349,Eritrea,ERI,2008,132.57142857142856
350,Spain,ESP,2004,204.8
351,Spain,ESP,2005,201.6
352,Spain,ESP,2006,208.0
353,Spain,ESP,2007,198.4
354,Spain,ESP,2008,198.4
355,Estonia,EST,2004,204.8
356,Estonia,EST,2005,201.6
357,Estonia,EST,2006,208.0
358,Estonia,EST,2007,198.4
359,Estonia,EST,2008,198.4
360,Ethiopia,ETH,2004,132.57142857142856
361,Ethiopia,ETH,2005,132.57142857142856
362,Ethiopia,ETH,2006,132.57142857142856
363,Ethiopia,ETH,2007,132.57142857142856
364,Ethiopia,ETH,2008,132.57142857142856
365,European Union,EUU,2004,132.57142857142856
366,European Union,EUU,2005,132.57142857142856
367,European Union,EUU,2006,132.57142857142856
368,European Union,EUU,2007,132.57142857142856
369,European Union,EUU,2008,132.57142857142856
370,Fragile and conflict affected situations,FCS,2004,132.57142857142856
371,Fragile and conflict affected situations,FCS,2005,132.57142857142856
372,Fragile and conflict affected situations,FCS,2006,132.57142857142856
373,Fragile and conflict affected situations,FCS,2007,132.57142857142856
374,Fragile and conflict affected situations,FCS,2008,132.57142857142856
375,Finland,FIN,2004,132.57142857142856
376,Finland,FIN,2005,132.57142857142856
377,Finland,FIN,2006,132.57142857142856
378,Finland,FIN,2007,132.57142857142856
379,Finland,FIN,2008,132.57142857142856
380,Fiji,FJI,2004,132.57142857142856
381,Fiji,FJI,2005,132.57142857142856
382,Fiji,FJI,2006,132.57142857142856
383,Fiji,FJI,2007,132.57142857142856
384,Fiji,FJI,2008,132.57142857142856
385,France,FRA,2004,132.57142857142856
386,France,FRA,2005,132.57142857142856
387,France,FRA,2006,132.57142857142856
388,France,FRA,2007,132.57142857142856
389,France,FRA,2008,132.57142857142856
390,Faroe Islands,FRO,2004,132.57142857142856
391,Faroe Islands,FRO,2005,132.57142857142856
392,Faroe Islands,FRO,2006,132.57142857142856
393,Faroe Islands,FRO,2007,132.57142857142856
394,Faroe Islands,FRO,2008,132.57142857142856
395,"Micronesia, Fed. Sts.",FSM,2004,132.57142857142856
396,"Micronesia, Fed. Sts.",FSM,2005,132.57142857142856
397,"Micronesia, Fed. Sts.",FSM,2006,132.57142857142856
398,"Micronesia, Fed. Sts.",FSM,2007,132.57142857142856
399,"Micronesia, Fed. Sts.",FSM,2008,132.57142857142856
400,Gabon,GAB,2004,132.57142857142856
401,Gabon,GAB,2005,132.57142857142856
402,Gabon,GAB,2006,132.57142857142856
403,Gabon,GAB,2007,132.57142857142856
404,Gabon,GAB,2008,132.57142857142856
405,United Kingdom,GBR,2004,132.57142857142856
406,United Kingdom,GBR,2005,132.57142857142856
407,United Kingdom,GBR,2006,132.57142857142856
408,United Kingdom,GBR,2007,132.57142857142856
409,United Kingdom,GBR,2008,132.57142857142856
410,Georgia,GEO,2004,132.57142857142856
411,Georgia,GEO,2005,132.57142857142856
412,Georgia,GEO,2006,132.57142857142856
413,Georgia,GEO,2007,132.57142857142856
414,Georgia,GEO,2008,132.57142857142856
415,Ghana,GHA,2004,132.57142857142856
416,Ghana,GHA,2005,132.57142857142856
417,Ghana,GHA,2006,132.57142857142856
418,Ghana,GHA,2007,132.57142857142856
419,Ghana,GHA,2008,132.57142857142856
420,Gibraltar,GIB,2004,132.57142857142856
421,Gibraltar,GIB,2005,132.57142857142856
422,Gibraltar,GIB,2006,132.57142857142856
423,Gibraltar,GIB,2007,132.57142857142856
424,Gibraltar,GIB,2008,132.57142857142856
425,Guinea,GIN,2004,132.57142857142856
426,Guinea,GIN,2005,132.57142857142856
427,Guinea,GIN,2006,132.57142857142856
428,Guinea,GIN,2007,132.57142857142856
429,Guinea,GIN,2008,132.57142857142856
430,"Gambia, The",GMB,2004,132.57142857142856
431,"Gambia, The",GMB,2005,132.57142857142856
432,"Gambia, The",GMB,2006,132.57142857142856
433,"Gambia, The",GMB,2007,132.57142857142856
434,"Gambia, The",GMB,2008,132.57142857142856
435,Guinea-Bissau,GNB,2004,132.57142857142856
436,Guinea-Bissau,GNB,2005,132.57142857142856
437,Guinea-Bissau,GNB,2006,132.57142857142856
438,Guinea-Bissau,GNB,2007,132.57142857142856
439,Guinea-Bissau,GNB,2008,132.57142857142856
440,Equatorial Guinea,GNQ,2004,132.57142857142856
441,Equatorial Guinea,GNQ,2005,132.57142857142856
442,Equatorial Guinea,GNQ,2006,132.57142857142856
443,Equatorial Guinea,GNQ,2007,132.57142857142856
444,Equatorial Guinea,GNQ,2008,132.57142857142856
445,Greece,GRC,2004,132.57142857142856
446,Greece,GRC,2005,132.57142857142856
447,Greece,GRC,2006,132.57142857142856
448,Greece,GRC,2007,132.57142857142856
449,Greece,GRC,2008,132.57142857142856
450,Grenada,GRD,2004,132.57142857142856
451,Grenada,GRD,2005,132.57142857142856
452,Grenada,GRD,2006,132.57142857142856
