iso_code3,Nation,pop_lvst_initial_cattle_nondairy,Year
DZA,Algeria,1738340,2039
DZA,Algeria,1738340,2040
DZA,Algeria,1738340,2041
DZA,Algeria,1738340,2042
DZA,Algeria,1738340,2043
DZA,Algeria,1738340,2044
DZA,Algeria,1738340,2045
DZA,Algeria,1738340,2046
DZA,Algeria,1738340,2047
DZA,Algeria,1738340,2048
DZA,Algeria,1738340,2049
DZA,Algeria,1738340,2050
AGO,Angola,5255925,2023
AGO,Angola,5255925,2024
AGO,Angola,5255925,2025
AGO,Angola,5255925,2026
AGO,Angola,5255925,2027
AGO,Angola,5255925,2028
AGO,Angola,5255925,2029
AGO,Angola,5255925,2030
AGO,Angola,5255925,2031
AGO,Angola,5255925,2032
AGO,Angola,5255925,2033
AGO,Angola,5255925,2034
AGO,Angola,5255925,2035
AGO,Angola,5255925,2036
AGO,Angola,5255925,2037
AGO,Angola,5255925,2038
AGO,Angola,5255925,2039
AGO,Angola,5255925,2040
AGO,Angola,5255925,2041
AGO,Angola,5255925,2042
AGO,Angola,5255925,2043
AGO,Angola,5255925,2044
AGO,Angola,5255925,2045
AGO,Angola,5255925,2046
AGO,Angola,5255925,2047
AGO,Angola,5255925,2048
AGO,Angola,5255925,2049
AGO,Angola,5255925,2050
ATG,Antigua and Barbuda,3257,2023
ATG,Antigua and Barbuda,3257,2024
ATG,Antigua and Barbuda,3257,2025
ATG,Antigua and Barbuda,3257,2026
ATG,Antigua and Barbuda,3257,2027
ATG,Antigua and Barbuda,3257,2028
ATG,Antigua and Barbuda,3257,2029
ATG,Antigua and Barbuda,3257,2030
ATG,Antigua and Barbuda,3257,2031
ATG,Antigua and Barbuda,3257,2032
ATG,Antigua and Barbuda,3257,2033
ATG,Antigua and Barbuda,3257,2034
ATG,Antigua and Barbuda,3257,2035
ATG,Antigua and Barbuda,3257,2036
ATG,Antigua and Barbuda,3257,2037
ATG,Antigua and Barbuda,3257,2038
ATG,Antigua and Barbuda,3257,2039
ATG,Antigua and Barbuda,3257,2040
ATG,Antigua and Barbuda,3257,2041
ATG,Antigua and Barbuda,3257,2042
ATG,Antigua and Barbuda,3257,2043
ATG,Antigua and Barbuda,3257,2044
ATG,Antigua and Barbuda,3257,2045
ATG,Antigua and Barbuda,3257,2046
ATG,Antigua and Barbuda,3257,2047
ATG,Antigua and Barbuda,3257,2048
ATG,Antigua and Barbuda,3257,2049
ATG,Antigua and Barbuda,3257,2050
ARG,Argentina,54242595,2023
ARG,Argentina,54242595,2024
ARG,Argentina,54242595,2025
ARG,Argentina,54242595,2026
ARG,Argentina,54242595,2027
ARG,Argentina,54242595,2028
ARG,Argentina,54242595,2029
ARG,Argentina,54242595,2030
ARG,Argentina,54242595,2031
ARG,Argentina,54242595,2032
ARG,Argentina,54242595,2033
ARG,Argentina,54242595,2034
ARG,Argentina,54242595,2035
ARG,Argentina,54242595,2036
ARG,Argentina,54242595,2037
ARG,Argentina,54242595,2038
ARG,Argentina,54242595,2039
ARG,Argentina,54242595,2040
ARG,Argentina,54242595,2041
ARG,Argentina,54242595,2042
ARG,Argentina,54242595,2043
ARG,Argentina,54242595,2044
ARG,Argentina,54242595,2045
ARG,Argentina,54242595,2046
ARG,Argentina,54242595,2047
ARG,Argentina,54242595,2048
ARG,Argentina,54242595,2049
ARG,Argentina,54242595,2050
ARM,Armenia,559627,2023
ARM,Armenia,559627,2024
ARM,Armenia,559627,2025
ARM,Armenia,559627,2026
ARM,Armenia,559627,2027
ARM,Armenia,559627,2028
ARM,Armenia,559627,2029
ARM,Armenia,559627,2030
ARM,Armenia,559627,2031
ARM,Armenia,559627,2032
ARM,Armenia,559627,2033
ARM,Armenia,559627,2034
ARM,Armenia,559627,2035
ARM,Armenia,559627,2036
ARM,Armenia,559627,2037
ARM,Armenia,559627,2038
ARM,Armenia,559627,2039
ARM,Armenia,559627,2040
ARM,Armenia,559627,2041
ARM,Armenia,559627,2042
ARM,Armenia,559627,2043
ARM,Armenia,559627,2044
ARM,Armenia,559627,2045
ARM,Armenia,559627,2046
ARM,Armenia,559627,2047
ARM,Armenia,559627,2048
ARM,Armenia,559627,2049
ARM,Armenia,559627,2050
AUS,Australia,24398826,2023
AUS,Australia,24398826,2024
AUS,Australia,24398826,2025
AUS,Australia,24398826,2026
AUS,Australia,24398826,2027
AUS,Australia,24398826,2028
AUS,Australia,24398826,2029
AUS,Australia,24398826,2030
AUS,Australia,24398826,2031
AUS,Australia,24398826,2032
AUS,Australia,24398826,2033
AUS,Australia,24398826,2034
AUS,Australia,24398826,2035
AUS,Australia,24398826,2036
AUS,Australia,24398826,2037
AUS,Australia,24398826,2038
AUS,Australia,24398826,2039
AUS,Australia,24398826,2040
AUS,Australia,24398826,2041
AUS,Australia,24398826,2042
AUS,Australia,24398826,2043
AUS,Australia,24398826,2044
AUS,Australia,24398826,2045
AUS,Australia,24398826,2046
AUS,Australia,24398826,2047
AUS,Australia,24398826,2048
AUS,Australia,24398826,2049
AUS,Australia,24398826,2050
AUT,Austria,1861070,2023
AUT,Austria,1861070,2024
AUT,Austria,1861070,2025
AUT,Austria,1861070,2026
AUT,Austria,1861070,2027
AUT,Austria,1861070,2028
AUT,Austria,1861070,2029
AUT,Austria,1861070,2030
AUT,Austria,1861070,2031
AUT,Austria,1861070,2032
AUT,Austria,1861070,2033
AUT,Austria,1861070,2034
AUT,Austria,1861070,2035
AUT,Austria,1861070,2036
AUT,Austria,1861070,2037
AUT,Austria,1861070,2038
AUT,Austria,1861070,2039
AUT,Austria,1861070,2040
AUT,Austria,1861070,2041
AUT,Austria,1861070,2042
AUT,Austria,1861070,2043
AUT,Austria,1861070,2044
AUT,Austria,1861070,2045
AUT,Austria,1861070,2046
AUT,Austria,1861070,2047
AUT,Austria,1861070,2048
AUT,Austria,1861070,2049
AUT,Austria,1861070,2050
AZE,Azerbaijan,2498179,2023
AZE,Azerbaijan,2498179,2024
AZE,Azerbaijan,2498179,2025
AZE,Azerbaijan,2498179,2026
AZE,Azerbaijan,2498179,2027
AZE,Azerbaijan,2498179,2028
AZE,Azerbaijan,2498179,2029
AZE,Azerbaijan,2498179,2030
AZE,Azerbaijan,2498179,2031
AZE,Azerbaijan,2498179,2032
AZE,Azerbaijan,2498179,2033
AZE,Azerbaijan,2498179,2034
AZE,Azerbaijan,2498179,2035
AZE,Azerbaijan,2498179,2036
AZE,Azerbaijan,2498179,2037
AZE,Azerbaijan,2498179,2038
AZE,Azerbaijan,2498179,2039
AZE,Azerbaijan,2498179,2040
AZE,Azerbaijan,2498179,2041
AZE,Azerbaijan,2498179,2042
AZE,Azerbaijan,2498179,2043
AZE,Azerbaijan,2498179,2044
AZE,Azerbaijan,2498179,2045
AZE,Azerbaijan,2498179,2046
AZE,Azerbaijan,2498179,2047
AZE,Azerbaijan,2498179,2048
AZE,Azerbaijan,2498179,2049
AZE,Azerbaijan,2498179,2050
BHS,Bahamas,742,2023
BHS,Bahamas,742,2024
BHS,Bahamas,742,2025
BHS,Bahamas,742,2026
BHS,Bahamas,742,2027
BHS,Bahamas,742,2028
BHS,Bahamas,742,2029
BHS,Bahamas,742,2030
BHS,Bahamas,742,2031
BHS,Bahamas,742,2032
BHS,Bahamas,742,2033
BHS,Bahamas,742,2034
BHS,Bahamas,742,2035
BHS,Bahamas,742,2036
BHS,Bahamas,742,2037
BHS,Bahamas,742,2038
BHS,Bahamas,742,2039
BHS,Bahamas,742,2040
BHS,Bahamas,742,2041
BHS,Bahamas,742,2042
BHS,Bahamas,742,2043
BHS,Bahamas,742,2044
BHS,Bahamas,742,2045
BHS,Bahamas,742,2046
BHS,Bahamas,742,2047
BHS,Bahamas,742,2048
BHS,Bahamas,742,2049
BHS,Bahamas,742,2050
BHR,Bahrain,7200,2023
BHR,Bahrain,7200,2024
BHR,Bahrain,7200,2025
BHR,Bahrain,7200,2026
BHR,Bahrain,7200,2027
BHR,Bahrain,7200,2028
BHR,Bahrain,7200,2029
BHR,Bahrain,7200,2030
BHR,Bahrain,7200,2031
BHR,Bahrain,7200,2032
BHR,Bahrain,7200,2033
BHR,Bahrain,7200,2034
BHR,Bahrain,7200,2035
BHR,Bahrain,7200,2036
BHR,Bahrain,7200,2037
BHR,Bahrain,7200,2038
BHR,Bahrain,7200,2039
BHR,Bahrain,7200,2040
BHR,Bahrain,7200,2041
BHR,Bahrain,7200,2042
BHR,Bahrain,7200,2043
BHR,Bahrain,7200,2044
BHR,Bahrain,7200,2045
BHR,Bahrain,7200,2046
BHR,Bahrain,7200,2047
BHR,Bahrain,7200,2048
BHR,Bahrain,7200,2049
BHR,Bahrain,7200,2050
BGD,Bangladesh,24700000,2023
BGD,Bangladesh,24700000,2024
BGD,Bangladesh,24700000,2025
BGD,Bangladesh,24700000,2026
BGD,Bangladesh,24700000,2027
BGD,Bangladesh,24700000,2028
BGD,Bangladesh,24700000,2029
BGD,Bangladesh,24700000,2030
BGD,Bangladesh,24700000,2031
BGD,Bangladesh,24700000,2032
BGD,Bangladesh,24700000,2033
BGD,Bangladesh,24700000,2034
BGD,Bangladesh,24700000,2035
BGD,Bangladesh,24700000,2036
BGD,Bangladesh,24700000,2037
BGD,Bangladesh,24700000,2038
BGD,Bangladesh,24700000,2039
BGD,Bangladesh,24700000,2040
BGD,Bangladesh,24700000,2041
BGD,Bangladesh,24700000,2042
BGD,Bangladesh,24700000,2043
BGD,Bangladesh,24700000,2044
BGD,Bangladesh,24700000,2045
BGD,Bangladesh,24700000,2046
BGD,Bangladesh,24700000,2047
BGD,Bangladesh,24700000,2048
BGD,Bangladesh,24700000,2049
BGD,Bangladesh,24700000,2050
BRB,Barbados,12239,2023
BRB,Barbados,12239,2024
BRB,Barbados,12239,2025
BRB,Barbados,12239,2026
BRB,Barbados,12239,2027
BRB,Barbados,12239,2028
BRB,Barbados,12239,2029
BRB,Barbados,12239,2030
BRB,Barbados,12239,2031
BRB,Barbados,12239,2032
BRB,Barbados,12239,2033
BRB,Barbados,12239,2034
BRB,Barbados,12239,2035
BRB,Barbados,12239,2036
BRB,Barbados,12239,2037
BRB,Barbados,12239,2038
BRB,Barbados,12239,2039
BRB,Barbados,12239,2040
BRB,Barbados,12239,2041
BRB,Barbados,12239,2042
BRB,Barbados,12239,2043
BRB,Barbados,12239,2044
BRB,Barbados,12239,2045
BRB,Barbados,12239,2046
BRB,Barbados,12239,2047
BRB,Barbados,12239,2048
BRB,Barbados,12239,2049
BRB,Barbados,12239,2050
BLR,Belarus,4209300,2023
BLR,Belarus,4209300,2024
BLR,Belarus,4209300,2025
BLR,Belarus,4209300,2026
BLR,Belarus,4209300,2027
BLR,Belarus,4209300,2028
BLR,Belarus,4209300,2029
BLR,Belarus,4209300,2030
BLR,Belarus,4209300,2031
BLR,Belarus,4209300,2032
BLR,Belarus,4209300,2033
BLR,Belarus,4209300,2034
BLR,Belarus,4209300,2035
BLR,Belarus,4209300,2036
BLR,Belarus,4209300,2037
BLR,Belarus,4209300,2038
BLR,Belarus,4209300,2039
BLR,Belarus,4209300,2040
BLR,Belarus,4209300,2041
BLR,Belarus,4209300,2042
BLR,Belarus,4209300,2043
BLR,Belarus,4209300,2044
BLR,Belarus,4209300,2045
BLR,Belarus,4209300,2046
BLR,Belarus,4209300,2047
BLR,Belarus,4209300,2048
BLR,Belarus,4209300,2049
BLR,Belarus,4209300,2050
BEL,Belgium,2286110,2023
BEL,Belgium,2286110,2024
BEL,Belgium,2286110,2025
BEL,Belgium,2286110,2026
BEL,Belgium,2286110,2027
BEL,Belgium,2286110,2028
BEL,Belgium,2286110,2029
BEL,Belgium,2286110,2030
BEL,Belgium,2286110,2031
BEL,Belgium,2286110,2032
BEL,Belgium,2286110,2033
BEL,Belgium,2286110,2034
BEL,Belgium,2286110,2035
BEL,Belgium,2286110,2036
BEL,Belgium,2286110,2037
BEL,Belgium,2286110,2038
BEL,Belgium,2286110,2039
BEL,Belgium,2286110,2040
BEL,Belgium,2286110,2041
BEL,Belgium,2286110,2042
BEL,Belgium,2286110,2043
BEL,Belgium,2286110,2044
BEL,Belgium,2286110,2045
BEL,Belgium,2286110,2046
BEL,Belgium,2286110,2047
BEL,Belgium,2286110,2048
BEL,Belgium,2286110,2049
BEL,Belgium,2286110,2050
BLZ,Belize,104785,2023
BLZ,Belize,104785,2024
BLZ,Belize,104785,2025
BLZ,Belize,104785,2026
BLZ,Belize,104785,2027
BLZ,Belize,104785,2028
BLZ,Belize,104785,2029
BLZ,Belize,104785,2030
BLZ,Belize,104785,2031
BLZ,Belize,104785,2032
BLZ,Belize,104785,2033
BLZ,Belize,104785,2034
BLZ,Belize,104785,2035
BLZ,Belize,104785,2036
BLZ,Belize,104785,2037
BLZ,Belize,104785,2038
BLZ,Belize,104785,2039
BLZ,Belize,104785,2040
BLZ,Belize,104785,2041
BLZ,Belize,104785,2042
BLZ,Belize,104785,2043
BLZ,Belize,104785,2044
BLZ,Belize,104785,2045
BLZ,Belize,104785,2046
BLZ,Belize,104785,2047
BLZ,Belize,104785,2048
BLZ,Belize,104785,2049
BLZ,Belize,104785,2050
BEN,Benin,2313666,2023
BEN,Benin,2313666,2024
BEN,Benin,2313666,2025
BEN,Benin,2313666,2026
BEN,Benin,2313666,2027
BEN,Benin,2313666,2028
BEN,Benin,2313666,2029
BEN,Benin,2313666,2030
BEN,Benin,2313666,2031
BEN,Benin,2313666,2032
BEN,Benin,2313666,2033
BEN,Benin,2313666,2034
BEN,Benin,2313666,2035
BEN,Benin,2313666,2036
BEN,Benin,2313666,2037
BEN,Benin,2313666,2038
BEN,Benin,2313666,2039
BEN,Benin,2313666,2040
BEN,Benin,2313666,2041
BEN,Benin,2313666,2042
BEN,Benin,2313666,2043
BEN,Benin,2313666,2044
BEN,Benin,2313666,2045
BEN,Benin,2313666,2046
BEN,Benin,2313666,2047
BEN,Benin,2313666,2048
BEN,Benin,2313666,2049
BEN,Benin,2313666,2050
BTN,Bhutan,254897,2023
BTN,Bhutan,254897,2024
BTN,Bhutan,254897,2025
BTN,Bhutan,254897,2026
BTN,Bhutan,254897,2027
BTN,Bhutan,254897,2028
BTN,Bhutan,254897,2029
BTN,Bhutan,254897,2030
BTN,Bhutan,254897,2031
BTN,Bhutan,254897,2032
BTN,Bhutan,254897,2033
BTN,Bhutan,254897,2034
BTN,Bhutan,254897,2035
BTN,Bhutan,254897,2036
BTN,Bhutan,254897,2037
BTN,Bhutan,254897,2038
BTN,Bhutan,254897,2039
BTN,Bhutan,254897,2040
BTN,Bhutan,254897,2041
BTN,Bhutan,254897,2042
BTN,Bhutan,254897,2043
BTN,Bhutan,254897,2044
BTN,Bhutan,254897,2045
BTN,Bhutan,254897,2046
BTN,Bhutan,254897,2047
BTN,Bhutan,254897,2048
BTN,Bhutan,254897,2049
BTN,Bhutan,254897,2050
BOL,Bolivia (Plurinational State of),10739448,2023
BOL,Bolivia (Plurinational State of),10739448,2024
BOL,Bolivia (Plurinational State of),10739448,2025
BOL,Bolivia (Plurinational State of),10739448,2026
BOL,Bolivia (Plurinational State of),10739448,2027
BOL,Bolivia (Plurinational State of),10739448,2028
BOL,Bolivia (Plurinational State of),10739448,2029
BOL,Bolivia (Plurinational State of),10739448,2030
BOL,Bolivia (Plurinational State of),10739448,2031
BOL,Bolivia (Plurinational State of),10739448,2032
BOL,Bolivia (Plurinational State of),10739448,2033
BOL,Bolivia (Plurinational State of),10739448,2034
BOL,Bolivia (Plurinational State of),10739448,2035
BOL,Bolivia (Plurinational State of),10739448,2036
BOL,Bolivia (Plurinational State of),10739448,2037
BOL,Bolivia (Plurinational State of),10739448,2038
BOL,Bolivia (Plurinational State of),10739448,2039
BOL,Bolivia (Plurinational State of),10739448,2040
BOL,Bolivia (Plurinational State of),10739448,2041
BOL,Bolivia (Plurinational State of),10739448,2042
BOL,Bolivia (Plurinational State of),10739448,2043
BOL,Bolivia (Plurinational State of),10739448,2044
BOL,Bolivia (Plurinational State of),10739448,2045
BOL,Bolivia (Plurinational State of),10739448,2046
BOL,Bolivia (Plurinational State of),10739448,2047
BOL,Bolivia (Plurinational State of),10739448,2048
BOL,Bolivia (Plurinational State of),10739448,2049
BOL,Bolivia (Plurinational State of),10739448,2050
BIH,Bosnia and Herzegovina,339169,2023
BIH,Bosnia and Herzegovina,339169,2024
BIH,Bosnia and Herzegovina,339169,2025
BIH,Bosnia and Herzegovina,339169,2026
BIH,Bosnia and Herzegovina,339169,2027
BIH,Bosnia and Herzegovina,339169,2028
BIH,Bosnia and Herzegovina,339169,2029
BIH,Bosnia and Herzegovina,339169,2030
BIH,Bosnia and Herzegovina,339169,2031
BIH,Bosnia and Herzegovina,339169,2032
BIH,Bosnia and Herzegovina,339169,2033
BIH,Bosnia and Herzegovina,339169,2034
BIH,Bosnia and Herzegovina,339169,2035
BIH,Bosnia and Herzegovina,339169,2036
BIH,Bosnia and Herzegovina,339169,2037
BIH,Bosnia and Herzegovina,339169,2038
BIH,Bosnia and Herzegovina,339169,2039
BIH,Bosnia and Herzegovina,339169,2040
BIH,Bosnia and Herzegovina,339169,2041
BIH,Bosnia and Herzegovina,339169,2042
BIH,Bosnia and Herzegovina,339169,2043
BIH,Bosnia and Herzegovina,339169,2044
BIH,Bosnia and Herzegovina,339169,2045
BIH,Bosnia and Herzegovina,339169,2046
BIH,Bosnia and Herzegovina,339169,2047
BIH,Bosnia and Herzegovina,339169,2048
BIH,Bosnia and Herzegovina,339169,2049
BIH,Bosnia and Herzegovina,339169,2050
BWA,Botswana,1002119,2023
BWA,Botswana,1002119,2024
BWA,Botswana,1002119,2025
BWA,Botswana,1002119,2026
BWA,Botswana,1002119,2027
BWA,Botswana,1002119,2028
BWA,Botswana,1002119,2029
BWA,Botswana,1002119,2030
BWA,Botswana,1002119,2031
BWA,Botswana,1002119,2032
BWA,Botswana,1002119,2033
BWA,Botswana,1002119,2034
BWA,Botswana,1002119,2035
BWA,Botswana,1002119,2036
BWA,Botswana,1002119,2037
BWA,Botswana,1002119,2038
BWA,Botswana,1002119,2039
BWA,Botswana,1002119,2040
BWA,Botswana,1002119,2041
BWA,Botswana,1002119,2042
BWA,Botswana,1002119,2043
BWA,Botswana,1002119,2044
BWA,Botswana,1002119,2045
BWA,Botswana,1002119,2046
BWA,Botswana,1002119,2047
BWA,Botswana,1002119,2048
BWA,Botswana,1002119,2049
BWA,Botswana,1002119,2050
BRA,Brazil,234352649,2023
BRA,Brazil,234352649,2024
BRA,Brazil,234352649,2025
BRA,Brazil,234352649,2026
BRA,Brazil,234352649,2027
BRA,Brazil,234352649,2028
BRA,Brazil,234352649,2029
BRA,Brazil,234352649,2030
BRA,Brazil,234352649,2031
BRA,Brazil,234352649,2032
BRA,Brazil,234352649,2033
BRA,Brazil,234352649,2034
BRA,Brazil,234352649,2035
BRA,Brazil,234352649,2036
BRA,Brazil,234352649,2037
BRA,Brazil,234352649,2038
BRA,Brazil,234352649,2039
BRA,Brazil,234352649,2040
BRA,Brazil,234352649,2041
BRA,Brazil,234352649,2042
BRA,Brazil,234352649,2043
BRA,Brazil,234352649,2044
BRA,Brazil,234352649,2045
BRA,Brazil,234352649,2046
BRA,Brazil,234352649,2047
BRA,Brazil,234352649,2048
BRA,Brazil,234352649,2049
BRA,Brazil,234352649,2050
BRN,Brunei Darussalam,367,2023
BRN,Brunei Darussalam,367,2024
BRN,Brunei Darussalam,367,2025
BRN,Brunei Darussalam,367,2026
BRN,Brunei Darussalam,367,2027
BRN,Brunei Darussalam,367,2028
BRN,Brunei Darussalam,367,2029
BRN,Brunei Darussalam,367,2030
BRN,Brunei Darussalam,367,2031
BRN,Brunei Darussalam,367,2032
BRN,Brunei Darussalam,367,2033
BRN,Brunei Darussalam,367,2034
BRN,Brunei Darussalam,367,2035
BRN,Brunei Darussalam,367,2036
BRN,Brunei Darussalam,367,2037
BRN,Brunei Darussalam,367,2038
BRN,Brunei Darussalam,367,2039
BRN,Brunei Darussalam,367,2040
BRN,Brunei Darussalam,367,2041
BRN,Brunei Darussalam,367,2042
BRN,Brunei Darussalam,367,2043
BRN,Brunei Darussalam,367,2044
BRN,Brunei Darussalam,367,2045
BRN,Brunei Darussalam,367,2046
BRN,Brunei Darussalam,367,2047
BRN,Brunei Darussalam,367,2048
BRN,Brunei Darussalam,367,2049
BRN,Brunei Darussalam,367,2050
BGR,Bulgaria,579860,2023
BGR,Bulgaria,579860,2024
BGR,Bulgaria,579860,2025
BGR,Bulgaria,579860,2026
BGR,Bulgaria,579860,2027
BGR,Bulgaria,579860,2028
BGR,Bulgaria,579860,2029
BGR,Bulgaria,579860,2030
BGR,Bulgaria,579860,2031
BGR,Bulgaria,579860,2032
BGR,Bulgaria,579860,2033
BGR,Bulgaria,579860,2034
BGR,Bulgaria,579860,2035
BGR,Bulgaria,579860,2036
BGR,Bulgaria,579860,2037
BGR,Bulgaria,579860,2038
BGR,Bulgaria,579860,2039
BGR,Bulgaria,579860,2040
BGR,Bulgaria,579860,2041
BGR,Bulgaria,579860,2042
BGR,Bulgaria,579860,2043
BGR,Bulgaria,579860,2044
BGR,Bulgaria,579860,2045
BGR,Bulgaria,579860,2046
BGR,Bulgaria,579860,2047
BGR,Bulgaria,579860,2048
BGR,Bulgaria,579860,2049
BGR,Bulgaria,579860,2050
BFA,Burkina Faso,10098518,2023
BFA,Burkina Faso,10098518,2024
BFA,Burkina Faso,10098518,2025
BFA,Burkina Faso,10098518,2026
BFA,Burkina Faso,10098518,2027
BFA,Burkina Faso,10098518,2028
BFA,Burkina Faso,10098518,2029
BFA,Burkina Faso,10098518,2030
BFA,Burkina Faso,10098518,2031
BFA,Burkina Faso,10098518,2032
BFA,Burkina Faso,10098518,2033
BFA,Burkina Faso,10098518,2034
BFA,Burkina Faso,10098518,2035
BFA,Burkina Faso,10098518,2036
BFA,Burkina Faso,10098518,2037
BFA,Burkina Faso,10098518,2038
BFA,Burkina Faso,10098518,2039
BFA,Burkina Faso,10098518,2040
BFA,Burkina Faso,10098518,2041
BFA,Burkina Faso,10098518,2042
BFA,Burkina Faso,10098518,2043
BFA,Burkina Faso,10098518,2044
BFA,Burkina Faso,10098518,2045
BFA,Burkina Faso,10098518,2046
BFA,Burkina Faso,10098518,2047
BFA,Burkina Faso,10098518,2048
BFA,Burkina Faso,10098518,2049
BFA,Burkina Faso,10098518,2050
BDI,Burundi,1028926,2023
BDI,Burundi,1028926,2024
BDI,Burundi,1028926,2025
BDI,Burundi,1028926,2026
BDI,Burundi,1028926,2027
BDI,Burundi,1028926,2028
BDI,Burundi,1028926,2029
BDI,Burundi,1028926,2030
BDI,Burundi,1028926,2031
BDI,Burundi,1028926,2032
BDI,Burundi,1028926,2033
BDI,Burundi,1028926,2034
BDI,Burundi,1028926,2035
BDI,Burundi,1028926,2036
BDI,Burundi,1028926,2037
BDI,Burundi,1028926,2038
BDI,Burundi,1028926,2039
BDI,Burundi,1028926,2040
BDI,Burundi,1028926,2041
BDI,Burundi,1028926,2042
BDI,Burundi,1028926,2043
BDI,Burundi,1028926,2044
BDI,Burundi,1028926,2045
BDI,Burundi,1028926,2046
BDI,Burundi,1028926,2047
BDI,Burundi,1028926,2048
BDI,Burundi,1028926,2049
BDI,Burundi,1028926,2050
CPV,Cabo Verde,29649,2023
CPV,Cabo Verde,29649,2024
CPV,Cabo Verde,29649,2025
CPV,Cabo Verde,29649,2026
CPV,Cabo Verde,29649,2027
CPV,Cabo Verde,29649,2028
CPV,Cabo Verde,29649,2029
CPV,Cabo Verde,29649,2030
CPV,Cabo Verde,29649,2031
CPV,Cabo Verde,29649,2032
CPV,Cabo Verde,29649,2033
CPV,Cabo Verde,29649,2034
CPV,Cabo Verde,29649,2035
CPV,Cabo Verde,29649,2036
CPV,Cabo Verde,29649,2037
CPV,Cabo Verde,29649,2038
CPV,Cabo Verde,29649,2039
CPV,Cabo Verde,29649,2040
CPV,Cabo Verde,29649,2041
CPV,Cabo Verde,29649,2042
CPV,Cabo Verde,29649,2043
CPV,Cabo Verde,29649,2044
CPV,Cabo Verde,29649,2045
CPV,Cabo Verde,29649,2046
CPV,Cabo Verde,29649,2047
CPV,Cabo Verde,29649,2048
CPV,Cabo Verde,29649,2049
CPV,Cabo Verde,29649,2050
KHM,Cambodia,2769078,2023
KHM,Cambodia,2769078,2024
KHM,Cambodia,2769078,2025
KHM,Cambodia,2769078,2026
KHM,Cambodia,2769078,2027
KHM,Cambodia,2769078,2028
KHM,Cambodia,2769078,2029
KHM,Cambodia,2769078,2030
KHM,Cambodia,2769078,2031
KHM,Cambodia,2769078,2032
KHM,Cambodia,2769078,2033
KHM,Cambodia,2769078,2034
KHM,Cambodia,2769078,2035
KHM,Cambodia,2769078,2036
KHM,Cambodia,2769078,2037
KHM,Cambodia,2769078,2038
KHM,Cambodia,2769078,2039
KHM,Cambodia,2769078,2040
KHM,Cambodia,2769078,2041
KHM,Cambodia,2769078,2042
KHM,Cambodia,2769078,2043
KHM,Cambodia,2769078,2044
KHM,Cambodia,2769078,2045
KHM,Cambodia,2769078,2046
KHM,Cambodia,2769078,2047
KHM,Cambodia,2769078,2048
KHM,Cambodia,2769078,2049
KHM,Cambodia,2769078,2050
CMR,Cameroon,6041029,2023
CMR,Cameroon,6041029,2024
CMR,Cameroon,6041029,2025
CMR,Cameroon,6041029,2026
CMR,Cameroon,6041029,2027
CMR,Cameroon,6041029,2028
CMR,Cameroon,6041029,2029
CMR,Cameroon,6041029,2030
CMR,Cameroon,6041029,2031
