"iso_code3","frac_waso_initial_composition_mun_paper","Year"
"AND",0.351,2029
"AND",0.351,2030
"AND",0.351,2031
"AND",0.351,2032
"AND",0.351,2033
"AND",0.351,2034
"AND",0.351,2035
"AND",0.351,2036
"AND",0.351,2037
"AND",0.351,2038
"AND",0.351,2039
"AND",0.351,2040
"AND",0.351,2041
"AND",0.351,2042
"AND",0.351,2043
"AND",0.351,2044
"AND",0.351,2045
"AND",0.351,2046
"AND",0.351,2047
"AND",0.351,2048
"AND",0.351,2049
"AND",0.351,2050
"ARE",0.25,2021
"ARE",0.25,2022
"ARE",0.25,2023
"ARE",0.25,2024
"ARE",0.25,2025
"ARE",0.25,2026
"ARE",0.25,2027
"ARE",0.25,2028
"ARE",0.25,2029
"ARE",0.25,2030
"ARE",0.25,2031
"ARE",0.25,2032
"ARE",0.25,2033
"ARE",0.25,2034
"ARE",0.25,2035
"ARE",0.25,2036
"ARE",0.25,2037
"ARE",0.25,2038
"ARE",0.25,2039
"ARE",0.25,2040
"ARE",0.25,2041
"ARE",0.25,2042
"ARE",0.25,2043
"ARE",0.25,2044
"ARE",0.25,2045
"ARE",0.25,2046
"ARE",0.25,2047
"ARE",0.25,2048
"ARE",0.25,2049
"ARE",0.25,2050
"ARG",0.1396,2021
"ARG",0.1396,2022
"ARG",0.1396,2023
"ARG",0.1396,2024
"ARG",0.1396,2025
"ARG",0.1396,2026
"ARG",0.1396,2027
"ARG",0.1396,2028
"ARG",0.1396,2029
"ARG",0.1396,2030
"ARG",0.1396,2031
"ARG",0.1396,2032
"ARG",0.1396,2033
"ARG",0.1396,2034
"ARG",0.1396,2035
"ARG",0.1396,2036
"ARG",0.1396,2037
"ARG",0.1396,2038
"ARG",0.1396,2039
"ARG",0.1396,2040
"ARG",0.1396,2041
"ARG",0.1396,2042
"ARG",0.1396,2043
"ARG",0.1396,2044
"ARG",0.1396,2045
"ARG",0.1396,2046
"ARG",0.1396,2047
"ARG",0.1396,2048
"ARG",0.1396,2049
"ARG",0.1396,2050
"ARM",0.067,2021
"ARM",0.067,2022
"ARM",0.067,2023
"ARM",0.067,2024
"ARM",0.067,2025
"ARM",0.067,2026
"ARM",0.067,2027
"ARM",0.067,2028
"ARM",0.067,2029
"ARM",0.067,2030
"ARM",0.067,2031
"ARM",0.067,2032
"ARM",0.067,2033
"ARM",0.067,2034
"ARM",0.067,2035
"ARM",0.067,2036
"ARM",0.067,2037
"ARM",0.067,2038
"ARM",0.067,2039
"ARM",0.067,2040
"ARM",0.067,2041
"ARM",0.067,2042
"ARM",0.067,2043
"ARM",0.067,2044
"ARM",0.067,2045
"ARM",0.067,2046
"ARM",0.067,2047
"ARM",0.067,2048
"ARM",0.067,2049
"ARM",0.067,2050
"ASM",0.264,2021
"ASM",0.264,2022
"ASM",0.264,2023
"ASM",0.264,2024
"ASM",0.264,2025
"ASM",0.264,2026
"ASM",0.264,2027
"ASM",0.264,2028
"ASM",0.264,2029
"ASM",0.264,2030
"ASM",0.264,2031
"ASM",0.264,2032
"ASM",0.264,2033
"ASM",0.264,2034
"ASM",0.264,2035
"ASM",0.264,2036
"ASM",0.264,2037
"ASM",0.264,2038
"ASM",0.264,2039
"ASM",0.264,2040
"ASM",0.264,2041
"ASM",0.264,2042
"ASM",0.264,2043
"ASM",0.264,2044
"ASM",0.264,2045
"ASM",0.264,2046
"ASM",0.264,2047
"ASM",0.264,2048
"ASM",0.264,2049
"ASM",0.264,2050
"ATG",0.15,2021
"ATG",0.15,2022
"ATG",0.15,2023
"ATG",0.15,2024
"ATG",0.15,2025
"ATG",0.15,2026
"ATG",0.15,2027
"ATG",0.15,2028
"ATG",0.15,2029
"ATG",0.15,2030
"ATG",0.15,2031
"ATG",0.15,2032
"ATG",0.15,2033
"ATG",0.15,2034
"ATG",0.15,2035
"ATG",0.15,2036
"ATG",0.15,2037
"ATG",0.15,2038
"ATG",0.15,2039
"ATG",0.15,2040
"ATG",0.15,2041
"ATG",0.15,2042
"ATG",0.15,2043
"ATG",0.15,2044
"ATG",0.15,2045
"ATG",0.15,2046
"ATG",0.15,2047
"ATG",0.15,2048
"ATG",0.15,2049
"ATG",0.15,2050
"AUS",0.173,2021
"AUS",0.173,2022
"AUS",0.173,2023
"AUS",0.173,2024
"AUS",0.173,2025
"AUS",0.173,2026
"AUS",0.173,2027
"AUS",0.173,2028
"AUS",0.173,2029
"AUS",0.173,2030
"AUS",0.173,2031
"AUS",0.173,2032
"AUS",0.173,2033
"AUS",0.173,2034
"AUS",0.173,2035
"AUS",0.173,2036
"AUS",0.173,2037
"AUS",0.173,2038
"AUS",0.173,2039
"AUS",0.173,2040
"AUS",0.173,2041
"AUS",0.173,2042
"AUS",0.173,2043
"AUS",0.173,2044
"AUS",0.173,2045
"AUS",0.173,2046
"AUS",0.173,2047
"AUS",0.173,2048
"AUS",0.173,2049
"AUS",0.173,2050
"AUT",0.197,2021
"AUT",0.197,2022
"AUT",0.197,2023
"AUT",0.197,2024
"AUT",0.197,2025
"AUT",0.197,2026
"AUT",0.197,2027
"AUT",0.197,2028
"AUT",0.197,2029
"AUT",0.197,2030
"AUT",0.197,2031
"AUT",0.197,2032
"AUT",0.197,2033
"AUT",0.197,2034
"AUT",0.197,2035
"AUT",0.197,2036
"AUT",0.197,2037
"AUT",0.197,2038
"AUT",0.197,2039
"AUT",0.197,2040
"AUT",0.197,2041
"AUT",0.197,2042
"AUT",0.197,2043
"AUT",0.197,2044
"AUT",0.197,2045
"AUT",0.197,2046
"AUT",0.197,2047
"AUT",0.197,2048
"AUT",0.197,2049
"AUT",0.197,2050
"AZE",0.1093,2021
"AZE",0.1093,2022
"AZE",0.1093,2023
"AZE",0.1093,2024
"AZE",0.1093,2025
"AZE",0.1093,2026
"AZE",0.1093,2027
"AZE",0.1093,2028
"AZE",0.1093,2029
"AZE",0.1093,2030
"AZE",0.1093,2031
"AZE",0.1093,2032
"AZE",0.1093,2033
"AZE",0.1093,2034
"AZE",0.1093,2035
"AZE",0.1093,2036
"AZE",0.1093,2037
"AZE",0.1093,2038
"AZE",0.1093,2039
"AZE",0.1093,2040
"AZE",0.1093,2041
"AZE",0.1093,2042
"AZE",0.1093,2043
"AZE",0.1093,2044
"AZE",0.1093,2045
"AZE",0.1093,2046
"AZE",0.1093,2047
"AZE",0.1093,2048
"AZE",0.1093,2049
"AZE",0.1093,2050
"BDI",0.073,2021
"BDI",0.073,2022
"BDI",0.073,2023
"BDI",0.073,2024
"BDI",0.073,2025
"BDI",0.073,2026
"BDI",0.073,2027
"BDI",0.073,2028
"BDI",0.073,2029
"BDI",0.073,2030
"BDI",0.073,2031
"BDI",0.073,2032
"BDI",0.073,2033
"BDI",0.073,2034
"BDI",0.073,2035
"BDI",0.073,2036
"BDI",0.073,2037
"BDI",0.073,2038
"BDI",0.073,2039
"BDI",0.073,2040
"BDI",0.073,2041
"BDI",0.073,2042
"BDI",0.073,2043
"BDI",0.073,2044
"BDI",0.073,2045
"BDI",0.073,2046
"BDI",0.073,2047
"BDI",0.073,2048
"BDI",0.073,2049
"BDI",0.073,2050
"BEL",0.1838,2021
"BEL",0.1838,2022
"BEL",0.1838,2023
"BEL",0.1838,2024
"BEL",0.1838,2025
"BEL",0.1838,2026
"BEL",0.1838,2027
"BEL",0.1838,2028
"BEL",0.1838,2029
"BEL",0.1838,2030
"BEL",0.1838,2031
"BEL",0.1838,2032
"BEL",0.1838,2033
"BEL",0.1838,2034
"BEL",0.1838,2035
"BEL",0.1838,2036
"BEL",0.1838,2037
"BEL",0.1838,2038
"BEL",0.1838,2039
"BEL",0.1838,2040
"BEL",0.1838,2041
"BEL",0.1838,2042
"BEL",0.1838,2043
"BEL",0.1838,2044
"BEL",0.1838,2045
"BEL",0.1838,2046
"BEL",0.1838,2047
"BEL",0.1838,2048
"BEL",0.1838,2049
"BEL",0.1838,2050
"BEN",0.031,2021
"BEN",0.031,2022
"BEN",0.031,2023
"BEN",0.031,2024
"BEN",0.031,2025
"BEN",0.031,2026
"BEN",0.031,2027
"BEN",0.031,2028
"BEN",0.031,2029
"BEN",0.031,2030
"BEN",0.031,2031
"BEN",0.031,2032
"BEN",0.031,2033
"BEN",0.031,2034
"BEN",0.031,2035
"BEN",0.031,2036
"BEN",0.031,2037
"BEN",0.031,2038
"BEN",0.031,2039
"BEN",0.031,2040
"BEN",0.031,2041
"BEN",0.031,2042
"BEN",0.031,2043
"BEN",0.031,2044
"BEN",0.031,2045
"BEN",0.031,2046
"BEN",0.031,2047
"BEN",0.031,2048
"BEN",0.031,2049
"BEN",0.031,2050
"BFA",0.07,2021
"BFA",0.07,2022
"BFA",0.07,2023
"BFA",0.07,2024
"BFA",0.07,2025
"BFA",0.07,2026
"BFA",0.07,2027
"BFA",0.07,2028
"BFA",0.07,2029
"BFA",0.07,2030
"BFA",0.07,2031
"BFA",0.07,2032
"BFA",0.07,2033
"BFA",0.07,2034
"BFA",0.07,2035
"BFA",0.07,2036
"BFA",0.07,2037
"BFA",0.07,2038
"BFA",0.07,2039
"BFA",0.07,2040
"BFA",0.07,2041
"BFA",0.07,2042
"BFA",0.07,2043
"BFA",0.07,2044
"BFA",0.07,2045
"BFA",0.07,2046
"BFA",0.07,2047
"BFA",0.07,2048
"BFA",0.07,2049
"BFA",0.07,2050
"BGD",0.0304,2021
"BGD",0.0304,2022
"BGD",0.0304,2023
"BGD",0.0304,2024
"BGD",0.0304,2025
"BGD",0.0304,2026
"BGD",0.0304,2027
"BGD",0.0304,2028
"BGD",0.0304,2029
"BGD",0.0304,2030
"BGD",0.0304,2031
"BGD",0.0304,2032
"BGD",0.0304,2033
"BGD",0.0304,2034
"BGD",0.0304,2035
"BGD",0.0304,2036
"BGD",0.0304,2037
"BGD",0.0304,2038
"BGD",0.0304,2039
"BGD",0.0304,2040
"BGD",0.0304,2041
"BGD",0.0304,2042
"BGD",0.0304,2043
"BGD",0.0304,2044
"BGD",0.0304,2045
"BGD",0.0304,2046
"BGD",0.0304,2047
"BGD",0.0304,2048
"BGD",0.0304,2049
"BGD",0.0304,2050
"BGR",0.1418,2021
"BGR",0.1418,2022
"BGR",0.1418,2023
"BGR",0.1418,2024
"BGR",0.1418,2025
"BGR",0.1418,2026
"BGR",0.1418,2027
"BGR",0.1418,2028
"BGR",0.1418,2029
"BGR",0.1418,2030
"BGR",0.1418,2031
"BGR",0.1418,2032
"BGR",0.1418,2033
"BGR",0.1418,2034
"BGR",0.1418,2035
"BGR",0.1418,2036
"BGR",0.1418,2037
"BGR",0.1418,2038
"BGR",0.1418,2039
"BGR",0.1418,2040
"BGR",0.1418,2041
"BGR",0.1418,2042
"BGR",0.1418,2043
"BGR",0.1418,2044
"BGR",0.1418,2045
"BGR",0.1418,2046
"BGR",0.1418,2047
"BGR",0.1418,2048
"BGR",0.1418,2049
"BGR",0.1418,2050
"BHR",0.128,2021
"BHR",0.128,2022
"BHR",0.128,2023
"BHR",0.128,2024
"BHR",0.128,2025
"BHR",0.128,2026
"BHR",0.128,2027
"BHR",0.128,2028
"BHR",0.128,2029
"BHR",0.128,2030
"BHR",0.128,2031
"BHR",0.128,2032
"BHR",0.128,2033
"BHR",0.128,2034
"BHR",0.128,2035
"BHR",0.128,2036
"BHR",0.128,2037
"BHR",0.128,2038
"BHR",0.128,2039
"BHR",0.128,2040
"BHR",0.128,2041
"BHR",0.128,2042
"BHR",0.128,2043
"BHR",0.128,2044
"BHR",0.128,2045
"BHR",0.128,2046
"BHR",0.128,2047
"BHR",0.128,2048
"BHR",0.128,2049
"BHR",0.128,2050
"BHS",0.15,2021
"BHS",0.15,2022
"BHS",0.15,2023
"BHS",0.15,2024
"BHS",0.15,2025
"BHS",0.15,2026
"BHS",0.15,2027
"BHS",0.15,2028
"BHS",0.15,2029
"BHS",0.15,2030
"BHS",0.15,2031
"BHS",0.15,2032
"BHS",0.15,2033
"BHS",0.15,2034
"BHS",0.15,2035
"BHS",0.15,2036
"BHS",0.15,2037
"BHS",0.15,2038
"BHS",0.15,2039
"BHS",0.15,2040
"BHS",0.15,2041
"BHS",0.15,2042
"BHS",0.15,2043
"BHS",0.15,2044
"BHS",0.15,2045
"BHS",0.15,2046
"BHS",0.15,2047
"BHS",0.15,2048
"BHS",0.15,2049
"BHS",0.15,2050
"BIH",0.049,2021
"BIH",0.049,2022
"BIH",0.049,2023
"BIH",0.049,2024
"BIH",0.049,2025
"BIH",0.049,2026
"BIH",0.049,2027
"BIH",0.049,2028
"BIH",0.049,2029
"BIH",0.049,2030
"BIH",0.049,2031
"BIH",0.049,2032
"BIH",0.049,2033
"BIH",0.049,2034
"BIH",0.049,2035
"BIH",0.049,2036
"BIH",0.049,2037
"BIH",0.049,2038
"BIH",0.049,2039
"BIH",0.049,2040
"BIH",0.049,2041
"BIH",0.049,2042
"BIH",0.049,2043
"BIH",0.049,2044
"BIH",0.049,2045
"BIH",0.049,2046
"BIH",0.049,2047
"BIH",0.049,2048
"BIH",0.049,2049
"BIH",0.049,2050
"BLR",0.05,2021
"BLR",0.05,2022
"BLR",0.05,2023
"BLR",0.05,2024
"BLR",0.05,2025
"BLR",0.05,2026
"BLR",0.05,2027
"BLR",0.05,2028
"BLR",0.05,2029
"BLR",0.05,2030
"BLR",0.05,2031
"BLR",0.05,2032
"BLR",0.05,2033
"BLR",0.05,2034
"BLR",0.05,2035
"BLR",0.05,2036
"BLR",0.05,2037
"BLR",0.05,2038
"BLR",0.05,2039
"BLR",0.05,2040
"BLR",0.05,2041
"BLR",0.05,2042
"BLR",0.05,2043
"BLR",0.05,2044
"BLR",0.05,2045
"BLR",0.05,2046
"BLR",0.05,2047
"BLR",0.05,2048
"BLR",0.05,2049
"BLR",0.05,2050
"BLZ",0.16,2021
"BLZ",0.16,2022
"BLZ",0.16,2023
"BLZ",0.16,2024
"BLZ",0.16,2025
"BLZ",0.16,2026
"BLZ",0.16,2027
"BLZ",0.16,2028
"BLZ",0.16,2029
"BLZ",0.16,2030
"BLZ",0.16,2031
"BLZ",0.16,2032
"BLZ",0.16,2033
"BLZ",0.16,2034
"BLZ",0.16,2035
"BLZ",0.16,2036
"BLZ",0.16,2037
"BLZ",0.16,2038
"BLZ",0.16,2039
"BLZ",0.16,2040
"BLZ",0.16,2041
"BLZ",0.16,2042
"BLZ",0.16,2043
"BLZ",0.16,2044
"BLZ",0.16,2045
"BLZ",0.16,2046
"BLZ",0.16,2047
"BLZ",0.16,2048
"BLZ",0.16,2049
"BLZ",0.16,2050
"BMU",0.29,2021
"BMU",0.29,2022
"BMU",0.29,2023
"BMU",0.29,2024
"BMU",0.29,2025
"BMU",0.29,2026
"BMU",0.29,2027
"BMU",0.29,2028
"BMU",0.29,2029
"BMU",0.29,2030
"BMU",0.29,2031
"BMU",0.29,2032
"BMU",0.29,2033
"BMU",0.29,2034
"BMU",0.29,2035
"BMU",0.29,2036
"BMU",0.29,2037
"BMU",0.29,2038
"BMU",0.29,2039
"BMU",0.29,2040
"BMU",0.29,2041
"BMU",0.29,2042
"BMU",0.29,2043
"BMU",0.29,2044
"BMU",0.29,2045
"BMU",0.29,2046
"BMU",0.29,2047
"BMU",0.29,2048
"BMU",0.29,2049
"BMU",0.29,2050
"BOL",0.065019305019305,2021
"BOL",0.065019305019305,2022
"BOL",0.065019305019305,2023
"BOL",0.065019305019305,2024
"BOL",0.065019305019305,2025
"BOL",0.065019305019305,2026
"BOL",0.065019305019305,2027
"BOL",0.065019305019305,2028
"BOL",0.065019305019305,2029
"BOL",0.065019305019305,2030
"BOL",0.065019305019305,2031
"BOL",0.065019305019305,2032
"BOL",0.065019305019305,2033
"BOL",0.065019305019305,2034
"BOL",0.065019305019305,2035
"BOL",0.065019305019305,2036
"BOL",0.065019305019305,2037
"BOL",0.065019305019305,2038
"BOL",0.065019305019305,2039
"BOL",0.065019305019305,2040
"BOL",0.065019305019305,2041
"BOL",0.065019305019305,2042
"BOL",0.065019305019305,2043
"BOL",0.065019305019305,2044
"BOL",0.065019305019305,2045
"BOL",0.065019305019305,2046
"BOL",0.065019305019305,2047
"BOL",0.065019305019305,2048
"BOL",0.065019305019305,2049
"BOL",0.065019305019305,2050
"BRA",0.131,2021
"BRA",0.131,2022
"BRA",0.131,2023
"BRA",0.131,2024
"BRA",0.131,2025
"BRA",0.131,2026
"BRA",0.131,2027
"BRA",0.131,2028
"BRA",0.131,2029
"BRA",0.131,2030
"BRA",0.131,2031
"BRA",0.131,2032
"BRA",0.131,2033
"BRA",0.131,2034
"BRA",0.131,2035
"BRA",0.131,2036
"BRA",0.131,2037
"BRA",0.131,2038
"BRA",0.131,2039
"BRA",0.131,2040
"BRA",0.131,2041
"BRA",0.131,2042
"BRA",0.131,2043
"BRA",0.131,2044
"BRA",0.131,2045
"BRA",0.131,2046
"BRA",0.131,2047
"BRA",0.131,2048
"BRA",0.131,2049
"BRA",0.131,2050
"BRB",0.197,2021
"BRB",0.197,2022
"BRB",0.197,2023
"BRB",0.197,2024
"BRB",0.197,2025
"BRB",0.197,2026
"BRB",0.197,2027
"BRB",0.197,2028
"BRB",0.197,2029
"BRB",0.197,2030
"BRB",0.197,2031
"BRB",0.197,2032
"BRB",0.197,2033
"BRB",0.197,2034
"BRB",0.197,2035
"BRB",0.197,2036
"BRB",0.197,2037
"BRB",0.197,2038
"BRB",0.197,2039
"BRB",0.197,2040
"BRB",0.197,2041
"BRB",0.197,2042
"BRB",0.197,2043
"BRB",0.197,2044
"BRB",0.197,2045
"BRB",0.197,2046
"BRB",0.197,2047
"BRB",0.197,2048
"BRB",0.197,2049
"BRB",0.197,2050
"BRN",0.18,2021
"BRN",0.18,2022
"BRN",0.18,2023
"BRN",0.18,2024
"BRN",0.18,2025
"BRN",0.18,2026
"BRN",0.18,2027
"BRN",0.18,2028
"BRN",0.18,2029
"BRN",0.18,2030
"BRN",0.18,2031
"BRN",0.18,2032
"BRN",0.18,2033
"BRN",0.18,2034
"BRN",0.18,2035
"BRN",0.18,2036
"BRN",0.18,2037
"BRN",0.18,2038
"BRN",0.18,2039
"BRN",0.18,2040
"BRN",0.18,2041
"BRN",0.18,2042
"BRN",0.18,2043
"BRN",0.18,2044
"BRN",0.18,2045
"BRN",0.18,2046
"BRN",0.18,2047
"BRN",0.18,2048
"BRN",0.18,2049
"BRN",0.18,2050
"BTN",0.17,2021
"BTN",0.17,2022
"BTN",0.17,2023
"BTN",0.17,2024
"BTN",0.17,2025
"BTN",0.17,2026
"BTN",0.17,2027
"BTN",0.17,2028
"BTN",0.17,2029
"BTN",0.17,2030
"BTN",0.17,2031
"BTN",0.17,2032
"BTN",0.17,2033
"BTN",0.17,2034
"BTN",0.17,2035
"BTN",0.17,2036
"BTN",0.17,2037
"BTN",0.17,2038
"BTN",0.17,2039
"BTN",0.17,2040
"BTN",0.17,2041
"BTN",0.17,2042
"BTN",0.17,2043
"BTN",0.17,2044
"BTN",0.17,2045
"BTN",0.17,2046
"BTN",0.17,2047
"BTN",0.17,2048
"BTN",0.17,2049
"BTN",0.17,2050
"BWA",0.12782554739347,2021
"BWA",0.12782554739347,2022
"BWA",0.12782554739347,2023
"BWA",0.12782554739347,2024
"BWA",0.12782554739347,2025
"BWA",0.12782554739347,2026
"BWA",0.12782554739347,2027
"BWA",0.12782554739347,2028
"BWA",0.12782554739347,2029
"BWA",0.12782554739347,2030
"BWA",0.12782554739347,2031
"BWA",0.12782554739347,2032
"BWA",0.12782554739347,2033
"BWA",0.12782554739347,2034
"BWA",0.12782554739347,2035
"BWA",0.12782554739347,2036
"BWA",0.12782554739347,2037
"BWA",0.12782554739347,2038
"BWA",0.12782554739347,2039
"BWA",0.12782554739347,2040
"BWA",0.12782554739347,2041
"BWA",0.12782554739347,2042
"BWA",0.12782554739347,2043
"BWA",0.12782554739347,2044
"BWA",0.12782554739347,2045
"BWA",0.12782554739347,2046
"BWA",0.12782554739347,2047
"BWA",0.12782554739347,2048
"BWA",0.12782554739347,2049
"BWA",0.12782554739347,2050
"CAF",0.0975464512090495,2021
"CAF",0.0975464512090495,2022
"CAF",0.0975464512090495,2023
"CAF",0.0975464512090495,2024
"CAF",0.0975464512090495,2025
"CAF",0.0975464512090495,2026
"CAF",0.0975464512090495,2027
"CAF",0.0975464512090495,2028
"CAF",0.0975464512090495,2029
"CAF",0.0975464512090495,2030
"CAF",0.0975464512090495,2031
"CAF",0.0975464512090495,2032
"CAF",0.0975464512090495,2033
"CAF",0.0975464512090495,2034
"CAF",0.0975464512090495,2035
"CAF",0.0975464512090495,2036
"CAF",0.0975464512090495,2037
"CAF",0.0975464512090495,2038
"CAF",0.0975464512090495,2039
"CAF",0.0975464512090495,2040
"CAF",0.0975464512090495,2041
"CAF",0.0975464512090495,2042
"CAF",0.0975464512090495,2043
"CAF",0.0975464512090495,2044
"CAF",0.0975464512090495,2045
"CAF",0.0975464512090495,2046
"CAF",0.0975464512090495,2047
"CAF",0.0975464512090495,2048
"CAF",0.0975464512090495,2049
"CAF",0.0975464512090495,2050
"CAN",0.47,2021
"CAN",0.47,2022
"CAN",0.47,2023
"CAN",0.47,2024
"CAN",0.47,2025
"CAN",0.47,2026
"CAN",0.47,2027
"CAN",0.47,2028
"CAN",0.47,2029
"CAN",0.47,2030
"CAN",0.47,2031
"CAN",0.47,2032
"CAN",0.47,2033
"CAN",0.47,2034
"CAN",0.47,2035
"CAN",0.47,2036
"CAN",0.47,2037
"CAN",0.47,2038
"CAN",0.47,2039
"CAN",0.47,2040
"CAN",0.47,2041
"CAN",0.47,2042
"CAN",0.47,2043
"CAN",0.47,2044
"CAN",0.47,2045
"CAN",0.47,2046
"CAN",0.47,2047
"CAN",0.47,2048
"CAN",0.47,2049
"CAN",0.47,2050
"CHE",0.2,2021
"CHE",0.2,2022
"CHE",0.2,2023
"CHE",0.2,2024
"CHE",0.2,2025
"CHE",0.2,2026
"CHE",0.2,2027
"CHE",0.2,2028
"CHE",0.2,2029
"CHE",0.2,2030
"CHE",0.2,2031
"CHE",0.2,2032
"CHE",0.2,2033
"CHE",0.2,2034
"CHE",0.2,2035
"CHE",0.2,2036
"CHE",0.2,2037
"CHE",0.2,2038
"CHE",0.2,2039
"CHE",0.2,2040
"CHE",0.2,2041
"CHE",0.2,2042
"CHE",0.2,2043
"CHE",0.2,2044
"CHE",0.2,2045
"CHE",0.2,2046
"CHE",0.2,2047
"CHE",0.2,2048
"CHE",0.2,2049
"CHE",0.2,2050
"CHI",0.201838041190974,2021
"CHI",0.201838041190974,2022
"CHI",0.201838041190974,2023
"CHI",0.201838041190974,2024
"CHI",0.201838041190974,2025
"CHI",0.201838041190974,2026
"CHI",0.201838041190974,2027
"CHI",0.201838041190974,2028
"CHI",0.201838041190974,2029
"CHI",0.201838041190974,2030
"CHI",0.201838041190974,2031
"CHI",0.201838041190974,2032
"CHI",0.201838041190974,2033
"CHI",0.201838041190974,2034
"CHI",0.201838041190974,2035
"CHI",0.201838041190974,2036
"CHI",0.201838041190974,2037
"CHI",0.201838041190974,2038
"CHI",0.201838041190974,2039
"CHI",0.201838041190974,2040
"CHI",0.201838041190974,2041
"CHI",0.201838041190974,2042
"CHI",0.201838041190974,2043
"CHI",0.201838041190974,2044
"CHI",0.201838041190974,2045
"CHI",0.201838041190974,2046
"CHI",0.201838041190974,2047
"CHI",0.201838041190974,2048
"CHI",0.201838041190974,2049
"CHI",0.201838041190974,2050
"CHL",0.124,2021
"CHL",0.124,2022
"CHL",0.124,2023
"CHL",0.124,2024
"CHL",0.124,2025
"CHL",0.124,2026
"CHL",0.124,2027
"CHL",0.124,2028
"CHL",0.124,2029
"CHL",0.124,2030
"CHL",0.124,2031
"CHL",0.124,2032
"CHL",0.124,2033
"CHL",0.124,2034
"CHL",0.124,2035
"CHL",0.124,2036
"CHL",0.124,2037
"CHL",0.124,2038
"CHL",0.124,2039
"CHL",0.124,2040
"CHL",0.124,2041
"CHL",0.124,2042
"CHL",0.124,2043
"CHL",0.124,2044
"CHL",0.124,2045
"CHL",0.124,2046
"CHL",0.124,2047
"CHL",0.124,2048
"CHL",0.124,2049
"CHL",0.124,2050
"CHN",0.096,2021
"CHN",0.096,2022
"CHN",0.096,2023
"CHN",0.096,2024
