Nation,iso_code3,Year,nemomod_entc_variable_cost_pp_solar_mm_usd_per_mwh
Afghanistan,ALA,2031,0.539974027
Afghanistan,ALA,2032,0.527641003
Afghanistan,ALA,2033,0.515589666
Afghanistan,ALA,2034,0.503813582
Afghanistan,ALA,2035,0.492306463
Afghanistan,ALA,2036,0.481062168
Afghanistan,ALA,2037,0.470074693
Afghanistan,ALA,2038,0.459338172
Afghanistan,ALA,2039,0.448846874
Afghanistan,ALA,2040,0.438595197
Afghanistan,ALA,2041,0.428577669
Afghanistan,ALA,2042,0.418788942
Afghanistan,ALA,2043,0.409223789
Afghanistan,ALA,2044,0.399877105
Afghanistan,ALA,2045,0.390743899
Afghanistan,ALA,2046,0.381819296
Afghanistan,ALA,2047,0.373098531
Afghanistan,ALA,2048,0.364576949
Afghanistan,ALA,2049,0.35625
Afghanistan,ALA,2050,0.348113239
Afghanistan,ALB,2021,0.680324643
Afghanistan,ALB,2022,0.664786006
Afghanistan,ALB,2023,0.649602273
Afghanistan,ALB,2024,0.634765337
Afghanistan,ALB,2025,0.620267276
Afghanistan,ALB,2026,0.606100352
Afghanistan,ALB,2027,0.592257001
Afghanistan,ALB,2028,0.578729832
Afghanistan,ALB,2029,0.565511625
Afghanistan,ALB,2030,0.552595321
Afghanistan,ALB,2031,0.539974027
Afghanistan,ALB,2032,0.527641003
Afghanistan,ALB,2033,0.515589666
Afghanistan,ALB,2034,0.503813582
Afghanistan,ALB,2035,0.492306463
Afghanistan,ALB,2036,0.481062168
Afghanistan,ALB,2037,0.470074693
Afghanistan,ALB,2038,0.459338172
Afghanistan,ALB,2039,0.448846874
Afghanistan,ALB,2040,0.438595197
Afghanistan,ALB,2041,0.428577669
Afghanistan,ALB,2042,0.418788942
Afghanistan,ALB,2043,0.409223789
Afghanistan,ALB,2044,0.399877105
Afghanistan,ALB,2045,0.390743899
Afghanistan,ALB,2046,0.381819296
Afghanistan,ALB,2047,0.373098531
Afghanistan,ALB,2048,0.364576949
Afghanistan,ALB,2049,0.35625
Afghanistan,ALB,2050,0.348113239
Afghanistan,AND,2021,0.680324643
Afghanistan,AND,2022,0.664786006
Afghanistan,AND,2023,0.649602273
Afghanistan,AND,2024,0.634765337
Afghanistan,AND,2025,0.620267276
Afghanistan,AND,2026,0.606100352
Afghanistan,AND,2027,0.592257001
Afghanistan,AND,2028,0.578729832
Afghanistan,AND,2029,0.565511625
Afghanistan,AND,2030,0.552595321
Afghanistan,AND,2031,0.539974027
Afghanistan,AND,2032,0.527641003
Afghanistan,AND,2033,0.515589666
Afghanistan,AND,2034,0.503813582
Afghanistan,AND,2035,0.492306463
Afghanistan,AND,2036,0.481062168
Afghanistan,AND,2037,0.470074693
Afghanistan,AND,2038,0.459338172
Afghanistan,AND,2039,0.448846874
Afghanistan,AND,2040,0.438595197
Afghanistan,AND,2041,0.428577669
Afghanistan,AND,2042,0.418788942
Afghanistan,AND,2043,0.409223789
Afghanistan,AND,2044,0.399877105
Afghanistan,AND,2045,0.390743899
Afghanistan,AND,2046,0.381819296
Afghanistan,AND,2047,0.373098531
Afghanistan,AND,2048,0.364576949
Afghanistan,AND,2049,0.35625
Afghanistan,AND,2050,0.348113239
Afghanistan,ARE,2021,0.680324643
Afghanistan,ARE,2022,0.664786006
Afghanistan,ARE,2023,0.649602273
Afghanistan,ARE,2024,0.634765337
Afghanistan,ARE,2025,0.620267276
Afghanistan,ARE,2026,0.606100352
Afghanistan,ARE,2027,0.592257001
Afghanistan,ARE,2028,0.578729832
Afghanistan,ARE,2029,0.565511625
Afghanistan,ARE,2030,0.552595321
Afghanistan,ARE,2031,0.539974027
Afghanistan,ARE,2032,0.527641003
Afghanistan,ARE,2033,0.515589666
Afghanistan,ARE,2034,0.503813582
Afghanistan,ARE,2035,0.492306463
Afghanistan,ARE,2036,0.481062168
Afghanistan,ARE,2037,0.470074693
Afghanistan,ARE,2038,0.459338172
Afghanistan,ARE,2039,0.448846874
Afghanistan,ARE,2040,0.438595197
Afghanistan,ARE,2041,0.428577669
Afghanistan,ARE,2042,0.418788942
Afghanistan,ARE,2043,0.409223789
Afghanistan,ARE,2044,0.399877105
Afghanistan,ARE,2045,0.390743899
Afghanistan,ARE,2046,0.381819296
Afghanistan,ARE,2047,0.373098531
Afghanistan,ARE,2048,0.364576949
Afghanistan,ARE,2049,0.35625
Afghanistan,ARE,2050,0.348113239
Afghanistan,ARG,2021,0.680324643
Afghanistan,ARG,2022,0.664786006
Afghanistan,ARG,2023,0.649602273
Afghanistan,ARG,2024,0.634765337
Afghanistan,ARG,2025,0.620267276
Afghanistan,ARG,2026,0.606100352
Afghanistan,ARG,2027,0.592257001
Afghanistan,ARG,2028,0.578729832
Afghanistan,ARG,2029,0.565511625
Afghanistan,ARG,2030,0.552595321
Afghanistan,ARG,2031,0.539974027
Afghanistan,ARG,2032,0.527641003
Afghanistan,ARG,2033,0.515589666
Afghanistan,ARG,2034,0.503813582
Afghanistan,ARG,2035,0.492306463
Afghanistan,ARG,2036,0.481062168
Afghanistan,ARG,2037,0.470074693
Afghanistan,ARG,2038,0.459338172
Afghanistan,ARG,2039,0.448846874
Afghanistan,ARG,2040,0.438595197
Afghanistan,ARG,2041,0.428577669
Afghanistan,ARG,2042,0.418788942
Afghanistan,ARG,2043,0.409223789
Afghanistan,ARG,2044,0.399877105
Afghanistan,ARG,2045,0.390743899
Afghanistan,ARG,2046,0.381819296
Afghanistan,ARG,2047,0.373098531
Afghanistan,ARG,2048,0.364576949
Afghanistan,ARG,2049,0.35625
Afghanistan,ARG,2050,0.348113239
Afghanistan,ARM,2021,0.680324643
Afghanistan,ARM,2022,0.664786006
Afghanistan,ARM,2023,0.649602273
Afghanistan,ARM,2024,0.634765337
Afghanistan,ARM,2025,0.620267276
Afghanistan,ARM,2026,0.606100352
Afghanistan,ARM,2027,0.592257001
Afghanistan,ARM,2028,0.578729832
Afghanistan,ARM,2029,0.565511625
Afghanistan,ARM,2030,0.552595321
Afghanistan,ARM,2031,0.539974027
Afghanistan,ARM,2032,0.527641003
Afghanistan,ARM,2033,0.515589666
Afghanistan,ARM,2034,0.503813582
Afghanistan,ARM,2035,0.492306463
Afghanistan,ARM,2036,0.481062168
Afghanistan,ARM,2037,0.470074693
Afghanistan,ARM,2038,0.459338172
Afghanistan,ARM,2039,0.448846874
Afghanistan,ARM,2040,0.438595197
Afghanistan,ARM,2041,0.428577669
Afghanistan,ARM,2042,0.418788942
Afghanistan,ARM,2043,0.409223789
Afghanistan,ARM,2044,0.399877105
Afghanistan,ARM,2045,0.390743899
Afghanistan,ARM,2046,0.381819296
Afghanistan,ARM,2047,0.373098531
Afghanistan,ARM,2048,0.364576949
Afghanistan,ARM,2049,0.35625
Afghanistan,ARM,2050,0.348113239
Afghanistan,ASM,2021,0.680324643
Afghanistan,ASM,2022,0.664786006
Afghanistan,ASM,2023,0.649602273
Afghanistan,ASM,2024,0.634765337
Afghanistan,ASM,2025,0.620267276
Afghanistan,ASM,2026,0.606100352
Afghanistan,ASM,2027,0.592257001
Afghanistan,ASM,2028,0.578729832
Afghanistan,ASM,2029,0.565511625
Afghanistan,ASM,2030,0.552595321
Afghanistan,ASM,2031,0.539974027
Afghanistan,ASM,2032,0.527641003
Afghanistan,ASM,2033,0.515589666
Afghanistan,ASM,2034,0.503813582
Afghanistan,ASM,2035,0.492306463
Afghanistan,ASM,2036,0.481062168
Afghanistan,ASM,2037,0.470074693
Afghanistan,ASM,2038,0.459338172
Afghanistan,ASM,2039,0.448846874
Afghanistan,ASM,2040,0.438595197
Afghanistan,ASM,2041,0.428577669
Afghanistan,ASM,2042,0.418788942
Afghanistan,ASM,2043,0.409223789
Afghanistan,ASM,2044,0.399877105
Afghanistan,ASM,2045,0.390743899
Afghanistan,ASM,2046,0.381819296
Afghanistan,ASM,2047,0.373098531
Afghanistan,ASM,2048,0.364576949
Afghanistan,ASM,2049,0.35625
Afghanistan,ASM,2050,0.348113239
Afghanistan,ATA,2021,0.680324643
Afghanistan,ATA,2022,0.664786006
Afghanistan,ATA,2023,0.649602273
Afghanistan,ATA,2024,0.634765337
Afghanistan,ATA,2025,0.620267276
Afghanistan,ATA,2026,0.606100352
Afghanistan,ATA,2027,0.592257001
Afghanistan,ATA,2028,0.578729832
Afghanistan,ATA,2029,0.565511625
Afghanistan,ATA,2030,0.552595321
Afghanistan,ATA,2031,0.539974027
Afghanistan,ATA,2032,0.527641003
Afghanistan,ATA,2033,0.515589666
Afghanistan,ATA,2034,0.503813582
Afghanistan,ATA,2035,0.492306463
Afghanistan,ATA,2036,0.481062168
Afghanistan,ATA,2037,0.470074693
Afghanistan,ATA,2038,0.459338172
Afghanistan,ATA,2039,0.448846874
Afghanistan,ATA,2040,0.438595197
Afghanistan,ATA,2041,0.428577669
Afghanistan,ATA,2042,0.418788942
Afghanistan,ATA,2043,0.409223789
Afghanistan,ATA,2044,0.399877105
Afghanistan,ATA,2045,0.390743899
Afghanistan,ATA,2046,0.381819296
Afghanistan,ATA,2047,0.373098531
Afghanistan,ATA,2048,0.364576949
Afghanistan,ATA,2049,0.35625
Afghanistan,ATA,2050,0.348113239
Afghanistan,ATF,2021,0.680324643
Afghanistan,ATF,2022,0.664786006
Afghanistan,ATF,2023,0.649602273
Afghanistan,ATF,2024,0.634765337
Afghanistan,ATF,2025,0.620267276
Afghanistan,ATF,2026,0.606100352
Afghanistan,ATF,2027,0.592257001
Afghanistan,ATF,2028,0.578729832
Afghanistan,ATF,2029,0.565511625
Afghanistan,ATF,2030,0.552595321
Afghanistan,ATF,2031,0.539974027
Afghanistan,ATF,2032,0.527641003
Afghanistan,ATF,2033,0.515589666
Afghanistan,ATF,2034,0.503813582
Afghanistan,ATF,2035,0.492306463
Afghanistan,ATF,2036,0.481062168
Afghanistan,ATF,2037,0.470074693
Afghanistan,ATF,2038,0.459338172
Afghanistan,ATF,2039,0.448846874
Afghanistan,ATF,2040,0.438595197
Afghanistan,ATF,2041,0.428577669
Afghanistan,ATF,2042,0.418788942
Afghanistan,ATF,2043,0.409223789
Afghanistan,ATF,2044,0.399877105
Afghanistan,ATF,2045,0.390743899
Afghanistan,ATF,2046,0.381819296
Afghanistan,ATF,2047,0.373098531
Afghanistan,ATF,2048,0.364576949
Afghanistan,ATF,2049,0.35625
Afghanistan,ATF,2050,0.348113239
Afghanistan,ATG,2021,0.680324643
Afghanistan,ATG,2022,0.664786006
Afghanistan,ATG,2023,0.649602273
Afghanistan,ATG,2024,0.634765337
Afghanistan,ATG,2025,0.620267276
Afghanistan,ATG,2026,0.606100352
Afghanistan,ATG,2027,0.592257001
Afghanistan,ATG,2028,0.578729832
Afghanistan,ATG,2029,0.565511625
Afghanistan,ATG,2030,0.552595321
Afghanistan,ATG,2031,0.539974027
Afghanistan,ATG,2032,0.527641003
Afghanistan,ATG,2033,0.515589666
Afghanistan,ATG,2034,0.503813582
Afghanistan,ATG,2035,0.492306463
Afghanistan,ATG,2036,0.481062168
Afghanistan,ATG,2037,0.470074693
Afghanistan,ATG,2038,0.459338172
Afghanistan,ATG,2039,0.448846874
Afghanistan,ATG,2040,0.438595197
Afghanistan,ATG,2041,0.428577669
Afghanistan,ATG,2042,0.418788942
Afghanistan,ATG,2043,0.409223789
Afghanistan,ATG,2044,0.399877105
Afghanistan,ATG,2045,0.390743899
Afghanistan,ATG,2046,0.381819296
Afghanistan,ATG,2047,0.373098531
Afghanistan,ATG,2048,0.364576949
Afghanistan,ATG,2049,0.35625
Afghanistan,ATG,2050,0.348113239
Afghanistan,AUS,2021,0.680324643
Afghanistan,AUS,2022,0.664786006
Afghanistan,AUS,2023,0.649602273
Afghanistan,AUS,2024,0.634765337
Afghanistan,AUS,2025,0.620267276
Afghanistan,AUS,2026,0.606100352
Afghanistan,AUS,2027,0.592257001
Afghanistan,AUS,2028,0.578729832
Afghanistan,AUS,2029,0.565511625
Afghanistan,AUS,2030,0.552595321
Afghanistan,AUS,2031,0.539974027
Afghanistan,AUS,2032,0.527641003
Afghanistan,AUS,2033,0.515589666
Afghanistan,AUS,2034,0.503813582
Afghanistan,AUS,2035,0.492306463
Afghanistan,AUS,2036,0.481062168
Afghanistan,AUS,2037,0.470074693
Afghanistan,AUS,2038,0.459338172
Afghanistan,AUS,2039,0.448846874
Afghanistan,AUS,2040,0.438595197
Afghanistan,AUS,2041,0.428577669
Afghanistan,AUS,2042,0.418788942
Afghanistan,AUS,2043,0.409223789
Afghanistan,AUS,2044,0.399877105
Afghanistan,AUS,2045,0.390743899
Afghanistan,AUS,2046,0.381819296
Afghanistan,AUS,2047,0.373098531
Afghanistan,AUS,2048,0.364576949
Afghanistan,AUS,2049,0.35625
Afghanistan,AUS,2050,0.348113239
Afghanistan,AUT,2021,0.680324643
Afghanistan,AUT,2022,0.664786006
Afghanistan,AUT,2023,0.649602273
Afghanistan,AUT,2024,0.634765337
Afghanistan,AUT,2025,0.620267276
Afghanistan,AUT,2026,0.606100352
Afghanistan,AUT,2027,0.592257001
Afghanistan,AUT,2028,0.578729832
Afghanistan,AUT,2029,0.565511625
Afghanistan,AUT,2030,0.552595321
Afghanistan,AUT,2031,0.539974027
Afghanistan,AUT,2032,0.527641003
Afghanistan,AUT,2033,0.515589666
Afghanistan,AUT,2034,0.503813582
Afghanistan,AUT,2035,0.492306463
Afghanistan,AUT,2036,0.481062168
Afghanistan,AUT,2037,0.470074693
Afghanistan,AUT,2038,0.459338172
Afghanistan,AUT,2039,0.448846874
Afghanistan,AUT,2040,0.438595197
Afghanistan,AUT,2041,0.428577669
Afghanistan,AUT,2042,0.418788942
Afghanistan,AUT,2043,0.409223789
Afghanistan,AUT,2044,0.399877105
Afghanistan,AUT,2045,0.390743899
Afghanistan,AUT,2046,0.381819296
Afghanistan,AUT,2047,0.373098531
Afghanistan,AUT,2048,0.364576949
Afghanistan,AUT,2049,0.35625
Afghanistan,AUT,2050,0.348113239
Afghanistan,AZE,2021,0.680324643
Afghanistan,AZE,2022,0.664786006
Afghanistan,AZE,2023,0.649602273
Afghanistan,AZE,2024,0.634765337
Afghanistan,AZE,2025,0.620267276
Afghanistan,AZE,2026,0.606100352
Afghanistan,AZE,2027,0.592257001
Afghanistan,AZE,2028,0.578729832
Afghanistan,AZE,2029,0.565511625
Afghanistan,AZE,2030,0.552595321
Afghanistan,AZE,2031,0.539974027
Afghanistan,AZE,2032,0.527641003
Afghanistan,AZE,2033,0.515589666
Afghanistan,AZE,2034,0.503813582
Afghanistan,AZE,2035,0.492306463
Afghanistan,AZE,2036,0.481062168
Afghanistan,AZE,2037,0.470074693
Afghanistan,AZE,2038,0.459338172
Afghanistan,AZE,2039,0.448846874
Afghanistan,AZE,2040,0.438595197
Afghanistan,AZE,2041,0.428577669
Afghanistan,AZE,2042,0.418788942
Afghanistan,AZE,2043,0.409223789
Afghanistan,AZE,2044,0.399877105
Afghanistan,AZE,2045,0.390743899
Afghanistan,AZE,2046,0.381819296
Afghanistan,AZE,2047,0.373098531
Afghanistan,AZE,2048,0.364576949
Afghanistan,AZE,2049,0.35625
Afghanistan,AZE,2050,0.348113239
Afghanistan,BDI,2021,0.680324643
Afghanistan,BDI,2022,0.664786006
Afghanistan,BDI,2023,0.649602273
Afghanistan,BDI,2024,0.634765337
Afghanistan,BDI,2025,0.620267276
Afghanistan,BDI,2026,0.606100352
Afghanistan,BDI,2027,0.592257001
Afghanistan,BDI,2028,0.578729832
Afghanistan,BDI,2029,0.565511625
Afghanistan,BDI,2030,0.552595321
Afghanistan,BDI,2031,0.539974027
Afghanistan,BDI,2032,0.527641003
Afghanistan,BDI,2033,0.515589666
Afghanistan,BDI,2034,0.503813582
Afghanistan,BDI,2035,0.492306463
Afghanistan,BDI,2036,0.481062168
Afghanistan,BDI,2037,0.470074693
Afghanistan,BDI,2038,0.459338172
Afghanistan,BDI,2039,0.448846874
Afghanistan,BDI,2040,0.438595197
Afghanistan,BDI,2041,0.428577669
Afghanistan,BDI,2042,0.418788942
Afghanistan,BDI,2043,0.409223789
Afghanistan,BDI,2044,0.399877105
Afghanistan,BDI,2045,0.390743899
Afghanistan,BDI,2046,0.381819296
Afghanistan,BDI,2047,0.373098531
Afghanistan,BDI,2048,0.364576949
Afghanistan,BDI,2049,0.35625
Afghanistan,BDI,2050,0.348113239
Afghanistan,BEL,2021,0.680324643
Afghanistan,BEL,2022,0.664786006
Afghanistan,BEL,2023,0.649602273
Afghanistan,BEL,2024,0.634765337
Afghanistan,BEL,2025,0.620267276
Afghanistan,BEL,2026,0.606100352
Afghanistan,BEL,2027,0.592257001
Afghanistan,BEL,2028,0.578729832
Afghanistan,BEL,2029,0.565511625
Afghanistan,BEL,2030,0.552595321
Afghanistan,BEL,2031,0.539974027
Afghanistan,BEL,2032,0.527641003
Afghanistan,BEL,2033,0.515589666
Afghanistan,BEL,2034,0.503813582
Afghanistan,BEL,2035,0.492306463
Afghanistan,BEL,2036,0.481062168
Afghanistan,BEL,2037,0.470074693
Afghanistan,BEL,2038,0.459338172
Afghanistan,BEL,2039,0.448846874
Afghanistan,BEL,2040,0.438595197
Afghanistan,BEL,2041,0.428577669
Afghanistan,BEL,2042,0.418788942
Afghanistan,BEL,2043,0.409223789
Afghanistan,BEL,2044,0.399877105
Afghanistan,BEL,2045,0.390743899
Afghanistan,BEL,2046,0.381819296
Afghanistan,BEL,2047,0.373098531
Afghanistan,BEL,2048,0.364576949
Afghanistan,BEL,2049,0.35625
Afghanistan,BEL,2050,0.348113239
Afghanistan,BEN,2021,0.680324643
Afghanistan,BEN,2022,0.664786006
Afghanistan,BEN,2023,0.649602273
Afghanistan,BEN,2024,0.634765337
Afghanistan,BEN,2025,0.620267276
Afghanistan,BEN,2026,0.606100352
Afghanistan,BEN,2027,0.592257001
Afghanistan,BEN,2028,0.578729832
Afghanistan,BEN,2029,0.565511625
Afghanistan,BEN,2030,0.552595321
Afghanistan,BEN,2031,0.539974027
Afghanistan,BEN,2032,0.527641003
Afghanistan,BEN,2033,0.515589666
Afghanistan,BEN,2034,0.503813582
Afghanistan,BEN,2035,0.492306463
Afghanistan,BEN,2036,0.481062168
Afghanistan,BEN,2037,0.470074693
Afghanistan,BEN,2038,0.459338172
Afghanistan,BEN,2039,0.448846874
Afghanistan,BEN,2040,0.438595197
Afghanistan,BEN,2041,0.428577669
Afghanistan,BEN,2042,0.418788942
Afghanistan,BEN,2043,0.409223789
Afghanistan,BEN,2044,0.399877105
Afghanistan,BEN,2045,0.390743899
Afghanistan,BEN,2046,0.381819296
Afghanistan,BEN,2047,0.373098531
Afghanistan,BEN,2048,0.364576949
Afghanistan,BEN,2049,0.35625
Afghanistan,BEN,2050,0.348113239
Afghanistan,BES,2021,0.680324643
Afghanistan,BES,2022,0.664786006
Afghanistan,BES,2023,0.649602273
Afghanistan,BES,2024,0.634765337
Afghanistan,BES,2025,0.620267276
Afghanistan,BES,2026,0.606100352
Afghanistan,BES,2027,0.592257001
Afghanistan,BES,2028,0.578729832
Afghanistan,BES,2029,0.565511625
Afghanistan,BES,2030,0.552595321
Afghanistan,BES,2031,0.539974027
Afghanistan,BES,2032,0.527641003
Afghanistan,BES,2033,0.515589666
Afghanistan,BES,2034,0.503813582
Afghanistan,BES,2035,0.492306463
Afghanistan,BES,2036,0.481062168
Afghanistan,BES,2037,0.470074693
Afghanistan,BES,2038,0.459338172
Afghanistan,BES,2039,0.448846874
Afghanistan,BES,2040,0.438595197
Afghanistan,BES,2041,0.428577669
Afghanistan,BES,2042,0.418788942
Afghanistan,BES,2043,0.409223789
Afghanistan,BES,2044,0.399877105
Afghanistan,BES,2045,0.390743899
Afghanistan,BES,2046,0.381819296
Afghanistan,BES,2047,0.373098531
Afghanistan,BES,2048,0.364576949
Afghanistan,BES,2049,0.35625
Afghanistan,BES,2050,0.348113239
Åland Islands,BFA,2021,0.939802849
Åland Islands,BFA,2022,0.918337722
Åland Islands,BFA,2023,0.897362859
Åland Islands,BFA,2024,0.876867063
Åland Islands,BFA,2025,0.856839392
Åland Islands,BFA,2026,0.837269153
Åland Islands,BFA,2027,0.818145899
Åland Islands,BFA,2028,0.799459421
Åland Islands,BFA,2029,0.781199743
Åland Islands,BFA,2030,0.763357116
Åland Islands,BFA,2031,0.745922015
Åland Islands,BFA,2032,0.728885133
Åland Islands,BFA,2033,0.712237373
Åland Islands,BFA,2034,0.695969849
Åland Islands,BFA,2035,0.680073876
Åland Islands,BFA,2036,0.664540967
Åland Islands,BFA,2037,0.649362831
Åland Islands,BFA,2038,0.634531363
Åland Islands,BFA,2039,0.620038647
Åland Islands,BFA,2040,0.605876944
Åland Islands,BFA,2041,0.592038696
Åland Islands,BFA,2042,0.578516513
Åland Islands,BFA,2043,0.565303178
Åland Islands,BFA,2044,0.552391636
Åland Islands,BFA,2045,0.539774993
Åland Islands,BFA,2046,0.527446515
Åland Islands,BFA,2047,0.51539962
Åland Islands,BFA,2048,0.503627877
Åland Islands,BFA,2049,0.492125
Åland Islands,BFA,2050,0.480884849
Åland Islands,BGD,2021,0.939802849
Åland Islands,BGD,2022,0.918337722
Åland Islands,BGD,2023,0.897362859
Åland Islands,BGD,2024,0.876867063
Åland Islands,BGD,2025,0.856839392
Åland Islands,BGD,2026,0.837269153
Åland Islands,BGD,2027,0.818145899
Åland Islands,BGD,2028,0.799459421
Åland Islands,BGD,2029,0.781199743
Åland Islands,BGD,2030,0.763357116
Åland Islands,BGD,2031,0.745922015
Åland Islands,BGD,2032,0.728885133
Åland Islands,BGD,2033,0.712237373
Åland Islands,BGD,2034,0.695969849
Åland Islands,BGD,2035,0.680073876
Åland Islands,BGD,2036,0.664540967
Åland Islands,BGD,2037,0.649362831
Åland Islands,BGD,2038,0.634531363
Åland Islands,BGD,2039,0.620038647
Åland Islands,BGD,2040,0.605876944
Åland Islands,BGD,2041,0.592038696
Åland Islands,BGD,2042,0.578516513
Åland Islands,BGD,2043,0.565303178
Åland Islands,BGD,2044,0.552391636
Åland Islands,BGD,2045,0.539774993
Åland Islands,BGD,2046,0.527446515
Åland Islands,BGD,2047,0.51539962
Åland Islands,BGD,2048,0.503627877
Åland Islands,BGD,2049,0.492125
Åland Islands,BGD,2050,0.480884849
Åland Islands,BGR,2021,0.939802849
Åland Islands,BGR,2022,0.918337722
Åland Islands,BGR,2023,0.897362859
Åland Islands,BGR,2024,0.876867063
Åland Islands,BGR,2025,0.856839392
Åland Islands,BGR,2026,0.837269153
Åland Islands,BGR,2027,0.818145899
Åland Islands,BGR,2028,0.799459421
Åland Islands,BGR,2029,0.781199743
