Year,prodinit_ippu_electronics_tonne,iso_code3
2031,1825.93031459053,"ATG"
2032,1852.953597549,"ATG"
2033,1880.37681790707,"ATG"
2034,1908.20589463186,"ATG"
2035,1936.44683428965,"ATG"
2036,1965.10573234227,"ATG"
2037,1994.18877446282,"ATG"
2038,2023.70223787065,"ATG"
2039,2053.65249268634,"ATG"
2040,2084.04600330654,"ATG"
2041,2114.88932979924,"ATG"
2042,2146.1891293197,"ATG"
2043,2177.95215754733,"ATG"
2044,2210.18527014375,"ATG"
2045,2242.8954242326,"ATG"
2046,2276.08967990106,"ATG"
2047,2309.77520172374,"ATG"
2048,2343.95926030904,"ATG"
2049,2378.64923386845,"ATG"
2050,2413.85260980901,"ATG"
2021,3252042,"AUS"
2022,3298669.83348071,"AUS"
2023,3345966.21763055,"AUS"
2024,3393940.73814036,"AUS"
2025,3442603.11814081,"AUS"
2026,3491963.22017297,"AUS"
2027,3542031.04818718,"AUS"
2028,3592816.74957062,"AUS"
2029,3644330.61720384,"AUS"
2030,3696583.09154693,"AUS"
2031,3749584.76275545,"AUS"
2032,3803346.37282678,"AUS"
2033,3857878.81777725,"AUS"
2034,3913193.14985048,"AUS"
2035,3969300.57975732,"AUS"
2036,4026212.47894799,"AUS"
2037,4083940.38191676,"AUS"
2038,4142495.98853967,"AUS"
2039,4201891.16644579,"AUS"
2040,4262137.95342244,"AUS"
2041,4323248.55985495,"AUS"
2042,4385235.37120138,"AUS"
2043,4448110.95050267,"AUS"
2044,4511888.04092886,"AUS"
2045,4576579.56836179,"AUS"
2046,4642198.64401482,"AUS"
2047,4708758.56709008,"AUS"
2048,4776272.82747391,"AUS"
2049,4844755.10847087,"AUS"
2050,4914219.28957696,"AUS"
2021,2001686,"AUT"
2022,2015789.10890689,"AUT"
2023,2029991.58288944,"AUT"
2024,2044294.12203572,"AUT"
2025,2058697.43136635,"AUT"
2026,2073202.22086924,"AUT"
2027,2087809.20553463,"AUT"
2028,2102519.10539029,"AUT"
2029,2117332.64553701,"AUT"
2030,2132250.5561844,"AUT"
2031,2147273.57268681,"AUT"
2032,2162402.43557963,"AUT"
2033,2177637.89061579,"AUT"
2034,2192980.68880248,"AUT"
2035,2208431.58643822,"AUT"
2036,2223991.3451501,"AUT"
2037,2239660.73193136,"AUT"
2038,2255440.51917917,"AUT"
2039,2271331.4847327,"AUT"
2040,2287334.41191151,"AUT"
2041,2303450.08955409,"AUT"
2042,2319679.3120568,"AUT"
2043,2336022.87941302,"AUT"
2044,2352481.59725255,"AUT"
2045,2369056.27688138,"AUT"
2046,2385747.73532162,"AUT"
2047,2402556.79535182,"AUT"
2048,2419484.2855475,"AUT"
2049,2436531.04032202,"AUT"
2050,2453697.89996768,"AUT"
2021,83503.09,"AZE"
2022,83593.6366591446,"AZE"
2023,83684.2815026496,"AZE"
2024,83775.0246369813,"AZE"
2025,83865.8661687214,"AZE"
2026,83956.8062045673,"AZE"
2027,84047.844851332,"AZE"
2028,84138.9822159444,"AZE"
2029,84230.2184054493,"AZE"
2030,84321.5535270075,"AZE"
2031,84412.987687896,"AZE"
2032,84504.5209955084,"AZE"
2033,84596.1535573544,"AZE"
2034,84687.8854810605,"AZE"
2035,84779.7168743697,"AZE"
2036,84871.6478451422,"AZE"
2037,84963.6785013547,"AZE"
2038,85055.8089511013,"AZE"
2039,85148.0393025933,"AZE"
2040,85240.3696641591,"AZE"
2041,85332.8001442448,"AZE"
2042,85425.330851414,"AZE"
2043,85517.9618943481,"AZE"
2044,85610.6933818462,"AZE"
2045,85703.5254228255,"AZE"
2046,85796.4581263212,"AZE"
2047,85889.491601487,"AZE"
2048,85982.6259575945,"AZE"
2049,86075.8613040343,"AZE"
2050,86169.1977503152,"AZE"
2021,5948.029,"BDI"
2022,6857.79916441126,"BDI"
2023,7906.72160129008,"BDI"
2024,9116.08009822407,"BDI"
2025,10510.413866561,"BDI"
2026,12118.0154689425,"BDI"
2027,13971.5049064551,"BDI"
2028,16108.4915142571,"BDI"
2029,18572.3370962715,"BDI"
2030,21413.0357837823,"BDI"
2031,24688.2284712349,"BDI"
2032,28464.372413253,"BDI"
2033,32818.0897152817,"BDI"
2034,37837.7220802106,"BDI"
2035,43625.123358493,"BDI"
2036,50297.7262745713,"BDI"
2037,57990.9252657546,"BDI"
2038,66860.8237839675,"BDI"
2039,77087.4018061346,"BDI"
2040,88878.167825467,"BDI"
2041,102472.36942656,"BDI"
2042,118145.847881492,"BDI"
2043,136216.635272013,"BDI"
2044,157051.407709567,"BDI"
2045,181072.925596072,"BDI"
2046,208768.61189652,"BDI"
2047,240700.442485949,"BDI"
2048,277516.349256798,"BDI"
2049,319963.367368204,"BDI"
2050,368902.793409361,"BDI"
2021,1262688,"BEL"
2022,1262902.57614797,"BEL"
2023,1263117.18876015,"BEL"
2024,1263331.83784274,"BEL"
2025,1263546.52340193,"BEL"
2026,1263761.24544393,"BEL"
2027,1263976.00397494,"BEL"
2028,1264190.79900115,"BEL"
2029,1264405.63052877,"BEL"
2030,1264620.498564,"BEL"
2031,1264835.40311304,"BEL"
2032,1265050.34418211,"BEL"
2033,1265265.3217774,"BEL"
2034,1265480.33590512,"BEL"
2035,1265695.38657148,"BEL"
2036,1265910.47378269,"BEL"
2037,1266125.59754497,"BEL"
2038,1266340.75786451,"BEL"
2039,1266555.95474754,"BEL"
2040,1266771.18820026,"BEL"
2041,1266986.4582289,"BEL"
2042,1267201.76483967,"BEL"
2043,1267417.10803878,"BEL"
2044,1267632.48783245,"BEL"
2045,1267847.9042269,"BEL"
2046,1268063.35722836,"BEL"
2047,1268278.84684303,"BEL"
2048,1268494.37307715,"BEL"
2049,1268709.93593693,"BEL"
2050,1268925.5354286,"BEL"
2021,23294.26,"BEN"
2022,21968.4537047235,"BEN"
2023,20718.1064423844,"BEN"
2024,19538.9234184325,"BEN"
2025,18426.8542790357,"BEN"
2026,17378.0791985958,"BEN"
2027,16388.9957590999,"BEN"
2028,15456.2065762421,"BEN"
2029,14576.5076298117,"BEN"
2030,13746.8772582631,"BEN"
2031,12964.4657796671,"BEN"
2032,12226.5857033917,"BEN"
2033,11530.70249889,"BEN"
2034,10874.4258898889,"BEN"
2035,10255.5016440733,"BEN"
2036,9671.80383006542,"BEN"
2037,9121.32751510283,"BEN"
2038,8602.18187833212,"BEN"
2039,8112.58371606354,"BEN"
2040,7650.85131667781,"BEN"
2041,7215.39868414618,"BEN"
2042,6804.73009032217,"BEN"
2043,6417.43493729276,"BEN"
2044,6052.18291214191,"BEN"
2045,5707.71941748345,"BEN"
2046,5382.86126206784,"BEN"
2047,5076.49259666057,"BEN"
2048,4787.56108123242,"BEN"
2049,4515.07427029621,"BEN"
2050,4258.0962039743,"BEN"
2021,15920.59,"BFA"
2022,17067.6704836532,"BFA"
2023,18297.3982583915,"BFA"
2024,19615.728071786,"BFA"
2025,21029.0437117085,"BFA"
2026,22544.1889187385,"BFA"
2027,24168.500525813,"BFA"
2028,25909.8439855919,"BFA"
2029,27776.6514575745,"BFA"
2030,29777.9626393975,"BFA"
2031,31923.4685400334,"BFA"
2032,34223.5584068529,"BFA"
2033,36689.3700337879,"BFA"
2034,39332.8436942042,"BFA"
2035,42166.7799596443,"BFA"
2036,45204.9016844174,"BFA"
2037,48461.9204561874,"BFA"
2038,51953.6078343339,"BFA"
2039,55696.871721045,"BFA"
2040,59709.8382349584,"BFA"
2041,64011.9394838071,"BFA"
2042,68624.0076610959,"BFA"
2043,73568.3759224548,"BFA"
2044,78868.9865301463,"BFA"
2045,84551.5067893976,"BFA"
2046,90643.4533379606,"BFA"
2047,97174.3253907488,"BFA"
2048,104175.747584769,"BFA"
2049,111681.623116044,"BFA"
2050,119728.297910076,"BFA"
2021,682537.6,"BGD"
2022,758371.625998288,"BGD"
2023,842631.267668312,"BGD"
2024,936252.661507023,"BGD"
2025,1040275.95439769,"BGD"
2026,1155856.85978837,"BGD"
2027,1284279.49783131,"BGD"
2028,1426970.66213875,"BGD"
2029,1585515.67166119,"BGD"
2030,1761675.98380436,"BGD"
2031,1957408.7644693,"BGD"
2032,2174888.63244147,"BGD"
2033,2416531.81971196,"BGD"
2034,2685023.01615553,"BGD"
2035,2983345.19681362,"BGD"
2036,3314812.76316753,"BGD"
2037,3683108.36660608,"BGD"
2038,4092323.82320176,"BGD"
2039,4547005.57436403,"BGD"
2040,5052205.19844435,"BGD"
2041,5613535.53448373,"BGD"
2042,6237233.04164576,"BGD"
2043,6930227.08715701,"BGD"
2044,7700216.93255382,"BGD"
2045,8555757.27356322,"BGD"
2046,9506353.28397853,"BGD"
2047,10562566.21948,"BGD"
2048,11736130.7546744,"BGD"
2049,13040085.3569839,"BGD"
2050,14488917.1458574,"BGD"
2021,365456.7,"BGR"
2022,385289.852015193,"BGR"
2023,406199.339253842,"BGR"
2024,428243.573889279,"BGR"
2025,451484.13809422,"BGR"
2026,475985.95607504,"BGR"
2027,501817.475442269,"BGR"
2028,529050.858423965,"BGR"
2029,557762.183456154,"BGR"
2030,588031.657713466,"BGR"
2031,619943.841173715,"BGR"
2032,653587.882842348,"BGR"
2033,689057.769796673,"BGR"
2034,726452.589745596,"BGR"
2035,765876.807838342,"BGR"
2036,807440.558495448,"BGR"
2037,851259.953077276,"BGR"
2038,897457.404249544,"BGR"
2039,946161.967952007,"BGR"
2040,997509.703925617,"BGR"
2041,1051644.0558053,"BGR"
2042,1108716.25184018,"BGR"
2043,1168885.7273607,"BGR"
2044,1232320.57017282,"BGR"
2045,1299197.99012349,"BGR"
2046,1369704.8141493,"BGR"
2047,1444038.00819107,"BGR"
2048,1522405.22743256,"BGR"
2049,1605025.39640031,"BGR"
2050,1692129.32054523,"BGR"
2021,66960.44,"BHR"
2022,69833.2381996035,"BHR"
2023,72829.2878219223,"BHR"
2024,75953.8767125153,"BHR"
2025,79212.5195809406,"BHR"
2026,82610.9677338826,"BHR"
2027,86155.219225859,"BHR"
2028,89851.5294454228,"BHR"
2029,93706.4221555429,"BHR"
2030,97726.7010076491,"BHR"
2031,101919.461549664,"BHR"
2032,106292.103749214,"BHR"
2033,110852.345054122,"BHR"
2034,115608.234013234,"BHR"
2035,120568.164481621,"BHR"
2036,125740.890435218,"BHR"
2037,131135.541421066,"BHR"
2038,136761.638670404,"BHR"
2039,142629.111903065,"BHR"
2040,148748.316852825,"BHR"
2041,155130.053544652,"BHR"
2042,161785.585356084,"BHR"
2043,168726.658896412,"BHR"
2044,175965.524738732,"BHR"
2045,183514.959041459,"BHR"
2046,191388.286097473,"BHR"
2047,199599.401850686,"BHR"
2048,208162.798421535,"BHR"
2049,217093.589684702,"BHR"
2050,226407.537944177,"BHR"
2021,18478.77,"BHS"
2022,20270.079308828,"BHS"
2023,22235.0359459085,"BHS"
2024,24390.4730703508,"BHS"
2025,26754.8556270707,"BHS"
2026,29348.4385301059,"BHS"
2027,32193.4401800287,"BHS"
2028,35314.2328019231,"BHS"
2029,38737.5512344921,"BHS"
2030,42492.7219589259,"BHS"
2031,46611.9143295471,"BHS"
2032,51130.4161584464,"BHS"
2033,56086.936014956,"BHS"
2034,61523.9348296623,"BHS"
2035,67487.9896437056,"BHS"
2036,74030.1926194912,"BHS"
2037,81206.5887310085,"BHS"
2038,89078.6558833147,"BHS"
2039,97713.8315742111,"BHS"
2040,107186.090609858,"BHS"
2041,117576.57882343,"BHS"
2042,128974.308225688,"BHS"
2043,141476.919542584,"BHS"
2044,155191.518672339,"BHS"
2045,170235.594227634,"BHS"
2046,186738.024023222,"BHS"
2047,204840.179131215,"BHS"
2048,224697.134962136,"BHS"
2049,246478.999746678,"BHS"
2050,270372.371798867,"BHS"
2021,78138.3,"BIH"
2022,83162.4714193584,"BIH"
2023,88509.6892634675,"BIH"
2024,94200.7249160707,"BIH"
2025,100257.685328649,"BIH"
2026,106704.098895353,"BIH"
2027,113565.006849563,"BIH"
2028,120867.0605371,"BIH"
2029,128638.624943957,"BIH"
2030,136909.888880708,"BIH"
2031,145712.98225159,"BIH"
2032,155082.100863818,"BIH"
2033,165053.639261941,"BIH"
2034,175666.332103236,"BIH"
2035,186961.404623327,"BIH"
2036,198982.732776506,"BIH"
2037,211777.013672835,"BIH"
2038,225393.946974073,"BIH"
2039,239886.4279531,"BIH"
2040,255310.752966748,"BIH"
2041,271726.838140221,"BIH"
2042,289198.452112584,"BIH"
2043,307793.463747426,"BIH"
2044,327584.10577093,"BIH"
2045,348647.255361468,"BIH"
2046,371064.73278067,"BIH"
2047,394923.619206002,"BIH"
2048,420316.594999491,"BIH"
2049,447342.299726603,"BIH"
2050,476105.715323774,"BIH"
2021,145624.6,"BLR"
2022,156462.379995909,"BLR"
2023,168106.737144577,"BLR"
2024,180617.699118055,"BLR"
2025,194059.761011504,"BLR"
2026,208502.217821008,"BLR"
2027,224019.521665298,"BLR"
2028,240691.665592885,"BLR"
2029,258604.595953171,"BLR"
2030,277850.655457344,"BLR"
2031,298529.059213067,"BLR"
2032,320746.406186977,"BLR"
2033,344617.228731608,"BLR"
2034,370264.583009615,"BLR"
2035,397820.683358973,"BLR"
2036,427427.583869371,"BLR"
2037,459237.910683379,"BLR"
2038,493415.648797456,"BLR"
2039,530136.987418853,"BLR"
2040,569591.228236266,"BLR"
2041,611981.761286479,"BLR"
2042,657527.113447664,"BLR"
2043,706462.074964404,"BLR"
2044,759038.909811796,"BLR"
2045,815528.656138136,"BLR"
2046,876222.52349011,"BLR"
2047,941433.394023288,"BLR"
2048,1011497.4354368,"BLR"
2049,1086775.83394701,"BLR"
2050,1167656.65623382,"BLR"
2021,1975.223,"BLZ"
2022,1982.37502175356,"BLZ"
2023,1989.55294003383,"BLZ"
2024,1996.75684860871,"BLZ"
2025,2003.98684158561,"BLZ"
2026,2011.24301341273,"BLZ"
2027,2018.52545888022,"BLZ"
2028,2025.83427312147,"BLZ"
2029,2033.16955161432,"BLZ"
2030,2040.53139018233,"BLZ"
2031,2047.91988499604,"BLZ"
2032,2055.33513257418,"BLZ"
2033,2062.777229785,"BLZ"
2034,2070.24627384745,"BLZ"
2035,2077.74236233255,"BLZ"
2036,2085.26559316456,"BLZ"
2037,2092.81606462235,"BLZ"
2038,2100.39387534063,"BLZ"
2039,2107.99912431125,"BLZ"
2040,2115.63191088449,"BLZ"
2041,2123.29233477039,"BLZ"
2042,2130.98049604001,"BLZ"
2043,2138.69649512675,"BLZ"
2044,2146.44043282766,"BLZ"
2045,2154.21241030479,"BLZ"
2046,2162.01252908647,"BLZ"
2047,2169.84089106864,"BLZ"
2048,2177.6975985162,"BLZ"
2049,2185.58275406434,"BLZ"
2050,2193.49646071989,"BLZ"
2021,6904.582,"BMU"
2022,6752.23453859042,"BMU"
2023,6603.24857668913,"BMU"
2024,6457.54994385154,"BMU"
2025,6315.06610618094,"BMU"
2026,6175.72613021855,"BMU"
2027,6039.46064763038,"BMU"
2028,5906.20182067322,"BMU"
2029,5775.88330842263,"BMU"
2030,5648.44023374611,"BMU"
2031,5523.80915100497,"BMU"
2032,5401.92801446888,"BMU"
2033,5282.73614742731,"BMU"
2034,5166.17421198253,"BMU"
2035,5052.18417950914,"BMU"
2036,4940.70930176537,"BMU"
2037,4831.6940826418,"BMU"
2038,4725.08425053348,"BMU"
2039,4620.82673132157,"BMU"
2040,4518.86962195125,"BMU"
2041,4419.16216459248,"BMU"
2042,4321.65472137102,"BMU"
2043,4226.29874965693,"BMU"
2044,4133.04677789836,"BMU"
2045,4041.85238198853,"BMU"
2046,3952.67016215419,"BMU"
2047,3865.45572035401,"BMU"
2048,3780.16563817567,"BMU"
2049,3696.75745522068,"BMU"
2050,3615.18964796604,"BMU"
2021,43572.51,"BOL"
2022,45726.4133292762,"BOL"
2023,47986.7897433452,"BOL"
2024,50358.9024857479,"BOL"
2025,52848.2749759429,"BOL"
2026,55460.7036704842,"BOL"
2027,58202.2715599599,"BOL"
2028,61079.3623331202,"BOL"
2029,64098.6752411756,"BOL"
2030,67267.2406968761,"BOL"
2031,70592.4366446933,"BOL"
2032,74082.0057402245,"BOL"
2033,77744.0733788188,"BOL"
2034,81587.1666154061,"BOL"
2035,85620.2340195821,"BOL"
2036,89852.6665121832,"BOL"
2037,94294.3192318666,"BOL"
2038,98955.5344826142,"BOL"
2039,103847.16581559,"BOL"
2040,108980.603301429,"BOL"
2041,114367.800051799,"BOL"
2042,120021.300051996,"BOL"
2043,125954.267369372,"BOL"
2044,132180.516805621,"BOL"
2045,138714.546064277,"BOL"
2046,145571.569508345,"BOL"
2047,152767.553586654,"BOL"
2048,160319.254011433,"BOL"
2049,168244.254773664,"BOL"
2050,176561.009087073,"BOL"
2021,4452378,"BRA"
2022,4319820.12808987,"BRA"
2023,4191208.81898401,"BRA"
2024,4066426.5741307,"BRA"
2025,3945359.39318929,"BRA"
2026,3827896.66988013,"BRA"
2027,3713931.09093531,"BRA"
2028,3603358.53805789,"BRA"
2029,3496077.99280002,"BRA"
2030,3391991.44427306,"BRA"
2031,3291003.79960537,"BRA"
2032,3193022.79706609,"BRA"
2033,3097958.92177527,"BRA"
2034,3005725.32392362,"BRA"
2035,2916237.73942705,"BRA"
2036,2829414.41294343,"BRA"
2037,2745176.02318146,"BRA"
2038,2663445.61043312,"BRA"
2039,2584148.50626376,"BRA"
2040,2507212.26529543,"BRA"
2041,2432566.59902124,"BRA"
2042,2360143.31159014,"BRA"
2043,2289876.2375036,"BRA"
2044,2221701.18116717,"BRA"
2045,2155555.85824182,"BRA"
2046,2091379.83874124,"BRA"
2047,2029114.49182342,"BRA"
2048,1968702.9322258,"BRA"
2049,1910089.96829527,"BRA"
2050,1853222.05156536,"BRA"
2021,9261.965,"BRB"
2022,9608.13384087005,"BRB"
2023,9967.24085051846,"BRB"
2024,10339.769597053,"BRB"
2025,10726.2217220907,"BRB"
2026,11127.1176162613,"BRB"
2027,11542.9971199568,"BRB"
2028,11974.4202502733,"BRB"
2029,12421.9679551208,"BRB"
2030,12886.2428955194,"BRB"
2031,13367.8702571335,"BRB"
2032,13867.4985921373,"BRB"
2033,14385.8006925454,"BRB"
2034,14923.4744961849,"BRB"
2035,15481.2440265274,"BRB"
2036,16059.8603676482,"BRB"
2037,16660.1026756254,"BRB"
2038,17282.779227739,"BRB"
2039,17928.7285108857,"BRB"
2040,18598.820350672,"BRB"
2041,19293.9570827092,"BRB"
2042,20015.074767684,"BRB"
2043,20763.1444518446,"BRB"
2044,21539.1734745965,"BRB"
2045,22344.2068249708,"BRB"
2046,23179.3285487909,"BRB"
2047,24045.6632084317,"BRB"
2048,24944.3773971395,"BRB"
2049,25876.6813099477,"BRB"
2050,26843.8303733082,"BRB"
2021,11986.6,"BRN"
2022,11618.1158419694,"BRN"
2023,11260.9593810939,"BRN"
2024,10914.7823887726,"BRN"
2025,10579.2473414185,"BRN"
2026,10254.0270913726,"BRN"
2027,9938.80454793349,"BRN"
2028,9633.27236819312,"BRN"
2029,9337.13265737661,"BRN"
2030,9050.09667839396,"BRN"
2031,8771.88457032049,"BRN"
2032,8502.22507553163,"BRN"
2033,8240.85527522596,"BRN"
2034,7987.52033307859,"BRN"
2035,7741.97324677499,"BRN"
2036,7503.974607183,"BRN"
2037,7273.29236492824,"BRN"
2038,7049.70160414529,"BRN"
2039,6832.98432318401,"BRN"
2040,6622.92922205736,"BRN"
2041,6419.33149642323,"BRN"
2042,6221.99263789964,"BRN"
2043,6030.72024051848,"BRN"
2044,5845.3278131291,"BRN"
2045,5665.63459756891,"BRN"
2046,5491.46539242365,"BRN"
2047,5322.65038220545,"BRN"
2048,5159.02497178229,"BRN"
2049,5000.42962589722,"BRN"
2050,4846.70971362101,"BRN"
2021,4824.836,"BTN"
2022,5950.88542076264,"BTN"
2023,7339.7390690679,"BTN"
2024,9052.73178576808,"BTN"
2025,11165.5131080107,"BTN"
2026,13771.388119678,"BTN"
2027,16985.438009718,"BTN"
2028,20949.6023113114,"BTN"
2029,25838.9472647688,"BTN"
2030,31869.3971288904,"BTN"
2031,39307.2698725529,"BTN"
2032,48481.0383636993,"BTN"
2033,59795.8364557826,"BTN"
2034,73751.3505924396,"BTN"
2035,90963.8870631256,"BTN"
2036,112193.589448398,"BTN"
2037,138378.008237275,"BTN"
2038,170673.505125019,"BTN"
2039,210506.320496475,"BTN"
2040,259635.559347688,"BTN"
2041,320230.877243021,"BTN"
2042,394968.297091035,"BTN"
2043,487148.388219307,"BTN"
2044,600842.026796825,"BTN"
2045,741070.174705773,"BTN"
2046,914025.616294233,"BTN"
2047,1127346.44539399,"BTN"
2048,1390453.38039338,"BTN"
2049,1714965.80394299,"BTN"
