,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_hydropower_mm_usd_per_gw
128,Afghanistan,ALA,2029,4201.850584559825
129,Afghanistan,ALA,2030,4105.880184573895
130,Afghanistan,ALA,2031,4012.101751553024
131,Afghanistan,ALA,2032,3920.4652209025357
132,Afghanistan,ALA,2033,3830.921671504681
133,Afghanistan,ALA,2034,3743.423299601583
134,Afghanistan,ALA,2035,3657.923393274703
135,Afghanistan,ALA,2036,3574.376307507199
136,Afghanistan,ALA,2037,3492.7374398158518
137,Afghanistan,ALA,2038,3412.963206439566
138,Afghanistan,ALA,2039,3335.011019071729
139,Afghanistan,ALA,2040,3258.8392621239936
140,Afghanistan,ALA,2041,3184.4072705093627
141,Afghanistan,ALA,2042,3111.6753079327123
142,Afghanistan,ALA,2043,3040.6045456771517
143,Afghanistan,ALA,2044,2971.15704187491
144,Afghanistan,ALA,2045,2903.2957212516753
145,Afghanistan,ALA,2046,2836.9843553335677
146,Afghanistan,ALA,2047,2772.187543106199
147,Afghanistan,ALA,2048,2708.8706921154635
148,Afghanistan,ALA,2049,2647.0
149,Afghanistan,ALA,2050,2586.5424364454493
150,Afghanistan,ALB,2021,5054.931451101745
151,Afghanistan,ALB,2022,4939.476657195858
152,Afghanistan,ALB,2023,4826.6588544272
153,Afghanistan,ALB,2024,4716.417813834956
154,Afghanistan,ALB,2025,4608.694682089681
155,Afghanistan,ALB,2026,4503.43195007383
156,Afghanistan,ALB,2027,4400.573422179918
157,Afghanistan,ALB,2028,4300.064186309911
158,Afghanistan,ALB,2029,4201.850584559825
159,Afghanistan,ALB,2030,4105.880184573895
160,Afghanistan,ALB,2031,4012.101751553024
161,Afghanistan,ALB,2032,3920.4652209025357
162,Afghanistan,ALB,2033,3830.921671504681
163,Afghanistan,ALB,2034,3743.423299601583
164,Afghanistan,ALB,2035,3657.923393274703
165,Afghanistan,ALB,2036,3574.376307507199
166,Afghanistan,ALB,2037,3492.7374398158518
167,Afghanistan,ALB,2038,3412.963206439566
168,Afghanistan,ALB,2039,3335.011019071729
169,Afghanistan,ALB,2040,3258.8392621239936
170,Afghanistan,ALB,2041,3184.4072705093627
171,Afghanistan,ALB,2042,3111.6753079327123
172,Afghanistan,ALB,2043,3040.6045456771517
173,Afghanistan,ALB,2044,2971.15704187491
174,Afghanistan,ALB,2045,2903.2957212516753
175,Afghanistan,ALB,2046,2836.9843553335677
176,Afghanistan,ALB,2047,2772.187543106199
177,Afghanistan,ALB,2048,2708.8706921154635
178,Afghanistan,ALB,2049,2647.0
179,Afghanistan,ALB,2050,2586.5424364454493
180,Afghanistan,AND,2021,5054.931451101745
181,Afghanistan,AND,2022,4939.476657195858
182,Afghanistan,AND,2023,4826.6588544272
183,Afghanistan,AND,2024,4716.417813834956
184,Afghanistan,AND,2025,4608.694682089681
185,Afghanistan,AND,2026,4503.43195007383
186,Afghanistan,AND,2027,4400.573422179918
187,Afghanistan,AND,2028,4300.064186309911
188,Afghanistan,AND,2029,4201.850584559825
189,Afghanistan,AND,2030,4105.880184573895
190,Afghanistan,AND,2031,4012.101751553024
191,Afghanistan,AND,2032,3920.4652209025357
192,Afghanistan,AND,2033,3830.921671504681
193,Afghanistan,AND,2034,3743.423299601583
194,Afghanistan,AND,2035,3657.923393274703
195,Afghanistan,AND,2036,3574.376307507199
196,Afghanistan,AND,2037,3492.7374398158518
197,Afghanistan,AND,2038,3412.963206439566
198,Afghanistan,AND,2039,3335.011019071729
199,Afghanistan,AND,2040,3258.8392621239936
200,Afghanistan,AND,2041,3184.4072705093627
201,Afghanistan,AND,2042,3111.6753079327123
202,Afghanistan,AND,2043,3040.6045456771517
203,Afghanistan,AND,2044,2971.15704187491
204,Afghanistan,AND,2045,2903.2957212516753
205,Afghanistan,AND,2046,2836.9843553335677
206,Afghanistan,AND,2047,2772.187543106199
207,Afghanistan,AND,2048,2708.8706921154635
208,Afghanistan,AND,2049,2647.0
209,Afghanistan,AND,2050,2586.5424364454493
210,Afghanistan,ARE,2021,5054.931451101745
211,Afghanistan,ARE,2022,4939.476657195858
212,Afghanistan,ARE,2023,4826.6588544272
213,Afghanistan,ARE,2024,4716.417813834956
214,Afghanistan,ARE,2025,4608.694682089681
215,Afghanistan,ARE,2026,4503.43195007383
216,Afghanistan,ARE,2027,4400.573422179918
217,Afghanistan,ARE,2028,4300.064186309911
218,Afghanistan,ARE,2029,4201.850584559825
219,Afghanistan,ARE,2030,4105.880184573895
220,Afghanistan,ARE,2031,4012.101751553024
221,Afghanistan,ARE,2032,3920.4652209025357
222,Afghanistan,ARE,2033,3830.921671504681
223,Afghanistan,ARE,2034,3743.423299601583
224,Afghanistan,ARE,2035,3657.923393274703
225,Afghanistan,ARE,2036,3574.376307507199
226,Afghanistan,ARE,2037,3492.7374398158518
227,Afghanistan,ARE,2038,3412.963206439566
228,Afghanistan,ARE,2039,3335.011019071729
229,Afghanistan,ARE,2040,3258.8392621239936
230,Afghanistan,ARE,2041,3184.4072705093627
231,Afghanistan,ARE,2042,3111.6753079327123
232,Afghanistan,ARE,2043,3040.6045456771517
233,Afghanistan,ARE,2044,2971.15704187491
234,Afghanistan,ARE,2045,2903.2957212516753
235,Afghanistan,ARE,2046,2836.9843553335677
236,Afghanistan,ARE,2047,2772.187543106199
237,Afghanistan,ARE,2048,2708.8706921154635
238,Afghanistan,ARE,2049,2647.0
239,Afghanistan,ARE,2050,2586.5424364454493
240,Afghanistan,ARG,2021,5054.931451101745
241,Afghanistan,ARG,2022,4939.476657195858
242,Afghanistan,ARG,2023,4826.6588544272
243,Afghanistan,ARG,2024,4716.417813834956
244,Afghanistan,ARG,2025,4608.694682089681
245,Afghanistan,ARG,2026,4503.43195007383
246,Afghanistan,ARG,2027,4400.573422179918
247,Afghanistan,ARG,2028,4300.064186309911
248,Afghanistan,ARG,2029,4201.850584559825
249,Afghanistan,ARG,2030,4105.880184573895
250,Afghanistan,ARG,2031,4012.101751553024
251,Afghanistan,ARG,2032,3920.4652209025357
252,Afghanistan,ARG,2033,3830.921671504681
253,Afghanistan,ARG,2034,3743.423299601583
254,Afghanistan,ARG,2035,3657.923393274703
255,Afghanistan,ARG,2036,3574.376307507199
256,Afghanistan,ARG,2037,3492.7374398158518
257,Afghanistan,ARG,2038,3412.963206439566
258,Afghanistan,ARG,2039,3335.011019071729
259,Afghanistan,ARG,2040,3258.8392621239936
260,Afghanistan,ARG,2041,3184.4072705093627
261,Afghanistan,ARG,2042,3111.6753079327123
262,Afghanistan,ARG,2043,3040.6045456771517
263,Afghanistan,ARG,2044,2971.15704187491
264,Afghanistan,ARG,2045,2903.2957212516753
265,Afghanistan,ARG,2046,2836.9843553335677
266,Afghanistan,ARG,2047,2772.187543106199
267,Afghanistan,ARG,2048,2708.8706921154635
268,Afghanistan,ARG,2049,2647.0
269,Afghanistan,ARG,2050,2586.5424364454493
270,Afghanistan,ARM,2021,5054.931451101745
271,Afghanistan,ARM,2022,4939.476657195858
272,Afghanistan,ARM,2023,4826.6588544272
273,Afghanistan,ARM,2024,4716.417813834956
274,Afghanistan,ARM,2025,4608.694682089681
275,Afghanistan,ARM,2026,4503.43195007383
276,Afghanistan,ARM,2027,4400.573422179918
277,Afghanistan,ARM,2028,4300.064186309911
278,Afghanistan,ARM,2029,4201.850584559825
279,Afghanistan,ARM,2030,4105.880184573895
280,Afghanistan,ARM,2031,4012.101751553024
281,Afghanistan,ARM,2032,3920.4652209025357
282,Afghanistan,ARM,2033,3830.921671504681
283,Afghanistan,ARM,2034,3743.423299601583
284,Afghanistan,ARM,2035,3657.923393274703
285,Afghanistan,ARM,2036,3574.376307507199
286,Afghanistan,ARM,2037,3492.7374398158518
287,Afghanistan,ARM,2038,3412.963206439566
288,Afghanistan,ARM,2039,3335.011019071729
289,Afghanistan,ARM,2040,3258.8392621239936
290,Afghanistan,ARM,2041,3184.4072705093627
291,Afghanistan,ARM,2042,3111.6753079327123
292,Afghanistan,ARM,2043,3040.6045456771517
293,Afghanistan,ARM,2044,2971.15704187491
294,Afghanistan,ARM,2045,2903.2957212516753
295,Afghanistan,ARM,2046,2836.9843553335677
296,Afghanistan,ARM,2047,2772.187543106199
297,Afghanistan,ARM,2048,2708.8706921154635
298,Afghanistan,ARM,2049,2647.0
299,Afghanistan,ARM,2050,2586.5424364454493
300,Afghanistan,ASM,2021,5054.931451101745
301,Afghanistan,ASM,2022,4939.476657195858
302,Afghanistan,ASM,2023,4826.6588544272
303,Afghanistan,ASM,2024,4716.417813834956
304,Afghanistan,ASM,2025,4608.694682089681
305,Afghanistan,ASM,2026,4503.43195007383
306,Afghanistan,ASM,2027,4400.573422179918
307,Afghanistan,ASM,2028,4300.064186309911
308,Afghanistan,ASM,2029,4201.850584559825
309,Afghanistan,ASM,2030,4105.880184573895
310,Afghanistan,ASM,2031,4012.101751553024
311,Afghanistan,ASM,2032,3920.4652209025357
312,Afghanistan,ASM,2033,3830.921671504681
313,Afghanistan,ASM,2034,3743.423299601583
314,Afghanistan,ASM,2035,3657.923393274703
315,Afghanistan,ASM,2036,3574.376307507199
316,Afghanistan,ASM,2037,3492.7374398158518
317,Afghanistan,ASM,2038,3412.963206439566
318,Afghanistan,ASM,2039,3335.011019071729
319,Afghanistan,ASM,2040,3258.8392621239936
320,Afghanistan,ASM,2041,3184.4072705093627
321,Afghanistan,ASM,2042,3111.6753079327123
322,Afghanistan,ASM,2043,3040.6045456771517
323,Afghanistan,ASM,2044,2971.15704187491
324,Afghanistan,ASM,2045,2903.2957212516753
325,Afghanistan,ASM,2046,2836.9843553335677
326,Afghanistan,ASM,2047,2772.187543106199
327,Afghanistan,ASM,2048,2708.8706921154635
328,Afghanistan,ASM,2049,2647.0
329,Afghanistan,ASM,2050,2586.5424364454493
330,Afghanistan,ATA,2021,5054.931451101745
331,Afghanistan,ATA,2022,4939.476657195858
332,Afghanistan,ATA,2023,4826.6588544272
333,Afghanistan,ATA,2024,4716.417813834956
334,Afghanistan,ATA,2025,4608.694682089681
335,Afghanistan,ATA,2026,4503.43195007383
336,Afghanistan,ATA,2027,4400.573422179918
337,Afghanistan,ATA,2028,4300.064186309911
338,Afghanistan,ATA,2029,4201.850584559825
339,Afghanistan,ATA,2030,4105.880184573895
340,Afghanistan,ATA,2031,4012.101751553024
341,Afghanistan,ATA,2032,3920.4652209025357
342,Afghanistan,ATA,2033,3830.921671504681
343,Afghanistan,ATA,2034,3743.423299601583
344,Afghanistan,ATA,2035,3657.923393274703
345,Afghanistan,ATA,2036,3574.376307507199
346,Afghanistan,ATA,2037,3492.7374398158518
347,Afghanistan,ATA,2038,3412.963206439566
348,Afghanistan,ATA,2039,3335.011019071729
349,Afghanistan,ATA,2040,3258.8392621239936
350,Afghanistan,ATA,2041,3184.4072705093627
351,Afghanistan,ATA,2042,3111.6753079327123
352,Afghanistan,ATA,2043,3040.6045456771517
353,Afghanistan,ATA,2044,2971.15704187491
354,Afghanistan,ATA,2045,2903.2957212516753
355,Afghanistan,ATA,2046,2836.9843553335677
356,Afghanistan,ATA,2047,2772.187543106199
357,Afghanistan,ATA,2048,2708.8706921154635
358,Afghanistan,ATA,2049,2647.0
359,Afghanistan,ATA,2050,2586.5424364454493
360,Afghanistan,ATF,2021,5054.931451101745
361,Afghanistan,ATF,2022,4939.476657195858
362,Afghanistan,ATF,2023,4826.6588544272
363,Afghanistan,ATF,2024,4716.417813834956
364,Afghanistan,ATF,2025,4608.694682089681
365,Afghanistan,ATF,2026,4503.43195007383
366,Afghanistan,ATF,2027,4400.573422179918
367,Afghanistan,ATF,2028,4300.064186309911
368,Afghanistan,ATF,2029,4201.850584559825
369,Afghanistan,ATF,2030,4105.880184573895
370,Afghanistan,ATF,2031,4012.101751553024
371,Afghanistan,ATF,2032,3920.4652209025357
372,Afghanistan,ATF,2033,3830.921671504681
373,Afghanistan,ATF,2034,3743.423299601583
374,Afghanistan,ATF,2035,3657.923393274703
375,Afghanistan,ATF,2036,3574.376307507199
376,Afghanistan,ATF,2037,3492.7374398158518
377,Afghanistan,ATF,2038,3412.963206439566
378,Afghanistan,ATF,2039,3335.011019071729
379,Afghanistan,ATF,2040,3258.8392621239936
380,Afghanistan,ATF,2041,3184.4072705093627
381,Afghanistan,ATF,2042,3111.6753079327123
382,Afghanistan,ATF,2043,3040.6045456771517
383,Afghanistan,ATF,2044,2971.15704187491
384,Afghanistan,ATF,2045,2903.2957212516753
385,Afghanistan,ATF,2046,2836.9843553335677
386,Afghanistan,ATF,2047,2772.187543106199
387,Afghanistan,ATF,2048,2708.8706921154635
388,Afghanistan,ATF,2049,2647.0
389,Afghanistan,ATF,2050,2586.5424364454493
390,Afghanistan,ATG,2021,5054.931451101745
391,Afghanistan,ATG,2022,4939.476657195858
392,Afghanistan,ATG,2023,4826.6588544272
393,Afghanistan,ATG,2024,4716.417813834956
394,Afghanistan,ATG,2025,4608.694682089681
395,Afghanistan,ATG,2026,4503.43195007383
396,Afghanistan,ATG,2027,4400.573422179918
397,Afghanistan,ATG,2028,4300.064186309911
398,Afghanistan,ATG,2029,4201.850584559825
399,Afghanistan,ATG,2030,4105.880184573895
400,Afghanistan,ATG,2031,4012.101751553024
401,Afghanistan,ATG,2032,3920.4652209025357
402,Afghanistan,ATG,2033,3830.921671504681
403,Afghanistan,ATG,2034,3743.423299601583
404,Afghanistan,ATG,2035,3657.923393274703
405,Afghanistan,ATG,2036,3574.376307507199
406,Afghanistan,ATG,2037,3492.7374398158518
407,Afghanistan,ATG,2038,3412.963206439566
408,Afghanistan,ATG,2039,3335.011019071729
409,Afghanistan,ATG,2040,3258.8392621239936
410,Afghanistan,ATG,2041,3184.4072705093627
411,Afghanistan,ATG,2042,3111.6753079327123
412,Afghanistan,ATG,2043,3040.6045456771517
413,Afghanistan,ATG,2044,2971.15704187491
414,Afghanistan,ATG,2045,2903.2957212516753
415,Afghanistan,ATG,2046,2836.9843553335677
416,Afghanistan,ATG,2047,2772.187543106199
417,Afghanistan,ATG,2048,2708.8706921154635
418,Afghanistan,ATG,2049,2647.0
419,Afghanistan,ATG,2050,2586.5424364454493
420,Afghanistan,AUS,2021,5054.931451101745
421,Afghanistan,AUS,2022,4939.476657195858
422,Afghanistan,AUS,2023,4826.6588544272
423,Afghanistan,AUS,2024,4716.417813834956
424,Afghanistan,AUS,2025,4608.694682089681
425,Afghanistan,AUS,2026,4503.43195007383
426,Afghanistan,AUS,2027,4400.573422179918
427,Afghanistan,AUS,2028,4300.064186309911
428,Afghanistan,AUS,2029,4201.850584559825
429,Afghanistan,AUS,2030,4105.880184573895
430,Afghanistan,AUS,2031,4012.101751553024
431,Afghanistan,AUS,2032,3920.4652209025357
432,Afghanistan,AUS,2033,3830.921671504681
433,Afghanistan,AUS,2034,3743.423299601583
434,Afghanistan,AUS,2035,3657.923393274703
435,Afghanistan,AUS,2036,3574.376307507199
436,Afghanistan,AUS,2037,3492.7374398158518
437,Afghanistan,AUS,2038,3412.963206439566
438,Afghanistan,AUS,2039,3335.011019071729
439,Afghanistan,AUS,2040,3258.8392621239936
440,Afghanistan,AUS,2041,3184.4072705093627
441,Afghanistan,AUS,2042,3111.6753079327123
442,Afghanistan,AUS,2043,3040.6045456771517
443,Afghanistan,AUS,2044,2971.15704187491
444,Afghanistan,AUS,2045,2903.2957212516753
445,Afghanistan,AUS,2046,2836.9843553335677
446,Afghanistan,AUS,2047,2772.187543106199
447,Afghanistan,AUS,2048,2708.8706921154635
448,Afghanistan,AUS,2049,2647.0
449,Afghanistan,AUS,2050,2586.5424364454493
450,Afghanistan,AUT,2021,5054.931451101745
451,Afghanistan,AUT,2022,4939.476657195858
452,Afghanistan,AUT,2023,4826.6588544272
453,Afghanistan,AUT,2024,4716.417813834956
454,Afghanistan,AUT,2025,4608.694682089681
455,Afghanistan,AUT,2026,4503.43195007383
456,Afghanistan,AUT,2027,4400.573422179918
457,Afghanistan,AUT,2028,4300.064186309911
458,Afghanistan,AUT,2029,4201.850584559825
459,Afghanistan,AUT,2030,4105.880184573895
460,Afghanistan,AUT,2031,4012.101751553024
461,Afghanistan,AUT,2032,3920.4652209025357
462,Afghanistan,AUT,2033,3830.921671504681
463,Afghanistan,AUT,2034,3743.423299601583
464,Afghanistan,AUT,2035,3657.923393274703
465,Afghanistan,AUT,2036,3574.376307507199
466,Afghanistan,AUT,2037,3492.7374398158518
467,Afghanistan,AUT,2038,3412.963206439566
468,Afghanistan,AUT,2039,3335.011019071729
469,Afghanistan,AUT,2040,3258.8392621239936
470,Afghanistan,AUT,2041,3184.4072705093627
471,Afghanistan,AUT,2042,3111.6753079327123
472,Afghanistan,AUT,2043,3040.6045456771517
473,Afghanistan,AUT,2044,2971.15704187491
474,Afghanistan,AUT,2045,2903.2957212516753
475,Afghanistan,AUT,2046,2836.9843553335677
476,Afghanistan,AUT,2047,2772.187543106199
477,Afghanistan,AUT,2048,2708.8706921154635
478,Afghanistan,AUT,2049,2647.0
479,Afghanistan,AUT,2050,2586.5424364454493
480,Afghanistan,AZE,2021,5054.931451101745
481,Afghanistan,AZE,2022,4939.476657195858
482,Afghanistan,AZE,2023,4826.6588544272
483,Afghanistan,AZE,2024,4716.417813834956
484,Afghanistan,AZE,2025,4608.694682089681
485,Afghanistan,AZE,2026,4503.43195007383
486,Afghanistan,AZE,2027,4400.573422179918
487,Afghanistan,AZE,2028,4300.064186309911
488,Afghanistan,AZE,2029,4201.850584559825
489,Afghanistan,AZE,2030,4105.880184573895
490,Afghanistan,AZE,2031,4012.101751553024
491,Afghanistan,AZE,2032,3920.4652209025357
492,Afghanistan,AZE,2033,3830.921671504681
493,Afghanistan,AZE,2034,3743.423299601583
494,Afghanistan,AZE,2035,3657.923393274703
495,Afghanistan,AZE,2036,3574.376307507199
496,Afghanistan,AZE,2037,3492.7374398158518
497,Afghanistan,AZE,2038,3412.963206439566
498,Afghanistan,AZE,2039,3335.011019071729
499,Afghanistan,AZE,2040,3258.8392621239936
500,Afghanistan,AZE,2041,3184.4072705093627
501,Afghanistan,AZE,2042,3111.6753079327123
502,Afghanistan,AZE,2043,3040.6045456771517
503,Afghanistan,AZE,2044,2971.15704187491
504,Afghanistan,AZE,2045,2903.2957212516753
505,Afghanistan,AZE,2046,2836.9843553335677
506,Afghanistan,AZE,2047,2772.187543106199
507,Afghanistan,AZE,2048,2708.8706921154635
508,Afghanistan,AZE,2049,2647.0
509,Afghanistan,AZE,2050,2586.5424364454493
510,Afghanistan,BDI,2021,5054.931451101745
511,Afghanistan,BDI,2022,4939.476657195858
512,Afghanistan,BDI,2023,4826.6588544272
513,Afghanistan,BDI,2024,4716.417813834956
514,Afghanistan,BDI,2025,4608.694682089681
515,Afghanistan,BDI,2026,4503.43195007383
516,Afghanistan,BDI,2027,4400.573422179918
517,Afghanistan,BDI,2028,4300.064186309911
518,Afghanistan,BDI,2029,4201.850584559825
519,Afghanistan,BDI,2030,4105.880184573895
520,Afghanistan,BDI,2031,4012.101751553024
521,Afghanistan,BDI,2032,3920.4652209025357
522,Afghanistan,BDI,2033,3830.921671504681
523,Afghanistan,BDI,2034,3743.423299601583
524,Afghanistan,BDI,2035,3657.923393274703
525,Afghanistan,BDI,2036,3574.376307507199
526,Afghanistan,BDI,2037,3492.7374398158518
527,Afghanistan,BDI,2038,3412.963206439566
528,Afghanistan,BDI,2039,3335.011019071729
529,Afghanistan,BDI,2040,3258.8392621239936
530,Afghanistan,BDI,2041,3184.4072705093627
531,Afghanistan,BDI,2042,3111.6753079327123
532,Afghanistan,BDI,2043,3040.6045456771517
533,Afghanistan,BDI,2044,2971.15704187491
534,Afghanistan,BDI,2045,2903.2957212516753
535,Afghanistan,BDI,2046,2836.9843553335677
536,Afghanistan,BDI,2047,2772.187543106199
537,Afghanistan,BDI,2048,2708.8706921154635
538,Afghanistan,BDI,2049,2647.0
539,Afghanistan,BDI,2050,2586.5424364454493
540,Afghanistan,BEL,2021,5054.931451101745
541,Afghanistan,BEL,2022,4939.476657195858
542,Afghanistan,BEL,2023,4826.6588544272
543,Afghanistan,BEL,2024,4716.417813834956
544,Afghanistan,BEL,2025,4608.694682089681
545,Afghanistan,BEL,2026,4503.43195007383
546,Afghanistan,BEL,2027,4400.573422179918
547,Afghanistan,BEL,2028,4300.064186309911
548,Afghanistan,BEL,2029,4201.850584559825
549,Afghanistan,BEL,2030,4105.880184573895
550,Afghanistan,BEL,2031,4012.101751553024
551,Afghanistan,BEL,2032,3920.4652209025357
552,Afghanistan,BEL,2033,3830.921671504681
553,Afghanistan,BEL,2034,3743.423299601583
554,Afghanistan,BEL,2035,3657.923393274703
555,Afghanistan,BEL,2036,3574.376307507199
556,Afghanistan,BEL,2037,3492.7374398158518
557,Afghanistan,BEL,2038,3412.963206439566
558,Afghanistan,BEL,2039,3335.011019071729
559,Afghanistan,BEL,2040,3258.8392621239936
560,Afghanistan,BEL,2041,3184.4072705093627
561,Afghanistan,BEL,2042,3111.6753079327123
562,Afghanistan,BEL,2043,3040.6045456771517
563,Afghanistan,BEL,2044,2971.15704187491
564,Afghanistan,BEL,2045,2903.2957212516753
565,Afghanistan,BEL,2046,2836.9843553335677
566,Afghanistan,BEL,2047,2772.187543106199
567,Afghanistan,BEL,2048,2708.8706921154635
568,Afghanistan,BEL,2049,2647.0
569,Afghanistan,BEL,2050,2586.5424364454493
570,Afghanistan,BEN,2021,5054.931451101745
571,Afghanistan,BEN,2022,4939.476657195858
572,Afghanistan,BEN,2023,4826.6588544272
573,Afghanistan,BEN,2024,4716.417813834956
574,Afghanistan,BEN,2025,4608.694682089681
