Year,iso_code3,frac_lndu_initial_other
2029,ECU,0.03313425277238422
2030,ECU,0.03313425277238422
2031,ECU,0.03313425277238422
2032,ECU,0.03313425277238422
2033,ECU,0.03313425277238422
2034,ECU,0.03313425277238422
2035,ECU,0.03313425277238422
2036,ECU,0.03313425277238422
2037,ECU,0.03313425277238422
2038,ECU,0.03313425277238422
2039,ECU,0.03313425277238422
2040,ECU,0.03313425277238422
2041,ECU,0.03313425277238422
2042,ECU,0.03313425277238422
2043,ECU,0.03313425277238422
2044,ECU,0.03313425277238422
2045,ECU,0.03313425277238422
2046,ECU,0.03313425277238422
2047,ECU,0.03313425277238422
2048,ECU,0.03313425277238422
2049,ECU,0.03313425277238422
2050,ECU,0.03313425277238422
1992,EGY,0.9022201979583131
1993,EGY,0.9006140168972149
1994,EGY,0.9019494462203085
1995,EGY,0.8974326570643143
1996,EGY,0.8970979973446904
1997,EGY,0.8946488258218896
1998,EGY,0.8960558149706938
1999,EGY,0.8940035658550953
2000,EGY,0.8943300286356042
2001,EGY,0.8929156091112465
2002,EGY,0.8913437279661469
2003,EGY,0.8924463546610635
2004,EGY,0.8896784556220817
2005,EGY,0.8863394837530082
2006,EGY,0.8859864358817616
2007,EGY,0.8854533748386904
2008,EGY,0.8857289770543254
2009,EGY,0.884535598053424
2010,EGY,0.8861872638657595
2011,EGY,0.8832020329676653
2012,EGY,0.8812914619087145
2013,EGY,0.8816352743526008
2014,EGY,0.8789664093593534
2019,EGY,0.8739818799519437
2020,EGY,0.8798730351460375
2021,EGY,0.8798730351460375
2022,EGY,0.8798730351460375
2023,EGY,0.8798730351460375
2024,EGY,0.8798730351460375
2025,EGY,0.8798730351460375
2026,EGY,0.8798730351460375
2027,EGY,0.8798730351460375
2028,EGY,0.8798730351460375
2029,EGY,0.8798730351460375
2030,EGY,0.8798730351460375
2031,EGY,0.8798730351460375
2032,EGY,0.8798730351460375
2033,EGY,0.8798730351460375
2034,EGY,0.8798730351460375
2035,EGY,0.8798730351460375
2036,EGY,0.8798730351460375
2037,EGY,0.8798730351460375
2038,EGY,0.8798730351460375
2039,EGY,0.8798730351460375
2040,EGY,0.8798730351460375
2041,EGY,0.8798730351460375
2042,EGY,0.8798730351460375
2043,EGY,0.8798730351460375
2044,EGY,0.8798730351460375
2045,EGY,0.8798730351460375
2046,EGY,0.8798730351460375
2047,EGY,0.8798730351460375
2048,EGY,0.8798730351460375
2049,EGY,0.8798730351460375
2050,EGY,0.8798730351460375
1993,ERI,0.47824769844240356
1994,ERI,0.4804764666364105
1995,ERI,0.48468219766190296
1996,ERI,0.48383342029163023
1997,ERI,0.47836798337619996
1998,ERI,0.4669239281141982
1999,ERI,0.47329188253717874
2000,ERI,0.48330263478349283
2001,ERI,0.4806780234758057
2002,ERI,0.4833007214844279
2003,ERI,0.47167398088951423
2004,ERI,0.4694649678122375
2005,ERI,0.46061644548547037
2006,ERI,0.46475584852847557
2007,ERI,0.4618264254018474
2008,ERI,0.47518885099072505
2009,ERI,0.47047633273648015
2010,ERI,0.4660192511306239
2011,ERI,0.46367329450736894
2012,ERI,0.4670989836558821
2013,ERI,0.467136038891986
2014,ERI,0.4658029643314288
2019,ERI,0.46009118643733865
2020,ERI,0.45999774297846197
2021,ERI,0.45999774297846197
2022,ERI,0.45999774297846197
2023,ERI,0.45999774297846197
2024,ERI,0.45999774297846197
2025,ERI,0.45999774297846197
2026,ERI,0.45999774297846197
2027,ERI,0.45999774297846197
2028,ERI,0.45999774297846197
2029,ERI,0.45999774297846197
2030,ERI,0.45999774297846197
2031,ERI,0.45999774297846197
2032,ERI,0.45999774297846197
2033,ERI,0.45999774297846197
2034,ERI,0.45999774297846197
2035,ERI,0.45999774297846197
2036,ERI,0.45999774297846197
2037,ERI,0.45999774297846197
2038,ERI,0.45999774297846197
2039,ERI,0.45999774297846197
2040,ERI,0.45999774297846197
2041,ERI,0.45999774297846197
2042,ERI,0.45999774297846197
2043,ERI,0.45999774297846197
2044,ERI,0.45999774297846197
2045,ERI,0.45999774297846197
2046,ERI,0.45999774297846197
2047,ERI,0.45999774297846197
2048,ERI,0.45999774297846197
2049,ERI,0.45999774297846197
2050,ERI,0.45999774297846197
1992,ESP,0.023364937797533913
1993,ESP,0.023529745318130856
1994,ESP,0.025366165185624418
1995,ESP,0.025067308363181044
1996,ESP,0.023789685902898722
1997,ESP,0.023035444106824413
1998,ESP,0.02317012268374554
1999,ESP,0.022485992656782312
2000,ESP,0.021359030058108536
2001,ESP,0.02177484050747691
2002,ESP,0.020936372622450808
2003,ESP,0.020829882990715993
2004,ESP,0.020424036535465068
2005,ESP,0.021088522303615322
2006,ESP,0.02159280239799864
2007,ESP,0.02166160447636721
2008,ESP,0.020511921418320662
2009,ESP,0.021231342085493612
2010,ESP,0.021656131306224097
2011,ESP,0.021097953315782934
2012,ESP,0.02112803460174593
2013,ESP,0.02059559681737173
2014,ESP,0.02036683867522478
2019,ESP,0.03306574310140565
2020,ESP,0.03220817234931662
2021,ESP,0.03220817234931662
2022,ESP,0.03220817234931662
2023,ESP,0.03220817234931662
2024,ESP,0.03220817234931662
2025,ESP,0.03220817234931662
2026,ESP,0.03220817234931662
2027,ESP,0.03220817234931662
2028,ESP,0.03220817234931662
2029,ESP,0.03220817234931662
2030,ESP,0.03220817234931662
2031,ESP,0.03220817234931662
2032,ESP,0.03220817234931662
2033,ESP,0.03220817234931662
2034,ESP,0.03220817234931662
2035,ESP,0.03220817234931662
2036,ESP,0.03220817234931662
2037,ESP,0.03220817234931662
2038,ESP,0.03220817234931662
2039,ESP,0.03220817234931662
2040,ESP,0.03220817234931662
2041,ESP,0.03220817234931662
2042,ESP,0.03220817234931662
2043,ESP,0.03220817234931662
2044,ESP,0.03220817234931662
2045,ESP,0.03220817234931662
2046,ESP,0.03220817234931662
2047,ESP,0.03220817234931662
2048,ESP,0.03220817234931662
2049,ESP,0.03220817234931662
2050,ESP,0.03220817234931662
1992,EST,0.056551352811993645
1993,EST,0.06051523915500565
1994,EST,0.07080262487001467
1995,EST,0.07548828198181544
1996,EST,0.07876819146889802
1997,EST,0.0685083197530092
1998,EST,0.059591340784654535
1999,EST,0.06942491088742314
2000,EST,0.06605641238430116
2001,EST,0.0794760943891006
2002,EST,0.08262860164313587
2003,EST,0.07644595423654629
2004,EST,0.07556418012848429
2005,EST,0.07277535983889752
2006,EST,0.06833709615881378
2007,EST,0.06183629877369962
2008,EST,0.05707972306972923
2009,EST,0.053960485132837945
2010,EST,0.0578427744686057
2011,EST,0.056605477043538105
2012,EST,0.058733548558777084
2013,EST,0.0552233658581967
2014,EST,0.0525236210772005
2019,EST,0.062265448750430503
2020,EST,0.060453675548501624
2021,EST,0.060453675548501624
2022,EST,0.060453675548501624
2023,EST,0.060453675548501624
2024,EST,0.060453675548501624
2025,EST,0.060453675548501624
2026,EST,0.060453675548501624
2027,EST,0.060453675548501624
2028,EST,0.060453675548501624
2029,EST,0.060453675548501624
2030,EST,0.060453675548501624
2031,EST,0.060453675548501624
2032,EST,0.060453675548501624
2033,EST,0.060453675548501624
2034,EST,0.060453675548501624
2035,EST,0.060453675548501624
2036,EST,0.060453675548501624
2037,EST,0.060453675548501624
2038,EST,0.060453675548501624
2039,EST,0.060453675548501624
2040,EST,0.060453675548501624
2041,EST,0.060453675548501624
2042,EST,0.060453675548501624
2043,EST,0.060453675548501624
2044,EST,0.060453675548501624
2045,EST,0.060453675548501624
2046,EST,0.060453675548501624
2047,EST,0.060453675548501624
2048,EST,0.060453675548501624
2049,EST,0.060453675548501624
2050,EST,0.060453675548501624
1993,ETH,0.11154998532431426
1994,ETH,0.1001182447910264
1995,ETH,0.09053894041902363
1996,ETH,0.08073455806794205
1997,ETH,0.08399399876869683
1998,ETH,0.09204940171743226
1999,ETH,0.08359057292165104
2000,ETH,0.08288487229461262
2001,ETH,0.0754456646276827
2002,ETH,0.08521068138673289
2003,ETH,0.07458511843580655
2004,ETH,0.07282686414994158
2005,ETH,0.07108818603211259
2006,ETH,0.07311895305330912
2007,ETH,0.07093814535108112
2008,ETH,0.07000179274043089
2009,ETH,0.06957876794640375
2010,ETH,0.06858582724979814
2011,ETH,0.06826678239494473
2012,ETH,0.06778432272500254
2013,ETH,0.06757789928053523
2014,ETH,0.06737014783603372
2019,ETH,0.06897294299801834
2020,ETH,0.06869784970430871
2021,ETH,0.06869784970430871
2022,ETH,0.06869784970430871
2023,ETH,0.06869784970430871
2024,ETH,0.06869784970430871
2025,ETH,0.06869784970430871
2026,ETH,0.06869784970430871
2027,ETH,0.06869784970430871
2028,ETH,0.06869784970430871
2029,ETH,0.06869784970430871
2030,ETH,0.06869784970430871
2031,ETH,0.06869784970430871
2032,ETH,0.06869784970430871
2033,ETH,0.06869784970430871
2034,ETH,0.06869784970430871
2035,ETH,0.06869784970430871
2036,ETH,0.06869784970430871
2037,ETH,0.06869784970430871
2038,ETH,0.06869784970430871
2039,ETH,0.06869784970430871
2040,ETH,0.06869784970430871
2041,ETH,0.06869784970430871
2042,ETH,0.06869784970430871
2043,ETH,0.06869784970430871
2044,ETH,0.06869784970430871
2045,ETH,0.06869784970430871
2046,ETH,0.06869784970430871
2047,ETH,0.06869784970430871
2048,ETH,0.06869784970430871
2049,ETH,0.06869784970430871
2050,ETH,0.06869784970430871
1992,FIN,0.12440027128033831
1993,FIN,0.12418836487348286
1994,FIN,0.12369261694529597
1995,FIN,0.12090496246957383
1996,FIN,0.11815939695521353
1997,FIN,0.11715832972218819
1998,FIN,0.11604298207850554
1999,FIN,0.11457051202076618
2000,FIN,0.11300136134964522
2001,FIN,0.11051067385119649
2002,FIN,0.10916625947570305
2003,FIN,0.10834235903566238
2004,FIN,0.10680701501159541
2005,FIN,0.10525144724162337
2006,FIN,0.10518800588422689
2007,FIN,0.10526262439850369
2008,FIN,0.10347825838122911
2009,FIN,0.1026663747351696
2010,FIN,0.10340619827168208
2011,FIN,0.10345420529128692
2012,FIN,0.10533614894741881
2013,FIN,0.10299482070480087
2014,FIN,0.1012004642508928
2019,FIN,0.11190386925639911
2020,FIN,0.11200945724680454
2021,FIN,0.11200945724680454
2022,FIN,0.11200945724680454
2023,FIN,0.11200945724680454
2024,FIN,0.11200945724680454
2025,FIN,0.11200945724680454
2026,FIN,0.11200945724680454
