Year,prodinit_ippu_rubber_and_leather_tonne,iso_code3
2028,63277.7588659319,"ARG"
2029,61150.8131057852,"ARG"
2030,59095.3600525181,"ARG"
2031,57108.9966325626,"ARG"
2032,55189.4005464999,"ARG"
2033,53334.327554011,"ARG"
2034,51541.608850088,"ARG"
2035,49809.1485294388,"ARG"
2036,48134.9211361193,"ARG"
2037,46516.9692955305,"ARG"
2038,44953.4014260105,"ARG"
2039,43442.3895273463,"ARG"
2040,41982.1670436202,"ARG"
2041,40571.026797892,"ARG"
2042,39207.3189963024,"ARG"
2043,37889.4492992641,"ARG"
2044,36615.8769574859,"ARG"
2045,35385.1130106497,"ARG"
2046,34195.7185466363,"ARG"
2047,33046.3030192621,"ARG"
2048,31935.5226225628,"ARG"
2049,30862.078719721,"ARG"
2050,29824.7163248027,"ARG"
2021,1279.013,"ARM"
2022,1331.75753590468,"ARM"
2023,1386.67717563379,"ARM"
2024,1443.86161713548,"ARM"
2025,1503.40425736384,"ARM"
2026,1565.40234482016,"ARM"
2027,1629.9571383849,"ARM"
2028,1697.17407269959,"ARM"
2029,1767.16293036874,"ARM"
2030,1840.03802126323,"ARM"
2031,1915.91836921786,"ARM"
2032,1994.92790642791,"ARM"
2033,2077.19567586249,"ARM"
2034,2162.85604202496,"ARM"
2035,2252.0489104049,"ARM"
2036,2344.91995597984,"ARM"
2037,2441.62086114013,"ARM"
2038,2542.30956342541,"ARM"
2039,2647.15051347744,"ARM"
2040,2756.31494363037,"ARM"
2041,2869.9811475774,"ARM"
2042,2988.33477157039,"ARM"
2043,3111.56911762808,"ARM"
2044,3239.88545924823,"ARM"
2045,3373.49337013918,"ARM"
2046,3512.61106650778,"ARM"
2047,3657.46576346284,"ARM"
2048,3808.29404611601,"ARM"
2049,3965.34225598638,"ARM"
2050,4128.86689333972,"ARM"
2021,15.28463,"ASM"
2022,17.1671827087565,"ASM"
2023,19.2816026397647,"ASM"
2024,21.656448041888,"ASM"
2025,24.3237945804238,"ASM"
2026,27.3196685645904,"ASM"
2027,30.6845335340793,"ASM"
2028,34.4638367767165,"ASM"
2029,38.7086231587322,"ASM"
2030,43.4762245582888,"ASM"
2031,48.8310342140484,"ASM"
2032,54.8453764474578,"ASM"
2033,61.6004835055894,"ASM"
2034,69.1875927181877,"ASM"
2035,77.7091787875897,"ASM"
2036,87.2803378553473,"ASM"
2037,98.0303420393389,"ASM"
2038,110.104385437608,"ASM"
2039,123.665545181189,"ASM"
2040,138.896984022737,"ASM"
2041,156.004424210044,"ASM"
2042,175.218926057626,"ASM"
2043,196.800008744952,"ASM"
2044,221.039155492117,"ASM"
2045,248.263750455353,"ASM"
2046,278.841500515758,"ASM"
2047,313.185401683771,"ASM"
2048,351.759317197773,"ASM"
2049,395.084242656943,"ASM"
2050,443.745342807933,"ASM"
2021,70.64171,"ATG"
2022,71.3270555326717,"ATG"
2023,72.0190500903904,"ATG"
2024,72.7177581800829,"ATG"
2025,73.4232449345034,"ATG"
2026,74.1355761183058,"ATG"
2027,74.8548181341732,"ATG"
2028,75.5810380290088,"ATG"
2029,76.3143035001854,"ATG"
2030,77.0546829018562,"ATG"
2031,77.8022452513268,"ATG"
2032,78.5570602354888,"ATG"
2033,79.3191982173159,"ATG"
2034,80.0887302424231,"ATG"
2035,80.8657280456897,"ATG"
2036,81.6502640579459,"ATG"
2037,82.442411412725,"ATG"
2038,83.242243953081,"ATG"
2039,84.0498362384718,"ATG"
2040,84.8652635517096,"ATG"
2041,85.6886019059789,"ATG"
2042,86.5199280519222,"ATG"
2043,87.3593194847947,"ATG"
2044,88.2068544516881,"ATG"
2045,89.062611958825,"ATG"
2046,89.9266717789235,"ATG"
2047,90.7991144586339,"ATG"
2048,91.6800213260465,"ATG"
2049,92.5694744982736,"ATG"
2050,93.4675568891042,"ATG"
2021,199368.1,"AUS"
2022,202333.073933372,"AUS"
2023,205342.14253598,"AUS"
2024,208395.961577451,"AUS"
2025,211495.196579927,"AUS"
2026,214640.522963099,"AUS"
2027,217832.626191404,"AUS"
2028,221072.201923407,"AUS"
2029,224359.956163408,"AUS"
2030,227696.605415305,"AUS"
2031,231082.876838735,"AUS"
2032,234519.508407555,"AUS"
2033,238007.249070658,"AUS"
2034,241546.858915202,"AUS"
2035,245139.109332252,"AUS"
2036,248784.783184891,"AUS"
2037,252484.674978828,"AUS"
2038,256239.59103555,"AUS"
2039,260050.349668041,"AUS"
2040,263917.781359119,"AUS"
2041,267842.728942425,"AUS"
2042,271826.047786099,"AUS"
2043,275868.605979197,"AUS"
2044,279971.284520869,"AUS"
2045,284134.977512361,"AUS"
2046,288360.592351864,"AUS"
2047,292649.049932264,"AUS"
2048,297001.284841837,"AUS"
2049,301418.245567922,"AUS"
2050,305900.894703624,"AUS"
2021,70314.95,"AUT"
2022,70197.6187196117,"AUT"
2023,70080.4832244633,"AUT"
2024,69963.5431878571,"AUT"
2025,69846.7982836407,"AUT"
2026,69730.2481862056,"AUT"
2027,69613.8925704868,"AUT"
2028,69497.7311119618,"AUT"
2029,69381.7634866496,"AUT"
2030,69265.9893711096,"AUT"
2031,69150.4084424411,"AUT"
2032,69035.0203782822,"AUT"
2033,68919.824856809,"AUT"
2034,68804.8215567342,"AUT"
2035,68690.0101573072,"AUT"
2036,68575.3903383122,"AUT"
2037,68460.9617800678,"AUT"
2038,68346.7241634262,"AUT"
2039,68232.6771697721,"AUT"
2040,68118.8204810216,"AUT"
2041,68005.153779622,"AUT"
2042,67891.6767485501,"AUT"
2043,67778.3890713119,"AUT"
2044,67665.2904319416,"AUT"
2045,67552.3805150003,"AUT"
2046,67439.6590055759,"AUT"
2047,67327.1255892814,"AUT"
2048,67214.7799522546,"AUT"
2049,67102.621781157,"AUT"
2050,66990.650763173,"AUT"
2021,3074.28,"AZE"
2022,3045.78998719208,"AZE"
2023,3017.56399744966,"AZE"
2024,2989.59958401431,"AZE"
2025,2961.89432280222,"AZE"
2026,2934.4458121941,"AZE"
2027,2907.25167282698,"AZE"
2028,2880.30954738796,"AZE"
2029,2853.61710040985,"AZE"
2030,2827.17201806876,"AZE"
2031,2800.97200798349,"AZE"
2032,2775.01479901681,"AZE"
2033,2749.29814107865,"AZE"
2034,2723.81980493096,"AZE"
2035,2698.57758199455,"AZE"
2036,2673.5692841576,"AZE"
2037,2648.79274358599,"AZE"
2038,2624.24581253538,"AZE"
2039,2599.92636316504,"AZE"
2040,2575.83228735339,"AZE"
2041,2551.9614965153,"AZE"
2042,2528.31192142096,"AZE"
2043,2504.88151201658,"AZE"
2044,2481.66823724666,"AZE"
2045,2458.67008487793,"AZE"
2046,2435.8850613249,"AZE"
2047,2413.31119147707,"AZE"
2048,2390.94651852774,"AZE"
2049,2368.78910380433,"AZE"
2050,2346.83702660035,"AZE"
2021,549.3943,"BDI"
2022,621.49784985829,"BDI"
2023,703.064406344364,"BDI"
2024,795.335912394645,"BDI"
2025,899.717305891876,"BDI"
2026,1017.797911431,"BDI"
2027,1151.37563958094,"BDI"
2028,1302.48436210344,"BDI"
2029,1473.42487994749,"BDI"
2030,1666.79995554208,"BDI"
2031,1885.55394279354,"BDI"
2032,2133.01761819882,"BDI"
2033,2412.95889567915,"BDI"
2034,2729.64019732462,"BDI"
2035,3087.88335358414,"BDI"
2036,3493.1430210793,"BDI"
2037,3951.58973591149,"BDI"
2038,4470.20386704245,"BDI"
2039,5056.88190029473,"BDI"
2040,5720.55667126594,"BDI"
2041,6471.3333778386,"BDI"
2042,7320.64344322989,"BDI"
2043,8281.41857231968,"BDI"
2044,9368.28765146123,"BDI"
2045,10597.7994897965,"BDI"
2046,11988.6747935642,"BDI"
2047,13562.0912099933,"BDI"
2048,15342.0057808988,"BDI"
2049,17355.5197156979,"BDI"
2050,19633.2910379292,"BDI"
2021,104501.1,"BEL"
2022,103108.127329634,"BEL"
2023,101733.722625159,"BEL"
2024,100377.638380387,"BEL"
2025,99039.63038832,"BEL"
2026,97719.4576971802,"BEL"
2027,96416.8825670128,"BEL"
2028,95131.6704268752,"BEL"
2029,93863.5898325955,"BEL"
2030,92612.4124250922,"BEL"
2031,91377.9128892519,"BEL"
2032,90159.868913353,"BEL"
2033,88958.0611490322,"BEL"
2034,87772.2731717828,"BEL"
2035,86602.2914419811,"BEL"
2036,85447.9052664313,"BEL"
2037,84308.9067604237,"BEL"
2038,83185.0908102979,"BEL"
2039,82076.2550365056,"BEL"
2040,80982.1997571656,"BEL"
2041,79902.7279521048,"BEL"
2042,78837.6452273779,"BEL"
2043,77786.7597802607,"BEL"
2044,76749.8823647099,"BEL"
2045,75726.8262572829,"BEL"
2046,74717.4072235126,"BEL"
2047,73721.4434847294,"BEL"
2048,72738.7556853268,"BEL"
2049,71769.166860462,"BEL"
2050,70812.5024041878,"BEL"
2021,1875.044,"BEN"
2022,1923.19217897575,"BEN"
2023,1972.576727412,"BEN"
2024,2023.22939333069,"BEN"
2025,2075.182739993,"BEN"
2026,2128.47016683342,"BEN"
2027,2183.12593093136,"BEN"
2028,2239.18516903408,"BEN"
2029,2296.68392014526,"BEN"
2030,2355.65914869344,"BEN"
2031,2416.14876829552,"BEN"
2032,2478.19166613041,"BEN"
2033,2541.8277279386,"BEN"
2034,2607.09786366358,"BEN"
2035,2674.04403375185,"BEN"
2036,2742.70927612809,"BEN"
2037,2813.13773386321,"BEN"
2038,2885.37468355265,"BEN"
2039,2959.4665644236,"BEN"
2040,3035.46100818952,"BEN"
2041,3113.40686967129,"BEN"
2042,3193.35425820472,"BEN"
2043,3275.35456985449,"BEN"
2044,3359.46052045533,"BEN"
2045,3445.72617950165,"BEN"
2046,3534.2070049074,"BEN"
2047,3624.95987865843,"BEN"
2048,3718.04314338053,"BEN"
2049,3813.51663984624,"BEN"
2050,3911.441745445,"BEN"
2021,898.5886,"BFA"
2022,906.132566881316,"BFA"
2023,913.739868014042,"BFA"
2024,921.411035111462,"BFA"
2025,929.146604350778,"BFA"
2026,936.94711641059,"BFA"
2027,944.813116508684,"BFA"
2028,952.745154440141,"BFA"
2029,960.743784615764,"BFA"
2030,968.80956610083,"BFA"
2031,976.943062654167,"BFA"
2032,985.144842767552,"BFA"
2033,993.415479705454,"BFA"
2034,1001.7555515451,"BFA"
2035,1010.16564121687,"BFA"
2036,1018.64633654506,"BFA"
2037,1027.19823028895,"BFA"
2038,1035.82192018424,"BFA"
2039,1044.51800898485,"BFA"
2040,1053.287104505,"BFA"
2041,1062.12981966175,"BFA"
2042,1071.0467725178,"BFA"
2043,1080.03858632471,"BFA"
2044,1089.10588956646,"BFA"
2045,1098.24931600336,"BFA"
2046,1107.46950471637,"BFA"
2047,1116.76710015175,"BFA"
2048,1126.14275216613,"BFA"
2049,1135.5971160719,"BFA"
2050,1145.13085268303,"BFA"
2021,57641.15,"BGD"
2022,63493.3907212464,"BGD"
2023,69939.802819355,"BGD"
2024,77040.7118417352,"BGD"
2025,84862.568120349,"BGD"
2026,93478.5686141534,"BGD"
2027,102969.341886504,"BGD"
2028,113423.70262754,"BGD"
2029,124939.482782368,"BGD"
2030,137624.447062755,"BGD"
2031,151597.301409687,"BGD"
2032,166988.803843987,"BGD"
2033,183942.988100339,"BGD"
2034,202618.511495492,"BGD"
2035,223190.139643998,"BGD"
2036,245850.381915453,"BGD"
2037,270811.292937867,"BGD"
2038,298306.457005627,"BGD"
2039,328593.17396216,"BGD"
2040,361954.867012784,"BGD"
2041,398703.735000073,"BGD"
2042,439183.673961744,"BGD"
2043,483773.495310997,"BGD"
2044,532890.470755081,"BGD"
2045,586994.237125409,"BGD"
2046,646591.097660674,"BGD"
2047,712238.759994359,"BGD"
2048,784551.555184757,"BGD"
2049,864206.186627215,"BGD"
2050,951948.062646914,"BGD"
2021,17026.46,"BGR"
2022,18099.1142271815,"BGR"
2023,19239.3448672573,"BGR"
2024,20451.4091836252,"BGR"
2025,21739.8326440882,"BGR"
2026,23109.425817531,"BGR"
2027,24565.3023350756,"BGR"
2028,26112.8979827739,"BGR"
2029,27757.990997128,"BGR"
2030,29506.7236392118,"BGR"
2031,31365.6251279462,"BGR"
2032,33341.6360181536,"BGR"
2033,35442.1341144119,"BGR"
2034,37674.9620174614,"BGR"
2035,40048.4564060149,"BGR"
2036,42571.4791633,"BGR"
2037,45253.45046455,"BGR"
2038,48104.3839489822,"BGR"
2039,51134.9241075845,"BGR"
2040,54356.3860263042,"BGR"
2041,57780.7976330282,"BGR"
2042,61420.9446060915,"BGR"
2043,65290.4181119878,"BGR"
2044,69403.6655505198,"BGR"
2045,73776.0444968571,"BGR"
2046,78423.8800419017,"BGR"
2047,83364.5257450554,"BGR"
2048,88616.4284269641,"BGR"
2049,94199.1970441579,"BGR"
2050,100133.675902741,"BGR"
2021,2049.122,"BHR"
2022,2193.49541974128,"BHR"
2023,2348.04084697055,"BHR"
2024,2513.47496303068,"BHR"
2025,2690.56494393315,"BHR"
2026,2880.13201802227,"BHR"
2027,3083.05527429898,"BHR"
2028,3300.27573906484,"BHR"
2029,3532.800739791,"BHR"
2030,3781.70857644893,"BHR"
2031,4048.15352196553,"BHR"
2032,4333.37117499151,"BHR"
2033,4638.68418980557,"BHR"
2034,4965.50840992622,"BHR"
2035,5315.3594338746,"BHR"
2036,5689.85964353639,"BHR"
2037,6090.7457277155,"BHR"
2038,6519.87673576915,"BHR"
2039,6979.24269867162,"BHR"
2040,7470.97385748579,"BHR"
2041,7997.35054203798,"BHR"
2042,8560.81374560704,"BHR"
2043,9163.97644466619,"BHR"
2044,9809.63571617127,"BHR"
2045,10500.7857085875,"BHR"
2046,11240.6315268058,"BHR"
2047,12032.6040953384,"BHR"
2048,12880.3760687187,"BHR"
2049,13787.8788628885,"BHR"
2050,14759.3208865522,"BHR"
2021,863.3011,"BHS"
2022,946.597301879608,"BHS"
2023,1037.9303952303,"BHS"
2024,1138.07582506711,"BHS"
2025,1247.88385575199,"BHS"
2026,1368.28678999013,"BHS"
2027,1500.30688435607,"BHS"
2028,1645.06502855477,"BHS"
2029,1803.79026210721,"BHS"
2030,1977.83020926001,"BHS"
2031,2168.66252071439,"BHS"
2032,2377.90741931833,"BHS"
2033,2607.34145623842,"BHS"
2034,2858.91259440552,"BHS"
2035,3134.75674729697,"BHS"
2036,3437.2159134747,"BHS"
2037,3768.85806084667,"BHS"
2038,4132.4989294751,"BHS"
2039,4531.22593804351,"BHS"
2040,4968.42439695593,"BHS"
2041,5447.80625062484,"BHS"
2042,5973.44159297879,"BHS"
2043,6549.79322376532,"BHS"
2044,7181.75453904275,"BHS"
2045,7874.69107756204,"BHS"
2046,8634.48607578011,"BHS"
2047,9467.5904182799,"BHS"
2048,10381.0774076912,"BHS"
2049,11382.7028191252,"BHS"
2050,12480.9707490021,"BHS"
2021,6782.617,"BIH"
2022,6842.96698293343,"BIH"
2023,6903.85394450506,"BIH"
2024,6965.2826626128,"BIH"
2025,7027.25795766708,"BIH"
2026,7089.78469296911,"BIH"
2027,7152.86777509248,"BIH"
2028,7216.51215426824,"BIH"
2029,7280.72282477329,"BIH"
2030,7345.50482532235,"BIH"
2031,7410.86323946333,"BIH"
2032,7476.80319597622,"BIH"
2033,7543.3298692756,"BIH"
2034,7610.44847981663,"BIH"
2035,7678.16429450478,"BIH"
2036,7746.48262710906,"BIH"
2037,7815.40883867904,"BIH"
2038,7884.94833796554,"BIH"
2039,7955.10658184503,"BIH"
2040,8025.8890757479,"BIH"
2041,8097.30137409041,"BIH"
2042,8169.34908071061,"BIH"
2043,8242.03784930806,"BIH"
2044,8315.37338388747,"BIH"
2045,8389.36143920634,"BIH"
2046,8464.00782122651,"BIH"
2047,8539.31838756977,"BIH"
2048,8615.29904797754,"BIH"
2049,8691.95576477459,"BIH"
2050,8769.29455333692,"BIH"
2021,12421.75,"BLR"
2022,12724.2597571116,"BLR"
2023,13034.13660446,"BLR"
2024,13351.5599545013,"BLR"
2025,13676.7135889648,"BLR"
2026,14009.7857652591,"BLR"
2027,14350.9693254688,"BLR"
2028,14700.4618080066,"BLR"
2029,15058.4655619841,"BLR"
2030,15425.1878643674,"BLR"
2031,15800.8410399869,"BLR"
2032,16185.6425844686,"BLR"
2033,16579.8152901601,"BLR"
2034,16983.5873751226,"BLR"
2035,17397.1926152645,"BLR"
2036,17820.8704796933,"BLR"
2037,18254.866269363,"BLR"
2038,18699.4312590988,"BLR"
2039,19154.8228430798,"BLR"
2040,19621.3046838653,"BLR"
2041,20099.1468650499,"BLR"
2042,20588.6260476367,"BLR"
2043,21090.0256302183,"BLR"
2044,21603.6359130589,"BLR"
2045,22129.7542661725,"BLR"
2046,22668.6853014936,"BLR"
2047,23220.7410492421,"BLR"
2048,23786.2411385821,"BLR"
2049,24365.5129826807,"BLR"
2050,24958.8919682738,"BLR"
2021,275.8531,"BLZ"
2022,288.773003403845,"BLZ"
2023,302.298025633488,"BLZ"
2024,316.456508138697,"BLZ"
2025,331.278119774274,"BLZ"
2026,346.793918970626,"BLZ"
2027,363.036418816164,"BLZ"
2028,380.039655187924,"BLZ"
2029,397.83925807315,"BLZ"
2030,416.47252623132,"BLZ"
2031,435.978505353048,"BLZ"
2032,456.398069879654,"BLZ"
2033,477.774008654844,"BLZ"
2034,500.151114587996,"BLZ"
2035,523.576278516922,"BLZ"
2036,548.098587466806,"BLZ"
2037,573.769427511218,"BLZ"
2038,600.642591450736,"BLZ"
2039,628.774391534834,"BLZ"
2040,658.22377746322,"BLZ"
2041,689.052459913911,"BLZ"
2042,721.325039856893,"BLZ"
2043,755.109143924333,"BLZ"
2044,790.475566121011,"BLZ"
2045,827.498416171937,"BLZ"
2046,866.255274817993,"BLZ"
2047,906.827356385029,"BLZ"
2048,949.299678967079,"BLZ"
2049,993.761242580306,"BLZ"
2050,1040.30521566099,"BLZ"
2021,471.9455,"BMU"
2022,537.088463856897,"BMU"
2023,611.223156080864,"BMU"
2024,695.590711158885,"BMU"
2025,791.6035782298,"BMU"
2026,900.869167764214,"BMU"
2027,1025.216762212,"BMU"
2028,1166.72814114508,"BMU"
2029,1327.77243360986,"BMU"
2030,1511.045781174,"BMU"
2031,1719.61647569092,"BMU"
2032,1956.97632746121,"BMU"
2033,2227.09912377691,"BMU"
2034,2534.50715653901,"BMU"
2035,2884.34693272814,"BMU"
2036,3282.47533524381,"BMU"
2037,3735.55767658395,"BMU"
2038,4251.17928694164,"BMU"
2039,4837.97250488402,"BMU"
2040,5505.76119664254,"BMU"
2041,6265.72522350071,"BMU"
2042,7130.58761072922,"BMU"
2043,8114.82755157869,"BMU"
2044,9234.92281236079,"BMU"
2045,10509.6255968706,"BMU"
2046,11960.2764885656,"BMU"
2047,13611.1617264016,"BMU"
2048,15489.9197956985,"BMU"
2049,17628.0041410252,"BMU"
2050,20061.2097476642,"BMU"
2021,4634.58,"BOL"
2022,4761.24920294934,"BOL"
2023,4891.38044279864,"BOL"
2024,5025.06834159666,"BOL"
2025,5162.41010753791,"BOL"
2026,5303.50560564549,"BOL"
2027,5448.4574303857,"BOL"
2028,5597.37098026732,"BOL"
2029,5750.35453447983,"BOL"
2030,5907.51933162622,"BOL"
2031,6068.97965060764,"BOL"
2032,6234.85289371882,"BOL"
2033,6405.25967201454,"BOL"
2034,6580.32389300924,"BOL"
2035,6760.1728507737,"BOL"
2036,6944.93731849402,"BOL"
2037,7134.75164356054,"BOL"
2038,7329.75384525547,"BOL"
2039,7530.08571511064,"BOL"
2040,7735.89292000802,"BOL"
2041,7947.32510809817,"BOL"
2042,8164.53601761361,"BOL"
2043,8387.68358865614,"BOL"
2044,8616.9300780395,"BOL"
2045,8852.44217727082,"BOL"
2046,9094.39113375663,"BOL"
2047,9342.95287532167,"BOL"
2048,9598.30813813086,"BOL"
2049,9860.64259810765,"BOL"
2050,10130.1470059441,"BOL"
2021,281075.8,"BRA"
2022,262346.582438174,"BRA"
2023,244865.368405923,"BRA"
2024,228548.998379648,"BRA"
2025,213319.854091204,"BRA"
2026,199105.489291633,"BRA"
2027,185838.285118606,"BRA"
2028,173455.128428123,"BRA"
2029,161897.111560271,"BRA"
2030,151109.252110815,"BRA"
2031,141040.231375525,"BRA"
2032,131642.150223029,"BRA"
2033,122870.301234843,"BRA"
2034,114682.956028623,"BRA"
2035,107041.166752942,"BRA"
2036,99908.5808092655,"BRA"
2037,93251.2679197531,"BRA"
2038,87037.5587182309,"BRA"
2039,81237.8940965027,"BRA"
2040,75824.6845893235,"BRA"
2041,70772.1791291228,"BRA"
2042,66056.3425461303,"BRA"
2043,61654.7412311648,"BRA"
2044,57546.436417173,"BRA"
2045,53711.8845718522,"BRA"
2046,50132.8444275142,"BRA"
2047,46792.2902059267,"BRA"
2048,43674.3306253334,"BRA"
2049,40764.1333043652,"BRA"
2050,38047.8542032233,"BRA"
2021,325.4372,"BRB"
2022,398.015497331683,"BRB"
2023,486.780048857927,"BRB"
2024,595.340677824566,"BRB"
2025,728.112262415378,"BRB"
2026,890.494277355366,"BRB"
2027,1089.09037649234,"BRB"
2028,1331.97694620882,"BRB"
2029,1629.0315510324,"BRB"
2030,1992.3346284726,"BRB"
2031,2436.66076896758,"BRB"
2032,2980.0795600172,"BRB"
2033,3644.6904292694,"BRB"
2034,4457.5213707151,"BRB"
2035,5451.62810284681,"BRB"
2036,6667.43835868165,"BRB"
2037,8154.395976425,"BRB"
2038,9972.97165166204,"BRB"
2039,12197.1221231348,"BRB"
2040,14917.2978007885,"BRB"
2041,18244.1211484909,"BRB"
2042,22312.8854116741,"BRB"
2043,27289.0566414421,"BRB"
2044,33375.002768141,"BRB"
2045,40818.2233782983,"BRB"
2046,49921.4148785361,"BRB"
2047,61054.7803704734,"BRB"
2048,74671.0848471861,"BRB"
2049,91324.0679668737,"BRB"
2050,111690.963203308,"BRB"
2021,700.805,"BRN"
2022,681.610204531169,"BRN"
2023,662.941147567471,"BRN"
2024,644.783429321411,"BRN"
2025,627.123044410464,"BRN"
2026,609.946371054466,"BRN"
2027,593.240160568887,"BRN"
2028,576.991527145871,"BRN"
2029,561.187937915181,"BRN"
2030,545.817203277362,"BRN"
2031,530.867467501677,"BRN"
2032,516.327199581569,"BRN"
2033,502.185184340578,"BRN"
2034,488.430513781871,"BRN"
2035,475.052578674702,"BRN"
2036,462.04106037132,"BRN"
2037,449.385922848001,"BRN"
2038,437.077404964083,"BRN"
2039,425.106012933014,"BRN"
2040,413.462512999623,"BRN"
2041,402.137924317955,"BRN"
2042,391.123512024173,"BRN"
2043,380.410780499205,"BRN"
2044,369.991466815911,"BRN"
2045,359.857534365737,"BRN"
2046,350.00116665993,"BRN"
2047,340.414761300536,"BRN"
2048,331.090924116534,"BRN"
2049,322.022463460569,"BRN"
2050,313.202384661909,"BRN"
2021,269.1308,"BTN"
2022,333.336689095906,"BTN"
2023,412.86002307213,"BTN"
2024,511.355047994965,"BTN"
2025,633.347794645279,"BTN"
2026,784.444058105766,"BTN"
2027,971.586994539208,"BTN"
2028,1203.37617221196,"BTN"
2029,1490.46273775443,"BTN"
2030,1846.03885628802,"BTN"
2031,2286.44391610861,"BTN"
2032,2831.91535416653,"BTN"
2033,3507.51860417957,"BTN"
2034,4344.29890023555,"BTN"
2035,5380.70786341624,"BTN"
2036,6664.37042576873,"BTN"
2037,8254.27328508822,"BTN"
2038,10223.4754541067,"BTN"
2039,12662.4654588965,"BTN"
2040,15683.3194560409,"BTN"
2041,19424.8513418385,"BTN"
2042,24058.9915107027,"BTN"
2043,29798.6873786432,"BTN"
2044,36907.6887156761,"BTN"
2045,45712.6674415036,"BTN"
2046,56618.2288117638,"BTN"
2047,70125.5037869608,"BTN"
2048,86855.1769382321,"BTN"
