Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2022,BGR,194.4695468
2023,BGR,194.4695468
2024,BGR,194.4695468
2025,BGR,194.4695468
2026,BGR,194.4695468
2027,BGR,194.4695468
2028,BGR,194.4695468
2029,BGR,194.4695468
2030,BGR,194.4695468
2031,BGR,194.4695468
2032,BGR,194.4695468
2033,BGR,194.4695468
2034,BGR,194.4695468
2035,BGR,194.4695468
2036,BGR,194.4695468
2037,BGR,194.4695468
2038,BGR,194.4695468
2039,BGR,194.4695468
2040,BGR,194.4695468
2041,BGR,194.4695468
2042,BGR,194.4695468
2043,BGR,194.4695468
2044,BGR,194.4695468
2045,BGR,194.4695468
2046,BGR,194.4695468
2047,BGR,194.4695468
2048,BGR,194.4695468
2049,BGR,194.4695468
2050,BGR,194.4695468
2021,BHR,26.18233639
2022,BHR,26.18233639
2023,BHR,26.18233639
2024,BHR,26.18233639
2025,BHR,26.18233639
2026,BHR,26.18233639
2027,BHR,26.18233639
2028,BHR,26.18233639
2029,BHR,26.18233639
2030,BHR,26.18233639
2031,BHR,26.18233639
2032,BHR,26.18233639
2033,BHR,26.18233639
2034,BHR,26.18233639
2035,BHR,26.18233639
2036,BHR,26.18233639
2037,BHR,26.18233639
2038,BHR,26.18233639
2039,BHR,26.18233639
2040,BHR,26.18233639
2041,BHR,26.18233639
2042,BHR,26.18233639
2043,BHR,26.18233639
2044,BHR,26.18233639
2045,BHR,26.18233639
2046,BHR,26.18233639
2047,BHR,26.18233639
2048,BHR,26.18233639
2049,BHR,26.18233639
2050,BHR,26.18233639
2021,BHS,120.89914942397824
2022,BHS,120.89914942397824
2023,BHS,120.89914942397824
2024,BHS,120.89914942397824
2025,BHS,120.89914942397824
2026,BHS,120.89914942397824
2027,BHS,120.89914942397824
2028,BHS,120.89914942397824
2029,BHS,120.89914942397824
2030,BHS,120.89914942397824
2031,BHS,120.89914942397824
2032,BHS,120.89914942397824
2033,BHS,120.89914942397824
2034,BHS,120.89914942397824
2035,BHS,120.89914942397824
2036,BHS,120.89914942397824
2037,BHS,120.89914942397824
2038,BHS,120.89914942397824
2039,BHS,120.89914942397824
2040,BHS,120.89914942397824
2041,BHS,120.89914942397824
2042,BHS,120.89914942397824
2043,BHS,120.89914942397824
2044,BHS,120.89914942397824
2045,BHS,120.89914942397824
2046,BHS,120.89914942397824
2047,BHS,120.89914942397824
2048,BHS,120.89914942397824
2049,BHS,120.89914942397824
2050,BHS,120.89914942397824
2021,BIH,120.46214
2022,BIH,120.46214
2023,BIH,120.46214
2024,BIH,120.46214
2025,BIH,120.46214
2026,BIH,120.46214
2027,BIH,120.46214
2028,BIH,120.46214
2029,BIH,120.46214
2030,BIH,120.46214
2031,BIH,120.46214
2032,BIH,120.46214
2033,BIH,120.46214
2034,BIH,120.46214
2035,BIH,120.46214
2036,BIH,120.46214
2037,BIH,120.46214
2038,BIH,120.46214
2039,BIH,120.46214
2040,BIH,120.46214
2041,BIH,120.46214
2042,BIH,120.46214
2043,BIH,120.46214
2044,BIH,120.46214
2045,BIH,120.46214
2046,BIH,120.46214
2047,BIH,120.46214
2048,BIH,120.46214
2049,BIH,120.46214
2050,BIH,120.46214
2021,BLR,123.7230107
2022,BLR,123.7230107
2023,BLR,123.7230107
2024,BLR,123.7230107
2025,BLR,123.7230107
2026,BLR,123.7230107
2027,BLR,123.7230107
2028,BLR,123.7230107
2029,BLR,123.7230107
2030,BLR,123.7230107
2031,BLR,123.7230107
2032,BLR,123.7230107
2033,BLR,123.7230107
2034,BLR,123.7230107
2035,BLR,123.7230107
2036,BLR,123.7230107
2037,BLR,123.7230107
2038,BLR,123.7230107
2039,BLR,123.7230107
2040,BLR,123.7230107
2041,BLR,123.7230107
2042,BLR,123.7230107
2043,BLR,123.7230107
2044,BLR,123.7230107
2045,BLR,123.7230107
2046,BLR,123.7230107
2047,BLR,123.7230107
2048,BLR,123.7230107
2049,BLR,123.7230107
2050,BLR,123.7230107
2021,BLZ,120.89914942397824
2022,BLZ,120.89914942397824
2023,BLZ,120.89914942397824
2024,BLZ,120.89914942397824
2025,BLZ,120.89914942397824
2026,BLZ,120.89914942397824
2027,BLZ,120.89914942397824
2028,BLZ,120.89914942397824
2029,BLZ,120.89914942397824
2030,BLZ,120.89914942397824
2031,BLZ,120.89914942397824
2032,BLZ,120.89914942397824
2033,BLZ,120.89914942397824
2034,BLZ,120.89914942397824
2035,BLZ,120.89914942397824
2036,BLZ,120.89914942397824
2037,BLZ,120.89914942397824
2038,BLZ,120.89914942397824
2039,BLZ,120.89914942397824
2040,BLZ,120.89914942397824
2041,BLZ,120.89914942397824
2042,BLZ,120.89914942397824
2043,BLZ,120.89914942397824
2044,BLZ,120.89914942397824
2045,BLZ,120.89914942397824
2046,BLZ,120.89914942397824
2047,BLZ,120.89914942397824
2048,BLZ,120.89914942397824
2049,BLZ,120.89914942397824
2050,BLZ,120.89914942397824
2021,BMU,120.89914942397824
2022,BMU,120.89914942397824
2023,BMU,120.89914942397824
2024,BMU,120.89914942397824
2025,BMU,120.89914942397824
2026,BMU,120.89914942397824
2027,BMU,120.89914942397824
2028,BMU,120.89914942397824
2029,BMU,120.89914942397824
2030,BMU,120.89914942397824
2031,BMU,120.89914942397824
2032,BMU,120.89914942397824
2033,BMU,120.89914942397824
2034,BMU,120.89914942397824
2035,BMU,120.89914942397824
2036,BMU,120.89914942397824
2037,BMU,120.89914942397824
2038,BMU,120.89914942397824
2039,BMU,120.89914942397824
2040,BMU,120.89914942397824
2041,BMU,120.89914942397824
2042,BMU,120.89914942397824
2043,BMU,120.89914942397824
2044,BMU,120.89914942397824
2045,BMU,120.89914942397824
2046,BMU,120.89914942397824
2047,BMU,120.89914942397824
2048,BMU,120.89914942397824
2049,BMU,120.89914942397824
2050,BMU,120.89914942397824
2021,BOL,79.89019222
