"iso_code3","frac_waso_initial_composition_mun_other","Year"
"BDI",0.0064,2024
"BDI",0.0064,2025
"BDI",0.0064,2026
"BDI",0.0064,2027
"BDI",0.0064,2028
"BDI",0.0064,2029
"BDI",0.0064,2030
"BDI",0.0064,2031
"BDI",0.0064,2032
"BDI",0.0064,2033
"BDI",0.0064,2034
"BDI",0.0064,2035
"BDI",0.0064,2036
"BDI",0.0064,2037
"BDI",0.0064,2038
"BDI",0.0064,2039
"BDI",0.0064,2040
"BDI",0.0064,2041
"BDI",0.0064,2042
"BDI",0.0064,2043
"BDI",0.0064,2044
"BDI",0.0064,2045
"BDI",0.0064,2046
"BDI",0.0064,2047
"BDI",0.0064,2048
"BDI",0.0064,2049
"BDI",0.0064,2050
"BEL",0.08028,2021
"BEL",0.08028,2022
"BEL",0.08028,2023
"BEL",0.08028,2024
"BEL",0.08028,2025
"BEL",0.08028,2026
"BEL",0.08028,2027
"BEL",0.08028,2028
"BEL",0.08028,2029
"BEL",0.08028,2030
"BEL",0.08028,2031
"BEL",0.08028,2032
"BEL",0.08028,2033
"BEL",0.08028,2034
"BEL",0.08028,2035
"BEL",0.08028,2036
"BEL",0.08028,2037
"BEL",0.08028,2038
"BEL",0.08028,2039
"BEL",0.08028,2040
"BEL",0.08028,2041
"BEL",0.08028,2042
"BEL",0.08028,2043
"BEL",0.08028,2044
"BEL",0.08028,2045
"BEL",0.08028,2046
"BEL",0.08028,2047
"BEL",0.08028,2048
"BEL",0.08028,2049
"BEL",0.08028,2050
"BEN",0.0686,2021
"BEN",0.0686,2022
"BEN",0.0686,2023
"BEN",0.0686,2024
"BEN",0.0686,2025
"BEN",0.0686,2026
"BEN",0.0686,2027
"BEN",0.0686,2028
"BEN",0.0686,2029
"BEN",0.0686,2030
"BEN",0.0686,2031
"BEN",0.0686,2032
"BEN",0.0686,2033
"BEN",0.0686,2034
"BEN",0.0686,2035
"BEN",0.0686,2036
"BEN",0.0686,2037
"BEN",0.0686,2038
"BEN",0.0686,2039
"BEN",0.0686,2040
"BEN",0.0686,2041
"BEN",0.0686,2042
"BEN",0.0686,2043
"BEN",0.0686,2044
"BEN",0.0686,2045
"BEN",0.0686,2046
"BEN",0.0686,2047
"BEN",0.0686,2048
"BEN",0.0686,2049
"BEN",0.0686,2050
"BFA",0.122,2021
"BFA",0.122,2022
"BFA",0.122,2023
"BFA",0.122,2024
"BFA",0.122,2025
"BFA",0.122,2026
"BFA",0.122,2027
"BFA",0.122,2028
"BFA",0.122,2029
"BFA",0.122,2030
"BFA",0.122,2031
"BFA",0.122,2032
"BFA",0.122,2033
"BFA",0.122,2034
"BFA",0.122,2035
"BFA",0.122,2036
"BFA",0.122,2037
"BFA",0.122,2038
"BFA",0.122,2039
"BFA",0.122,2040
"BFA",0.122,2041
"BFA",0.122,2042
"BFA",0.122,2043
"BFA",0.122,2044
"BFA",0.122,2045
"BFA",0.122,2046
"BFA",0.122,2047
"BFA",0.122,2048
"BFA",0.122,2049
