Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2016,NZL,274.0889068
2017,NZL,274.0889068
2018,NZL,274.0889068
2019,NZL,274.0889068
2020,NZL,274.0889068
2015,OMN,274.0889068
2016,OMN,274.0889068
2017,OMN,274.0889068
2018,OMN,274.0889068
2019,OMN,274.0889068
2020,OMN,274.0889068
2015,PAK,21.78666667
2016,PAK,21.78666667
2017,PAK,21.78666667
2018,PAK,21.78666667
2019,PAK,21.78666667
2020,PAK,21.78666667
2015,PAN,274.0889068
2016,PAN,274.0889068
2017,PAN,274.0889068
2018,PAN,274.0889068
2019,PAN,274.0889068
2020,PAN,274.0889068
2015,PER,274.0889068
2016,PER,274.0889068
2017,PER,274.0889068
2018,PER,274.0889068
2019,PER,274.0889068
2020,PER,274.0889068
2015,PHL,274.0889068
2016,PHL,274.0889068
2017,PHL,274.0889068
2018,PHL,274.0889068
2019,PHL,274.0889068
2020,PHL,274.0889068
2015,PLW,274.0889068
2016,PLW,274.0889068
2017,PLW,274.0889068
2018,PLW,274.0889068
2019,PLW,274.0889068
2020,PLW,274.0889068
2015,PNG,274.0889068
2016,PNG,274.0889068
2017,PNG,274.0889068
2018,PNG,274.0889068
2019,PNG,274.0889068
2020,PNG,274.0889068
2015,POL,274.0889068
2016,POL,274.0889068
2017,POL,274.0889068
2018,POL,274.0889068
2019,POL,274.0889068
2020,POL,274.0889068
2015,PRI,274.0889068
2016,PRI,274.0889068
2017,PRI,274.0889068
2018,PRI,274.0889068
2019,PRI,274.0889068
2020,PRI,274.0889068
2015,PRK,274.0889068
2016,PRK,274.0889068
2017,PRK,274.0889068
2018,PRK,274.0889068
2019,PRK,274.0889068
2020,PRK,274.0889068
2015,PRT,274.0889068
2016,PRT,274.0889068
2017,PRT,274.0889068
2018,PRT,274.0889068
2019,PRT,274.0889068
2020,PRT,274.0889068
2015,PRY,274.0889068
2016,PRY,274.0889068
2017,PRY,274.0889068
2018,PRY,274.0889068
2019,PRY,274.0889068
2020,PRY,274.0889068
2015,PYF,274.0889068
2016,PYF,274.0889068
2017,PYF,274.0889068
2018,PYF,274.0889068
2019,PYF,274.0889068
2020,PYF,274.0889068
2015,QAT,274.0889068
2016,QAT,274.0889068
2017,QAT,274.0889068
2018,QAT,274.0889068
2019,QAT,274.0889068
2020,QAT,274.0889068
2015,ROU,9.03
2016,ROU,9.03
2017,ROU,9.03
2018,ROU,9.03
2019,ROU,9.03
2020,ROU,9.03
2015,RUS,38.75375
2016,RUS,38.75375
2017,RUS,38.75375
2018,RUS,38.75375
2019,RUS,38.75375
2020,RUS,38.75375
2015,RWA,274.0889068
2016,RWA,274.0889068
2017,RWA,274.0889068
2018,RWA,274.0889068
2019,RWA,274.0889068
2020,RWA,274.0889068
2015,SAU,4.275
2016,SAU,4.275
2017,SAU,4.275
2018,SAU,4.275
2019,SAU,4.275
2020,SAU,4.275
2015,SDN,274.0889068
2016,SDN,274.0889068
2017,SDN,274.0889068
2018,SDN,274.0889068
2019,SDN,274.0889068
2020,SDN,274.0889068
2015,SEN,274.0889068
2016,SEN,274.0889068
2017,SEN,274.0889068
2018,SEN,274.0889068
2019,SEN,274.0889068
2020,SEN,274.0889068
2015,SGP,160.8114286
2016,SGP,160.8114286
2017,SGP,160.8114286
2018,SGP,160.8114286
2019,SGP,160.8114286
2020,SGP,160.8114286
2015,SLB,274.0889068
2016,SLB,274.0889068
2017,SLB,274.0889068
2018,SLB,274.0889068
2019,SLB,274.0889068
2020,SLB,274.0889068
2015,SLE,274.0889068
2016,SLE,274.0889068
2017,SLE,274.0889068
2018,SLE,274.0889068
2019,SLE,274.0889068
2020,SLE,274.0889068
2015,SLV,274.0889068
2016,SLV,274.0889068
2017,SLV,274.0889068
2018,SLV,274.0889068
2019,SLV,274.0889068
2020,SLV,274.0889068
2015,SMR,274.0889068
2016,SMR,274.0889068
2017,SMR,274.0889068
2018,SMR,274.0889068
2019,SMR,274.0889068
2020,SMR,274.0889068
2015,SOM,274.0889068
2016,SOM,274.0889068
2017,SOM,274.0889068
2018,SOM,274.0889068
2019,SOM,274.0889068
2020,SOM,274.0889068
2015,SRB,47.628
2016,SRB,47.628
2017,SRB,47.628
2018,SRB,47.628
2019,SRB,47.628
2020,SRB,47.628
2015,SSD,274.0889068
2016,SSD,274.0889068
2017,SSD,274.0889068
2018,SSD,274.0889068
2019,SSD,274.0889068
2020,SSD,274.0889068
2015,STP,274.0889068
2016,STP,274.0889068
2017,STP,274.0889068
2018,STP,274.0889068
2019,STP,274.0889068
2020,STP,274.0889068
2015,SUR,274.0889068
2016,SUR,274.0889068
2017,SUR,274.0889068
2018,SUR,274.0889068
2019,SUR,274.0889068
2020,SUR,274.0889068
2015,SVK,274.0889068
2016,SVK,274.0889068
