,Nation,iso_code3,Year,cost_enfu_fuel_biomass_usd_per_m3
472,Burundi,BDI,2047,40.921
473,Burundi,BDI,2048,40.921
474,Burundi,BDI,2049,40.921
475,Burundi,BDI,2050,40.921
476,Belgium,BEL,2023,40.921
477,Belgium,BEL,2024,40.921
478,Belgium,BEL,2025,40.921
479,Belgium,BEL,2026,40.921
480,Belgium,BEL,2027,40.921
481,Belgium,BEL,2028,40.921
482,Belgium,BEL,2029,40.921
483,Belgium,BEL,2030,40.921
484,Belgium,BEL,2031,40.921
485,Belgium,BEL,2032,40.921
486,Belgium,BEL,2033,40.921
487,Belgium,BEL,2034,40.921
488,Belgium,BEL,2035,40.921
489,Belgium,BEL,2036,40.921
490,Belgium,BEL,2037,40.921
491,Belgium,BEL,2038,40.921
492,Belgium,BEL,2039,40.921
493,Belgium,BEL,2040,40.921
494,Belgium,BEL,2041,40.921
495,Belgium,BEL,2042,40.921
496,Belgium,BEL,2043,40.921
497,Belgium,BEL,2044,40.921
498,Belgium,BEL,2045,40.921
499,Belgium,BEL,2046,40.921
500,Belgium,BEL,2047,40.921
501,Belgium,BEL,2048,40.921
502,Belgium,BEL,2049,40.921
503,Belgium,BEL,2050,40.921
504,Benin,BEN,2023,40.921
505,Benin,BEN,2024,40.921
506,Benin,BEN,2025,40.921
507,Benin,BEN,2026,40.921
508,Benin,BEN,2027,40.921
509,Benin,BEN,2028,40.921
510,Benin,BEN,2029,40.921
511,Benin,BEN,2030,40.921
512,Benin,BEN,2031,40.921
513,Benin,BEN,2032,40.921
514,Benin,BEN,2033,40.921
515,Benin,BEN,2034,40.921
516,Benin,BEN,2035,40.921
517,Benin,BEN,2036,40.921
518,Benin,BEN,2037,40.921
519,Benin,BEN,2038,40.921
520,Benin,BEN,2039,40.921
521,Benin,BEN,2040,40.921
522,Benin,BEN,2041,40.921
523,Benin,BEN,2042,40.921
524,Benin,BEN,2043,40.921
525,Benin,BEN,2044,40.921
526,Benin,BEN,2045,40.921
527,Benin,BEN,2046,40.921
528,Benin,BEN,2047,40.921
529,Benin,BEN,2048,40.921
530,Benin,BEN,2049,40.921
531,Benin,BEN,2050,40.921
532,Burkina Faso,BFA,2023,40.921
533,Burkina Faso,BFA,2024,40.921
534,Burkina Faso,BFA,2025,40.921
535,Burkina Faso,BFA,2026,40.921
536,Burkina Faso,BFA,2027,40.921
537,Burkina Faso,BFA,2028,40.921
538,Burkina Faso,BFA,2029,40.921
539,Burkina Faso,BFA,2030,40.921
540,Burkina Faso,BFA,2031,40.921
541,Burkina Faso,BFA,2032,40.921
542,Burkina Faso,BFA,2033,40.921
543,Burkina Faso,BFA,2034,40.921
544,Burkina Faso,BFA,2035,40.921
545,Burkina Faso,BFA,2036,40.921
546,Burkina Faso,BFA,2037,40.921
547,Burkina Faso,BFA,2038,40.921
548,Burkina Faso,BFA,2039,40.921
549,Burkina Faso,BFA,2040,40.921
550,Burkina Faso,BFA,2041,40.921
551,Burkina Faso,BFA,2042,40.921
552,Burkina Faso,BFA,2043,40.921
553,Burkina Faso,BFA,2044,40.921
554,Burkina Faso,BFA,2045,40.921
555,Burkina Faso,BFA,2046,40.921
556,Burkina Faso,BFA,2047,40.921
557,Burkina Faso,BFA,2048,40.921
558,Burkina Faso,BFA,2049,40.921
559,Burkina Faso,BFA,2050,40.921
560,Bangladesh,BGD,2023,40.921
561,Bangladesh,BGD,2024,40.921
562,Bangladesh,BGD,2025,40.921
563,Bangladesh,BGD,2026,40.921
564,Bangladesh,BGD,2027,40.921
565,Bangladesh,BGD,2028,40.921
566,Bangladesh,BGD,2029,40.921
567,Bangladesh,BGD,2030,40.921
568,Bangladesh,BGD,2031,40.921
569,Bangladesh,BGD,2032,40.921
570,Bangladesh,BGD,2033,40.921
571,Bangladesh,BGD,2034,40.921
572,Bangladesh,BGD,2035,40.921
573,Bangladesh,BGD,2036,40.921
574,Bangladesh,BGD,2037,40.921
575,Bangladesh,BGD,2038,40.921
576,Bangladesh,BGD,2039,40.921
577,Bangladesh,BGD,2040,40.921
578,Bangladesh,BGD,2041,40.921
579,Bangladesh,BGD,2042,40.921
580,Bangladesh,BGD,2043,40.921
581,Bangladesh,BGD,2044,40.921
582,Bangladesh,BGD,2045,40.921
583,Bangladesh,BGD,2046,40.921
584,Bangladesh,BGD,2047,40.921
585,Bangladesh,BGD,2048,40.921
586,Bangladesh,BGD,2049,40.921
587,Bangladesh,BGD,2050,40.921
588,Bulgaria,BGR,2023,40.921
589,Bulgaria,BGR,2024,40.921
590,Bulgaria,BGR,2025,40.921
591,Bulgaria,BGR,2026,40.921
592,Bulgaria,BGR,2027,40.921
593,Bulgaria,BGR,2028,40.921
594,Bulgaria,BGR,2029,40.921
595,Bulgaria,BGR,2030,40.921
596,Bulgaria,BGR,2031,40.921
597,Bulgaria,BGR,2032,40.921
598,Bulgaria,BGR,2033,40.921
599,Bulgaria,BGR,2034,40.921
600,Bulgaria,BGR,2035,40.921
601,Bulgaria,BGR,2036,40.921
602,Bulgaria,BGR,2037,40.921
603,Bulgaria,BGR,2038,40.921
604,Bulgaria,BGR,2039,40.921
605,Bulgaria,BGR,2040,40.921
606,Bulgaria,BGR,2041,40.921
607,Bulgaria,BGR,2042,40.921
608,Bulgaria,BGR,2043,40.921
609,Bulgaria,BGR,2044,40.921
610,Bulgaria,BGR,2045,40.921
611,Bulgaria,BGR,2046,40.921
612,Bulgaria,BGR,2047,40.921
613,Bulgaria,BGR,2048,40.921
614,Bulgaria,BGR,2049,40.921
615,Bulgaria,BGR,2050,40.921
616,Bahrain,BHR,2023,40.921
617,Bahrain,BHR,2024,40.921
618,Bahrain,BHR,2025,40.921
619,Bahrain,BHR,2026,40.921
620,Bahrain,BHR,2027,40.921
621,Bahrain,BHR,2028,40.921
622,Bahrain,BHR,2029,40.921
623,Bahrain,BHR,2030,40.921
624,Bahrain,BHR,2031,40.921
625,Bahrain,BHR,2032,40.921
626,Bahrain,BHR,2033,40.921
627,Bahrain,BHR,2034,40.921
628,Bahrain,BHR,2035,40.921
629,Bahrain,BHR,2036,40.921
630,Bahrain,BHR,2037,40.921
631,Bahrain,BHR,2038,40.921
632,Bahrain,BHR,2039,40.921
633,Bahrain,BHR,2040,40.921
634,Bahrain,BHR,2041,40.921
635,Bahrain,BHR,2042,40.921
636,Bahrain,BHR,2043,40.921
637,Bahrain,BHR,2044,40.921
638,Bahrain,BHR,2045,40.921
639,Bahrain,BHR,2046,40.921
640,Bahrain,BHR,2047,40.921
641,Bahrain,BHR,2048,40.921
642,Bahrain,BHR,2049,40.921
643,Bahrain,BHR,2050,40.921
644,"Bahamas, The",BHS,2023,40.921
645,"Bahamas, The",BHS,2024,40.921
646,"Bahamas, The",BHS,2025,40.921
647,"Bahamas, The",BHS,2026,40.921
648,"Bahamas, The",BHS,2027,40.921
649,"Bahamas, The",BHS,2028,40.921
650,"Bahamas, The",BHS,2029,40.921
651,"Bahamas, The",BHS,2030,40.921
652,"Bahamas, The",BHS,2031,40.921
653,"Bahamas, The",BHS,2032,40.921
654,"Bahamas, The",BHS,2033,40.921
655,"Bahamas, The",BHS,2034,40.921
656,"Bahamas, The",BHS,2035,40.921
657,"Bahamas, The",BHS,2036,40.921
658,"Bahamas, The",BHS,2037,40.921
659,"Bahamas, The",BHS,2038,40.921
660,"Bahamas, The",BHS,2039,40.921
661,"Bahamas, The",BHS,2040,40.921
662,"Bahamas, The",BHS,2041,40.921
663,"Bahamas, The",BHS,2042,40.921
664,"Bahamas, The",BHS,2043,40.921
665,"Bahamas, The",BHS,2044,40.921
666,"Bahamas, The",BHS,2045,40.921
667,"Bahamas, The",BHS,2046,40.921
668,"Bahamas, The",BHS,2047,40.921
669,"Bahamas, The",BHS,2048,40.921
670,"Bahamas, The",BHS,2049,40.921
671,"Bahamas, The",BHS,2050,40.921
672,Bosnia and Herzegovina,BIH,2023,40.921
673,Bosnia and Herzegovina,BIH,2024,40.921
674,Bosnia and Herzegovina,BIH,2025,40.921
675,Bosnia and Herzegovina,BIH,2026,40.921
676,Bosnia and Herzegovina,BIH,2027,40.921
677,Bosnia and Herzegovina,BIH,2028,40.921
678,Bosnia and Herzegovina,BIH,2029,40.921
679,Bosnia and Herzegovina,BIH,2030,40.921
680,Bosnia and Herzegovina,BIH,2031,40.921
681,Bosnia and Herzegovina,BIH,2032,40.921
682,Bosnia and Herzegovina,BIH,2033,40.921
683,Bosnia and Herzegovina,BIH,2034,40.921
684,Bosnia and Herzegovina,BIH,2035,40.921
685,Bosnia and Herzegovina,BIH,2036,40.921
686,Bosnia and Herzegovina,BIH,2037,40.921
687,Bosnia and Herzegovina,BIH,2038,40.921
688,Bosnia and Herzegovina,BIH,2039,40.921
689,Bosnia and Herzegovina,BIH,2040,40.921
690,Bosnia and Herzegovina,BIH,2041,40.921
691,Bosnia and Herzegovina,BIH,2042,40.921
692,Bosnia and Herzegovina,BIH,2043,40.921
693,Bosnia and Herzegovina,BIH,2044,40.921
694,Bosnia and Herzegovina,BIH,2045,40.921
695,Bosnia and Herzegovina,BIH,2046,40.921
696,Bosnia and Herzegovina,BIH,2047,40.921
697,Bosnia and Herzegovina,BIH,2048,40.921
698,Bosnia and Herzegovina,BIH,2049,40.921
699,Bosnia and Herzegovina,BIH,2050,40.921
700,Belarus,BLR,2023,40.921
701,Belarus,BLR,2024,40.921
702,Belarus,BLR,2025,40.921
703,Belarus,BLR,2026,40.921
704,Belarus,BLR,2027,40.921
705,Belarus,BLR,2028,40.921
706,Belarus,BLR,2029,40.921
707,Belarus,BLR,2030,40.921
708,Belarus,BLR,2031,40.921
