iso_code3,elasticity_trde_pkm_to_gdppc_private_and_public,Year
BWA,1.12,2016
BWA,1.12,2017
BWA,1.12,2018
BWA,1.12,2019
BWA,1.12,2020
CAF,1.12,2010
CAF,1.12,2011
CAF,1.12,2012
CAF,1.12,2013
CAF,1.12,2014
CAF,1.12,2015
CAF,1.12,2016
CAF,1.12,2017
CAF,1.12,2018
CAF,1.12,2019
CAF,1.12,2020
CAN,1.12,2010
CAN,1.12,2011
CAN,1.12,2012
CAN,1.12,2013
CAN,1.12,2014
CAN,1.12,2015
CAN,1.12,2016
CAN,1.12,2017
CAN,1.12,2018
CAN,1.12,2019
CAN,1.12,2020
CHE,1.12,2010
CHE,1.12,2011
CHE,1.12,2012
CHE,1.12,2013
CHE,1.12,2014
CHE,1.12,2015
CHE,1.12,2016
CHE,1.12,2017
CHE,1.12,2018
CHE,1.12,2019
CHE,1.12,2020
CHI,1.12,2010
CHI,1.12,2011
CHI,1.12,2012
CHI,1.12,2013
CHI,1.12,2014
CHI,1.12,2015
CHI,1.12,2016
CHI,1.12,2017
CHI,1.12,2018
CHI,1.12,2019
CHI,1.12,2020
CHL,1.12,2010
CHL,1.12,2011
CHL,1.12,2012
CHL,1.12,2013
CHL,1.12,2014
CHL,1.12,2015
CHL,1.12,2016
CHL,1.12,2017
CHL,1.12,2018
CHL,1.12,2019
CHL,1.12,2020
CHN,1.12,2010
CHN,1.12,2011
CHN,1.12,2012
CHN,1.12,2013
CHN,1.12,2014
CHN,1.12,2015
CHN,1.12,2016
CHN,1.12,2017
CHN,1.12,2018
CHN,1.12,2019
CHN,1.12,2020
CIV,1.12,2010
CIV,1.12,2011
CIV,1.12,2012
CIV,1.12,2013
CIV,1.12,2014
CIV,1.12,2015
CIV,1.12,2016
CIV,1.12,2017
CIV,1.12,2018
CIV,1.12,2019
CIV,1.12,2020
CMR,1.12,2010
CMR,1.12,2011
CMR,1.12,2012
CMR,1.12,2013
CMR,1.12,2014
CMR,1.12,2015
CMR,1.12,2016
CMR,1.12,2017
CMR,1.12,2018
CMR,1.12,2019
CMR,1.12,2020
COD,1.12,2010
COD,1.12,2011
COD,1.12,2012
COD,1.12,2013
COD,1.12,2014
COD,1.12,2015
COD,1.12,2016
COD,1.12,2017
COD,1.12,2018
COD,1.12,2019
COD,1.12,2020
COG,1.12,2010
COG,1.12,2011
COG,1.12,2012
COG,1.12,2013
COG,1.12,2014
COG,1.12,2015
COG,1.12,2016
COG,1.12,2017
COG,1.12,2018
COG,1.12,2019
COG,1.12,2020
COL,1.12,2010
COL,1.12,2011
COL,1.12,2012
COL,1.12,2013
COL,1.12,2014
COL,1.12,2015
COL,1.12,2016
COL,1.12,2017
COL,1.12,2018
COL,1.12,2019
COL,1.12,2020
COM,1.12,2010
COM,1.12,2011
COM,1.12,2012
COM,1.12,2013
COM,1.12,2014
COM,1.12,2015
COM,1.12,2016
COM,1.12,2017
COM,1.12,2018
COM,1.12,2019
COM,1.12,2020
CPV,1.12,2010
CPV,1.12,2011
CPV,1.12,2012
CPV,1.12,2013
CPV,1.12,2014
CPV,1.12,2015
CPV,1.12,2016
CPV,1.12,2017
CPV,1.12,2018
CPV,1.12,2019
CPV,1.12,2020
CRI,1.12,2010
CRI,1.12,2011
CRI,1.12,2012
CRI,1.12,2013
CRI,1.12,2014
CRI,1.12,2015
CRI,1.12,2016
CRI,1.12,2017
CRI,1.12,2018
CRI,1.12,2019
CRI,1.12,2020
CUB,1.12,2010
CUB,1.12,2011
CUB,1.12,2012
CUB,1.12,2013
CUB,1.12,2014
CUB,1.12,2015
CUB,1.12,2016
CUB,1.12,2017
CUB,1.12,2018
CUB,1.12,2019
CUB,1.12,2020
CUW,1.12,2010
CUW,1.12,2011
CUW,1.12,2012
CUW,1.12,2013
CUW,1.12,2014
CUW,1.12,2015
CUW,1.12,2016
CUW,1.12,2017
CUW,1.12,2018
CUW,1.12,2019
CUW,1.12,2020
CYM,1.12,2010
CYM,1.12,2011
CYM,1.12,2012
CYM,1.12,2013
CYM,1.12,2014
CYM,1.12,2015
CYM,1.12,2016
CYM,1.12,2017
CYM,1.12,2018
CYM,1.12,2019
CYM,1.12,2020
CYP,1.12,2010
CYP,1.12,2011
CYP,1.12,2012
CYP,1.12,2013
CYP,1.12,2014
CYP,1.12,2015
CYP,1.12,2016
CYP,1.12,2017
CYP,1.12,2018
CYP,1.12,2019
CYP,1.12,2020
CZE,1.12,2010
CZE,1.12,2011
CZE,1.12,2012
CZE,1.12,2013
CZE,1.12,2014
CZE,1.12,2015
CZE,1.12,2016
CZE,1.12,2017
CZE,1.12,2018
CZE,1.12,2019
CZE,1.12,2020
DEU,1.12,2010
DEU,1.12,2011
DEU,1.12,2012
DEU,1.12,2013
DEU,1.12,2014
DEU,1.12,2015
DEU,1.12,2016
DEU,1.12,2017
DEU,1.12,2018
DEU,1.12,2019
DEU,1.12,2020
DJI,1.12,2010
DJI,1.12,2011
DJI,1.12,2012
DJI,1.12,2013
DJI,1.12,2014
DJI,1.12,2015
DJI,1.12,2016
DJI,1.12,2017
DJI,1.12,2018
DJI,1.12,2019
DJI,1.12,2020
DMA,1.12,2010
DMA,1.12,2011
DMA,1.12,2012
DMA,1.12,2013
DMA,1.12,2014
DMA,1.12,2015
DMA,1.12,2016
DMA,1.12,2017
DMA,1.12,2018
DMA,1.12,2019
DMA,1.12,2020
DNK,1.12,2010
DNK,1.12,2011
DNK,1.12,2012
DNK,1.12,2013
DNK,1.12,2014
DNK,1.12,2015
DNK,1.12,2016
DNK,1.12,2017
DNK,1.12,2018
DNK,1.12,2019
DNK,1.12,2020
DOM,1.12,2010
DOM,1.12,2011
DOM,1.12,2012
DOM,1.12,2013
DOM,1.12,2014
DOM,1.12,2015
DOM,1.12,2016
DOM,1.12,2017
DOM,1.12,2018
DOM,1.12,2019
DOM,1.12,2020
DZA,1.12,2010
DZA,1.12,2011
DZA,1.12,2012
DZA,1.12,2013
DZA,1.12,2014
DZA,1.12,2015
DZA,1.12,2016
DZA,1.12,2017
DZA,1.12,2018
DZA,1.12,2019
DZA,1.12,2020
ECU,1.12,2010
ECU,1.12,2011
ECU,1.12,2012
ECU,1.12,2013
ECU,1.12,2014
ECU,1.12,2015
ECU,1.12,2016
ECU,1.12,2017
ECU,1.12,2018
ECU,1.12,2019
ECU,1.12,2020
EGY,1.12,2010
EGY,1.12,2011
EGY,1.12,2012
EGY,1.12,2013
EGY,1.12,2014
EGY,1.12,2015
EGY,1.12,2016
EGY,1.12,2017
EGY,1.12,2018
EGY,1.12,2019
EGY,1.12,2020
ERI,1.12,2010
ERI,1.12,2011
ERI,1.12,2012
ERI,1.12,2013
ERI,1.12,2014
ERI,1.12,2015
ERI,1.12,2016
ERI,1.12,2017
ERI,1.12,2018
ERI,1.12,2019
ERI,1.12,2020
ESP,1.12,2010
ESP,1.12,2011
ESP,1.12,2012
ESP,1.12,2013
ESP,1.12,2014
ESP,1.12,2015
ESP,1.12,2016
ESP,1.12,2017
ESP,1.12,2018
ESP,1.12,2019
ESP,1.12,2020
EST,1.12,2010
EST,1.12,2011
EST,1.12,2012
EST,1.12,2013
EST,1.12,2014
EST,1.12,2015
EST,1.12,2016
EST,1.12,2017
EST,1.12,2018
EST,1.12,2019
EST,1.12,2020
ETH,1.12,2010
ETH,1.12,2011
ETH,1.12,2012
ETH,1.12,2013
ETH,1.12,2014
ETH,1.12,2015
ETH,1.12,2016
ETH,1.12,2017
ETH,1.12,2018
ETH,1.12,2019
ETH,1.12,2020
FIN,1.12,2010
FIN,1.12,2011
FIN,1.12,2012
FIN,1.12,2013
FIN,1.12,2014
FIN,1.12,2015
FIN,1.12,2016
FIN,1.12,2017
FIN,1.12,2018
FIN,1.12,2019
FIN,1.12,2020
FJI,1.12,2010
FJI,1.12,2011
FJI,1.12,2012
FJI,1.12,2013
FJI,1.12,2014
FJI,1.12,2015
FJI,1.12,2016
FJI,1.12,2017
FJI,1.12,2018
FJI,1.12,2019
FJI,1.12,2020
FRA,1.12,2010
FRA,1.12,2011
FRA,1.12,2012
FRA,1.12,2013
FRA,1.12,2014
FRA,1.12,2015
FRA,1.12,2016
FRA,1.12,2017
FRA,1.12,2018
FRA,1.12,2019
FRA,1.12,2020
FRO,1.12,2010
FRO,1.12,2011
FRO,1.12,2012
FRO,1.12,2013
FRO,1.12,2014
FRO,1.12,2015
FRO,1.12,2016
FRO,1.12,2017
FRO,1.12,2018
FRO,1.12,2019
FRO,1.12,2020
FSM,1.12,2010
FSM,1.12,2011
FSM,1.12,2012
FSM,1.12,2013
FSM,1.12,2014
FSM,1.12,2015
FSM,1.12,2016
FSM,1.12,2017
FSM,1.12,2018
FSM,1.12,2019
FSM,1.12,2020
GAB,1.12,2010
GAB,1.12,2011
GAB,1.12,2012
GAB,1.12,2013
GAB,1.12,2014
GAB,1.12,2015
GAB,1.12,2016
GAB,1.12,2017
GAB,1.12,2018
GAB,1.12,2019
GAB,1.12,2020
GBR,1.12,2010
GBR,1.12,2011
GBR,1.12,2012
GBR,1.12,2013
GBR,1.12,2014
GBR,1.12,2015
GBR,1.12,2016
GBR,1.12,2017
GBR,1.12,2018
GBR,1.12,2019
GBR,1.12,2020
GEO,1.12,2010
GEO,1.12,2011
GEO,1.12,2012
GEO,1.12,2013
GEO,1.12,2014
GEO,1.12,2015
GEO,1.12,2016
GEO,1.12,2017
GEO,1.12,2018
GEO,1.12,2019
GEO,1.12,2020
GHA,1.12,2010
GHA,1.12,2011
GHA,1.12,2012
GHA,1.12,2013
GHA,1.12,2014
GHA,1.12,2015
GHA,1.12,2016
GHA,1.12,2017
GHA,1.12,2018
GHA,1.12,2019
GHA,1.12,2020
GIB,1.12,2010
GIB,1.12,2011
GIB,1.12,2012
GIB,1.12,2013
GIB,1.12,2014
GIB,1.12,2015
GIB,1.12,2016
GIB,1.12,2017
GIB,1.12,2018
GIB,1.12,2019
GIB,1.12,2020
GIN,1.12,2010
GIN,1.12,2011
GIN,1.12,2012
GIN,1.12,2013
GIN,1.12,2014
GIN,1.12,2015
GIN,1.12,2016
GIN,1.12,2017
GIN,1.12,2018
GIN,1.12,2019
GIN,1.12,2020
GMB,1.12,2010
GMB,1.12,2011
GMB,1.12,2012
GMB,1.12,2013
GMB,1.12,2014
GMB,1.12,2015
GMB,1.12,2016
GMB,1.12,2017
GMB,1.12,2018
GMB,1.12,2019
GMB,1.12,2020
GNB,1.12,2010
GNB,1.12,2011
GNB,1.12,2012
GNB,1.12,2013
GNB,1.12,2014
GNB,1.12,2015
GNB,1.12,2016
GNB,1.12,2017
GNB,1.12,2018
GNB,1.12,2019
GNB,1.12,2020
GNQ,1.12,2010
GNQ,1.12,2011
GNQ,1.12,2012
GNQ,1.12,2013
GNQ,1.12,2014
GNQ,1.12,2015
GNQ,1.12,2016
GNQ,1.12,2017
GNQ,1.12,2018
GNQ,1.12,2019
GNQ,1.12,2020
GRC,1.12,2010
GRC,1.12,2011
GRC,1.12,2012
GRC,1.12,2013
GRC,1.12,2014
GRC,1.12,2015
GRC,1.12,2016
GRC,1.12,2017
GRC,1.12,2018
GRC,1.12,2019
GRC,1.12,2020
GRD,1.12,2010
GRD,1.12,2011
GRD,1.12,2012
GRD,1.12,2013
GRD,1.12,2014
GRD,1.12,2015
GRD,1.12,2016
GRD,1.12,2017
GRD,1.12,2018
GRD,1.12,2019
GRD,1.12,2020
GRL,1.12,2010
GRL,1.12,2011
GRL,1.12,2012
GRL,1.12,2013
GRL,1.12,2014
GRL,1.12,2015
GRL,1.12,2016
GRL,1.12,2017
GRL,1.12,2018
GRL,1.12,2019
GRL,1.12,2020
GTM,1.12,2010
GTM,1.12,2011
GTM,1.12,2012
GTM,1.12,2013
GTM,1.12,2014
GTM,1.12,2015
GTM,1.12,2016
GTM,1.12,2017
GTM,1.12,2018
GTM,1.12,2019
GTM,1.12,2020
GUM,1.12,2010
GUM,1.12,2011
GUM,1.12,2012
GUM,1.12,2013
GUM,1.12,2014
GUM,1.12,2015
GUM,1.12,2016
GUM,1.12,2017
GUM,1.12,2018
GUM,1.12,2019
GUM,1.12,2020
GUY,1.12,2010
GUY,1.12,2011
GUY,1.12,2012
GUY,1.12,2013
GUY,1.12,2014
GUY,1.12,2015
GUY,1.12,2016
GUY,1.12,2017
GUY,1.12,2018
GUY,1.12,2019
GUY,1.12,2020
HKG,1.12,2010
HKG,1.12,2011
HKG,1.12,2012
HKG,1.12,2013
HKG,1.12,2014
HKG,1.12,2015
HKG,1.12,2016
HKG,1.12,2017
HKG,1.12,2018
HKG,1.12,2019
HKG,1.12,2020
HND,1.12,2010
HND,1.12,2011
HND,1.12,2012
HND,1.12,2013
HND,1.12,2014
HND,1.12,2015
HND,1.12,2016
HND,1.12,2017
HND,1.12,2018
HND,1.12,2019
HND,1.12,2020
HRV,1.12,2010
HRV,1.12,2011
HRV,1.12,2012
HRV,1.12,2013
HRV,1.12,2014
HRV,1.12,2015
HRV,1.12,2016
HRV,1.12,2017
HRV,1.12,2018
HRV,1.12,2019
HRV,1.12,2020
HTI,1.12,2010
HTI,1.12,2011
HTI,1.12,2012
HTI,1.12,2013
HTI,1.12,2014
HTI,1.12,2015
HTI,1.12,2016
HTI,1.12,2017
HTI,1.12,2018
HTI,1.12,2019
HTI,1.12,2020
HUN,1.12,2010
HUN,1.12,2011
HUN,1.12,2012
HUN,1.12,2013
HUN,1.12,2014
HUN,1.12,2015
HUN,1.12,2016
HUN,1.12,2017
HUN,1.12,2018
HUN,1.12,2019
HUN,1.12,2020
IDN,1.12,2010
IDN,1.12,2011
IDN,1.12,2012
IDN,1.12,2013
IDN,1.12,2014
IDN,1.12,2015
IDN,1.12,2016
IDN,1.12,2017
IDN,1.12,2018
IDN,1.12,2019
IDN,1.12,2020
IMN,1.12,2010
IMN,1.12,2011
IMN,1.12,2012
IMN,1.12,2013
IMN,1.12,2014
IMN,1.12,2015
IMN,1.12,2016
IMN,1.12,2017
IMN,1.12,2018
IMN,1.12,2019
IMN,1.12,2020
IND,1.12,2010
IND,1.12,2011
IND,1.12,2012
IND,1.12,2013
IND,1.12,2014
IND,1.12,2015
IND,1.12,2016
IND,1.12,2017
IND,1.12,2018
IND,1.12,2019
IND,1.12,2020
IRL,1.12,2010
IRL,1.12,2011
IRL,1.12,2012
IRL,1.12,2013
IRL,1.12,2014
IRL,1.12,2015
IRL,1.12,2016
IRL,1.12,2017
IRL,1.12,2018
IRL,1.12,2019
IRL,1.12,2020
IRN,1.12,2010
IRN,1.12,2011
IRN,1.12,2012
IRN,1.12,2013
IRN,1.12,2014
IRN,1.12,2015
IRN,1.12,2016
IRN,1.12,2017
IRN,1.12,2018
IRN,1.12,2019
IRN,1.12,2020
IRQ,1.12,2010
IRQ,1.12,2011
IRQ,1.12,2012
IRQ,1.12,2013
IRQ,1.12,2014
IRQ,1.12,2015
IRQ,1.12,2016
IRQ,1.12,2017
IRQ,1.12,2018
IRQ,1.12,2019
IRQ,1.12,2020
ISL,1.12,2010
ISL,1.12,2011
ISL,1.12,2012
ISL,1.12,2013
ISL,1.12,2014
ISL,1.12,2015
ISL,1.12,2016
ISL,1.12,2017
ISL,1.12,2018
ISL,1.12,2019
ISL,1.12,2020
ISR,1.12,2010
ISR,1.12,2011
ISR,1.12,2012
ISR,1.12,2013
ISR,1.12,2014
ISR,1.12,2015
ISR,1.12,2016
ISR,1.12,2017
ISR,1.12,2018
ISR,1.12,2019
ISR,1.12,2020
ITA,1.12,2010
ITA,1.12,2011
ITA,1.12,2012
ITA,1.12,2013
ITA,1.12,2014
ITA,1.12,2015
ITA,1.12,2016
ITA,1.12,2017
ITA,1.12,2018
ITA,1.12,2019
ITA,1.12,2020
JAM,1.12,2010
JAM,1.12,2011
JAM,1.12,2012
JAM,1.12,2013
JAM,1.12,2014
JAM,1.12,2015
JAM,1.12,2016
JAM,1.12,2017
JAM,1.12,2018
JAM,1.12,2019
JAM,1.12,2020
JOR,1.12,2010
JOR,1.12,2011
JOR,1.12,2012
JOR,1.12,2013
JOR,1.12,2014
JOR,1.12,2015
JOR,1.12,2016
JOR,1.12,2017
JOR,1.12,2018
JOR,1.12,2019
JOR,1.12,2020
JPN,1.12,2010
JPN,1.12,2011
JPN,1.12,2012
JPN,1.12,2013
JPN,1.12,2014
JPN,1.12,2015
JPN,1.12,2016
JPN,1.12,2017
JPN,1.12,2018
JPN,1.12,2019
JPN,1.12,2020
KAZ,1.12,2010
KAZ,1.12,2011
KAZ,1.12,2012
KAZ,1.12,2013
KAZ,1.12,2014
KAZ,1.12,2015
KAZ,1.12,2016
KAZ,1.12,2017
KAZ,1.12,2018
KAZ,1.12,2019
KAZ,1.12,2020
KEN,1.12,2010
KEN,1.12,2011
KEN,1.12,2012
KEN,1.12,2013
KEN,1.12,2014
KEN,1.12,2015
KEN,1.12,2016
KEN,1.12,2017
KEN,1.12,2018
KEN,1.12,2019
KEN,1.12,2020
KGZ,1.12,2010
KGZ,1.12,2011
KGZ,1.12,2012
KGZ,1.12,2013
KGZ,1.12,2014
KGZ,1.12,2015
KGZ,1.12,2016
KGZ,1.12,2017
KGZ,1.12,2018
KGZ,1.12,2019
KGZ,1.12,2020
KHM,1.12,2010
KHM,1.12,2011
KHM,1.12,2012
KHM,1.12,2013
KHM,1.12,2014
KHM,1.12,2015
KHM,1.12,2016
KHM,1.12,2017
KHM,1.12,2018
KHM,1.12,2019
KHM,1.12,2020
KIR,1.12,2010
KIR,1.12,2011
KIR,1.12,2012
KIR,1.12,2013
KIR,1.12,2014
KIR,1.12,2015
KIR,1.12,2016
KIR,1.12,2017
KIR,1.12,2018
KIR,1.12,2019
KIR,1.12,2020
KNA,1.12,2010
KNA,1.12,2011
KNA,1.12,2012
KNA,1.12,2013
KNA,1.12,2014
KNA,1.12,2015
KNA,1.12,2016
KNA,1.12,2017
KNA,1.12,2018
KNA,1.12,2019
KNA,1.12,2020
KOR,1.12,2010
KOR,1.12,2011
KOR,1.12,2012
KOR,1.12,2013
KOR,1.12,2014
KOR,1.12,2015
KOR,1.12,2016
KOR,1.12,2017
KOR,1.12,2018
KOR,1.12,2019
KOR,1.12,2020
KWT,1.12,2010
KWT,1.12,2011
KWT,1.12,2012
KWT,1.12,2013
KWT,1.12,2014
KWT,1.12,2015
KWT,1.12,2016
KWT,1.12,2017
KWT,1.12,2018
KWT,1.12,2019
KWT,1.12,2020
LAO,1.12,2010
LAO,1.12,2011
LAO,1.12,2012
LAO,1.12,2013
LAO,1.12,2014
LAO,1.12,2015
LAO,1.12,2016
LAO,1.12,2017
LAO,1.12,2018
LAO,1.12,2019
LAO,1.12,2020
LBN,1.12,2010
LBN,1.12,2011
LBN,1.12,2012
LBN,1.12,2013
LBN,1.12,2014
LBN,1.12,2015
LBN,1.12,2016
LBN,1.12,2017
LBN,1.12,2018
LBN,1.12,2019
LBN,1.12,2020
LBR,1.12,2010
LBR,1.12,2011
LBR,1.12,2012
LBR,1.12,2013
LBR,1.12,2014
LBR,1.12,2015
LBR,1.12,2016
LBR,1.12,2017
LBR,1.12,2018
LBR,1.12,2019
LBR,1.12,2020
LBY,1.12,2010
LBY,1.12,2011
LBY,1.12,2012
LBY,1.12,2013
LBY,1.12,2014
LBY,1.12,2015
LBY,1.12,2016
LBY,1.12,2017
LBY,1.12,2018
LBY,1.12,2019
LBY,1.12,2020
LCA,1.12,2010
LCA,1.12,2011
LCA,1.12,2012
LCA,1.12,2013
LCA,1.12,2014
LCA,1.12,2015
LCA,1.12,2016
LCA,1.12,2017
LCA,1.12,2018
LCA,1.12,2019
LCA,1.12,2020
LIE,1.12,2010
LIE,1.12,2011
LIE,1.12,2012
LIE,1.12,2013
LIE,1.12,2014
LIE,1.12,2015
LIE,1.12,2016
LIE,1.12,2017
LIE,1.12,2018
LIE,1.12,2019
LIE,1.12,2020
LKA,1.12,2010
LKA,1.12,2011
LKA,1.12,2012
LKA,1.12,2013
LKA,1.12,2014
LKA,1.12,2015
LKA,1.12,2016
LKA,1.12,2017
LKA,1.12,2018
LKA,1.12,2019
LKA,1.12,2020
LSO,1.12,2010
LSO,1.12,2011
LSO,1.12,2012
LSO,1.12,2013
LSO,1.12,2014
LSO,1.12,2015
LSO,1.12,2016
LSO,1.12,2017
LSO,1.12,2018
LSO,1.12,2019
LSO,1.12,2020
LTU,1.12,2010
LTU,1.12,2011
LTU,1.12,2012
LTU,1.12,2013
