,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_biomass_mm_usd_per_gw
77,Afghanistan,AGO,2038,653.7107463788666
78,Afghanistan,AGO,2039,638.7799722967007
79,Afghanistan,AGO,2040,624.1902175658726
80,Afghanistan,AGO,2041,609.9336932936332
81,Afghanistan,AGO,2042,596.0027884857897
82,Afghanistan,AGO,2043,582.3900659834968
83,Afghanistan,AGO,2044,569.0882584928521
84,Afghanistan,AGO,2045,556.0902647051754
85,Afghanistan,AGO,2046,543.3891455059006
86,Afghanistan,AGO,2047,530.9781202700577
87,Afghanistan,AGO,2048,518.850563242365
88,Afghanistan,AGO,2049,507.0
89,Afghanistan,AGO,2050,495.4201039961627
90,Afghanistan,AIA,2021,968.2093863651623
91,Afghanistan,AIA,2022,946.0954534183227
92,Afghanistan,AIA,2023,924.4866033980319
93,Afghanistan,AIA,2024,903.371300194304
94,Afghanistan,AIA,2025,882.7382711822698
95,Afghanistan,AIA,2026,862.5765012041677
96,Afghanistan,AIA,2027,842.8752266887868
97,Afghanistan,AIA,2028,823.6239299052229
98,Afghanistan,AIA,2029,804.8123333478771
99,Afghanistan,AIA,2030,786.4303942497035
100,Afghanistan,AIA,2031,768.4682992207719
101,Afghanistan,AIA,2032,750.9164590092881
102,Afghanistan,AIA,2033,733.7655033822717
103,Afghanistan,AIA,2034,717.0062761231592
104,Afghanistan,AIA,2035,700.6298301436624
105,Afghanistan,AIA,2036,684.6274227072723
106,Afghanistan,AIA,2037,668.9905107618574
107,Afghanistan,AIA,2038,653.7107463788666
108,Afghanistan,AIA,2039,638.7799722967007
109,Afghanistan,AIA,2040,624.1902175658726
110,Afghanistan,AIA,2041,609.9336932936332
111,Afghanistan,AIA,2042,596.0027884857897
112,Afghanistan,AIA,2043,582.3900659834968
113,Afghanistan,AIA,2044,569.0882584928521
114,Afghanistan,AIA,2045,556.0902647051754
115,Afghanistan,AIA,2046,543.3891455059006
116,Afghanistan,AIA,2047,530.9781202700577
117,Afghanistan,AIA,2048,518.850563242365
118,Afghanistan,AIA,2049,507.0
119,Afghanistan,AIA,2050,495.4201039961627
120,Afghanistan,ALA,2021,968.2093863651623
121,Afghanistan,ALA,2022,946.0954534183227
122,Afghanistan,ALA,2023,924.4866033980319
123,Afghanistan,ALA,2024,903.371300194304
124,Afghanistan,ALA,2025,882.7382711822698
125,Afghanistan,ALA,2026,862.5765012041677
126,Afghanistan,ALA,2027,842.8752266887868
127,Afghanistan,ALA,2028,823.6239299052229
128,Afghanistan,ALA,2029,804.8123333478771
129,Afghanistan,ALA,2030,786.4303942497035
130,Afghanistan,ALA,2031,768.4682992207719
131,Afghanistan,ALA,2032,750.9164590092881
132,Afghanistan,ALA,2033,733.7655033822717
133,Afghanistan,ALA,2034,717.0062761231592
134,Afghanistan,ALA,2035,700.6298301436624
135,Afghanistan,ALA,2036,684.6274227072723
136,Afghanistan,ALA,2037,668.9905107618574
137,Afghanistan,ALA,2038,653.7107463788666
138,Afghanistan,ALA,2039,638.7799722967007
139,Afghanistan,ALA,2040,624.1902175658726
140,Afghanistan,ALA,2041,609.9336932936332
141,Afghanistan,ALA,2042,596.0027884857897
142,Afghanistan,ALA,2043,582.3900659834968
143,Afghanistan,ALA,2044,569.0882584928521
144,Afghanistan,ALA,2045,556.0902647051754
145,Afghanistan,ALA,2046,543.3891455059006
146,Afghanistan,ALA,2047,530.9781202700577
147,Afghanistan,ALA,2048,518.850563242365
148,Afghanistan,ALA,2049,507.0
149,Afghanistan,ALA,2050,495.4201039961627
150,Afghanistan,ALB,2021,968.2093863651623
151,Afghanistan,ALB,2022,946.0954534183227
152,Afghanistan,ALB,2023,924.4866033980319
153,Afghanistan,ALB,2024,903.371300194304
154,Afghanistan,ALB,2025,882.7382711822698
155,Afghanistan,ALB,2026,862.5765012041677
156,Afghanistan,ALB,2027,842.8752266887868
157,Afghanistan,ALB,2028,823.6239299052229
158,Afghanistan,ALB,2029,804.8123333478771
159,Afghanistan,ALB,2030,786.4303942497035
160,Afghanistan,ALB,2031,768.4682992207719
161,Afghanistan,ALB,2032,750.9164590092881
162,Afghanistan,ALB,2033,733.7655033822717
163,Afghanistan,ALB,2034,717.0062761231592
164,Afghanistan,ALB,2035,700.6298301436624
165,Afghanistan,ALB,2036,684.6274227072723
166,Afghanistan,ALB,2037,668.9905107618574
167,Afghanistan,ALB,2038,653.7107463788666
168,Afghanistan,ALB,2039,638.7799722967007
169,Afghanistan,ALB,2040,624.1902175658726
170,Afghanistan,ALB,2041,609.9336932936332
171,Afghanistan,ALB,2042,596.0027884857897
172,Afghanistan,ALB,2043,582.3900659834968
173,Afghanistan,ALB,2044,569.0882584928521
174,Afghanistan,ALB,2045,556.0902647051754
175,Afghanistan,ALB,2046,543.3891455059006
176,Afghanistan,ALB,2047,530.9781202700577
177,Afghanistan,ALB,2048,518.850563242365
178,Afghanistan,ALB,2049,507.0
179,Afghanistan,ALB,2050,495.4201039961627
180,Afghanistan,AND,2021,968.2093863651623
181,Afghanistan,AND,2022,946.0954534183227
182,Afghanistan,AND,2023,924.4866033980319
183,Afghanistan,AND,2024,903.371300194304
184,Afghanistan,AND,2025,882.7382711822698
185,Afghanistan,AND,2026,862.5765012041677
186,Afghanistan,AND,2027,842.8752266887868
187,Afghanistan,AND,2028,823.6239299052229
188,Afghanistan,AND,2029,804.8123333478771
189,Afghanistan,AND,2030,786.4303942497035
190,Afghanistan,AND,2031,768.4682992207719
191,Afghanistan,AND,2032,750.9164590092881
192,Afghanistan,AND,2033,733.7655033822717
193,Afghanistan,AND,2034,717.0062761231592
194,Afghanistan,AND,2035,700.6298301436624
195,Afghanistan,AND,2036,684.6274227072723
196,Afghanistan,AND,2037,668.9905107618574
197,Afghanistan,AND,2038,653.7107463788666
198,Afghanistan,AND,2039,638.7799722967007
199,Afghanistan,AND,2040,624.1902175658726
200,Afghanistan,AND,2041,609.9336932936332
201,Afghanistan,AND,2042,596.0027884857897
202,Afghanistan,AND,2043,582.3900659834968
203,Afghanistan,AND,2044,569.0882584928521
204,Afghanistan,AND,2045,556.0902647051754
205,Afghanistan,AND,2046,543.3891455059006
206,Afghanistan,AND,2047,530.9781202700577
207,Afghanistan,AND,2048,518.850563242365
208,Afghanistan,AND,2049,507.0
209,Afghanistan,AND,2050,495.4201039961627
210,Afghanistan,ARE,2021,968.2093863651623
211,Afghanistan,ARE,2022,946.0954534183227
212,Afghanistan,ARE,2023,924.4866033980319
213,Afghanistan,ARE,2024,903.371300194304
214,Afghanistan,ARE,2025,882.7382711822698
215,Afghanistan,ARE,2026,862.5765012041677
216,Afghanistan,ARE,2027,842.8752266887868
217,Afghanistan,ARE,2028,823.6239299052229
218,Afghanistan,ARE,2029,804.8123333478771
219,Afghanistan,ARE,2030,786.4303942497035
220,Afghanistan,ARE,2031,768.4682992207719
221,Afghanistan,ARE,2032,750.9164590092881
222,Afghanistan,ARE,2033,733.7655033822717
223,Afghanistan,ARE,2034,717.0062761231592
224,Afghanistan,ARE,2035,700.6298301436624
225,Afghanistan,ARE,2036,684.6274227072723
226,Afghanistan,ARE,2037,668.9905107618574
227,Afghanistan,ARE,2038,653.7107463788666
228,Afghanistan,ARE,2039,638.7799722967007
229,Afghanistan,ARE,2040,624.1902175658726
230,Afghanistan,ARE,2041,609.9336932936332
231,Afghanistan,ARE,2042,596.0027884857897
232,Afghanistan,ARE,2043,582.3900659834968
233,Afghanistan,ARE,2044,569.0882584928521
234,Afghanistan,ARE,2045,556.0902647051754
235,Afghanistan,ARE,2046,543.3891455059006
236,Afghanistan,ARE,2047,530.9781202700577
237,Afghanistan,ARE,2048,518.850563242365
238,Afghanistan,ARE,2049,507.0
239,Afghanistan,ARE,2050,495.4201039961627
240,Afghanistan,ARG,2021,968.2093863651623
241,Afghanistan,ARG,2022,946.0954534183227
242,Afghanistan,ARG,2023,924.4866033980319
243,Afghanistan,ARG,2024,903.371300194304
244,Afghanistan,ARG,2025,882.7382711822698
245,Afghanistan,ARG,2026,862.5765012041677
246,Afghanistan,ARG,2027,842.8752266887868
247,Afghanistan,ARG,2028,823.6239299052229
248,Afghanistan,ARG,2029,804.8123333478771
249,Afghanistan,ARG,2030,786.4303942497035
250,Afghanistan,ARG,2031,768.4682992207719
251,Afghanistan,ARG,2032,750.9164590092881
252,Afghanistan,ARG,2033,733.7655033822717
253,Afghanistan,ARG,2034,717.0062761231592
254,Afghanistan,ARG,2035,700.6298301436624
255,Afghanistan,ARG,2036,684.6274227072723
256,Afghanistan,ARG,2037,668.9905107618574
257,Afghanistan,ARG,2038,653.7107463788666
258,Afghanistan,ARG,2039,638.7799722967007
259,Afghanistan,ARG,2040,624.1902175658726
260,Afghanistan,ARG,2041,609.9336932936332
261,Afghanistan,ARG,2042,596.0027884857897
262,Afghanistan,ARG,2043,582.3900659834968
263,Afghanistan,ARG,2044,569.0882584928521
264,Afghanistan,ARG,2045,556.0902647051754
265,Afghanistan,ARG,2046,543.3891455059006
266,Afghanistan,ARG,2047,530.9781202700577
267,Afghanistan,ARG,2048,518.850563242365
268,Afghanistan,ARG,2049,507.0
269,Afghanistan,ARG,2050,495.4201039961627
270,Afghanistan,ARM,2021,968.2093863651623
271,Afghanistan,ARM,2022,946.0954534183227
272,Afghanistan,ARM,2023,924.4866033980319
273,Afghanistan,ARM,2024,903.371300194304
274,Afghanistan,ARM,2025,882.7382711822698
275,Afghanistan,ARM,2026,862.5765012041677
276,Afghanistan,ARM,2027,842.8752266887868
277,Afghanistan,ARM,2028,823.6239299052229
278,Afghanistan,ARM,2029,804.8123333478771
279,Afghanistan,ARM,2030,786.4303942497035
280,Afghanistan,ARM,2031,768.4682992207719
281,Afghanistan,ARM,2032,750.9164590092881
282,Afghanistan,ARM,2033,733.7655033822717
283,Afghanistan,ARM,2034,717.0062761231592
284,Afghanistan,ARM,2035,700.6298301436624
285,Afghanistan,ARM,2036,684.6274227072723
286,Afghanistan,ARM,2037,668.9905107618574
287,Afghanistan,ARM,2038,653.7107463788666
288,Afghanistan,ARM,2039,638.7799722967007
289,Afghanistan,ARM,2040,624.1902175658726
290,Afghanistan,ARM,2041,609.9336932936332
291,Afghanistan,ARM,2042,596.0027884857897
292,Afghanistan,ARM,2043,582.3900659834968
293,Afghanistan,ARM,2044,569.0882584928521
294,Afghanistan,ARM,2045,556.0902647051754
295,Afghanistan,ARM,2046,543.3891455059006
296,Afghanistan,ARM,2047,530.9781202700577
297,Afghanistan,ARM,2048,518.850563242365
298,Afghanistan,ARM,2049,507.0
299,Afghanistan,ARM,2050,495.4201039961627
300,Afghanistan,ASM,2021,968.2093863651623
301,Afghanistan,ASM,2022,946.0954534183227
302,Afghanistan,ASM,2023,924.4866033980319
303,Afghanistan,ASM,2024,903.371300194304
304,Afghanistan,ASM,2025,882.7382711822698
305,Afghanistan,ASM,2026,862.5765012041677
306,Afghanistan,ASM,2027,842.8752266887868
307,Afghanistan,ASM,2028,823.6239299052229
308,Afghanistan,ASM,2029,804.8123333478771
309,Afghanistan,ASM,2030,786.4303942497035
310,Afghanistan,ASM,2031,768.4682992207719
311,Afghanistan,ASM,2032,750.9164590092881
312,Afghanistan,ASM,2033,733.7655033822717
313,Afghanistan,ASM,2034,717.0062761231592
314,Afghanistan,ASM,2035,700.6298301436624
315,Afghanistan,ASM,2036,684.6274227072723
316,Afghanistan,ASM,2037,668.9905107618574
317,Afghanistan,ASM,2038,653.7107463788666
318,Afghanistan,ASM,2039,638.7799722967007
319,Afghanistan,ASM,2040,624.1902175658726
320,Afghanistan,ASM,2041,609.9336932936332
321,Afghanistan,ASM,2042,596.0027884857897
322,Afghanistan,ASM,2043,582.3900659834968
323,Afghanistan,ASM,2044,569.0882584928521
324,Afghanistan,ASM,2045,556.0902647051754
325,Afghanistan,ASM,2046,543.3891455059006
326,Afghanistan,ASM,2047,530.9781202700577
327,Afghanistan,ASM,2048,518.850563242365
328,Afghanistan,ASM,2049,507.0
329,Afghanistan,ASM,2050,495.4201039961627
330,Afghanistan,ATA,2021,968.2093863651623
331,Afghanistan,ATA,2022,946.0954534183227
332,Afghanistan,ATA,2023,924.4866033980319
333,Afghanistan,ATA,2024,903.371300194304
334,Afghanistan,ATA,2025,882.7382711822698
335,Afghanistan,ATA,2026,862.5765012041677
336,Afghanistan,ATA,2027,842.8752266887868
337,Afghanistan,ATA,2028,823.6239299052229
338,Afghanistan,ATA,2029,804.8123333478771
339,Afghanistan,ATA,2030,786.4303942497035
340,Afghanistan,ATA,2031,768.4682992207719
341,Afghanistan,ATA,2032,750.9164590092881
342,Afghanistan,ATA,2033,733.7655033822717
343,Afghanistan,ATA,2034,717.0062761231592
344,Afghanistan,ATA,2035,700.6298301436624
345,Afghanistan,ATA,2036,684.6274227072723
346,Afghanistan,ATA,2037,668.9905107618574
347,Afghanistan,ATA,2038,653.7107463788666
348,Afghanistan,ATA,2039,638.7799722967007
349,Afghanistan,ATA,2040,624.1902175658726
350,Afghanistan,ATA,2041,609.9336932936332
351,Afghanistan,ATA,2042,596.0027884857897
352,Afghanistan,ATA,2043,582.3900659834968
353,Afghanistan,ATA,2044,569.0882584928521
354,Afghanistan,ATA,2045,556.0902647051754
355,Afghanistan,ATA,2046,543.3891455059006
356,Afghanistan,ATA,2047,530.9781202700577
357,Afghanistan,ATA,2048,518.850563242365
358,Afghanistan,ATA,2049,507.0
359,Afghanistan,ATA,2050,495.4201039961627
360,Afghanistan,ATF,2021,968.2093863651623
361,Afghanistan,ATF,2022,946.0954534183227
362,Afghanistan,ATF,2023,924.4866033980319
363,Afghanistan,ATF,2024,903.371300194304
364,Afghanistan,ATF,2025,882.7382711822698
365,Afghanistan,ATF,2026,862.5765012041677
366,Afghanistan,ATF,2027,842.8752266887868
367,Afghanistan,ATF,2028,823.6239299052229
368,Afghanistan,ATF,2029,804.8123333478771
369,Afghanistan,ATF,2030,786.4303942497035
370,Afghanistan,ATF,2031,768.4682992207719
371,Afghanistan,ATF,2032,750.9164590092881
372,Afghanistan,ATF,2033,733.7655033822717
373,Afghanistan,ATF,2034,717.0062761231592
374,Afghanistan,ATF,2035,700.6298301436624
375,Afghanistan,ATF,2036,684.6274227072723
376,Afghanistan,ATF,2037,668.9905107618574
377,Afghanistan,ATF,2038,653.7107463788666
378,Afghanistan,ATF,2039,638.7799722967007
379,Afghanistan,ATF,2040,624.1902175658726
380,Afghanistan,ATF,2041,609.9336932936332
381,Afghanistan,ATF,2042,596.0027884857897
382,Afghanistan,ATF,2043,582.3900659834968
383,Afghanistan,ATF,2044,569.0882584928521
384,Afghanistan,ATF,2045,556.0902647051754
385,Afghanistan,ATF,2046,543.3891455059006
386,Afghanistan,ATF,2047,530.9781202700577
387,Afghanistan,ATF,2048,518.850563242365
388,Afghanistan,ATF,2049,507.0
389,Afghanistan,ATF,2050,495.4201039961627
390,Afghanistan,ATG,2021,968.2093863651623
391,Afghanistan,ATG,2022,946.0954534183227
392,Afghanistan,ATG,2023,924.4866033980319
393,Afghanistan,ATG,2024,903.371300194304
394,Afghanistan,ATG,2025,882.7382711822698
395,Afghanistan,ATG,2026,862.5765012041677
396,Afghanistan,ATG,2027,842.8752266887868
397,Afghanistan,ATG,2028,823.6239299052229
398,Afghanistan,ATG,2029,804.8123333478771
399,Afghanistan,ATG,2030,786.4303942497035
400,Afghanistan,ATG,2031,768.4682992207719
401,Afghanistan,ATG,2032,750.9164590092881
402,Afghanistan,ATG,2033,733.7655033822717
403,Afghanistan,ATG,2034,717.0062761231592
404,Afghanistan,ATG,2035,700.6298301436624
405,Afghanistan,ATG,2036,684.6274227072723
406,Afghanistan,ATG,2037,668.9905107618574
407,Afghanistan,ATG,2038,653.7107463788666
408,Afghanistan,ATG,2039,638.7799722967007
409,Afghanistan,ATG,2040,624.1902175658726
410,Afghanistan,ATG,2041,609.9336932936332
411,Afghanistan,ATG,2042,596.0027884857897
412,Afghanistan,ATG,2043,582.3900659834968
413,Afghanistan,ATG,2044,569.0882584928521
414,Afghanistan,ATG,2045,556.0902647051754
415,Afghanistan,ATG,2046,543.3891455059006
416,Afghanistan,ATG,2047,530.9781202700577
417,Afghanistan,ATG,2048,518.850563242365
418,Afghanistan,ATG,2049,507.0
419,Afghanistan,ATG,2050,495.4201039961627
420,Afghanistan,AUS,2021,968.2093863651623
421,Afghanistan,AUS,2022,946.0954534183227
422,Afghanistan,AUS,2023,924.4866033980319
423,Afghanistan,AUS,2024,903.371300194304
424,Afghanistan,AUS,2025,882.7382711822698
425,Afghanistan,AUS,2026,862.5765012041677
426,Afghanistan,AUS,2027,842.8752266887868
427,Afghanistan,AUS,2028,823.6239299052229
428,Afghanistan,AUS,2029,804.8123333478771
429,Afghanistan,AUS,2030,786.4303942497035
430,Afghanistan,AUS,2031,768.4682992207719
431,Afghanistan,AUS,2032,750.9164590092881
432,Afghanistan,AUS,2033,733.7655033822717
433,Afghanistan,AUS,2034,717.0062761231592
434,Afghanistan,AUS,2035,700.6298301436624
435,Afghanistan,AUS,2036,684.6274227072723
436,Afghanistan,AUS,2037,668.9905107618574
437,Afghanistan,AUS,2038,653.7107463788666
438,Afghanistan,AUS,2039,638.7799722967007
439,Afghanistan,AUS,2040,624.1902175658726
440,Afghanistan,AUS,2041,609.9336932936332
441,Afghanistan,AUS,2042,596.0027884857897
442,Afghanistan,AUS,2043,582.3900659834968
443,Afghanistan,AUS,2044,569.0882584928521
444,Afghanistan,AUS,2045,556.0902647051754
445,Afghanistan,AUS,2046,543.3891455059006
446,Afghanistan,AUS,2047,530.9781202700577
447,Afghanistan,AUS,2048,518.850563242365
448,Afghanistan,AUS,2049,507.0
449,Afghanistan,AUS,2050,495.4201039961627
450,Afghanistan,AUT,2021,968.2093863651623
451,Afghanistan,AUT,2022,946.0954534183227
452,Afghanistan,AUT,2023,924.4866033980319
453,Afghanistan,AUT,2024,903.371300194304
454,Afghanistan,AUT,2025,882.7382711822698
455,Afghanistan,AUT,2026,862.5765012041677
456,Afghanistan,AUT,2027,842.8752266887868
457,Afghanistan,AUT,2028,823.6239299052229
458,Afghanistan,AUT,2029,804.8123333478771
459,Afghanistan,AUT,2030,786.4303942497035
460,Afghanistan,AUT,2031,768.4682992207719
461,Afghanistan,AUT,2032,750.9164590092881
462,Afghanistan,AUT,2033,733.7655033822717
463,Afghanistan,AUT,2034,717.0062761231592
464,Afghanistan,AUT,2035,700.6298301436624
465,Afghanistan,AUT,2036,684.6274227072723
466,Afghanistan,AUT,2037,668.9905107618574
467,Afghanistan,AUT,2038,653.7107463788666
468,Afghanistan,AUT,2039,638.7799722967007
469,Afghanistan,AUT,2040,624.1902175658726
470,Afghanistan,AUT,2041,609.9336932936332
471,Afghanistan,AUT,2042,596.0027884857897
472,Afghanistan,AUT,2043,582.3900659834968
473,Afghanistan,AUT,2044,569.0882584928521
474,Afghanistan,AUT,2045,556.0902647051754
475,Afghanistan,AUT,2046,543.3891455059006
476,Afghanistan,AUT,2047,530.9781202700577
477,Afghanistan,AUT,2048,518.850563242365
478,Afghanistan,AUT,2049,507.0
479,Afghanistan,AUT,2050,495.4201039961627
480,Afghanistan,AZE,2021,968.2093863651623
481,Afghanistan,AZE,2022,946.0954534183227
482,Afghanistan,AZE,2023,924.4866033980319
483,Afghanistan,AZE,2024,903.371300194304
484,Afghanistan,AZE,2025,882.7382711822698
485,Afghanistan,AZE,2026,862.5765012041677
486,Afghanistan,AZE,2027,842.8752266887868
487,Afghanistan,AZE,2028,823.6239299052229
488,Afghanistan,AZE,2029,804.8123333478771
489,Afghanistan,AZE,2030,786.4303942497035
490,Afghanistan,AZE,2031,768.4682992207719
491,Afghanistan,AZE,2032,750.9164590092881
492,Afghanistan,AZE,2033,733.7655033822717
493,Afghanistan,AZE,2034,717.0062761231592
494,Afghanistan,AZE,2035,700.6298301436624
495,Afghanistan,AZE,2036,684.6274227072723
496,Afghanistan,AZE,2037,668.9905107618574
497,Afghanistan,AZE,2038,653.7107463788666
498,Afghanistan,AZE,2039,638.7799722967007
499,Afghanistan,AZE,2040,624.1902175658726
500,Afghanistan,AZE,2041,609.9336932936332
501,Afghanistan,AZE,2042,596.0027884857897
502,Afghanistan,AZE,2043,582.3900659834968
503,Afghanistan,AZE,2044,569.0882584928521
504,Afghanistan,AZE,2045,556.0902647051754
505,Afghanistan,AZE,2046,543.3891455059006
506,Afghanistan,AZE,2047,530.9781202700577
507,Afghanistan,AZE,2048,518.850563242365
508,Afghanistan,AZE,2049,507.0
509,Afghanistan,AZE,2050,495.4201039961627
510,Afghanistan,BDI,2021,968.2093863651623
511,Afghanistan,BDI,2022,946.0954534183227
512,Afghanistan,BDI,2023,924.4866033980319
513,Afghanistan,BDI,2024,903.371300194304
514,Afghanistan,BDI,2025,882.7382711822698
515,Afghanistan,BDI,2026,862.5765012041677
516,Afghanistan,BDI,2027,842.8752266887868
517,Afghanistan,BDI,2028,823.6239299052229
518,Afghanistan,BDI,2029,804.8123333478771
519,Afghanistan,BDI,2030,786.4303942497035
520,Afghanistan,BDI,2031,768.4682992207719
521,Afghanistan,BDI,2032,750.9164590092881
522,Afghanistan,BDI,2033,733.7655033822717
523,Afghanistan,BDI,2034,717.0062761231592
524,Afghanistan,BDI,2035,700.6298301436624
525,Afghanistan,BDI,2036,684.6274227072723
526,Afghanistan,BDI,2037,668.9905107618574
527,Afghanistan,BDI,2038,653.7107463788666
528,Afghanistan,BDI,2039,638.7799722967007
529,Afghanistan,BDI,2040,624.1902175658726
530,Afghanistan,BDI,2041,609.9336932936332
531,Afghanistan,BDI,2042,596.0027884857897
532,Afghanistan,BDI,2043,582.3900659834968
533,Afghanistan,BDI,2044,569.0882584928521
534,Afghanistan,BDI,2045,556.0902647051754
535,Afghanistan,BDI,2046,543.3891455059006
536,Afghanistan,BDI,2047,530.9781202700577
537,Afghanistan,BDI,2048,518.850563242365
538,Afghanistan,BDI,2049,507.0
539,Afghanistan,BDI,2050,495.4201039961627
540,Afghanistan,BEL,2021,968.2093863651623
541,Afghanistan,BEL,2022,946.0954534183227
542,Afghanistan,BEL,2023,924.4866033980319
543,Afghanistan,BEL,2024,903.371300194304
544,Afghanistan,BEL,2025,882.7382711822698
545,Afghanistan,BEL,2026,862.5765012041677
546,Afghanistan,BEL,2027,842.8752266887868
547,Afghanistan,BEL,2028,823.6239299052229
548,Afghanistan,BEL,2029,804.8123333478771
549,Afghanistan,BEL,2030,786.4303942497035
550,Afghanistan,BEL,2031,768.4682992207719
551,Afghanistan,BEL,2032,750.9164590092881
552,Afghanistan,BEL,2033,733.7655033822717
553,Afghanistan,BEL,2034,717.0062761231592
554,Afghanistan,BEL,2035,700.6298301436624
555,Afghanistan,BEL,2036,684.6274227072723
556,Afghanistan,BEL,2037,668.9905107618574
557,Afghanistan,BEL,2038,653.7107463788666
558,Afghanistan,BEL,2039,638.7799722967007
559,Afghanistan,BEL,2040,624.1902175658726
560,Afghanistan,BEL,2041,609.9336932936332
561,Afghanistan,BEL,2042,596.0027884857897
562,Afghanistan,BEL,2043,582.3900659834968
563,Afghanistan,BEL,2044,569.0882584928521
564,Afghanistan,BEL,2045,556.0902647051754
565,Afghanistan,BEL,2046,543.3891455059006
566,Afghanistan,BEL,2047,530.9781202700577
567,Afghanistan,BEL,2048,518.850563242365
568,Afghanistan,BEL,2049,507.0
569,Afghanistan,BEL,2050,495.4201039961627
570,Afghanistan,BEN,2021,968.2093863651623
571,Afghanistan,BEN,2022,946.0954534183227
572,Afghanistan,BEN,2023,924.4866033980319
573,Afghanistan,BEN,2024,903.371300194304
574,Afghanistan,BEN,2025,882.7382711822698
575,Afghanistan,BEN,2026,862.5765012041677
576,Afghanistan,BEN,2027,842.8752266887868
577,Afghanistan,BEN,2028,823.6239299052229
578,Afghanistan,BEN,2029,804.8123333478771
579,Afghanistan,BEN,2030,786.4303942497035
580,Afghanistan,BEN,2031,768.4682992207719
581,Afghanistan,BEN,2032,750.9164590092881
582,Afghanistan,BEN,2033,733.7655033822717
583,Afghanistan,BEN,2034,717.0062761231592
584,Afghanistan,BEN,2035,700.6298301436624
