Year,iso_code3,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha
2026,BEN,0.083441
2027,BEN,0.083441
2028,BEN,0.083441
2029,BEN,0.083441
2030,BEN,0.083441
2031,BEN,0.083441
2032,BEN,0.083441
2033,BEN,0.083441
2034,BEN,0.083441
2035,BEN,0.083441
2036,BEN,0.083441
2037,BEN,0.083441
2038,BEN,0.083441
2039,BEN,0.083441
2040,BEN,0.083441
2041,BEN,0.083441
2042,BEN,0.083441
2043,BEN,0.083441
2044,BEN,0.083441
2045,BEN,0.083441
2046,BEN,0.083441
2047,BEN,0.083441
2048,BEN,0.083441
2049,BEN,0.083441
2050,BEN,0.083441
2020,BFA,0.092968
2021,BFA,0.092968
2022,BFA,0.092968
2023,BFA,0.092968
2024,BFA,0.092968
2025,BFA,0.092968
2026,BFA,0.092968
2027,BFA,0.092968
2028,BFA,0.092968
2029,BFA,0.092968
2030,BFA,0.092968
2031,BFA,0.092968
2032,BFA,0.092968
2033,BFA,0.092968
2034,BFA,0.092968
2035,BFA,0.092968
2036,BFA,0.092968
2037,BFA,0.092968
2038,BFA,0.092968
2039,BFA,0.092968
2040,BFA,0.092968
2041,BFA,0.092968
2042,BFA,0.092968
2043,BFA,0.092968
2044,BFA,0.092968
2045,BFA,0.092968
2046,BFA,0.092968
2047,BFA,0.092968
2048,BFA,0.092968
2049,BFA,0.092968
2050,BFA,0.092968
2020,BGD,0.223372
2021,BGD,0.223372
2022,BGD,0.223372
2023,BGD,0.223372
2024,BGD,0.223372
2025,BGD,0.223372
2026,BGD,0.223372
2027,BGD,0.223372
2028,BGD,0.223372
2029,BGD,0.223372
2030,BGD,0.223372
2031,BGD,0.223372
2032,BGD,0.223372
2033,BGD,0.223372
2034,BGD,0.223372
2035,BGD,0.223372
2036,BGD,0.223372
2037,BGD,0.223372
2038,BGD,0.223372
2039,BGD,0.223372
2040,BGD,0.223372
2041,BGD,0.223372
2042,BGD,0.223372
2043,BGD,0.223372
2044,BGD,0.223372
2045,BGD,0.223372
2046,BGD,0.223372
2047,BGD,0.223372
2048,BGD,0.223372
2049,BGD,0.223372
2050,BGD,0.223372
2020,BGR,0.196913
2021,BGR,0.196913
2022,BGR,0.196913
2023,BGR,0.196913
2024,BGR,0.196913
2025,BGR,0.196913
2026,BGR,0.196913
2027,BGR,0.196913
2028,BGR,0.196913
2029,BGR,0.196913
2030,BGR,0.196913
2031,BGR,0.196913
2032,BGR,0.196913
2033,BGR,0.196913
2034,BGR,0.196913
2035,BGR,0.196913
2036,BGR,0.196913
2037,BGR,0.196913
2038,BGR,0.196913
2039,BGR,0.196913
2040,BGR,0.196913
2041,BGR,0.196913
2042,BGR,0.196913
2043,BGR,0.196913
2044,BGR,0.196913
2045,BGR,0.196913
2046,BGR,0.196913
2047,BGR,0.196913
2048,BGR,0.196913
2049,BGR,0.196913
2050,BGR,0.196913
2020,BHS,0.12743
2021,BHS,0.12743
2022,BHS,0.12743
2023,BHS,0.12743
2024,BHS,0.12743
2025,BHS,0.12743
2026,BHS,0.12743
2027,BHS,0.12743
2028,BHS,0.12743
2029,BHS,0.12743
2030,BHS,0.12743
2031,BHS,0.12743
2032,BHS,0.12743
2033,BHS,0.12743
2034,BHS,0.12743
2035,BHS,0.12743
2036,BHS,0.12743
2037,BHS,0.12743
2038,BHS,0.12743
2039,BHS,0.12743
2040,BHS,0.12743
2041,BHS,0.12743
2042,BHS,0.12743
2043,BHS,0.12743
2044,BHS,0.12743
2045,BHS,0.12743
2046,BHS,0.12743
2047,BHS,0.12743
2048,BHS,0.12743
2049,BHS,0.12743
2050,BHS,0.12743
2020,BIH,0.190783
2021,BIH,0.190783
2022,BIH,0.190783
2023,BIH,0.190783
2024,BIH,0.190783
2025,BIH,0.190783
2026,BIH,0.190783
2027,BIH,0.190783
2028,BIH,0.190783
2029,BIH,0.190783
2030,BIH,0.190783
2031,BIH,0.190783
2032,BIH,0.190783
2033,BIH,0.190783
2034,BIH,0.190783
2035,BIH,0.190783
2036,BIH,0.190783
2037,BIH,0.190783
2038,BIH,0.190783
2039,BIH,0.190783
2040,BIH,0.190783
2041,BIH,0.190783
2042,BIH,0.190783
2043,BIH,0.190783
2044,BIH,0.190783
2045,BIH,0.190783
2046,BIH,0.190783
2047,BIH,0.190783
2048,BIH,0.190783
2049,BIH,0.190783
2050,BIH,0.190783
2020,BOL,0.152552
2021,BOL,0.152552
2022,BOL,0.152552
2023,BOL,0.152552
2024,BOL,0.152552
2025,BOL,0.152552
2026,BOL,0.152552
2027,BOL,0.152552
2028,BOL,0.152552
2029,BOL,0.152552
2030,BOL,0.152552
2031,BOL,0.152552
2032,BOL,0.152552
2033,BOL,0.152552
2034,BOL,0.152552
2035,BOL,0.152552
2036,BOL,0.152552
2037,BOL,0.152552
2038,BOL,0.152552
2039,BOL,0.152552
2040,BOL,0.152552
2041,BOL,0.152552
2042,BOL,0.152552
2043,BOL,0.152552
2044,BOL,0.152552
2045,BOL,0.152552
2046,BOL,0.152552
2047,BOL,0.152552
2048,BOL,0.152552
2049,BOL,0.152552
2050,BOL,0.152552
2020,BRA,0.201364
2021,BRA,0.201364
2022,BRA,0.201364
2023,BRA,0.201364
2024,BRA,0.201364
2025,BRA,0.201364
2026,BRA,0.201364
2027,BRA,0.201364
2028,BRA,0.201364
2029,BRA,0.201364
2030,BRA,0.201364
2031,BRA,0.201364
2032,BRA,0.201364
2033,BRA,0.201364
2034,BRA,0.201364
2035,BRA,0.201364
2036,BRA,0.201364
2037,BRA,0.201364
2038,BRA,0.201364
2039,BRA,0.201364
2040,BRA,0.201364
2041,BRA,0.201364
2042,BRA,0.201364
2043,BRA,0.201364
2044,BRA,0.201364
2045,BRA,0.201364
2046,BRA,0.201364
2047,BRA,0.201364
2048,BRA,0.201364
2049,BRA,0.201364
2050,BRA,0.201364
2020,BTN,0.280697
2021,BTN,0.280697
2022,BTN,0.280697
2023,BTN,0.280697
2024,BTN,0.280697
2025,BTN,0.280697
2026,BTN,0.280697
2027,BTN,0.280697
2028,BTN,0.280697
2029,BTN,0.280697
2030,BTN,0.280697
2031,BTN,0.280697
2032,BTN,0.280697
2033,BTN,0.280697
2034,BTN,0.280697
2035,BTN,0.280697
2036,BTN,0.280697
2037,BTN,0.280697
2038,BTN,0.280697
2039,BTN,0.280697
2040,BTN,0.280697
2041,BTN,0.280697
2042,BTN,0.280697
2043,BTN,0.280697
2044,BTN,0.280697
2045,BTN,0.280697
2046,BTN,0.280697
2047,BTN,0.280697
2048,BTN,0.280697
2049,BTN,0.280697
2050,BTN,0.280697
2020,CAF,0.084086
2021,CAF,0.084086
2022,CAF,0.084086
2023,CAF,0.084086
2024,CAF,0.084086
2025,CAF,0.084086
2026,CAF,0.084086
2027,CAF,0.084086
2028,CAF,0.084086
2029,CAF,0.084086
2030,CAF,0.084086
2031,CAF,0.084086
2032,CAF,0.084086
2033,CAF,0.084086
2034,CAF,0.084086
2035,CAF,0.084086
2036,CAF,0.084086
2037,CAF,0.084086
2038,CAF,0.084086
2039,CAF,0.084086
2040,CAF,0.084086
2041,CAF,0.084086
2042,CAF,0.084086
2043,CAF,0.084086
2044,CAF,0.084086
2045,CAF,0.084086
2046,CAF,0.084086
2047,CAF,0.084086
2048,CAF,0.084086
2049,CAF,0.084086
2050,CAF,0.084086
2020,CAN,0.145839
2021,CAN,0.145839
2022,CAN,0.145839
2023,CAN,0.145839
2024,CAN,0.145839
2025,CAN,0.145839
2026,CAN,0.145839
2027,CAN,0.145839
2028,CAN,0.145839
2029,CAN,0.145839
2030,CAN,0.145839
2031,CAN,0.145839
2032,CAN,0.145839
2033,CAN,0.145839
2034,CAN,0.145839
2035,CAN,0.145839
2036,CAN,0.145839
2037,CAN,0.145839
2038,CAN,0.145839
2039,CAN,0.145839
2040,CAN,0.145839
2041,CAN,0.145839
2042,CAN,0.145839
2043,CAN,0.145839
2044,CAN,0.145839
2045,CAN,0.145839
2046,CAN,0.145839
2047,CAN,0.145839
2048,CAN,0.145839
2049,CAN,0.145839
2050,CAN,0.145839
2020,CHE,0.163161
2021,CHE,0.163161
2022,CHE,0.163161
2023,CHE,0.163161
2024,CHE,0.163161
2025,CHE,0.163161
2026,CHE,0.163161
2027,CHE,0.163161
2028,CHE,0.163161
2029,CHE,0.163161
2030,CHE,0.163161
2031,CHE,0.163161
2032,CHE,0.163161
2033,CHE,0.163161
2034,CHE,0.163161
2035,CHE,0.163161
2036,CHE,0.163161
2037,CHE,0.163161
2038,CHE,0.163161
2039,CHE,0.163161
2040,CHE,0.163161
2041,CHE,0.163161
2042,CHE,0.163161
2043,CHE,0.163161
2044,CHE,0.163161
2045,CHE,0.163161
2046,CHE,0.163161
2047,CHE,0.163161
2048,CHE,0.163161
2049,CHE,0.163161
2050,CHE,0.163161
2020,CHL,0.217607
2021,CHL,0.217607
2022,CHL,0.217607
2023,CHL,0.217607
2024,CHL,0.217607
2025,CHL,0.217607
2026,CHL,0.217607
2027,CHL,0.217607
2028,CHL,0.217607
2029,CHL,0.217607
2030,CHL,0.217607
2031,CHL,0.217607
2032,CHL,0.217607
2033,CHL,0.217607
2034,CHL,0.217607
2035,CHL,0.217607
2036,CHL,0.217607
2037,CHL,0.217607
2038,CHL,0.217607
2039,CHL,0.217607
2040,CHL,0.217607
2041,CHL,0.217607
2042,CHL,0.217607
2043,CHL,0.217607
2044,CHL,0.217607
2045,CHL,0.217607
2046,CHL,0.217607
2047,CHL,0.217607
2048,CHL,0.217607
2049,CHL,0.217607
2050,CHL,0.217607
2020,CHN,0.220311
2021,CHN,0.220311
2022,CHN,0.220311
2023,CHN,0.220311
2024,CHN,0.220311
2025,CHN,0.220311
2026,CHN,0.220311
2027,CHN,0.220311
2028,CHN,0.220311
2029,CHN,0.220311
2030,CHN,0.220311
2031,CHN,0.220311
2032,CHN,0.220311
2033,CHN,0.220311
2034,CHN,0.220311
2035,CHN,0.220311
2036,CHN,0.220311
2037,CHN,0.220311
2038,CHN,0.220311
2039,CHN,0.220311
2040,CHN,0.220311
2041,CHN,0.220311
2042,CHN,0.220311
2043,CHN,0.220311
2044,CHN,0.220311
2045,CHN,0.220311
2046,CHN,0.220311
2047,CHN,0.220311
2048,CHN,0.220311
2049,CHN,0.220311
2050,CHN,0.220311
2020,CIV,0.087502
2021,CIV,0.087502
2022,CIV,0.087502
2023,CIV,0.087502
2024,CIV,0.087502
2025,CIV,0.087502
2026,CIV,0.087502
2027,CIV,0.087502
2028,CIV,0.087502
2029,CIV,0.087502
2030,CIV,0.087502
2031,CIV,0.087502
2032,CIV,0.087502
2033,CIV,0.087502
2034,CIV,0.087502
2035,CIV,0.087502
2036,CIV,0.087502
2037,CIV,0.087502
2038,CIV,0.087502
2039,CIV,0.087502
2040,CIV,0.087502
2041,CIV,0.087502
2042,CIV,0.087502
2043,CIV,0.087502
2044,CIV,0.087502
2045,CIV,0.087502
2046,CIV,0.087502
2047,CIV,0.087502
2048,CIV,0.087502
2049,CIV,0.087502
2050,CIV,0.087502
2020,CMR,0.121005
2021,CMR,0.121005
2022,CMR,0.121005
2023,CMR,0.121005
2024,CMR,0.121005
2025,CMR,0.121005
2026,CMR,0.121005
2027,CMR,0.121005
2028,CMR,0.121005
2029,CMR,0.121005
2030,CMR,0.121005
2031,CMR,0.121005
2032,CMR,0.121005
2033,CMR,0.121005
2034,CMR,0.121005
2035,CMR,0.121005
2036,CMR,0.121005
2037,CMR,0.121005
2038,CMR,0.121005
2039,CMR,0.121005
2040,CMR,0.121005
2041,CMR,0.121005
2042,CMR,0.121005
2043,CMR,0.121005
2044,CMR,0.121005
2045,CMR,0.121005
2046,CMR,0.121005
2047,CMR,0.121005
2048,CMR,0.121005
2049,CMR,0.121005
2050,CMR,0.121005
2020,COD,0.199867
2021,COD,0.199867
2022,COD,0.199867
2023,COD,0.199867
2024,COD,0.199867
2025,COD,0.199867
2026,COD,0.199867
2027,COD,0.199867
2028,COD,0.199867
2029,COD,0.199867
2030,COD,0.199867
2031,COD,0.199867
2032,COD,0.199867
2033,COD,0.199867
2034,COD,0.199867
2035,COD,0.199867
2036,COD,0.199867
2037,COD,0.199867
2038,COD,0.199867
2039,COD,0.199867
2040,COD,0.199867
2041,COD,0.199867
2042,COD,0.199867
2043,COD,0.199867
2044,COD,0.199867
2045,COD,0.199867
2046,COD,0.199867
2047,COD,0.199867
2048,COD,0.199867
2049,COD,0.199867
2050,COD,0.199867
2020,COG,0.169113
2021,COG,0.169113
2022,COG,0.169113
2023,COG,0.169113
2024,COG,0.169113
2025,COG,0.169113
2026,COG,0.169113
2027,COG,0.169113
2028,COG,0.169113
2029,COG,0.169113
2030,COG,0.169113
2031,COG,0.169113
2032,COG,0.169113
2033,COG,0.169113
2034,COG,0.169113
2035,COG,0.169113
2036,COG,0.169113
2037,COG,0.169113
2038,COG,0.169113
2039,COG,0.169113
2040,COG,0.169113
2041,COG,0.169113
2042,COG,0.169113
2043,COG,0.169113
2044,COG,0.169113
2045,COG,0.169113
2046,COG,0.169113
2047,COG,0.169113
2048,COG,0.169113
2049,COG,0.169113
2050,COG,0.169113
2020,COL,0.285839
2021,COL,0.285839
2022,COL,0.285839
2023,COL,0.285839
2024,COL,0.285839
2025,COL,0.285839
2026,COL,0.285839
2027,COL,0.285839
2028,COL,0.285839
2029,COL,0.285839
2030,COL,0.285839
2031,COL,0.285839
2032,COL,0.285839
2033,COL,0.285839
2034,COL,0.285839
2035,COL,0.285839
2036,COL,0.285839
2037,COL,0.285839
2038,COL,0.285839
2039,COL,0.285839
2040,COL,0.285839
2041,COL,0.285839
2042,COL,0.285839
2043,COL,0.285839
2044,COL,0.285839
2045,COL,0.285839
2046,COL,0.285839
2047,COL,0.285839
2048,COL,0.285839
2049,COL,0.285839
2050,COL,0.285839
2020,CRI,0.2775
2021,CRI,0.2775
2022,CRI,0.2775
2023,CRI,0.2775
2024,CRI,0.2775
2025,CRI,0.2775
2026,CRI,0.2775
2027,CRI,0.2775
2028,CRI,0.2775
2029,CRI,0.2775
2030,CRI,0.2775
2031,CRI,0.2775
2032,CRI,0.2775
2033,CRI,0.2775
2034,CRI,0.2775
2035,CRI,0.2775
2036,CRI,0.2775
2037,CRI,0.2775
2038,CRI,0.2775
2039,CRI,0.2775
2040,CRI,0.2775
2041,CRI,0.2775
2042,CRI,0.2775
2043,CRI,0.2775
2044,CRI,0.2775
2045,CRI,0.2775
2046,CRI,0.2775
2047,CRI,0.2775
2048,CRI,0.2775
2049,CRI,0.2775
2050,CRI,0.2775
2020,CUB,0.141996
2021,CUB,0.141996
2022,CUB,0.141996
2023,CUB,0.141996
2024,CUB,0.141996
2025,CUB,0.141996
2026,CUB,0.141996
2027,CUB,0.141996
2028,CUB,0.141996
2029,CUB,0.141996
2030,CUB,0.141996
2031,CUB,0.141996
2032,CUB,0.141996
2033,CUB,0.141996
2034,CUB,0.141996
2035,CUB,0.141996
2036,CUB,0.141996
2037,CUB,0.141996
2038,CUB,0.141996
2039,CUB,0.141996
2040,CUB,0.141996
2041,CUB,0.141996
2042,CUB,0.141996
2043,CUB,0.141996
2044,CUB,0.141996
2045,CUB,0.141996
2046,CUB,0.141996
2047,CUB,0.141996
2048,CUB,0.141996
2049,CUB,0.141996
2050,CUB,0.141996
2020,CUW,0.137882
2021,CUW,0.137882
2022,CUW,0.137882
2023,CUW,0.137882
2024,CUW,0.137882
2025,CUW,0.137882
2026,CUW,0.137882
2027,CUW,0.137882
2028,CUW,0.137882
2029,CUW,0.137882
2030,CUW,0.137882
2031,CUW,0.137882
2032,CUW,0.137882
2033,CUW,0.137882
2034,CUW,0.137882
2035,CUW,0.137882
2036,CUW,0.137882
2037,CUW,0.137882
2038,CUW,0.137882
2039,CUW,0.137882
2040,CUW,0.137882
2041,CUW,0.137882
2042,CUW,0.137882
2043,CUW,0.137882
2044,CUW,0.137882
2045,CUW,0.137882
2046,CUW,0.137882
2047,CUW,0.137882
2048,CUW,0.137882
2049,CUW,0.137882
2050,CUW,0.137882
2020,CYP,0.124374
2021,CYP,0.124374
2022,CYP,0.124374
2023,CYP,0.124374
2024,CYP,0.124374
2025,CYP,0.124374
2026,CYP,0.124374
2027,CYP,0.124374
2028,CYP,0.124374
2029,CYP,0.124374
2030,CYP,0.124374
2031,CYP,0.124374
2032,CYP,0.124374
2033,CYP,0.124374
2034,CYP,0.124374
2035,CYP,0.124374
2036,CYP,0.124374
2037,CYP,0.124374
2038,CYP,0.124374
2039,CYP,0.124374
2040,CYP,0.124374
2041,CYP,0.124374
2042,CYP,0.124374
2043,CYP,0.124374
2044,CYP,0.124374
2045,CYP,0.124374
2046,CYP,0.124374
2047,CYP,0.124374
2048,CYP,0.124374
2049,CYP,0.124374
2050,CYP,0.124374
2020,CZE,0.212914
2021,CZE,0.212914
2022,CZE,0.212914
2023,CZE,0.212914
2024,CZE,0.212914
2025,CZE,0.212914
2026,CZE,0.212914
2027,CZE,0.212914
2028,CZE,0.212914
2029,CZE,0.212914
2030,CZE,0.212914
2031,CZE,0.212914
2032,CZE,0.212914
2033,CZE,0.212914
2034,CZE,0.212914
2035,CZE,0.212914
2036,CZE,0.212914
2037,CZE,0.212914
2038,CZE,0.212914
2039,CZE,0.212914
2040,CZE,0.212914
2041,CZE,0.212914
2042,CZE,0.212914
2043,CZE,0.212914
2044,CZE,0.212914
2045,CZE,0.212914
2046,CZE,0.212914
2047,CZE,0.212914
2048,CZE,0.212914
2049,CZE,0.212914
2050,CZE,0.212914
2020,DEU,0.17659
2021,DEU,0.17659
2022,DEU,0.17659
2023,DEU,0.17659
2024,DEU,0.17659
2025,DEU,0.17659
2026,DEU,0.17659
2027,DEU,0.17659
2028,DEU,0.17659
2029,DEU,0.17659
2030,DEU,0.17659
2031,DEU,0.17659
2032,DEU,0.17659
2033,DEU,0.17659
2034,DEU,0.17659
2035,DEU,0.17659
2036,DEU,0.17659
2037,DEU,0.17659
2038,DEU,0.17659
2039,DEU,0.17659
2040,DEU,0.17659
2041,DEU,0.17659
2042,DEU,0.17659
2043,DEU,0.17659
2044,DEU,0.17659
2045,DEU,0.17659
2046,DEU,0.17659
2047,DEU,0.17659
2048,DEU,0.17659
2049,DEU,0.17659
2050,DEU,0.17659
2020,DNK,0.173655
2021,DNK,0.173655
2022,DNK,0.173655
2023,DNK,0.173655
2024,DNK,0.173655
2025,DNK,0.173655
2026,DNK,0.173655
2027,DNK,0.173655
2028,DNK,0.173655
2029,DNK,0.173655
2030,DNK,0.173655
2031,DNK,0.173655
2032,DNK,0.173655
2033,DNK,0.173655
2034,DNK,0.173655
2035,DNK,0.173655
2036,DNK,0.173655
2037,DNK,0.173655
2038,DNK,0.173655
2039,DNK,0.173655
2040,DNK,0.173655
2041,DNK,0.173655
2042,DNK,0.173655
2043,DNK,0.173655
2044,DNK,0.173655
2045,DNK,0.173655
2046,DNK,0.173655
2047,DNK,0.173655
2048,DNK,0.173655
2049,DNK,0.173655
2050,DNK,0.173655
2020,DOM,0.258653
2021,DOM,0.258653
2022,DOM,0.258653
2023,DOM,0.258653
2024,DOM,0.258653
2025,DOM,0.258653
2026,DOM,0.258653
2027,DOM,0.258653
2028,DOM,0.258653
2029,DOM,0.258653
2030,DOM,0.258653
2031,DOM,0.258653
2032,DOM,0.258653
2033,DOM,0.258653
2034,DOM,0.258653
2035,DOM,0.258653
2036,DOM,0.258653
2037,DOM,0.258653
2038,DOM,0.258653
2039,DOM,0.258653
2040,DOM,0.258653
2041,DOM,0.258653
2042,DOM,0.258653
2043,DOM,0.258653
2044,DOM,0.258653
2045,DOM,0.258653
2046,DOM,0.258653
2047,DOM,0.258653
2048,DOM,0.258653
2049,DOM,0.258653
2050,DOM,0.258653
2020,DZA,0.067798
2021,DZA,0.067798
2022,DZA,0.067798
2023,DZA,0.067798
2024,DZA,0.067798
2025,DZA,0.067798
2026,DZA,0.067798
2027,DZA,0.067798
2028,DZA,0.067798
2029,DZA,0.067798
2030,DZA,0.067798
2031,DZA,0.067798
2032,DZA,0.067798
2033,DZA,0.067798
2034,DZA,0.067798
2035,DZA,0.067798
2036,DZA,0.067798
2037,DZA,0.067798
2038,DZA,0.067798
2039,DZA,0.067798
2040,DZA,0.067798
2041,DZA,0.067798
2042,DZA,0.067798
2043,DZA,0.067798
2044,DZA,0.067798
2045,DZA,0.067798
2046,DZA,0.067798
2047,DZA,0.067798
2048,DZA,0.067798
2049,DZA,0.067798
2050,DZA,0.067798
2020,ECU,0.262718
2021,ECU,0.262718
2022,ECU,0.262718
2023,ECU,0.262718
2024,ECU,0.262718
2025,ECU,0.262718
2026,ECU,0.262718
2027,ECU,0.262718
2028,ECU,0.262718
2029,ECU,0.262718
2030,ECU,0.262718
2031,ECU,0.262718
2032,ECU,0.262718
2033,ECU,0.262718
2034,ECU,0.262718
2035,ECU,0.262718
2036,ECU,0.262718
2037,ECU,0.262718
2038,ECU,0.262718
2039,ECU,0.262718
