Year,iso_code3,frac_scoe_heat_energy_residential_kerosene
2017,CIV,0.021952374151085016
2018,CIV,0.021952374151085016
2019,CIV,0.021952374151085016
2011,CMR,0.021952374151085016
2012,CMR,0.021952374151085016
2013,CMR,0.021952374151085016
2014,CMR,0.021952374151085016
2015,CMR,0.021952374151085016
2016,CMR,0.021952374151085016
2017,CMR,0.021952374151085016
2018,CMR,0.021952374151085016
2019,CMR,0.021952374151085016
2011,COD,0.021952374151085016
2012,COD,0.021952374151085016
2013,COD,0.021952374151085016
2014,COD,0.021952374151085016
2015,COD,0.021952374151085016
2016,COD,0.021952374151085016
2017,COD,0.021952374151085016
2018,COD,0.021952374151085016
2019,COD,0.021952374151085016
2011,COG,0.021952374151085016
2012,COG,0.021952374151085016
2013,COG,0.021952374151085016
2014,COG,0.021952374151085016
2015,COG,0.021952374151085016
2016,COG,0.021952374151085016
2017,COG,0.021952374151085016
2018,COG,0.021952374151085016
2019,COG,0.021952374151085016
2011,COL,0.017452551958641205
2012,COL,0.013092999325834704
2013,COL,0.008517355087752202
2014,COL,0.009031765456504201
2015,COL,0.009035722372577902
2016,COL,0.009317479657108003
2017,COL,0.008486073026410702
2018,COL,0.009604341657846703
2019,COL,0.010432294755940104
2011,COM,0.021952374151085016
2012,COM,0.021952374151085016
2013,COM,0.021952374151085016
2014,COM,0.021952374151085016
2015,COM,0.021952374151085016
2016,COM,0.021952374151085016
2017,COM,0.021952374151085016
2018,COM,0.021952374151085016
2019,COM,0.021952374151085016
2011,CPV,0.021952374151085016
2012,CPV,0.021952374151085016
2013,CPV,0.021952374151085016
2014,CPV,0.021952374151085016
2015,CPV,0.021952374151085016
2016,CPV,0.021952374151085016
2017,CPV,0.021952374151085016
2018,CPV,0.021952374151085016
2019,CPV,0.021952374151085016
2011,CRI,0.021952374151085016
2012,CRI,0.021952374151085016
2013,CRI,0.021952374151085016
2014,CRI,0.021952374151085016
2015,CRI,0.021952374151085016
2016,CRI,0.021952374151085016
2017,CRI,0.021952374151085016
2018,CRI,0.021952374151085016
2019,CRI,0.021952374151085016
2011,CUB,0.021952374151085016
2012,CUB,0.021952374151085016
