Year,iso_code3,nemomod_entc_residual_capacity_pp_solar_gw
2013,BRA,1.3269777039083692
2014,BRA,1.59137809026497
2015,BRA,2.0318561502786427
2016,BRA,2.0584460920868364
2017,BRA,2.1541668832886445
2018,BRA,2.2361168117665997
2019,BRA,2.3631989566070044
2020,BRA,2.4605625656323387
2010,BRN,0.0
2011,BRN,0.0
2012,BRN,0.0
2013,BRN,0.0
2014,BRN,0.0
2015,BRN,0.0
2016,BRN,0.0
2017,BRN,0.0
2018,BRN,0.0
2019,BRN,0.0
2020,BRN,0.0
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.0
2011,BWA,0.0
2012,BWA,0.0
2013,BWA,0.0
2014,BWA,0.0
2015,BWA,0.0
2016,BWA,0.0
2017,BWA,0.0
2018,BWA,0.0
2019,BWA,0.0
2020,BWA,0.0
2010,CAF,0.0
2011,CAF,0.0
2012,CAF,0.0
2013,CAF,0.0
2014,CAF,0.0
2015,CAF,0.0
2016,CAF,0.0
2017,CAF,0.0
2018,CAF,0.0
2019,CAF,0.0
2020,CAF,0.0
2010,CAN,0.0738282003762783
2011,CAN,0.227439551708027
2012,CAN,0.4744600738677114
2013,CAN,0.659365656257158
2014,CAN,1.0987545215079968
2015,CAN,1.620049234046779
2016,CAN,1.7885491005943035
2017,CAN,2.0566839020733263
2018,CAN,2.343075850610274
2019,CAN,2.486102743173084
2020,CAN,2.569538623012953
2010,CHE,0.0
2011,CHE,0.028534424392773
2012,CHE,0.0291542079386544
2013,CHE,0.0297573949429247
2014,CHE,0.0351107213651747
2015,CHE,0.0359406277976518
2016,CHE,0.0340222276159243
2017,CHE,0.0474936336530376
2018,CHE,0.0484802461037738
2019,CHE,0.049269096593338
2020,CHE,0.0508151072415456
2010,CHL,0.2925773613458822
2011,CHL,0.6225135881945154
2012,CHL,0.971069244475037
2013,CHL,1.067092036320017
2014,CHL,1.4583644599964531
2015,CHL,2.051869638959476
2016,CHL,3.075341842235193
2017,CHL,4.351849476944806
2018,CHL,4.754766632621956
2019,CHL,5.193466133217174
2020,CHL,5.982823640743894
2010,CHN,0.0
2011,CHN,60.112694394903286
2012,CHN,61.12697803788434
2013,CHN,62.76852609396221
2014,CHN,65.22877977259208
2015,CHN,68.91205734398194
2016,CHN,71.42981190411874
2017,CHN,73.36421201979061
2018,CHN,78.04574557414738
2019,CHN,82.4983774888626
2020,CHN,89.83721791385756
2010,CIV,0.0
2011,CIV,0.0
2012,CIV,0.0
2013,CIV,0.0
2014,CIV,0.0
2015,CIV,0.0
2016,CIV,0.0
2017,CIV,0.0
2018,CIV,0.0
2019,CIV,0.0
2020,CIV,0.0
2010,CMR,0.0
2011,CMR,0.0
2012,CMR,0.0
2013,CMR,0.0
2014,CMR,0.0
2015,CMR,0.0
2016,CMR,0.0
2017,CMR,0.0
2018,CMR,0.0
2019,CMR,0.0
2020,CMR,0.0
2010,COD,0.0
2011,COD,0.0
2012,COD,0.0
2013,COD,0.0
2014,COD,0.0
2015,COD,0.0
2016,COD,0.0
2017,COD,0.0
2018,COD,0.0
2019,COD,0.0
2020,COD,0.0
2010,COG,0.0
2011,COG,0.0
2012,COG,0.0
2013,COG,0.0
2014,COG,0.0
2015,COG,0.0
2016,COG,0.0
2017,COG,0.0
2018,COG,0.0
2019,COG,0.0
2020,COG,0.0
2010,COL,0.0
2011,COL,0.0
2012,COL,0.0
2013,COL,0.0
2014,COL,0.0
2015,COL,0.0
2016,COL,0.1922256088337619
2017,COL,0.1948377300458831
2018,COL,0.2282888943724033
2019,COL,0.2297068394698085
2020,COL,0.2183240994475137
2010,CPV,0.0
2011,CPV,0.0
2012,CPV,0.0
2013,CPV,0.0087541548688908
2014,CPV,0.0095075710944232
2015,CPV,0.0109996306783208
2016,CPV,0.0119721777668349
2017,CPV,0.0112150683245106
2018,CPV,0.0109996306783208
2019,CPV,0.0114859042225778
2020,CPV,0.0110488735688784
2010,CRI,0.0
2011,CRI,0.0
2012,CRI,0.0
2013,CRI,0.0
2014,CRI,0.0
2015,CRI,0.0
2016,CRI,0.0
2017,CRI,0.0
2018,CRI,0.0094931995105313
2019,CRI,0.0094350620948215
2020,CRI,0.0093021462885479
2010,CUB,0.0
2011,CUB,0.0
2012,CUB,0.0
2013,CUB,0.0125126678489992
2014,CUB,0.0253376682429974
2015,CUB,0.0258373499454347
2016,CUB,0.0264106947981084
2017,CUB,0.0266250342622201
2018,CUB,0.027386971219735
2019,CUB,0.0267566011877569
2020,CUB,0.0209331401033663
2010,CYP,0.0
2011,CYP,0.0
2012,CYP,0.0
2013,CYP,0.0
2014,CYP,0.0
2015,CYP,0.0
2016,CYP,0.0
2017,CYP,0.0
2018,CYP,0.0
2019,CYP,0.0
2020,CYP,0.0
2010,CZE,0.1233089934885509
2011,CZE,0.1971510653579123
2012,CZE,0.3330064929402157
2013,CZE,0.5881881834988877
2014,CZE,0.7504276720662092
2015,CZE,1.0295376476171865
2016,CZE,1.1904679459395564
2017,CZE,1.4018734280156402
2018,CZE,1.5186645789929996
2019,CZE,1.6723519886382936
2020,CZE,1.764630661982285
2010,DEU,0.5437518988904775
2011,DEU,1.195036057255218
2012,DEU,2.502602166331521
2013,DEU,3.7633779802118887
2014,DEU,6.16442693863107
2015,DEU,8.206250832715371
2016,DEU,10.615287998167368
2017,DEU,12.919230664440947
2018,DEU,16.065161223976737
2019,DEU,17.7918093492735
2020,DEU,19.33071002797319
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DNK,0.0
2011,DNK,0.0184869719028505
2012,DNK,0.1536167374166161
2013,DNK,0.1641451827072853
2014,DNK,0.2245619154127693
2015,DNK,0.249169392642413
2016,DNK,0.5008199814934245
2017,DNK,0.5040626729383394
2018,DNK,0.5274802844264362
2019,DNK,0.5341272804800922
2020,DNK,0.5693332738131834
2010,DOM,0.0
2011,DOM,0.0
2012,DOM,0.0
2013,DOM,0.0
2014,DOM,0.0
2015,DOM,0.2509917134456027
2016,DOM,0.2498035557446715
2017,DOM,0.298339464628919
2018,DOM,0.3066594456075927
2019,DOM,0.3483872160835882
2020,DOM,0.3479080495617541
2010,DZA,0.0
2011,DZA,0.0
2012,DZA,0.0
2013,DZA,0.0372308595584781
2014,DZA,0.134564312397852
2015,DZA,0.3386493285678871
2016,DZA,0.5878095341803851
2017,DZA,1.0029892147516777
2018,DZA,1.1324267865135014
2019,DZA,1.2346361660225922
2020,DZA,1.0988011317214874
2010,ECU,0.0
2011,ECU,0.0330374414976599
2012,ECU,0.028828066459408
2013,ECU,0.0818783010013384
2014,ECU,0.0833677289177156
2015,ECU,0.0867538134447454
2016,ECU,0.100828902385358
2017,ECU,0.0986852790693975
2018,ECU,0.1066772306729795
2019,ECU,0.1070045612881676
2020,ECU,0.1082872328016565
2010,EGY,0.0
2011,EGY,0.0555006660746003
2012,EGY,0.067150778417573
2013,EGY,0.0987133776057388
2014,EGY,0.093116196050685
2015,EGY,0.1642780643897342
2016,EGY,0.4586072937276081
2017,EGY,0.7853238907137027
2018,EGY,1.1965129940085808
2019,EGY,1.3418911316946178
2020,EGY,1.669085958986286
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,3.001862069295386
2011,ESP,4.407103951734596
2012,ESP,6.2829538470369934
2013,ESP,6.905708413292889
2014,ESP,7.127790686893501
2015,ESP,7.287824926389753
2016,ESP,7.242966292654057
2017,ESP,7.215175566789542
2018,ESP,7.324716545798055
2019,ESP,7.795299388654289
2020,ESP,7.751997074480389
2010,EST,0.0
2011,EST,0.0
2012,EST,0.0
2013,EST,0.0
2014,EST,0.0
2015,EST,0.0
2016,EST,0.0
2017,EST,0.0
2018,EST,0.0
2019,EST,0.0
2020,EST,0.0
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,0.0
2011,FIN,0.0
2012,FIN,0.0
2013,FIN,0.0
2014,FIN,0.0
2015,FIN,0.0
2016,FIN,0.0
2017,FIN,0.0
2018,FIN,0.0
2019,FIN,0.0
2020,FIN,0.0
2010,FJI,0.0
2011,FJI,0.0
2012,FJI,0.0
2013,FJI,0.0
2014,FJI,0.0
2015,FJI,0.0
2016,FJI,0.0
2017,FJI,0.0
2018,FJI,0.0
2019,FJI,0.0
2020,FJI,0.0
2010,FRA,0.3882008167058152
2011,FRA,0.721968061408981
2012,FRA,1.4970869605091195
2013,FRA,2.8077363444721604
2014,FRA,3.802297884185028
2015,FRA,4.868650297486398
2016,FRA,6.294587859027461
2017,FRA,8.463332771693736
2018,FRA,9.370363787500423
2019,FRA,10.07256258962425
2020,FRA,10.822274316360614
2010,GAB,0.0
2011,GAB,0.0
2012,GAB,0.0
2013,GAB,0.0
2014,GAB,0.0
2015,GAB,0.0
2016,GAB,0.0
2017,GAB,0.0
2018,GAB,0.0
2019,GAB,0.0
2020,GAB,0.0
2010,GBR,0.6768433274495821
2011,GBR,1.381946793667556
2012,GBR,2.4144302461644944
2013,GBR,3.7596465012508062
2014,GBR,5.339460370385215
2015,GBR,6.973308359088135
2016,GBR,8.915256600949634
2017,GBR,11.203695598091796
2018,GBR,13.46379606675418
2019,GBR,14.296099013225112
2020,GBR,14.172583542706302
2010,GEO,0.0
2011,GEO,0.0
2012,GEO,0.0
2013,GEO,0.0
2014,GEO,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2019,GEO,0.0
2020,GEO,0.0
2010,GHA,0.0
2011,GHA,0.0
2012,GHA,0.0
2013,GHA,0.0
2014,GHA,0.0
2015,GHA,0.0
2016,GHA,0.0379943074003795
2017,GHA,0.0437258064516129
2018,GHA,0.0483738140417457
2019,GHA,0.0510588235294117
2020,GHA,0.0501717267552182
2010,GIN,0.0
2011,GIN,0.0
2012,GIN,0.0
2013,GIN,0.0
2014,GIN,0.0
2015,GIN,0.0
2016,GIN,0.0
2017,GIN,0.0
2018,GIN,0.0
2019,GIN,0.0
2020,GIN,0.0
2010,GMB,0.0
2011,GMB,0.0
2012,GMB,0.0
2013,GMB,0.0
2014,GMB,0.0
2015,GMB,0.0
2016,GMB,0.0
2017,GMB,0.0
2018,GMB,0.0
2019,GMB,0.0
2020,GMB,0.0
2010,GNB,0.0
2011,GNB,0.0
2012,GNB,0.0
2013,GNB,0.0
2014,GNB,0.0
2015,GNB,0.0
2016,GNB,0.0
2017,GNB,0.0
2018,GNB,0.0
2019,GNB,0.0
2020,GNB,0.0
2010,GNQ,0.0
2011,GNQ,0.0
2012,GNQ,0.0
2013,GNQ,0.0
2014,GNQ,0.0
2015,GNQ,0.0
2016,GNQ,0.0
2017,GNQ,0.0
2018,GNQ,0.0
2019,GNQ,0.0
2020,GNQ,0.0
2010,GRC,0.0058102339347714
2011,GRC,0.0059927103922244
2012,GRC,0.0062399156340627
2013,GRC,0.0267351073701184
2014,GRC,0.0462819541458655
2015,GRC,0.0609279829922934
2016,GRC,0.1016469267355239
2017,GRC,0.1632659765781911
2018,GRC,0.1962547190506713
2019,GRC,0.24975603695128
2020,GRC,0.3095337613029164
2010,GTM,0.0
2011,GTM,0.0
2012,GTM,0.0
2013,GTM,0.03
2014,GTM,0.035
2015,GTM,0.115
2016,GTM,0.115
2017,GTM,0.115
2018,GTM,0.115
2019,GTM,0.1388283461745207
2020,GTM,0.1532865539220396
2010,GUY,0.0
2011,GUY,0.0
2012,GUY,0.0
2013,GUY,0.0
2014,GUY,0.0
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2010,HND,0.0
2011,HND,0.0
2012,HND,0.0
2013,HND,0.0
2014,HND,0.0
2015,HND,0.8209520297214503
2016,HND,0.7737566129141541
2017,HND,0.822215272236894
2018,HND,1.0482610876966498
2019,HND,1.1024723217336825
2020,HND,1.0708658599698722
2010,HRV,0.0
2011,HRV,0.0
2012,HRV,0.0
2013,HRV,0.0
2014,HRV,0.0
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2019,HRV,0.0
2020,HRV,0.0
2010,HUN,0.0
2011,HUN,0.0
2012,HUN,0.0753809141940657
2013,HUN,0.1436927453769559
2014,HUN,0.1479431009957325
2015,HUN,0.1754546313799622
2016,HUN,0.2622891904539074
2017,HUN,0.3485789766407119
2018,HUN,0.3641062291434927
2019,HUN,0.3918670745272525
2020,HUN,0.3734732849604221
2010,IDN,0.0
2011,IDN,0.0
2012,IDN,0.0
2013,IDN,0.0
2014,IDN,0.0
2015,IDN,0.0
2016,IDN,0.0
2017,IDN,0.0
2018,IDN,0.0
2019,IDN,0.0
2020,IDN,0.0
2010,IND,1.360805196578647
2011,IND,5.999016696122176
2012,IND,14.703280901107778
2013,IND,23.29027949003758
2014,IND,30.4482458818195
2015,IND,25.74105652554017
2016,IND,31.96042921062643
2017,IND,33.49313653830946
2018,IND,35.318161581940075
2019,IND,36.628860166400855
2020,IND,38.03330092840167
2010,IRL,0.0
2011,IRL,0.0
2012,IRL,0.0
2013,IRL,0.0
2014,IRL,0.0
2015,IRL,0.0
2016,IRL,0.0
2017,IRL,0.0
2018,IRL,0.0
2019,IRL,0.0
2020,IRL,0.0
2010,IRN,0.1670594014568709
2011,IRN,0.1394400769653655
2012,IRN,0.1512153204565408
2013,IRN,0.1475025720556367
2014,IRN,0.1446369309527379
2015,IRN,0.1392264473138769
2016,IRN,0.1409268558746637
2017,IRN,0.145610725548095
2018,IRN,0.1530793913761926
2019,IRN,0.1561796178316778
2020,IRN,0.1448103966886906
2010,IRQ,0.0
2011,IRQ,0.0
2012,IRQ,0.0
2013,IRQ,0.0
2014,IRQ,0.0
2015,IRQ,0.0
2016,IRQ,0.0
2017,IRQ,0.0
2018,IRQ,0.0
2019,IRQ,0.0
2020,IRQ,0.0
2010,ISL,0.0
2011,ISL,0.0
2012,ISL,0.0
2013,ISL,0.0
2014,ISL,0.0
2015,ISL,0.0
2016,ISL,0.0
2017,ISL,0.0
2018,ISL,0.0
2019,ISL,0.0
2020,ISL,0.0
2010,ISR,0.0181502186969994
2011,ISR,0.0413241323113748
2012,ISR,0.063036488926183
2013,ISR,0.3005888278502872
2014,ISR,0.514052351811319
2015,ISR,0.6431255026174039
2016,ISR,0.7364193542380456
2017,ISR,0.6661322101380651
2018,ISR,0.8212834733227934
2019,ISR,0.8722864801418101
2020,ISR,0.8182618699035527
2010,ITA,0.2067515985485758
2011,ITA,0.4189065335238023
2012,ITA,0.6266971887737448
2013,ITA,1.076883298036964
2014,ITA,1.3038958908437412
2015,ITA,1.8158124592301208
2016,ITA,2.2954948543903964
2017,ITA,2.909118341657864
2018,ITA,3.3837729401018883
2019,ITA,3.608001728479558
2020,ITA,3.834549558470001
2010,JAM,0.0
2011,JAM,0.0276674897119341
2012,JAM,0.0300576131687242
2013,JAM,0.0279256505576208
2014,JAM,0.0279256505576208
2015,JAM,0.0286988847583643
2016,JAM,0.0306617100371747
2017,JAM,0.0309591078066914
2018,JAM,0.0310780669144981
2019,JAM,0.0342037174721189
2020,JAM,0.0343821561338289
2010,JOR,0.1916475409836065
2011,JOR,0.2117530444964871
2012,JOR,0.4409576137292291
2013,JOR,0.4341387974580414
2014,JOR,0.6744604047905445
2015,JOR,0.8208068614993647
2016,JOR,0.5275552242851335
2017,JOR,0.5357813884211889
2018,JOR,0.6611606642291284
2019,JOR,0.724354628339876
2020,JOR,0.9469181002793708
2010,JPN,0.0
2011,JPN,0.0
2012,JPN,0.025033335670177
2013,JPN,0.6607386844762958
2014,JPN,5.445423098647389
2015,JPN,9.59610382990796
2016,JPN,11.32621697332702
2017,JPN,11.511946579537216
2018,JPN,11.971026549732112
2019,JPN,12.993292188943832
2020,JPN,12.941161924170745
2010,KAZ,0.0
2011,KAZ,0.0
2012,KAZ,0.0
2013,KAZ,0.0
2014,KAZ,0.0
2015,KAZ,0.4158509918042524
2016,KAZ,0.4159616343983847
2017,KAZ,0.4220325454329494
2018,KAZ,0.4199912697470009
2019,KAZ,0.3981096923625135
2020,KAZ,0.4165356930751872
2010,KEN,0.0
2011,KEN,0.0
2012,KEN,0.0
2013,KEN,0.0
2014,KEN,0.0
2015,KEN,0.0
2016,KEN,0.0691755095295802
2017,KEN,0.0608208149054295
2018,KEN,0.0797500094099934
2019,KEN,0.0826825538722123
2020,KEN,0.0831490354756751
2010,KGZ,0.0
2011,KGZ,0.0
2012,KGZ,0.0
2013,KGZ,0.0
2014,KGZ,0.0
2015,KGZ,0.0
2016,KGZ,0.0
2017,KGZ,0.0
2018,KGZ,0.0
2019,KGZ,0.0
2020,KGZ,0.0
2010,KHM,0.0
2011,KHM,0.0
2012,KHM,0.0
2013,KHM,0.0
2014,KHM,0.0
2015,KHM,0.0033232741353985
2016,KHM,0.0033709440512752
2017,KHM,0.0161884401114206
2018,KHM,0.0328567891407485
2019,KHM,0.0366956204533474
2020,KHM,0.0449379045861887
2010,KOR,0.0
2011,KOR,0.0105446556512835
2012,KOR,0.0219238897115874
2013,KOR,0.0341025524123497
2014,KOR,0.0863497065592112
2015,KOR,0.1172789261196673
2016,KOR,0.1520670549357354
2017,KOR,0.1857599028885276
2018,KOR,0.1971148300988114
2019,KOR,0.2178282306042688
2020,KOR,0.2381562989983531
2010,KWT,0.0
2011,KWT,0.0
2012,KWT,0.0
2013,KWT,0.01
2014,KWT,0.01
2015,KWT,0.0102521102666928
2016,KWT,0.0105908185871729
2017,KWT,0.0105260383072997
2018,KWT,0.0105322078577638
2019,KWT,0.0107976667881881
2020,KWT,0.0107976667881881
2010,LAO,0.0
2011,LAO,0.0
2012,LAO,0.0
2013,LAO,0.0
2014,LAO,0.0
2015,LAO,0.0
2016,LAO,0.0
2017,LAO,0.0
2018,LAO,0.0
2019,LAO,0.0
2020,LAO,0.0
2010,LBN,0.0
2011,LBN,0.0
2012,LBN,0.0
2013,LBN,0.0
2014,LBN,0.0
2015,LBN,0.0
2016,LBN,0.0
2017,LBN,0.0
2018,LBN,0.0
2019,LBN,0.0
2020,LBN,0.0
2010,LBR,0.0
2011,LBR,0.0
2012,LBR,0.0
2013,LBR,0.0
2014,LBR,0.0
2015,LBR,0.0
2016,LBR,0.0
2017,LBR,0.0
2018,LBR,0.0
2019,LBR,0.0
2020,LBR,0.0
2010,LBY,0.0
2011,LBY,0.0
2012,LBY,0.0
2013,LBY,0.0
2014,LBY,0.0
2015,LBY,0.0
2016,LBY,0.0
2017,LBY,0.0
2018,LBY,0.0
2019,LBY,0.0
2020,LBY,0.0
2010,LCA,0.076
2011,LCA,0.076
2012,LCA,0.0884
2013,LCA,0.0884
2014,LCA,0.0884
2015,LCA,0.0884
2016,LCA,0.0884
2017,LCA,0.0884
2018,LCA,0.0914
2019,LCA,0.0914
2020,LCA,0.0914
2010,LKA,0.0
2011,LKA,0.0
2012,LKA,0.0
2013,LKA,0.0
2014,LKA,0.0
2015,LKA,0.0275309765368237
2016,LKA,0.0281643827729157
2017,LKA,0.0515188981465737
2018,LKA,0.0512516294793779
2019,LKA,0.0534434563303994
2020,LKA,0.0537849047373141
2010,LSO,0.0
2011,LSO,0.0
2012,LSO,0.0
2013,LSO,0.0
2014,LSO,0.0
2015,LSO,0.0
2016,LSO,0.0
2017,LSO,0.0
2018,LSO,0.0
2019,LSO,0.0
2020,LSO,0.0
2010,LTU,0.0
2011,LTU,0.0
2012,LTU,0.0
2013,LTU,0.0
2014,LTU,0.0
2015,LTU,0.0
2016,LTU,0.0
2017,LTU,0.0
2018,LTU,0.0
2019,LTU,0.0
2020,LTU,0.0
2010,LUX,0.0
2011,LUX,0.0
2012,LUX,0.0
2013,LUX,0.0
2014,LUX,0.0
2015,LUX,0.0
2016,LUX,0.0
2017,LUX,0.0
2018,LUX,0.0
2019,LUX,0.0
2020,LUX,0.0
2010,LVA,0.0
2011,LVA,0.0
2012,LVA,0.0
2013,LVA,0.0
2014,LVA,0.0
2015,LVA,0.0
2016,LVA,0.0
2017,LVA,0.0
2018,LVA,0.0
2019,LVA,0.0
2020,LVA,0.0
2010,MAR,0.0
2011,MAR,0.0
2012,MAR,0.0
2013,MAR,0.0
2014,MAR,0.0
2015,MAR,0.0
2016,MAR,0.2735004784116732
2017,MAR,0.5021059116850176
2018,MAR,0.7991974489125745
2019,MAR,0.9301374573775576
2020,MAR,0.9371474240268222
2010,MDA,0.0
2011,MDA,0.0
2012,MDA,0.0
2013,MDA,0.0
2014,MDA,0.0
2015,MDA,0.0
2016,MDA,0.0
2017,MDA,0.0
2018,MDA,0.0
2019,MDA,0.0
2020,MDA,0.0
2010,MDG,0.0
2011,MDG,0.0
2012,MDG,0.0
2013,MDG,0.0
2014,MDG,0.0
2015,MDG,0.0
2016,MDG,0.0
2017,MDG,0.0
2018,MDG,0.0
2019,MDG,0.0
2020,MDG,0.04509738004612
2010,MEX,0.0
2011,MEX,0.0
2012,MEX,0.1396007272926122
2013,MEX,0.2151246541713751
2014,MEX,0.8774760602845563
2015,MEX,1.3898605783757845
2016,MEX,1.7074074563456425
2017,MEX,3.442559228871146
2018,MEX,4.329647192569955
2019,MEX,5.542955444362877
2020,MEX,5.42660385464603
2010,MKD,0.0
2011,MKD,0.0
2012,MKD,0.0
2013,MKD,0.0
2014,MKD,0.0
2015,MKD,0.0
2016,MKD,0.0
2017,MKD,0.0
2018,MKD,0.0
2019,MKD,0.0
2020,MKD,0.0
2010,MLI,0.0
2011,MLI,0.0
2012,MLI,0.0
2013,MLI,0.0
2014,MLI,0.0
2015,MLI,0.0
2016,MLI,0.0
2017,MLI,0.0
2018,MLI,0.0
2019,MLI,0.0
2020,MLI,0.0
