Year,iso_code3,pij_lndu_forests_secondary_to_forests_mangroves
2016,BRN,0.0
2017,BRN,0.0
2018,BRN,0.0
2015,BWA,0.0
2016,BWA,0.0
2017,BWA,0.0
2018,BWA,0.0
2015,CAF,0.0
2016,CAF,0.0
2017,CAF,0.0
2018,CAF,0.0
2015,CAN,0.0
2016,CAN,0.0
2017,CAN,0.0
2018,CAN,0.0
2015,CHE,0.0
2016,CHE,0.0
2017,CHE,0.0
2018,CHE,0.0
2015,CHL,0.0
2016,CHL,0.0
2017,CHL,0.0
2018,CHL,0.0
2015,CHN,0.000116424385376
2016,CHN,7.944047405169302e-06
2017,CHN,0.0001024946701368
2018,CHN,9.126728557368072e-05
2015,CIV,0.0002372997302933
2016,CIV,7.062501345387495e-05
2017,CIV,0.0001175846331108
2018,CIV,0.0013865744502433
2015,CMR,0.0006197541086558
2016,CMR,0.0011966532721549
2017,CMR,0.0013820031943829
2018,CMR,1.0594738820687584e-05
2015,COD,0.0
2016,COD,0.0
2017,COD,0.0
2018,COD,0.0
2015,COG,0.0017310444903846
2016,COG,0.0017273185162205
2017,COG,1.0907922628049927e-05
2018,COG,0.0018094958406115
2015,COL,0.0010050436839101
2016,COL,0.0011916526553852
2017,COL,0.0011141304433219
2018,COL,0.0003697274461946
2015,COM,0.0
2016,COM,1.0491084988330074e-05
2017,COM,1.0135433829527934e-05
2018,COM,0.4901449170387
2015,CPV,0.0
2016,CPV,0.0
2017,CPV,0.0
2018,CPV,0.4901429425159347
2015,CRI,1.1359346806592288e-05
2016,CRI,3.692212100958118e-05
2017,CRI,6.024311718649528e-05
2018,CRI,0.0
2015,CUB,0.0
2016,CUB,2.2919820405295943e-05
2017,CUB,0.0
2018,CUB,0.0001134150525187
2015,CYM,1.000393023117074e-05
2016,CYM,0.0057851790952063
2017,CYM,0.4902416616189928
2018,CYM,0.0
2015,CYP,0.0
2016,CYP,0.0
2017,CYP,0.0
2018,CYP,0.0
2015,CZE,0.0
2016,CZE,0.0
2017,CZE,0.0
2018,CZE,0.0
2015,DEU,0.0
2016,DEU,0.0
2017,DEU,0.0
2018,DEU,0.0
2015,DNK,0.0
2016,DNK,0.0
2017,DNK,0.0
2018,DNK,0.0
2015,DOM,0.0
2016,DOM,0.0
2017,DOM,0.0
2018,DOM,0.0
2015,DZA,0.0
2016,DZA,0.0
2017,DZA,0.0
2018,DZA,0.0
2015,ECU,4.7981325030593294e-05
2016,ECU,0.0012986224213283
2017,ECU,3.903062057992714e-05
2018,ECU,0.0012234845302959
2015,EGY,0.0018694208229986
2016,EGY,0.0021125026374224
2017,EGY,0.0003181124952349
2018,EGY,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2015,ESP,0.0
2016,ESP,0.0
2017,ESP,0.0
2018,ESP,0.0
2015,EST,0.0
2016,EST,0.0
2017,EST,0.0
2018,EST,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2015,FIN,0.0
2016,FIN,0.0
2017,FIN,0.0
2018,FIN,0.0
2015,FJI,0.0
2016,FJI,0.0
2017,FJI,0.0
2018,FJI,0.0
2015,FRA,0.0
2016,FRA,0.0
2017,FRA,0.0
2018,FRA,0.0
2015,GAB,0.0004450202959846
2016,GAB,3.772723045099286e-05
2017,GAB,7.203734450486616e-05
2018,GAB,0.0001564032484706
2015,GBR,0.0
2016,GBR,0.0
2017,GBR,0.0
2018,GBR,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2015,GHA,8.169334799863816e-05
2016,GHA,0.0001466528999504
2017,GHA,7.26354783474798e-05
2018,GHA,5.470292516500516e-05
2015,GIN,0.0010272839610661
2016,GIN,0.000891553936628
2017,GIN,0.0013061508664496
2018,GIN,0.0002046417821091
2015,GMB,3.603115185127735e-05
2016,GMB,0.0003294231852594
2017,GMB,1.2787153932238871e-05
2018,GMB,0.0023663732310447
2015,GNB,0.0019381184975496
2016,GNB,0.0010966959301914
2017,GNB,0.0015815921313898
2018,GNB,0.0003432605895998
2015,GNQ,1.0064265193366028e-05
2016,GNQ,0.0
2017,GNQ,0.4902463147963016
2018,GNQ,0.4901440982091748
2015,GRC,0.0
2016,GRC,0.0
2017,GRC,0.0
2018,GRC,0.0
2015,GRL,0.0
2016,GRL,0.0
2017,GRL,0.0
2018,GRL,0.0
2015,GTM,0.0009240995348631
2016,GTM,0.0002284722446071
2017,GTM,2.48295042483839e-05
2018,GTM,1.807945320825753e-05
2015,GUY,0.0027856809965755
2016,GUY,0.0025026475549427
2017,GUY,0.0023830987817392
2018,GUY,0.0022850819572331
2015,HKG,1.0000463267557824e-05
2016,HKG,1.0003199757744026e-05
2017,HKG,1.000007763191165e-05
2018,HKG,1.0004069204962508e-05
2015,HND,0.0017222518913306
2016,HND,0.0017317834370193
2017,HND,0.0014938663631696
2018,HND,0.0016893142931434
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2015,HTI,0.0
2016,HTI,0.0
2017,HTI,0.0
2018,HTI,1.0140090666163865e-05
2015,HUN,0.0
2016,HUN,0.0
2017,HUN,0.0
2018,HUN,0.0
2015,IDN,8.707192226008779e-05
2016,IDN,0.0
2017,IDN,3.820694969555199e-05
2018,IDN,0.0
2015,IND,0.0004127503412417
2016,IND,0.0004127503412417
2017,IND,0.0004127503412417
2018,IND,0.0004127503412417
2015,IRL,0.0
2016,IRL,0.0
2017,IRL,0.0
2018,IRL,0.0
2015,IRN,0.0008245827449858
2016,IRN,0.0
2017,IRN,0.0009315386435627
2018,IRN,1.505490806464015e-05
2015,IRQ,0.0
2016,IRQ,0.0
2017,IRQ,0.0
2018,IRQ,0.0
2015,ISL,0.4900072085822147
2016,ISL,0.0
2017,ISL,0.4902824248902048
2018,ISL,0.4901551661345734
2015,ITA,0.0
2016,ITA,0.0
2017,ITA,0.0
2018,ITA,0.0
2015,JAM,0.0
2016,JAM,0.0
2017,JAM,1.017627729094773e-05
2018,JAM,1.0033248451886852e-05
2015,JOR,0.490014434145509
2016,JOR,0.0
2017,JOR,0.0
2018,JOR,0.0
2015,JPN,0.0001898963130249
2016,JPN,4.027002176806505e-05
2017,JPN,2.0870592952475614e-05
2018,JPN,0.0001651866348021
2015,KAZ,0.0
2016,KAZ,0.0
2017,KAZ,0.0
2018,KAZ,0.0
2015,KEN,0.0007357239219304
2016,KEN,0.000588338869733
2017,KEN,6.486553686825649e-05
2018,KEN,0.0010360747386892
2015,KGZ,0.4899981546559475
2016,KGZ,0.4902793159056162
2017,KGZ,0.0
2018,KGZ,0.4901550206710846
2015,KHM,0.0
2016,KHM,0.0
2017,KHM,0.0
2018,KHM,0.0
2015,KOR,0.0
2016,KOR,0.0
2017,KOR,0.0
2018,KOR,0.0
2015,LAO,0.0
2016,LAO,0.0
2017,LAO,0.0
2018,LAO,0.0
2015,LBR,1.1524128222817164e-05
2016,LBR,0.0
2017,LBR,5.762064111408582e-06
2018,LBR,5.762064111408582e-06
2015,LBY,0.0
2016,LBY,0.0
2017,LBY,0.0
2018,LBY,0.0
2015,LKA,0.000168457222089
2016,LKA,0.0
2017,LKA,0.0
2018,LKA,0.0009699968327066
2015,LTU,0.0
2016,LTU,0.0
2017,LTU,0.0
2018,LTU,0.0
2015,LVA,0.0
2016,LVA,0.0
2017,LVA,0.0
2018,LVA,0.0
2015,MAR,0.0
2016,MAR,0.0
2017,MAR,0.0
2018,MAR,0.0
2015,MDA,0.0
2016,MDA,0.0
2017,MDA,0.0
2018,MDA,0.0
2015,MDG,0.0009045783918782
2016,MDG,0.0008066499929646
2017,MDG,0.0011011121637014
2018,MDG,0.0009528022027015
2015,MEX,0.0014009317225033
2016,MEX,0.0010558587575687
2017,MEX,0.0013941913827353
2018,MEX,0.0001739712078104
2015,MKD,0.0
2016,MKD,0.0
2017,MKD,0.0
2018,MKD,0.0
2015,MLI,0.0
2016,MLI,0.0
2017,MLI,0.0
2018,MLI,0.0
2015,MMR,0.0018332367401241
2016,MMR,0.0023914357256026
2017,MMR,0.0010632024463174
2018,MMR,0.0001943984238743
2015,MNE,0.0
2016,MNE,0.0
2017,MNE,0.0
2018,MNE,0.0
2015,MNG,0.0
2016,MNG,0.0
2017,MNG,0.0
2018,MNG,0.0
2015,MOZ,0.001079869131722
2016,MOZ,0.0012764998990279
2017,MOZ,0.001360909068697
2018,MOZ,0.0012947618387388
2015,MRT,0.0013401709246311
2016,MRT,0.0015674068285226
2017,MRT,0.0
2018,MRT,0.0
2015,MUS,0.0379874770167119
2016,MUS,0.0126619950326223
2017,MUS,1.000548871141901e-05
2018,MUS,1.0049725429663742e-05
2015,MWI,0.0
2016,MWI,0.0
2017,MWI,0.0
2018,MWI,0.0
2015,MYS,1.0955384790514845e-05
2016,MYS,1.0955384790514845e-05
2017,MYS,1.0955384790514845e-05
2018,MYS,1.0955384790514845e-05
2015,NAM,0.0
2016,NAM,0.0
2017,NAM,0.0
2018,NAM,0.0
2015,NCL,0.0
2016,NCL,0.0
2017,NCL,0.0
2018,NCL,0.0
2015,NER,0.0
2016,NER,0.0
2017,NER,0.0
2018,NER,0.0
2015,NGA,0.0001697585692569
2016,NGA,0.0001697585692569
2017,NGA,0.0001697585692569
2018,NGA,0.0001697585692569
2015,NIC,0.0
2016,NIC,3.0344305422312983e-05
2017,NIC,3.814403152329471e-05
2018,NIC,0.0001983670250261
2015,NLD,0.0
2016,NLD,0.0
2017,NLD,0.0
2018,NLD,0.0
2015,NOR,0.0
2016,NOR,0.0
2017,NOR,0.0
2018,NOR,0.0
2015,NPL,0.0
2016,NPL,0.0
2017,NPL,0.0
2018,NPL,0.0
2015,NZL,0.0003404198738542
2016,NZL,4.529224543406971e-05
2017,NZL,0.0001652170941256
2018,NZL,0.0003285326537715
2015,PAK,0.0001068995817323
2016,PAK,0.0010931414721993
2017,PAK,4.966877507635456e-05
2018,PAK,0.0003783776416441
2015,PAN,0.0006425311684927
2016,PAN,0.0021586846028648
2017,PAN,4.454643764379826e-05
2018,PAN,0.0017722639761563
2015,PER,0.0003139641307634
2016,PER,0.0002801167702446
2017,PER,0.000938194357712
2018,PER,0.0009818735917265
2015,PHL,6.572089738605631e-05
2016,PHL,6.0940090474805405e-05
2017,PHL,0.0001577231720357
2018,PHL,0.0001010416588092
2015,PNG,0.0026257328775536
2016,PNG,0.0022127349194501
2017,PNG,0.0001785347323716
2018,PNG,0.0018532846691892
2015,POL,0.0
2016,POL,0.0
2017,POL,0.0
2018,POL,0.0
2015,PRI,0.0024806474074882
2016,PRI,0.0024616627114003
2017,PRI,0.0016796837554162
2018,PRI,0.0024760444442784
2015,PRK,0.0
2016,PRK,0.0
2017,PRK,0.0
2018,PRK,0.0
2015,PRT,0.0
2016,PRT,0.0
2017,PRT,0.0
2018,PRT,0.0
2015,PRY,0.0
2016,PRY,0.0
2017,PRY,0.0
2018,PRY,0.0
2015,ROU,0.0
2016,ROU,0.0
2017,ROU,0.0
2018,ROU,0.0
2015,RUS,0.0
2016,RUS,0.0
2017,RUS,0.0
2018,RUS,0.0
2015,RWA,0.0
2016,RWA,0.0
2017,RWA,0.0
2018,RWA,0.0
2015,SAU,0.0019133915856215
2016,SAU,0.0
2017,SAU,0.0
2018,SAU,0.0
2015,SDN,6.436718711798134e-06
2016,SDN,4.202191214408068e-05
2017,SDN,5.705280295062628e-06
2018,SDN,2.656600488397914e-05
2015,SEN,6.177888594444768e-05
2016,SEN,1.7857084028815236e-05
2017,SEN,0.0001342465421756
2018,SEN,0.0009461617915665
2015,SLB,0.0
2016,SLB,0.0
2017,SLB,0.0
2018,SLB,0.0
2015,SLE,1.7395610375408686e-05
2016,SLE,0.0
2017,SLE,4.954346340284762e-05
2018,SLE,0.0
2015,SLV,0.0
2016,SLV,2.222705365358015e-05
2017,SLV,0.0
2018,SLV,1.0172209538579408e-05
2015,SOM,0.002091588230043
2016,SOM,0.0019988770031838
2017,SOM,0.0016249029089544
2018,SOM,0.0016105736649449
2015,SRB,0.0
2016,SRB,0.0
2017,SRB,0.0
2018,SRB,0.4901444036312625
2015,SSD,0.0
2016,SSD,0.0
2017,SSD,0.0
2018,SSD,0.0
2015,STP,0.4920899185672627
2016,STP,0.0166411114353
2017,STP,0.0063221294406731
2018,STP,0.4922129067274899
2015,SUR,0.0003579125937811
2016,SUR,0.0002159761970497
2017,SUR,0.0015359402161856
2018,SUR,0.0027546099907704
2015,SVK,0.0
2016,SVK,0.0
2017,SVK,0.0
2018,SVK,0.0
2015,SVN,0.0
2016,SVN,0.0
2017,SVN,0.0
2018,SVN,0.0
2015,SWE,0.0
2016,SWE,0.0
2017,SWE,0.0
2018,SWE,0.0
2015,SWZ,0.0
2016,SWZ,0.0
2017,SWZ,0.0
2018,SWZ,0.0
2015,SYC,0.0313913688780072
2016,SYC,0.0623166801669261
2017,SYC,0.085181905967386
2018,SYC,0.061736255164242
2015,SYR,0.0
2016,SYR,0.0
2017,SYR,0.0
2018,SYR,0.0
2015,TCA,0.4899988781072796
2016,TCA,0.4902735376797799
2017,TCA,0.0
2018,TCA,0.4901429895653754
2015,TCD,0.0
2016,TCD,0.0
2017,TCD,0.0
2018,TCD,0.0
2015,TGO,0.0
2016,TGO,0.0
2017,TGO,0.0
2018,TGO,0.0
2015,THA,0.0
2016,THA,0.0012136821964211
2017,THA,0.0052141218324404
2018,THA,0.0066975811143992
2015,TJK,0.4899962633284435
2016,TJK,0.0
2017,TJK,0.4902731533856164
2018,TJK,0.4901448314341566
2015,TKM,0.0
2016,TKM,0.492478751886635
2017,TKM,0.0
2018,TKM,0.0
2015,TLS,0.001667244020168
2016,TLS,0.0025027338160318
2017,TLS,0.4921743673813226
2018,TLS,0.0050569579196344
2015,TON,0.0
2016,TON,0.0
2017,TON,0.0
2018,TON,0.0
2015,TTO,0.0
2016,TTO,0.0
2017,TTO,0.0
2018,TTO,1.0000519463249014e-05
2015,TUN,0.0
2016,TUN,0.0
2017,TUN,0.0
2018,TUN,0.0
2015,TUR,0.0
2016,TUR,0.0
2017,TUR,0.0
2018,TUR,0.0
2015,TZA,3.032987025518813e-05
2016,TZA,0.0009700744418234
2017,TZA,0.0001406024820237
2018,TZA,0.0010160126581834
2015,UGA,0.0
2016,UGA,0.0
2017,UGA,0.0
2018,UGA,0.0
2015,UKR,0.0
2016,UKR,0.0
2017,UKR,0.0
2018,UKR,0.0
2015,URY,0.0
2016,URY,0.0
2017,URY,0.0
2018,URY,0.0
2015,USA,0.0002651977387904
2016,USA,0.0005921113189181
2017,USA,0.0001671285821543
2018,USA,1.0430293644373032e-05
2015,UZB,0.0
2016,UZB,0.0
2017,UZB,0.0
2018,UZB,0.0
2015,VEN,0.0001323319810558
2016,VEN,0.0005938829222327
2017,VEN,9.513150707256808e-05
2018,VEN,0.0003693124137435
2015,VIR,0.489994881668423
2016,VIR,0.4902738692493073
2017,VIR,0.4902419165347663
2018,VIR,0.4901431118130567
2015,VNM,0.0016970870525424
2016,VNM,0.001471973800185
2017,VNM,0.0019033407200035
2018,VNM,0.0032062181995026
2015,VUT,0.0058839711597857
2016,VUT,0.4926601874936455
2017,VUT,0.004284021951781
2018,VUT,0.0077107516949692
2015,ZAF,6.6246785731769794e-06
2016,ZAF,1.4399899603144055e-05
2017,ZAF,0.0005371480719283
2018,ZAF,0.0001373222469715
2015,ZMB,0.0
2016,ZMB,0.0
2017,ZMB,0.0
2018,ZMB,0.0
2015,ZWE,0.0
2016,ZWE,0.0
2017,ZWE,0.0
2018,ZWE,0.0
