Year,iso_code3,cost_enfu_fuel_biomass_usd_per_tonne
2023,AZE,209.78
2024,AZE,209.78
2025,AZE,209.78
2026,AZE,209.78
2027,AZE,209.78
2028,AZE,209.78
2029,AZE,209.78
2030,AZE,209.78
2031,AZE,209.78
2032,AZE,209.78
2033,AZE,209.78
2034,AZE,209.78
2035,AZE,209.78
2036,AZE,209.78
2037,AZE,209.78
2038,AZE,209.78
2039,AZE,209.78
2040,AZE,209.78
2041,AZE,209.78
2042,AZE,209.78
2043,AZE,209.78
2044,AZE,209.78
2045,AZE,209.78
2046,AZE,209.78
2047,AZE,209.78
2048,AZE,209.78
2049,AZE,209.78
2050,AZE,209.78
2021,BDI,209.78
2022,BDI,209.78
2023,BDI,209.78
2024,BDI,209.78
2025,BDI,209.78
2026,BDI,209.78
2027,BDI,209.78
2028,BDI,209.78
2029,BDI,209.78
2030,BDI,209.78
2031,BDI,209.78
2032,BDI,209.78
2033,BDI,209.78
2034,BDI,209.78
2035,BDI,209.78
2036,BDI,209.78
2037,BDI,209.78
2038,BDI,209.78
2039,BDI,209.78
2040,BDI,209.78
2041,BDI,209.78
2042,BDI,209.78
2043,BDI,209.78
2044,BDI,209.78
2045,BDI,209.78
2046,BDI,209.78
2047,BDI,209.78
2048,BDI,209.78
2049,BDI,209.78
2050,BDI,209.78
2021,BEL,209.78
2022,BEL,209.78
2023,BEL,209.78
2024,BEL,209.78
2025,BEL,209.78
2026,BEL,209.78
2027,BEL,209.78
2028,BEL,209.78
2029,BEL,209.78
2030,BEL,209.78
2031,BEL,209.78
2032,BEL,209.78
2033,BEL,209.78
2034,BEL,209.78
2035,BEL,209.78
2036,BEL,209.78
2037,BEL,209.78
2038,BEL,209.78
2039,BEL,209.78
2040,BEL,209.78
2041,BEL,209.78
2042,BEL,209.78
2043,BEL,209.78
2044,BEL,209.78
2045,BEL,209.78
2046,BEL,209.78
2047,BEL,209.78
2048,BEL,209.78
2049,BEL,209.78
2050,BEL,209.78
2021,BEN,209.78
2022,BEN,209.78
2023,BEN,209.78
2024,BEN,209.78
2025,BEN,209.78
2026,BEN,209.78
2027,BEN,209.78
2028,BEN,209.78
2029,BEN,209.78
2030,BEN,209.78
2031,BEN,209.78
2032,BEN,209.78
2033,BEN,209.78
2034,BEN,209.78
2035,BEN,209.78
2036,BEN,209.78
2037,BEN,209.78
2038,BEN,209.78
2039,BEN,209.78
2040,BEN,209.78
2041,BEN,209.78
2042,BEN,209.78
2043,BEN,209.78
2044,BEN,209.78
2045,BEN,209.78
2046,BEN,209.78
2047,BEN,209.78
2048,BEN,209.78
2049,BEN,209.78
2050,BEN,209.78
2021,BFA,209.78
2022,BFA,209.78
2023,BFA,209.78
2024,BFA,209.78
2025,BFA,209.78
2026,BFA,209.78
2027,BFA,209.78
2028,BFA,209.78
2029,BFA,209.78
2030,BFA,209.78
2031,BFA,209.78
2032,BFA,209.78
2033,BFA,209.78
2034,BFA,209.78
2035,BFA,209.78
2036,BFA,209.78
2037,BFA,209.78
2038,BFA,209.78
2039,BFA,209.78
2040,BFA,209.78
2041,BFA,209.78
2042,BFA,209.78
2043,BFA,209.78
2044,BFA,209.78
2045,BFA,209.78
2046,BFA,209.78
2047,BFA,209.78
2048,BFA,209.78
2049,BFA,209.78
2050,BFA,209.78
2021,BGD,209.78
2022,BGD,209.78
2023,BGD,209.78
2024,BGD,209.78
2025,BGD,209.78
2026,BGD,209.78
2027,BGD,209.78
2028,BGD,209.78
2029,BGD,209.78
2030,BGD,209.78
2031,BGD,209.78
2032,BGD,209.78
2033,BGD,209.78
2034,BGD,209.78
2035,BGD,209.78
2036,BGD,209.78
2037,BGD,209.78
2038,BGD,209.78
2039,BGD,209.78
2040,BGD,209.78
2041,BGD,209.78
2042,BGD,209.78
2043,BGD,209.78
2044,BGD,209.78
2045,BGD,209.78
2046,BGD,209.78
2047,BGD,209.78
2048,BGD,209.78
2049,BGD,209.78
2050,BGD,209.78
2021,BGR,209.78
2022,BGR,209.78
2023,BGR,209.78
2024,BGR,209.78
2025,BGR,209.78
2026,BGR,209.78
2027,BGR,209.78
2028,BGR,209.78
2029,BGR,209.78
2030,BGR,209.78
2031,BGR,209.78
2032,BGR,209.78
2033,BGR,209.78
2034,BGR,209.78
2035,BGR,209.78
2036,BGR,209.78
2037,BGR,209.78
2038,BGR,209.78
2039,BGR,209.78
2040,BGR,209.78
2041,BGR,209.78
2042,BGR,209.78
2043,BGR,209.78
2044,BGR,209.78
2045,BGR,209.78
2046,BGR,209.78
2047,BGR,209.78
2048,BGR,209.78
2049,BGR,209.78
2050,BGR,209.78
2021,BHR,209.78
2022,BHR,209.78
2023,BHR,209.78
2024,BHR,209.78
2025,BHR,209.78
2026,BHR,209.78
2027,BHR,209.78
2028,BHR,209.78
2029,BHR,209.78
2030,BHR,209.78
2031,BHR,209.78
2032,BHR,209.78
2033,BHR,209.78
2034,BHR,209.78
2035,BHR,209.78
2036,BHR,209.78
2037,BHR,209.78
2038,BHR,209.78
2039,BHR,209.78
2040,BHR,209.78
2041,BHR,209.78
2042,BHR,209.78
2043,BHR,209.78
2044,BHR,209.78
2045,BHR,209.78
2046,BHR,209.78
2047,BHR,209.78
2048,BHR,209.78
2049,BHR,209.78
2050,BHR,209.78
2021,BHS,209.78
2022,BHS,209.78
2023,BHS,209.78
2024,BHS,209.78
2025,BHS,209.78
2026,BHS,209.78
2027,BHS,209.78
2028,BHS,209.78
2029,BHS,209.78
2030,BHS,209.78
2031,BHS,209.78
2032,BHS,209.78
2033,BHS,209.78
2034,BHS,209.78
2035,BHS,209.78
2036,BHS,209.78
2037,BHS,209.78
2038,BHS,209.78
2039,BHS,209.78
2040,BHS,209.78
2041,BHS,209.78
2042,BHS,209.78
2043,BHS,209.78
2044,BHS,209.78
2045,BHS,209.78
2046,BHS,209.78
2047,BHS,209.78
2048,BHS,209.78
2049,BHS,209.78
2050,BHS,209.78
2021,BIH,209.78
2022,BIH,209.78
2023,BIH,209.78
2024,BIH,209.78
2025,BIH,209.78
2026,BIH,209.78
2027,BIH,209.78
2028,BIH,209.78
2029,BIH,209.78
2030,BIH,209.78
2031,BIH,209.78
2032,BIH,209.78
2033,BIH,209.78
2034,BIH,209.78
2035,BIH,209.78
2036,BIH,209.78
2037,BIH,209.78
2038,BIH,209.78
2039,BIH,209.78
2040,BIH,209.78
2041,BIH,209.78
2042,BIH,209.78
2043,BIH,209.78
2044,BIH,209.78
2045,BIH,209.78
2046,BIH,209.78
2047,BIH,209.78
2048,BIH,209.78
2049,BIH,209.78
2050,BIH,209.78
2021,BLR,209.78
2022,BLR,209.78
2023,BLR,209.78
2024,BLR,209.78
2025,BLR,209.78
2026,BLR,209.78
2027,BLR,209.78
2028,BLR,209.78
2029,BLR,209.78
2030,BLR,209.78
2031,BLR,209.78
2032,BLR,209.78
2033,BLR,209.78
2034,BLR,209.78
2035,BLR,209.78
2036,BLR,209.78
2037,BLR,209.78
2038,BLR,209.78
2039,BLR,209.78
2040,BLR,209.78
2041,BLR,209.78
2042,BLR,209.78
2043,BLR,209.78
2044,BLR,209.78
2045,BLR,209.78
2046,BLR,209.78
2047,BLR,209.78
2048,BLR,209.78
2049,BLR,209.78
2050,BLR,209.78
2021,BLZ,209.78
2022,BLZ,209.78
2023,BLZ,209.78
2024,BLZ,209.78
2025,BLZ,209.78
2026,BLZ,209.78
2027,BLZ,209.78
2028,BLZ,209.78
2029,BLZ,209.78
2030,BLZ,209.78
2031,BLZ,209.78
2032,BLZ,209.78
2033,BLZ,209.78
2034,BLZ,209.78
2035,BLZ,209.78
2036,BLZ,209.78
2037,BLZ,209.78
2038,BLZ,209.78
2039,BLZ,209.78
2040,BLZ,209.78
2041,BLZ,209.78
2042,BLZ,209.78
2043,BLZ,209.78
2044,BLZ,209.78
2045,BLZ,209.78
2046,BLZ,209.78
2047,BLZ,209.78
2048,BLZ,209.78
2049,BLZ,209.78
2050,BLZ,209.78
2021,BMU,209.78
2022,BMU,209.78
2023,BMU,209.78
2024,BMU,209.78
2025,BMU,209.78
2026,BMU,209.78
2027,BMU,209.78
2028,BMU,209.78
2029,BMU,209.78
2030,BMU,209.78
2031,BMU,209.78
2032,BMU,209.78
2033,BMU,209.78
2034,BMU,209.78
2035,BMU,209.78
2036,BMU,209.78
2037,BMU,209.78
2038,BMU,209.78
2039,BMU,209.78
2040,BMU,209.78
2041,BMU,209.78
2042,BMU,209.78
2043,BMU,209.78
2044,BMU,209.78
2045,BMU,209.78
2046,BMU,209.78
2047,BMU,209.78
2048,BMU,209.78
2049,BMU,209.78
2050,BMU,209.78
2021,BOL,209.78
2022,BOL,209.78
2023,BOL,209.78
2024,BOL,209.78
2025,BOL,209.78
2026,BOL,209.78
2027,BOL,209.78
2028,BOL,209.78
2029,BOL,209.78
2030,BOL,209.78
2031,BOL,209.78
2032,BOL,209.78
2033,BOL,209.78
2034,BOL,209.78
2035,BOL,209.78
2036,BOL,209.78
2037,BOL,209.78
2038,BOL,209.78
2039,BOL,209.78
2040,BOL,209.78
2041,BOL,209.78
2042,BOL,209.78
2043,BOL,209.78
2044,BOL,209.78
2045,BOL,209.78
2046,BOL,209.78
2047,BOL,209.78
2048,BOL,209.78
2049,BOL,209.78
2050,BOL,209.78
2021,BRA,209.78
2022,BRA,209.78
2023,BRA,209.78
2024,BRA,209.78
2025,BRA,209.78
2026,BRA,209.78
2027,BRA,209.78
2028,BRA,209.78
2029,BRA,209.78
2030,BRA,209.78
2031,BRA,209.78
2032,BRA,209.78
2033,BRA,209.78
2034,BRA,209.78
2035,BRA,209.78
2036,BRA,209.78
2037,BRA,209.78
2038,BRA,209.78
2039,BRA,209.78
2040,BRA,209.78
2041,BRA,209.78
2042,BRA,209.78
2043,BRA,209.78
2044,BRA,209.78
2045,BRA,209.78
2046,BRA,209.78
2047,BRA,209.78
2048,BRA,209.78
2049,BRA,209.78
2050,BRA,209.78
2021,BRB,209.78
2022,BRB,209.78
2023,BRB,209.78
2024,BRB,209.78
2025,BRB,209.78
2026,BRB,209.78
2027,BRB,209.78
2028,BRB,209.78
2029,BRB,209.78
2030,BRB,209.78
2031,BRB,209.78
2032,BRB,209.78
2033,BRB,209.78
2034,BRB,209.78
2035,BRB,209.78
2036,BRB,209.78
2037,BRB,209.78
2038,BRB,209.78
2039,BRB,209.78
2040,BRB,209.78
2041,BRB,209.78
2042,BRB,209.78
2043,BRB,209.78
2044,BRB,209.78
2045,BRB,209.78
2046,BRB,209.78
2047,BRB,209.78
2048,BRB,209.78
2049,BRB,209.78
2050,BRB,209.78
2021,BRN,209.78
2022,BRN,209.78
2023,BRN,209.78
2024,BRN,209.78
2025,BRN,209.78
2026,BRN,209.78
2027,BRN,209.78
2028,BRN,209.78
2029,BRN,209.78
2030,BRN,209.78
2031,BRN,209.78
2032,BRN,209.78
2033,BRN,209.78
2034,BRN,209.78
2035,BRN,209.78
2036,BRN,209.78
2037,BRN,209.78
2038,BRN,209.78
2039,BRN,209.78
2040,BRN,209.78
2041,BRN,209.78
2042,BRN,209.78
2043,BRN,209.78
2044,BRN,209.78
2045,BRN,209.78
2046,BRN,209.78
2047,BRN,209.78
2048,BRN,209.78
2049,BRN,209.78
2050,BRN,209.78
2021,BTN,209.78
2022,BTN,209.78
2023,BTN,209.78
2024,BTN,209.78
2025,BTN,209.78
2026,BTN,209.78
2027,BTN,209.78
2028,BTN,209.78
2029,BTN,209.78
2030,BTN,209.78
2031,BTN,209.78
2032,BTN,209.78
2033,BTN,209.78
2034,BTN,209.78
2035,BTN,209.78
2036,BTN,209.78
2037,BTN,209.78
2038,BTN,209.78
2039,BTN,209.78
2040,BTN,209.78
2041,BTN,209.78
2042,BTN,209.78
2043,BTN,209.78
2044,BTN,209.78
2045,BTN,209.78
2046,BTN,209.78
2047,BTN,209.78
2048,BTN,209.78
2049,BTN,209.78
2050,BTN,209.78
2021,BWA,209.78
2022,BWA,209.78
2023,BWA,209.78
2024,BWA,209.78
2025,BWA,209.78
2026,BWA,209.78
2027,BWA,209.78
2028,BWA,209.78
2029,BWA,209.78
2030,BWA,209.78
2031,BWA,209.78
2032,BWA,209.78
2033,BWA,209.78
2034,BWA,209.78
2035,BWA,209.78
2036,BWA,209.78
2037,BWA,209.78
2038,BWA,209.78
2039,BWA,209.78
2040,BWA,209.78
2041,BWA,209.78
2042,BWA,209.78
2043,BWA,209.78
2044,BWA,209.78
2045,BWA,209.78
2046,BWA,209.78
2047,BWA,209.78
2048,BWA,209.78
2049,BWA,209.78
2050,BWA,209.78
2021,CAF,209.78
2022,CAF,209.78
2023,CAF,209.78
2024,CAF,209.78
2025,CAF,209.78
2026,CAF,209.78
2027,CAF,209.78
2028,CAF,209.78
2029,CAF,209.78
2030,CAF,209.78
2031,CAF,209.78
2032,CAF,209.78
2033,CAF,209.78
2034,CAF,209.78
2035,CAF,209.78
2036,CAF,209.78
2037,CAF,209.78
2038,CAF,209.78
2039,CAF,209.78
2040,CAF,209.78
2041,CAF,209.78
2042,CAF,209.78
2043,CAF,209.78
2044,CAF,209.78
2045,CAF,209.78
2046,CAF,209.78
2047,CAF,209.78
2048,CAF,209.78
2049,CAF,209.78
2050,CAF,209.78
2021,CAN,209.78
2022,CAN,209.78
2023,CAN,209.78
2024,CAN,209.78
2025,CAN,209.78
2026,CAN,209.78
2027,CAN,209.78
2028,CAN,209.78
2029,CAN,209.78
2030,CAN,209.78
2031,CAN,209.78
2032,CAN,209.78
2033,CAN,209.78
2034,CAN,209.78
2035,CAN,209.78
2036,CAN,209.78
2037,CAN,209.78
2038,CAN,209.78
2039,CAN,209.78
2040,CAN,209.78
2041,CAN,209.78
2042,CAN,209.78
2043,CAN,209.78
2044,CAN,209.78
2045,CAN,209.78
2046,CAN,209.78
2047,CAN,209.78
2048,CAN,209.78
2049,CAN,209.78
2050,CAN,209.78
2021,CHE,209.78
2022,CHE,209.78
2023,CHE,209.78
2024,CHE,209.78
2025,CHE,209.78
2026,CHE,209.78
2027,CHE,209.78
2028,CHE,209.78
2029,CHE,209.78
2030,CHE,209.78
2031,CHE,209.78
2032,CHE,209.78
2033,CHE,209.78
2034,CHE,209.78
2035,CHE,209.78
2036,CHE,209.78
2037,CHE,209.78
2038,CHE,209.78
2039,CHE,209.78
2040,CHE,209.78
2041,CHE,209.78
2042,CHE,209.78
2043,CHE,209.78
2044,CHE,209.78
2045,CHE,209.78
2046,CHE,209.78
2047,CHE,209.78
2048,CHE,209.78
2049,CHE,209.78
2050,CHE,209.78
2021,CHL,209.78
2022,CHL,209.78
2023,CHL,209.78
2024,CHL,209.78
2025,CHL,209.78
2026,CHL,209.78
2027,CHL,209.78
2028,CHL,209.78
2029,CHL,209.78
2030,CHL,209.78
2031,CHL,209.78
2032,CHL,209.78
2033,CHL,209.78
2034,CHL,209.78
2035,CHL,209.78
2036,CHL,209.78
2037,CHL,209.78
2038,CHL,209.78
2039,CHL,209.78
2040,CHL,209.78
2041,CHL,209.78
2042,CHL,209.78
2043,CHL,209.78
2044,CHL,209.78
2045,CHL,209.78
2046,CHL,209.78
2047,CHL,209.78
2048,CHL,209.78
2049,CHL,209.78
2050,CHL,209.78
2021,CHN,209.78
2022,CHN,209.78
2023,CHN,209.78
2024,CHN,209.78
2025,CHN,209.78
2026,CHN,209.78
2027,CHN,209.78
2028,CHN,209.78
2029,CHN,209.78
2030,CHN,209.78
2031,CHN,209.78
2032,CHN,209.78
2033,CHN,209.78
2034,CHN,209.78
2035,CHN,209.78
2036,CHN,209.78
2037,CHN,209.78
2038,CHN,209.78
2039,CHN,209.78
2040,CHN,209.78
2041,CHN,209.78
2042,CHN,209.78
2043,CHN,209.78
2044,CHN,209.78
2045,CHN,209.78
2046,CHN,209.78
2047,CHN,209.78
2048,CHN,209.78
2049,CHN,209.78
2050,CHN,209.78
2021,CIV,209.78
2022,CIV,209.78
2023,CIV,209.78
2024,CIV,209.78
2025,CIV,209.78
2026,CIV,209.78
2027,CIV,209.78
2028,CIV,209.78
2029,CIV,209.78
2030,CIV,209.78
2031,CIV,209.78
2032,CIV,209.78
2033,CIV,209.78
2034,CIV,209.78
2035,CIV,209.78
2036,CIV,209.78
2037,CIV,209.78
2038,CIV,209.78
2039,CIV,209.78
2040,CIV,209.78
2041,CIV,209.78
2042,CIV,209.78
2043,CIV,209.78
2044,CIV,209.78
2045,CIV,209.78
2046,CIV,209.78
2047,CIV,209.78
2048,CIV,209.78
2049,CIV,209.78
2050,CIV,209.78
2021,CMR,209.78
2022,CMR,209.78
2023,CMR,209.78
2024,CMR,209.78
2025,CMR,209.78
2026,CMR,209.78
2027,CMR,209.78
2028,CMR,209.78
2029,CMR,209.78
2030,CMR,209.78
2031,CMR,209.78
2032,CMR,209.78
2033,CMR,209.78
2034,CMR,209.78
2035,CMR,209.78
2036,CMR,209.78
2037,CMR,209.78
2038,CMR,209.78
2039,CMR,209.78
2040,CMR,209.78
2041,CMR,209.78
2042,CMR,209.78
2043,CMR,209.78
2044,CMR,209.78
2045,CMR,209.78
2046,CMR,209.78
2047,CMR,209.78
2048,CMR,209.78
2049,CMR,209.78
2050,CMR,209.78
2021,COD,209.78
2022,COD,209.78
2023,COD,209.78
2024,COD,209.78
2025,COD,209.78
2026,COD,209.78
2027,COD,209.78
2028,COD,209.78
2029,COD,209.78
2030,COD,209.78
2031,COD,209.78
2032,COD,209.78
2033,COD,209.78
2034,COD,209.78
2035,COD,209.78
2036,COD,209.78
2037,COD,209.78
2038,COD,209.78
2039,COD,209.78
2040,COD,209.78
2041,COD,209.78
2042,COD,209.78
2043,COD,209.78
2044,COD,209.78
2045,COD,209.78
2046,COD,209.78
2047,COD,209.78
2048,COD,209.78
2049,COD,209.78
2050,COD,209.78
2021,COG,209.78
2022,COG,209.78
2023,COG,209.78
2024,COG,209.78
2025,COG,209.78
2026,COG,209.78
2027,COG,209.78
2028,COG,209.78
2029,COG,209.78
2030,COG,209.78
2031,COG,209.78
2032,COG,209.78
2033,COG,209.78
2034,COG,209.78
2035,COG,209.78
2036,COG,209.78
2037,COG,209.78
2038,COG,209.78
2039,COG,209.78
2040,COG,209.78
2041,COG,209.78
2042,COG,209.78
2043,COG,209.78
2044,COG,209.78
2045,COG,209.78
2046,COG,209.78
2047,COG,209.78
2048,COG,209.78
2049,COG,209.78
2050,COG,209.78
2021,COL,209.78
2022,COL,209.78
2023,COL,209.78
2024,COL,209.78
2025,COL,209.78
2026,COL,209.78
2027,COL,209.78
2028,COL,209.78
2029,COL,209.78
2030,COL,209.78
2031,COL,209.78
2032,COL,209.78
2033,COL,209.78
2034,COL,209.78
2035,COL,209.78
2036,COL,209.78
2037,COL,209.78
2038,COL,209.78
2039,COL,209.78
2040,COL,209.78
2041,COL,209.78
2042,COL,209.78
2043,COL,209.78
2044,COL,209.78
2045,COL,209.78
2046,COL,209.78
2047,COL,209.78
2048,COL,209.78
2049,COL,209.78
2050,COL,209.78
2021,COM,209.78
2022,COM,209.78
2023,COM,209.78
2024,COM,209.78
2025,COM,209.78
2026,COM,209.78
2027,COM,209.78
2028,COM,209.78
2029,COM,209.78
2030,COM,209.78
2031,COM,209.78
2032,COM,209.78
2033,COM,209.78
2034,COM,209.78
2035,COM,209.78
2036,COM,209.78
2037,COM,209.78
2038,COM,209.78
2039,COM,209.78
2040,COM,209.78
2041,COM,209.78
2042,COM,209.78
2043,COM,209.78
2044,COM,209.78
2045,COM,209.78
2046,COM,209.78
2047,COM,209.78
2048,COM,209.78
2049,COM,209.78
2050,COM,209.78
2021,CPV,209.78
2022,CPV,209.78
2023,CPV,209.78
2024,CPV,209.78
2025,CPV,209.78
2026,CPV,209.78
2027,CPV,209.78
2028,CPV,209.78
2029,CPV,209.78
2030,CPV,209.78
2031,CPV,209.78
2032,CPV,209.78
2033,CPV,209.78
2034,CPV,209.78
2035,CPV,209.78
2036,CPV,209.78
2037,CPV,209.78
