Nation,Year,population_gnrl_rural
nicaragua,1993,2056898
panama,1993,1145026
peru,1993,7001607
paraguay,1993,2239310
el_salvador,1993,2667438
suriname,1993,145837
trinidad_and_tobago,1993,563676
uruguay,1993,319680
argentina,1994,4142081
bahamas,1994,53128
belize,1994,107621
bolivia,1994,3090131
brazil,1994,36824174
barbados,1994,169732
chile,1994,2235024
colombia,1994,10252814
costa_rica,1994,1603063
dominican_republic,1994,3323049
ecuador,1994,4790971
guatemala,1994,5689267
guyana,1994,537101
honduras,1994,3193931
haiti,1994,5170564
jamaica,1994,1245112
mexico,1994,24355750
nicaragua,1994,2088801
panama,1994,1146091
peru,1994,7031155
paraguay,1994,2263616
el_salvador,1994,2630563
suriname,1994,147924
trinidad_and_tobago,1994,564073
uruguay,1994,312272
argentina,1995,4122261
bahamas,1995,53343
belize,1995,110879
bolivia,1995,3113723
brazil,1995,36276253
barbados,1995,171365
chile,1995,2222562
colombia,1995,10279222
costa_rica,1995,1611050
dominican_republic,1995,3315513
ecuador,1995,4837991
guatemala,1995,5796192
guyana,1995,539478
honduras,1995,3257504
haiti,1995,5220573
jamaica,1995,1251270
mexico,1995,24411767
nicaragua,1995,2119675
panama,1995,1146797
peru,1995,7058665
paraguay,1995,2286624
el_salvador,1995,2589832
suriname,1995,149893
trinidad_and_tobago,1995,563888
uruguay,1995,304951
argentina,1996,4100563
bahamas,1996,53445
belize,1996,114919
bolivia,1996,3136445
brazil,1996,35718093
barbados,1996,173019
chile,1996,2208381
colombia,1996,10298708
costa_rica,1996,1617599
dominican_republic,1996,3305090
ecuador,1996,4882913
guatemala,1996,5901846
guyana,1996,539803
honduras,1996,3322677
haiti,1996,5268724
jamaica,1996,1257439
mexico,1996,24525616
nicaragua,1996,2153289
panama,1996,1147094
peru,1996,7085287
paraguay,1996,2308235
el_salvador,1996,2545225
suriname,1996,151718
trinidad_and_tobago,1996,563079
uruguay,1996,297622
argentina,1997,4077784
bahamas,1997,53461
belize,1997,119643
bolivia,1997,3158153
brazil,1997,35033639
barbados,1997,174705
chile,1997,2192501
colombia,1997,10312933
costa_rica,1997,1622690
dominican_republic,1997,3292293
ecuador,1997,4925793
guatemala,1997,6006636
guyana,1997,538473
honduras,1997,3388979
haiti,1997,5316979
jamaica,1997,1263663
mexico,1997,24666035
nicaragua,1997,2185142
panama,1997,1147070
peru,1997,7109994
paraguay,1997,2328413
el_salvador,1997,2497509
suriname,1997,153403
trinidad_and_tobago,1997,561812
uruguay,1997,289507
argentina,1998,4053892
bahamas,1998,53438
belize,1998,124810
bolivia,1998,3178869
brazil,1998,34328880
barbados,1998,176405
chile,1998,2175216
colombia,1998,10320765
costa_rica,1998,1625631
dominican_republic,1998,3276981
ecuador,1998,4965866
guatemala,1998,6113085
guyana,1998,536154
honduras,1998,3455621
haiti,1998,5363489
jamaica,1998,1269608
mexico,1998,24795976
nicaragua,1998,2215387
panama,1998,1146521
peru,1998,7128838
paraguay,1998,2346848
el_salvador,1998,2446656
suriname,1998,154979
trinidad_and_tobago,1998,560333
uruguay,1998,281385
argentina,1999,4028898
bahamas,1999,53448
belize,1999,130047
bolivia,1999,3198457
brazil,1999,33609034
barbados,1999,178089
chile,1999,2156453
colombia,1999,10323159
costa_rica,1999,1625779
dominican_republic,1999,3259472
ecuador,1999,5002225
guatemala,1999,6221658
guyana,1999,533904
honduras,1999,3521497
haiti,1999,5408061
jamaica,1999,1274900
mexico,1999,24916145
nicaragua,1999,2244171
panama,1999,1145366
peru,1999,7137368
paraguay,1999,2363369
el_salvador,1999,2433964
suriname,1999,156502
trinidad_and_tobago,1999,559022
uruguay,1999,273141
argentina,2000,4003431
bahamas,2000,53627
belize,2000,135036
bolivia,2000,3216873
brazil,2000,32874566
barbados,2000,179666
chile,2000,2136729
colombia,2000,10320831
costa_rica,2000,1622510
dominican_republic,2000,3240024
ecuador,2000,5034532
guatemala,2000,6335890
guyana,2000,532454
honduras,2000,3585869
haiti,2000,5450688
jamaica,2000,1279192
mexico,2000,24999902
nicaragua,2000,2271811
panama,2000,1145526
peru,2000,7133071
paraguay,2000,2377821
el_salvador,2000,2419232
suriname,2000,158029
trinidad_and_tobago,2000,558753
uruguay,2000,264649
argentina,2001,3977683
bahamas,2001,54322
belize,2001,139315
bolivia,2001,3234237
brazil,2001,32687355
barbados,2001,180856
chile,2001,2115932
colombia,2001,10313978
costa_rica,2001,1597089
dominican_republic,2001,3218885
ecuador,2001,5062675
guatemala,2001,6450058
guyana,2001,532032
honduras,2001,3648463
haiti,2001,5401942
jamaica,2001,1282441
mexico,2001,25029403
nicaragua,2001,2298178
panama,2001,1158708
peru,2001,7115747
paraguay,2001,2390360
el_salvador,2001,2402569
suriname,2001,159571
trinidad_and_tobago,2001,563101
uruguay,2001,255961
argentina,2002,3952814
bahamas,2002,55095
belize,2002,143357
bolivia,2002,3253816
brazil,2002,32532199
barbados,2002,182014
chile,2002,2100770
colombia,2002,10301817
costa_rica,2002,1568479
dominican_republic,2002,3195870
ecuador,2002,5110442
guatemala,2002,6559052
guyana,2002,532390
honduras,2002,3699535
haiti,2002,5345720
jamaica,2002,1285805
mexico,2002,25050041
nicaragua,2002,2323434
panama,2002,1171689
peru,2002,7086902
paraguay,2002,2400869
el_salvador,2002,2384020
suriname,2002,161107
trinidad_and_tobago,2002,567975
uruguay,2002,247158
argentina,2003,3928382
bahamas,2003,55942
belize,2003,147250
bolivia,2003,3273066
brazil,2003,32356591
barbados,2003,183159
chile,2003,2113550
colombia,2003,10283437
costa_rica,2003,1537368
dominican_republic,2003,3132569
ecuador,2003,5171926
guatemala,2003,6664799
guyana,2003,534214
honduras,2003,3747377
haiti,2003,5282659
jamaica,2003,1288689
mexico,2003,25067242
nicaragua,2003,2347952
panama,2003,1184430
peru,2003,7048619
paraguay,2003,2423478
el_salvador,2003,2364003
suriname,2003,162659
trinidad_and_tobago,2003,573201
uruguay,2003,238372
argentina,2004,3903085
bahamas,2004,56839
belize,2004,151171
bolivia,2004,3291065
brazil,2004,32162492
barbados,2004,184337
chile,2004,2125987
colombia,2004,10258117
costa_rica,2004,1504662
dominican_republic,2004,3051041
ecuador,2004,5232706
guatemala,2004,6770216
guyana,2004,536453
honduras,2004,3792452
haiti,2004,5276348
jamaica,2004,1290976
mexico,2004,25086719
nicaragua,2004,2372264
panama,2004,1197009
peru,2004,7004398
paraguay,2004,2446660
el_salvador,2004,2342836
suriname,2004,164212
trinidad_and_tobago,2004,578552
uruguay,2004,229913
argentina,2005,3877235
bahamas,2005,57764
belize,2005,155200
bolivia,2005,3307933
brazil,2005,31950579
barbados,2005,185573
chile,2005,2138869
colombia,2005,10225219
costa_rica,2005,1471127
dominican_republic,2005,2968436
ecuador,2005,5293775
guatemala,2005,6873859
guyana,2005,538560
honduras,2005,3835035
haiti,2005,5274601
jamaica,2005,1292978
mexico,2005,25114751
nicaragua,2005,2396559
panama,2005,1209470
peru,2005,6957060
paraguay,2005,2467494
el_salvador,2005,2321110
suriname,2005,166410
trinidad_and_tobago,2005,583851
uruguay,2005,221929
argentina,2006,3850407
bahamas,2006,58725
belize,2006,159373
bolivia,2006,3323358
brazil,2006,31719370
barbados,2006,186890
chile,2006,2151926
colombia,2006,10185476
costa_rica,2006,1436813
dominican_republic,2006,2884525
ecuador,2006,5355639
guatemala,2006,6975316
guyana,2006,540480
honduras,2006,3874786
haiti,2006,5270084
jamaica,2006,1294629
mexico,2006,25151866
nicaragua,2006,2418774
panama,2006,1221816
peru,2006,6907204
paraguay,2006,2485914
el_salvador,2006,2298801
suriname,2006,168691
trinidad_and_tobago,2006,589027
uruguay,2006,214388
argentina,2007,3823185
bahamas,2007,59710
belize,2007,163632
bolivia,2007,3337615
brazil,2007,31470391
barbados,2007,188259
chile,2007,2165456
colombia,2007,10140104
costa_rica,2007,1401816
dominican_republic,2007,2799789
ecuador,2007,5417822
guatemala,2007,7074355
guyana,2007,542367
honduras,2007,3911678
haiti,2007,5262884
jamaica,2007,1295974
mexico,2007,25196552
nicaragua,2007,2441293
panama,2007,1234065
peru,2007,6855748
paraguay,2007,2502185
el_salvador,2007,2272948
suriname,2007,171005
trinidad_and_tobago,2007,594167
uruguay,2007,207268
argentina,2008,3795591
bahamas,2008,60683
belize,2008,167948
bolivia,2008,3350500
brazil,2008,31206854
barbados,2008,189646
chile,2008,2178923
colombia,2008,10088363
costa_rica,2008,1366161
dominican_republic,2008,2714468
ecuador,2008,5479973
guatemala,2008,7170952
guyana,2008,544390
honduras,2008,3945305
haiti,2008,5252460
jamaica,2008,1297157
mexico,2008,25241502
nicaragua,2008,2463917
panama,2008,1246142
peru,2008,6840104
paraguay,2008,2516926
el_salvador,2008,2227180
suriname,2008,173344
trinidad_and_tobago,2008,599362
uruguay,2008,200480
argentina,2009,3768542
bahamas,2009,61582
belize,2009,172289
bolivia,2009,3362410
brazil,2009,30936530
barbados,2009,190975
chile,2009,2192333
colombia,2009,10029829
costa_rica,2009,1330227
dominican_republic,2009,2629580
ecuador,2009,5541143
guatemala,2009,7265538
guyana,2009,546813
honduras,2009,3975542
haiti,2009,5239211
jamaica,2009,1298471
mexico,2009,25281881
nicaragua,2009,2486611
panama,2009,1258058
peru,2009,6840848
paraguay,2009,2531111
el_salvador,2009,2181665
suriname,2009,175703
trinidad_and_tobago,2009,604810
uruguay,2009,193979
argentina,2010,3732551
bahamas,2010,62372
belize,2010,176620
bolivia,2010,3373314
brazil,2010,30658541
barbados,2010,192215
chile,2010,2205502
colombia,2010,9965273
costa_rica,2010,1293748
dominican_republic,2010,2544677
ecuador,2010,5600646
guatemala,2010,7357570
guyana,2010,549826
honduras,2010,4001949
haiti,2010,5222496
jamaica,2010,1300036
mexico,2010,25311523
nicaragua,2010,2509178
panama,2010,1269842
peru,2010,6841824
paraguay,2010,2545379
el_salvador,2010,2136405
suriname,2010,178082
trinidad_and_tobago,2010,610614
uruguay,2010,187648
argentina,2011,3717660
bahamas,2011,63013
belize,2011,180876
bolivia,2011,3383142
brazil,2011,30356009
barbados,2011,193280
chile,2011,2217617
colombia,2011,9892834
costa_rica,2011,1257048
dominican_republic,2011,2470281
ecuador,2011,5662950
guatemala,2011,7449391
guyana,2011,553493
honduras,2011,4024671
haiti,2011,5202472
jamaica,2011,1301906
mexico,2011,25324580
nicaragua,2011,2531634
panama,2011,1281070
peru,2011,6842874
paraguay,2011,2559941
el_salvador,2011,2091408
suriname,2011,180483
trinidad_and_tobago,2011,616834
uruguay,2011,181517
argentina,2012,3705497
bahamas,2012,63510
belize,2012,185069
bolivia,2012,3391943
brazil,2012,30046545
barbados,2012,194182
chile,2012,2229159
colombia,2012,9813667
costa_rica,2012,1221412
dominican_republic,2012,2403083
ecuador,2012,5727273
guatemala,2012,7538790
guyana,2012,555965
honduras,2012,4043671
haiti,2012,5179073
jamaica,2012,1303627
mexico,2012,25325353
nicaragua,2012,2554001
panama,2012,1291781
peru,2012,6844395
paraguay,2012,2574576
el_salvador,2012,2046849
suriname,2012,182898
trinidad_and_tobago,2012,623038
uruguay,2012,177767
argentina,2013,3693178
bahamas,2013,63900
belize,2013,189163
bolivia,2013,3405292
brazil,2013,29735220
barbados,2013,194943
chile,2013,2241070
colombia,2013,9735691
costa_rica,2013,1186950
dominican_republic,2013,2336313
ecuador,2013,5792130
guatemala,2013,7625643
guyana,2013,558830
honduras,2013,4059814
haiti,2013,5152492
jamaica,2013,1305001
mexico,2013,25311372
nicaragua,2013,2576243
panama,2013,1302057
peru,2013,6851291
paraguay,2013,2591283
el_salvador,2013,2002888
suriname,2013,185314
trinidad_and_tobago,2013,629068
uruguay,2013,174793
argentina,2014,3679390
bahamas,2014,64236
belize,2014,193167
bolivia,2014,3421053
brazil,2014,29416963
barbados,2014,195595
chile,2014,2254856
colombia,2014,9668302
costa_rica,2014,1153722
dominican_republic,2014,2269885
ecuador,2014,5860543
guatemala,2014,7709179
guyana,2014,561734
honduras,2014,4073534
haiti,2014,5122175
jamaica,2014,1305772
mexico,2014,25283003
nicaragua,2014,2598376
panama,2014,1311971
peru,2014,6868729
paraguay,2014,2608527
el_salvador,2014,1959420
suriname,2014,187622
trinidad_and_tobago,2014,634671
uruguay,2014,171892
argentina,2015,3664923
bahamas,2015,64564
belize,2015,197043
bolivia,2015,3435596
brazil,2015,29096331
barbados,2015,196165
chile,2015,2271326
colombia,2015,9616282
costa_rica,2015,1121685
dominican_republic,2015,2203774
ecuador,2015,5933924
guatemala,2015,7788224
guyana,2015,564516
honduras,2015,4085770
haiti,2015,5088189
jamaica,2015,1305788
mexico,2015,25242936
nicaragua,2015,2620292
panama,2015,1321665
peru,2015,6899489
paraguay,2015,2625332
el_salvador,2015,1916511
suriname,2015,189793
trinidad_and_tobago,2015,639684
uruguay,2015,169065
argentina,2016,3649821
bahamas,2016,64881
belize,2016,200795
bolivia,2016,3448768
brazil,2016,28776239
barbados,2016,196649
chile,2016,2290337
colombia,2016,9582980
costa_rica,2016,1090837
dominican_republic,2016,2138190
ecuador,2016,6013650
guatemala,2016,7863354
guyana,2016,567090
honduras,2016,4096485
haiti,2016,5051862
jamaica,2016,1304960
mexico,2016,25188375
nicaragua,2016,2641993
panama,2016,1331144
peru,2016,6946296
paraguay,2016,2641610
el_salvador,2016,1874996
suriname,2016,191834
trinidad_and_tobago,2016,644010
uruguay,2016,166276
argentina,2017,3634137
bahamas,2017,65183
belize,2017,204417
bolivia,2017,3460830
brazil,2017,28454528
barbados,2017,197042
chile,2017,2310651
colombia,2017,9563830
costa_rica,2017,1061270
dominican_republic,2017,2073500
ecuador,2017,6098119
guatemala,2017,7934314
guyana,2017,569490
honduras,2017,4105676
haiti,2017,5013889
jamaica,2017,1303340
mexico,2017,25121419
nicaragua,2017,2662543
panama,2017,1340242
peru,2017,7005789
paraguay,2017,2657551
el_salvador,2017,1834988
suriname,2017,193736
trinidad_and_tobago,2017,647670
uruguay,2017,163584
argentina,2018,3617403
bahamas,2018,65461
belize,2018,207915
bolivia,2018,3471222
brazil,2018,28133824
barbados,2018,197360
chile,2018,2329159
colombia,2018,9545848
costa_rica,2018,1032884
dominican_republic,2018,2011293
ecuador,2018,6180950
guatemala,2018,8001178
guyana,2018,571744
honduras,2018,4113430
haiti,2018,4974509
jamaica,2018,1300902
mexico,2018,25041298
nicaragua,2018,2681760
panama,2018,1348752
peru,2018,7067388
paraguay,2018,2672173
el_salvador,2018,1796330
suriname,2018,195489
trinidad_and_tobago,2018,650667
uruguay,2018,160943
argentina,2019,3599141
bahamas,2019,65698
belize,2019,211312
bolivia,2019,3480065
brazil,2019,27807884
barbados,2019,197590
chile,2019,2341902
colombia,2019,9512141
costa_rica,2019,1005676
dominican_republic,2019,1951483
ecuador,2019,6256948
guatemala,2019,8063081
guyana,2019,573860
honduras,2019,4119682
haiti,2019,4934129
jamaica,2019,1297684
mexico,2019,24948670
nicaragua,2019,2699365
panama,2019,1356355
peru,2019,7120116
paraguay,2019,2685486
el_salvador,2019,1758850
suriname,2019,197111
trinidad_and_tobago,2019,653026
uruguay,2019,158339
