Year,iso_code3,cost_enfu_fuel_coal_usd_per_tonne
2032,AZE,104.8891667
2033,AZE,104.8891667
2034,AZE,104.8891667
2035,AZE,104.8891667
2036,AZE,104.8891667
2037,AZE,104.8891667
2038,AZE,104.8891667
2039,AZE,104.8891667
2040,AZE,104.8891667
2041,AZE,104.8891667
2042,AZE,104.8891667
2043,AZE,104.8891667
2044,AZE,104.8891667
2045,AZE,104.8891667
2046,AZE,104.8891667
2047,AZE,104.8891667
2048,AZE,104.8891667
2049,AZE,104.8891667
2050,AZE,104.8891667
2021,BDI,104.8891667
2022,BDI,104.8891667
2023,BDI,104.8891667
2024,BDI,104.8891667
2025,BDI,104.8891667
2026,BDI,104.8891667
2027,BDI,104.8891667
2028,BDI,104.8891667
2029,BDI,104.8891667
2030,BDI,104.8891667
2031,BDI,104.8891667
2032,BDI,104.8891667
2033,BDI,104.8891667
2034,BDI,104.8891667
2035,BDI,104.8891667
2036,BDI,104.8891667
2037,BDI,104.8891667
2038,BDI,104.8891667
2039,BDI,104.8891667
2040,BDI,104.8891667
2041,BDI,104.8891667
2042,BDI,104.8891667
2043,BDI,104.8891667
2044,BDI,104.8891667
2045,BDI,104.8891667
2046,BDI,104.8891667
2047,BDI,104.8891667
2048,BDI,104.8891667
2049,BDI,104.8891667
2050,BDI,104.8891667
2021,BEL,243.85625
2022,BEL,243.85625
2023,BEL,243.85625
2024,BEL,243.85625
2025,BEL,243.85625
2026,BEL,243.85625
2027,BEL,243.85625
2028,BEL,243.85625
2029,BEL,243.85625
2030,BEL,243.85625
2031,BEL,243.85625
2032,BEL,243.85625
2033,BEL,243.85625
2034,BEL,243.85625
2035,BEL,243.85625
2036,BEL,243.85625
2037,BEL,243.85625
2038,BEL,243.85625
2039,BEL,243.85625
2040,BEL,243.85625
2041,BEL,243.85625
2042,BEL,243.85625
2043,BEL,243.85625
2044,BEL,243.85625
2045,BEL,243.85625
2046,BEL,243.85625
2047,BEL,243.85625
2048,BEL,243.85625
2049,BEL,243.85625
2050,BEL,243.85625
2021,BEN,104.8891667
2022,BEN,104.8891667
2023,BEN,104.8891667
2024,BEN,104.8891667
2025,BEN,104.8891667
2026,BEN,104.8891667
2027,BEN,104.8891667
2028,BEN,104.8891667
2029,BEN,104.8891667
2030,BEN,104.8891667
2031,BEN,104.8891667
2032,BEN,104.8891667
2033,BEN,104.8891667
2034,BEN,104.8891667
2035,BEN,104.8891667
2036,BEN,104.8891667
2037,BEN,104.8891667
2038,BEN,104.8891667
2039,BEN,104.8891667
2040,BEN,104.8891667
2041,BEN,104.8891667
2042,BEN,104.8891667
2043,BEN,104.8891667
2044,BEN,104.8891667
2045,BEN,104.8891667
2046,BEN,104.8891667
2047,BEN,104.8891667
2048,BEN,104.8891667
2049,BEN,104.8891667
2050,BEN,104.8891667
2021,BFA,104.8891667
2022,BFA,104.8891667
2023,BFA,104.8891667
2024,BFA,104.8891667
2025,BFA,104.8891667
2026,BFA,104.8891667
2027,BFA,104.8891667
2028,BFA,104.8891667
2029,BFA,104.8891667
2030,BFA,104.8891667
2031,BFA,104.8891667
2032,BFA,104.8891667
2033,BFA,104.8891667
2034,BFA,104.8891667
2035,BFA,104.8891667
2036,BFA,104.8891667
2037,BFA,104.8891667
2038,BFA,104.8891667
2039,BFA,104.8891667
2040,BFA,104.8891667
2041,BFA,104.8891667
2042,BFA,104.8891667
2043,BFA,104.8891667
2044,BFA,104.8891667
2045,BFA,104.8891667
2046,BFA,104.8891667
2047,BFA,104.8891667
2048,BFA,104.8891667
2049,BFA,104.8891667
2050,BFA,104.8891667
2021,BGD,104.8891667
2022,BGD,104.8891667
2023,BGD,104.8891667
2024,BGD,104.8891667
2025,BGD,104.8891667
2026,BGD,104.8891667
2027,BGD,104.8891667
2028,BGD,104.8891667
2029,BGD,104.8891667
2030,BGD,104.8891667
2031,BGD,104.8891667
2032,BGD,104.8891667
2033,BGD,104.8891667
2034,BGD,104.8891667
2035,BGD,104.8891667
2036,BGD,104.8891667
2037,BGD,104.8891667
2038,BGD,104.8891667
2039,BGD,104.8891667
2040,BGD,104.8891667
2041,BGD,104.8891667
2042,BGD,104.8891667
2043,BGD,104.8891667
2044,BGD,104.8891667
2045,BGD,104.8891667
2046,BGD,104.8891667
2047,BGD,104.8891667
2048,BGD,104.8891667
2049,BGD,104.8891667
2050,BGD,104.8891667
2021,BGR,104.8891667
2022,BGR,104.8891667
2023,BGR,104.8891667
2024,BGR,104.8891667
2025,BGR,104.8891667
2026,BGR,104.8891667
2027,BGR,104.8891667
2028,BGR,104.8891667
2029,BGR,104.8891667
2030,BGR,104.8891667
2031,BGR,104.8891667
2032,BGR,104.8891667
2033,BGR,104.8891667
2034,BGR,104.8891667
2035,BGR,104.8891667
2036,BGR,104.8891667
2037,BGR,104.8891667
2038,BGR,104.8891667
2039,BGR,104.8891667
2040,BGR,104.8891667
2041,BGR,104.8891667
2042,BGR,104.8891667
2043,BGR,104.8891667
2044,BGR,104.8891667
2045,BGR,104.8891667
2046,BGR,104.8891667
2047,BGR,104.8891667
2048,BGR,104.8891667
2049,BGR,104.8891667
2050,BGR,104.8891667
2021,BHR,104.8891667
2022,BHR,104.8891667
2023,BHR,104.8891667
2024,BHR,104.8891667
2025,BHR,104.8891667
2026,BHR,104.8891667
2027,BHR,104.8891667
2028,BHR,104.8891667
2029,BHR,104.8891667
2030,BHR,104.8891667
2031,BHR,104.8891667
2032,BHR,104.8891667
2033,BHR,104.8891667
2034,BHR,104.8891667
2035,BHR,104.8891667
2036,BHR,104.8891667
2037,BHR,104.8891667
2038,BHR,104.8891667
2039,BHR,104.8891667
2040,BHR,104.8891667
2041,BHR,104.8891667
2042,BHR,104.8891667
2043,BHR,104.8891667
2044,BHR,104.8891667
2045,BHR,104.8891667
2046,BHR,104.8891667
2047,BHR,104.8891667
2048,BHR,104.8891667
2049,BHR,104.8891667
2050,BHR,104.8891667
2021,BHS,104.8891667
2022,BHS,104.8891667
2023,BHS,104.8891667
2024,BHS,104.8891667
2025,BHS,104.8891667
2026,BHS,104.8891667
2027,BHS,104.8891667
2028,BHS,104.8891667
2029,BHS,104.8891667
2030,BHS,104.8891667
2031,BHS,104.8891667
2032,BHS,104.8891667
2033,BHS,104.8891667
2034,BHS,104.8891667
2035,BHS,104.8891667
2036,BHS,104.8891667
2037,BHS,104.8891667
2038,BHS,104.8891667
2039,BHS,104.8891667
2040,BHS,104.8891667
2041,BHS,104.8891667
2042,BHS,104.8891667
2043,BHS,104.8891667
2044,BHS,104.8891667
2045,BHS,104.8891667
2046,BHS,104.8891667
2047,BHS,104.8891667
2048,BHS,104.8891667
2049,BHS,104.8891667
2050,BHS,104.8891667
2021,BIH,104.8891667
2022,BIH,104.8891667
2023,BIH,104.8891667
2024,BIH,104.8891667
2025,BIH,104.8891667
2026,BIH,104.8891667
2027,BIH,104.8891667
2028,BIH,104.8891667
2029,BIH,104.8891667
2030,BIH,104.8891667
2031,BIH,104.8891667
2032,BIH,104.8891667
2033,BIH,104.8891667
2034,BIH,104.8891667
2035,BIH,104.8891667
2036,BIH,104.8891667
2037,BIH,104.8891667
2038,BIH,104.8891667
2039,BIH,104.8891667
2040,BIH,104.8891667
2041,BIH,104.8891667
2042,BIH,104.8891667
2043,BIH,104.8891667
2044,BIH,104.8891667
2045,BIH,104.8891667
2046,BIH,104.8891667
2047,BIH,104.8891667
2048,BIH,104.8891667
2049,BIH,104.8891667
2050,BIH,104.8891667
2021,BLR,104.8891667
2022,BLR,104.8891667
2023,BLR,104.8891667
2024,BLR,104.8891667
2025,BLR,104.8891667
2026,BLR,104.8891667
2027,BLR,104.8891667
2028,BLR,104.8891667
2029,BLR,104.8891667
2030,BLR,104.8891667
2031,BLR,104.8891667
2032,BLR,104.8891667
2033,BLR,104.8891667
2034,BLR,104.8891667
2035,BLR,104.8891667
2036,BLR,104.8891667
2037,BLR,104.8891667
2038,BLR,104.8891667
2039,BLR,104.8891667
2040,BLR,104.8891667
2041,BLR,104.8891667
2042,BLR,104.8891667
2043,BLR,104.8891667
2044,BLR,104.8891667
2045,BLR,104.8891667
2046,BLR,104.8891667
2047,BLR,104.8891667
2048,BLR,104.8891667
2049,BLR,104.8891667
2050,BLR,104.8891667
2021,BLZ,104.8891667
2022,BLZ,104.8891667
2023,BLZ,104.8891667
2024,BLZ,104.8891667
2025,BLZ,104.8891667
2026,BLZ,104.8891667
2027,BLZ,104.8891667
2028,BLZ,104.8891667
2029,BLZ,104.8891667
2030,BLZ,104.8891667
2031,BLZ,104.8891667
2032,BLZ,104.8891667
2033,BLZ,104.8891667
2034,BLZ,104.8891667
2035,BLZ,104.8891667
2036,BLZ,104.8891667
2037,BLZ,104.8891667
2038,BLZ,104.8891667
2039,BLZ,104.8891667
2040,BLZ,104.8891667
2041,BLZ,104.8891667
2042,BLZ,104.8891667
2043,BLZ,104.8891667
2044,BLZ,104.8891667
2045,BLZ,104.8891667
2046,BLZ,104.8891667
2047,BLZ,104.8891667
2048,BLZ,104.8891667
2049,BLZ,104.8891667
2050,BLZ,104.8891667
2021,BMU,104.8891667
2022,BMU,104.8891667
2023,BMU,104.8891667
2024,BMU,104.8891667
2025,BMU,104.8891667
2026,BMU,104.8891667
2027,BMU,104.8891667
2028,BMU,104.8891667
2029,BMU,104.8891667
2030,BMU,104.8891667
2031,BMU,104.8891667
2032,BMU,104.8891667
2033,BMU,104.8891667
2034,BMU,104.8891667
2035,BMU,104.8891667
2036,BMU,104.8891667
2037,BMU,104.8891667
2038,BMU,104.8891667
2039,BMU,104.8891667
2040,BMU,104.8891667
2041,BMU,104.8891667
2042,BMU,104.8891667
2043,BMU,104.8891667
2044,BMU,104.8891667
2045,BMU,104.8891667
2046,BMU,104.8891667
2047,BMU,104.8891667
2048,BMU,104.8891667
2049,BMU,104.8891667
2050,BMU,104.8891667
2021,BOL,104.8891667
2022,BOL,104.8891667
2023,BOL,104.8891667
2024,BOL,104.8891667
2025,BOL,104.8891667
2026,BOL,104.8891667
2027,BOL,104.8891667
2028,BOL,104.8891667
2029,BOL,104.8891667
2030,BOL,104.8891667
2031,BOL,104.8891667
2032,BOL,104.8891667
2033,BOL,104.8891667
2034,BOL,104.8891667
2035,BOL,104.8891667
2036,BOL,104.8891667
2037,BOL,104.8891667
2038,BOL,104.8891667
2039,BOL,104.8891667
2040,BOL,104.8891667
2041,BOL,104.8891667
2042,BOL,104.8891667
2043,BOL,104.8891667
2044,BOL,104.8891667
2045,BOL,104.8891667
2046,BOL,104.8891667
2047,BOL,104.8891667
2048,BOL,104.8891667
2049,BOL,104.8891667
2050,BOL,104.8891667
2021,BRA,104.8891667
2022,BRA,104.8891667
2023,BRA,104.8891667
2024,BRA,104.8891667
2025,BRA,104.8891667
2026,BRA,104.8891667
2027,BRA,104.8891667
2028,BRA,104.8891667
2029,BRA,104.8891667
2030,BRA,104.8891667
2031,BRA,104.8891667
2032,BRA,104.8891667
2033,BRA,104.8891667
2034,BRA,104.8891667
2035,BRA,104.8891667
2036,BRA,104.8891667
2037,BRA,104.8891667
2038,BRA,104.8891667
2039,BRA,104.8891667
2040,BRA,104.8891667
2041,BRA,104.8891667
2042,BRA,104.8891667
2043,BRA,104.8891667
2044,BRA,104.8891667
2045,BRA,104.8891667
2046,BRA,104.8891667
2047,BRA,104.8891667
2048,BRA,104.8891667
2049,BRA,104.8891667
2050,BRA,104.8891667
2021,BRB,104.8891667
2022,BRB,104.8891667
2023,BRB,104.8891667
2024,BRB,104.8891667
2025,BRB,104.8891667
2026,BRB,104.8891667
2027,BRB,104.8891667
2028,BRB,104.8891667
2029,BRB,104.8891667
2030,BRB,104.8891667
2031,BRB,104.8891667
2032,BRB,104.8891667
2033,BRB,104.8891667
2034,BRB,104.8891667
2035,BRB,104.8891667
2036,BRB,104.8891667
2037,BRB,104.8891667
2038,BRB,104.8891667
2039,BRB,104.8891667
2040,BRB,104.8891667
2041,BRB,104.8891667
2042,BRB,104.8891667
2043,BRB,104.8891667
2044,BRB,104.8891667
2045,BRB,104.8891667
2046,BRB,104.8891667
2047,BRB,104.8891667
2048,BRB,104.8891667
2049,BRB,104.8891667
2050,BRB,104.8891667
2021,BRN,104.8891667
2022,BRN,104.8891667
2023,BRN,104.8891667
2024,BRN,104.8891667
2025,BRN,104.8891667
2026,BRN,104.8891667
2027,BRN,104.8891667
2028,BRN,104.8891667
2029,BRN,104.8891667
2030,BRN,104.8891667
2031,BRN,104.8891667
2032,BRN,104.8891667
2033,BRN,104.8891667
2034,BRN,104.8891667
2035,BRN,104.8891667
2036,BRN,104.8891667
2037,BRN,104.8891667
2038,BRN,104.8891667
2039,BRN,104.8891667
2040,BRN,104.8891667
2041,BRN,104.8891667
2042,BRN,104.8891667
2043,BRN,104.8891667
2044,BRN,104.8891667
2045,BRN,104.8891667
2046,BRN,104.8891667
2047,BRN,104.8891667
2048,BRN,104.8891667
2049,BRN,104.8891667
2050,BRN,104.8891667
2021,BTN,104.8891667
2022,BTN,104.8891667
2023,BTN,104.8891667
2024,BTN,104.8891667
2025,BTN,104.8891667
2026,BTN,104.8891667
2027,BTN,104.8891667
2028,BTN,104.8891667
2029,BTN,104.8891667
2030,BTN,104.8891667
2031,BTN,104.8891667
2032,BTN,104.8891667
2033,BTN,104.8891667
2034,BTN,104.8891667
2035,BTN,104.8891667
2036,BTN,104.8891667
2037,BTN,104.8891667
2038,BTN,104.8891667
2039,BTN,104.8891667
2040,BTN,104.8891667
2041,BTN,104.8891667
2042,BTN,104.8891667
2043,BTN,104.8891667
2044,BTN,104.8891667
2045,BTN,104.8891667
2046,BTN,104.8891667
2047,BTN,104.8891667
2048,BTN,104.8891667
2049,BTN,104.8891667
2050,BTN,104.8891667
2021,BWA,104.8891667
2022,BWA,104.8891667
2023,BWA,104.8891667
2024,BWA,104.8891667
2025,BWA,104.8891667
2026,BWA,104.8891667
2027,BWA,104.8891667
2028,BWA,104.8891667
2029,BWA,104.8891667
2030,BWA,104.8891667
2031,BWA,104.8891667
2032,BWA,104.8891667
2033,BWA,104.8891667
2034,BWA,104.8891667
2035,BWA,104.8891667
2036,BWA,104.8891667
2037,BWA,104.8891667
2038,BWA,104.8891667
2039,BWA,104.8891667
2040,BWA,104.8891667
2041,BWA,104.8891667
2042,BWA,104.8891667
2043,BWA,104.8891667
2044,BWA,104.8891667
2045,BWA,104.8891667
2046,BWA,104.8891667
2047,BWA,104.8891667
2048,BWA,104.8891667
2049,BWA,104.8891667
2050,BWA,104.8891667
2021,CAF,104.8891667
2022,CAF,104.8891667
2023,CAF,104.8891667
2024,CAF,104.8891667
2025,CAF,104.8891667
2026,CAF,104.8891667
2027,CAF,104.8891667
2028,CAF,104.8891667
2029,CAF,104.8891667
2030,CAF,104.8891667
2031,CAF,104.8891667
2032,CAF,104.8891667
2033,CAF,104.8891667
2034,CAF,104.8891667
2035,CAF,104.8891667
2036,CAF,104.8891667
2037,CAF,104.8891667
2038,CAF,104.8891667
2039,CAF,104.8891667
2040,CAF,104.8891667
2041,CAF,104.8891667
2042,CAF,104.8891667
2043,CAF,104.8891667
2044,CAF,104.8891667
2045,CAF,104.8891667
2046,CAF,104.8891667
2047,CAF,104.8891667
2048,CAF,104.8891667
2049,CAF,104.8891667
2050,CAF,104.8891667
2021,CAN,25.815
2022,CAN,25.815
2023,CAN,25.815
2024,CAN,25.815
2025,CAN,25.815
2026,CAN,25.815
2027,CAN,25.815
2028,CAN,25.815
2029,CAN,25.815
2030,CAN,25.815
2031,CAN,25.815
2032,CAN,25.815
2033,CAN,25.815
2034,CAN,25.815
2035,CAN,25.815
2036,CAN,25.815
2037,CAN,25.815
2038,CAN,25.815
2039,CAN,25.815
2040,CAN,25.815
2041,CAN,25.815
2042,CAN,25.815
2043,CAN,25.815
2044,CAN,25.815
2045,CAN,25.815
2046,CAN,25.815
2047,CAN,25.815
2048,CAN,25.815
2049,CAN,25.815
2050,CAN,25.815
2021,CHE,92.31375
2022,CHE,92.31375
2023,CHE,92.31375
2024,CHE,92.31375
2025,CHE,92.31375
2026,CHE,92.31375
2027,CHE,92.31375
2028,CHE,92.31375
2029,CHE,92.31375
2030,CHE,92.31375
2031,CHE,92.31375
2032,CHE,92.31375
2033,CHE,92.31375
2034,CHE,92.31375
2035,CHE,92.31375
2036,CHE,92.31375
2037,CHE,92.31375
2038,CHE,92.31375
2039,CHE,92.31375
2040,CHE,92.31375
2041,CHE,92.31375
2042,CHE,92.31375
2043,CHE,92.31375
2044,CHE,92.31375
2045,CHE,92.31375
2046,CHE,92.31375
2047,CHE,92.31375
2048,CHE,92.31375
2049,CHE,92.31375
2050,CHE,92.31375
2021,CHL,182.925625
2022,CHL,182.925625
2023,CHL,182.925625
2024,CHL,182.925625
2025,CHL,182.925625
2026,CHL,182.925625
2027,CHL,182.925625
2028,CHL,182.925625
2029,CHL,182.925625
2030,CHL,182.925625
2031,CHL,182.925625
2032,CHL,182.925625
2033,CHL,182.925625
2034,CHL,182.925625
2035,CHL,182.925625
2036,CHL,182.925625
2037,CHL,182.925625
2038,CHL,182.925625
2039,CHL,182.925625
2040,CHL,182.925625
2041,CHL,182.925625
2042,CHL,182.925625
2043,CHL,182.925625
2044,CHL,182.925625
2045,CHL,182.925625
2046,CHL,182.925625
2047,CHL,182.925625
2048,CHL,182.925625
2049,CHL,182.925625
2050,CHL,182.925625
2021,CHN,104.8891667
2022,CHN,104.8891667
2023,CHN,104.8891667
2024,CHN,104.8891667
2025,CHN,104.8891667
2026,CHN,104.8891667
2027,CHN,104.8891667
2028,CHN,104.8891667
2029,CHN,104.8891667
2030,CHN,104.8891667
2031,CHN,104.8891667
2032,CHN,104.8891667
2033,CHN,104.8891667
2034,CHN,104.8891667
2035,CHN,104.8891667
2036,CHN,104.8891667
2037,CHN,104.8891667
2038,CHN,104.8891667
2039,CHN,104.8891667
2040,CHN,104.8891667
2041,CHN,104.8891667
2042,CHN,104.8891667
2043,CHN,104.8891667
2044,CHN,104.8891667
2045,CHN,104.8891667
2046,CHN,104.8891667
2047,CHN,104.8891667
2048,CHN,104.8891667
2049,CHN,104.8891667
2050,CHN,104.8891667
2021,CIV,104.8891667
2022,CIV,104.8891667
2023,CIV,104.8891667
2024,CIV,104.8891667
2025,CIV,104.8891667
