Year,prodinit_ippu_metals_tonne,iso_code3
2029,817.738655214665,"ASM"
2030,781.367689656203,"ASM"
2031,746.614413474683,"ASM"
2032,713.40687590168,"ASM"
2033,681.676326358589,"ASM"
2034,651.357072120206,"ASM"
2035,622.386342309072,"ASM"
2036,594.704157939009,"ASM"
2037,568.253207738794,"ASM"
2038,542.978729498889,"ASM"
2039,518.828396695559,"ASM"
2040,495.752210157683,"ASM"
2041,473.702394551934,"ASM"
2042,452.633299472057,"ASM"
2043,432.501304927432,"ASM"
2044,413.264731035281,"ASM"
2045,394.883751729532,"ASM"
2046,377.320312307703,"ASM"
2047,360.538050645084,"ASM"
2048,344.502221913122,"ASM"
2049,329.179626646146,"ASM"
2050,314.538542007495,"ASM"
2021,13050.9,"ATG"
2022,14997.436877455,"ATG"
2023,17234.2990056814,"ATG"
2024,19804.7882877727,"ATG"
2025,22758.6650895518,"ATG"
2026,26153.1115168833,"ATG"
2027,30053.8383654384,"ATG"
2028,34536.3571716049,"ATG"
2029,39687.4419893176,"ATG"
2030,45606.8091903584,"ATG"
2031,52409.047806246,"ATG"
2032,60225.8377799,"ATG"
2033,69208.4990687152,"ATG"
2034,79530.9209454107,"ATG"
2035,91392.92820301,"ATG"
2036,105024.149428041,"ATG"
2037,120688.462225245,"ATG"
2038,138689.101445895,"ATG"
2039,159374.529306466,"ATG"
2040,183145.181033326,"ATG"
2041,210461.21661781,"ATG"
2042,241851.428742691,"ATG"
2043,277923.479322562,"ATG"
2044,319375.662820403,"ATG"
2045,367010.424058445,"ATG"
2046,421749.892205482,"ATG"
2047,484653.73165262,"ATG"
2048,556939.655340489,"ATG"
2049,640006.997641583,"ATG"
2050,735463.80312922,"ATG"
2021,20703970,"AUS"
2022,20253439.5982862,"AUS"
2023,19812712.9995565,"AUS"
2024,19381576.8673688,"AUS"
2025,18959822.5076058,"AUS"
2026,18547245.7674553,"AUS"
2027,18143646.9365887,"AUS"
2028,17748830.6504903,"AUS"
2029,17362605.7958892,"AUS"
2030,16984785.4182505,"AUS"
2031,16615186.6312784,"AUS"
2032,16253630.5283889,"AUS"
2033,15899942.0961094,"AUS"
2034,15553950.1293617,"AUS"
2035,15215487.1485895,"AUS"
2036,14884389.318689,"AUS"
2037,14560496.3697032,"AUS"
2038,14243651.5192424,"AUS"
2039,13933701.3965927,"AUS"
2040,13630495.9684759,"AUS"
2041,13333888.4664251,"AUS"
2042,13043735.3157402,"AUS"
2043,12759896.0659901,"AUS"
2044,12482233.3230265,"AUS"
2045,12210612.6824774,"AUS"
2046,11944902.6646882,"AUS"
2047,11684974.6510775,"AUS"
2048,11430702.8218793,"AUS"
2049,11181964.0952383,"AUS"
2050,10938638.0676322,"AUS"
2021,16371390,"AUT"
2022,16642279.828385,"AUT"
2023,16917651.9456362,"AUT"
2024,17197580.5181172,"AUT"
2025,17482140.939388,"AUT"
2026,17771409.8505112,"AUT"
2027,18065465.1606934,"AUT"
2028,18364386.068269,"AUT"
2029,18668253.0820308,"AUT"
2030,18977148.042913,"AUT"
2031,19291154.1460344,"AUT"
2032,19610355.9631048,"AUT"
2033,19934839.4652028,"AUT"
2034,20264692.0459312,"AUT"
2035,20600002.544954,"AUT"
2036,20940861.2719242,"AUT"
2037,21287360.0308069,"AUT"
2038,21639592.144605,"AUT"
2039,21997652.4804942,"AUT"
2040,22361637.4753733,"AUT"
2041,22731645.1618379,"AUT"
2042,23107775.1945839,"AUT"
2043,23490128.8772474,"AUT"
2044,23878809.1896886,"AUT"
2045,24273920.8157285,"AUT"
2046,24675570.1713423,"AUT"
2047,25083865.4333216,"AUT"
2048,25498916.5684094,"AUT"
2049,25920835.3629173,"AUT"
2050,26349735.4528336,"AUT"
2021,644986.3,"AZE"
2022,621627.833933101,"AZE"
2023,599115.305116339,"AZE"
2024,577418.077555505,"AZE"
2025,556506.624752563,"AZE"
2026,536352.489524749,"AZE"
2027,516928.245278846,"AZE"
2028,498207.458687925,"AZE"
2029,480164.653719761,"AZE"
2030,462775.276967979,"AZE"
2031,446015.664238753,"AZE"
2032,429863.008347571,"AZE"
2033,414295.328082267,"AZE"
2034,399291.438290058,"AZE"
2035,384830.921047906,"AZE"
2036,370894.097876947,"AZE"
2037,357462.002963191,"AZE"
2038,344516.357348049,"AZE"
2039,332039.544053556,"AZE"
2040,320014.584108447,"AZE"
2041,308425.113442466,"AZE"
2042,297255.360617444,"AZE"
2043,286490.125364871,"AZE"
2044,276114.757900729,"AZE"
2045,266115.138989453,"AZE"
2046,256477.660729878,"AZE"
2047,247189.208037043,"AZE"
2048,238237.140794628,"AZE"
2049,229609.276653751,"AZE"
2050,221293.874454725,"AZE"
2021,99858.63,"BDI"
2022,111090.472684844,"BDI"
2023,123585.644238682,"BDI"
2024,137486.240653774,"BDI"
2025,152950.340515287,"BDI"
2026,170153.802682363,"BDI"
2027,189292.266167756,"BDI"
2028,210583.374958793,"BDI"
2029,234269.253080502,"BDI"
2030,260619.258047486,"BDI"
2031,289933.044017013,"BDI"
2032,322543.969477708,"BDI"
2033,358822.888226332,"BDI"
2034,399182.366743909,"BDI"
2035,444081.375931512,"BDI"
2036,494030.510560457,"BDI"
2037,549597.795792874,"BDI"
2038,611415.146804828,"BDI"
2039,680185.554971282,"BDI"
2040,756691.082334726,"BDI"
2041,841801.755271139,"BDI"
2042,936485.458492697,"BDI"
2043,1041818.94190254,"BDI"
2044,1159000.06547233,"BDI"
2045,1289361.42139229,"BDI"
2046,1434385.48840568,"BDI"
2047,1595721.49066404,"BDI"
2048,1775204.15282317,"BDI"
2049,1974874.56466432,"BDI"
2050,2197003.39251435,"BDI"
2021,13533460,"BEL"
2022,13415807.1537527,"BEL"
2023,13299177.1200182,"BEL"
2024,13183561.0069978,"BEL"
2025,13068950.0001933,"BEL"
2026,12955335.3617353,"BEL"
2027,12842708.4297167,"BEL"
2028,12731060.6175326,"BEL"
2029,12620383.4132257,"BEL"
2030,12510668.378837,"BEL"
2031,12401907.1497628,"BEL"
2032,12294091.434117,"BEL"
2033,12187213.0120986,"BEL"
2034,12081263.7353656,"BEL"
2035,11976235.5264131,"BEL"
2036,11872120.377958,"BEL"
2037,11768910.3523284,"BEL"
2038,11666597.5808583,"BEL"
2039,11565174.2632876,"BEL"
2040,11464632.6671679,"BEL"
2041,11364965.1272726,"BEL"
2042,11266164.0450124,"BEL"
2043,11168221.8878564,"BEL"
2044,11071131.1887574,"BEL"
2045,10974884.545583,"BEL"
2046,10879474.620551,"BEL"
2047,10784894.1396701,"BEL"
2048,10691135.8921851,"BEL"
2049,10598192.7300276,"BEL"
2050,10506057.5672706,"BEL"
2021,253393.9,"BEN"
2022,251554.233603622,"BEN"
2023,249727.923378999,"BEN"
2024,247914.872358917,"BEN"
2025,246114.984280156,"BEN"
2026,244328.163578374,"BEN"
2027,242554.315383039,"BEN"
2028,240793.345512389,"BEN"
2029,239045.16046843,"BEN"
2030,237309.667431974,"BEN"
2031,235586.774257709,"BEN"
2032,233876.389469311,"BEN"
2033,232178.42225458,"BEN"
2034,230492.782460624,"BEN"
2035,228819.38058907,"BEN"
2036,227158.127791312,"BEN"
2037,225508.935863797,"BEN"
2038,223871.717243335,"BEN"
2039,222246.385002456,"BEN"
2040,220632.852844794,"BEN"
2041,219031.035100501,"BEN"
2042,217440.846721704,"BEN"
2043,215862.203277983,"BEN"
2044,214295.020951895,"BEN"
2045,212739.216534518,"BEN"
2046,211194.707421038,"BEN"
2047,209661.411606359,"BEN"
2048,208139.24768075,"BEN"
2049,206628.134825525,"BEN"
2050,205127.992808749,"BEN"
2021,133010.9,"BFA"
2022,143446.010043384,"BFA"
2023,154699.78623832,"BFA"
2024,166836.455436746,"BFA"
2025,179925.283282664,"BFA"
2026,194040.969520721,"BFA"
2027,209264.074317949,"BFA"
2028,225681.47803174,"BFA"
2029,243386.877048022,"BFA"
2030,262481.318519448,"BFA"
2031,283073.777055424,"BFA"
2032,305281.776655229,"BFA"
2033,329232.061433673,"BFA"
2034,355061.318967232,"BFA"
2035,382916.960388891,"BFA"
2036,412957.961683794,"BFA"
2037,445355.770987106,"BFA"
2038,480295.287062154,"BFA"
2039,517975.914543151,"BFA"
2040,558612.701964936,"BFA"
2041,602437.569074595,"BFA"
2042,649700.630429432,"BFA"
2043,700671.622835221,"BFA"
2044,755641.444771332,"BFA"
2045,814923.816588458,"BFA"
2046,878857.070953889,"BFA"
2047,947806.083762689,"BFA"
2048,1022164.35653471,"BFA"
2049,1102356.26218203,"BFA"
2050,1188839.46696361,"BFA"
2021,6874654,"BGD"
2022,7919517.58878111,"BGD"
2023,9123187.70355763,"BGD"
2024,10509801.0000323,"BGD"
2025,12107162.6112885,"BGD"
2026,13947303.7116243,"BGD"
2027,16067123.8232906,"BGD"
2028,18509130.7460236,"BGD"
2029,21322292.9468426,"BGD"
2030,24563021.5027059,"BGD"
2031,28296301.2864775,"BGD"
2032,32596994.0793687,"BGD"
2033,37551339.7405824,"BGD"
2034,43258685.5364411,"BGD"
2035,49833478.3064568,"BGD"
2036,57407559.414354,"BGD"
2037,66132808.5036676,"BGD"
2038,76184189.0719574,"BGD"
2039,87763256.9351697,"BGD"
2040,101102201.935805,"BGD"
2041,116468503.941451,"BGD"
2042,134170296.498317,"BGD"
2043,154562545.694721,"BGD"
2044,178054168.13648,"BGD"
2045,205116230.76778,"BGD"
2046,236291396.964839,"BGD"
2047,272204808.320637,"BGD"
2048,313576620.328249,"BGD"
2049,361236443.335199,"BGD"
2050,416139978.346814,"BGD"
2021,3483998,"BGR"
2022,3647139.6906964,"BGR"
2023,3817920.65421766,"BGR"
2024,3996698.60715385,"BGR"
2025,4183848.01653211,"BGR"
2026,4379760.88417263,"BGR"
2027,4584847.56777287,"BGR"
2028,4799537.64043989,"BGR"
2029,5024280.79047108,"BGR"
2030,5259547.76326811,"BGR"
2031,5505831.34735685,"BGR"
2032,5763647.40657877,"BGR"
2033,6033535.96061559,"BGR"
2034,6316062.31611073,"BGR"
2035,6611818.25075654,"BGR"
2036,6921423.25282765,"BGR"
2037,7245525.8187567,"BGR"
2038,7584804.81147035,"BGR"
2039,7939970.88233074,"BGR"
2040,8311767.95966076,"BGR"
2041,8700974.80697101,"BGR"
2042,9108406.65415233,"BGR"
2043,9534916.90505051,"BGR"
2044,9981398.9249999,"BGR"
2045,10448787.9120601,"BGR"
2046,10938062.8558751,"BGR"
2047,11450248.5882581,"BGR"
2048,11986417.9297969,"BGR"
2049,12547693.9369762,"BGR"
2050,13135252.2545238,"BGR"
2021,1417895,"BHR"
2022,1483551.99567652,"BHR"
2023,1552249.30187057,"BHR"
2024,1624127.70309337,"BHR"
2025,1699334.50301869,"BHR"
2026,1778023.82635903,"BHR"
2027,1860356.93472037,"BHR"
2028,1946502.55708289,"BHR"
2029,2036637.23558498,"BHR"
2030,2130945.68731902,"BHR"
2031,2229621.18288054,"BHR"
2032,2332865.94244641,"BHR"
2033,2440891.55019388,"BHR"
2034,2553919.3879096,"BHR"
2035,2672181.0886774,"BHR"
2036,2795919.01157448,"BHR"
2037,2925386.73834892,"BHR"
2038,3060849.59309621,"BHR"
2039,3202585.18600005,"BHR"
2040,3350883.98225145,"BHR"
2041,3506049.89731229,"BHR"
2042,3668400.91974307,"BHR"
2043,3838269.7628713,"BHR"
2044,4016004.54663607,"BHR"
2045,4201969.51100603,"BHR"
2046,4396545.76243296,"BHR"
2047,4600132.05487046,"BHR"
2048,4813145.60695862,"BHR"
2049,5036022.95704909,"BHR"
2050,5269220.85782299,"BHR"
2021,254947.6,"BHS"
2022,312362.266048613,"BHS"
2023,382706.819954472,"BHS"
2024,468893.096123428,"BHS"
2025,574488.679397901,"BHS"
2026,703864.581255143,"BHS"
2027,862376.172955598,"BHS"
2028,1056584.86516736,"BHS"
2029,1294529.71024769,"BHS"
2030,1586060.16985539,"BHS"
2031,1943243.82243833,"BHS"
2032,2380865.88719331,"BHS"
2033,2917041.24173573,"BHS"
2034,3573964.26726839,"BHS"
2035,4378827.56025444,"BHS"
2036,5364947.53964029,"BHS"
2037,6573143.54288479,"BHS"
2038,8053427.49693781,"BHS"
2039,9867074.10621518,"BHS"
2040,12089157.2506937,"BHS"
2041,14811657.5854988,"BHS"
2042,18147269.9776054,"BHS"
2043,22234068.3842515,"BHS"
2044,27241221.2705066,"BHS"
2045,33375994.1493355,"BHS"
2046,40892329.1064976,"BHS"
2047,50101356.4501539,"BHS"
2048,61384273.6032007,"BHS"
2049,75208124.3457237,"BHS"
2050,92145131.5717275,"BHS"
2021,1101864,"BIH"
2022,1121796.3988972,"BIH"
2023,1142089.36908614,"BIH"
2024,1162749.43319649,"BIH"
2025,1183783.23185038,"BIH"
2026,1205197.52579687,"BIH"
2027,1226999.19808502,"BIH"
2028,1249195.25627621,"BIH"
2029,1271792.83469659,"BIH"
2030,1294799.19673018,"BIH"
2031,1318221.7371535,"BIH"
2032,1342067.98451244,"BIH"
2033,1366345.60354207,"BIH"
2034,1391062.3976303,"BIH"
2035,1416226.31132607,"BIH"
2036,1441845.43289285,"BIH"
2037,1467927.9969085,"BIH"
2038,1494482.38691194,"BIH"
2039,1521517.1380979,"BIH"
2040,1549040.9400603,"BIH"
2041,1577062.63958527,"BIH"
2042,1605591.24349473,"BIH"
2043,1634635.92154138,"BIH"
2044,1664206.00935608,"BIH"
2045,1694311.01144854,"BIH"
2046,1724960.60426228,"BIH"
2047,1756164.63928486,"BIH"
2048,1787933.14621438,"BIH"
2049,1820276.33618327,"BIH"
2050,1853204.60504035,"BIH"
2021,1877230,"BLR"
2022,1972274.54986919,"BLR"
2023,2072131.22529563,"BLR"
2024,2177043.66520876,"BLR"
2025,2287267.84402827,"BLR"
2026,2403072.69621258,"BLR"
2027,2524740.77242831,"BLR"
2028,2652568.92894182,"BLR"
2029,2786869.05191464,"BLR"
2030,2927968.81837033,"BLR"
2031,3076212.49568906,"BLR"
2032,3231961.78158091,"BLR"
2033,3395596.68658711,"BLR"
2034,3567516.46126256,"BLR"
2035,3748140.57030174,"BLR"
2036,3937909.7159849,"BLR"
2037,4137286.91344142,"BLR"
2038,4346758.62035412,"BLR"
2039,4566835.92386066,"BLR"
2040,4798055.78754801,"BLR"
2041,5040982.3615825,"BLR"
2042,5296208.35917211,"BLR"
2043,5564356.50271924,"BLR"
2044,5846081.04319252,"BLR"
2045,6142069.35642481,"BLR"
2046,6453043.62023199,"BLR"
2047,6779762.57644471,"BLR"
2048,7123023.38215216,"BLR"
2049,7483663.55467464,"BLR"
2050,7862563.01501063,"BLR"
2021,30474.68,"BLZ"
2022,31042.9729998202,"BLZ"
2023,31621.8635492668,"BLZ"
2024,32211.5492718509,"BLZ"
2025,32812.2314763747,"BLZ"
2026,33424.1152256546,"BLZ"
2027,34047.4094065262,"BLZ"
2028,34682.3268011549,"BLZ"
2029,35329.0841596759,"BLZ"
2030,35987.9022741895,"BLZ"
2031,36659.0060541352,"BLZ"
2032,37342.6246030727,"BLZ"
2033,38038.9912968933,"BLZ"
2034,38748.3438634912,"BLZ"
2035,39470.9244639191,"BLZ"
2036,40206.9797750587,"BLZ"
2037,40956.7610738313,"BLZ"
2038,41720.5243229801,"BLZ"
2039,42498.5302584511,"BLZ"
2040,43291.0444784044,"BLZ"
2041,44098.3375338847,"BLZ"
2042,44920.6850211829,"BLZ"
2043,45758.3676759201,"BLZ"
2044,46611.6714688862,"BLZ"
2045,47480.887703665,"BLZ"
2046,48366.3131160809,"BLZ"
2047,49268.2499754994,"BLZ"
2048,50187.0061880165,"BLZ"
2049,51122.895401573,"BLZ"
2050,52076.2371130284,"BLZ"
2021,22774.93,"BMU"
2022,22743.6543137125,"BMU"
2023,22712.42157678,"BMU"
2024,22681.2317302223,"BMU"
2025,22650.08471514,"BMU"
2026,22618.9804727149,"BMU"
2027,22587.9189442093,"BMU"
2028,22556.9000709665,"BMU"
2029,22525.9237944099,"BMU"
2030,22494.9900560436,"BMU"
2031,22464.0987974522,"BMU"
2032,22433.2499603001,"BMU"
2033,22402.4434863322,"BMU"
2034,22371.6793173731,"BMU"
2035,22340.9573953275,"BMU"
2036,22310.2776621798,"BMU"
2037,22279.6400599941,"BMU"
2038,22249.0445309139,"BMU"
2039,22218.4910171624,"BMU"
2040,22187.979461042,"BMU"
2041,22157.5098049343,"BMU"
2042,22127.0819913002,"BMU"
2043,22096.6959626794,"BMU"
2044,22066.3516616906,"BMU"
2045,22036.0490310314,"BMU"
2046,22005.7880134779,"BMU"
2047,21975.5685518849,"BMU"
2048,21945.3905891857,"BMU"
2049,21915.2540683918,"BMU"
2050,21885.1589325933,"BMU"
2021,758904.5,"BOL"
2022,799710.182073726,"BOL"
2023,842709.952717887,"BOL"
2024,888021.78630297,"BOL"
2025,935770.000586086,"BOL"
2026,986085.597789747,"BOL"
2027,1039106.62402017,"BOL"
2028,1094978.54801123,"BOL"
2029,1153854.66023312,"BOL"
2030,1215896.49346083,"BOL"
2031,1281274.26595621,"BOL"
2032,1350167.34847958,"BOL"
2033,1422764.75641217,"BOL"
2034,1499265.66833964,"BOL"
2035,1579879.9725193,"BOL"
2036,1664828.8427306,"BOL"
2037,1754345.34508845,"BOL"
2038,1848675.07748456,"BOL"
2039,1948076.84341091,"BOL"
2040,2052823.36201426,"BOL"
2041,2163202.01632961,"BOL"
2042,2279515.64174571,"BOL"
2043,2402083.35686554,"BOL"
2044,2531241.43904168,"BOL"
2045,2667344.24698837,"BOL"
2046,2810765.19300172,"BOL"
2047,2961897.76745545,"BOL"
2048,3121156.61838289,"BOL"
2049,3288978.68910726,"BOL"
2050,3465824.41704136,"BOL"
2021,28032990,"BRA"
2022,26869176.8416021,"BRA"
2023,25753680.3653584,"BRA"
2024,24684494.66357,"BRA"
2025,23659697.1054834,"BRA"
2026,22677444.879978,"BRA"
2027,21735971.6817868,"BRA"
2028,20833584.5352917,"BRA"
2029,19968660.7501811,"BRA"
2030,19139645.0034968,"BRA"
2031,18345046.5428212,"BRA"
2032,17583436.5055773,"BRA"
2033,16853445.3496198,"BRA"
2034,16153760.3904975,"BRA"
2035,15483123.4409581,"BRA"
2036,14840328.5484516,"BRA"
2037,14224219.8265623,"BRA"
2038,13633689.3764713,"BRA"
2039,13067675.2947109,"BRA"
2040,12525159.7636293,"BRA"
2041,12005167.2211304,"BRA"
2042,11506762.606399,"BRA"
2043,11029049.6784563,"BRA"
2044,10571169.4045215,"BRA"
2045,10132298.4152822,"BRA"
2046,9711647.52429558,"BRA"
2047,9308460.30885772,"BRA"
2048,8922011.74978952,"BRA"
2049,8551606.92769293,"BRA"
2050,8196579.77333317,"BRA"
2021,51082.94,"BRB"
2022,52117.2203728152,"BRB"
2023,53172.4419030812,"BRB"
2024,54249.0285880883,"BRB"
2025,55347.4130098336,"BRB"
2026,56468.0365088367,"BRB"
2027,57611.3493614741,"BRB"
2028,58777.8109609038,"BRB"
2029,59967.8900016541,"BRB"
2030,61182.0646679488,"BRB"
2031,62420.8228258459,"BRB"
2032,63684.6622192667,"BRB"
2033,64974.0906699931,"BRB"
2034,66289.6262817157,"BRB"
2035,67631.7976482118,"BRB"
2036,69001.1440657389,"BRB"
2037,70398.2157497295,"BRB"
2038,71823.5740558715,"BRB"
2039,73277.7917056667,"BRB"
2040,74761.4530165546,"BRB"
2041,76275.1541366971,"BRB"
2042,77819.5032845151,"BRB"
2043,79395.120993077,"BRB"
2044,81002.6403594335,"BRB"
2045,82642.7072990022,"BRB"
2046,84315.9808051016,"BRB"
2047,86023.133213741,"BRB"
2048,87764.8504737703,"BRB"
2049,89541.8324225008,"BRB"
2050,91354.7930669057,"BRB"
2021,112806.6,"BRN"
2022,112571.192739217,"BRN"
2023,112336.276731414,"BRN"
2024,112101.850951433,"BRN"
2025,111867.914376258,"BRN"
2026,111634.465985004,"BRN"
2027,111401.504758918,"BRN"
2028,111169.029681375,"BRN"
2029,110937.039737868,"BRN"
2030,110705.533916009,"BRN"
2031,110474.511205523,"BRN"
2032,110243.970598242,"BRN"
2033,110013.911088104,"BRN"
2034,109784.331671143,"BRN"
2035,109555.231345492,"BRN"
2036,109326.609111372,"BRN"
2037,109098.463971091,"BRN"
2038,108870.794929039,"BRN"
2039,108643.600991685,"BRN"
2040,108416.881167569,"BRN"
2041,108190.634467303,"BRN"
2042,107964.859903559,"BRN"
2043,107739.556491075,"BRN"
2044,107514.723246641,"BRN"
2045,107290.359189101,"BRN"
2046,107066.463339344,"BRN"
2047,106843.034720305,"BRN"
2048,106620.072356957,"BRN"
2049,106397.575276307,"BRN"
2050,106175.542507393,"BRN"
2021,145949.3,"BTN"
2022,158126.593360405,"BTN"
2023,171319.900319953,"BTN"
2024,185613.992067371,"BTN"
2025,201100.712683368,"BTN"
2026,217879.569268031,"BTN"
2027,236058.371305557,"BTN"
2028,255753.923374441,"BTN"
2029,277092.775654001,"BTN"
2030,300212.037049484,"BTN"
2031,325260.256160342,"BTN"
2032,352398.37575218,"BTN"
2033,381800.766865153,"BTN"
2034,413656.349203298,"BTN"
2035,448169.805003653,"BTN"
2036,485562.894184657,"BTN"
2037,526075.879224078,"BTN"
2038,569969.068921765,"BTN"
2039,617524.490966388,"BTN"
2040,669047.704052937,"BTN"
2041,724869.761194411,"BTN"
2042,785349.336842606,"BTN"
2043,850875.031485418,"BTN"
2044,921867.868528432,"BTN"
2045,998783.999504066,"BTN"
2046,1082117.63499009,"BTN"
2047,1172404.22006958,"BTN"
2048,1270223.87473571,"BTN"
2049,1376205.12134702,"BTN"
2050,1491028.9230832,"BTN"
2021,143204.7,"BWA"
2022,132641.089881512,"BWA"
