"year","prodinit_ippu_textiles_tonne","location_code"
2036,529342.768335105,"AUT"
2037,532108.499763616,"AUT"
2038,534888.681697153,"AUT"
2039,537683.389637298,"AUT"
2040,540492.699480116,"AUT"
2041,543316.687518215,"AUT"
2042,546155.430442823,"AUT"
2043,549009.005345864,"AUT"
2044,551877.489722058,"AUT"
2045,554760.961471021,"AUT"
2046,557659.498899381,"AUT"
2047,560573.180722908,"AUT"
2048,563502.086068649,"AUT"
2049,566446.294477074,"AUT"
2050,569405.885904244,"AUT"
2021,17810.04,"AZE"
2022,16340.9151494299,"AZE"
2023,14992.976316778,"AZE"
2024,13756.2270399102,"AZE"
2025,12621.4954506259,"AZE"
2026,11580.3662550783,"AZE"
2027,10625.1183250322,"AZE"
2028,9748.66743713116,"AZE"
2029,8944.51373552058,"AZE"
2030,8206.69352820388,"AZE"
2031,7529.73505964924,"AZE"
2032,6908.61793165069,"AZE"
2033,6338.73587150472,"AZE"
2034,5815.86257138707,"AZE"
2035,5336.12034559054,"AZE"
2036,4895.95137318287,"AZE"
2037,4492.0913128166,"AZE"
2038,4121.54509401593,"AZE"
2039,3781.56470540569,"AZE"
2040,3469.62881515782,"AZE"
2041,3183.42407251814,"AZE"
2042,2920.8279517436,"AZE"
2043,2679.8930112187,"AZE"
2044,2458.83245101499,"AZE"
2045,2256.00686178699,"AZE"
2046,2069.91206673275,"AZE"
2047,1899.16796645381,"AZE"
2048,1742.5083039868,"AZE"
2049,1598.771274103,"AZE"
2050,1466.8909072334,"AZE"
2021,2235.544,"BDI"
2022,2300.15105192221,"BDI"
2023,2366.6252427413,"BDI"
2024,2435.02053262967,"BDI"
2025,2505.3924412046,"BDI"
2026,2577.79809259613,"BDI"
2027,2652.29626181729,"BDI"
2028,2728.94742247452,"BDI"
2029,2807.81379585692,"BDI"
2030,2888.95940144412,"BDI"
2031,2972.45010887384,"BDI"
2032,3058.35369141133,"BDI"
2033,3146.73988096407,"BDI"
2034,3237.68042468638,"BDI"
2035,3331.24914321987,"BDI"
2036,3427.52199061711,"BDI"
2037,3526.57711599703,"BDI"
2038,3628.49492698214,"BDI"
2039,3733.35815496916,"BDI"
2040,3841.25192228588,"BDI"
2041,3952.26381128893,"BDI"
2042,4066.48393545835,"BDI"
2043,4184.00501254697,"BDI"
2044,4304.9224398436,"BDI"
2045,4429.33437161146,"BDI"
2046,4557.34179876456,"BDI"
2047,4689.04863084661,"BDI"
2048,4824.56178037929,"BDI"
2049,4963.99124964801,"BDI"
2050,5107.4502199959,"BDI"
2021,434793,"BEL"
2022,423604.735476434,"BEL"
2023,412704.371777051,"BEL"
2024,402084.500524584,"BEL"
2025,391737.903977043,"BEL"
2026,381657.550122215,"BEL"
2027,371836.587898389,"BEL"
2028,362268.342538074,"BEL"
2029,352946.311031519,"BEL"
2030,343864.157706977,"BEL"
2031,335015.709924701,"BEL"
2032,326394.953881739,"BEL"
2033,317996.030524679,"BEL"
2034,309813.231567579,"BEL"
2035,301840.995612357,"BEL"
2036,294073.904369012,"BEL"
2037,286506.678973115,"BEL"
2038,279134.176398051,"BEL"
2039,271951.385959592,"BEL"
2040,264953.425910404,"BEL"
2041,258135.5401222,"BEL"
2042,251493.094853254,"BEL"
2043,245021.575599107,"BEL"
2044,238716.584024302,"BEL"
2045,232573.834973085,"BEL"
2046,226589.153557011,"BEL"
2047,220758.472317509,"BEL"
2048,215077.828461452,"BEL"
2049,209543.361167864,"BEL"
2050,204151.308963934,"BEL"
2021,43389.85,"BEN"
2022,41592.0214608567,"BEN"
2023,39868.6847085288,"BEN"
2024,38216.7532271547,"BEN"
2025,36633.2683885305,"BEN"
2026,35115.3941531737,"BEN"
2027,33660.4119909435,"BEN"
2028,32265.7160121226,"BEN"
2029,30928.8083002387,"BEN"
2030,29647.2944382672,"BEN"
2031,28418.8792202035,"BEN"
2032,27241.3625403221,"BEN"
2033,26112.6354527627,"BEN"
2034,25030.6763943833,"BEN"
2035,23993.547564118,"BEN"
2036,22999.3914523531,"BEN"
2037,22046.4275141055,"BEN"
2038,21132.9489800471,"BEN"
2039,20257.3197996607,"BEN"
2040,19417.9717110551,"BEN"
2041,18613.4014321901,"BEN"
2042,17842.1679684809,"BEN"
2043,17102.8900319606,"BEN"
2044,16394.2435673775,"BEN"
2045,15714.9593807971,"BEN"
2046,15063.8208664608,"BEN"
2047,14439.6618278315,"BEN"
2048,13841.3643889223,"BEN"
2049,13267.8569921674,"BEN"
2050,12718.1124792504,"BEN"
2021,16968.4,"BFA"
2022,17149.9031896981,"BFA"
2023,17333.3478357427,"BFA"
2024,17518.7547050017,"BFA"
2025,17706.1447864764,"BFA"
2026,17895.5392936781,"BFA"
2027,18086.9596670292,"BFA"
2028,18280.4275762903,"BFA"
2029,18475.9649230137,"BFA"
2030,18673.5938430224,"BFA"
2031,18873.3367089164,"BFA"
2032,19075.2161326048,"BFA"
2033,19279.2549678661,"BFA"
2034,19485.4763129352,"BFA"
2035,19693.9035131181,"BFA"
2036,19904.560163435,"BFA"
2037,20117.4701112911,"BFA"
2038,20332.6574591763,"BFA"
2039,20550.1465673938,"BFA"
2040,20769.962056818,"BFA"
2041,20992.1288116812,"BFA"
2042,21216.671982391,"BFA"
2043,21443.6169883776,"BFA"
2044,21672.9895209708,"BFA"
2045,21904.815546309,"BFA"
2046,22139.1213082785,"BFA"
2047,22375.9333314843,"BFA"
2048,22615.278424253,"BFA"
2049,22857.1836816675,"BFA"
2050,23101.6764886344,"BFA"
2021,4112813,"BGD"
2022,4510735.81469202,"BGD"
2023,4947158.45090582,"BGD"
2024,5425805.84273031,"BGD"
2025,5950763.31901519,"BGD"
2026,6526511.4722788,"BGD"
2027,7157964.40125198,"BGD"
2028,7850511.65346391,"BGD"
2029,8610064.2258563,"BGD"
2030,9443105.01604828,"BGD"
2031,10356744.1548611,"BGD"
2032,11358779.6923746,"BGD"
2033,12457764.1554796,"BGD"
2034,13663077.5450059,"BGD"
2035,14985007.3954669,"BGD"
2036,16434836.5807435,"BGD"
2037,18024939.6151419,"BGD"
2038,19768888.2717696,"BGD"
2039,21681567.4196994,"BGD"
2040,23779302.068608,"BGD"
2041,26079996.7052356,"BGD"
2042,28603288.1109246,"BGD"
2043,31370712.9645578,"BGD"
2044,34405891.6614138,"BGD"
2045,37734729.9168606,"BGD"
2046,41385639.8756067,"BGD"
2047,45389782.6137112,"BGD"
2048,49781334.1031436,"BGD"
2049,54597776.9089426,"BGD"
2050,59880220.1086538,"BGD"
2021,112367.6,"BGR"
2022,113090.82156069,"BGR"
2023,113818.6979278,"BGR"
2024,114551.259060645,"BGR"
2025,115288.535111364,"BGR"
2026,116030.556426164,"BGR"
2027,116777.353546564,"BGR"
2028,117528.957210656,"BGR"
2029,118285.398354368,"BGR"
2030,119046.708112739,"BGR"
2031,119812.917821199,"BGR"
2032,120584.059016859,"BGR"
2033,121360.163439811,"BGR"
2034,122141.263034432,"BGR"
2035,122927.3899507,"BGR"
2036,123718.576545517,"BGR"
2037,124514.855384039,"BGR"
2038,125316.259241023,"BGR"
2039,126122.821102165,"BGR"
2040,126934.574165469,"BGR"
2041,127751.551842607,"BGR"
2042,128573.787760293,"BGR"
2043,129401.315761673,"BGR"
2044,130234.169907712,"BGR"
2045,131072.384478601,"BGR"
2046,131915.993975164,"BGR"
2047,132765.03312028,"BGR"
2048,133619.536860311,"BGR"
2049,134479.540366542,"BGR"
2050,135345.079036628,"BGR"
2021,15699.75,"BHR"
2022,16289.9191797919,"BHR"
2023,16902.2734046181,"BHR"
2024,17537.6466323334,"BHR"
2025,18196.9041700958,"BHR"
2026,18880.943852818,"BHR"
2027,19590.6972659179,"BHR"
2028,20327.1310140336,"BHR"
2029,21091.2480374305,"BHR"
2030,21884.0889778939,"BHR"
2031,22706.733595966,"BHR"
2032,23560.3022414594,"BHR"
2033,24445.9573792477,"BHR"
2034,25364.9051724126,"BHR"
2035,26318.3971249025,"BHR"
2036,27307.7317859412,"BHR"
2037,28334.2565185062,"BHR"
2038,29399.3693342862,"BHR"
2039,30504.5207976162,"BHR"
2040,31651.2160009842,"BHR"
2041,32841.0166147977,"BHR"
2042,34075.5430142046,"BHR"
2043,35356.4764858623,"BHR"
2044,36685.5615176618,"BHR"
2045,38064.6081745249,"BHR"
2046,39495.4945635095,"BHR"
2047,40980.1693915815,"BHR"
2048,42520.6546195352,"BHR"
2049,44119.048215677,"BHR"
2050,45777.5270130239,"BHR"
2021,4139.167,"BHS"
2022,4081.38496089864,"BHS"
2023,4024.4095488415,"BHS"
2024,3968.22950345772,"BHS"
2025,3912.83372156925,"BHS"
2026,3858.21125499643,"BHS"
2027,3804.35130839425,"BHS"
2028,3751.24323711881,"BHS"
2029,3698.87654512356,"BHS"
2030,3647.2408828849,"BHS"
2031,3596.32604535674,"BHS"
2032,3546.12196995363,"BHS"
2033,3496.61873456206,"BHS"
2034,3447.80655557943,"BHS"
2035,3399.67578598052,"BHS"
2036,3352.21691341087,"BHS"
2037,3305.42055830683,"BHS"
2038,3259.27747204176,"BHS"
2039,3213.77853509825,"BHS"
2040,3168.9147552657,"BHS"
2041,3124.67726586321,"BHS"
2042,3081.05732398717,"BHS"
2043,3038.04630878335,"BHS"
2044,2995.63571974312,"BHS"
2045,2953.81717502347,"BHS"
2046,2912.5824097904,"BHS"
2047,2871.92327458555,"BHS"
2048,2831.83173371557,"BHS"
2049,2792.29986366393,"BHS"
2050,2753.31985152503,"BHS"
2021,65306.26,"BIH"
2022,67195.3807071154,"BIH"
2023,69139.1481976486,"BIH"
2024,71139.1432445629,"BIH"
2025,73196.9923479988,"BIH"
2026,75314.3690580289,"BIH"
2027,77492.995335676,"BIH"
2028,79734.6429533013,"BIH"
2029,82041.1349355023,"BIH"
2030,84414.3470416909,"BIH"
2031,86856.2092915592,"BIH"
2032,89368.7075346714,"BIH"
2033,91953.8850654607,"BIH"
2034,94613.8442849424,"BIH"
2035,97350.748410496,"BIH"
2036,100166.823235106,"BIH"
2037,103064.358937494,"BIH"
2038,106045.711944608,"BIH"
2039,109113.306847996,"BIH"
2040,112269.638375608,"BIH"
2041,115517.273420636,"BIH"
2042,118858.85312905,"BIH"
2043,122297.095047514,"BIH"
2044,125834.795333433,"BIH"
2045,129474.831028939,"BIH"
2046,133220.162400649,"BIH"
2047,137073.835347107,"BIH"
2048,141038.983875869,"BIH"
2049,145118.83265224,"BIH"
2050,149316.699621743,"BIH"
2021,68504.5,"BLR"
2022,73715.3882737407,"BLR"
2023,79322.6498748016,"BLR"
2024,85356.4354812164,"BLR"
2025,91849.189223487,"BLR"
2026,98835.8231391751,"BLR"
2027,106353.904897621,"BLR"
2028,114443.859804197,"BLR"
2029,123149.188170294,"BLR"
2030,132516.69921785,"BLR"
2031,142596.762776143,"BLR"
2032,153443.580124253,"BLR"
2033,165115.475435514,"BLR"
2034,177675.209391094,"BLR"
2035,191190.316649018,"BLR"
2036,205733.468983232,"BLR"
2037,221382.866045333,"BLR"
2038,238222.65585013,"BLR"
2039,256343.387246007,"BLR"
2040,275842.496803061,"BLR"
2041,296824.832737056,"BLR"
2042,319403.218686367,"BLR"
2043,343699.060373378,"BLR"
2044,369842.998412417,"BLR"
2045,397975.610774413,"BLR"
2046,428248.168685487,"BLR"
2047,460823.450024,"BLR"
2048,495876.614589755,"BLR"
2049,533596.145951753,"BLR"
2050,574184.864938874,"BLR"
2021,1951.105,"BLZ"
2022,1955.18461656345,"BLZ"
2023,1959.27276330406,"BLZ"
2024,1963.3694580578,"BLZ"
2025,1967.47471869793,"BLZ"
2026,1971.5885631351,"BLZ"
2027,1975.71100931737,"BLZ"
2028,1979.84207523038,"BLZ"
2029,1983.98177889735,"BLZ"
2030,1988.13013837916,"BLZ"
2031,1992.28717177451,"BLZ"
2032,1996.4528972199,"BLZ"
2033,2000.62733288976,"BLZ"
2034,2004.81049699654,"BLZ"
2035,2009.00240779074,"BLZ"
2036,2013.20308356105,"BLZ"
2037,2017.41254263439,"BLZ"
2038,2021.630803376,"BLZ"
2039,2025.8578841895,"BLZ"
2040,2030.09380351703,"BLZ"
2041,2034.33857983926,"BLZ"
2042,2038.59223167552,"BLZ"
2043,2042.85477758384,"BLZ"
2044,2047.12623616109,"BLZ"
2045,2051.40662604299,"BLZ"
2046,2055.69596590423,"BLZ"
2047,2059.99427445858,"BLZ"
2048,2064.30157045889,"BLZ"
2049,2068.61787269726,"BLZ"
2050,2072.94320000508,"BLZ"
2021,10909.44,"BMU"
2022,14773.7544137407,"BMU"
2023,20006.8765653894,"BMU"
2024,27093.662091096,"BMU"
2025,36690.7109716657,"BMU"
2026,49687.2023826089,"BMU"
2027,67287.2783118561,"BMU"
2028,91121.6088954502,"BMU"
2029,123398.476146008,"BMU"
2030,167108.374179698,"BMU"
2031,226301.08242131,"BMU"
2032,306460.882983556,"BMU"
2033,415014.68660327,"BMU"
2034,562020.145669462,"BMU"
2035,761097.508918459,"BMU"
2036,1030691.55535675,"BMU"
2037,1395780.52724585,"BMU"
2038,1890190.39703337,"BMU"
2039,2559728.88809892,"BMU"
2040,3466429.62045082,"BMU"
2041,4694299.60704277,"BMU"
2042,6357102.61378854,"BMU"
2043,8608899.52179588,"BMU"
2044,11658322.2702157,"BMU"
2045,15787903.8792468,"BMU"
2046,21380255.5052996,"BMU"
2047,28953515.8668386,"BMU"
2048,39209357.4767373,"BMU"
2049,53097997.5215853,"BMU"
2050,71906236.7312449,"BMU"
2021,16098.71,"BOL"
2022,15915.9665350215,"BOL"
2023,15735.2974706623,"BOL"
2024,15556.6792594978,"BOL"
2025,15380.0886214008,"BOL"
2026,15205.5025405067,"BOL"
2027,15032.8982622141,"BOL"
2028,14862.2532902191,"BOL"
2029,14693.545383583,"BOL"
2030,14526.7525538336,"BOL"
2031,14361.8530620997,"BOL"
2032,14198.8254162771,"BOL"
2033,14037.6483682283,"BOL"
2034,13878.3009110122,"BOL"
2035,13720.7622761469,"BOL"
2036,13565.0119309025,"BOL"
2037,13411.0295756251,"BOL"
2038,13258.7951410911,"BOL"
2039,13108.288785891,"BOL"
2040,12959.4908938442,"BOL"
2041,12812.3820714418,"BOL"
2042,12666.943145319,"BOL"
2043,12523.1551597561,"BOL"
2044,12380.9993742083,"BOL"
2045,12240.4572608626,"BOL"
2046,12101.5105022235,"BOL"
2047,11964.1409887253,"BOL"
2048,11828.3308163717,"BOL"
2049,11694.0622844026,"BOL"
2050,11561.3178929871,"BOL"
2021,777959.7,"BRA"
2022,751260.360062525,"BRA"
2023,725477.333339084,"BRA"
2024,700579.172239283,"BRA"
2025,676535.508444446,"BRA"
2026,653317.015867349,"BRA"
2027,630895.374883144,"BRA"
2028,609243.237787886,"BRA"
2029,588334.195442496,"BRA"
2030,568142.745061506,"BRA"
2031,548644.259107275,"BRA"
2032,529814.955251754,"BRA"
2033,511631.86736915,"BRA"
2034,494072.817524107,"BRA"
2035,477116.38892126,"BRA"
2036,460741.899783134,"BRA"
2037,444929.37812456,"BRA"
2038,429659.537392814,"BRA"
2039,414913.752943787,"BRA"
2040,400674.039325486,"BRA"
2041,386923.028341147,"BRA"
2042,373643.947865234,"BRA"
2043,360820.601386445,"BRA"
2044,348437.348252818,"BRA"
2045,336479.084594797,"BRA"
2046,324931.224903033,"BRA"
2047,313779.684238412,"BRA"
2048,303010.861052642,"BRA"
2049,292611.620598423,"BRA"
2050,282569.278908985,"BRA"
2021,2113.542,"BRB"
2022,1947.30020570263,"BRB"
2023,1794.13425005489,"BRB"
2024,1653.01564586368,"BRB"
2025,1522.99680215488,"BRB"
2026,1403.20466123722,"BRB"
2027,1292.83483624651,"BRB"
2028,1191.14620980438,"BRB"
2029,1097.45595752248,"BRB"
2030,1011.13496293573,"BRB"
2031,931.603593076392,"BRB"
2032,858.327806322736,"BRB"
2033,790.815566386924,"BRB"
2034,728.613538362663,"BRB"
2035,671.304044647013,"BRB"
2036,618.502260295815,"BRB"
2037,569.853628979969,"BRB"
2038,525.031482191073,"BRB"
2039,483.73484570973,"BRB"
2040,445.686418607289,"BRB"
2041,410.630711210302,"BRB"
2042,378.33232952439,"BRB"
2043,348.574394597695,"BRB"
2044,321.157086210144,"BRB"
2045,295.89630110964,"BRB"
2046,272.622416785401,"BRB"
2047,251.179152477387,"BRB"
2048,231.422519773644,"BRB"
2049,213.219855748993,"BRB"
2050,196.448932152708,"BRB"
2021,3445.629,"BRN"
2022,3259.41355277858,"BRN"
2023,3083.2619263527,"BRN"
2024,2916.6302319606,"BRN"
2025,2759.00397474485,"BRN"
2026,2609.89646518919,"BRN"
2027,2468.8473164077,"BRN"
2028,2335.42102264646,"BRN"
2029,2209.20561460851,"BRN"
2030,2089.81138745045,"BRN"
2031,1976.86969752316,"BRN"
2032,1870.03182414133,"BRN"
2033,1768.96789286761,"BRN"
2034,1673.36585698659,"BRN"
2035,1582.93053402414,"BRN"
2036,1497.38269433689,"BRN"
2037,1416.45819895809,"BRN"
2038,1339.90718403761,"BRN"
2039,1267.49328935808,"BRN"
2040,1198.99292854501,"BRN"
2041,1134.19459871777,"BRN"
2042,1072.89822744961,"BRN"
2043,1014.91455502068,"BRN"
2044,960.06455005651,"BRN"
2045,908.178856747625,"BRN"
2046,859.097271943721,"BRN"
2047,812.668250507664,"BRN"
2048,768.748437402153,"BRN"
2049,727.202225064258,"BRN"
2050,687.901334701207,"BRN"
2021,1584.554,"BTN"
2022,2299.63087248082,"BTN"
2023,3337.40733964693,"BTN"
2024,4843.5111408612,"BTN"
2025,7029.28884135803,"BTN"
2026,10201.4633967488,"BTN"
2027,14805.1755709471,"BTN"
2028,21486.4490673394,"BTN"
2029,31182.8448984639,"BTN"
2030,45255.0262220717,"BTN"
2031,65677.6957018853,"BTN"
2032,95316.6990013951,"BTN"
2033,138331.179427505,"BTN"
2034,200757.216755108,"BTN"
2035,291354.850338563,"BTN"
2036,422837.346461899,"BTN"
2037,613655.208949429,"BTN"
2038,890585.277345408,"BTN"
2039,1292488.23224731,"BTN"
2040,1875761.78608875,"BTN"
2041,2722254.78759919,"BTN"
2042,3950752.80004457,"BTN"
2043,5733646.88645672,"BTN"
2044,8321124.67735364,"BTN"
2045,12076278.3734757,"BTN"
2046,17526056.2734481,"BTN"
2047,25435207.685732,"BTN"
2048,36913597.6697991,"BTN"
2049,53571950.7292312,"BTN"
2050,77747878.4541023,"BTN"
2021,7371.238,"BWA"
2022,7247.19607552606,"BWA"
2023,7125.24150720955,"BWA"
2024,7005.33916938029,"BWA"
2025,6887.45452745683,"BWA"
