,Nation,iso_code3,Year,frac_trns_pkm_dem_private_and_public_powered_bikes
83,Afghanistan,AFG,2044,0.05620689655172414
84,Afghanistan,AFG,2045,0.05517241379310345
85,Afghanistan,AFG,2046,0.054137931034482764
86,Afghanistan,AFG,2047,0.05310344827586207
87,Afghanistan,AFG,2048,0.05206896551724138
88,Afghanistan,AFG,2049,0.051034482758620686
89,Afghanistan,AFG,2050,0.05
90,Africa Western and Central,AFW,2021,0.08
91,Africa Western and Central,AFW,2022,0.07896551724137932
92,Africa Western and Central,AFW,2023,0.07793103448275862
93,Africa Western and Central,AFW,2024,0.07689655172413794
94,Africa Western and Central,AFW,2025,0.07586206896551724
95,Africa Western and Central,AFW,2026,0.07482758620689656
96,Africa Western and Central,AFW,2027,0.07379310344827586
97,Africa Western and Central,AFW,2028,0.07275862068965518
98,Africa Western and Central,AFW,2029,0.07172413793103448
99,Africa Western and Central,AFW,2030,0.0706896551724138
100,Africa Western and Central,AFW,2031,0.0696551724137931
101,Africa Western and Central,AFW,2032,0.06862068965517241
102,Africa Western and Central,AFW,2033,0.06758620689655173
103,Africa Western and Central,AFW,2034,0.06655172413793103
104,Africa Western and Central,AFW,2035,0.06551724137931035
105,Africa Western and Central,AFW,2036,0.06448275862068965
106,Africa Western and Central,AFW,2037,0.06344827586206897
107,Africa Western and Central,AFW,2038,0.06241379310344827
108,Africa Western and Central,AFW,2039,0.06137931034482759
109,Africa Western and Central,AFW,2040,0.0603448275862069
110,Africa Western and Central,AFW,2041,0.05931034482758621
111,Africa Western and Central,AFW,2042,0.05827586206896552
112,Africa Western and Central,AFW,2043,0.05724137931034483
113,Africa Western and Central,AFW,2044,0.05620689655172414
114,Africa Western and Central,AFW,2045,0.05517241379310345
115,Africa Western and Central,AFW,2046,0.054137931034482764
116,Africa Western and Central,AFW,2047,0.05310344827586207
117,Africa Western and Central,AFW,2048,0.05206896551724138
118,Africa Western and Central,AFW,2049,0.051034482758620686
119,Africa Western and Central,AFW,2050,0.05
120,Angola,AGO,2021,0.08
121,Angola,AGO,2022,0.07896551724137932
122,Angola,AGO,2023,0.07793103448275862
123,Angola,AGO,2024,0.07689655172413794
124,Angola,AGO,2025,0.07586206896551724
125,Angola,AGO,2026,0.07482758620689656
126,Angola,AGO,2027,0.07379310344827586
127,Angola,AGO,2028,0.07275862068965518
128,Angola,AGO,2029,0.07172413793103448
129,Angola,AGO,2030,0.0706896551724138
130,Angola,AGO,2031,0.0696551724137931
131,Angola,AGO,2032,0.06862068965517241
132,Angola,AGO,2033,0.06758620689655173
133,Angola,AGO,2034,0.06655172413793103
134,Angola,AGO,2035,0.06551724137931035
135,Angola,AGO,2036,0.06448275862068965
136,Angola,AGO,2037,0.06344827586206897
137,Angola,AGO,2038,0.06241379310344827
138,Angola,AGO,2039,0.06137931034482759
139,Angola,AGO,2040,0.0603448275862069
140,Angola,AGO,2041,0.05931034482758621
141,Angola,AGO,2042,0.05827586206896552
142,Angola,AGO,2043,0.05724137931034483
143,Angola,AGO,2044,0.05620689655172414
144,Angola,AGO,2045,0.05517241379310345
145,Angola,AGO,2046,0.054137931034482764
146,Angola,AGO,2047,0.05310344827586207
147,Angola,AGO,2048,0.05206896551724138
148,Angola,AGO,2049,0.051034482758620686
149,Angola,AGO,2050,0.05
150,Albania,ALB,2021,0.08
151,Albania,ALB,2022,0.07896551724137932
152,Albania,ALB,2023,0.07793103448275862
153,Albania,ALB,2024,0.07689655172413794
154,Albania,ALB,2025,0.07586206896551724
155,Albania,ALB,2026,0.07482758620689656
156,Albania,ALB,2027,0.07379310344827586
157,Albania,ALB,2028,0.07275862068965518
158,Albania,ALB,2029,0.07172413793103448
159,Albania,ALB,2030,0.0706896551724138
160,Albania,ALB,2031,0.0696551724137931
161,Albania,ALB,2032,0.06862068965517241
162,Albania,ALB,2033,0.06758620689655173
163,Albania,ALB,2034,0.06655172413793103
164,Albania,ALB,2035,0.06551724137931035
165,Albania,ALB,2036,0.06448275862068965
166,Albania,ALB,2037,0.06344827586206897
167,Albania,ALB,2038,0.06241379310344827
168,Albania,ALB,2039,0.06137931034482759
169,Albania,ALB,2040,0.0603448275862069
170,Albania,ALB,2041,0.05931034482758621
171,Albania,ALB,2042,0.05827586206896552
172,Albania,ALB,2043,0.05724137931034483
173,Albania,ALB,2044,0.05620689655172414
174,Albania,ALB,2045,0.05517241379310345
175,Albania,ALB,2046,0.054137931034482764
176,Albania,ALB,2047,0.05310344827586207
177,Albania,ALB,2048,0.05206896551724138
178,Albania,ALB,2049,0.051034482758620686
179,Albania,ALB,2050,0.05
180,Andorra,AND,2021,0.08
181,Andorra,AND,2022,0.07896551724137932
182,Andorra,AND,2023,0.07793103448275862
183,Andorra,AND,2024,0.07689655172413794
184,Andorra,AND,2025,0.07586206896551724
185,Andorra,AND,2026,0.07482758620689656
186,Andorra,AND,2027,0.07379310344827586
187,Andorra,AND,2028,0.07275862068965518
188,Andorra,AND,2029,0.07172413793103448
189,Andorra,AND,2030,0.0706896551724138
190,Andorra,AND,2031,0.0696551724137931
191,Andorra,AND,2032,0.06862068965517241
192,Andorra,AND,2033,0.06758620689655173
193,Andorra,AND,2034,0.06655172413793103
194,Andorra,AND,2035,0.06551724137931035
195,Andorra,AND,2036,0.06448275862068965
196,Andorra,AND,2037,0.06344827586206897
197,Andorra,AND,2038,0.06241379310344827
198,Andorra,AND,2039,0.06137931034482759
199,Andorra,AND,2040,0.0603448275862069
200,Andorra,AND,2041,0.05931034482758621
201,Andorra,AND,2042,0.05827586206896552
202,Andorra,AND,2043,0.05724137931034483
203,Andorra,AND,2044,0.05620689655172414
204,Andorra,AND,2045,0.05517241379310345
205,Andorra,AND,2046,0.054137931034482764
206,Andorra,AND,2047,0.05310344827586207
207,Andorra,AND,2048,0.05206896551724138
208,Andorra,AND,2049,0.051034482758620686
209,Andorra,AND,2050,0.05
210,Arab World,ARB,2021,0.08
211,Arab World,ARB,2022,0.07896551724137932
212,Arab World,ARB,2023,0.07793103448275862
213,Arab World,ARB,2024,0.07689655172413794
214,Arab World,ARB,2025,0.07586206896551724
215,Arab World,ARB,2026,0.07482758620689656
216,Arab World,ARB,2027,0.07379310344827586
217,Arab World,ARB,2028,0.07275862068965518
218,Arab World,ARB,2029,0.07172413793103448
219,Arab World,ARB,2030,0.0706896551724138
220,Arab World,ARB,2031,0.0696551724137931
221,Arab World,ARB,2032,0.06862068965517241
222,Arab World,ARB,2033,0.06758620689655173
223,Arab World,ARB,2034,0.06655172413793103
224,Arab World,ARB,2035,0.06551724137931035
225,Arab World,ARB,2036,0.06448275862068965
226,Arab World,ARB,2037,0.06344827586206897
227,Arab World,ARB,2038,0.06241379310344827
228,Arab World,ARB,2039,0.06137931034482759
229,Arab World,ARB,2040,0.0603448275862069
230,Arab World,ARB,2041,0.05931034482758621
231,Arab World,ARB,2042,0.05827586206896552
232,Arab World,ARB,2043,0.05724137931034483
233,Arab World,ARB,2044,0.05620689655172414
234,Arab World,ARB,2045,0.05517241379310345
235,Arab World,ARB,2046,0.054137931034482764
236,Arab World,ARB,2047,0.05310344827586207
237,Arab World,ARB,2048,0.05206896551724138
238,Arab World,ARB,2049,0.051034482758620686
239,Arab World,ARB,2050,0.05
240,United Arab Emirates,ARE,2021,0.08
241,United Arab Emirates,ARE,2022,0.07896551724137932
242,United Arab Emirates,ARE,2023,0.07793103448275862
243,United Arab Emirates,ARE,2024,0.07689655172413794
244,United Arab Emirates,ARE,2025,0.07586206896551724
245,United Arab Emirates,ARE,2026,0.07482758620689656
246,United Arab Emirates,ARE,2027,0.07379310344827586
247,United Arab Emirates,ARE,2028,0.07275862068965518
248,United Arab Emirates,ARE,2029,0.07172413793103448
249,United Arab Emirates,ARE,2030,0.0706896551724138
250,United Arab Emirates,ARE,2031,0.0696551724137931
251,United Arab Emirates,ARE,2032,0.06862068965517241
252,United Arab Emirates,ARE,2033,0.06758620689655173
253,United Arab Emirates,ARE,2034,0.06655172413793103
254,United Arab Emirates,ARE,2035,0.06551724137931035
255,United Arab Emirates,ARE,2036,0.06448275862068965
256,United Arab Emirates,ARE,2037,0.06344827586206897
257,United Arab Emirates,ARE,2038,0.06241379310344827
258,United Arab Emirates,ARE,2039,0.06137931034482759
259,United Arab Emirates,ARE,2040,0.0603448275862069
260,United Arab Emirates,ARE,2041,0.05931034482758621
261,United Arab Emirates,ARE,2042,0.05827586206896552
262,United Arab Emirates,ARE,2043,0.05724137931034483
263,United Arab Emirates,ARE,2044,0.05620689655172414
264,United Arab Emirates,ARE,2045,0.05517241379310345
265,United Arab Emirates,ARE,2046,0.054137931034482764
266,United Arab Emirates,ARE,2047,0.05310344827586207
267,United Arab Emirates,ARE,2048,0.05206896551724138
268,United Arab Emirates,ARE,2049,0.051034482758620686
269,United Arab Emirates,ARE,2050,0.05
270,Argentina,ARG,2021,0.08
271,Argentina,ARG,2022,0.07896551724137932
272,Argentina,ARG,2023,0.07793103448275862
273,Argentina,ARG,2024,0.07689655172413794
274,Argentina,ARG,2025,0.07586206896551724
275,Argentina,ARG,2026,0.07482758620689656
276,Argentina,ARG,2027,0.07379310344827586
277,Argentina,ARG,2028,0.07275862068965518
278,Argentina,ARG,2029,0.07172413793103448
279,Argentina,ARG,2030,0.0706896551724138
280,Argentina,ARG,2031,0.0696551724137931
281,Argentina,ARG,2032,0.06862068965517241
282,Argentina,ARG,2033,0.06758620689655173
283,Argentina,ARG,2034,0.06655172413793103
284,Argentina,ARG,2035,0.06551724137931035
285,Argentina,ARG,2036,0.06448275862068965
286,Argentina,ARG,2037,0.06344827586206897
287,Argentina,ARG,2038,0.06241379310344827
288,Argentina,ARG,2039,0.06137931034482759
289,Argentina,ARG,2040,0.0603448275862069
290,Argentina,ARG,2041,0.05931034482758621
291,Argentina,ARG,2042,0.05827586206896552
292,Argentina,ARG,2043,0.05724137931034483
293,Argentina,ARG,2044,0.05620689655172414
294,Argentina,ARG,2045,0.05517241379310345
295,Argentina,ARG,2046,0.054137931034482764
296,Argentina,ARG,2047,0.05310344827586207
297,Argentina,ARG,2048,0.05206896551724138
298,Argentina,ARG,2049,0.051034482758620686
299,Argentina,ARG,2050,0.05
300,Armenia,ARM,2021,0.08
301,Armenia,ARM,2022,0.07896551724137932
302,Armenia,ARM,2023,0.07793103448275862
303,Armenia,ARM,2024,0.07689655172413794
304,Armenia,ARM,2025,0.07586206896551724
305,Armenia,ARM,2026,0.07482758620689656
306,Armenia,ARM,2027,0.07379310344827586
307,Armenia,ARM,2028,0.07275862068965518
308,Armenia,ARM,2029,0.07172413793103448
309,Armenia,ARM,2030,0.0706896551724138
310,Armenia,ARM,2031,0.0696551724137931
311,Armenia,ARM,2032,0.06862068965517241
312,Armenia,ARM,2033,0.06758620689655173
313,Armenia,ARM,2034,0.06655172413793103
314,Armenia,ARM,2035,0.06551724137931035
315,Armenia,ARM,2036,0.06448275862068965
316,Armenia,ARM,2037,0.06344827586206897
317,Armenia,ARM,2038,0.06241379310344827
318,Armenia,ARM,2039,0.06137931034482759
319,Armenia,ARM,2040,0.0603448275862069
320,Armenia,ARM,2041,0.05931034482758621
321,Armenia,ARM,2042,0.05827586206896552
322,Armenia,ARM,2043,0.05724137931034483
323,Armenia,ARM,2044,0.05620689655172414
324,Armenia,ARM,2045,0.05517241379310345
325,Armenia,ARM,2046,0.054137931034482764
326,Armenia,ARM,2047,0.05310344827586207
327,Armenia,ARM,2048,0.05206896551724138
328,Armenia,ARM,2049,0.051034482758620686
329,Armenia,ARM,2050,0.05
330,American Samoa,ASM,2021,0.08
331,American Samoa,ASM,2022,0.07896551724137932
332,American Samoa,ASM,2023,0.07793103448275862
333,American Samoa,ASM,2024,0.07689655172413794
334,American Samoa,ASM,2025,0.07586206896551724
335,American Samoa,ASM,2026,0.07482758620689656
336,American Samoa,ASM,2027,0.07379310344827586
337,American Samoa,ASM,2028,0.07275862068965518
338,American Samoa,ASM,2029,0.07172413793103448
339,American Samoa,ASM,2030,0.0706896551724138
340,American Samoa,ASM,2031,0.0696551724137931
341,American Samoa,ASM,2032,0.06862068965517241
342,American Samoa,ASM,2033,0.06758620689655173
343,American Samoa,ASM,2034,0.06655172413793103
344,American Samoa,ASM,2035,0.06551724137931035
345,American Samoa,ASM,2036,0.06448275862068965
346,American Samoa,ASM,2037,0.06344827586206897
347,American Samoa,ASM,2038,0.06241379310344827
348,American Samoa,ASM,2039,0.06137931034482759
349,American Samoa,ASM,2040,0.0603448275862069
350,American Samoa,ASM,2041,0.05931034482758621
351,American Samoa,ASM,2042,0.05827586206896552
352,American Samoa,ASM,2043,0.05724137931034483
353,American Samoa,ASM,2044,0.05620689655172414
354,American Samoa,ASM,2045,0.05517241379310345
355,American Samoa,ASM,2046,0.054137931034482764
356,American Samoa,ASM,2047,0.05310344827586207
357,American Samoa,ASM,2048,0.05206896551724138
358,American Samoa,ASM,2049,0.051034482758620686
359,American Samoa,ASM,2050,0.05
360,Antigua and Barbuda,ATG,2021,0.08
361,Antigua and Barbuda,ATG,2022,0.07896551724137932
362,Antigua and Barbuda,ATG,2023,0.07793103448275862
363,Antigua and Barbuda,ATG,2024,0.07689655172413794
364,Antigua and Barbuda,ATG,2025,0.07586206896551724
365,Antigua and Barbuda,ATG,2026,0.07482758620689656
366,Antigua and Barbuda,ATG,2027,0.07379310344827586
367,Antigua and Barbuda,ATG,2028,0.07275862068965518
368,Antigua and Barbuda,ATG,2029,0.07172413793103448
369,Antigua and Barbuda,ATG,2030,0.0706896551724138
370,Antigua and Barbuda,ATG,2031,0.0696551724137931
371,Antigua and Barbuda,ATG,2032,0.06862068965517241
372,Antigua and Barbuda,ATG,2033,0.06758620689655173
373,Antigua and Barbuda,ATG,2034,0.06655172413793103
374,Antigua and Barbuda,ATG,2035,0.06551724137931035
375,Antigua and Barbuda,ATG,2036,0.06448275862068965
376,Antigua and Barbuda,ATG,2037,0.06344827586206897
377,Antigua and Barbuda,ATG,2038,0.06241379310344827
378,Antigua and Barbuda,ATG,2039,0.06137931034482759
379,Antigua and Barbuda,ATG,2040,0.0603448275862069
380,Antigua and Barbuda,ATG,2041,0.05931034482758621
381,Antigua and Barbuda,ATG,2042,0.05827586206896552
382,Antigua and Barbuda,ATG,2043,0.05724137931034483
383,Antigua and Barbuda,ATG,2044,0.05620689655172414
384,Antigua and Barbuda,ATG,2045,0.05517241379310345
385,Antigua and Barbuda,ATG,2046,0.054137931034482764
386,Antigua and Barbuda,ATG,2047,0.05310344827586207
387,Antigua and Barbuda,ATG,2048,0.05206896551724138
388,Antigua and Barbuda,ATG,2049,0.051034482758620686
389,Antigua and Barbuda,ATG,2050,0.05
390,Australia,AUS,2021,0.08
391,Australia,AUS,2022,0.07896551724137932
392,Australia,AUS,2023,0.07793103448275862
393,Australia,AUS,2024,0.07689655172413794
394,Australia,AUS,2025,0.07586206896551724
395,Australia,AUS,2026,0.07482758620689656
396,Australia,AUS,2027,0.07379310344827586
397,Australia,AUS,2028,0.07275862068965518
398,Australia,AUS,2029,0.07172413793103448
399,Australia,AUS,2030,0.0706896551724138
400,Australia,AUS,2031,0.0696551724137931
401,Australia,AUS,2032,0.06862068965517241
402,Australia,AUS,2033,0.06758620689655173
403,Australia,AUS,2034,0.06655172413793103
404,Australia,AUS,2035,0.06551724137931035
405,Australia,AUS,2036,0.06448275862068965
406,Australia,AUS,2037,0.06344827586206897
407,Australia,AUS,2038,0.06241379310344827
408,Australia,AUS,2039,0.06137931034482759
409,Australia,AUS,2040,0.0603448275862069
410,Australia,AUS,2041,0.05931034482758621
411,Australia,AUS,2042,0.05827586206896552
412,Australia,AUS,2043,0.05724137931034483
413,Australia,AUS,2044,0.05620689655172414
414,Australia,AUS,2045,0.05517241379310345
415,Australia,AUS,2046,0.054137931034482764
416,Australia,AUS,2047,0.05310344827586207
417,Australia,AUS,2048,0.05206896551724138
418,Australia,AUS,2049,0.051034482758620686
419,Australia,AUS,2050,0.05
420,Austria,AUT,2021,0.08
421,Austria,AUT,2022,0.07896551724137932
422,Austria,AUT,2023,0.07793103448275862
423,Austria,AUT,2024,0.07689655172413794
424,Austria,AUT,2025,0.07586206896551724
425,Austria,AUT,2026,0.07482758620689656
426,Austria,AUT,2027,0.07379310344827586
427,Austria,AUT,2028,0.07275862068965518
428,Austria,AUT,2029,0.07172413793103448
429,Austria,AUT,2030,0.0706896551724138
430,Austria,AUT,2031,0.0696551724137931
431,Austria,AUT,2032,0.06862068965517241
432,Austria,AUT,2033,0.06758620689655173
433,Austria,AUT,2034,0.06655172413793103
434,Austria,AUT,2035,0.06551724137931035
435,Austria,AUT,2036,0.06448275862068965
436,Austria,AUT,2037,0.06344827586206897
437,Austria,AUT,2038,0.06241379310344827
438,Austria,AUT,2039,0.06137931034482759
439,Austria,AUT,2040,0.0603448275862069
440,Austria,AUT,2041,0.05931034482758621
441,Austria,AUT,2042,0.05827586206896552
442,Austria,AUT,2043,0.05724137931034483
443,Austria,AUT,2044,0.05620689655172414
444,Austria,AUT,2045,0.05517241379310345
445,Austria,AUT,2046,0.054137931034482764
446,Austria,AUT,2047,0.05310344827586207
447,Austria,AUT,2048,0.05206896551724138
448,Austria,AUT,2049,0.051034482758620686
449,Austria,AUT,2050,0.05
450,Azerbaijan,AZE,2021,0.08
451,Azerbaijan,AZE,2022,0.07896551724137932
452,Azerbaijan,AZE,2023,0.07793103448275862
453,Azerbaijan,AZE,2024,0.07689655172413794
454,Azerbaijan,AZE,2025,0.07586206896551724
455,Azerbaijan,AZE,2026,0.07482758620689656
456,Azerbaijan,AZE,2027,0.07379310344827586
457,Azerbaijan,AZE,2028,0.07275862068965518
458,Azerbaijan,AZE,2029,0.07172413793103448
459,Azerbaijan,AZE,2030,0.0706896551724138
460,Azerbaijan,AZE,2031,0.0696551724137931
461,Azerbaijan,AZE,2032,0.06862068965517241
462,Azerbaijan,AZE,2033,0.06758620689655173
463,Azerbaijan,AZE,2034,0.06655172413793103
464,Azerbaijan,AZE,2035,0.06551724137931035
465,Azerbaijan,AZE,2036,0.06448275862068965
466,Azerbaijan,AZE,2037,0.06344827586206897
467,Azerbaijan,AZE,2038,0.06241379310344827
468,Azerbaijan,AZE,2039,0.06137931034482759
469,Azerbaijan,AZE,2040,0.0603448275862069
470,Azerbaijan,AZE,2041,0.05931034482758621
471,Azerbaijan,AZE,2042,0.05827586206896552
472,Azerbaijan,AZE,2043,0.05724137931034483
473,Azerbaijan,AZE,2044,0.05620689655172414
474,Azerbaijan,AZE,2045,0.05517241379310345
475,Azerbaijan,AZE,2046,0.054137931034482764
476,Azerbaijan,AZE,2047,0.05310344827586207
477,Azerbaijan,AZE,2048,0.05206896551724138
478,Azerbaijan,AZE,2049,0.051034482758620686
479,Azerbaijan,AZE,2050,0.05
480,Burundi,BDI,2021,0.08
481,Burundi,BDI,2022,0.07896551724137932
482,Burundi,BDI,2023,0.07793103448275862
483,Burundi,BDI,2024,0.07689655172413794
484,Burundi,BDI,2025,0.07586206896551724
485,Burundi,BDI,2026,0.07482758620689656
486,Burundi,BDI,2027,0.07379310344827586
487,Burundi,BDI,2028,0.07275862068965518
488,Burundi,BDI,2029,0.07172413793103448
489,Burundi,BDI,2030,0.0706896551724138
490,Burundi,BDI,2031,0.0696551724137931
491,Burundi,BDI,2032,0.06862068965517241
492,Burundi,BDI,2033,0.06758620689655173
493,Burundi,BDI,2034,0.06655172413793103
494,Burundi,BDI,2035,0.06551724137931035
495,Burundi,BDI,2036,0.06448275862068965
496,Burundi,BDI,2037,0.06344827586206897
497,Burundi,BDI,2038,0.06241379310344827
498,Burundi,BDI,2039,0.06137931034482759
499,Burundi,BDI,2040,0.0603448275862069
500,Burundi,BDI,2041,0.05931034482758621
501,Burundi,BDI,2042,0.05827586206896552
502,Burundi,BDI,2043,0.05724137931034483
503,Burundi,BDI,2044,0.05620689655172414
504,Burundi,BDI,2045,0.05517241379310345
505,Burundi,BDI,2046,0.054137931034482764
506,Burundi,BDI,2047,0.05310344827586207
507,Burundi,BDI,2048,0.05206896551724138
508,Burundi,BDI,2049,0.051034482758620686
509,Burundi,BDI,2050,0.05
510,Belgium,BEL,2021,0.08
511,Belgium,BEL,2022,0.07896551724137932
512,Belgium,BEL,2023,0.07793103448275862
513,Belgium,BEL,2024,0.07689655172413794
514,Belgium,BEL,2025,0.07586206896551724
515,Belgium,BEL,2026,0.07482758620689656
516,Belgium,BEL,2027,0.07379310344827586
517,Belgium,BEL,2028,0.07275862068965518
518,Belgium,BEL,2029,0.07172413793103448
519,Belgium,BEL,2030,0.0706896551724138
520,Belgium,BEL,2031,0.0696551724137931
521,Belgium,BEL,2032,0.06862068965517241
522,Belgium,BEL,2033,0.06758620689655173
523,Belgium,BEL,2034,0.06655172413793103
524,Belgium,BEL,2035,0.06551724137931035
525,Belgium,BEL,2036,0.06448275862068965
526,Belgium,BEL,2037,0.06344827586206897
527,Belgium,BEL,2038,0.06241379310344827
528,Belgium,BEL,2039,0.06137931034482759
529,Belgium,BEL,2040,0.0603448275862069
530,Belgium,BEL,2041,0.05931034482758621
531,Belgium,BEL,2042,0.05827586206896552
532,Belgium,BEL,2043,0.05724137931034483
533,Belgium,BEL,2044,0.05620689655172414
534,Belgium,BEL,2045,0.05517241379310345
535,Belgium,BEL,2046,0.054137931034482764
536,Belgium,BEL,2047,0.05310344827586207
537,Belgium,BEL,2048,0.05206896551724138
538,Belgium,BEL,2049,0.051034482758620686
539,Belgium,BEL,2050,0.05
540,Benin,BEN,2021,0.08
541,Benin,BEN,2022,0.07896551724137932
542,Benin,BEN,2023,0.07793103448275862
543,Benin,BEN,2024,0.07689655172413794
544,Benin,BEN,2025,0.07586206896551724
545,Benin,BEN,2026,0.07482758620689656
546,Benin,BEN,2027,0.07379310344827586
547,Benin,BEN,2028,0.07275862068965518
548,Benin,BEN,2029,0.07172413793103448
549,Benin,BEN,2030,0.0706896551724138
550,Benin,BEN,2031,0.0696551724137931
551,Benin,BEN,2032,0.06862068965517241
552,Benin,BEN,2033,0.06758620689655173
553,Benin,BEN,2034,0.06655172413793103
554,Benin,BEN,2035,0.06551724137931035
555,Benin,BEN,2036,0.06448275862068965
556,Benin,BEN,2037,0.06344827586206897
557,Benin,BEN,2038,0.06241379310344827
558,Benin,BEN,2039,0.06137931034482759
559,Benin,BEN,2040,0.0603448275862069
560,Benin,BEN,2041,0.05931034482758621
561,Benin,BEN,2042,0.05827586206896552
562,Benin,BEN,2043,0.05724137931034483
563,Benin,BEN,2044,0.05620689655172414
564,Benin,BEN,2045,0.05517241379310345
565,Benin,BEN,2046,0.054137931034482764
566,Benin,BEN,2047,0.05310344827586207
567,Benin,BEN,2048,0.05206896551724138
568,Benin,BEN,2049,0.051034482758620686
569,Benin,BEN,2050,0.05
570,Burkina Faso,BFA,2021,0.08
571,Burkina Faso,BFA,2022,0.07896551724137932
572,Burkina Faso,BFA,2023,0.07793103448275862
573,Burkina Faso,BFA,2024,0.07689655172413794
574,Burkina Faso,BFA,2025,0.07586206896551724
575,Burkina Faso,BFA,2026,0.07482758620689656
576,Burkina Faso,BFA,2027,0.07379310344827586
577,Burkina Faso,BFA,2028,0.07275862068965518
578,Burkina Faso,BFA,2029,0.07172413793103448
579,Burkina Faso,BFA,2030,0.0706896551724138
580,Burkina Faso,BFA,2031,0.0696551724137931
581,Burkina Faso,BFA,2032,0.06862068965517241
582,Burkina Faso,BFA,2033,0.06758620689655173
583,Burkina Faso,BFA,2034,0.06655172413793103
