,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather
130,Guinea,GIN,2045,1.3426254536248874
131,Guinea,GIN,2046,1.2717185437943275
132,Guinea,GIN,2047,1.204556378894786
133,Guinea,GIN,2048,1.1409411909706173
134,Guinea,GIN,2049,1.0806856566131338
135,Guinea,GIN,2050,1.0236123453618362
136,Angola,AGO,2017,1.289137554989786
137,Angola,AGO,2018,1.5601677386055453
138,Angola,AGO,2019,1.0881794379372811
139,Angola,AGO,2020,1.2214304688213216
140,Angola,AGO,2021,1.221430509694872
141,Angola,AGO,2022,1.066731959385284
142,Angola,AGO,2023,0.9316265347410005
143,Angola,AGO,2024,0.8136326961964063
144,Angola,AGO,2025,0.7105832000629695
145,Angola,AGO,2026,0.6205852918303115
146,Angola,AGO,2027,0.5419859411283346
147,Angola,AGO,2028,0.4733414798059471
148,Angola,AGO,2029,0.41339108545591086
149,Angola,AGO,2030,0.3610336233462463
150,Angola,AGO,2031,0.31530742140403817
151,Angola,AGO,2032,0.275372606769971
152,Angola,AGO,2033,0.24049567949153908
153,Angola,AGO,2034,0.21003604001327317
154,Angola,AGO,2035,0.18343422300860637
155,Angola,AGO,2036,0.16020162143908606
156,Angola,AGO,2037,0.13991151209830735
157,Angola,AGO,2038,0.12219121780286075
158,Angola,AGO,2039,0.10671526226987851
159,Angola,AGO,2040,0.09319939195386545
160,Angola,AGO,2041,0.08139535503931382
161,Angola,AGO,2042,0.0710863416926095
162,Angola,AGO,2043,0.06208300182237339
163,Angola,AGO,2044,0.054219967204720346
164,Angola,AGO,2045,0.047352814093816725
165,Angola,AGO,2046,0.04135541052869464
166,Angola,AGO,2047,0.036117599613159954
167,Angola,AGO,2048,0.031543176216601986
168,Angola,AGO,2049,0.027548119932894775
169,Angola,AGO,2050,0.024059051841384498
170,Latvia,LVA,2017,0.06633752305914857
171,Latvia,LVA,2018,0.06661736190494333
172,Latvia,LVA,2019,0.058508493476312366
173,Latvia,LVA,2020,0.053813177468611494
174,Latvia,LVA,2021,0.05381317586287655
175,Latvia,LVA,2022,0.05097513346690434
176,Latvia,LVA,2023,0.04828676602529385
177,Latvia,LVA,2024,0.04574017986034846
178,Latvia,LVA,2025,0.04332789759747208
179,Latvia,LVA,2026,0.04104283620984286
180,Latvia,LVA,2027,0.03887828622098333
181,Latvia,LVA,2028,0.03682789200416458
182,Latvia,LVA,2029,0.034885633120793035
183,Latvia,LVA,2030,0.03304580664299078
184,Latvia,LVA,2031,0.03130301040846121
185,Latvia,LVA,2032,0.029652127158471556
186,Latvia,LVA,2033,0.02808830951238161
187,Latvia,LVA,2034,0.026606965734596595
188,Latvia,LVA,2035,0.025203746252152638
189,Latvia,LVA,2036,0.023874530883351463
190,Latvia,LVA,2037,0.022615416739938828
191,Latvia,LVA,2038,0.02142270676730921
192,Latvia,LVA,2039,0.02029289888908572
193,Latvia,LVA,2040,0.019222675724202165
194,Latvia,LVA,2041,0.018208894846293674
195,Latvia,LVA,2042,0.017248579556795395
196,Latvia,LVA,2043,0.016338910144656948
197,Latvia,LVA,2044,0.015477215607009235
198,Latvia,LVA,2045,0.01466096580647299
199,Latvia,LVA,2046,0.013887764042081772
200,Latvia,LVA,2047,0.013155340012005589
201,Latvia,LVA,2048,0.012461543147411727
202,Latvia,LVA,2049,0.011804336297890173
203,Latvia,LVA,2050,0.011181789749901775
204,Ecuador,ECU,2017,0.5757723863463879
205,Ecuador,ECU,2018,0.6130656667960466
206,Ecuador,ECU,2019,0.6121553051159945
207,Ecuador,ECU,2020,0.635250131281911
208,Ecuador,ECU,2021,0.6352503542036111
209,Ecuador,ECU,2022,0.6180188854408392
210,Ecuador,ECU,2023,0.6012548284846986
211,Ecuador,ECU,2024,0.5849455045670601
212,Ecuador,ECU,2025,0.56907857883743
213,Ecuador,ECU,2026,0.553642051034004
214,Ecuador,ECU,2027,0.5386242464078087
215,Ecuador,ECU,2028,0.5240138068930064
216,Ecuador,ECU,2029,0.5097996825167072
217,Ecuador,ECU,2030,0.49597112304180313
218,Ecuador,ECU,2031,0.48251766983649896
219,Ecuador,ECU,2032,0.469429147964366
220,Ecuador,ECU,2033,0.45669565848898575
221,Ecuador,ECU,2034,0.4443075709873073
222,Ecuador,ECU,2035,0.4322555162660947
223,Ecuador,ECU,2036,0.4205303792759517
224,Ecuador,ECU,2037,0.4091232922175344
225,Ecuador,ECU,2038,0.3980256278347926
226,Ecuador,ECU,2039,0.38722899289010804
227,Ecuador,ECU,2040,0.37672522181643264
228,Ecuador,ECU,2041,0.3665063705416207
229,Ecuador,ECU,2042,0.3565647104802689
230,Ecuador,ECU,2043,0.3468927226885423
231,Ecuador,ECU,2044,0.3374830921775373
232,Ecuador,ECU,2045,0.3283287023809172
233,Ecuador,ECU,2046,0.3194226297725969
234,Ecuador,ECU,2047,0.3107581386304395
235,Ecuador,ECU,2048,0.3023286759419836
236,Ecuador,ECU,2049,0.29412786644835354
237,Ecuador,ECU,2050,0.286149507822612
238,Malta,MLT,2017,15.249728466472114
239,Malta,MLT,2018,10.753083765578284
240,Malta,MLT,2019,7.400513364219447
241,Malta,MLT,2020,11.11135076174145
242,Malta,MLT,2021,11.111351143840556
243,Malta,MLT,2022,10.53137555735755
244,Malta,MLT,2023,9.981672768175422
245,Malta,MLT,2024,9.46066263692661
246,Malta,MLT,2025,8.966847502264846
247,Malta,MLT,2026,8.498807875786852
248,Malta,MLT,2027,8.055198361664111
249,Malta,MLT,2028,7.634743789257501
250,Malta,MLT,2029,7.236235547595436
251,Malta,MLT,2030,6.858528111180488
252,Malta,MLT,2031,6.500535747137812
253,Malta,MLT,2032,6.161229394238495
254,Malta,MLT,2033,5.839633704828502
255,Malta,MLT,2034,5.5348242411584625
256,Malta,MLT,2035,5.24592481805584
257,Malta,MLT,2036,4.972104984301017
258,Malta,MLT,2037,4.712577635466987
259,Malta,MLT,2038,4.466596751360755
260,Malta,MLT,2039,4.233455251563072
261,Malta,MLT,2040,4.01248296290168
262,Malta,MLT,2041,3.803044693015674
263,Malta,MLT,2042,3.6045384044734767
264,Malta,MLT,2043,3.416393484195817
265,Malta,MLT,2044,3.238069103208931
266,Malta,MLT,2045,3.0690526620133753
267,Malta,MLT,2046,2.9088583170992504
268,Malta,MLT,2047,2.757025584372515
269,Malta,MLT,2048,2.613118015477844
270,Malta,MLT,2049,2.476721943212933
271,Malta,MLT,2050,2.347445292428075
272,Madagascar,MDG,2017,5.381116045504661
273,Madagascar,MDG,2018,5.289412823421674
274,Madagascar,MDG,2019,4.252946918612985
275,Madagascar,MDG,2020,3.7157129201109305
276,Madagascar,MDG,2021,3.7157126503601763
277,Madagascar,MDG,2022,3.5125224614411095
278,Madagascar,MDG,2023,3.320443533471942
279,Madagascar,MDG,2024,3.1388682577853757
280,Madagascar,MDG,2025,2.967222252212356
281,Madagascar,MDG,2026,2.8049625441228603
282,Madagascar,MDG,2027,2.6515758528253075
283,Madagascar,MDG,2028,2.5065769658913113
284,Madagascar,MDG,2029,2.3695072042696084
285,Madagascar,MDG,2030,2.2399329713337153
286,Madagascar,MDG,2031,2.1174443812735526
287,Madagascar,MDG,2032,2.001653962492145
288,Madagascar,MDG,2033,1.8921954319058405
289,Madagascar,MDG,2034,1.7887225362707453
290,Madagascar,MDG,2035,1.6909079568700975
291,Madagascar,MDG,2036,1.5984422740978108
292,Madagascar,MDG,2037,1.5110329886627119
293,Madagascar,MDG,2038,1.4284035963173307
294,Madagascar,MDG,2039,1.3502927131842506
295,Madagascar,MDG,2040,1.276453248913152
296,Madagascar,MDG,2041,1.2066516250529566
297,Madagascar,MDG,2042,1.1406670361665592
298,Madagascar,MDG,2043,1.0782907513507887
299,Madagascar,MDG,2044,1.0193254539520773
300,Madagascar,MDG,2045,0.9635846173891497
301,Madagascar,MDG,2046,0.9108919151082495
302,Madagascar,MDG,2047,0.8610806628044017
303,Madagascar,MDG,2048,0.8139932911442644
304,Madagascar,MDG,2049,0.7694808473226428
305,Madagascar,MDG,2050,0.7274025238758814
306,Singapore,SGP,2017,0.314203194836781
307,Singapore,SGP,2018,0.2772092062969806
308,Singapore,SGP,2019,0.26006049671525594
309,Singapore,SGP,2020,0.3004507700941163
310,Singapore,SGP,2021,0.30045076352589745
311,Singapore,SGP,2022,0.28381330425366813
312,Singapore,SGP,2023,0.26809714419128944
313,Singapore,SGP,2024,0.2532512664004047
314,Singapore,SGP,2025,0.23922747900532274
315,Singapore,SGP,2026,0.2259802587551871
316,Singapore,SGP,2027,0.21346660324888955
317,Singapore,SGP,2028,0.20164589134303235
318,Singapore,SGP,2029,0.19047975128979577
319,Singapore,SGP,2030,0.17993193617667097
320,Singapore,SGP,2031,0.16996820626371775
321,Singapore,SGP,2032,0.16055621783639376
322,Singapore,SGP,2033,0.15166541821316062
323,Singapore,SGP,2034,0.14326694656704192
324,Singapore,SGP,2035,0.13533354023918506
325,Singapore,SGP,2036,0.12783944624031293
326,Singapore,SGP,2037,0.12076033765277835
327,Singapore,SGP,2038,0.11407323466185669
328,Singapore,SGP,2039,0.10775642995992933
329,Singapore,SGP,2040,0.10178941828140989
330,Singapore,SGP,2041,0.0961528298396739
331,Singapore,SGP,2042,0.09082836744991785
332,Singapore,SGP,2043,0.08579874713383967
333,Singapore,SGP,2044,0.08104764201333484
334,Singapore,SGP,2045,0.07655962931107795
335,Singapore,SGP,2046,0.07232014028594769
336,Singapore,SGP,2047,0.0683154129407775
337,Singapore,SGP,2048,0.06453244734891396
338,Singapore,SGP,2049,0.06095896345456439
339,Singapore,SGP,2050,0.05758336120995485
340,Cabo Verde,CPV,2017,89.07492014337583
341,Cabo Verde,CPV,2018,73.79949824959498
342,Cabo Verde,CPV,2019,85.13302965723395
343,Cabo Verde,CPV,2020,75.74552464432745
344,Cabo Verde,CPV,2021,75.74555371987769
345,Cabo Verde,CPV,2022,79.25910018331928
346,Cabo Verde,CPV,2023,82.93562662571087
347,Cabo Verde,CPV,2024,86.78269306477499
348,Cabo Verde,CPV,2025,90.80821019853755
349,Cabo Verde,CPV,2026,95.02045567204081
350,Cabo Verde,CPV,2027,99.42809109861393
351,Cabo Verde,CPV,2028,104.04017987069227
352,Cabo Verde,CPV,2029,108.86620579681328
353,Cabo Verde,CPV,2030,113.91609260311083
354,Cabo Verde,CPV,2031,119.20022433941025
355,Cabo Verde,CPV,2032,124.72946673188208
356,Cabo Verde,CPV,2033,130.51518952616638
357,Cabo Verde,CPV,2034,136.5692898669071
358,Cabo Verde,CPV,2035,142.90421676177382
359,Cabo Verde,CPV,2036,149.53299668027742
360,Cabo Verde,CPV,2037,156.46926034001433
361,Cabo Verde,CPV,2038,163.72727073542518
362,Cabo Verde,CPV,2039,171.32195246669718
363,Cabo Verde,CPV,2040,179.2689224291245
364,Cabo Verde,CPV,2041,187.58452192603067
365,Cabo Verde,CPV,2042,196.2858502712831
366,Cabo Verde,CPV,2043,205.39079995050562
367,Cabo Verde,CPV,2044,214.91809341327945
368,Cabo Verde,CPV,2045,224.8873215719976
369,Cabo Verde,CPV,2046,235.31898408653058
370,Cabo Verde,CPV,2047,246.2345315175475
371,Cabo Verde,CPV,2048,257.656409435164
372,Cabo Verde,CPV,2049,269.6081045736269
373,Cabo Verde,CPV,2050,282.114193126932
374,China,CHN,2017,0.0060258795800006435
375,China,CHN,2018,0.005877986039964544
376,China,CHN,2019,0.005528088173099049
377,China,CHN,2020,0.005591385429512003
378,China,CHN,2021,0.005591386057060722
379,China,CHN,2022,0.005270982666258364
380,China,CHN,2023,0.004968939362166185
381,China,CHN,2024,0.004684204056093218
382,China,CHN,2025,0.004415784947223574
383,China,CHN,2026,0.004162747067938208
384,China,CHN,2027,0.00392420902710025
385,China,CHN,2028,0.0036993399399599712
386,China,CHN,2029,0.003487356533985529
387,China,CHN,2030,0.0032875204205383645
388,China,CHN,2031,0.0030991355228898914
389,China,CHN,2032,0.0029215456516206717
390,China,CHN,2033,0.0027541322189564973
391,China,CHN,2034,0.0025963120840800397
392,China,CHN,2035,0.0024475355219126162
393,China,CHN,2036,0.002307284308290956
394,China,CHN,2037,0.0021750699148691396
395,China,CHN,2038,0.0020504318074581495
396,China,CHN,2039,0.001932935841875702
397,China,CHN,2040,0.0018221727517187792
398,China,CHN,2041,0.0017177567227913723
399,China,CHN,2042,0.0016193240492218377
400,China,CHN,2043,0.0015265318665888315
401,China,CHN,2044,0.001439056957642898
402,China,CHN,2045,0.001356594626463986
403,China,CHN,2046,0.0012788576371329727
404,China,CHN,2047,0.0012055752132206646
405,China,CHN,2048,0.0011364920946090697
406,China,CHN,2049,0.0010713676483596465
407,China,CHN,2050,0.0010099750305315686
408,Qatar,QAT,2017,4.076613078911475
409,Qatar,QAT,2018,3.348482532027467
410,Qatar,QAT,2019,3.367582228716184
411,Qatar,QAT,2020,3.8616422987363213
412,Qatar,QAT,2021,3.8616423553422985
413,Qatar,QAT,2022,3.7805918911025445
414,Qatar,QAT,2023,3.7012425625840666
415,Qatar,QAT,2024,3.6235586653307705
416,Qatar,QAT,2025,3.5475052442730837
417,Qatar,QAT,2026,3.473048077999378
418,Qatar,QAT,2027,3.4001536633575293
419,Qatar,QAT,2028,3.32878920037965
420,Qatar,QAT,2029,3.2589225775232347
421,Qatar,QAT,2030,3.1905223572220804
422,Qatar,QAT,2031,3.1235577617404666
423,Qatar,QAT,2032,3.057998659324228
424,Qatar,QAT,2033,2.9938155506425415
425,Qatar,QAT,2034,2.930979555514157
426,Qatar,QAT,2035,2.8694623999124853
427,Qatar,QAT,2036,2.8092364032430455
428,Qatar,QAT,2037,2.750274465888312
429,Qatar,QAT,2038,2.69255005701377
430,Qatar,QAT,2039,2.6360372026299745
431,Qatar,QAT,2040,2.58071047390513
432,Qatar,QAT,2041,2.5265449757229708
433,Qatar,QAT,2042,2.473516335480912
434,Qatar,QAT,2043,2.4216006921230946
435,Qatar,QAT,2044,2.37077468540388
436,Qatar,QAT,2045,2.3210154453763616
437,Qatar,QAT,2046,2.2723005821018973
438,Qatar,QAT,2047,2.2246081755752183
439,Qatar,QAT,2048,2.1779167658612932
440,Qatar,QAT,2049,2.132205343439071
441,Qatar,QAT,2050,2.08745333974791
442,Nepal,NPL,2017,2.3654975293946547
443,Nepal,NPL,2018,2.326761391086829
444,Nepal,NPL,2019,2.3906348554578716
445,Nepal,NPL,2020,2.7429902409843843
446,Nepal,NPL,2021,2.7429900260718787
447,Nepal,NPL,2022,2.59106826289375
448,Nepal,NPL,2023,2.447560756387269
449,Nepal,NPL,2024,2.312001479079779
450,Nepal,NPL,2025,2.1839502146443595
451,Nepal,NPL,2026,2.0629911283376625
452,Nepal,NPL,2027,1.9487314166147145
453,Nepal,NPL,2028,1.8408000315353854
454,Nepal,NPL,2029,1.7388464758202364
455,Nepal,NPL,2030,1.6425396646427284
456,Nepal,NPL,2031,1.5515668504615936
457,Nepal,NPL,2032,1.4656326074018662
458,Nepal,NPL,2033,1.3844578718864347
459,Nepal,NPL,2034,1.3077790364026487
460,Nepal,NPL,2035,1.2353470934610946
461,Nepal,NPL,2036,1.1669268269665958
462,Nepal,NPL,2037,1.1022960483755038
463,Nepal,NPL,2038,1.0412448751587668
464,Nepal,NPL,2039,0.9835750492276658
465,Nepal,NPL,2040,0.9290992931088322
466,Nepal,NPL,2041,0.8776407017778295
467,Nepal,NPL,2042,0.8290321681763001
468,Nepal,NPL,2043,0.7831158405471045
469,Nepal,NPL,2044,0.7397426098252153
470,Nepal,NPL,2045,0.6987716254197172
471,Nepal,NPL,2046,0.6600698378143733
472,Nepal,NPL,2047,0.6235115665015641
473,Nepal,NPL,2048,0.588978091846341
474,Nepal,NPL,2049,0.556357269555303
475,Nepal,NPL,2050,0.5255431664982598
476,Libya,LBY,2017,0.40063898466455
477,Libya,LBY,2018,0.3289514684977532
478,Libya,LBY,2019,0.35082062775827727
479,Libya,LBY,2020,0.4028961536608835
480,Libya,LBY,2021,0.40289615337880275
481,Libya,LBY,2022,0.3370151585300507
482,Libya,LBY,2023,0.2819069284393197
483,Libya,LBY,2024,0.2358099162326118
484,Libya,LBY,2025,0.1972506206267308
485,Libya,LBY,2026,0.16499648513190812
486,Libya,LBY,2027,0.1380164991085192
487,Libya,LBY,2028,0.11544824128188731
488,Libya,LBY,2029,0.09657031225376227
489,Libya,LBY,2030,0.08077927480955324
490,Libya,LBY,2031,0.06757036491308548
491,Libya,LBY,2032,0.05652135681153162
492,Libya,LBY,2033,0.04727906649498947
493,Libya,LBY,2034,0.03954806209078091
494,Libya,LBY,2035,0.033081220317706966
495,Libya,LBY,2036,0.027671827135210665
496,Libya,LBY,2037,0.023146970082936074
497,Libya,LBY,2038,0.019362011095342215
498,Libya,LBY,2039,0.01619596311365691
499,Libya,LBY,2040,0.013547622707541855
500,Libya,LBY,2041,0.0113323350848545
501,Libya,LBY,2042,0.009479288082324093
502,Libya,LBY,2043,0.007929248638948519
503,Libya,LBY,2044,0.0066326693979799605
504,Libya,LBY,2045,0.005548104914608103
505,Libya,LBY,2046,0.0046408868430670306
506,Libya,LBY,2047,0.003882015755225502
507,Libya,LBY,2048,0.0032472341673945374
508,Libya,LBY,2049,0.002716251144447498
509,Libya,LBY,2050,0.0022720936955502014
510,Belgium,BEL,2017,0.04089576964264075
511,Belgium,BEL,2018,0.03781679633572959
512,Belgium,BEL,2019,0.0370394918635736
513,Belgium,BEL,2020,0.037702960561050235
514,Belgium,BEL,2021,0.037702952409113394
515,Belgium,BEL,2022,0.03821231266672047
516,Belgium,BEL,2023,0.03872855429184529
517,Belgium,BEL,2024,0.03925177025055259
518,Belgium,BEL,2025,0.03978205476486364
519,Belgium,BEL,2026,0.040319503329721125
520,Belgium,BEL,2027,0.04086421273018835
521,Belgium,BEL,2028,0.04141628105887784
522,Belgium,BEL,2029,0.04197580773361576
523,Belgium,BEL,2030,0.04254289351534595
524,Belgium,BEL,2031,0.04311764052627463
525,Belgium,BEL,2032,0.04370015226826125
526,Belgium,BEL,2033,0.044290533641457006
527,Belgium,BEL,2034,0.04488889096319587
528,Belgium,BEL,2035,0.04549533198714019
529,Belgium,BEL,2036,0.046109965922685424
530,Belgium,BEL,2037,0.046732903454626634
531,Belgium,BEL,2038,0.047364256763091105
532,Belgium,BEL,2039,0.04800413954373991
533,Belgium,BEL,2040,0.04865266702824252
534,Belgium,BEL,2041,0.04930995600502789
535,Belgium,BEL,2042,0.049976124840316244
536,Belgium,BEL,2043,0.050651293499434605
537,Belgium,BEL,2044,0.05133558356842039
538,Belgium,BEL,2045,0.05202911827591715
539,Belgium,BEL,2046,0.05273202251536552
540,Belgium,BEL,2047,0.05344442286749483
541,Belgium,BEL,2048,0.05416644762311758
542,Belgium,BEL,2049,0.05489822680623266
543,Belgium,BEL,2050,0.05563989219744042
544,Eritrea,ERI,2017,13.682904481960348
545,Eritrea,ERI,2018,13.682904481960348
546,Eritrea,ERI,2019,13.682904481960348
547,Eritrea,ERI,2020,13.682904481960348
548,Eritrea,ERI,2021,13.682904437974225
549,Eritrea,ERI,2022,13.544811948597754
550,Eritrea,ERI,2023,13.408113135228342
551,Eritrea,ERI,2024,13.27279393241739
552,Eritrea,ERI,2025,13.138840416669526
553,Eritrea,ERI,2026,13.006238805010042
554,Eritrea,ERI,2027,12.874975453566602
555,Eritrea,ERI,2028,12.745036856165475
556,Eritrea,ERI,2029,12.616409642941774
557,Eritrea,ERI,2030,12.48908057896382
558,Eritrea,ERI,2031,12.363036562871295
559,Eritrea,ERI,2032,12.238264625527252
560,Eritrea,ERI,2033,12.114751928683676
561,Eritrea,ERI,2034,11.992485763660461
562,Eritrea,ERI,2035,11.871453550037762
563,Eritrea,ERI,2036,11.751642834361617
564,Eritrea,ERI,2037,11.63304128886252
565,Eritrea,ERI,2038,11.515636710186962
566,Eritrea,ERI,2039,11.399417018141794
567,Eritrea,ERI,2040,11.28437025445125
568,Eritrea,ERI,2041,11.170484581526557
569,Eritrea,ERI,2042,11.057748281247827
570,Eritrea,ERI,2043,10.946149753758434
571,Eritrea,ERI,2044,10.83567751627141
572,Eritrea,ERI,2045,10.726320201887933
573,Eritrea,ERI,2046,10.618066558427778
574,Eritrea,ERI,2047,10.510905447271497
575,Eritrea,ERI,2048,10.404825842214388
576,Eritrea,ERI,2049,10.299816828331895
577,Eritrea,ERI,2050,10.195867600856571
578,Germany,DEU,2017,0.012664898593618641
579,Germany,DEU,2018,0.012172579363651872
580,Germany,DEU,2019,0.012498216105118023
581,Germany,DEU,2020,0.011896037924375073
582,Germany,DEU,2021,0.011896037470573658
583,Germany,DEU,2022,0.01177172609129737
584,Germany,DEU,2023,0.011648713742816492
585,Germany,DEU,2024,0.011526986850500786
586,Germany,DEU,2025,0.011406531981572373
587,Germany,DEU,2026,0.01128733584362342
588,Germany,DEU,2027,0.011169385283149286
589,Germany,DEU,2028,0.011052667284096984
590,Germany,DEU,2029,0.010937168966428882
591,Germany,DEU,2030,0.010822877584701336
592,Germany,DEU,2031,0.010709780526658207
593,Germany,DEU,2032,0.010597865311839118
594,Germany,DEU,2033,0.010487119590202152
595,Germany,DEU,2034,0.010377531140761053
596,Germany,DEU,2035,0.010269087870236584
597,Germany,DEU,2036,0.01016177781172204
598,Germany,DEU,2037,0.010055589123362607
599,Germany,DEU,2038,0.009950510087048862
600,Germany,DEU,2039,0.009846529107123072
601,Germany,DEU,2040,0.009743634709100333
602,Germany,DEU,2041,0.00964181553840183
603,Germany,DEU,2042,0.009541060359101855
604,Germany,DEU,2043,0.009441358052688309
605,Germany,DEU,2044,0.009342697616835307
606,Germany,DEU,2045,0.009245068164189168
607,Germany,DEU,2046,0.00914845892116715
608,Germany,DEU,2047,0.009052859226768396
609,Germany,DEU,2048,0.00895825853139756
610,Germany,DEU,2049,0.008864646395700644
611,Germany,DEU,2050,0.008772012489412766
612,Peru,PER,2017,0.28420581203316037
613,Peru,PER,2018,0.26631905490244756
614,Peru,PER,2019,0.25090319520265547
