Nation,Year,prodinit_ippu_metals_tonne
chile,2006,1723.732122
chile,2007,1723.732122
chile,2008,1723.732122
chile,2009,1723.732122
chile,2010,1723.732122
chile,2011,1723.732122
chile,2012,1723.732122
chile,2013,1723.732122
chile,2014,1723.732122
chile,2015,1723.732122
chile,2016,1723.732122
chile,2017,1723.732122
chile,2018,1723.732122
chile,2019,1723.732122
colombia,1990,6840.1132179999995
colombia,1991,6840.1132179999995
colombia,1992,6840.1132179999995
colombia,1993,6840.1132179999995
colombia,1994,6840.1132179999995
colombia,1995,6840.1132179999995
colombia,1996,6840.1132179999995
colombia,1997,6840.1132179999995
colombia,1998,6840.1132179999995
colombia,1999,6840.1132179999995
colombia,2000,6840.1132179999995
colombia,2001,6840.1132179999995
colombia,2002,6840.1132179999995
colombia,2003,6840.1132179999995
colombia,2004,6840.1132179999995
colombia,2005,6840.1132179999995
colombia,2006,6840.1132179999995
colombia,2007,6840.1132179999995
colombia,2008,6840.1132179999995
colombia,2009,6840.1132179999995
colombia,2010,6840.1132179999995
colombia,2011,6840.1132179999995
colombia,2012,6840.1132179999995
colombia,2013,6840.1132179999995
colombia,2014,6840.1132179999995
colombia,2015,6840.1132179999995
colombia,2016,6840.1132179999995
colombia,2017,6840.1132179999995
colombia,2018,6840.1132179999995
colombia,2019,6840.1132179999995
costa_rica,1990,787.4551727999999
costa_rica,1991,787.4551727999999
costa_rica,1992,787.4551727999999
costa_rica,1993,787.4551727999999
costa_rica,1994,787.4551727999999
costa_rica,1995,787.4551727999999
costa_rica,1996,787.4551727999999
costa_rica,1997,787.4551727999999
costa_rica,1998,787.4551727999999
costa_rica,1999,787.4551727999999
costa_rica,2000,787.4551727999999
costa_rica,2001,787.4551727999999
costa_rica,2002,787.4551727999999
costa_rica,2003,787.4551727999999
costa_rica,2004,787.4551727999999
costa_rica,2005,787.4551727999999
costa_rica,2006,787.4551727999999
costa_rica,2007,787.4551727999999
costa_rica,2008,787.4551727999999
costa_rica,2009,787.4551727999999
costa_rica,2010,787.4551727999999
costa_rica,2011,787.4551727999999
costa_rica,2012,787.4551727999999
costa_rica,2013,787.4551727999999
costa_rica,2014,787.4551727999999
costa_rica,2015,787.4551727999999
costa_rica,2016,787.4551727999999
costa_rica,2017,787.4551727999999
costa_rica,2018,787.4551727999999
costa_rica,2019,787.4551727999999
dominican_republic,1990,635.3808486
dominican_republic,1991,635.3808486
dominican_republic,1992,635.3808486
dominican_republic,1993,635.3808486
dominican_republic,1994,635.3808486
dominican_republic,1995,635.3808486
dominican_republic,1996,635.3808486
dominican_republic,1997,635.3808486
dominican_republic,1998,635.3808486
dominican_republic,1999,635.3808486
dominican_republic,2000,635.3808486
dominican_republic,2001,635.3808486
dominican_republic,2002,635.3808486
dominican_republic,2003,635.3808486
dominican_republic,2004,635.3808486
dominican_republic,2005,635.3808486
dominican_republic,2006,635.3808486
dominican_republic,2007,635.3808486
dominican_republic,2008,635.3808486
dominican_republic,2009,635.3808486
dominican_republic,2010,635.3808486
dominican_republic,2011,635.3808486
dominican_republic,2012,635.3808486
dominican_republic,2013,635.3808486
dominican_republic,2014,635.3808486
dominican_republic,2015,635.3808486
dominican_republic,2016,635.3808486
dominican_republic,2017,635.3808486
dominican_republic,2018,635.3808486
dominican_republic,2019,635.3808486
ecuador,1990,1708.164638
ecuador,1991,1708.164638
ecuador,1992,1708.164638
ecuador,1993,1708.164638
ecuador,1994,1708.164638
ecuador,1995,1708.164638
ecuador,1996,1708.164638
ecuador,1997,1708.164638
ecuador,1998,1708.164638
ecuador,1999,1708.164638
ecuador,2000,1708.164638
ecuador,2001,1708.164638
ecuador,2002,1708.164638
ecuador,2003,1708.164638
ecuador,2004,1708.164638
ecuador,2005,1708.164638
ecuador,2006,1708.164638
ecuador,2007,1708.164638
ecuador,2008,1708.164638
ecuador,2009,1708.164638
ecuador,2010,1708.164638
ecuador,2011,1708.164638
ecuador,2012,1708.164638
ecuador,2013,1708.164638
ecuador,2014,1708.164638
ecuador,2015,1708.164638
ecuador,2016,1708.164638
ecuador,2017,1708.164638
ecuador,2018,1708.164638
ecuador,2019,1708.164638
el_salvador,1990,614.2596912
el_salvador,1991,614.2596912
el_salvador,1992,614.2596912
el_salvador,1993,614.2596912
el_salvador,1994,614.2596912
el_salvador,1995,614.2596912
el_salvador,1996,614.2596912
el_salvador,1997,614.2596912
el_salvador,1998,614.2596912
el_salvador,1999,614.2596912
el_salvador,2000,614.2596912
el_salvador,2001,614.2596912
el_salvador,2002,614.2596912
el_salvador,2003,614.2596912
el_salvador,2004,614.2596912
el_salvador,2005,614.2596912
el_salvador,2006,614.2596912
el_salvador,2007,614.2596912
el_salvador,2008,614.2596912
el_salvador,2009,614.2596912
el_salvador,2010,614.2596912
el_salvador,2011,614.2596912
el_salvador,2012,614.2596912
el_salvador,2013,614.2596912
el_salvador,2014,614.2596912
el_salvador,2015,614.2596912
el_salvador,2016,614.2596912
el_salvador,2017,614.2596912
el_salvador,2018,614.2596912
el_salvador,2019,614.2596912
guatemala,1990,1818.613753
guatemala,1991,1818.613753
guatemala,1992,1818.613753
guatemala,1993,1818.613753
guatemala,1994,1818.613753
guatemala,1995,1818.613753
guatemala,1996,1818.613753
guatemala,1997,1818.613753
guatemala,1998,1818.613753
guatemala,1999,1818.613753
guatemala,2000,1818.613753
guatemala,2001,1818.613753
guatemala,2002,1818.613753
guatemala,2003,1818.613753
guatemala,2004,1818.613753
guatemala,2005,1818.613753
guatemala,2006,1818.613753
guatemala,2007,1818.613753
guatemala,2008,1818.613753
guatemala,2009,1818.613753
guatemala,2010,1818.613753
guatemala,2011,1818.613753
guatemala,2012,1818.613753
guatemala,2013,1818.613753
guatemala,2014,1818.613753
guatemala,2015,1818.613753
guatemala,2016,1818.613753
guatemala,2017,1818.613753
guatemala,2018,1818.613753
guatemala,2019,1818.613753
guyana,1990,0.9633944272999999
guyana,1991,0.9633944272999999
guyana,1992,0.9633944272999999
guyana,1993,0.9633944272999999
guyana,1994,0.9633944272999999
guyana,1995,0.9633944272999999
guyana,1996,0.9633944272999999
guyana,1997,0.9633944272999999
guyana,1998,0.9633944272999999
guyana,1999,0.9633944272999999
guyana,2000,0.9633944272999999
guyana,2001,0.9633944272999999
guyana,2002,0.9633944272999999
guyana,2003,0.9633944272999999
guyana,2004,0.9633944272999999
guyana,2005,0.9633944272999999
guyana,2006,0.9633944272999999
guyana,2007,0.9633944272999999
guyana,2008,0.9633944272999999
guyana,2009,0.9633944272999999
guyana,2010,0.9633944272999999
guyana,2011,0.9633944272999999
guyana,2012,0.9633944272999999
guyana,2013,0.9633944272999999
guyana,2014,0.9633944272999999
guyana,2015,0.9633944272999999
guyana,2016,0.9633944272999999
guyana,2017,0.9633944272999999
guyana,2018,0.9633944272999999
guyana,2019,0.9633944272999999
haiti,1990,27.223182930000004
haiti,1991,27.223182930000004
haiti,1992,27.223182930000004
haiti,1993,27.223182930000004
haiti,1994,27.223182930000004
haiti,1995,27.223182930000004
haiti,1996,27.223182930000004
haiti,1997,27.223182930000004
haiti,1998,27.223182930000004
haiti,1999,27.223182930000004
haiti,2000,27.223182930000004
haiti,2001,27.223182930000004
haiti,2002,27.223182930000004
haiti,2003,27.223182930000004
haiti,2004,27.223182930000004
haiti,2005,27.223182930000004
haiti,2006,27.223182930000004
haiti,2007,27.223182930000004
haiti,2008,27.223182930000004
haiti,2009,27.223182930000004
haiti,2010,27.223182930000004
haiti,2011,27.223182930000004
haiti,2012,27.223182930000004
haiti,2013,27.223182930000004
haiti,2014,27.223182930000004
haiti,2015,27.223182930000004
haiti,2016,27.223182930000004
haiti,2017,27.223182930000004
haiti,2018,27.223182930000004
haiti,2019,27.223182930000004
honduras,1990,115.9277962
honduras,1991,115.9277962
honduras,1992,115.9277962
honduras,1993,115.9277962
honduras,1994,115.9277962
honduras,1995,115.9277962
honduras,1996,115.9277962
honduras,1997,115.9277962
honduras,1998,115.9277962
honduras,1999,115.9277962
honduras,2000,115.9277962
honduras,2001,115.9277962
honduras,2002,115.9277962
honduras,2003,115.9277962
honduras,2004,115.9277962
honduras,2005,115.9277962
honduras,2006,115.9277962
honduras,2007,115.9277962
honduras,2008,115.9277962
honduras,2009,115.9277962
honduras,2010,115.9277962
honduras,2011,115.9277962
honduras,2012,115.9277962
honduras,2013,115.9277962
honduras,2014,115.9277962
honduras,2015,115.9277962
honduras,2016,115.9277962
honduras,2017,115.9277962
honduras,2018,115.9277962
honduras,2019,115.9277962
jamaica,1990,4.054644878
jamaica,1991,4.054644878
jamaica,1992,4.054644878
jamaica,1993,4.054644878
jamaica,1994,4.054644878
jamaica,1995,4.054644878
jamaica,1996,4.054644878
jamaica,1997,4.054644878
jamaica,1998,4.054644878
jamaica,1999,4.054644878
jamaica,2000,4.054644878
jamaica,2001,4.054644878
jamaica,2002,4.054644878
jamaica,2003,4.054644878
jamaica,2004,4.054644878
jamaica,2005,4.054644878
jamaica,2006,4.054644878
jamaica,2007,4.054644878
jamaica,2008,4.054644878
jamaica,2009,4.054644878
jamaica,2010,4.054644878
jamaica,2011,4.054644878
jamaica,2012,4.054644878
jamaica,2013,4.054644878
jamaica,2014,4.054644878
jamaica,2015,4.054644878
jamaica,2016,4.054644878
jamaica,2017,4.054644878
jamaica,2018,4.054644878
jamaica,2019,4.054644878
mexico,1990,18308.11722
mexico,1991,18308.11722
mexico,1992,18308.11722
mexico,1993,18308.11722
mexico,1994,18308.11722
mexico,1995,18308.11722
mexico,1996,18308.11722
mexico,1997,18308.11722
mexico,1998,18308.11722
mexico,1999,18308.11722
mexico,2000,18308.11722
mexico,2001,18308.11722
mexico,2002,18308.11722
mexico,2003,18308.11722
mexico,2004,18308.11722
mexico,2005,18308.11722
mexico,2006,18308.11722
mexico,2007,18308.11722
mexico,2008,18308.11722
mexico,2009,18308.11722
mexico,2010,18308.11722
mexico,2011,18308.11722
mexico,2012,18308.11722
mexico,2013,18308.11722
mexico,2014,18308.11722
mexico,2015,18308.11722
mexico,2016,18308.11722
mexico,2017,18308.11722
mexico,2018,18308.11722
mexico,2019,18308.11722
nicaragua,1990,4.4675150299999995
nicaragua,1991,4.4675150299999995
nicaragua,1992,4.4675150299999995
nicaragua,1993,4.4675150299999995
nicaragua,1994,4.4675150299999995
nicaragua,1995,4.4675150299999995
nicaragua,1996,4.4675150299999995
nicaragua,1997,4.4675150299999995
nicaragua,1998,4.4675150299999995
nicaragua,1999,4.4675150299999995
nicaragua,2000,4.4675150299999995
nicaragua,2001,4.4675150299999995
nicaragua,2002,4.4675150299999995
nicaragua,2003,4.4675150299999995
nicaragua,2004,4.4675150299999995
nicaragua,2005,4.4675150299999995
nicaragua,2006,4.4675150299999995
nicaragua,2007,4.4675150299999995
nicaragua,2008,4.4675150299999995
nicaragua,2009,4.4675150299999995
nicaragua,2010,4.4675150299999995
nicaragua,2011,4.4675150299999995
nicaragua,2012,4.4675150299999995
nicaragua,2013,4.4675150299999995
nicaragua,2014,4.4675150299999995
nicaragua,2015,4.4675150299999995
nicaragua,2016,4.4675150299999995
nicaragua,2017,4.4675150299999995
nicaragua,2018,4.4675150299999995
nicaragua,2019,4.4675150299999995
panama,1990,283.95298690000004
panama,1991,283.95298690000004
panama,1992,283.95298690000004
panama,1993,283.95298690000004
panama,1994,283.95298690000004
panama,1995,283.95298690000004
panama,1996,283.95298690000004
panama,1997,283.95298690000004
panama,1998,283.95298690000004
panama,1999,283.95298690000004
panama,2000,283.95298690000004
panama,2001,283.95298690000004
panama,2002,283.95298690000004
panama,2003,283.95298690000004
panama,2004,283.95298690000004
panama,2005,283.95298690000004
panama,2006,283.95298690000004
panama,2007,283.95298690000004
panama,2008,283.95298690000004
panama,2009,283.95298690000004
panama,2010,283.95298690000004
panama,2011,283.95298690000004
panama,2012,283.95298690000004
panama,2013,283.95298690000004
panama,2014,283.95298690000004
panama,2015,283.95298690000004
panama,2016,283.95298690000004
panama,2017,283.95298690000004
panama,2018,283.95298690000004
panama,2019,283.95298690000004
paraguay,1990,147.86041630000003
paraguay,1991,147.86041630000003
paraguay,1992,147.86041630000003
paraguay,1993,147.86041630000003
paraguay,1994,147.86041630000003
paraguay,1995,147.86041630000003
paraguay,1996,147.86041630000003
paraguay,1997,147.86041630000003
paraguay,1998,147.86041630000003
paraguay,1999,147.86041630000003
paraguay,2000,147.86041630000003
paraguay,2001,147.86041630000003
paraguay,2002,147.86041630000003
paraguay,2003,147.86041630000003
paraguay,2004,147.86041630000003
paraguay,2005,147.86041630000003
paraguay,2006,147.86041630000003
paraguay,2007,147.86041630000003
paraguay,2008,147.86041630000003
paraguay,2009,147.86041630000003
paraguay,2010,147.86041630000003
paraguay,2011,147.86041630000003
paraguay,2012,147.86041630000003
paraguay,2013,147.86041630000003
paraguay,2014,147.86041630000003
paraguay,2015,147.86041630000003
paraguay,2016,147.86041630000003
paraguay,2017,147.86041630000003
paraguay,2018,147.86041630000003
paraguay,2019,147.86041630000003
peru,1990,18663.87245
peru,1991,18663.87245
peru,1992,18663.87245
peru,1993,18663.87245
peru,1994,18663.87245
peru,1995,18663.87245
peru,1996,18663.87245
peru,1997,18663.87245
peru,1998,18663.87245
peru,1999,18663.87245
peru,2000,18663.87245
peru,2001,18663.87245
peru,2002,18663.87245
peru,2003,18663.87245
peru,2004,18663.87245
peru,2005,18663.87245
peru,2006,18663.87245
peru,2007,18663.87245
peru,2008,18663.87245
peru,2009,18663.87245
peru,2010,18663.87245
peru,2011,18663.87245
peru,2012,18663.87245
peru,2013,18663.87245
peru,2014,18663.87245
peru,2015,18663.87245
peru,2016,18663.87245
peru,2017,18663.87245
peru,2018,18663.87245
peru,2019,18663.87245
suriname,1990,4.6277451140000005
suriname,1991,4.6277451140000005
suriname,1992,4.6277451140000005
suriname,1993,4.6277451140000005
suriname,1994,4.6277451140000005
suriname,1995,4.6277451140000005
suriname,1996,4.6277451140000005
suriname,1997,4.6277451140000005
suriname,1998,4.6277451140000005
suriname,1999,4.6277451140000005
suriname,2000,4.6277451140000005
suriname,2001,4.6277451140000005
suriname,2002,4.6277451140000005
suriname,2003,4.6277451140000005
suriname,2004,4.6277451140000005
suriname,2005,4.6277451140000005
suriname,2006,4.6277451140000005
suriname,2007,4.6277451140000005
suriname,2008,4.6277451140000005
suriname,2009,4.6277451140000005
suriname,2010,4.6277451140000005
suriname,2011,4.6277451140000005
suriname,2012,4.6277451140000005
suriname,2013,4.6277451140000005
suriname,2014,4.6277451140000005
suriname,2015,4.6277451140000005
suriname,2016,4.6277451140000005
suriname,2017,4.6277451140000005
suriname,2018,4.6277451140000005
suriname,2019,4.6277451140000005
trinidad_and_tobago,1990,20.684124500000003
trinidad_and_tobago,1991,20.684124500000003
trinidad_and_tobago,1992,20.684124500000003
trinidad_and_tobago,1993,20.684124500000003
trinidad_and_tobago,1994,20.684124500000003
trinidad_and_tobago,1995,20.684124500000003
trinidad_and_tobago,1996,20.684124500000003
trinidad_and_tobago,1997,20.684124500000003
trinidad_and_tobago,1998,20.684124500000003
trinidad_and_tobago,1999,20.684124500000003
trinidad_and_tobago,2000,20.684124500000003
trinidad_and_tobago,2001,20.684124500000003
trinidad_and_tobago,2002,20.684124500000003
trinidad_and_tobago,2003,20.684124500000003
trinidad_and_tobago,2004,20.684124500000003
trinidad_and_tobago,2005,20.684124500000003
trinidad_and_tobago,2006,20.684124500000003
trinidad_and_tobago,2007,20.684124500000003
trinidad_and_tobago,2008,20.684124500000003
trinidad_and_tobago,2009,20.684124500000003
trinidad_and_tobago,2010,20.684124500000003
trinidad_and_tobago,2011,20.684124500000003
trinidad_and_tobago,2012,20.684124500000003
trinidad_and_tobago,2013,20.684124500000003
trinidad_and_tobago,2014,20.684124500000003
trinidad_and_tobago,2015,20.684124500000003
trinidad_and_tobago,2016,20.684124500000003
trinidad_and_tobago,2017,20.684124500000003
trinidad_and_tobago,2018,20.684124500000003
trinidad_and_tobago,2019,20.684124500000003
uruguay,1990,93.26265411
uruguay,1991,93.26265411
uruguay,1992,93.26265411
uruguay,1993,93.26265411
uruguay,1994,93.26265411
uruguay,1995,93.26265411
uruguay,1996,93.26265411
uruguay,1997,93.26265411
uruguay,1998,93.26265411
uruguay,1999,93.26265411
uruguay,2000,93.26265411
uruguay,2001,93.26265411
uruguay,2002,93.26265411
uruguay,2003,93.26265411
uruguay,2004,93.26265411
uruguay,2005,93.26265411
uruguay,2006,93.26265411
uruguay,2007,93.26265411
uruguay,2008,93.26265411
uruguay,2009,93.26265411
uruguay,2010,93.26265411
uruguay,2011,93.26265411
uruguay,2012,93.26265411
uruguay,2013,93.26265411
uruguay,2014,93.26265411
uruguay,2015,93.26265411
uruguay,2016,93.26265411
uruguay,2017,93.26265411
uruguay,2018,93.26265411
uruguay,2019,93.26265411
venezuela,1990,454.4602649
venezuela,1991,454.4602649
venezuela,1992,454.4602649
venezuela,1993,454.4602649
venezuela,1994,454.4602649
venezuela,1995,454.4602649
venezuela,1996,454.4602649
venezuela,1997,454.4602649
venezuela,1998,454.4602649
venezuela,1999,454.4602649
venezuela,2000,454.4602649
venezuela,2001,454.4602649
venezuela,2002,454.4602649
venezuela,2003,454.4602649
venezuela,2004,454.4602649
venezuela,2005,454.4602649
venezuela,2006,454.4602649
venezuela,2007,454.4602649
venezuela,2008,454.4602649
venezuela,2009,454.4602649
venezuela,2010,454.4602649
venezuela,2011,454.4602649
venezuela,2012,454.4602649
venezuela,2013,454.4602649
venezuela,2014,454.4602649
venezuela,2015,454.4602649
venezuela,2016,454.4602649
venezuela,2017,454.4602649
venezuela,2018,454.4602649
venezuela,2019,454.4602649
