Nation,Year,prodinit_ippu_electronics_tonne
haiti,2010,17.63849842
haiti,2011,17.63849842
haiti,2012,17.63849842
haiti,2013,17.63849842
haiti,2014,17.63849842
haiti,2015,17.63849842
haiti,2016,17.63849842
haiti,2017,17.63849842
haiti,2018,17.63849842
haiti,2019,17.63849842
honduras,1990,872.5820111
honduras,1991,872.5820111
honduras,1992,872.5820111
honduras,1993,872.5820111
honduras,1994,872.5820111
honduras,1995,872.5820111
honduras,1996,872.5820111
honduras,1997,872.5820111
honduras,1998,872.5820111
honduras,1999,872.5820111
honduras,2000,872.5820111
honduras,2001,872.5820111
honduras,2002,872.5820111
honduras,2003,872.5820111
honduras,2004,872.5820111
honduras,2005,872.5820111
honduras,2006,872.5820111
honduras,2007,872.5820111
honduras,2008,872.5820111
honduras,2009,872.5820111
honduras,2010,872.5820111
honduras,2011,872.5820111
honduras,2012,872.5820111
honduras,2013,872.5820111
honduras,2014,872.5820111
honduras,2015,872.5820111
honduras,2016,872.5820111
honduras,2017,872.5820111
honduras,2018,872.5820111
honduras,2019,872.5820111
jamaica,1990,15.524952140000002
jamaica,1991,15.524952140000002
jamaica,1992,15.524952140000002
jamaica,1993,15.524952140000002
jamaica,1994,15.524952140000002
jamaica,1995,15.524952140000002
jamaica,1996,15.524952140000002
jamaica,1997,15.524952140000002
jamaica,1998,15.524952140000002
jamaica,1999,15.524952140000002
jamaica,2000,15.524952140000002
jamaica,2001,15.524952140000002
jamaica,2002,15.524952140000002
jamaica,2003,15.524952140000002
jamaica,2004,15.524952140000002
jamaica,2005,15.524952140000002
jamaica,2006,15.524952140000002
jamaica,2007,15.524952140000002
jamaica,2008,15.524952140000002
jamaica,2009,15.524952140000002
jamaica,2010,15.524952140000002
jamaica,2011,15.524952140000002
jamaica,2012,15.524952140000002
jamaica,2013,15.524952140000002
jamaica,2014,15.524952140000002
jamaica,2015,15.524952140000002
jamaica,2016,15.524952140000002
jamaica,2017,15.524952140000002
jamaica,2018,15.524952140000002
jamaica,2019,15.524952140000002
mexico,1990,158773.3179
mexico,1991,158773.3179
mexico,1992,158773.3179
mexico,1993,158773.3179
mexico,1994,158773.3179
mexico,1995,158773.3179
mexico,1996,158773.3179
mexico,1997,158773.3179
mexico,1998,158773.3179
mexico,1999,158773.3179
mexico,2000,158773.3179
mexico,2001,158773.3179
mexico,2002,158773.3179
mexico,2003,158773.3179
mexico,2004,158773.3179
mexico,2005,158773.3179
mexico,2006,158773.3179
mexico,2007,158773.3179
mexico,2008,158773.3179
mexico,2009,158773.3179
mexico,2010,158773.3179
mexico,2011,158773.3179
mexico,2012,158773.3179
mexico,2013,158773.3179
mexico,2014,158773.3179
mexico,2015,158773.3179
mexico,2016,158773.3179
mexico,2017,158773.3179
mexico,2018,158773.3179
mexico,2019,158773.3179
nicaragua,1990,769.1699638
nicaragua,1991,769.1699638
nicaragua,1992,769.1699638
nicaragua,1993,769.1699638
nicaragua,1994,769.1699638
nicaragua,1995,769.1699638
nicaragua,1996,769.1699638
nicaragua,1997,769.1699638
nicaragua,1998,769.1699638
nicaragua,1999,769.1699638
nicaragua,2000,769.1699638
nicaragua,2001,769.1699638
nicaragua,2002,769.1699638
nicaragua,2003,769.1699638
nicaragua,2004,769.1699638
nicaragua,2005,769.1699638
nicaragua,2006,769.1699638
nicaragua,2007,769.1699638
nicaragua,2008,769.1699638
nicaragua,2009,769.1699638
nicaragua,2010,769.1699638
nicaragua,2011,769.1699638
nicaragua,2012,769.1699638
nicaragua,2013,769.1699638
nicaragua,2014,769.1699638
nicaragua,2015,769.1699638
nicaragua,2016,769.1699638
nicaragua,2017,769.1699638
nicaragua,2018,769.1699638
nicaragua,2019,769.1699638
panama,1990,406.91478600000005
panama,1991,406.91478600000005
panama,1992,406.91478600000005
panama,1993,406.91478600000005
panama,1994,406.91478600000005
panama,1995,406.91478600000005
panama,1996,406.91478600000005
panama,1997,406.91478600000005
panama,1998,406.91478600000005
panama,1999,406.91478600000005
panama,2000,406.91478600000005
panama,2001,406.91478600000005
panama,2002,406.91478600000005
panama,2003,406.91478600000005
panama,2004,406.91478600000005
panama,2005,406.91478600000005
panama,2006,406.91478600000005
panama,2007,406.91478600000005
panama,2008,406.91478600000005
panama,2009,406.91478600000005
panama,2010,406.91478600000005
panama,2011,406.91478600000005
panama,2012,406.91478600000005
panama,2013,406.91478600000005
panama,2014,406.91478600000005
panama,2015,406.91478600000005
panama,2016,406.91478600000005
panama,2017,406.91478600000005
panama,2018,406.91478600000005
panama,2019,406.91478600000005
paraguay,1990,512.1824956
paraguay,1991,512.1824956
paraguay,1992,512.1824956
paraguay,1993,512.1824956
paraguay,1994,512.1824956
paraguay,1995,512.1824956
paraguay,1996,512.1824956
paraguay,1997,512.1824956
paraguay,1998,512.1824956
paraguay,1999,512.1824956
paraguay,2000,512.1824956
paraguay,2001,512.1824956
paraguay,2002,512.1824956
paraguay,2003,512.1824956
paraguay,2004,512.1824956
paraguay,2005,512.1824956
paraguay,2006,512.1824956
paraguay,2007,512.1824956
paraguay,2008,512.1824956
paraguay,2009,512.1824956
paraguay,2010,512.1824956
paraguay,2011,512.1824956
paraguay,2012,512.1824956
paraguay,2013,512.1824956
paraguay,2014,512.1824956
paraguay,2015,512.1824956
paraguay,2016,512.1824956
paraguay,2017,512.1824956
paraguay,2018,512.1824956
paraguay,2019,512.1824956
peru,1990,244.17384859999999
peru,1991,244.17384859999999
peru,1992,244.17384859999999
peru,1993,244.17384859999999
peru,1994,244.17384859999999
peru,1995,244.17384859999999
peru,1996,244.17384859999999
peru,1997,244.17384859999999
peru,1998,244.17384859999999
peru,1999,244.17384859999999
peru,2000,244.17384859999999
peru,2001,244.17384859999999
peru,2002,244.17384859999999
peru,2003,244.17384859999999
peru,2004,244.17384859999999
peru,2005,244.17384859999999
peru,2006,244.17384859999999
peru,2007,244.17384859999999
peru,2008,244.17384859999999
peru,2009,244.17384859999999
peru,2010,244.17384859999999
peru,2011,244.17384859999999
peru,2012,244.17384859999999
peru,2013,244.17384859999999
peru,2014,244.17384859999999
peru,2015,244.17384859999999
peru,2016,244.17384859999999
peru,2017,244.17384859999999
peru,2018,244.17384859999999
peru,2019,244.17384859999999
suriname,1990,4.398307465999999
suriname,1991,4.398307465999999
suriname,1992,4.398307465999999
suriname,1993,4.398307465999999
suriname,1994,4.398307465999999
suriname,1995,4.398307465999999
suriname,1996,4.398307465999999
suriname,1997,4.398307465999999
suriname,1998,4.398307465999999
suriname,1999,4.398307465999999
suriname,2000,4.398307465999999
suriname,2001,4.398307465999999
suriname,2002,4.398307465999999
suriname,2003,4.398307465999999
suriname,2004,4.398307465999999
suriname,2005,4.398307465999999
suriname,2006,4.398307465999999
suriname,2007,4.398307465999999
suriname,2008,4.398307465999999
suriname,2009,4.398307465999999
suriname,2010,4.398307465999999
suriname,2011,4.398307465999999
suriname,2012,4.398307465999999
suriname,2013,4.398307465999999
suriname,2014,4.398307465999999
suriname,2015,4.398307465999999
suriname,2016,4.398307465999999
suriname,2017,4.398307465999999
suriname,2018,4.398307465999999
suriname,2019,4.398307465999999
trinidad_and_tobago,1990,53.217986270000004
trinidad_and_tobago,1991,53.217986270000004
trinidad_and_tobago,1992,53.217986270000004
trinidad_and_tobago,1993,53.217986270000004
trinidad_and_tobago,1994,53.217986270000004
trinidad_and_tobago,1995,53.217986270000004
trinidad_and_tobago,1996,53.217986270000004
trinidad_and_tobago,1997,53.217986270000004
trinidad_and_tobago,1998,53.217986270000004
trinidad_and_tobago,1999,53.217986270000004
trinidad_and_tobago,2000,53.217986270000004
trinidad_and_tobago,2001,53.217986270000004
trinidad_and_tobago,2002,53.217986270000004
trinidad_and_tobago,2003,53.217986270000004
trinidad_and_tobago,2004,53.217986270000004
trinidad_and_tobago,2005,53.217986270000004
trinidad_and_tobago,2006,53.217986270000004
trinidad_and_tobago,2007,53.217986270000004
trinidad_and_tobago,2008,53.217986270000004
trinidad_and_tobago,2009,53.217986270000004
trinidad_and_tobago,2010,53.217986270000004
trinidad_and_tobago,2011,53.217986270000004
trinidad_and_tobago,2012,53.217986270000004
trinidad_and_tobago,2013,53.217986270000004
trinidad_and_tobago,2014,53.217986270000004
trinidad_and_tobago,2015,53.217986270000004
trinidad_and_tobago,2016,53.217986270000004
trinidad_and_tobago,2017,53.217986270000004
trinidad_and_tobago,2018,53.217986270000004
trinidad_and_tobago,2019,53.217986270000004
uruguay,1990,174.4430271
uruguay,1991,174.4430271
uruguay,1992,174.4430271
uruguay,1993,174.4430271
uruguay,1994,174.4430271
uruguay,1995,174.4430271
uruguay,1996,174.4430271
uruguay,1997,174.4430271
uruguay,1998,174.4430271
uruguay,1999,174.4430271
uruguay,2000,174.4430271
uruguay,2001,174.4430271
uruguay,2002,174.4430271
uruguay,2003,174.4430271
uruguay,2004,174.4430271
uruguay,2005,174.4430271
uruguay,2006,174.4430271
uruguay,2007,174.4430271
uruguay,2008,174.4430271
uruguay,2009,174.4430271
uruguay,2010,174.4430271
uruguay,2011,174.4430271
uruguay,2012,174.4430271
uruguay,2013,174.4430271
uruguay,2014,174.4430271
uruguay,2015,174.4430271
uruguay,2016,174.4430271
uruguay,2017,174.4430271
uruguay,2018,174.4430271
uruguay,2019,174.4430271
venezuela,1990,116.99073910000001
venezuela,1991,116.99073910000001
venezuela,1992,116.99073910000001
venezuela,1993,116.99073910000001
venezuela,1994,116.99073910000001
venezuela,1995,116.99073910000001
venezuela,1996,116.99073910000001
venezuela,1997,116.99073910000001
venezuela,1998,116.99073910000001
venezuela,1999,116.99073910000001
venezuela,2000,116.99073910000001
venezuela,2001,116.99073910000001
venezuela,2002,116.99073910000001
venezuela,2003,116.99073910000001
venezuela,2004,116.99073910000001
venezuela,2005,116.99073910000001
venezuela,2006,116.99073910000001
venezuela,2007,116.99073910000001
venezuela,2008,116.99073910000001
venezuela,2009,116.99073910000001
venezuela,2010,116.99073910000001
venezuela,2011,116.99073910000001
venezuela,2012,116.99073910000001
venezuela,2013,116.99073910000001
venezuela,2014,116.99073910000001
venezuela,2015,116.99073910000001
venezuela,2016,116.99073910000001
venezuela,2017,116.99073910000001
venezuela,2018,116.99073910000001
venezuela,2019,116.99073910000001
