year,location_code,prodinit_ippu_metals_tonne
2014,BEL,15579424.2246932
2015,BEL,12765984.3264409
2016,BEL,12601321.7106768
2017,BEL,13871831.6460019
2018,BEL,15110681.0872929
2019,BEL,14524404.230182
2020,BEL,13533456.7731329
2010,BEN,324280.156861168
2011,BEN,482017.583462954
2012,BEN,419152.582649215
2013,BEN,349098.360686269
2014,BEN,288184.069431684
2015,BEN,290300.884964976
2016,BEN,260007.545080698
2017,BEN,217086.848670933
2018,BEN,249651.883518865
2019,BEN,278071.130541762
2020,BEN,253393.915496738
2010,BFA,77173.9768647888
2011,BFA,88156.631629207
2012,BFA,124527.618957914
2013,BFA,142227.705572477
2014,BFA,155093.038969108
2015,BFA,106997.992875261
2016,BFA,142442.111246497
2017,BFA,157797.116375409
2018,BFA,160414.757107508
2019,BFA,175278.065900778
2020,BFA,133010.901549895
2010,BGD,1784798.86890295
2011,BGD,1704283.27727528
2012,BGD,1890038.30698558
2013,BGD,2274754.64327028
2014,BGD,2688337.57698692
2015,BGD,3495063.9088147
2016,BGD,4961631.2298547
2017,BGD,5541222.72300932
2018,BGD,5625249.4589166
2019,BGD,6769966.82021311
2020,BGD,6874653.72793674
2010,BGR,2323491.33327937
2011,BGR,2762671.76490865
2012,BGR,2508071.37658698
2013,BGR,2723020.3709102
2014,BGR,2748521.50942244
2015,BGR,2355265.65254994
2016,BGR,2500513.5565508
2017,BGR,2908519.21541507
2018,BGR,3159073.02456784
2019,BGR,3038868.58600729
2020,BGR,3483997.61693221
2010,BHR,977693.375034076
2011,BHR,749783.650001069
2012,BHR,686428.69780287
2013,BHR,755131.974197627
2014,BHR,795647.665721569
2015,BHR,902365.364117344
2016,BHR,903616.850029897
2017,BHR,1110727.80973129
2018,BHR,1328019.32891525
2019,BHR,1376682.28708631
2020,BHR,1417894.76764349
2010,BHS,94727.941352451
2011,BHS,104207.497938484
2012,BHS,118211.575897135
2013,BHS,138511.831220789
2014,BHS,126930.527298221
2015,BHS,329037.63903338
2016,BHS,119351.195908069
2017,BHS,147185.5331959
2018,BHS,168235.152266291
2019,BHS,148730.210312619
2020,BHS,254947.619697768
2010,BIH,943230.603818246
2011,BIH,1016825.04658384
2012,BIH,971213.281584178
2013,BIH,1044639.89320577
2014,BIH,971800.473636303
2015,BIH,854871.89873386
2016,BIH,900272.345427732
2017,BIH,967377.063014255
2018,BIH,1044421.25669516
2019,BIH,1046637.07194848
2020,BIH,1101863.59795475
2010,BLR,1374647.21020264
2011,BLR,1136886.86121979
2012,BLR,1573570.25685103
2013,BLR,1987528.41972719
2014,BLR,1882628.74935045
2015,BLR,1324684.44163938
2016,BLR,1260012.58138383
2017,BLR,1529107.07595058
2018,BLR,1665436.59746679
2019,BLR,1879595.69771913
2020,BLR,1877230.44047695
2010,BLZ,27423.521984406
2011,BLZ,33908.5415217222
2012,BLZ,29392.7855657741
2013,BLZ,29146.9476992832
2014,BLZ,26104.0664471518
2015,BLZ,32256.7145410293
2016,BLZ,29091.083163061
2017,BLZ,27487.1713206975
2018,BLZ,27946.9747271441
2019,BLZ,31903.70811565
2020,BLZ,30474.6835802422
2010,BMU,33104.3839380668
2011,BMU,27973.3248765575
2012,BMU,25023.0972362188
2013,BMU,28654.3427669805
2014,BMU,18933.1203807626
2015,BMU,25572.9599793898
2016,BMU,20740.2211001815
2017,BMU,30195.1094762436
2018,BMU,24523.8903241156
2019,BMU,31701.5950627971
2020,BMU,22774.9255233104
2010,BOL,481720.516390247
2011,BOL,519156.76620833
2012,BOL,508020.746077771
2013,BOL,667618.871252179
2014,BOL,590054.187944648
2015,BOL,614367.305781454
2016,BOL,762941.27867994
2017,BOL,772177.217871055
2018,BOL,822369.365241923
2019,BOL,827174.252517817
2020,BOL,758904.458631429
2010,BRA,46974966.6509794
2011,BRA,51505938.5907478
2012,BRA,48296366.9987434
2013,BRA,46570581.4375717
2014,BRA,47897047.8537892
2015,BRA,38374315.7358501
2016,BRA,35651268.1435591
2017,BRA,42992221.9574969
2018,BRA,38345645.4696455
2019,BRA,38177834.630546
2020,BRA,28032991.6050389
2010,BRB,44396.8012870853
2011,BRB,42420.5555631012
2012,BRB,42007.4588805605
2013,BRB,32796.6320575509
2014,BRB,31953.2433465323
2015,BRB,35203.5355059339
2016,BRB,35933.1888865502
2017,BRB,39680.5643504573
2018,BRB,38374.2760651225
2019,BRB,45061.2627292776
2020,BRB,51082.941779894
2010,BRN,231354.395980326
2011,BRN,280559.401507443
2012,BRN,304731.980663524
2013,BRN,291958.135141958
2014,BRN,260077.193311784
2015,BRN,343012.120469661
2016,BRN,198093.799857715
2017,BRN,255884.60821454
2018,BRN,405440.925561492
2019,BRN,196350.300807267
2020,BRN,112806.607465521
2010,BTN,79690.833989263
2011,BTN,81669.9134679891
2012,BTN,56469.5018184525
2013,BTN,70337.9258355939
2014,BTN,73911.0936481667
2015,BTN,91023.3640150876
2016,BTN,87664.0235074843
2017,BTN,115538.291935454
2018,BTN,163343.85735389
2019,BTN,165836.295662535
2020,BTN,145949.347920358
2010,BWA,376969.082703001
2011,BWA,315107.027183502
2012,BWA,241548.223237943
2013,BWA,263330.121061413
2014,BWA,219658.462905154
2015,BWA,203178.168685853
2016,BWA,246734.802536212
2017,BWA,165209.234885817
2018,BWA,153268.791202407
2019,BWA,192127.864335538
2020,BWA,143204.68733081
2010,CAF,18503.2172267739
2011,CAF,14360.1820304228
2012,CAF,21839.49653195
2013,CAF,13340.4787553443
2014,CAF,8817.42476500314
2015,CAF,7302.9143351874
2016,CAF,11107.3901032977
2017,CAF,10954.2998674864
2018,CAF,12253.924623421
2019,CAF,10645.3574172751
2020,CAF,17109.2175626792
2010,CAN,38861062.6913491
2011,CAN,40611238.3314258
2012,CAN,41405365.9582301
2013,CAN,43250473.6880543
2014,CAN,42599746.6268204
2015,CAN,38657675.8176864
2016,CAN,37432559.4133897
2017,CAN,41296076.5266792
2018,CAN,43334896.7354233
2019,CAN,41466722.6326095
2020,CAN,40067454.1158372
2010,CHE,7617486.92658597
2011,CHE,7902722.47789851
2012,CHE,7084054.40619058
2013,CHE,7366879.10384128
2014,CHE,8142346.43317848
2015,CHE,7774209.05604815
2016,CHE,7650194.52591407
2017,CHE,8242911.02160427
2018,CHE,9081682.76611928
2019,CHE,8628745.87348583
2020,CHE,7943968.682985
2010,CHL,15951232.6317812
2011,CHL,15804384.0329792
2012,CHL,17275615.3856885
2013,CHL,17012895.6024274
2014,CHL,15410146.7578033
2015,CHL,15148014.1580466
2016,CHL,14188436.0873369
2017,CHL,15737110.8987555
2018,CHL,16312913.3683497
2019,CHL,15386969.0961747
2020,CHL,15173145.2959361
2010,CHN,156954401.287062
2011,CHN,178492066.26105
2012,CHN,194235386.722295
2013,CHN,221110303.077039
2014,CHN,242868532.699976
2015,CHN,274752801.162124
2016,CHN,279566065.167926
2017,CHN,285647227.641825
2018,CHN,313219662.148342
2019,CHN,338613782.514895
2020,CHN,365301406.418272
2010,CIV,270358.586405767
2011,CIV,264292.476582459
2012,CIV,311623.72416647
2013,CIV,463522.918175894
2014,CIV,605449.014181964
2015,CIV,703888.381363245
2016,CIV,682323.239186381
2017,CIV,656009.899532169
2018,CIV,821697.791583503
2019,CIV,799073.840595819
2020,CIV,958643.523531605
2010,CMR,389185.513805706
2011,CMR,424956.552653343
2012,CMR,455747.306888441
2013,CMR,529154.998230458
2014,CMR,597823.697552141
2015,CMR,635734.093581488
2016,CMR,626557.567312598
2017,CMR,661067.959451629
2018,CMR,750133.95140948
2019,CMR,559110.368163174
2020,CMR,844826.342925244
2010,COD,1168163.07472242
2011,COD,1307781.24964255
2012,COD,2285040.03265981
2013,COD,2195298.62318253
2014,COD,2441276.72903904
2015,COD,3230350.55929713
2016,COD,3089718.39970262
2017,COD,2593151.98458823
2018,COD,4533437.76879146
2019,COD,6200955.58203935
2020,COD,6612675.42374631
2010,COG,215026.982638848
2011,COG,223853.491040769
2012,COG,346338.433172271
2013,COG,758479.326295533
2014,COG,832064.307911153
2015,COG,795414.455120248
2016,COG,750066.372357592
2017,COG,647855.876495324
2018,COG,641162.437130862
2019,COG,725412.297432216
2020,COG,803243.912383437
2010,COL,5503173.91635341
2011,COL,5626237.54845372
2012,COL,6293483.89770566
2013,COL,6543839.30252608
2014,COL,6095233.44640276
2015,COL,4859671.44813464
2016,COL,4414087.79209886
2017,COL,5118680.07208115
2018,COL,5788758.88543161
2019,COL,5734734.61700357
2020,COL,5088359.03217788
2010,COM,10337.6124786459
2011,COM,9085.53386672704
2012,COM,13255.4120363465
2013,COM,16169.3863572128
2014,COM,14884.0095673169
2015,COM,25808.4636008874
2016,COM,46723.9352189197
2017,COM,24439.9185794958
2018,COM,24245.9427815112
2019,COM,25428.2514636349
2020,COM,23393.7318203683
2010,CPV,31662.0478967516
2011,CPV,22230.8712923324
2012,CPV,20863.6299698997
2013,CPV,26000.270272584
2014,CPV,20614.3645706495
2015,CPV,17367.3086777349
2016,CPV,22053.0815665943
2017,CPV,19306.2053574749
2018,CPV,21955.7894847636
2019,CPV,25261.2443725067
2020,CPV,23951.6170123026
2010,CRI,737301.798675523
2011,CRI,864363.189943203
2012,CRI,954771.070850525
2013,CRI,1017946.18840794
2014,CRI,945988.230607346
2015,CRI,972671.415705383
2016,CRI,984624.644550232
2017,CRI,1007336.73713699
2018,CRI,1050252.53767421
2019,CRI,1025396.21661986
2020,CRI,1035318.00405061
2010,CUB,1004423.98041571
2011,CUB,1060013.43725817
2012,CUB,842823.149400883
2013,CUB,988718.632539235
2014,CUB,766479.787777832
2015,CUB,1165458.5779439
2016,CUB,1086316.69339049
2017,CUB,1268793.99624649
2018,CUB,1291046.44243895
2019,CUB,1324619.9485148
2020,CUB,1223800.0238522
2010,CUW,19855.5903905268
2011,CUW,21600.0501767913
2012,CUW,23816.8083373018
2013,CUW,20620.9264447079
2014,CUW,15218.8195925365
2015,CUW,17844.6784581552
2016,CUW,19139.6067258014
2017,CUW,20748.2429983937
2018,CUW,19855.5903905268
2019,CUW,19855.5903905268
2020,CUW,19855.5903905268
2010,CYM,34351.9746457764
2011,CYM,34351.9746457764
2012,CYM,34351.9746457764
2013,CYM,34351.9746457764
2014,CYM,34351.9746457764
2015,CYM,34351.9746457764
2016,CYM,34351.9746457764
2017,CYM,30406.3152144874
2018,CYM,31389.202499411
2019,CYM,33500.3372600558
2020,CYM,42112.0436091514
2010,CYP,394793.708382083
2011,CYP,430671.206129664
2012,CYP,352313.010256002
2013,CYP,358168.842349506
2014,CYP,189436.705073425
2015,CYP,177992.635739815
2016,CYP,160420.399059582
2017,CYP,229961.273244954
2018,CYP,394484.69420937
2019,CYP,250237.520360871
2020,CYP,219652.966617186
2010,CZE,8097406.42527256
2011,CZE,8967927.52978951
2012,CZE,8198506.10544742
2013,CZE,9167416.30031376
2014,CZE,8439373.75796671
2015,CZE,7762730.55329206
2016,CZE,8264495.83206946
2017,CZE,9183871.72692198
2018,CZE,10414163.9054022
2019,CZE,10507269.3173844
2020,CZE,9998215.60714887
2010,DEU,92730100.6080913
2011,DEU,102371704.484125
2012,DEU,94348714.5134425
2013,DEU,102715103.91689
2014,DEU,102891118.665258
2015,DEU,90943522.5043666
2016,DEU,93602553.8369987
2017,DEU,100051493.962819
2018,DEU,106054671.825691
2019,DEU,103059144.099701
2020,DEU,100456979.881836
2010,DJI,83200.2851312146
2011,DJI,83200.2851312146
2012,DJI,83200.2851312146
2013,DJI,28009.7313495095
2014,DJI,49858.8239039578
2015,DJI,91709.2364701705
2016,DJI,88761.4890804105
2017,DJI,82681.2747784513
2018,DJI,93021.4937793211
2019,DJI,107067.450661971
2020,DJI,124492.781025925
2010,DMA,10975.7373300271
2011,DMA,11645.6794533626
2012,DMA,8666.96726640381
2013,DMA,9456.09219607793
2014,DMA,5417.68318193611
2015,DMA,8408.58443069683
2016,DMA,8060.55964226807
2017,DMA,8014.44576968233
2018,DMA,11737.6925371074
2019,DMA,9153.71575639579
2020,DMA,9153.71575639579
2010,DNK,4877072.35031669
2011,DNK,5319117.75346639
2012,DNK,4886995.43080276
2013,DNK,5500049.78115774
2014,DNK,5439120.67906531
2015,DNK,4699908.94193437
2016,DNK,5073917.89755024
2017,DNK,5406780.89095793
2018,DNK,5910870.88187084
2019,DNK,5726566.0845863
2020,DNK,5821433.89927334
2010,DOM,942907.028215084
2011,DOM,1161460.54033843
2012,DOM,1103630.27561356
2013,DOM,1147018.68786933
2014,DOM,1093864.1514958
2015,DOM,1131515.28131103
2016,DOM,1071341.85070564
2017,DOM,1283367.95584282
2018,DOM,1547203.12108103
2019,DOM,1660328.60479078
2020,DOM,1701991.05060139
2010,DZA,3655074.58827787
2011,DZA,3784808.7769883
2012,DZA,4017097.64561282
2013,DZA,4149780.73060451
2014,DZA,4386159.20576009
2015,DZA,3778330.63732873
2016,DZA,3575239.58454413
2017,DZA,3480235.41810388
2018,DZA,3323926.85010215
2019,DZA,3689982.28189421
2020,DZA,2623312.16588114
2010,ECU,1014377.62560806
2011,ECU,1252352.701007
2012,ECU,1329802.60992756
2013,ECU,1614330.21464036
2014,ECU,1570602.53334833
2015,ECU,1553788.81741633
2016,ECU,1517605.80694588
2017,ECU,1779877.12595883
2018,ECU,1808668.34563003
2019,ECU,1786240.34372464
2020,ECU,1660792.97436594
2010,EGY,7693038.63086389
2011,EGY,8325937.21610787
2012,EGY,9509757.85455191
2013,EGY,9833926.12640327
2014,EGY,10530664.183134
2015,EGY,10212025.4083546
2016,EGY,11566670.3462202
2017,EGY,8137773.05822146
2018,EGY,9637538.1533009
2019,EGY,9444253.42141386
2020,EGY,10601945.8666136
2010,ERI,16620.8783790066
2011,ERI,22021.981740096
2012,ERI,19321.4300595513
2013,ERI,19321.4300595513
2014,ERI,19321.4300595513
2015,ERI,19321.4300595513
2016,ERI,19321.4300595513
2017,ERI,19321.4300595513
2018,ERI,19321.4300595513
2019,ERI,19321.4300595513
2020,ERI,19321.4300595513
2010,ESP,34141802.6326779
2011,ESP,34300724.0188866
2012,ESP,30418226.5226594
2013,ESP,32441283.1563476
2014,ESP,32067941.9726566
2015,ESP,29564267.1444223
2016,ESP,30159309.2572672
2017,ESP,32963474.1700075
2018,ESP,35683358.8157768
2019,ESP,35586489.3907007
2020,ESP,34182566.1457627
2010,EST,573531.720526145
2011,EST,666760.642372569
2012,EST,627893.150329308
2013,EST,679141.002911192
2014,EST,652217.792019418
2015,EST,584751.315440567
2016,EST,646063.384620976
2017,EST,761743.824514805
2018,EST,879970.071850539
2019,EST,860404.69892011
2020,EST,841239.428196394
2010,ETH,870930.909359506
2011,ETH,333056.83532675
2012,ETH,556793.911393814
2013,ETH,759242.413322874
2014,ETH,1009895.60393871
2015,ETH,925424.065167975
2016,ETH,1102067.54939849
2017,ETH,958551.310061426
2018,ETH,857381.006222816
2019,ETH,1090201.13544765
2020,ETH,1116695.26331456
2010,FIN,9240344.78391903
2011,FIN,9800625.16056235
2012,FIN,9240804.97783925
2013,FIN,9599760.10624232
2014,FIN,9912100.31850537
2015,FIN,8143750.81562195
2016,FIN,8605539.53515398
2017,FIN,9449491.29568256
2018,FIN,10037923.9770558
2019,FIN,9824520.19034719
2020,FIN,10026811.3385812
2010,FJI,37884.8344978037
2011,FJI,43751.3408221251
2012,FJI,46619.2875336397
2013,FJI,44742.0655570705
2014,FJI,63464.1593286014
2015,FJI,60448.0509677453
2016,FJI,83457.9600945748
2017,FJI,76937.6162981447
2018,FJI,75276.6320196665
2019,FJI,68464.839193307
2020,FJI,81649.8561610782
2010,FRA,58613931.7060274
2011,FRA,61481538.9553151
2012,FRA,55985105.3128125
2013,FRA,59978666.3970807
2014,FRA,57933660.4472448
2015,FRA,50730554.5545679
2016,FRA,51003836.9994322
2017,FRA,54535556.9563124
2018,FRA,57096258.9668116
2019,FRA,56740421.7306374
2020,FRA,53237263.7452441
2010,FRO,14731.9314683811
2011,FRO,14889.0657057735
2012,FRO,15053.6581738634
2013,FRO,20101.5356897697
2014,FRO,24807.2667516662
2015,FRO,23959.122249988
2016,FRO,26856.8034946875
2017,FRO,28683.3543729734
2018,FRO,34154.0340571086
2019,FRO,30978.6821891678
2020,FRO,32993.9226380671
2010,FSM,2060.76159318293
2011,FSM,2748.60299870112
2012,FSM,2929.50342454497
2013,FSM,2992.56389784301
2014,FSM,2252.82142438355
2015,FSM,1763.28422185344
2016,FSM,2022.99558330848
2017,FSM,3047.13458837302
2018,FSM,2067.00162118163
2019,FSM,2714.78663896063
2020,FSM,3754.67184558264
2010,GAB,171181.593051163
2011,GAB,236140.320336977
2012,GAB,272822.829438816
2013,GAB,271860.629372195
2014,GAB,313265.208396271
2015,GAB,197069.484014541
2016,GAB,154034.323498718
2017,GAB,154725.660321418
2018,GAB,189886.896345912
2019,GAB,266026.640833151
2020,GAB,195068.947639562
2010,GBR,35577030.2054177
2011,GBR,38372483.2754739
2012,GBR,36973329.2395154
2013,GBR,39868486.051172
2014,GBR,42971776.0828068
2015,GBR,40547094.7795147
2016,GBR,37228706.002174
2017,GBR,36769890.5263572
2018,GBR,38777631.7290274
2019,GBR,38794782.7717658
2020,GBR,35298465.4308973
2010,GEO,435758.635003108
2011,GEO,545679.130075951
2012,GEO,492463.777560658
2013,GEO,512148.282377333
2014,GEO,498695.107007517
2015,GEO,383239.624088717
2016,GEO,372151.121121669
2017,GEO,435227.085920793
2018,GEO,477722.782093899
2019,GEO,447970.581175397
2020,GEO,522290.938353534
2010,GHA,537740.254704124
2011,GHA,696636.440805535
2012,GHA,736738.534818363
2013,GHA,1091274.42426485
2014,GHA,913378.887034021
2015,GHA,971608.243186538
2016,GHA,988941.337005345
2017,GHA,1025687.15709615
2018,GHA,1110072.91804894
2019,GHA,1337627.64758094
2020,GHA,2029768.10990974
2010,GIN,87542.2210911861
2011,GIN,106403.956038713
2012,GIN,112436.131156516
2013,GIN,133829.768790631
2014,GIN,131582.464462485
2015,GIN,135691.005379957
2016,GIN,71503.3065045023
2017,GIN,131216.174179645
2018,GIN,193665.884154812
2019,GIN,234662.025818282
2020,GIN,159563.721133735
2010,GMB,32501.9489209517
2011,GMB,45339.4558471115
2012,GMB,43187.800772601
2013,GMB,40743.1888544668
2014,GMB,38203.80817171
2015,GMB,35680.3931752175
2016,GMB,42626.8859869644
2017,GMB,44728.5682798191
2018,GMB,71303.643210266
2019,GMB,91737.9081046881
2020,GMB,83754.5489764909
2010,GNB,15412.6182951161
2011,GNB,21790.3775274389
2012,GNB,33250.8130481646
2013,GNB,25756.4381953643
2014,GNB,21941.6616972574
2015,GNB,18456.8072295203
2016,GNB,19761.6134897161
2017,GNB,17506.6088268426
2018,GNB,14473.4083757543
2019,GNB,14617.0712542295
2020,GNB,15698.5457111669
2010,GNQ,106687.761122013
2011,GNQ,182029.460090328
2012,GNQ,157169.397911476
2013,GNQ,208044.796818284
2014,GNQ,177600.901930914
2015,GNQ,123691.625323339
2016,GNQ,58252.3349595302
2017,GNQ,44971.7556728112
2018,GNQ,47235.0231698788
2019,GNQ,58765.5228459824
2020,GNQ,67421.781572305
2010,GRC,6195951.79166644
2011,GRC,6406999.3817137
2012,GRC,4969358.60141823
2013,GRC,4896219.96237852
2014,GRC,4621015.94602639
2015,GRC,4412869.36661092
2016,GRC,4807051.25130729
2017,GRC,5013742.83359162
2018,GRC,5176611.68163801
2019,GRC,4704034.36975183
2020,GRC,5171485.32888815
2010,GRL,16690.2617638121
2011,GRL,18414.7484217957
2012,GRL,19965.773989851
2013,GRL,22371.9323321107
2014,GRL,20723.3995283215
2015,GRL,24014.6003343374
2016,GRL,24296.4100845719
2017,GRL,22935.5406614321
2018,GRL,21112.2488974223
2019,GRL,23738.403475351
2020,GRL,27666.7409625781
2010,GTM,685073.727558775
2011,GTM,850572.345177675
2012,GTM,871093.57628899
2013,GTM,1097998.63367847
2014,GTM,1113965.83360632
2015,GTM,1430305.64775386
2016,GTM,1501073.35926985
2017,GTM,1659203.96359911
2018,GTM,1771270.01367226
2019,GTM,1946384.51216091
2020,GTM,2121908.45598091
2010,GUM,15936.3492054655
2011,GUM,21624.2638550299
2012,GUM,20423.2335432289
2013,GUM,18861.9467664095
2014,GUM,16828.2178054655
2015,GUM,9349.94476506669
2016,GUM,13135.6853672836
2017,GUM,16327.8363444612
2018,GUM,20514.2568079738
2019,GUM,19149.6999057972
2020,GUM,28649.4853572307
2010,HKG,1651725.42578344
2011,HKG,1561317.73072007
2012,HKG,1541072.8203992
2013,HKG,1549918.11353049
2014,HKG,1469230.95896988
2015,HKG,1588686.27852198
2016,HKG,1515409.08741888
2017,HKG,1556334.80008495
2018,HKG,1575661.21457224
2019,HKG,1669739.47399252
2020,HKG,1373825.03058326
2010,HND,167676.309132536
2011,HND,209209.182410519
2012,HND,246312.617168486
2013,HND,233689.138887896
2014,HND,282141.073772614
2015,HND,304506.612609075
2016,HND,298123.515218177
2017,HND,357153.828129358
2018,HND,344920.677104532
2019,HND,376706.052215824
2020,HND,400646.343674031
2010,HRV,1403398.83782572
2011,HRV,1586559.5506426
2012,HRV,1452468.83222945
2013,HRV,1463679.87785498
2014,HRV,1417207.26584583
2015,HRV,1233884.43850856
2016,HRV,1324972.2036459
2017,HRV,1479917.11239395
2018,HRV,1712775.40299025
2019,HRV,1764229.60753679
2020,HRV,1872989.88333398
2010,HTI,151364.167786922
2011,HTI,216393.572674113
2012,HTI,225092.76257307
2013,HTI,258619.894344072
2014,HTI,205743.863298971
2015,HTI,186206.950236819
2016,HTI,142635.651756194
2017,HTI,190294.583845371
2018,HTI,206194.98431527
2019,HTI,198675.571604868
2020,HTI,256668.680583903
2010,HUN,2763521.27425082
2011,HUN,3096086.74314716
2012,HUN,3147248.62347804
2013,HUN,3622047.44121681
2014,HUN,3497187.92693355
2015,HUN,3144912.72727977
2016,HUN,3388344.57899645
2017,HUN,3871638.33566045
2018,HUN,4373585.46430952
2019,HUN,4294465.60262417
2020,HUN,3909818.63350392
2010,IDN,19576984.659029
2011,IDN,21587992.3140281
2012,IDN,22760811.5366179
2013,IDN,23516020.3435424
2014,IDN,22654182.534541
2015,IDN,23536581.2181982
2016,IDN,25810711.2932134
2017,IDN,28433605.0820465
2018,IDN,31131002.5379511
2019,IDN,38900817.2070772
2020,IDN,42101451.01009
2010,IND,32979936.4519669
2011,IND,30989262.3736837
2012,IND,32646144.0507619
2013,IND,37445861.7490127
2014,IND,42390538.4512493
2015,IND,47716525.4964075
2016,IND,46181896.1971951
2017,IND,57416153.0302941
2018,IND,56743532.705539
2019,IND,63678968.5435687
2020,IND,58316394.079822
2010,IRL,856159.14126374
2011,IRL,955744.870185354
2012,IRL,837959.371677344
2013,IRL,976045.602882035
2014,IRL,965066.20769611
2015,IRL,902266.875930184
2016,IRL,853654.842773285
2017,IRL,952435.794810447
2018,IRL,1038861.08029734
2019,IRL,895046.74963677
2020,IRL,861604.078463014
2010,IRN,13254100.0
2011,IRN,14633800.0
2012,IRN,15321000.0
2013,IRN,15969199.0
2014,IRN,17290113.999999996
2015,IRN,17737547.768
2016,IRN,19297397.934000004
2017,IRN,22348786.533000004
2018,IRN,24539730.955000002
2019,IRN,26982009.819000002
2020,IRN,29391900.0
2010,IRQ,1995063.48023555
2011,IRQ,2776034.72126539
2012,IRQ,3804005.1414448
2013,IRQ,5322303.9986526
2014,IRQ,4247310.95193432
2015,IRQ,2664006.19639498
2016,IRQ,2736769.99596644
2017,IRQ,2934495.09979152
2018,IRQ,3618027.57182576
2019,IRQ,2890972.62686087
2020,IRQ,3032849.86487218
2010,ISL,728056.926768255
2011,ISL,773209.96043991
2012,ISL,859266.467111758
2013,ISL,725631.379779981
2014,ISL,947863.224529194
2015,ISL,810984.699082543
2016,ISL,878273.995282614
2017,ISL,1111173.43134827
2018,ISL,1278237.76337932
