"year","location_code","prodinit_ippu_lime_and_carbonite_tonne"
2011,"COL",20629.4317463054
2012,"COL",19276.252124431
2013,"COL",8171.3696154288
2014,"COL",8494.51197942071
2015,"COL",6394.32128446739
2016,"COL",9702.84972901938
2017,"COL",25127.8507121488
2018,"COL",120150.740466447
2019,"COL",106320.201077339
2020,"COL",9507.49160278724
2010,"COM",0
2011,"COM",0
2012,"COM",0
2013,"COM",0
2014,"COM",0
2015,"COM",0
2016,"COM",0
2017,"COM",0
2018,"COM",0
2019,"COM",926.21057534114
2020,"COM",0
2010,"CPV",0
2011,"CPV",0
2012,"CPV",351.330947429365
2013,"CPV",0
2014,"CPV",0
2015,"CPV",0
2016,"CPV",889.323465874892
2017,"CPV",0
2018,"CPV",0
2019,"CPV",0
2020,"CPV",0
2010,"CRI",96634.0877189196
2011,"CRI",104176.461665708
2012,"CRI",99583.4193510603
2013,"CRI",72250.4772433972
2014,"CRI",71828.2354253576
2015,"CRI",48406.8948342971
2016,"CRI",18934.015127415
2017,"CRI",46740.5174651586
2018,"CRI",32261.4966436238
2019,"CRI",26637.0573480246
2020,"CRI",45577.6966664176
2010,"CUB",9849.47037824476
2011,"CUB",0
2012,"CUB",0
2013,"CUB",0
2014,"CUB",0
2015,"CUB",0
2016,"CUB",0
2017,"CUB",0
2018,"CUB",0
2019,"CUB",0
2020,"CUB",0
2010,"CUW",11643.7915945854
2011,"CUW",7287.79604345595
2012,"CUW",54825.1203347799
2013,"CUW",4788.85712857818
2014,"CUW",5501.64025721449
2015,"CUW",6929.82780871418
2016,"CUW",0
2017,"CUW",2173.29958935543
2018,"CUW",11643.7915945854
2019,"CUW",11643.7915945854
2020,"CUW",11643.7915945854
2010,"CYM",999.208855423025
2011,"CYM",999.208855423025
2012,"CYM",999.208855423025
2013,"CYM",999.208855423025
2014,"CYM",999.208855423025
2015,"CYM",999.208855423025
2016,"CYM",999.208855423025
2017,"CYM",0
2018,"CYM",0
2019,"CYM",1757.20580938642
2020,"CYM",2239.62961230568
2010,"CYP",26693.9363649902
2011,"CYP",15760.0363650023
2012,"CYP",578.496733347732
2013,"CYP",171752.347139435
2014,"CYP",3013.94368300791
2015,"CYP",2045.85478504347
2016,"CYP",247.898047651624
2017,"CYP",0
2018,"CYP",789.089813977626
2019,"CYP",0
2020,"CYP",75366.0353773217
2010,"CZE",1310601.87456366
2011,"CZE",1455682.91940905
2012,"CZE",1217560.21283141
2013,"CZE",1210483.26550388
2014,"CZE",802399.035419254
2015,"CZE",525798.167163468
2016,"CZE",625799.021544992
2017,"CZE",824396.610470897
2018,"CZE",993596.239970956
2019,"CZE",707652.537157714
2020,"CZE",737044.757026658
2010,"DEU",7242071.57531263
2011,"DEU",7526595.30083299
2012,"DEU",5658508.85947084
2013,"DEU",6189411.53695797
2014,"DEU",5776114.74740545
2015,"DEU",4776270.35384423
2016,"DEU",4882964.75709424
2017,"DEU",5202053.26871231
2018,"DEU",6483620.91011408
2019,"DEU",5831047.82150363
2020,"DEU",5744162.59123371
2010,"DJI",9784.43197991437
2011,"DJI",9784.43197991437
2012,"DJI",9784.43197991437
2013,"DJI",5872.82683435675
2014,"DJI",45647.3684733143
2015,"DJI",10749.168669766
2016,"DJI",145.761434636
2017,"DJI",3827.90874390316
2018,"DJI",0
2019,"DJI",10750.7829516958
2020,"DJI",1281.63873164292
2010,"DMA",2330.00846887975
2011,"DMA",1706.98725501975
2012,"DMA",1163.38689437187
2013,"DMA",6373.18162198396
2014,"DMA",1315.90179673084
2015,"DMA",1887.43817077957
2016,"DMA",1121.62239741933
2017,"DMA",13697.1850818172
2018,"DMA",1941.4180244352
2019,"DMA",3504.12552349305
2020,"DMA",3504.12552349305
2010,"DNK",1046525.39732729
2011,"DNK",1239607.27538138
2012,"DNK",1413506.46277075
2013,"DNK",1026581.0882673
2014,"DNK",732473.259803401
2015,"DNK",557354.750976142
2016,"DNK",536571.456614992
2017,"DNK",653525.037791525
2018,"DNK",647299.627412485
2019,"DNK",586563.523659118
2020,"DNK",777941.636066943
2010,"DOM",1635073.27384775
2011,"DOM",1738180.67323913
2012,"DOM",982842.146705814
2013,"DOM",1484646.50438662
2014,"DOM",1801949.91846125
2015,"DOM",1680065.35757331
2016,"DOM",888570.984653814
2017,"DOM",1060271.201573
2018,"DOM",1050411.22764009
2019,"DOM",956642.336759836
2020,"DOM",858774.114672421
2010,"DZA",34124.5764416068
2011,"DZA",64627.645976685
2012,"DZA",0
2013,"DZA",33043.4513609237
2014,"DZA",14786.4320496142
2015,"DZA",2584.03621028306
2016,"DZA",1246.72128610906
2017,"DZA",712.880306898002
2018,"DZA",422.319009214457
2019,"DZA",2602.35935942173
2020,"DZA",1069.13382598084
2010,"ECU",0
2011,"ECU",10778.5601562053
2012,"ECU",3763.97164428967
2013,"ECU",1273.87734675372
2014,"ECU",1946.63935475585
2015,"ECU",18885.1010776033
2016,"ECU",30307.2741946805
2017,"ECU",895.17785011236
2018,"ECU",3113.11545284935
2019,"ECU",0
2020,"ECU",4136.36624444119
2010,"EGY",1130746.26774593
2011,"EGY",1816850.4416497
2012,"EGY",1394060.56974124
2013,"EGY",1487665.38760961
2014,"EGY",973829.925431298
2015,"EGY",1100690.09635427
2016,"EGY",2355075.90809504
2017,"EGY",2505668.67466476
2018,"EGY",2944954.78598064
2019,"EGY",4559442.33242547
2020,"EGY",3819474.02591205
2010,"ERI",0
2011,"ERI",0
2012,"ERI",0
2013,"ERI",0
2014,"ERI",0
2015,"ERI",0
2016,"ERI",0
2017,"ERI",0
2018,"ERI",0
2019,"ERI",0
2020,"ERI",0
2010,"ESP",815090.743943322
2011,"ESP",853520.994628045
2012,"ESP",556741.811197083
2013,"ESP",664561.58721421
2014,"ESP",704226.55935658
2015,"ESP",3035532.39713824
2016,"ESP",5400664.79152218
2017,"ESP",10962996.2729577
2018,"ESP",9658085.88755137
2019,"ESP",5132972.34821766
2020,"ESP",5851170.59251114
2010,"EST",323997.111934311
2011,"EST",418245.317592927
2012,"EST",653451.597032829
2013,"EST",432423.525518078
2014,"EST",288069.663404088
2015,"EST",263715.214617522
2016,"EST",259068.419159086
2017,"EST",334963.671775709
2018,"EST",375871.658891195
2019,"EST",272447.347972335
2020,"EST",317956.195640147
2010,"ETH",38710.372145903
2011,"ETH",5125.93744011581
2012,"ETH",26228.6760828972
2013,"ETH",6342.27028374254
2014,"ETH",62150.4647085841
2015,"ETH",5021.70558350874
2016,"ETH",4767.5395176189
2017,"ETH",23104.7591475813
2018,"ETH",44818.8122151317
2019,"ETH",192417.641264267
2020,"ETH",17125.9152155834
2010,"FIN",13468315.7616224
2011,"FIN",15599153.7733715
2012,"FIN",11484866.0366866
2013,"FIN",10849593.2216867
2014,"FIN",10825229.4960518
2015,"FIN",8068845.97016394
2016,"FIN",7431350.73877696
2017,"FIN",3755225.58663677
2018,"FIN",3020650.07810433
2019,"FIN",2111524.15224675
2020,"FIN",2904534.89047042
2010,"FJI",12658.8955920488
2011,"FJI",11717.0562138588
2012,"FJI",6590.48723474387
2013,"FJI",6973.64295684616
2014,"FJI",7099.99907904
2015,"FJI",10965.4936997772
2016,"FJI",31331.1869408992
2017,"FJI",15783.1831411858
2018,"FJI",11850.8015757911
2019,"FJI",5546.7913759892
2020,"FJI",13943.8095381307
2010,"FRA",3619767.45236382
2011,"FRA",4687195.45742015
2012,"FRA",5173059.79868637
2013,"FRA",4614688.72580652
2014,"FRA",4588933.40129769
2015,"FRA",3546572.83571403
2016,"FRA",3733603.93900029
2017,"FRA",3902504.54937199
2018,"FRA",3262379.03354985
2019,"FRA",2974737.93588672
2020,"FRA",3451909.36977326
2010,"FRO",2062.73699737362
2011,"FRO",3624.1153741451
2012,"FRO",664.446836139971
2013,"FRO",1773.49744005197
2014,"FRO",352.277880936375
2015,"FRO",722.704370069843
2016,"FRO",970.785472885426
2017,"FRO",513.612620027283
2018,"FRO",13628.6051387234
2019,"FRO",37196.78154927
2020,"FRO",52120.6817289702
2010,"FSM",16625.4179277273
2011,"FSM",26499.3413004736
2012,"FSM",28381.3519325062
2013,"FSM",19514.214129745
2014,"FSM",0
2015,"FSM",0
2016,"FSM",0
2017,"FSM",0
2018,"FSM",0
2019,"FSM",0
2020,"FSM",0
2010,"GAB",0
2011,"GAB",3028.97792289361
2012,"GAB",0
2013,"GAB",0
2014,"GAB",83625.2718927987
2015,"GAB",130727.851395069
2016,"GAB",109226.811021851
2017,"GAB",117181.257292214
2018,"GAB",41705.4083565655
2019,"GAB",163191.644510459
2020,"GAB",687.109207986607
2010,"GBR",2977741.93351299
2011,"GBR",3435207.9339395
2012,"GBR",2151437.73835051
2013,"GBR",2729714.87090654
2014,"GBR",2518530.88864124
2015,"GBR",7098549.4388993
2016,"GBR",6463880.05756234
2017,"GBR",12280643.6067317
2018,"GBR",10245632.5271047
2019,"GBR",3228644.63233406
2020,"GBR",2623447.10554711
2010,"GEO",0
2011,"GEO",14458.1168298522
2012,"GEO",0
2013,"GEO",2151.01085213513
2014,"GEO",379.929216218074
2015,"GEO",2008.54955261404
2016,"GEO",0
2017,"GEO",5024.68653401542
2018,"GEO",66.2049394887142
2019,"GEO",3041.92796834466
2020,"GEO",1155.04451665883
2010,"GHA",677234.298783594
2011,"GHA",987975.101623253
2012,"GHA",1324428.03986336
2013,"GHA",978242.677439568
2014,"GHA",121115.991561419
2015,"GHA",597372.815517715
2016,"GHA",1027146.81789663
2017,"GHA",1837953.81177632
2018,"GHA",1348375.37643646
2019,"GHA",1083211.36293332
2020,"GHA",624133.664800082
2010,"GIN",1743.58333291644
2011,"GIN",7585.32815964016
2012,"GIN",0
2013,"GIN",38044.7805934067
2014,"GIN",62185.4089080519
2015,"GIN",84607.4208523418
2016,"GIN",52704.6405285979
2017,"GIN",189014.211877811
2018,"GIN",125956.386564039
2019,"GIN",243732.998791339
2020,"GIN",49981.0092186543
2010,"GMB",0
2011,"GMB",0
2012,"GMB",1355.31472111613
2013,"GMB",0
2014,"GMB",1209.5974317321
2015,"GMB",0
2016,"GMB",0
2017,"GMB",0
2018,"GMB",0
2019,"GMB",3136.79496534113
2020,"GMB",41682.6434599151
2010,"GNB",0
2011,"GNB",0
2012,"GNB",0
2013,"GNB",0
2014,"GNB",0
2015,"GNB",0
2016,"GNB",0
2017,"GNB",0
2018,"GNB",145768.218588967
2019,"GNB",0
2020,"GNB",44257.421119458
2010,"GNQ",390.464654003527
2011,"GNQ",0
2012,"GNQ",0
2013,"GNQ",0
2014,"GNQ",825.527982187341
2015,"GNQ",0
2016,"GNQ",0
2017,"GNQ",0
2018,"GNQ",0
2019,"GNQ",0
2020,"GNQ",0
2010,"GRC",63940.8893571452
2011,"GRC",74421.173832847
2012,"GRC",76955.8924306735
2013,"GRC",97816.5499413399
2014,"GRC",83824.0013111009
2015,"GRC",92395.7432860766
2016,"GRC",99204.0125554294
2017,"GRC",44682.4388485355
2018,"GRC",33680.7227108649
2019,"GRC",18062.1190071875
2020,"GRC",18228.0078726401
2010,"GRL",383.72923012576
2011,"GRL",0
2012,"GRL",9346.36179475829
2013,"GRL",0
2014,"GRL",751.039753520506
2015,"GRL",0
2016,"GRL",0
2017,"GRL",482.101717206075
2018,"GRL",4654.98650510188
2019,"GRL",6579.14391220104
2020,"GRL",5395.84535206396
2010,"GTM",1050.20466420542
2011,"GTM",0
2012,"GTM",366.570008688143
2013,"GTM",1489.20241283254
2014,"GTM",2165.9650690895
2015,"GTM",0
2016,"GTM",0
2017,"GTM",0
2018,"GTM",2273.42923323249
2019,"GTM",4796.91576477642
2020,"GTM",1607.84447899566
2010,"GUM",2062.10770713878
2011,"GUM",2294.65247228976
2012,"GUM",1263.07333248975
2013,"GUM",9383.31736582995
2014,"GUM",184.094470473222
2015,"GUM",0
2016,"GUM",0
2017,"GUM",1433.83899219981
2018,"GUM",0
2019,"GUM",0
2020,"GUM",0
2010,"HKG",379579.554272629
2011,"HKG",231115.982204305
2012,"HKG",303610.335663386
2013,"HKG",325976.210430913
2014,"HKG",239797.47755561
2015,"HKG",438814.425382844
2016,"HKG",290236.190313622
2017,"HKG",306679.209931606
2018,"HKG",333585.123619661
2019,"HKG",320279.808009502
2020,"HKG",299542.374509592
2010,"HND",6612.82270028551
2011,"HND",1008.56544884261
2012,"HND",0
2013,"HND",0
2014,"HND",5079.47520167433
2015,"HND",6864.61838711398
2016,"HND",3596.74954423003
2017,"HND",7731.38446472809
2018,"HND",2059.06907675324
2019,"HND",0
2020,"HND",582.554496979977
2010,"HRV",1794654.79354928
2011,"HRV",943194.657146894
2012,"HRV",189987.294132132
2013,"HRV",115676.841263288
2014,"HRV",123631.360945195
2015,"HRV",112140.625919962
2016,"HRV",148410.432846708
2017,"HRV",89614.0009798337
2018,"HRV",91433.0258088325
2019,"HRV",88136.5259083111
2020,"HRV",117335.152814837
2010,"HTI",0
2011,"HTI",0
2012,"HTI",0
2013,"HTI",12724.2397572096
2014,"HTI",721.48318822319
2015,"HTI",9156.95833195377
2016,"HTI",0
2017,"HTI",0
2018,"HTI",0
2019,"HTI",77132.2508034876
2020,"HTI",147535.200483442
2010,"HUN",58594.9991497093
2011,"HUN",95175.4045663477
2012,"HUN",65946.1367514431
2013,"HUN",49095.9402275395
2014,"HUN",35551.3598364108
2015,"HUN",56735.0850323827
2016,"HUN",114872.331325938
2017,"HUN",83796.3223217992
2018,"HUN",74179.1484657414
2019,"HUN",52740.9483773198
2020,"HUN",61731.8384340141
2010,"IDN",3157958.77792645
2011,"IDN",4013776.77171697
2012,"IDN",2783415.09868285
2013,"IDN",2672765.140253
2014,"IDN",3726375.35673216
2015,"IDN",4270156.86639778
2016,"IDN",4962896.05181436
2017,"IDN",8753773.74291368
2018,"IDN",11203124.9108755
2019,"IDN",9714486.2327321
2020,"IDN",10692487.8142434
2010,"IND",57661642.8507704
2011,"IND",69570038.6239651
2012,"IND",84975204.4788134
2013,"IND",97516351.9341459
2014,"IND",106817758.825124
2015,"IND",113282500.401253
2016,"IND",117795698.44685
2017,"IND",145941623.857754
2018,"IND",161813472.275934
2019,"IND",167492852.054666
2020,"IND",144218999.809556
2010,"IRL",693108.649228783
2011,"IRL",623989.835453328
2012,"IRL",503949.648530937
2013,"IRL",381136.455264373
2014,"IRL",405179.685009827
2015,"IRL",433279.648663737
2016,"IRL",355259.612095522
2017,"IRL",466449.374625919
2018,"IRL",416403.80851141
2019,"IRL",376294.667838329
2020,"IRL",227205.202218113
2010,"IRN",67493.7021979324
2011,"IRN",423088.723240322
2012,"IRN",50726.6829346967
2013,"IRN",257158.456171612
2014,"IRN",236218.038493373
2015,"IRN",840757.212453809
2016,"IRN",1383967.16160268
2017,"IRN",2125041.88879874
2018,"IRN",466726.169185552
2019,"IRN",300495.797464431
2020,"IRN",365847.995342629
2010,"IRQ",8705.26400007552
2011,"IRQ",30724.0515582366
2012,"IRQ",25866.513117519
2013,"IRQ",52904.1551487031
2014,"IRQ",48330.1231542758
2015,"IRQ",8248.18377454734
2016,"IRQ",17088.9726521174
2017,"IRQ",106850.521658166
2018,"IRQ",18077.9937301685
2019,"IRQ",7997.59178209054
2020,"IRQ",8949.33477601833
2010,"ISL",60269.3825466487
2011,"ISL",55278.2716260509
2012,"ISL",13254.5631941683
2013,"ISL",29427.4952286589
2014,"ISL",28520.9993147955
2015,"ISL",24372.4404100754
2016,"ISL",33160.8890251175
2017,"ISL",33713.1383227419
2018,"ISL",38582.1008852484
2019,"ISL",33002.4461696378
2020,"ISL",25246.0383418088
