Year,iso_code3,cost_enfu_fuel_biogas_usd_per_mmbtu
2029,ALB,22000.0
2030,ALB,22000.0
2031,ALB,22000.0
2032,ALB,22000.0
2033,ALB,22000.0
2034,ALB,22000.0
2035,ALB,22000.0
2036,ALB,22000.0
2037,ALB,22000.0
2038,ALB,22000.0
2039,ALB,22000.0
2040,ALB,22000.0
2041,ALB,22000.0
2042,ALB,22000.0
2043,ALB,22000.0
2044,ALB,22000.0
2045,ALB,22000.0
2046,ALB,22000.0
2047,ALB,22000.0
2048,ALB,22000.0
2049,ALB,22000.0
2050,ALB,22000.0
2021,AND,22000.0
2022,AND,22000.0
2023,AND,22000.0
2024,AND,22000.0
2025,AND,22000.0
2026,AND,22000.0
2027,AND,22000.0
2028,AND,22000.0
2029,AND,22000.0
2030,AND,22000.0
2031,AND,22000.0
2032,AND,22000.0
2033,AND,22000.0
2034,AND,22000.0
2035,AND,22000.0
2036,AND,22000.0
2037,AND,22000.0
2038,AND,22000.0
2039,AND,22000.0
2040,AND,22000.0
2041,AND,22000.0
2042,AND,22000.0
2043,AND,22000.0
2044,AND,22000.0
2045,AND,22000.0
2046,AND,22000.0
2047,AND,22000.0
2048,AND,22000.0
2049,AND,22000.0
2050,AND,22000.0
2021,ARE,22000.0
2022,ARE,22000.0
2023,ARE,22000.0
2024,ARE,22000.0
2025,ARE,22000.0
2026,ARE,22000.0
2027,ARE,22000.0
2028,ARE,22000.0
2029,ARE,22000.0
2030,ARE,22000.0
2031,ARE,22000.0
2032,ARE,22000.0
2033,ARE,22000.0
2034,ARE,22000.0
2035,ARE,22000.0
2036,ARE,22000.0
2037,ARE,22000.0
2038,ARE,22000.0
2039,ARE,22000.0
2040,ARE,22000.0
2041,ARE,22000.0
2042,ARE,22000.0
2043,ARE,22000.0
2044,ARE,22000.0
2045,ARE,22000.0
2046,ARE,22000.0
2047,ARE,22000.0
2048,ARE,22000.0
2049,ARE,22000.0
2050,ARE,22000.0
2021,ARG,22000.0
2022,ARG,22000.0
2023,ARG,22000.0
2024,ARG,22000.0
2025,ARG,22000.0
2026,ARG,22000.0
2027,ARG,22000.0
2028,ARG,22000.0
2029,ARG,22000.0
2030,ARG,22000.0
2031,ARG,22000.0
2032,ARG,22000.0
2033,ARG,22000.0
2034,ARG,22000.0
2035,ARG,22000.0
2036,ARG,22000.0
2037,ARG,22000.0
2038,ARG,22000.0
2039,ARG,22000.0
2040,ARG,22000.0
2041,ARG,22000.0
2042,ARG,22000.0
2043,ARG,22000.0
2044,ARG,22000.0
2045,ARG,22000.0
2046,ARG,22000.0
2047,ARG,22000.0
2048,ARG,22000.0
2049,ARG,22000.0
2050,ARG,22000.0
2021,ARM,22000.0
2022,ARM,22000.0
2023,ARM,22000.0
2024,ARM,22000.0
2025,ARM,22000.0
2026,ARM,22000.0
2027,ARM,22000.0
2028,ARM,22000.0
2029,ARM,22000.0
2030,ARM,22000.0
2031,ARM,22000.0
2032,ARM,22000.0
2033,ARM,22000.0
2034,ARM,22000.0
2035,ARM,22000.0
2036,ARM,22000.0
2037,ARM,22000.0
2038,ARM,22000.0
2039,ARM,22000.0
2040,ARM,22000.0
2041,ARM,22000.0
2042,ARM,22000.0
2043,ARM,22000.0
2044,ARM,22000.0
2045,ARM,22000.0
2046,ARM,22000.0
2047,ARM,22000.0
2048,ARM,22000.0
2049,ARM,22000.0
2050,ARM,22000.0
2021,ASM,22000.0
2022,ASM,22000.0
2023,ASM,22000.0
2024,ASM,22000.0
2025,ASM,22000.0
2026,ASM,22000.0
2027,ASM,22000.0
2028,ASM,22000.0
2029,ASM,22000.0
2030,ASM,22000.0
2031,ASM,22000.0
2032,ASM,22000.0
2033,ASM,22000.0
2034,ASM,22000.0
2035,ASM,22000.0
2036,ASM,22000.0
2037,ASM,22000.0
2038,ASM,22000.0
2039,ASM,22000.0
2040,ASM,22000.0
2041,ASM,22000.0
2042,ASM,22000.0
2043,ASM,22000.0
2044,ASM,22000.0
2045,ASM,22000.0
2046,ASM,22000.0
2047,ASM,22000.0
2048,ASM,22000.0
2049,ASM,22000.0
2050,ASM,22000.0
2021,ATG,22000.0
2022,ATG,22000.0
2023,ATG,22000.0
2024,ATG,22000.0
2025,ATG,22000.0
2026,ATG,22000.0
2027,ATG,22000.0
2028,ATG,22000.0
2029,ATG,22000.0
2030,ATG,22000.0
2031,ATG,22000.0
2032,ATG,22000.0
2033,ATG,22000.0
2034,ATG,22000.0
2035,ATG,22000.0
2036,ATG,22000.0
2037,ATG,22000.0
2038,ATG,22000.0
2039,ATG,22000.0
2040,ATG,22000.0
2041,ATG,22000.0
2042,ATG,22000.0
2043,ATG,22000.0
2044,ATG,22000.0
2045,ATG,22000.0
2046,ATG,22000.0
2047,ATG,22000.0
2048,ATG,22000.0
2049,ATG,22000.0
2050,ATG,22000.0
2021,AUS,22000.0
2022,AUS,22000.0
2023,AUS,22000.0
2024,AUS,22000.0
2025,AUS,22000.0
2026,AUS,22000.0
2027,AUS,22000.0
2028,AUS,22000.0
2029,AUS,22000.0
2030,AUS,22000.0
2031,AUS,22000.0
2032,AUS,22000.0
2033,AUS,22000.0
2034,AUS,22000.0
2035,AUS,22000.0
2036,AUS,22000.0
2037,AUS,22000.0
2038,AUS,22000.0
2039,AUS,22000.0
2040,AUS,22000.0
2041,AUS,22000.0
2042,AUS,22000.0
2043,AUS,22000.0
2044,AUS,22000.0
2045,AUS,22000.0
2046,AUS,22000.0
2047,AUS,22000.0
2048,AUS,22000.0
2049,AUS,22000.0
2050,AUS,22000.0
2021,AUT,22000.0
2022,AUT,22000.0
2023,AUT,22000.0
2024,AUT,22000.0
2025,AUT,22000.0
2026,AUT,22000.0
2027,AUT,22000.0
2028,AUT,22000.0
2029,AUT,22000.0
2030,AUT,22000.0
2031,AUT,22000.0
2032,AUT,22000.0
2033,AUT,22000.0
2034,AUT,22000.0
2035,AUT,22000.0
2036,AUT,22000.0
2037,AUT,22000.0
2038,AUT,22000.0
2039,AUT,22000.0
2040,AUT,22000.0
2041,AUT,22000.0
2042,AUT,22000.0
2043,AUT,22000.0
2044,AUT,22000.0
2045,AUT,22000.0
2046,AUT,22000.0
2047,AUT,22000.0
2048,AUT,22000.0
2049,AUT,22000.0
2050,AUT,22000.0
2021,AZE,22000.0
2022,AZE,22000.0
2023,AZE,22000.0
2024,AZE,22000.0
2025,AZE,22000.0
2026,AZE,22000.0
2027,AZE,22000.0
2028,AZE,22000.0
2029,AZE,22000.0
2030,AZE,22000.0
2031,AZE,22000.0
2032,AZE,22000.0
2033,AZE,22000.0
2034,AZE,22000.0
2035,AZE,22000.0
2036,AZE,22000.0
2037,AZE,22000.0
2038,AZE,22000.0
2039,AZE,22000.0
2040,AZE,22000.0
2041,AZE,22000.0
2042,AZE,22000.0
2043,AZE,22000.0
2044,AZE,22000.0
2045,AZE,22000.0
2046,AZE,22000.0
2047,AZE,22000.0
2048,AZE,22000.0
2049,AZE,22000.0
2050,AZE,22000.0
2021,BDI,22000.0
2022,BDI,22000.0
2023,BDI,22000.0
2024,BDI,22000.0
2025,BDI,22000.0
2026,BDI,22000.0
2027,BDI,22000.0
2028,BDI,22000.0
2029,BDI,22000.0
2030,BDI,22000.0
2031,BDI,22000.0
2032,BDI,22000.0
2033,BDI,22000.0
2034,BDI,22000.0
2035,BDI,22000.0
2036,BDI,22000.0
2037,BDI,22000.0
2038,BDI,22000.0
2039,BDI,22000.0
2040,BDI,22000.0
2041,BDI,22000.0
2042,BDI,22000.0
2043,BDI,22000.0
2044,BDI,22000.0
2045,BDI,22000.0
2046,BDI,22000.0
2047,BDI,22000.0
2048,BDI,22000.0
2049,BDI,22000.0
2050,BDI,22000.0
2021,BEL,22000.0
2022,BEL,22000.0
2023,BEL,22000.0
2024,BEL,22000.0
2025,BEL,22000.0
2026,BEL,22000.0
2027,BEL,22000.0
2028,BEL,22000.0
2029,BEL,22000.0
2030,BEL,22000.0
2031,BEL,22000.0
2032,BEL,22000.0
2033,BEL,22000.0
2034,BEL,22000.0
2035,BEL,22000.0
2036,BEL,22000.0
2037,BEL,22000.0
2038,BEL,22000.0
2039,BEL,22000.0
2040,BEL,22000.0
2041,BEL,22000.0
2042,BEL,22000.0
2043,BEL,22000.0
2044,BEL,22000.0
2045,BEL,22000.0
2046,BEL,22000.0
2047,BEL,22000.0
2048,BEL,22000.0
2049,BEL,22000.0
2050,BEL,22000.0
2021,BEN,22000.0
2022,BEN,22000.0
2023,BEN,22000.0
2024,BEN,22000.0
2025,BEN,22000.0
2026,BEN,22000.0
2027,BEN,22000.0
2028,BEN,22000.0
2029,BEN,22000.0
2030,BEN,22000.0
2031,BEN,22000.0
2032,BEN,22000.0
2033,BEN,22000.0
2034,BEN,22000.0
2035,BEN,22000.0
2036,BEN,22000.0
2037,BEN,22000.0
2038,BEN,22000.0
2039,BEN,22000.0
2040,BEN,22000.0
2041,BEN,22000.0
2042,BEN,22000.0
2043,BEN,22000.0
2044,BEN,22000.0
2045,BEN,22000.0
2046,BEN,22000.0
2047,BEN,22000.0
2048,BEN,22000.0
2049,BEN,22000.0
2050,BEN,22000.0
2021,BFA,22000.0
2022,BFA,22000.0
2023,BFA,22000.0
2024,BFA,22000.0
2025,BFA,22000.0
2026,BFA,22000.0
2027,BFA,22000.0
2028,BFA,22000.0
2029,BFA,22000.0
2030,BFA,22000.0
2031,BFA,22000.0
2032,BFA,22000.0
2033,BFA,22000.0
2034,BFA,22000.0
2035,BFA,22000.0
2036,BFA,22000.0
2037,BFA,22000.0
2038,BFA,22000.0
2039,BFA,22000.0
2040,BFA,22000.0
2041,BFA,22000.0
2042,BFA,22000.0
2043,BFA,22000.0
2044,BFA,22000.0
2045,BFA,22000.0
2046,BFA,22000.0
2047,BFA,22000.0
2048,BFA,22000.0
2049,BFA,22000.0
2050,BFA,22000.0
2021,BGD,22000.0
2022,BGD,22000.0
2023,BGD,22000.0
2024,BGD,22000.0
2025,BGD,22000.0
2026,BGD,22000.0
2027,BGD,22000.0
2028,BGD,22000.0
2029,BGD,22000.0
2030,BGD,22000.0
2031,BGD,22000.0
2032,BGD,22000.0
2033,BGD,22000.0
2034,BGD,22000.0
2035,BGD,22000.0
2036,BGD,22000.0
2037,BGD,22000.0
2038,BGD,22000.0
2039,BGD,22000.0
2040,BGD,22000.0
2041,BGD,22000.0
2042,BGD,22000.0
2043,BGD,22000.0
2044,BGD,22000.0
2045,BGD,22000.0
2046,BGD,22000.0
2047,BGD,22000.0
2048,BGD,22000.0
2049,BGD,22000.0
2050,BGD,22000.0
2021,BGR,22000.0
2022,BGR,22000.0
2023,BGR,22000.0
2024,BGR,22000.0
2025,BGR,22000.0
2026,BGR,22000.0
2027,BGR,22000.0
2028,BGR,22000.0
2029,BGR,22000.0
2030,BGR,22000.0
2031,BGR,22000.0
2032,BGR,22000.0
2033,BGR,22000.0
2034,BGR,22000.0
2035,BGR,22000.0
2036,BGR,22000.0
2037,BGR,22000.0
2038,BGR,22000.0
2039,BGR,22000.0
2040,BGR,22000.0
2041,BGR,22000.0
2042,BGR,22000.0
2043,BGR,22000.0
2044,BGR,22000.0
2045,BGR,22000.0
2046,BGR,22000.0
2047,BGR,22000.0
2048,BGR,22000.0
2049,BGR,22000.0
2050,BGR,22000.0
2021,BHR,22000.0
2022,BHR,22000.0
2023,BHR,22000.0
2024,BHR,22000.0
2025,BHR,22000.0
2026,BHR,22000.0
2027,BHR,22000.0
2028,BHR,22000.0
2029,BHR,22000.0
2030,BHR,22000.0
2031,BHR,22000.0
2032,BHR,22000.0
2033,BHR,22000.0
2034,BHR,22000.0
2035,BHR,22000.0
2036,BHR,22000.0
2037,BHR,22000.0
2038,BHR,22000.0
2039,BHR,22000.0
2040,BHR,22000.0
2041,BHR,22000.0
2042,BHR,22000.0
2043,BHR,22000.0
2044,BHR,22000.0
2045,BHR,22000.0
2046,BHR,22000.0
2047,BHR,22000.0
2048,BHR,22000.0
2049,BHR,22000.0
2050,BHR,22000.0
2021,BHS,22000.0
2022,BHS,22000.0
2023,BHS,22000.0
2024,BHS,22000.0
2025,BHS,22000.0
2026,BHS,22000.0
2027,BHS,22000.0
2028,BHS,22000.0
2029,BHS,22000.0
2030,BHS,22000.0
2031,BHS,22000.0
2032,BHS,22000.0
2033,BHS,22000.0
2034,BHS,22000.0
2035,BHS,22000.0
2036,BHS,22000.0
2037,BHS,22000.0
2038,BHS,22000.0
2039,BHS,22000.0
2040,BHS,22000.0
2041,BHS,22000.0
2042,BHS,22000.0
2043,BHS,22000.0
2044,BHS,22000.0
2045,BHS,22000.0
2046,BHS,22000.0
2047,BHS,22000.0
2048,BHS,22000.0
2049,BHS,22000.0
2050,BHS,22000.0
2021,BIH,22000.0
2022,BIH,22000.0
2023,BIH,22000.0
2024,BIH,22000.0
2025,BIH,22000.0
2026,BIH,22000.0
2027,BIH,22000.0
2028,BIH,22000.0
2029,BIH,22000.0
2030,BIH,22000.0
2031,BIH,22000.0
2032,BIH,22000.0
2033,BIH,22000.0
2034,BIH,22000.0
2035,BIH,22000.0
2036,BIH,22000.0
2037,BIH,22000.0
2038,BIH,22000.0
2039,BIH,22000.0
2040,BIH,22000.0
2041,BIH,22000.0
2042,BIH,22000.0
2043,BIH,22000.0
2044,BIH,22000.0
2045,BIH,22000.0
2046,BIH,22000.0
2047,BIH,22000.0
2048,BIH,22000.0
2049,BIH,22000.0
2050,BIH,22000.0
2021,BLR,22000.0
2022,BLR,22000.0
2023,BLR,22000.0
2024,BLR,22000.0
2025,BLR,22000.0
2026,BLR,22000.0
2027,BLR,22000.0
2028,BLR,22000.0
2029,BLR,22000.0
2030,BLR,22000.0
2031,BLR,22000.0
2032,BLR,22000.0
2033,BLR,22000.0
2034,BLR,22000.0
2035,BLR,22000.0
2036,BLR,22000.0
2037,BLR,22000.0
2038,BLR,22000.0
2039,BLR,22000.0
2040,BLR,22000.0
2041,BLR,22000.0
2042,BLR,22000.0
2043,BLR,22000.0
2044,BLR,22000.0
2045,BLR,22000.0
2046,BLR,22000.0
2047,BLR,22000.0
2048,BLR,22000.0
2049,BLR,22000.0
2050,BLR,22000.0
2021,BLZ,22000.0
2022,BLZ,22000.0
2023,BLZ,22000.0
2024,BLZ,22000.0
2025,BLZ,22000.0
2026,BLZ,22000.0
2027,BLZ,22000.0
2028,BLZ,22000.0
2029,BLZ,22000.0
2030,BLZ,22000.0
2031,BLZ,22000.0
2032,BLZ,22000.0
2033,BLZ,22000.0
2034,BLZ,22000.0
2035,BLZ,22000.0
2036,BLZ,22000.0
2037,BLZ,22000.0
2038,BLZ,22000.0
2039,BLZ,22000.0
2040,BLZ,22000.0
2041,BLZ,22000.0
2042,BLZ,22000.0
2043,BLZ,22000.0
2044,BLZ,22000.0
2045,BLZ,22000.0
2046,BLZ,22000.0
2047,BLZ,22000.0
2048,BLZ,22000.0
2049,BLZ,22000.0
2050,BLZ,22000.0
2021,BMU,22000.0
2022,BMU,22000.0
2023,BMU,22000.0
2024,BMU,22000.0
2025,BMU,22000.0
2026,BMU,22000.0
2027,BMU,22000.0
2028,BMU,22000.0
2029,BMU,22000.0
2030,BMU,22000.0
2031,BMU,22000.0
2032,BMU,22000.0
2033,BMU,22000.0
2034,BMU,22000.0
2035,BMU,22000.0
2036,BMU,22000.0
2037,BMU,22000.0
2038,BMU,22000.0
2039,BMU,22000.0
2040,BMU,22000.0
2041,BMU,22000.0
2042,BMU,22000.0
2043,BMU,22000.0
2044,BMU,22000.0
2045,BMU,22000.0
2046,BMU,22000.0
2047,BMU,22000.0
2048,BMU,22000.0
2049,BMU,22000.0
2050,BMU,22000.0
2021,BOL,22000.0
2022,BOL,22000.0
2023,BOL,22000.0
2024,BOL,22000.0
2025,BOL,22000.0
2026,BOL,22000.0
2027,BOL,22000.0
2028,BOL,22000.0
2029,BOL,22000.0
2030,BOL,22000.0
2031,BOL,22000.0
2032,BOL,22000.0
2033,BOL,22000.0
2034,BOL,22000.0
2035,BOL,22000.0
2036,BOL,22000.0
2037,BOL,22000.0
2038,BOL,22000.0
2039,BOL,22000.0
2040,BOL,22000.0
2041,BOL,22000.0
2042,BOL,22000.0
2043,BOL,22000.0
2044,BOL,22000.0
2045,BOL,22000.0
2046,BOL,22000.0
2047,BOL,22000.0
2048,BOL,22000.0
2049,BOL,22000.0
2050,BOL,22000.0
2021,BRA,22000.0
2022,BRA,22000.0
2023,BRA,22000.0
2024,BRA,22000.0
2025,BRA,22000.0
2026,BRA,22000.0
2027,BRA,22000.0
2028,BRA,22000.0
2029,BRA,22000.0
2030,BRA,22000.0
2031,BRA,22000.0
2032,BRA,22000.0
2033,BRA,22000.0
2034,BRA,22000.0
2035,BRA,22000.0
2036,BRA,22000.0
2037,BRA,22000.0
2038,BRA,22000.0
2039,BRA,22000.0
2040,BRA,22000.0
2041,BRA,22000.0
2042,BRA,22000.0
2043,BRA,22000.0
2044,BRA,22000.0
2045,BRA,22000.0
2046,BRA,22000.0
2047,BRA,22000.0
2048,BRA,22000.0
2049,BRA,22000.0
2050,BRA,22000.0
2021,BRB,22000.0
2022,BRB,22000.0
2023,BRB,22000.0
2024,BRB,22000.0
2025,BRB,22000.0
2026,BRB,22000.0
2027,BRB,22000.0
2028,BRB,22000.0
2029,BRB,22000.0
2030,BRB,22000.0
2031,BRB,22000.0
2032,BRB,22000.0
2033,BRB,22000.0
2034,BRB,22000.0
2035,BRB,22000.0
2036,BRB,22000.0
2037,BRB,22000.0
2038,BRB,22000.0
2039,BRB,22000.0
2040,BRB,22000.0
2041,BRB,22000.0
2042,BRB,22000.0
2043,BRB,22000.0
2044,BRB,22000.0
2045,BRB,22000.0
2046,BRB,22000.0
2047,BRB,22000.0
2048,BRB,22000.0
2049,BRB,22000.0
2050,BRB,22000.0
2021,BRN,22000.0
2022,BRN,22000.0
2023,BRN,22000.0
2024,BRN,22000.0
2025,BRN,22000.0
2026,BRN,22000.0
2027,BRN,22000.0
2028,BRN,22000.0
2029,BRN,22000.0
2030,BRN,22000.0
2031,BRN,22000.0
2032,BRN,22000.0
2033,BRN,22000.0
2034,BRN,22000.0
2035,BRN,22000.0
2036,BRN,22000.0
2037,BRN,22000.0
2038,BRN,22000.0
2039,BRN,22000.0
2040,BRN,22000.0
2041,BRN,22000.0
2042,BRN,22000.0
2043,BRN,22000.0
2044,BRN,22000.0
2045,BRN,22000.0
2046,BRN,22000.0
2047,BRN,22000.0
2048,BRN,22000.0
2049,BRN,22000.0
2050,BRN,22000.0
2021,BTN,22000.0
2022,BTN,22000.0
2023,BTN,22000.0
2024,BTN,22000.0
2025,BTN,22000.0
2026,BTN,22000.0
2027,BTN,22000.0
2028,BTN,22000.0
2029,BTN,22000.0
2030,BTN,22000.0
2031,BTN,22000.0
2032,BTN,22000.0
2033,BTN,22000.0
2034,BTN,22000.0
2035,BTN,22000.0
2036,BTN,22000.0
2037,BTN,22000.0
2038,BTN,22000.0
2039,BTN,22000.0
2040,BTN,22000.0
2041,BTN,22000.0
2042,BTN,22000.0
2043,BTN,22000.0
2044,BTN,22000.0
2045,BTN,22000.0
2046,BTN,22000.0
2047,BTN,22000.0
2048,BTN,22000.0
2049,BTN,22000.0
2050,BTN,22000.0
2021,BWA,22000.0
2022,BWA,22000.0
2023,BWA,22000.0
2024,BWA,22000.0
2025,BWA,22000.0
2026,BWA,22000.0
2027,BWA,22000.0
2028,BWA,22000.0
2029,BWA,22000.0
2030,BWA,22000.0
2031,BWA,22000.0
2032,BWA,22000.0
2033,BWA,22000.0
2034,BWA,22000.0
2035,BWA,22000.0
2036,BWA,22000.0
2037,BWA,22000.0
2038,BWA,22000.0
2039,BWA,22000.0
2040,BWA,22000.0
2041,BWA,22000.0
2042,BWA,22000.0
2043,BWA,22000.0
2044,BWA,22000.0
2045,BWA,22000.0
2046,BWA,22000.0
2047,BWA,22000.0
2048,BWA,22000.0
2049,BWA,22000.0
2050,BWA,22000.0
2021,CAF,22000.0
2022,CAF,22000.0
2023,CAF,22000.0
2024,CAF,22000.0
2025,CAF,22000.0
2026,CAF,22000.0
2027,CAF,22000.0
2028,CAF,22000.0
2029,CAF,22000.0
2030,CAF,22000.0
2031,CAF,22000.0
2032,CAF,22000.0
2033,CAF,22000.0
2034,CAF,22000.0
2035,CAF,22000.0
2036,CAF,22000.0
2037,CAF,22000.0
2038,CAF,22000.0
2039,CAF,22000.0
2040,CAF,22000.0
2041,CAF,22000.0
2042,CAF,22000.0
2043,CAF,22000.0
2044,CAF,22000.0
2045,CAF,22000.0
2046,CAF,22000.0
2047,CAF,22000.0
2048,CAF,22000.0
2049,CAF,22000.0
2050,CAF,22000.0
2021,CAN,22000.0
2022,CAN,22000.0
2023,CAN,22000.0
2024,CAN,22000.0
2025,CAN,22000.0
2026,CAN,22000.0
2027,CAN,22000.0
2028,CAN,22000.0
2029,CAN,22000.0
2030,CAN,22000.0
2031,CAN,22000.0
2032,CAN,22000.0
2033,CAN,22000.0
2034,CAN,22000.0
2035,CAN,22000.0
2036,CAN,22000.0
2037,CAN,22000.0
2038,CAN,22000.0
2039,CAN,22000.0
2040,CAN,22000.0
2041,CAN,22000.0
2042,CAN,22000.0
2043,CAN,22000.0
2044,CAN,22000.0
2045,CAN,22000.0
2046,CAN,22000.0
2047,CAN,22000.0
2048,CAN,22000.0
2049,CAN,22000.0
2050,CAN,22000.0
2021,CHE,22000.0
2022,CHE,22000.0
2023,CHE,22000.0
2024,CHE,22000.0
2025,CHE,22000.0
2026,CHE,22000.0
2027,CHE,22000.0
2028,CHE,22000.0
2029,CHE,22000.0
2030,CHE,22000.0
2031,CHE,22000.0
2032,CHE,22000.0
2033,CHE,22000.0
2034,CHE,22000.0
2035,CHE,22000.0
2036,CHE,22000.0
2037,CHE,22000.0
2038,CHE,22000.0
2039,CHE,22000.0
2040,CHE,22000.0
2041,CHE,22000.0
2042,CHE,22000.0
2043,CHE,22000.0
2044,CHE,22000.0
2045,CHE,22000.0
2046,CHE,22000.0
2047,CHE,22000.0
2048,CHE,22000.0
2049,CHE,22000.0
2050,CHE,22000.0
2021,CHL,22000.0
2022,CHL,22000.0
2023,CHL,22000.0
2024,CHL,22000.0
2025,CHL,22000.0
2026,CHL,22000.0
2027,CHL,22000.0
2028,CHL,22000.0
2029,CHL,22000.0
2030,CHL,22000.0
2031,CHL,22000.0
2032,CHL,22000.0
2033,CHL,22000.0
2034,CHL,22000.0
2035,CHL,22000.0
2036,CHL,22000.0
2037,CHL,22000.0
2038,CHL,22000.0
2039,CHL,22000.0
2040,CHL,22000.0
2041,CHL,22000.0
2042,CHL,22000.0
2043,CHL,22000.0
2044,CHL,22000.0
2045,CHL,22000.0
2046,CHL,22000.0
2047,CHL,22000.0
2048,CHL,22000.0
2049,CHL,22000.0
2050,CHL,22000.0
2021,CHN,22000.0
2022,CHN,22000.0
2023,CHN,22000.0
2024,CHN,22000.0
2025,CHN,22000.0
2026,CHN,22000.0
2027,CHN,22000.0
2028,CHN,22000.0
2029,CHN,22000.0
2030,CHN,22000.0
2031,CHN,22000.0
2032,CHN,22000.0
2033,CHN,22000.0
2034,CHN,22000.0
2035,CHN,22000.0
2036,CHN,22000.0
2037,CHN,22000.0
2038,CHN,22000.0
2039,CHN,22000.0
2040,CHN,22000.0
2041,CHN,22000.0
2042,CHN,22000.0
2043,CHN,22000.0
2044,CHN,22000.0
2045,CHN,22000.0
2046,CHN,22000.0
2047,CHN,22000.0
2048,CHN,22000.0
2049,CHN,22000.0
2050,CHN,22000.0
2021,CIV,22000.0
2022,CIV,22000.0
2023,CIV,22000.0
2024,CIV,22000.0
2025,CIV,22000.0
2026,CIV,22000.0
2027,CIV,22000.0
2028,CIV,22000.0
2029,CIV,22000.0
2030,CIV,22000.0
2031,CIV,22000.0
2032,CIV,22000.0
2033,CIV,22000.0
2034,CIV,22000.0
2035,CIV,22000.0
2036,CIV,22000.0
2037,CIV,22000.0
2038,CIV,22000.0
2039,CIV,22000.0
2040,CIV,22000.0
2041,CIV,22000.0
2042,CIV,22000.0
2043,CIV,22000.0
2044,CIV,22000.0
2045,CIV,22000.0
2046,CIV,22000.0
2047,CIV,22000.0
2048,CIV,22000.0
2049,CIV,22000.0
2050,CIV,22000.0
2021,CMR,22000.0
2022,CMR,22000.0
2023,CMR,22000.0
2024,CMR,22000.0
2025,CMR,22000.0
2026,CMR,22000.0
2027,CMR,22000.0
2028,CMR,22000.0
2029,CMR,22000.0
2030,CMR,22000.0
2031,CMR,22000.0
2032,CMR,22000.0
2033,CMR,22000.0
2034,CMR,22000.0
2035,CMR,22000.0
2036,CMR,22000.0
2037,CMR,22000.0
2038,CMR,22000.0
2039,CMR,22000.0
2040,CMR,22000.0
2041,CMR,22000.0
2042,CMR,22000.0
2043,CMR,22000.0
2044,CMR,22000.0
2045,CMR,22000.0
2046,CMR,22000.0
2047,CMR,22000.0
2048,CMR,22000.0
2049,CMR,22000.0
2050,CMR,22000.0
2021,COD,22000.0
2022,COD,22000.0
2023,COD,22000.0
2024,COD,22000.0
2025,COD,22000.0
2026,COD,22000.0
2027,COD,22000.0
2028,COD,22000.0
2029,COD,22000.0
2030,COD,22000.0
2031,COD,22000.0
2032,COD,22000.0
2033,COD,22000.0
2034,COD,22000.0
2035,COD,22000.0
2036,COD,22000.0
2037,COD,22000.0
2038,COD,22000.0
2039,COD,22000.0
2040,COD,22000.0
2041,COD,22000.0
2042,COD,22000.0
