"Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_oil","Year"
"Sweden","SWE",0.9554,2001
"Switzerland","CHE",0.9554,2001
"Syrian Arab Republic","SYR",0.9602,2001
"Tajikistan","TJK",0.9554,2001
"Thailand","THA",1.0104,2001
"Togo","TGO",0.9602,2001
"Trinidad and Tobago","TTO",0.9602,2001
"Tunisia","TUN",0.969191304347826,2001
"Turkey","TUR",0.9554,2001
"Turkmenistan","TKM",0.9554,2001
"Ukraine","UKR",0.9554,2001
"United Arab Emirates","ARE",0.9602,2001
"United Kingdom","GBR",0.9554,2001
"United States","USA",0.9602,2001
"Uruguay","URY",0.9602,2001
"Uzbekistan","UZB",0.9554,2001
"Venezuela","VEN",1.0339,2001
"Vietnam","VNM",0.991,2001
"Zambia","ZMB",0.973766666666667,2001
"Zimbabwe","ZWE",0.9602,2001
"Albania","ALB",0.9554,2002
"Algeria","DZA",0.9602,2002
"Angola","AGO",0.9602,2002
"Argentina","ARG",0.97354347826087,2002
"Armenia","ARM",0.9554,2002
"Australia","AUS",1.0175,2002
"Austria","AUT",0.9554,2002
"Azerbaijan","AZE",0.9554,2002
"Bahrain","BHR",0.9602,2002
"Bangladesh","BGD",0.9602,2002
"Belarus","BLR",0.9554,2002
"Belgium","BEL",0.9554,2002
"Benin","BEN",0.9602,2002
"Bolivia","BOL",0.9602,2002
"Bosnia and Herzegovina","BIH",0.9554,2002
"Botswana","BWA",0.9602,2002
"Brazil","BRA",0.962021276595745,2002
"Brunei Darussalam","BRN",0.9602,2002
"Bulgaria","BGR",0.9554,2002
"Cambodia","KHM",1,2002
"Cameroon","CMR",0.9602,2002
"Canada","CAN",0.9602,2002
"Chile","CHL",0.9602,2002
"China","CHN",0.983126086956522,2002
"Colombia","COL",0.9857,2002
"Costa Rica","CRI",0.9602,2002
"Croatia","HRV",0.9554,2002
"Cuba","CUB",0.953673913043478,2002
"Cyprus","CYP",0.9554,2002
"Denmark","DNK",0.9554,2002
"Dominican Republic","DOM",0.9602,2002
"Ecuador","ECU",0.9602,2002
"Egypt","EGY",0.972,2002
"El Salvador","SLV",0.9602,2002
"Eritrea","ERI",0.9602,2002
"Estonia","EST",0.9554,2002
"Ethiopia","ETH",0.9602,2002
"Finland","FIN",0.9554,2002
"France","FRA",0.9554,2002
"Gabon","GAB",0.9602,2002
"Georgia","GEO",0.9554,2002
"Germany","DEU",0.9554,2002
"Ghana","GHA",0.9602,2002
"Gibraltar","GIB",0.9554,2002
"Greece","GRC",0.9554,2002
"Guatemala","GTM",0.9602,2002
"Haiti","HTI",0.9602,2002
"Honduras","HND",0.9602,2002
"Hungary","HUN",0.9554,2002
"Iceland","ISL",0.9554,2002
"India","IND",0.9602,2002
"Indonesia","IDN",0.9602,2002
"Iraq","IRQ",0.9602,2002
"Ireland","IRL",0.9554,2002
"Israel","ISR",0.9602,2002
"Italy","ITA",0.9554,2002
"Jamaica","JAM",0.9602,2002
"Japan","JPN",1.0175,2002
"Jordan","JOR",0.964191304347826,2002
"Kazakhstan","KAZ",0.9554,2002
"Kenya","KEN",0.9602,2002
"Korea","KOR",1.0175,2002
"Kosovo","XKX",0.9554,2002
"Kuwait","KWT",0.9602,2002
"Latvia","LVA",0.9554,2002
"Lebanon","LBN",0.9602,2002
"Libya","LBY",0.9602,2002
"Lithuania","LTU",0.9554,2002
"Luxembourg","LUX",0.9554,2002
"Malaysia","MYS",0.991860869565217,2002
"Malta","MLT",0.9554,2002
"Mauritius","MUS",0.9602,2002
"Mexico","MEX",0.9602,2002
"Mongolia","MNG",0.9602,2002
"Montenegro","MNE",0.9554,2002
"Morocco","MAR",0.9602,2002
"Mozambique","MOZ",0.9602,2002
"Myanmar","MMR",0.9602,2002
"Namibia","NAM",0.997,2002
"Nepal","NPL",1.04206097560976,2002
"Netherlands","NLD",0.9554,2002
"New Zealand","NZL",1.0175,2002
"Nicaragua","NIC",0.971852173913043,2002
"Niger","NER",0.9602,2002
"Nigeria","NGA",0.9602,2002
"Norway","NOR",0.9554,2002
"Oman","OMN",0.9602,2002
"Pakistan","PAK",0.976,2002
"Panama","PAN",0.9602,2002
"Paraguay","PRY",0.98,2002
"Peru","PER",0.9602,2002
"Philippines","PHL",0.9819,2002
"Poland","POL",0.9554,2002
"Portugal","PRT",0.9554,2002
"Qatar","QAT",0.9602,2002
"Romania","ROU",0.9554,2002
"Russian Federation","RUS",0.9554,2002
"Saudi Arabia","SAU",0.9602,2002
"Senegal","SEN",0.9602,2002
"Serbia","SRB",0.9554,2002
"Singapore","SGP",0.9602,2002
"Slovak Republic","SVK",0.9554,2002
"Slovenia","SVN",0.9554,2002
"South Africa","ZAF",0.98044347826087,2002
"South Sudan","SSD",0.964441652559124,2002
"Spain","ESP",0.9554,2002
"Sri Lanka","LKA",0.9701,2002
"Sudan","SDN",0.9602,2002
"Suriname","SUR",0.9602,2002
"Sweden","SWE",0.9554,2002
"Switzerland","CHE",0.9554,2002
"Syrian Arab Republic","SYR",0.9602,2002
"Tajikistan","TJK",0.9554,2002
"Thailand","THA",1.0104,2002
"Togo","TGO",0.9602,2002
"Trinidad and Tobago","TTO",0.9602,2002
"Tunisia","TUN",0.969191304347826,2002
"Turkey","TUR",0.9554,2002
"Turkmenistan","TKM",0.9554,2002
"Ukraine","UKR",0.9554,2002
"United Arab Emirates","ARE",0.9602,2002
"United Kingdom","GBR",0.9554,2002
"United States","USA",0.9602,2002
"Uruguay","URY",0.9602,2002
"Uzbekistan","UZB",0.9554,2002
"Venezuela","VEN",1.0339,2002
"Vietnam","VNM",0.991,2002
"Zambia","ZMB",0.973766666666667,2002
"Zimbabwe","ZWE",0.9602,2002
"Albania","ALB",0.9554,2003
"Algeria","DZA",0.9602,2003
"Angola","AGO",0.9602,2003
"Argentina","ARG",0.97354347826087,2003
"Armenia","ARM",0.9554,2003
"Australia","AUS",1.0175,2003
"Austria","AUT",0.9554,2003
"Azerbaijan","AZE",0.9554,2003
"Bahrain","BHR",0.9602,2003
"Bangladesh","BGD",0.9602,2003
"Belarus","BLR",0.9554,2003
"Belgium","BEL",0.9554,2003
"Benin","BEN",0.9602,2003
"Bolivia","BOL",0.9602,2003
"Bosnia and Herzegovina","BIH",0.9554,2003
"Botswana","BWA",0.9602,2003
"Brazil","BRA",0.962021276595745,2003
"Brunei Darussalam","BRN",0.9602,2003
"Bulgaria","BGR",0.9554,2003
"Cambodia","KHM",1,2003
"Cameroon","CMR",0.9602,2003
"Canada","CAN",0.9602,2003
"Chile","CHL",0.9602,2003
"China","CHN",0.983126086956522,2003
"Colombia","COL",0.9857,2003
"Costa Rica","CRI",0.9602,2003
"Croatia","HRV",0.9554,2003
"Cuba","CUB",0.953673913043478,2003
"Cyprus","CYP",0.9554,2003
"Denmark","DNK",0.9554,2003
"Dominican Republic","DOM",0.9602,2003
"Ecuador","ECU",0.9602,2003
"Egypt","EGY",0.972,2003
"El Salvador","SLV",0.9602,2003
"Eritrea","ERI",0.9602,2003
"Estonia","EST",0.9554,2003
"Ethiopia","ETH",0.9602,2003
"Finland","FIN",0.9554,2003
"France","FRA",0.9554,2003
"Gabon","GAB",0.9602,2003
"Georgia","GEO",0.9554,2003
"Germany","DEU",0.9554,2003
"Ghana","GHA",0.9602,2003
"Gibraltar","GIB",0.9554,2003
"Greece","GRC",0.9554,2003
"Guatemala","GTM",0.9602,2003
"Haiti","HTI",0.9602,2003
"Honduras","HND",0.9602,2003
"Hungary","HUN",0.9554,2003
"Iceland","ISL",0.9554,2003
"India","IND",0.9602,2003
"Indonesia","IDN",0.9602,2003
"Iraq","IRQ",0.9602,2003
"Ireland","IRL",0.9554,2003
"Israel","ISR",0.9602,2003
"Italy","ITA",0.9554,2003
"Jamaica","JAM",0.9602,2003
"Japan","JPN",1.0175,2003
"Jordan","JOR",0.964191304347826,2003
"Kazakhstan","KAZ",0.9554,2003
"Kenya","KEN",0.9602,2003
"Korea","KOR",1.0175,2003
"Kosovo","XKX",0.9554,2003
"Kuwait","KWT",0.9602,2003
"Latvia","LVA",0.9554,2003
"Lebanon","LBN",0.9602,2003
"Libya","LBY",0.9602,2003
"Lithuania","LTU",0.9554,2003
"Luxembourg","LUX",0.9554,2003
"Malaysia","MYS",0.991860869565217,2003
"Malta","MLT",0.9554,2003
"Mauritius","MUS",0.9602,2003
"Mexico","MEX",0.9602,2003
"Mongolia","MNG",0.9602,2003
"Montenegro","MNE",0.9554,2003
"Morocco","MAR",0.9602,2003
"Mozambique","MOZ",0.9602,2003
"Myanmar","MMR",0.9602,2003
"Namibia","NAM",0.997,2003
"Nepal","NPL",1.04206097560976,2003
"Netherlands","NLD",0.9554,2003
"New Zealand","NZL",1.0175,2003
"Nicaragua","NIC",0.971852173913043,2003
"Niger","NER",0.9602,2003
"Nigeria","NGA",0.9602,2003
"Norway","NOR",0.9554,2003
"Oman","OMN",0.9602,2003
"Pakistan","PAK",0.976,2003
"Panama","PAN",0.9602,2003
"Paraguay","PRY",0.98,2003
"Peru","PER",0.9602,2003
"Philippines","PHL",0.9819,2003
"Poland","POL",0.9554,2003
"Portugal","PRT",0.9554,2003
"Qatar","QAT",0.9602,2003
"Romania","ROU",0.9554,2003
"Russian Federation","RUS",0.9554,2003
"Saudi Arabia","SAU",0.9602,2003
"Senegal","SEN",0.9602,2003
"Serbia","SRB",0.9554,2003
"Singapore","SGP",0.9602,2003
"Slovak Republic","SVK",0.9554,2003
"Slovenia","SVN",0.9554,2003
"South Africa","ZAF",0.98044347826087,2003
"South Sudan","SSD",0.964441652559124,2003
"Spain","ESP",0.9554,2003
"Sri Lanka","LKA",0.9701,2003
"Sudan","SDN",0.9602,2003
"Suriname","SUR",0.9602,2003
"Sweden","SWE",0.9554,2003
"Switzerland","CHE",0.9554,2003
"Syrian Arab Republic","SYR",0.9602,2003
"Tajikistan","TJK",0.9554,2003
"Thailand","THA",1.0104,2003
"Togo","TGO",0.9602,2003
"Trinidad and Tobago","TTO",0.9602,2003
"Tunisia","TUN",0.969191304347826,2003
"Turkey","TUR",0.9554,2003
"Turkmenistan","TKM",0.9554,2003
"Ukraine","UKR",0.9554,2003
"United Arab Emirates","ARE",0.9602,2003
"United Kingdom","GBR",0.9554,2003
"United States","USA",0.9602,2003
"Uruguay","URY",0.9602,2003
"Uzbekistan","UZB",0.9554,2003
"Venezuela","VEN",1.0339,2003
"Vietnam","VNM",0.991,2003
"Zambia","ZMB",0.973766666666667,2003
"Zimbabwe","ZWE",0.9602,2003
"Albania","ALB",0.9554,2004
"Algeria","DZA",0.9602,2004
"Angola","AGO",0.9602,2004
"Argentina","ARG",0.97354347826087,2004
"Armenia","ARM",0.9554,2004
"Australia","AUS",1.0175,2004
"Austria","AUT",0.9554,2004
"Azerbaijan","AZE",0.9554,2004
"Bahrain","BHR",0.9602,2004
"Bangladesh","BGD",0.9602,2004
"Belarus","BLR",0.9554,2004
"Belgium","BEL",0.9554,2004
"Benin","BEN",0.9602,2004
"Bolivia","BOL",0.9602,2004
"Bosnia and Herzegovina","BIH",0.9554,2004
"Botswana","BWA",0.9602,2004
"Brazil","BRA",0.962021276595745,2004
"Brunei Darussalam","BRN",0.9602,2004
"Bulgaria","BGR",0.9554,2004
"Cambodia","KHM",1,2004
"Cameroon","CMR",0.9602,2004
"Canada","CAN",0.9602,2004
"Chile","CHL",0.9602,2004
"China","CHN",0.983126086956522,2004
"Colombia","COL",0.9857,2004
"Costa Rica","CRI",0.9602,2004
"Croatia","HRV",0.9554,2004
"Cuba","CUB",0.953673913043478,2004
"Cyprus","CYP",0.9554,2004
"Denmark","DNK",0.9554,2004
"Dominican Republic","DOM",0.9602,2004
"Ecuador","ECU",0.9602,2004
"Egypt","EGY",0.972,2004
"El Salvador","SLV",0.9602,2004
"Eritrea","ERI",0.9602,2004
"Estonia","EST",0.9554,2004
"Ethiopia","ETH",0.9602,2004
"Finland","FIN",0.9554,2004
"France","FRA",0.9554,2004
"Gabon","GAB",0.9602,2004
"Georgia","GEO",0.9554,2004
"Germany","DEU",0.9554,2004
"Ghana","GHA",0.9602,2004
"Gibraltar","GIB",0.9554,2004
"Greece","GRC",0.9554,2004
"Guatemala","GTM",0.9602,2004
"Haiti","HTI",0.9602,2004
"Honduras","HND",0.9602,2004
"Hungary","HUN",0.9554,2004
"Iceland","ISL",0.9554,2004
"India","IND",0.9602,2004
"Indonesia","IDN",0.9602,2004
"Iraq","IRQ",0.9602,2004
"Ireland","IRL",0.9554,2004
"Israel","ISR",0.9602,2004
"Italy","ITA",0.9554,2004
"Jamaica","JAM",0.9602,2004
"Japan","JPN",1.0175,2004
"Jordan","JOR",0.964191304347826,2004
"Kazakhstan","KAZ",0.9554,2004
"Kenya","KEN",0.9602,2004
"Korea","KOR",1.0175,2004
"Kosovo","XKX",0.9554,2004
"Kuwait","KWT",0.9602,2004
"Latvia","LVA",0.9554,2004
"Lebanon","LBN",0.9602,2004
"Libya","LBY",0.9602,2004
"Lithuania","LTU",0.9554,2004
"Luxembourg","LUX",0.9554,2004
"Malaysia","MYS",0.991860869565217,2004
"Malta","MLT",0.9554,2004
"Mauritius","MUS",0.9602,2004
"Mexico","MEX",0.9602,2004
"Mongolia","MNG",0.9602,2004
"Montenegro","MNE",0.9554,2004
"Morocco","MAR",0.9602,2004
"Mozambique","MOZ",0.9602,2004
"Myanmar","MMR",0.9602,2004
"Namibia","NAM",0.997,2004
"Nepal","NPL",1.04206097560976,2004
"Netherlands","NLD",0.9554,2004
"New Zealand","NZL",1.0175,2004
"Nicaragua","NIC",0.971852173913043,2004
"Niger","NER",0.9602,2004
"Nigeria","NGA",0.9602,2004
"Norway","NOR",0.9554,2004
"Oman","OMN",0.9602,2004
"Pakistan","PAK",0.976,2004
"Panama","PAN",0.9602,2004
"Paraguay","PRY",0.98,2004
"Peru","PER",0.9602,2004
"Philippines","PHL",0.9819,2004
"Poland","POL",0.9554,2004
"Portugal","PRT",0.9554,2004
"Qatar","QAT",0.9602,2004
"Romania","ROU",0.9554,2004
"Russian Federation","RUS",0.9554,2004
"Saudi Arabia","SAU",0.9602,2004
"Senegal","SEN",0.9602,2004
"Serbia","SRB",0.9554,2004
"Singapore","SGP",0.9602,2004
"Slovak Republic","SVK",0.9554,2004
"Slovenia","SVN",0.9554,2004
"South Africa","ZAF",0.98044347826087,2004
"South Sudan","SSD",0.964441652559124,2004
"Spain","ESP",0.9554,2004
"Sri Lanka","LKA",0.9701,2004
"Sudan","SDN",0.9602,2004
"Suriname","SUR",0.9602,2004
"Sweden","SWE",0.9554,2004
"Switzerland","CHE",0.9554,2004
"Syrian Arab Republic","SYR",0.9602,2004
"Tajikistan","TJK",0.9554,2004
"Thailand","THA",1.0104,2004
"Togo","TGO",0.9602,2004
"Trinidad and Tobago","TTO",0.9602,2004
"Tunisia","TUN",0.969191304347826,2004
"Turkey","TUR",0.9554,2004
"Turkmenistan","TKM",0.9554,2004
"Ukraine","UKR",0.9554,2004
"United Arab Emirates","ARE",0.9602,2004
"United Kingdom","GBR",0.9554,2004
"United States","USA",0.9602,2004
"Uruguay","URY",0.9602,2004
"Uzbekistan","UZB",0.9554,2004
"Venezuela","VEN",1.0339,2004
"Vietnam","VNM",0.991,2004
"Zambia","ZMB",0.973766666666667,2004
"Zimbabwe","ZWE",0.9602,2004
"Albania","ALB",0.9554,2005
"Algeria","DZA",0.9602,2005
"Angola","AGO",0.9602,2005
"Argentina","ARG",0.97354347826087,2005
"Armenia","ARM",0.9554,2005
"Australia","AUS",1.0175,2005
"Austria","AUT",0.9554,2005
"Azerbaijan","AZE",0.9554,2005
"Bahrain","BHR",0.9602,2005
"Bangladesh","BGD",0.9602,2005
"Belarus","BLR",0.9554,2005
"Belgium","BEL",0.9554,2005
"Benin","BEN",0.9602,2005
"Bolivia","BOL",0.9602,2005
"Bosnia and Herzegovina","BIH",0.9554,2005
"Botswana","BWA",0.9602,2005
"Brazil","BRA",0.962021276595745,2005
"Brunei Darussalam","BRN",0.9602,2005
"Bulgaria","BGR",0.9554,2005
"Cambodia","KHM",1,2005
"Cameroon","CMR",0.9602,2005
"Canada","CAN",0.9602,2005
"Chile","CHL",0.9602,2005
"China","CHN",0.983126086956522,2005
"Colombia","COL",0.9857,2005
"Costa Rica","CRI",0.9602,2005
"Croatia","HRV",0.9554,2005
"Cuba","CUB",0.953673913043478,2005
"Cyprus","CYP",0.9554,2005
"Denmark","DNK",0.9554,2005
"Dominican Republic","DOM",0.9602,2005
"Ecuador","ECU",0.9602,2005
"Egypt","EGY",0.972,2005
"El Salvador","SLV",0.9602,2005
"Eritrea","ERI",0.9602,2005
"Estonia","EST",0.9554,2005
"Ethiopia","ETH",0.9602,2005
"Finland","FIN",0.9554,2005
"France","FRA",0.9554,2005
"Gabon","GAB",0.9602,2005
"Georgia","GEO",0.9554,2005
"Germany","DEU",0.9554,2005
"Ghana","GHA",0.9602,2005
"Gibraltar","GIB",0.9554,2005
"Greece","GRC",0.9554,2005
"Guatemala","GTM",0.9602,2005
"Haiti","HTI",0.9602,2005
"Honduras","HND",0.9602,2005
"Hungary","HUN",0.9554,2005
"Iceland","ISL",0.9554,2005
"India","IND",0.9602,2005
"Indonesia","IDN",0.9602,2005
"Iraq","IRQ",0.9602,2005
"Ireland","IRL",0.9554,2005
"Israel","ISR",0.9602,2005
"Italy","ITA",0.9554,2005
"Jamaica","JAM",0.9602,2005
"Japan","JPN",1.0175,2005
"Jordan","JOR",0.964191304347826,2005
"Kazakhstan","KAZ",0.9554,2005
"Kenya","KEN",0.9602,2005
"Korea","KOR",1.0175,2005
"Kosovo","XKX",0.9554,2005
"Kuwait","KWT",0.9602,2005
"Latvia","LVA",0.9554,2005
"Lebanon","LBN",0.9602,2005
"Libya","LBY",0.9602,2005
"Lithuania","LTU",0.9554,2005
"Luxembourg","LUX",0.9554,2005
"Malaysia","MYS",0.991860869565217,2005
"Malta","MLT",0.9554,2005
"Mauritius","MUS",0.9602,2005
"Mexico","MEX",0.9602,2005
"Mongolia","MNG",0.9602,2005
"Montenegro","MNE",0.9554,2005
"Morocco","MAR",0.9602,2005
"Mozambique","MOZ",0.9602,2005
"Myanmar","MMR",0.9602,2005
"Namibia","NAM",0.997,2005
"Nepal","NPL",1.04206097560976,2005
"Netherlands","NLD",0.9554,2005
"New Zealand","NZL",1.0175,2005
"Nicaragua","NIC",0.971852173913043,2005
"Niger","NER",0.9602,2005
"Nigeria","NGA",0.9602,2005
"Norway","NOR",0.9554,2005
"Oman","OMN",0.9602,2005
"Pakistan","PAK",0.976,2005
"Panama","PAN",0.9602,2005
"Paraguay","PRY",0.98,2005
"Peru","PER",0.9602,2005
"Philippines","PHL",0.9819,2005
"Poland","POL",0.9554,2005
"Portugal","PRT",0.9554,2005
"Qatar","QAT",0.9602,2005
"Romania","ROU",0.9554,2005
"Russian Federation","RUS",0.9554,2005
"Saudi Arabia","SAU",0.9602,2005
"Senegal","SEN",0.9602,2005
"Serbia","SRB",0.9554,2005
"Singapore","SGP",0.9602,2005
"Slovak Republic","SVK",0.9554,2005
"Slovenia","SVN",0.9554,2005
"South Africa","ZAF",0.98044347826087,2005
"South Sudan","SSD",0.964441652559124,2005
"Spain","ESP",0.9554,2005
"Sri Lanka","LKA",0.9701,2005
"Sudan","SDN",0.9602,2005
"Suriname","SUR",0.9602,2005
"Sweden","SWE",0.9554,2005
"Switzerland","CHE",0.9554,2005
"Syrian Arab Republic","SYR",0.9602,2005
"Tajikistan","TJK",0.9554,2005
"Thailand","THA",1.0104,2005
"Togo","TGO",0.9602,2005
"Trinidad and Tobago","TTO",0.9602,2005
"Tunisia","TUN",0.969191304347826,2005
"Turkey","TUR",0.9554,2005
"Turkmenistan","TKM",0.9554,2005
"Ukraine","UKR",0.9554,2005
"United Arab Emirates","ARE",0.9602,2005
"United Kingdom","GBR",0.9554,2005
"United States","USA",0.9602,2005
"Uruguay","URY",0.9602,2005
"Uzbekistan","UZB",0.9554,2005
"Venezuela","VEN",1.0339,2005
"Vietnam","VNM",0.991,2005
"Zambia","ZMB",0.973766666666667,2005
"Zimbabwe","ZWE",0.9602,2005
"Albania","ALB",0.9554,2006
"Algeria","DZA",0.9602,2006
"Angola","AGO",0.9602,2006
"Argentina","ARG",0.97354347826087,2006
"Armenia","ARM",0.9554,2006
"Australia","AUS",1.0175,2006
"Austria","AUT",0.9554,2006
"Azerbaijan","AZE",0.9554,2006
"Bahrain","BHR",0.9602,2006
"Bangladesh","BGD",0.9602,2006
"Belarus","BLR",0.9554,2006
"Belgium","BEL",0.9554,2006
"Benin","BEN",0.9602,2006
"Bolivia","BOL",0.9602,2006
"Bosnia and Herzegovina","BIH",0.9554,2006
"Botswana","BWA",0.9602,2006
"Brazil","BRA",0.962021276595745,2006
"Brunei Darussalam","BRN",0.9602,2006
"Bulgaria","BGR",0.9554,2006
"Cambodia","KHM",1,2006
"Cameroon","CMR",0.9602,2006
"Canada","CAN",0.9602,2006
"Chile","CHL",0.9602,2006
"China","CHN",0.983126086956522,2006
"Colombia","COL",0.9857,2006
"Costa Rica","CRI",0.9602,2006
"Croatia","HRV",0.9554,2006
"Cuba","CUB",0.953673913043478,2006
"Cyprus","CYP",0.9554,2006
"Denmark","DNK",0.9554,2006
"Dominican Republic","DOM",0.9602,2006
"Ecuador","ECU",0.9602,2006
"Egypt","EGY",0.972,2006
"El Salvador","SLV",0.9602,2006
"Eritrea","ERI",0.9602,2006
"Estonia","EST",0.9554,2006
"Ethiopia","ETH",0.9602,2006
"Finland","FIN",0.9554,2006
"France","FRA",0.9554,2006
"Gabon","GAB",0.9602,2006
"Georgia","GEO",0.9554,2006
"Germany","DEU",0.9554,2006
"Ghana","GHA",0.9602,2006
"Gibraltar","GIB",0.9554,2006
"Greece","GRC",0.9554,2006
"Guatemala","GTM",0.9602,2006
"Haiti","HTI",0.9602,2006
"Honduras","HND",0.9602,2006
"Hungary","HUN",0.9554,2006
"Iceland","ISL",0.9554,2006
"India","IND",0.9602,2006
"Indonesia","IDN",0.9602,2006
"Iraq","IRQ",0.9602,2006
"Ireland","IRL",0.9554,2006
"Israel","ISR",0.9602,2006
"Italy","ITA",0.9554,2006
"Jamaica","JAM",0.9602,2006
"Japan","JPN",1.0175,2006
"Jordan","JOR",0.964191304347826,2006
"Kazakhstan","KAZ",0.9554,2006
"Kenya","KEN",0.9602,2006
"Korea","KOR",1.0175,2006
"Kosovo","XKX",0.9554,2006
"Kuwait","KWT",0.9602,2006
"Latvia","LVA",0.9554,2006
"Lebanon","LBN",0.9602,2006
"Libya","LBY",0.9602,2006
"Lithuania","LTU",0.9554,2006
"Luxembourg","LUX",0.9554,2006
"Malaysia","MYS",0.991860869565217,2006
"Malta","MLT",0.9554,2006
"Mauritius","MUS",0.9602,2006
"Mexico","MEX",0.9602,2006
"Mongolia","MNG",0.9602,2006
"Montenegro","MNE",0.9554,2006
"Morocco","MAR",0.9602,2006
"Mozambique","MOZ",0.9602,2006
"Myanmar","MMR",0.9602,2006
"Namibia","NAM",0.997,2006
"Nepal","NPL",1.04206097560976,2006
"Netherlands","NLD",0.9554,2006
"New Zealand","NZL",1.0175,2006
"Nicaragua","NIC",0.971852173913043,2006
"Niger","NER",0.9602,2006
"Nigeria","NGA",0.9602,2006
"Norway","NOR",0.9554,2006
"Oman","OMN",0.9602,2006
"Pakistan","PAK",0.976,2006
"Panama","PAN",0.9602,2006
"Paraguay","PRY",0.98,2006
"Peru","PER",0.9602,2006
"Philippines","PHL",0.9819,2006
"Poland","POL",0.9554,2006
"Portugal","PRT",0.9554,2006
"Qatar","QAT",0.9602,2006
"Romania","ROU",0.9554,2006
"Russian Federation","RUS",0.9554,2006
"Saudi Arabia","SAU",0.9602,2006
