"","Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_electricity","Year"
"94","Portugal","PRT",1,2001
"95","Qatar","QAT",1,2001
"96","Romania","ROU",1,2001
"97","Russian Federation","RUS",1,2001
"98","Saudi Arabia","SAU",1,2001
"99","Senegal","SEN",1,2001
"100","Serbia","SRB",1,2001
"101","Singapore","SGP",1,2001
"102","Slovak Republic","SVK",1,2001
"103","Slovenia","SVN",1,2001
"104","South Africa","ZAF",1,2001
"105","South Sudan","SSD",1,2001
"106","Spain","ESP",1,2001
"107","Sri Lanka","LKA",1,2001
"108","Sudan","SDN",1,2001
"109","Suriname","SUR",1,2001
"110","Sweden","SWE",1,2001
"111","Switzerland","CHE",1,2001
"112","Syrian Arab Republic","SYR",1,2001
"113","Tajikistan","TJK",1,2001
"114","Thailand","THA",1,2001
"115","Togo","TGO",1,2001
"116","Trinidad and Tobago","TTO",1,2001
"117","Tunisia","TUN",1,2001
"118","Turkey","TUR",1,2001
"119","Turkmenistan","TKM",1,2001
"120","Ukraine","UKR",1,2001
"121","United Arab Emirates","ARE",1,2001
"122","United Kingdom","GBR",1,2001
"123","United States","USA",1,2001
"124","Uruguay","URY",1,2001
"125","Uzbekistan","UZB",1,2001
"126","Venezuela","VEN",1,2001
"127","Vietnam","VNM",1,2001
"128","Zambia","ZMB",1,2001
"129","Zimbabwe","ZWE",1,2001
"130","Albania","ALB",1,2002
"131","Algeria","DZA",1,2002
"132","Angola","AGO",1,2002
"133","Argentina","ARG",1,2002
"134","Armenia","ARM",1,2002
"135","Australia","AUS",1,2002
"136","Austria","AUT",1,2002
"137","Azerbaijan","AZE",1,2002
"138","Bahrain","BHR",1,2002
"139","Bangladesh","BGD",1,2002
"140","Belarus","BLR",1,2002
"141","Belgium","BEL",1,2002
"142","Benin","BEN",1,2002
"143","Bolivia","BOL",1,2002
"144","Bosnia and Herzegovina","BIH",1,2002
"145","Botswana","BWA",1,2002
"146","Brazil","BRA",1,2002
"147","Brunei Darussalam","BRN",1,2002
"148","Bulgaria","BGR",1,2002
"149","Cambodia","KHM",1,2002
"150","Cameroon","CMR",1,2002
"151","Canada","CAN",1,2002
"152","Chile","CHL",1,2002
"153","China","CHN",1,2002
"154","Colombia","COL",1,2002
"155","Costa Rica","CRI",1,2002
"156","Croatia","HRV",1,2002
"157","Cuba","CUB",1,2002
"158","Cyprus","CYP",1,2002
"159","Denmark","DNK",1,2002
"160","Dominican Republic","DOM",1,2002
"161","Ecuador","ECU",1,2002
"162","Egypt","EGY",1,2002
"163","El Salvador","SLV",1,2002
"164","Eritrea","ERI",1,2002
"165","Estonia","EST",1,2002
"166","Ethiopia","ETH",1,2002
"167","Finland","FIN",1,2002
"168","France","FRA",1,2002
"169","Gabon","GAB",1,2002
"170","Georgia","GEO",1,2002
"171","Germany","DEU",1,2002
"172","Ghana","GHA",1,2002
"173","Gibraltar","GIB",1,2002
"174","Greece","GRC",1,2002
"175","Guatemala","GTM",1,2002
"176","Haiti","HTI",1,2002
"177","Honduras","HND",1,2002
"178","Hungary","HUN",1,2002
"179","Iceland","ISL",1,2002
"180","India","IND",1,2002
"181","Indonesia","IDN",1,2002
"182","Iraq","IRQ",1,2002
"183","Ireland","IRL",1,2002
"184","Israel","ISR",1,2002
"185","Italy","ITA",1,2002
"186","Jamaica","JAM",1,2002
"187","Japan","JPN",1,2002
"188","Jordan","JOR",1,2002
"189","Kazakhstan","KAZ",1,2002
"190","Kenya","KEN",1,2002
"191","Korea","KOR",1,2002
"192","Kosovo","XKX",1,2002
"193","Kuwait","KWT",1,2002
"194","Latvia","LVA",1,2002
"195","Lebanon","LBN",1,2002
"196","Libya","LBY",1,2002
"197","Lithuania","LTU",1,2002
"198","Luxembourg","LUX",1,2002
"199","Malaysia","MYS",1,2002
"200","Malta","MLT",1,2002
"201","Mauritius","MUS",1,2002
"202","Mexico","MEX",1,2002
"203","Mongolia","MNG",1,2002
"204","Montenegro","MNE",1,2002
"205","Morocco","MAR",1,2002
"206","Mozambique","MOZ",1,2002
"207","Myanmar","MMR",1,2002
"208","Namibia","NAM",1,2002
"209","Nepal","NPL",1,2002
"210","Netherlands","NLD",1,2002
"211","New Zealand","NZL",1,2002
"212","Nicaragua","NIC",1,2002
"213","Niger","NER",1,2002
"214","Nigeria","NGA",1,2002
"215","Norway","NOR",1,2002
"216","Oman","OMN",1,2002
"217","Pakistan","PAK",1,2002
"218","Panama","PAN",1,2002
"219","Paraguay","PRY",1,2002
"220","Peru","PER",1,2002
"221","Philippines","PHL",1,2002
"222","Poland","POL",1,2002
"223","Portugal","PRT",1,2002
"224","Qatar","QAT",1,2002
"225","Romania","ROU",1,2002
"226","Russian Federation","RUS",1,2002
"227","Saudi Arabia","SAU",1,2002
"228","Senegal","SEN",1,2002
"229","Serbia","SRB",1,2002
"230","Singapore","SGP",1,2002
"231","Slovak Republic","SVK",1,2002
"232","Slovenia","SVN",1,2002
"233","South Africa","ZAF",1,2002
"234","South Sudan","SSD",1,2002
"235","Spain","ESP",1,2002
"236","Sri Lanka","LKA",1,2002
"237","Sudan","SDN",1,2002
"238","Suriname","SUR",1,2002
"239","Sweden","SWE",1,2002
"240","Switzerland","CHE",1,2002
"241","Syrian Arab Republic","SYR",1,2002
"242","Tajikistan","TJK",1,2002
"243","Thailand","THA",1,2002
"244","Togo","TGO",1,2002
"245","Trinidad and Tobago","TTO",1,2002
"246","Tunisia","TUN",1,2002
"247","Turkey","TUR",1,2002
"248","Turkmenistan","TKM",1,2002
"249","Ukraine","UKR",1,2002
"250","United Arab Emirates","ARE",1,2002
"251","United Kingdom","GBR",1,2002
"252","United States","USA",1,2002
"253","Uruguay","URY",1,2002
"254","Uzbekistan","UZB",1,2002
"255","Venezuela","VEN",1,2002
"256","Vietnam","VNM",1,2002
"257","Zambia","ZMB",1,2002
"258","Zimbabwe","ZWE",1,2002
"259","Albania","ALB",1,2003
"260","Algeria","DZA",1,2003
"261","Angola","AGO",1,2003
"262","Argentina","ARG",1,2003
"263","Armenia","ARM",1,2003
"264","Australia","AUS",1,2003
"265","Austria","AUT",1,2003
"266","Azerbaijan","AZE",1,2003
"267","Bahrain","BHR",1,2003
"268","Bangladesh","BGD",1,2003
"269","Belarus","BLR",1,2003
"270","Belgium","BEL",1,2003
"271","Benin","BEN",1,2003
"272","Bolivia","BOL",1,2003
"273","Bosnia and Herzegovina","BIH",1,2003
"274","Botswana","BWA",1,2003
"275","Brazil","BRA",1,2003
"276","Brunei Darussalam","BRN",1,2003
"277","Bulgaria","BGR",1,2003
"278","Cambodia","KHM",1,2003
"279","Cameroon","CMR",1,2003
"280","Canada","CAN",1,2003
"281","Chile","CHL",1,2003
"282","China","CHN",1,2003
"283","Colombia","COL",1,2003
"284","Costa Rica","CRI",1,2003
"285","Croatia","HRV",1,2003
"286","Cuba","CUB",1,2003
"287","Cyprus","CYP",1,2003
"288","Denmark","DNK",1,2003
"289","Dominican Republic","DOM",1,2003
"290","Ecuador","ECU",1,2003
"291","Egypt","EGY",1,2003
"292","El Salvador","SLV",1,2003
"293","Eritrea","ERI",1,2003
"294","Estonia","EST",1,2003
"295","Ethiopia","ETH",1,2003
"296","Finland","FIN",1,2003
"297","France","FRA",1,2003
"298","Gabon","GAB",1,2003
"299","Georgia","GEO",1,2003
"300","Germany","DEU",1,2003
"301","Ghana","GHA",1,2003
"302","Gibraltar","GIB",1,2003
"303","Greece","GRC",1,2003
"304","Guatemala","GTM",1,2003
"305","Haiti","HTI",1,2003
"306","Honduras","HND",1,2003
"307","Hungary","HUN",1,2003
"308","Iceland","ISL",1,2003
"309","India","IND",1,2003
"310","Indonesia","IDN",1,2003
"311","Iraq","IRQ",1,2003
"312","Ireland","IRL",1,2003
"313","Israel","ISR",1,2003
"314","Italy","ITA",1,2003
"315","Jamaica","JAM",1,2003
"316","Japan","JPN",1,2003
"317","Jordan","JOR",1,2003
"318","Kazakhstan","KAZ",1,2003
"319","Kenya","KEN",1,2003
"320","Korea","KOR",1,2003
"321","Kosovo","XKX",1,2003
"322","Kuwait","KWT",1,2003
"323","Latvia","LVA",1,2003
"324","Lebanon","LBN",1,2003
"325","Libya","LBY",1,2003
"326","Lithuania","LTU",1,2003
"327","Luxembourg","LUX",1,2003
"328","Malaysia","MYS",1,2003
"329","Malta","MLT",1,2003
"330","Mauritius","MUS",1,2003
"331","Mexico","MEX",1,2003
"332","Mongolia","MNG",1,2003
"333","Montenegro","MNE",1,2003
"334","Morocco","MAR",1,2003
"335","Mozambique","MOZ",1,2003
"336","Myanmar","MMR",1,2003
"337","Namibia","NAM",1,2003
"338","Nepal","NPL",1,2003
"339","Netherlands","NLD",1,2003
"340","New Zealand","NZL",1,2003
"341","Nicaragua","NIC",1,2003
"342","Niger","NER",1,2003
"343","Nigeria","NGA",1,2003
"344","Norway","NOR",1,2003
"345","Oman","OMN",1,2003
"346","Pakistan","PAK",1,2003
"347","Panama","PAN",1,2003
"348","Paraguay","PRY",1,2003
"349","Peru","PER",1,2003
"350","Philippines","PHL",1,2003
"351","Poland","POL",1,2003
"352","Portugal","PRT",1,2003
"353","Qatar","QAT",1,2003
"354","Romania","ROU",1,2003
"355","Russian Federation","RUS",1,2003
"356","Saudi Arabia","SAU",1,2003
"357","Senegal","SEN",1,2003
"358","Serbia","SRB",1,2003
"359","Singapore","SGP",1,2003
"360","Slovak Republic","SVK",1,2003
"361","Slovenia","SVN",1,2003
"362","South Africa","ZAF",1,2003
"363","South Sudan","SSD",1,2003
"364","Spain","ESP",1,2003
"365","Sri Lanka","LKA",1,2003
"366","Sudan","SDN",1,2003
"367","Suriname","SUR",1,2003
"368","Sweden","SWE",1,2003
"369","Switzerland","CHE",1,2003
"370","Syrian Arab Republic","SYR",1,2003
"371","Tajikistan","TJK",1,2003
"372","Thailand","THA",1,2003
"373","Togo","TGO",1,2003
"374","Trinidad and Tobago","TTO",1,2003
"375","Tunisia","TUN",1,2003
"376","Turkey","TUR",1,2003
"377","Turkmenistan","TKM",1,2003
"378","Ukraine","UKR",1,2003
"379","United Arab Emirates","ARE",1,2003
"380","United Kingdom","GBR",1,2003
"381","United States","USA",1,2003
"382","Uruguay","URY",1,2003
"383","Uzbekistan","UZB",1,2003
"384","Venezuela","VEN",1,2003
"385","Vietnam","VNM",1,2003
"386","Zambia","ZMB",1,2003
"387","Zimbabwe","ZWE",1,2003
"388","Albania","ALB",1,2004
"389","Algeria","DZA",1,2004
"390","Angola","AGO",1,2004
"391","Argentina","ARG",1,2004
"392","Armenia","ARM",1,2004
"393","Australia","AUS",1,2004
"394","Austria","AUT",1,2004
"395","Azerbaijan","AZE",1,2004
"396","Bahrain","BHR",1,2004
"397","Bangladesh","BGD",1,2004
"398","Belarus","BLR",1,2004
"399","Belgium","BEL",1,2004
"400","Benin","BEN",1,2004
"401","Bolivia","BOL",1,2004
"402","Bosnia and Herzegovina","BIH",1,2004
"403","Botswana","BWA",1,2004
"404","Brazil","BRA",1,2004
"405","Brunei Darussalam","BRN",1,2004
"406","Bulgaria","BGR",1,2004
"407","Cambodia","KHM",1,2004
"408","Cameroon","CMR",1,2004
"409","Canada","CAN",1,2004
"410","Chile","CHL",1,2004
"411","China","CHN",1,2004
"412","Colombia","COL",1,2004
"413","Costa Rica","CRI",1,2004
"414","Croatia","HRV",1,2004
"415","Cuba","CUB",1,2004
"416","Cyprus","CYP",1,2004
"417","Denmark","DNK",1,2004
"418","Dominican Republic","DOM",1,2004
"419","Ecuador","ECU",1,2004
"420","Egypt","EGY",1,2004
"421","El Salvador","SLV",1,2004
"422","Eritrea","ERI",1,2004
"423","Estonia","EST",1,2004
"424","Ethiopia","ETH",1,2004
"425","Finland","FIN",1,2004
"426","France","FRA",1,2004
"427","Gabon","GAB",1,2004
"428","Georgia","GEO",1,2004
"429","Germany","DEU",1,2004
"430","Ghana","GHA",1,2004
"431","Gibraltar","GIB",1,2004
"432","Greece","GRC",1,2004
"433","Guatemala","GTM",1,2004
"434","Haiti","HTI",1,2004
"435","Honduras","HND",1,2004
"436","Hungary","HUN",1,2004
"437","Iceland","ISL",1,2004
"438","India","IND",1,2004
"439","Indonesia","IDN",1,2004
"440","Iraq","IRQ",1,2004
"441","Ireland","IRL",1,2004
"442","Israel","ISR",1,2004
"443","Italy","ITA",1,2004
"444","Jamaica","JAM",1,2004
"445","Japan","JPN",1,2004
"446","Jordan","JOR",1,2004
"447","Kazakhstan","KAZ",1,2004
"448","Kenya","KEN",1,2004
"449","Korea","KOR",1,2004
"450","Kosovo","XKX",1,2004
"451","Kuwait","KWT",1,2004
"452","Latvia","LVA",1,2004
"453","Lebanon","LBN",1,2004
"454","Libya","LBY",1,2004
"455","Lithuania","LTU",1,2004
"456","Luxembourg","LUX",1,2004
"457","Malaysia","MYS",1,2004
"458","Malta","MLT",1,2004
"459","Mauritius","MUS",1,2004
"460","Mexico","MEX",1,2004
"461","Mongolia","MNG",1,2004
"462","Montenegro","MNE",1,2004
"463","Morocco","MAR",1,2004
"464","Mozambique","MOZ",1,2004
"465","Myanmar","MMR",1,2004
"466","Namibia","NAM",1,2004
"467","Nepal","NPL",1,2004
"468","Netherlands","NLD",1,2004
"469","New Zealand","NZL",1,2004
"470","Nicaragua","NIC",1,2004
"471","Niger","NER",1,2004
"472","Nigeria","NGA",1,2004
"473","Norway","NOR",1,2004
"474","Oman","OMN",1,2004
"475","Pakistan","PAK",1,2004
"476","Panama","PAN",1,2004
"477","Paraguay","PRY",1,2004
"478","Peru","PER",1,2004
"479","Philippines","PHL",1,2004
"480","Poland","POL",1,2004
"481","Portugal","PRT",1,2004
"482","Qatar","QAT",1,2004
"483","Romania","ROU",1,2004
"484","Russian Federation","RUS",1,2004
"485","Saudi Arabia","SAU",1,2004
"486","Senegal","SEN",1,2004
"487","Serbia","SRB",1,2004
"488","Singapore","SGP",1,2004
"489","Slovak Republic","SVK",1,2004
"490","Slovenia","SVN",1,2004
"491","South Africa","ZAF",1,2004
"492","South Sudan","SSD",1,2004
"493","Spain","ESP",1,2004
"494","Sri Lanka","LKA",1,2004
"495","Sudan","SDN",1,2004
"496","Suriname","SUR",1,2004
"497","Sweden","SWE",1,2004
"498","Switzerland","CHE",1,2004
"499","Syrian Arab Republic","SYR",1,2004
"500","Tajikistan","TJK",1,2004
"501","Thailand","THA",1,2004
"502","Togo","TGO",1,2004
"503","Trinidad and Tobago","TTO",1,2004
"504","Tunisia","TUN",1,2004
"505","Turkey","TUR",1,2004
"506","Turkmenistan","TKM",1,2004
"507","Ukraine","UKR",1,2004
"508","United Arab Emirates","ARE",1,2004
"509","United Kingdom","GBR",1,2004
"510","United States","USA",1,2004
"511","Uruguay","URY",1,2004
"512","Uzbekistan","UZB",1,2004
"513","Venezuela","VEN",1,2004
"514","Vietnam","VNM",1,2004
"515","Zambia","ZMB",1,2004
"516","Zimbabwe","ZWE",1,2004
"517","Albania","ALB",1,2005
"518","Algeria","DZA",1,2005
"519","Angola","AGO",1,2005
"520","Argentina","ARG",1,2005
"521","Armenia","ARM",1,2005
"522","Australia","AUS",1,2005
"523","Austria","AUT",1,2005
"524","Azerbaijan","AZE",1,2005
"525","Bahrain","BHR",1,2005
"526","Bangladesh","BGD",1,2005
"527","Belarus","BLR",1,2005
"528","Belgium","BEL",1,2005
"529","Benin","BEN",1,2005
"530","Bolivia","BOL",1,2005
"531","Bosnia and Herzegovina","BIH",1,2005
"532","Botswana","BWA",1,2005
"533","Brazil","BRA",1,2005
"534","Brunei Darussalam","BRN",1,2005
"535","Bulgaria","BGR",1,2005
"536","Cambodia","KHM",1,2005
"537","Cameroon","CMR",1,2005
"538","Canada","CAN",1,2005
"539","Chile","CHL",1,2005
"540","China","CHN",1,2005
"541","Colombia","COL",1,2005
"542","Costa Rica","CRI",1,2005
"543","Croatia","HRV",1,2005
"544","Cuba","CUB",1,2005
"545","Cyprus","CYP",1,2005
"546","Denmark","DNK",1,2005
"547","Dominican Republic","DOM",1,2005
"548","Ecuador","ECU",1,2005
"549","Egypt","EGY",1,2005
"550","El Salvador","SLV",1,2005
"551","Eritrea","ERI",1,2005
"552","Estonia","EST",1,2005
"553","Ethiopia","ETH",1,2005
"554","Finland","FIN",1,2005
"555","France","FRA",1,2005
"556","Gabon","GAB",1,2005
"557","Georgia","GEO",1,2005
"558","Germany","DEU",1,2005
"559","Ghana","GHA",1,2005
"560","Gibraltar","GIB",1,2005
"561","Greece","GRC",1,2005
"562","Guatemala","GTM",1,2005
"563","Haiti","HTI",1,2005
"564","Honduras","HND",1,2005
"565","Hungary","HUN",1,2005
"566","Iceland","ISL",1,2005
"567","India","IND",1,2005
"568","Indonesia","IDN",1,2005
"569","Iraq","IRQ",1,2005
"570","Ireland","IRL",1,2005
"571","Israel","ISR",1,2005
"572","Italy","ITA",1,2005
"573","Jamaica","JAM",1,2005
"574","Japan","JPN",1,2005
"575","Jordan","JOR",1,2005
"576","Kazakhstan","KAZ",1,2005
"577","Kenya","KEN",1,2005
"578","Korea","KOR",1,2005
"579","Kosovo","XKX",1,2005
"580","Kuwait","KWT",1,2005
"581","Latvia","LVA",1,2005
"582","Lebanon","LBN",1,2005
"583","Libya","LBY",1,2005
"584","Lithuania","LTU",1,2005
"585","Luxembourg","LUX",1,2005
"586","Malaysia","MYS",1,2005
"587","Malta","MLT",1,2005
"588","Mauritius","MUS",1,2005
"589","Mexico","MEX",1,2005
"590","Mongolia","MNG",1,2005
"591","Montenegro","MNE",1,2005
"592","Morocco","MAR",1,2005
"593","Mozambique","MOZ",1,2005
"594","Myanmar","MMR",1,2005
"595","Namibia","NAM",1,2005
"596","Nepal","NPL",1,2005
"597","Netherlands","NLD",1,2005
"598","New Zealand","NZL",1,2005
"599","Nicaragua","NIC",1,2005
"600","Niger","NER",1,2005
"601","Nigeria","NGA",1,2005
"602","Norway","NOR",1,2005
"603","Oman","OMN",1,2005
"604","Pakistan","PAK",1,2005
"605","Panama","PAN",1,2005
"606","Paraguay","PRY",1,2005
"607","Peru","PER",1,2005
"608","Philippines","PHL",1,2005
"609","Poland","POL",1,2005
"610","Portugal","PRT",1,2005
"611","Qatar","QAT",1,2005
"612","Romania","ROU",1,2005
"613","Russian Federation","RUS",1,2005
"614","Saudi Arabia","SAU",1,2005
"615","Senegal","SEN",1,2005
"616","Serbia","SRB",1,2005
"617","Singapore","SGP",1,2005
"618","Slovak Republic","SVK",1,2005
"619","Slovenia","SVN",1,2005
"620","South Africa","ZAF",1,2005
"621","South Sudan","SSD",1,2005
"622","Spain","ESP",1,2005
"623","Sri Lanka","LKA",1,2005
"624","Sudan","SDN",1,2005
"625","Suriname","SUR",1,2005
"626","Sweden","SWE",1,2005
"627","Switzerland","CHE",1,2005
"628","Syrian Arab Republic","SYR",1,2005
"629","Tajikistan","TJK",1,2005
"630","Thailand","THA",1,2005
"631","Togo","TGO",1,2005
"632","Trinidad and Tobago","TTO",1,2005
"633","Tunisia","TUN",1,2005
"634","Turkey","TUR",1,2005
"635","Turkmenistan","TKM",1,2005
"636","Ukraine","UKR",1,2005
"637","United Arab Emirates","ARE",1,2005
"638","United Kingdom","GBR",1,2005
"639","United States","USA",1,2005
"640","Uruguay","URY",1,2005
"641","Uzbekistan","UZB",1,2005
"642","Venezuela","VEN",1,2005
"643","Vietnam","VNM",1,2005
"644","Zambia","ZMB",1,2005
"645","Zimbabwe","ZWE",1,2005
"646","Albania","ALB",1,2006
"647","Algeria","DZA",1,2006
"648","Angola","AGO",1,2006
"649","Argentina","ARG",1,2006
"650","Armenia","ARM",1,2006
"651","Australia","AUS",1,2006
"652","Austria","AUT",1,2006
"653","Azerbaijan","AZE",1,2006
"654","Bahrain","BHR",1,2006
"655","Bangladesh","BGD",1,2006
"656","Belarus","BLR",1,2006
"657","Belgium","BEL",1,2006
"658","Benin","BEN",1,2006
"659","Bolivia","BOL",1,2006
"660","Bosnia and Herzegovina","BIH",1,2006
"661","Botswana","BWA",1,2006
"662","Brazil","BRA",1,2006
"663","Brunei Darussalam","BRN",1,2006
"664","Bulgaria","BGR",1,2006
"665","Cambodia","KHM",1,2006
"666","Cameroon","CMR",1,2006
"667","Canada","CAN",1,2006
"668","Chile","CHL",1,2006
"669","China","CHN",1,2006
"670","Colombia","COL",1,2006
"671","Costa Rica","CRI",1,2006
"672","Croatia","HRV",1,2006
"673","Cuba","CUB",1,2006
"674","Cyprus","CYP",1,2006
"675","Denmark","DNK",1,2006
"676","Dominican Republic","DOM",1,2006
"677","Ecuador","ECU",1,2006
"678","Egypt","EGY",1,2006
"679","El Salvador","SLV",1,2006
"680","Eritrea","ERI",1,2006
"681","Estonia","EST",1,2006
"682","Ethiopia","ETH",1,2006
"683","Finland","FIN",1,2006
"684","France","FRA",1,2006
"685","Gabon","GAB",1,2006
"686","Georgia","GEO",1,2006
"687","Germany","DEU",1,2006
"688","Ghana","GHA",1,2006
"689","Gibraltar","GIB",1,2006
"690","Greece","GRC",1,2006
"691","Guatemala","GTM",1,2006
"692","Haiti","HTI",1,2006
"693","Honduras","HND",1,2006
"694","Hungary","HUN",1,2006
"695","Iceland","ISL",1,2006
"696","India","IND",1,2006
"697","Indonesia","IDN",1,2006
"698","Iraq","IRQ",1,2006
"699","Ireland","IRL",1,2006
"700","Israel","ISR",1,2006
"701","Italy","ITA",1,2006
"702","Jamaica","JAM",1,2006
"703","Japan","JPN",1,2006
"704","Jordan","JOR",1,2006
"705","Kazakhstan","KAZ",1,2006
"706","Kenya","KEN",1,2006
"707","Korea","KOR",1,2006
"708","Kosovo","XKX",1,2006
"709","Kuwait","KWT",1,2006
"710","Latvia","LVA",1,2006
"711","Lebanon","LBN",1,2006
"712","Libya","LBY",1,2006
"713","Lithuania","LTU",1,2006
"714","Luxembourg","LUX",1,2006
"715","Malaysia","MYS",1,2006
"716","Malta","MLT",1,2006
"717","Mauritius","MUS",1,2006
"718","Mexico","MEX",1,2006
"719","Mongolia","MNG",1,2006
"720","Montenegro","MNE",1,2006
"721","Morocco","MAR",1,2006
"722","Mozambique","MOZ",1,2006
"723","Myanmar","MMR",1,2006
"724","Namibia","NAM",1,2006
"725","Nepal","NPL",1,2006
"726","Netherlands","NLD",1,2006
"727","New Zealand","NZL",1,2006
"728","Nicaragua","NIC",1,2006
"729","Niger","NER",1,2006
"730","Nigeria","NGA",1,2006
"731","Norway","NOR",1,2006
"732","Oman","OMN",1,2006
"733","Pakistan","PAK",1,2006
"734","Panama","PAN",1,2006
"735","Paraguay","PRY",1,2006
"736","Peru","PER",1,2006
"737","Philippines","PHL",1,2006
"738","Poland","POL",1,2006
"739","Portugal","PRT",1,2006
"740","Qatar","QAT",1,2006
"741","Romania","ROU",1,2006
"742","Russian Federation","RUS",1,2006
"743","Saudi Arabia","SAU",1,2006
"744","Senegal","SEN",1,2006
"745","Serbia","SRB",1,2006
"746","Singapore","SGP",1,2006
"747","Slovak Republic","SVK",1,2006
"748","Slovenia","SVN",1,2006
"749","South Africa","ZAF",1,2006
"750","South Sudan","SSD",1,2006
"751","Spain","ESP",1,2006
"752","Sri Lanka","LKA",1,2006
"753","Sudan","SDN",1,2006
"754","Suriname","SUR",1,2006
"755","Sweden","SWE",1,2006
"756","Switzerland","CHE",1,2006
"757","Syrian Arab Republic","SYR",1,2006
"758","Tajikistan","TJK",1,2006
"759","Thailand","THA",1,2006
"760","Togo","TGO",1,2006
"761","Trinidad and Tobago","TTO",1,2006
"762","Tunisia","TUN",1,2006
"763","Turkey","TUR",1,2006
"764","Turkmenistan","TKM",1,2006
"765","Ukraine","UKR",1,2006
"766","United Arab Emirates","ARE",1,2006
"767","United Kingdom","GBR",1,2006
"768","United States","USA",1,2006
"769","Uruguay","URY",1,2006
"770","Uzbekistan","UZB",1,2006
"771","Venezuela","VEN",1,2006
"772","Vietnam","VNM",1,2006
"773","Zambia","ZMB",1,2006
"774","Zimbabwe","ZWE",1,2006
"775","Albania","ALB",1,2007
"776","Algeria","DZA",1,2007
"777","Angola","AGO",1,2007
"778","Argentina","ARG",1,2007
"779","Armenia","ARM",1,2007
"780","Australia","AUS",1,2007
"781","Austria","AUT",1,2007
"782","Azerbaijan","AZE",1,2007
"783","Bahrain","BHR",1,2007
"784","Bangladesh","BGD",1,2007
"785","Belarus","BLR",1,2007
"786","Belgium","BEL",1,2007
"787","Benin","BEN",1,2007
"788","Bolivia","BOL",1,2007
"789","Bosnia and Herzegovina","BIH",1,2007
"790","Botswana","BWA",1,2007
"791","Brazil","BRA",1,2007
"792","Brunei Darussalam","BRN",1,2007
