iso_code3,elasticity_trde_pkm_to_gdppc_regional,Year
AZE,2.64,2012
AZE,2.64,2013
AZE,2.64,2014
AZE,2.64,2015
AZE,2.64,2016
AZE,2.64,2017
AZE,2.64,2018
AZE,2.64,2019
AZE,2.64,2020
BDI,2.64,2010
BDI,2.64,2011
BDI,2.64,2012
BDI,2.64,2013
BDI,2.64,2014
BDI,2.64,2015
BDI,2.64,2016
BDI,2.64,2017
BDI,2.64,2018
BDI,2.64,2019
BDI,2.64,2020
BEL,2.64,2010
BEL,2.64,2011
BEL,2.64,2012
BEL,2.64,2013
BEL,2.64,2014
BEL,2.64,2015
BEL,2.64,2016
BEL,2.64,2017
BEL,2.64,2018
BEL,2.64,2019
BEL,2.64,2020
BEN,2.64,2010
BEN,2.64,2011
BEN,2.64,2012
BEN,2.64,2013
BEN,2.64,2014
BEN,2.64,2015
BEN,2.64,2016
BEN,2.64,2017
BEN,2.64,2018
BEN,2.64,2019
BEN,2.64,2020
BFA,2.64,2010
BFA,2.64,2011
BFA,2.64,2012
BFA,2.64,2013
BFA,2.64,2014
BFA,2.64,2015
BFA,2.64,2016
BFA,2.64,2017
BFA,2.64,2018
BFA,2.64,2019
BFA,2.64,2020
BGD,2.64,2010
BGD,2.64,2011
BGD,2.64,2012
BGD,2.64,2013
BGD,2.64,2014
BGD,2.64,2015
BGD,2.64,2016
BGD,2.64,2017
BGD,2.64,2018
BGD,2.64,2019
BGD,2.64,2020
BGR,2.64,2010
BGR,2.64,2011
BGR,2.64,2012
BGR,2.64,2013
BGR,2.64,2014
BGR,2.64,2015
BGR,2.64,2016
BGR,2.64,2017
BGR,2.64,2018
BGR,2.64,2019
BGR,2.64,2020
BHR,2.64,2010
BHR,2.64,2011
BHR,2.64,2012
BHR,2.64,2013
BHR,2.64,2014
BHR,2.64,2015
BHR,2.64,2016
BHR,2.64,2017
BHR,2.64,2018
BHR,2.64,2019
BHR,2.64,2020
BHS,2.64,2010
BHS,2.64,2011
BHS,2.64,2012
BHS,2.64,2013
BHS,2.64,2014
BHS,2.64,2015
BHS,2.64,2016
BHS,2.64,2017
BHS,2.64,2018
BHS,2.64,2019
BHS,2.64,2020
BIH,2.64,2010
BIH,2.64,2011
BIH,2.64,2012
BIH,2.64,2013
BIH,2.64,2014
BIH,2.64,2015
BIH,2.64,2016
BIH,2.64,2017
BIH,2.64,2018
BIH,2.64,2019
BIH,2.64,2020
BLR,2.64,2010
BLR,2.64,2011
BLR,2.64,2012
BLR,2.64,2013
BLR,2.64,2014
BLR,2.64,2015
BLR,2.64,2016
BLR,2.64,2017
BLR,2.64,2018
BLR,2.64,2019
BLR,2.64,2020
BLZ,2.64,2010
BLZ,2.64,2011
BLZ,2.64,2012
BLZ,2.64,2013
BLZ,2.64,2014
BLZ,2.64,2015
BLZ,2.64,2016
BLZ,2.64,2017
BLZ,2.64,2018
BLZ,2.64,2019
BLZ,2.64,2020
BMU,2.64,2010
BMU,2.64,2011
BMU,2.64,2012
BMU,2.64,2013
BMU,2.64,2014
BMU,2.64,2015
BMU,2.64,2016
BMU,2.64,2017
BMU,2.64,2018
BMU,2.64,2019
BMU,2.64,2020
BOL,2.64,2010
BOL,2.64,2011
BOL,2.64,2012
BOL,2.64,2013
BOL,2.64,2014
BOL,2.64,2015
BOL,2.64,2016
BOL,2.64,2017
BOL,2.64,2018
BOL,2.64,2019
BOL,2.64,2020
BRA,2.64,2010
BRA,2.64,2011
BRA,2.64,2012
BRA,2.64,2013
BRA,2.64,2014
BRA,2.64,2015
BRA,2.64,2016
BRA,2.64,2017
BRA,2.64,2018
BRA,2.64,2019
BRA,2.64,2020
BRB,2.64,2010
BRB,2.64,2011
BRB,2.64,2012
BRB,2.64,2013
BRB,2.64,2014
BRB,2.64,2015
BRB,2.64,2016
BRB,2.64,2017
BRB,2.64,2018
BRB,2.64,2019
BRB,2.64,2020
BRN,2.64,2010
BRN,2.64,2011
BRN,2.64,2012
BRN,2.64,2013
BRN,2.64,2014
BRN,2.64,2015
BRN,2.64,2016
BRN,2.64,2017
BRN,2.64,2018
BRN,2.64,2019
BRN,2.64,2020
BTN,2.64,2010
BTN,2.64,2011
BTN,2.64,2012
BTN,2.64,2013
BTN,2.64,2014
BTN,2.64,2015
BTN,2.64,2016
BTN,2.64,2017
BTN,2.64,2018
BTN,2.64,2019
BTN,2.64,2020
BWA,2.64,2010
BWA,2.64,2011
BWA,2.64,2012
BWA,2.64,2013
BWA,2.64,2014
BWA,2.64,2015
BWA,2.64,2016
BWA,2.64,2017
BWA,2.64,2018
BWA,2.64,2019
BWA,2.64,2020
CAF,2.64,2010
CAF,2.64,2011
CAF,2.64,2012
CAF,2.64,2013
CAF,2.64,2014
CAF,2.64,2015
CAF,2.64,2016
CAF,2.64,2017
CAF,2.64,2018
CAF,2.64,2019
CAF,2.64,2020
CAN,2.64,2010
CAN,2.64,2011
CAN,2.64,2012
CAN,2.64,2013
CAN,2.64,2014
CAN,2.64,2015
CAN,2.64,2016
CAN,2.64,2017
CAN,2.64,2018
CAN,2.64,2019
CAN,2.64,2020
CHE,2.64,2010
CHE,2.64,2011
CHE,2.64,2012
CHE,2.64,2013
CHE,2.64,2014
CHE,2.64,2015
CHE,2.64,2016
CHE,2.64,2017
CHE,2.64,2018
CHE,2.64,2019
CHE,2.64,2020
CHI,2.64,2010
CHI,2.64,2011
CHI,2.64,2012
CHI,2.64,2013
CHI,2.64,2014
CHI,2.64,2015
CHI,2.64,2016
CHI,2.64,2017
CHI,2.64,2018
CHI,2.64,2019
CHI,2.64,2020
CHL,2.64,2010
CHL,2.64,2011
CHL,2.64,2012
CHL,2.64,2013
CHL,2.64,2014
CHL,2.64,2015
CHL,2.64,2016
CHL,2.64,2017
CHL,2.64,2018
CHL,2.64,2019
CHL,2.64,2020
CHN,2.64,2010
CHN,2.64,2011
CHN,2.64,2012
CHN,2.64,2013
CHN,2.64,2014
CHN,2.64,2015
CHN,2.64,2016
CHN,2.64,2017
CHN,2.64,2018
CHN,2.64,2019
CHN,2.64,2020
CIV,2.64,2010
CIV,2.64,2011
CIV,2.64,2012
CIV,2.64,2013
CIV,2.64,2014
CIV,2.64,2015
CIV,2.64,2016
CIV,2.64,2017
CIV,2.64,2018
CIV,2.64,2019
CIV,2.64,2020
CMR,2.64,2010
CMR,2.64,2011
CMR,2.64,2012
CMR,2.64,2013
CMR,2.64,2014
CMR,2.64,2015
CMR,2.64,2016
CMR,2.64,2017
CMR,2.64,2018
CMR,2.64,2019
CMR,2.64,2020
COD,2.64,2010
COD,2.64,2011
COD,2.64,2012
COD,2.64,2013
COD,2.64,2014
COD,2.64,2015
COD,2.64,2016
COD,2.64,2017
COD,2.64,2018
COD,2.64,2019
COD,2.64,2020
COG,2.64,2010
COG,2.64,2011
COG,2.64,2012
COG,2.64,2013
COG,2.64,2014
COG,2.64,2015
COG,2.64,2016
COG,2.64,2017
COG,2.64,2018
COG,2.64,2019
COG,2.64,2020
COL,2.64,2010
COL,2.64,2011
COL,2.64,2012
COL,2.64,2013
COL,2.64,2014
COL,2.64,2015
COL,2.64,2016
COL,2.64,2017
COL,2.64,2018
COL,2.64,2019
COL,2.64,2020
COM,2.64,2010
COM,2.64,2011
COM,2.64,2012
COM,2.64,2013
COM,2.64,2014
COM,2.64,2015
COM,2.64,2016
COM,2.64,2017
COM,2.64,2018
COM,2.64,2019
COM,2.64,2020
CPV,2.64,2010
CPV,2.64,2011
CPV,2.64,2012
CPV,2.64,2013
CPV,2.64,2014
CPV,2.64,2015
CPV,2.64,2016
CPV,2.64,2017
CPV,2.64,2018
CPV,2.64,2019
CPV,2.64,2020
CRI,2.64,2010
CRI,2.64,2011
CRI,2.64,2012
CRI,2.64,2013
CRI,2.64,2014
CRI,2.64,2015
CRI,2.64,2016
CRI,2.64,2017
CRI,2.64,2018
CRI,2.64,2019
CRI,2.64,2020
CUB,2.64,2010
CUB,2.64,2011
CUB,2.64,2012
CUB,2.64,2013
CUB,2.64,2014
CUB,2.64,2015
CUB,2.64,2016
CUB,2.64,2017
CUB,2.64,2018
CUB,2.64,2019
CUB,2.64,2020
CUW,2.64,2010
CUW,2.64,2011
CUW,2.64,2012
CUW,2.64,2013
CUW,2.64,2014
CUW,2.64,2015
CUW,2.64,2016
CUW,2.64,2017
CUW,2.64,2018
CUW,2.64,2019
CUW,2.64,2020
CYM,2.64,2010
CYM,2.64,2011
CYM,2.64,2012
CYM,2.64,2013
CYM,2.64,2014
CYM,2.64,2015
CYM,2.64,2016
CYM,2.64,2017
CYM,2.64,2018
CYM,2.64,2019
CYM,2.64,2020
CYP,2.64,2010
CYP,2.64,2011
CYP,2.64,2012
CYP,2.64,2013
CYP,2.64,2014
CYP,2.64,2015
CYP,2.64,2016
CYP,2.64,2017
CYP,2.64,2018
CYP,2.64,2019
CYP,2.64,2020
CZE,2.64,2010
CZE,2.64,2011
CZE,2.64,2012
CZE,2.64,2013
CZE,2.64,2014
CZE,2.64,2015
CZE,2.64,2016
CZE,2.64,2017
CZE,2.64,2018
CZE,2.64,2019
CZE,2.64,2020
DEU,2.64,2010
DEU,2.64,2011
DEU,2.64,2012
DEU,2.64,2013
DEU,2.64,2014
DEU,2.64,2015
DEU,2.64,2016
DEU,2.64,2017
DEU,2.64,2018
DEU,2.64,2019
DEU,2.64,2020
DJI,2.64,2010
DJI,2.64,2011
DJI,2.64,2012
DJI,2.64,2013
DJI,2.64,2014
DJI,2.64,2015
DJI,2.64,2016
DJI,2.64,2017
DJI,2.64,2018
DJI,2.64,2019
DJI,2.64,2020
DMA,2.64,2010
DMA,2.64,2011
DMA,2.64,2012
DMA,2.64,2013
DMA,2.64,2014
DMA,2.64,2015
DMA,2.64,2016
DMA,2.64,2017
DMA,2.64,2018
DMA,2.64,2019
DMA,2.64,2020
DNK,2.64,2010
DNK,2.64,2011
DNK,2.64,2012
DNK,2.64,2013
DNK,2.64,2014
DNK,2.64,2015
DNK,2.64,2016
DNK,2.64,2017
DNK,2.64,2018
DNK,2.64,2019
DNK,2.64,2020
DOM,2.64,2010
DOM,2.64,2011
DOM,2.64,2012
DOM,2.64,2013
DOM,2.64,2014
DOM,2.64,2015
DOM,2.64,2016
DOM,2.64,2017
DOM,2.64,2018
DOM,2.64,2019
DOM,2.64,2020
DZA,2.64,2010
DZA,2.64,2011
DZA,2.64,2012
DZA,2.64,2013
DZA,2.64,2014
DZA,2.64,2015
DZA,2.64,2016
DZA,2.64,2017
DZA,2.64,2018
DZA,2.64,2019
DZA,2.64,2020
ECU,2.64,2010
ECU,2.64,2011
ECU,2.64,2012
ECU,2.64,2013
ECU,2.64,2014
ECU,2.64,2015
ECU,2.64,2016
ECU,2.64,2017
ECU,2.64,2018
ECU,2.64,2019
ECU,2.64,2020
EGY,2.64,2010
EGY,2.64,2011
EGY,2.64,2012
EGY,2.64,2013
EGY,2.64,2014
EGY,2.64,2015
EGY,2.64,2016
EGY,2.64,2017
EGY,2.64,2018
EGY,2.64,2019
EGY,2.64,2020
ERI,2.64,2010
ERI,2.64,2011
ERI,2.64,2012
ERI,2.64,2013
ERI,2.64,2014
ERI,2.64,2015
ERI,2.64,2016
ERI,2.64,2017
ERI,2.64,2018
ERI,2.64,2019
ERI,2.64,2020
ESP,2.64,2010
ESP,2.64,2011
ESP,2.64,2012
ESP,2.64,2013
ESP,2.64,2014
ESP,2.64,2015
ESP,2.64,2016
ESP,2.64,2017
ESP,2.64,2018
ESP,2.64,2019
ESP,2.64,2020
EST,2.64,2010
EST,2.64,2011
EST,2.64,2012
EST,2.64,2013
EST,2.64,2014
EST,2.64,2015
EST,2.64,2016
EST,2.64,2017
EST,2.64,2018
EST,2.64,2019
EST,2.64,2020
ETH,2.64,2010
ETH,2.64,2011
ETH,2.64,2012
ETH,2.64,2013
ETH,2.64,2014
ETH,2.64,2015
ETH,2.64,2016
ETH,2.64,2017
ETH,2.64,2018
ETH,2.64,2019
ETH,2.64,2020
FIN,2.64,2010
FIN,2.64,2011
FIN,2.64,2012
FIN,2.64,2013
FIN,2.64,2014
FIN,2.64,2015
FIN,2.64,2016
FIN,2.64,2017
FIN,2.64,2018
FIN,2.64,2019
FIN,2.64,2020
FJI,2.64,2010
FJI,2.64,2011
FJI,2.64,2012
FJI,2.64,2013
FJI,2.64,2014
FJI,2.64,2015
FJI,2.64,2016
FJI,2.64,2017
FJI,2.64,2018
FJI,2.64,2019
FJI,2.64,2020
FRA,2.64,2010
FRA,2.64,2011
FRA,2.64,2012
FRA,2.64,2013
FRA,2.64,2014
FRA,2.64,2015
FRA,2.64,2016
FRA,2.64,2017
FRA,2.64,2018
FRA,2.64,2019
FRA,2.64,2020
FRO,2.64,2010
FRO,2.64,2011
FRO,2.64,2012
FRO,2.64,2013
FRO,2.64,2014
FRO,2.64,2015
FRO,2.64,2016
FRO,2.64,2017
FRO,2.64,2018
FRO,2.64,2019
FRO,2.64,2020
FSM,2.64,2010
FSM,2.64,2011
FSM,2.64,2012
FSM,2.64,2013
FSM,2.64,2014
FSM,2.64,2015
FSM,2.64,2016
FSM,2.64,2017
FSM,2.64,2018
FSM,2.64,2019
FSM,2.64,2020
GAB,2.64,2010
GAB,2.64,2011
GAB,2.64,2012
GAB,2.64,2013
GAB,2.64,2014
GAB,2.64,2015
GAB,2.64,2016
GAB,2.64,2017
GAB,2.64,2018
GAB,2.64,2019
GAB,2.64,2020
GBR,2.64,2010
GBR,2.64,2011
GBR,2.64,2012
GBR,2.64,2013
GBR,2.64,2014
GBR,2.64,2015
GBR,2.64,2016
GBR,2.64,2017
GBR,2.64,2018
GBR,2.64,2019
GBR,2.64,2020
GEO,2.64,2010
GEO,2.64,2011
GEO,2.64,2012
GEO,2.64,2013
GEO,2.64,2014
GEO,2.64,2015
GEO,2.64,2016
GEO,2.64,2017
GEO,2.64,2018
GEO,2.64,2019
GEO,2.64,2020
GHA,2.64,2010
GHA,2.64,2011
GHA,2.64,2012
GHA,2.64,2013
GHA,2.64,2014
GHA,2.64,2015
GHA,2.64,2016
GHA,2.64,2017
GHA,2.64,2018
GHA,2.64,2019
GHA,2.64,2020
GIB,2.64,2010
GIB,2.64,2011
GIB,2.64,2012
GIB,2.64,2013
GIB,2.64,2014
GIB,2.64,2015
GIB,2.64,2016
GIB,2.64,2017
GIB,2.64,2018
GIB,2.64,2019
GIB,2.64,2020
GIN,2.64,2010
GIN,2.64,2011
GIN,2.64,2012
GIN,2.64,2013
GIN,2.64,2014
GIN,2.64,2015
GIN,2.64,2016
GIN,2.64,2017
GIN,2.64,2018
GIN,2.64,2019
GIN,2.64,2020
GMB,2.64,2010
GMB,2.64,2011
GMB,2.64,2012
GMB,2.64,2013
GMB,2.64,2014
GMB,2.64,2015
GMB,2.64,2016
GMB,2.64,2017
GMB,2.64,2018
GMB,2.64,2019
GMB,2.64,2020
GNB,2.64,2010
GNB,2.64,2011
GNB,2.64,2012
GNB,2.64,2013
GNB,2.64,2014
GNB,2.64,2015
GNB,2.64,2016
GNB,2.64,2017
GNB,2.64,2018
GNB,2.64,2019
GNB,2.64,2020
GNQ,2.64,2010
GNQ,2.64,2011
GNQ,2.64,2012
GNQ,2.64,2013
GNQ,2.64,2014
GNQ,2.64,2015
GNQ,2.64,2016
GNQ,2.64,2017
GNQ,2.64,2018
GNQ,2.64,2019
GNQ,2.64,2020
GRC,2.64,2010
GRC,2.64,2011
GRC,2.64,2012
GRC,2.64,2013
GRC,2.64,2014
GRC,2.64,2015
GRC,2.64,2016
GRC,2.64,2017
GRC,2.64,2018
GRC,2.64,2019
GRC,2.64,2020
GRD,2.64,2010
GRD,2.64,2011
GRD,2.64,2012
GRD,2.64,2013
GRD,2.64,2014
GRD,2.64,2015
GRD,2.64,2016
GRD,2.64,2017
GRD,2.64,2018
GRD,2.64,2019
GRD,2.64,2020
GRL,2.64,2010
GRL,2.64,2011
GRL,2.64,2012
GRL,2.64,2013
GRL,2.64,2014
GRL,2.64,2015
GRL,2.64,2016
GRL,2.64,2017
GRL,2.64,2018
GRL,2.64,2019
GRL,2.64,2020
GTM,2.64,2010
GTM,2.64,2011
GTM,2.64,2012
GTM,2.64,2013
GTM,2.64,2014
GTM,2.64,2015
GTM,2.64,2016
GTM,2.64,2017
GTM,2.64,2018
GTM,2.64,2019
GTM,2.64,2020
GUM,2.64,2010
GUM,2.64,2011
GUM,2.64,2012
GUM,2.64,2013
GUM,2.64,2014
GUM,2.64,2015
GUM,2.64,2016
GUM,2.64,2017
GUM,2.64,2018
GUM,2.64,2019
GUM,2.64,2020
GUY,2.64,2010
GUY,2.64,2011
GUY,2.64,2012
GUY,2.64,2013
GUY,2.64,2014
GUY,2.64,2015
GUY,2.64,2016
GUY,2.64,2017
GUY,2.64,2018
GUY,2.64,2019
GUY,2.64,2020
HKG,2.64,2010
HKG,2.64,2011
HKG,2.64,2012
HKG,2.64,2013
HKG,2.64,2014
HKG,2.64,2015
HKG,2.64,2016
HKG,2.64,2017
HKG,2.64,2018
HKG,2.64,2019
HKG,2.64,2020
HND,2.64,2010
HND,2.64,2011
HND,2.64,2012
HND,2.64,2013
HND,2.64,2014
HND,2.64,2015
HND,2.64,2016
HND,2.64,2017
HND,2.64,2018
HND,2.64,2019
HND,2.64,2020
HRV,2.64,2010
HRV,2.64,2011
HRV,2.64,2012
HRV,2.64,2013
HRV,2.64,2014
HRV,2.64,2015
HRV,2.64,2016
HRV,2.64,2017
HRV,2.64,2018
HRV,2.64,2019
HRV,2.64,2020
HTI,2.64,2010
HTI,2.64,2011
HTI,2.64,2012
HTI,2.64,2013
HTI,2.64,2014
HTI,2.64,2015
HTI,2.64,2016
HTI,2.64,2017
HTI,2.64,2018
HTI,2.64,2019
HTI,2.64,2020
HUN,2.64,2010
HUN,2.64,2011
HUN,2.64,2012
HUN,2.64,2013
HUN,2.64,2014
HUN,2.64,2015
HUN,2.64,2016
HUN,2.64,2017
HUN,2.64,2018
HUN,2.64,2019
HUN,2.64,2020
IDN,2.64,2010
IDN,2.64,2011
IDN,2.64,2012
IDN,2.64,2013
IDN,2.64,2014
IDN,2.64,2015
IDN,2.64,2016
IDN,2.64,2017
IDN,2.64,2018
IDN,2.64,2019
IDN,2.64,2020
IMN,2.64,2010
IMN,2.64,2011
IMN,2.64,2012
IMN,2.64,2013
IMN,2.64,2014
IMN,2.64,2015
IMN,2.64,2016
IMN,2.64,2017
IMN,2.64,2018
IMN,2.64,2019
IMN,2.64,2020
IND,2.64,2010
IND,2.64,2011
IND,2.64,2012
IND,2.64,2013
IND,2.64,2014
IND,2.64,2015
IND,2.64,2016
IND,2.64,2017
IND,2.64,2018
IND,2.64,2019
IND,2.64,2020
IRL,2.64,2010
IRL,2.64,2011
IRL,2.64,2012
IRL,2.64,2013
IRL,2.64,2014
IRL,2.64,2015
IRL,2.64,2016
IRL,2.64,2017
IRL,2.64,2018
IRL,2.64,2019
IRL,2.64,2020
IRN,2.64,2010
IRN,2.64,2011
IRN,2.64,2012
IRN,2.64,2013
IRN,2.64,2014
IRN,2.64,2015
IRN,2.64,2016
IRN,2.64,2017
IRN,2.64,2018
IRN,2.64,2019
IRN,2.64,2020
IRQ,2.64,2010
IRQ,2.64,2011
IRQ,2.64,2012
IRQ,2.64,2013
IRQ,2.64,2014
IRQ,2.64,2015
IRQ,2.64,2016
IRQ,2.64,2017
IRQ,2.64,2018
IRQ,2.64,2019
IRQ,2.64,2020
ISL,2.64,2010
ISL,2.64,2011
ISL,2.64,2012
ISL,2.64,2013
ISL,2.64,2014
ISL,2.64,2015
ISL,2.64,2016
ISL,2.64,2017
ISL,2.64,2018
ISL,2.64,2019
ISL,2.64,2020
ISR,2.64,2010
ISR,2.64,2011
ISR,2.64,2012
ISR,2.64,2013
ISR,2.64,2014
ISR,2.64,2015
ISR,2.64,2016
ISR,2.64,2017
ISR,2.64,2018
ISR,2.64,2019
ISR,2.64,2020
ITA,2.64,2010
ITA,2.64,2011
ITA,2.64,2012
ITA,2.64,2013
ITA,2.64,2014
ITA,2.64,2015
ITA,2.64,2016
ITA,2.64,2017
ITA,2.64,2018
ITA,2.64,2019
ITA,2.64,2020
JAM,2.64,2010
JAM,2.64,2011
JAM,2.64,2012
JAM,2.64,2013
JAM,2.64,2014
JAM,2.64,2015
JAM,2.64,2016
JAM,2.64,2017
JAM,2.64,2018
JAM,2.64,2019
JAM,2.64,2020
JOR,2.64,2010
JOR,2.64,2011
JOR,2.64,2012
JOR,2.64,2013
JOR,2.64,2014
JOR,2.64,2015
JOR,2.64,2016
JOR,2.64,2017
JOR,2.64,2018
JOR,2.64,2019
JOR,2.64,2020
JPN,2.64,2010
JPN,2.64,2011
JPN,2.64,2012
JPN,2.64,2013
JPN,2.64,2014
JPN,2.64,2015
JPN,2.64,2016
JPN,2.64,2017
JPN,2.64,2018
JPN,2.64,2019
JPN,2.64,2020
KAZ,2.64,2010
KAZ,2.64,2011
KAZ,2.64,2012
KAZ,2.64,2013
KAZ,2.64,2014
KAZ,2.64,2015
KAZ,2.64,2016
KAZ,2.64,2017
KAZ,2.64,2018
KAZ,2.64,2019
KAZ,2.64,2020
KEN,2.64,2010
KEN,2.64,2011
KEN,2.64,2012
KEN,2.64,2013
KEN,2.64,2014
KEN,2.64,2015
KEN,2.64,2016
KEN,2.64,2017
KEN,2.64,2018
KEN,2.64,2019
KEN,2.64,2020
KGZ,2.64,2010
KGZ,2.64,2011
KGZ,2.64,2012
KGZ,2.64,2013
KGZ,2.64,2014
KGZ,2.64,2015
KGZ,2.64,2016
KGZ,2.64,2017
KGZ,2.64,2018
KGZ,2.64,2019
KGZ,2.64,2020
KHM,2.64,2010
KHM,2.64,2011
KHM,2.64,2012
KHM,2.64,2013
KHM,2.64,2014
KHM,2.64,2015
KHM,2.64,2016
KHM,2.64,2017
KHM,2.64,2018
KHM,2.64,2019
KHM,2.64,2020
KIR,2.64,2010
KIR,2.64,2011
KIR,2.64,2012
KIR,2.64,2013
KIR,2.64,2014
KIR,2.64,2015
KIR,2.64,2016
KIR,2.64,2017
KIR,2.64,2018
KIR,2.64,2019
KIR,2.64,2020
KNA,2.64,2010
KNA,2.64,2011
KNA,2.64,2012
KNA,2.64,2013
KNA,2.64,2014
KNA,2.64,2015
KNA,2.64,2016
KNA,2.64,2017
KNA,2.64,2018
KNA,2.64,2019
KNA,2.64,2020
KOR,2.64,2010
KOR,2.64,2011
KOR,2.64,2012
KOR,2.64,2013
KOR,2.64,2014
KOR,2.64,2015
KOR,2.64,2016
KOR,2.64,2017
KOR,2.64,2018
KOR,2.64,2019
KOR,2.64,2020
KWT,2.64,2010
KWT,2.64,2011
KWT,2.64,2012
KWT,2.64,2013
KWT,2.64,2014
KWT,2.64,2015
KWT,2.64,2016
KWT,2.64,2017
KWT,2.64,2018
KWT,2.64,2019
KWT,2.64,2020
LAO,2.64,2010
LAO,2.64,2011
LAO,2.64,2012
LAO,2.64,2013
LAO,2.64,2014
LAO,2.64,2015
LAO,2.64,2016
LAO,2.64,2017
LAO,2.64,2018
LAO,2.64,2019
LAO,2.64,2020
LBN,2.64,2010
LBN,2.64,2011
LBN,2.64,2012
LBN,2.64,2013
LBN,2.64,2014
LBN,2.64,2015
LBN,2.64,2016
LBN,2.64,2017
LBN,2.64,2018
LBN,2.64,2019
LBN,2.64,2020
LBR,2.64,2010
LBR,2.64,2011
LBR,2.64,2012
LBR,2.64,2013
LBR,2.64,2014
LBR,2.64,2015
LBR,2.64,2016
LBR,2.64,2017
LBR,2.64,2018
LBR,2.64,2019
LBR,2.64,2020
LBY,2.64,2010
LBY,2.64,2011
LBY,2.64,2012
LBY,2.64,2013
LBY,2.64,2014
LBY,2.64,2015
LBY,2.64,2016
LBY,2.64,2017
LBY,2.64,2018
LBY,2.64,2019
LBY,2.64,2020
LCA,2.64,2010
LCA,2.64,2011
LCA,2.64,2012
LCA,2.64,2013
LCA,2.64,2014
LCA,2.64,2015
LCA,2.64,2016
LCA,2.64,2017
LCA,2.64,2018
LCA,2.64,2019
LCA,2.64,2020
LIE,2.64,2010
LIE,2.64,2011
LIE,2.64,2012
LIE,2.64,2013
LIE,2.64,2014
LIE,2.64,2015
LIE,2.64,2016
LIE,2.64,2017
LIE,2.64,2018
LIE,2.64,2019
LIE,2.64,2020
LKA,2.64,2010
LKA,2.64,2011
LKA,2.64,2012
LKA,2.64,2013
LKA,2.64,2014
LKA,2.64,2015
LKA,2.64,2016
LKA,2.64,2017
LKA,2.64,2018
LKA,2.64,2019
LKA,2.64,2020
LSO,2.64,2010
LSO,2.64,2011
LSO,2.64,2012
LSO,2.64,2013
LSO,2.64,2014
LSO,2.64,2015
LSO,2.64,2016
LSO,2.64,2017
LSO,2.64,2018
LSO,2.64,2019
LSO,2.64,2020
LTU,2.64,2010
LTU,2.64,2011
LTU,2.64,2012
LTU,2.64,2013
LTU,2.64,2014
