Year,prodinit_ippu_cement_tonne,iso_code3
2029,3967294.114,BDI
2030,4186736.435,BDI
2031,4418316.735,BDI
2032,4662706.401,BDI
2033,4920613.953,BDI
2034,5192787.106,BDI
2035,5480014.93,BDI
2036,5783130.143,BDI
2037,6103011.519,BDI
2038,6440586.444,BDI
2039,6796833.599,BDI
2040,7172785.797,BDI
2041,7569532.98,BDI
2042,7988225.378,BDI
2043,8430076.844,BDI
2044,8896368.371,BDI
2045,9388451.809,BDI
2046,9907753.781,BDI
2047,10455779.82,BDI
2048,11034118.74,BDI
2049,11644447.23,BDI
2050,12288534.73,BDI
2021,32981850,BEL
2022,32562125.03,BEL
2023,32147741.44,BEL
2024,31738631.28,BEL
2025,31334727.43,BEL
2026,30935963.64,BEL
2027,30542274.48,BEL
2028,30153595.4,BEL
2029,29769862.61,BEL
2030,29391013.19,BEL
2031,29016984.98,BEL
2032,28647716.63,BEL
2033,28283147.57,BEL
2034,27923217.99,BEL
2035,27567868.85,BEL
2036,27217041.87,BEL
2037,26870679.48,BEL
2038,26528724.88,BEL
2039,26191121.98,BEL
2040,25857815.39,BEL
2041,25528750.43,BEL
2042,25203873.14,BEL
2043,24883130.22,BEL
2044,24566469.05,BEL
2045,24253837.69,BEL
2046,23945184.85,BEL
2047,23640459.92,BEL
2048,23339612.89,BEL
2049,23042594.43,BEL
2050,22749355.8,BEL
2021,4626774,BEN
2022,4758893.279,BEN
2023,4894785.273,BEN
2024,5034557.715,BEN
2025,5178321.412,BEN
2026,5326190.335,BEN
2027,5478281.711,BEN
2028,5634716.114,BEN
2029,5795617.56,BEN
2030,5961113.608,BEN
2031,6131335.458,BEN
2032,6306418.057,BEN
2033,6486500.206,BEN
2034,6671724.669,BEN
2035,6862238.286,BEN
2036,7058192.091,BEN
2037,7259741.432,BEN
2038,7467046.09,BEN
2039,7680270.41,BEN
2040,7899583.432,BEN
2041,8125159.02,BEN
2042,8357176.003,BEN
2043,8595818.32,BEN
2044,8841275.158,BEN
2045,9093741.108,BEN
2046,9353416.32,BEN
2047,9620506.654,BEN
2048,9895223.855,BEN
2049,10177785.71,BEN
2050,10468416.22,BEN
2021,6846015,BFA
2022,7108580.41,BFA
2023,7381215.998,BFA
2024,7664307.987,BFA
2025,7958257.411,BFA
2026,8263480.686,BFA
2027,8580410.198,BFA
2028,8909494.917,BFA
2029,9251201.031,BFA
2030,9606012.61,BFA
2031,9974432.287,BFA
2032,10356981.97,BFA
2033,10754203.6,BFA
2034,11166659.88,BFA
2035,11594935.11,BFA
2036,12039635.99,BFA
2037,12501392.49,BFA
2038,12980858.76,BFA
2039,13478714.01,BFA
2040,13995663.51,BFA
2041,14532439.59,BFA
2042,15089802.67,BFA
2043,15668542.3,BFA
2044,16269478.35,BFA
2045,16893462.12,BFA
2046,17541377.56,BFA
2047,18214142.52,BFA
2048,18912710.05,BFA
2049,19638069.76,BFA
2050,20391249.22,BFA
2021,79777110,BGD
2022,86404004.68,BGD
2023,93581379.74,BGD
2024,101354962.3,BGD
2025,109774277.8,BGD
2026,118892965.8,BGD
2027,128769121.5,BGD
2028,139465666,BGD
2029,151050747,BGD
2030,163598173.1,BGD
2031,177187884.1,BGD
2032,191906459.9,BGD
2033,207847672.9,BGD
2034,225113084.4,BGD
2035,243812692.7,BGD
2036,264065632.8,BGD
2037,286000936.6,BGD
2038,309758353.8,BGD
2039,335489243.1,BGD
2040,363357536.1,BGD
2041,393540782,BGD
2042,426231278.2,BGD
2043,461637296.2,BGD
2044,499984407.9,BGD
2045,541516922.8,BGD
2046,586499444.9,BGD
2047,635218558.1,BGD
2048,687984652.1,BGD
2049,745133900,BGD
2050,807030399.9,BGD
2021,4178392,BGR
2022,4279369.446,BGR
2023,4382787.172,BGR
2024,4488704.151,BGR
2025,4597180.78,BGR
2026,4708278.919,BGR
2027,4822061.92,BGR
2028,4938594.667,BGR
2029,5057943.612,BGR
2030,5180176.813,BGR
2031,5305363.973,BGR
2032,5433576.478,BGR
2033,5564887.441,BGR
2034,5699371.74,BGR
2035,5837106.066,BGR
2036,5978168.959,BGR
2037,6122640.86,BGR
2038,6270604.152,BGR
2039,6422143.212,BGR
2040,6577344.452,BGR
2041,6736296.375,BGR
2042,6899089.623,BGR
2043,7065817.028,BGR
2044,7236573.663,BGR
2045,7411456.902,BGR
2046,7590566.471,BGR
2047,7774004.506,BGR
2048,7961875.611,BGR
2049,8154286.918,BGR
2050,8351348.148,BGR
2021,2525170,BHR
2022,2516979.904,BHR
2023,2508816.371,BHR
2024,2500679.316,BHR
2025,2492568.653,BHR
2026,2484484.295,BHR
2027,2476426.158,BHR
2028,2468394.157,BHR
2029,2460388.207,BHR
2030,2452408.223,BHR
2031,2444454.121,BHR
2032,2436525.817,BHR
2033,2428623.228,BHR
2034,2420746.27,BHR
2035,2412894.86,BHR
2036,2405068.915,BHR
2037,2397268.353,BHR
2038,2389493.091,BHR
2039,2381743.047,BHR
2040,2374018.139,BHR
2041,2366318.287,BHR
2042,2358643.408,BHR
2043,2350993.421,BHR
2044,2343368.246,BHR
2045,2335767.803,BHR
2046,2328192.011,BHR
2047,2320640.79,BHR
2048,2313114.061,BHR
2049,2305611.743,BHR
2050,2298133.759,BHR
2021,940599.9,BHS
2022,994862.2088,BHS
2023,1052254.858,BHS
2024,1112958.435,BHS
2025,1177163.943,BHS
2026,1245073.405,BHS
2027,1316900.499,BHS
2028,1392871.23,BHS
2029,1473224.639,BHS
2030,1558213.56,BHS
2031,1648105.41,BHS
2032,1743183.036,BHS
2033,1843745.598,BHS
2034,1950109.519,BHS
2035,2062609.472,BHS
2036,2181599.44,BHS
2037,2307453.826,BHS
2038,2440568.631,BHS
2039,2581362.701,BHS
2040,2730279.047,BHS
2041,2887786.235,BHS
2042,3054379.861,BHS
2043,3230584.115,BHS
2044,3416953.424,BHS
2045,3614074.199,BHS
2046,3822566.684,BHS
2047,4043086.901,BHS
2048,4276328.718,BHS
2049,4523026.033,BHS
2050,4783955.08,BHS
2021,5262310,BIH
2022,5353884.058,BIH
2023,5447051.676,BIH
2024,5541840.585,BIH
2025,5638278.999,BIH
2026,5736395.621,BIH
2027,5836219.658,BIH
2028,5937780.819,BIH
2029,6041109.335,BIH
2030,6146235.961,BIH
2031,6253191.987,BIH
2032,6362009.249,BIH
2033,6472720.135,BIH
2034,6585357.597,BIH
2035,6699955.163,BIH
2036,6816546.941,BIH
2037,6935167.635,BIH
2038,7055852.551,BIH
2039,7178637.611,BIH
2040,7303559.361,BIH
2041,7430654.984,BIH
2042,7559962.309,BIH
2043,7691519.823,BIH
2044,7825366.685,BIH
2045,7961542.733,BIH
2046,8100088.5,BIH
2047,8241045.223,BIH
2048,8384454.857,BIH
2049,8530360.087,BIH
2050,8678804.342,BIH
2021,8020877,BLR
2022,8563526.892,BLR
2023,9142889.59,BLR
2024,9761448.887,BLR
2025,10421856.62,BLR
2026,11126944.03,BLR
2027,11879733.9,BLR
2028,12683453.53,BLR
2029,13541548.56,BLR
2030,14457697.74,BLR
2031,15435828.69,BLR
2032,16480134.79,BLR
2033,17595093.09,BLR
2034,18785483.54,BLR
2035,20056409.47,BLR
2036,21413319.5,BLR
2037,22862030.84,BLR
2038,24408754.3,BLR
2039,26060120.83,BLR
2040,27823210.05,BLR
2041,29705580.51,BLR
2042,31715302.14,BLR
2043,33860990.86,BLR
2044,36151845.46,BLR
2045,38597687.11,BLR
2046,41209001.4,BLR
2047,43996983.33,BLR
2048,46973585.3,BLR
2049,50151568.33,BLR
2050,53544556.79,BLR
2021,745957.5,BLZ
2022,1043590.04,BLZ
2023,1459976.168,BLZ
2024,2042497.848,BLZ
2025,2857442.162,BLZ
2026,3997544.339,BLZ
2027,5592540.404,BLZ
2028,7823930.273,BLZ
2029,10945631.23,BLZ
2030,15312872.03,BLZ
2031,21422615.56,BLZ
2032,29970109.87,BLZ
2033,41928002.83,BLZ
2034,58657022.91,BLZ
2035,82060821.04,BLZ
2036,114802593.4,BLZ
2037,160608135.3,BLZ
2038,224689811.9,BLZ
2039,314339690.8,BLZ
2040,439759330.3,BLZ
2041,615220649,BLZ
2042,860689975,BLZ
2043,1204100080,BLZ
2044,1684528745,BLZ
2045,2356645548,BLZ
2046,3296932899,BLZ
2047,4612389228,BLZ
2048,6452704692,BLZ
2049,9027294920,BLZ
2050,12629131111,BLZ
2021,303081.9,BMU
2022,333165.65,BMU
2023,366235.4973,BMU
2024,402587.8402,BMU
2025,442548.4975,BMU
2026,486475.6287,BMU
2027,534762.9438,BMU
2028,587843.2324,BMU
2029,646192.2426,BMU
2030,710332.9448,BMU
2031,780840.2194,BMU
2032,858346.009,BMU
2033,943544.9826,BMU
2034,1037200.761,BMU
2035,1140152.764,BMU
2036,1253323.727,BMU
2037,1377727.982,BMU
2038,1514480.537,BMU
2039,1664807.078,BMU
2040,1830054.954,BMU
2041,2011705.246,BMU
2042,2211386.051,BMU
2043,2430887.068,BMU
2044,2672175.64,BMU
2045,2937414.389,BMU
2046,3228980.597,BMU
2047,3549487.513,BMU
2048,3901807.777,BMU
2049,4289099.166,BMU
2050,4714832.894,BMU
2021,890566,BOL
2022,914544.339,BOL
2023,939168.2908,BOL
2024,964455.2383,BOL
2025,990423.0326,BOL
2026,1017090.005,BOL
2027,1044474.982,BOL
2028,1072597.294,BOL
2029,1101476.795,BOL
2030,1131133.872,BOL
2031,1161589.46,BOL
2032,1192865.06,BOL
2033,1224982.75,BOL
2034,1257965.204,BOL
2035,1291835.704,BOL
2036,1326618.162,BOL
2037,1362337.132,BOL
2038,1399017.829,BOL
2039,1436686.148,BOL
2040,1475368.679,BOL
2041,1515092.732,BOL
2042,1555886.347,BOL
2043,1597778.324,BOL
2044,1640798.236,BOL
2045,1684976.451,BOL
2046,1730344.157,BOL
2047,1776933.381,BOL
2048,1824777.012,BOL
2049,1873908.825,BOL
2050,1924363.503,BOL
2021,62005800,BRA
2022,63245916,BRA
2023,64510834.32,BRA
2024,65801051.01,BRA
2025,67117072.03,BRA
2026,68459413.47,BRA
2027,69828601.74,BRA
2028,71225173.77,BRA
2029,72649677.25,BRA
2030,74102670.79,BRA
2031,75584724.21,BRA
2032,77096418.69,BRA
2033,78638347.07,BRA
2034,80211114.01,BRA
2035,81815336.29,BRA
2036,83451643.01,BRA
2037,85120675.87,BRA
2038,86823089.39,BRA
2039,88559551.18,BRA
2040,90330742.2,BRA
2041,92137357.05,BRA
2042,93980104.19,BRA
2043,95859706.27,BRA
2044,97776900.4,BRA
2045,99732438.4,BRA
2046,101727087.2,BRA
2047,103761628.9,BRA
2048,105836861.5,BRA
2049,107953598.7,BRA
2050,110112670.7,BRA
2021,2166950,BRB
2022,2430481.482,BRB
2023,2726062.085,BRB
2024,3057589.431,BRB
2025,3429435.147,BRB
2026,3846502.513,BRB
2027,4314291.113,BRB
2028,4838969.362,BRB
2029,5427455.838,BRB
2030,6087510.515,BRB
2031,6827837.089,BRB
2032,7658197.747,BRB
2033,8589541.896,BRB
2034,9634150.543,BRB
2035,10805798.24,BRB
2036,12119934.71,BRB
2037,13593888.59,BRB
2038,15247095.91,BRB
2039,17101356.41,BRB
2040,19181120.96,BRB
2041,21513814.03,BRB
2042,24130195.25,BRB
2043,27064765.1,BRB
2044,30356219.75,BRB
2045,34047961.41,BRB
2046,38188670.58,BRB
2047,42832948,BRB
2048,48042034.63,BRB
2049,53884619.19,BRB
2050,60437743.88,BRB
2021,602702.8,BRN
2022,610926.4026,BRN
2023,619262.2124,BRN
2024,627711.7606,BRN
2025,636276.5989,BRN
2026,644958.3006,BRN
2027,653758.46,BRN
2028,662678.6936,BRN
2029,671720.6397,BRN
2030,680885.959,BRN
2031,690176.3348,BRN
2032,699593.4736,BRN
2033,709139.1048,BRN
2034,718814.9819,BRN
2035,728622.8818,BRN
2036,738564.606,BRN
2037,748641.9804,BRN
2038,758856.856,BRN
2039,769211.1089,BRN
2040,779706.6408,BRN
2041,790345.3794,BRN
2042,801129.2787,BRN
2043,812060.3194,BRN
2044,823140.509,BRN
2045,834371.8828,BRN
2046,845756.5035,BRN
2047,857296.4621,BRN
2048,868993.8781,BRN
2049,880850.9,BRN
2050,892869.7056,BRN
2021,1338772,BTN
2022,2556571.163,BTN
2023,4882127.883,BTN
2024,9323101.588,BTN
2025,17803757.97,BTN
2026,33998749.77,BTN
2027,64925336.97,BTN
2028,123983952.6,BTN
2029,236764585.7,BTN
2030,452134876,BTN
2031,863414372,BTN
2032,1648809719,BTN
2033,3148631268,BTN
2034,6012748924,BTN
2035,11482179571,BTN
2036,21926817395,BTN
2037,41872304651,BTN
2038,79960984090,BTN
2039,1.52697E+11,BTN
2040,2.91595E+11,BTN
2041,5.56842E+11,BTN
2042,1.06337E+12,BTN
2043,2.03065E+12,BTN
2044,3.8778E+12,BTN
2045,7.4052E+12,BTN
2046,1.41413E+13,BTN
2047,2.70047E+13,BTN
2048,5.15692E+13,BTN
2049,9.84786E+13,BTN
2050,1.88059E+14,BTN
2021,3002810,BWA
2022,2860452.345,BWA
2023,2724843.603,BWA
2024,2595663.82,BWA
2025,2472608.211,BWA
2026,2355386.44,BWA
2027,2243721.936,BWA
2028,2137351.239,BWA
2029,2036023.38,BWA
2030,1939499.286,BWA
2031,1847551.221,BWA
2032,1759962.243,BWA
2033,1676525.697,BWA
2034,1597044.722,BWA
2035,1521331.793,BWA
2036,1449208.273,BWA
2037,1380503.996,BWA
2038,1315056.861,BWA
2039,1252712.453,BWA
2040,1193323.679,BWA
2041,1136750.416,BWA
2042,1082859.186,BWA
2043,1031522.84,BWA
2044,982620.2545,BWA
2045,936036.0501,BWA
2046,891660.3165,BWA
2047,849388.3541,BWA
2048,809120.4271,BWA
2049,770761.5278,BWA
2050,734221.1528,BWA
2021,133036,CAF
2022,145537.5571,CAF
2023,159213.9009,CAF
2024,174175.4277,CAF
2025,190542.9075,CAF
2026,208448.4597,CAF
2027,228036.6187,CAF
2028,249465.5011,CAF
2029,272908.0821,CAF
2030,298553.5913,CAF
2031,326609.0407,CAF
2032,357300.8953,CAF
2033,390876.9014,CAF
2034,427608.0861,CAF
2035,467790.9456,CAF
2036,511749.8381,CAF
2037,559839.6018,CAF
2038,612448.4201,CAF
2039,670000.9539,CAF
2040,732961.7703,CAF
2041,801839.0923,CAF
2042,877188.9013,CAF
2043,959619.4248,CAF
2044,1049796.046,CAF
2045,1148446.676,CAF
2046,1256367.628,CAF
2047,1374430.044,CAF
2048,1503586.931,CAF
2049,1644880.851,CAF
2050,1799452.334,CAF
2021,121616600,CAN
2022,126381141,CAN
2023,131332341.2,CAN
2024,136477513.3,CAN
2025,141824256.3,CAN
2026,147380467.3,CAN
2027,153154352.5,CAN
2028,159154439.7,CAN
2029,165389590.6,CAN
2030,171869014.4,CAN
2031,178602280.9,CAN
2032,185599334.7,CAN
2033,192870510.3,CAN
2034,200426546.7,CAN
2035,208278604,CAN
2036,216438279.2,CAN
2037,224917623.8,CAN
2038,233729161.5,CAN
2039,242885906.4,CAN
2040,252401382.6,CAN
2041,262289644.2,CAN
2042,272565295.5,CAN
2043,283243513.2,CAN
2044,294340068.7,CAN
2045,305871350.9,CAN
2046,317854391.1,CAN
2047,330306887.6,CAN
2048,343247232.3,CAN
2049,356694537.4,CAN
2050,370668664,CAN
2021,14783390,CHE
2022,14786251.21,CHE
2023,14789112.98,CHE
2024,14791975.3,CHE
2025,14794838.18,CHE
2026,14797701.61,CHE
2027,14800565.59,CHE
2028,14803430.13,CHE
2029,14806295.23,CHE
2030,14809160.87,CHE
2031,14812027.07,CHE
2032,14814893.83,CHE
2033,14817761.14,CHE
2034,14820629.01,CHE
2035,14823497.43,CHE
2036,14826366.41,CHE
2037,14829235.94,CHE
2038,14832106.03,CHE
2039,14834976.67,CHE
2040,14837847.87,CHE
2041,14840719.62,CHE
2042,14843591.93,CHE
2043,14846464.8,CHE
2044,14849338.22,CHE
2045,14852212.2,CHE
2046,14855086.73,CHE
2047,14857961.82,CHE
2048,14860837.47,CHE
2049,14863713.67,CHE
2050,14866590.43,CHE
2021,4365600,CHL
2022,4452912,CHL
2023,4541970.24,CHL
2024,4632809.645,CHL
2025,4725465.838,CHL
2026,4819975.154,CHL
2027,4916374.658,CHL
2028,5014702.151,CHL
2029,5114996.194,CHL
2030,5217296.118,CHL
2031,5321642.04,CHL
2032,5428074.881,CHL
2033,5536636.378,CHL
2034,5647369.106,CHL
2035,5760316.488,CHL
2036,5875522.818,CHL
2037,5993033.274,CHL
2038,6112893.94,CHL
2039,6235151.818,CHL
2040,6359854.855,CHL
2041,6487051.952,CHL
2042,6616792.991,CHL
2043,6749128.851,CHL
2044,6884111.428,CHL
2045,7021793.656,CHL
2046,7162229.529,CHL
2047,7305474.12,CHL
2048,7451583.602,CHL
2049,7600615.274,CHL
2050,7752627.58,CHL
2021,649062900,CHN
2022,740346394.8,CHN
2023,844467900.3,CHN
2024,963232940.2,CHN
2025,1098700965,CHN
2026,1253221065,CHN
2027,1429472701,CHN
2028,1630512175,CHN
2029,1859825620,CHN
2030,2121389457,CHN
2031,2419739345,CHN
2032,2760048834,CHN
2033,3148219077,CHN
2034,3590981157,CHN
2035,4096012811,CHN
2036,4672071563,CHN
2037,5329146587,CHN
2038,6078631922,CHN
2039,6933524052,CHN
2040,7908647275,CHN
2041,9020910759,CHN
2042,10289601761,CHN
2043,11736720074,CHN
2044,13387359520,CHN
2045,15270143089,CHN
2046,17417719276,CHN
2047,19867328223,CHN
2048,22661447488,CHN
2049,25848528623,CHN
2050,29483837356,CHN
2021,12972060,CIV
2022,14119672.26,CIV
2023,15368811.48,CIV
2024,16728459.56,CIV
2025,18208392.99,CIV
2026,19819253.18,CIV
2027,21572622.95,CIV
2028,23481109.85,CIV
2029,25558436.78,CIV
2030,27819540.67,CIV
2031,30280679.91,CIV
2032,32959551.23,CIV
2033,35875416.94,CIV
2034,39049243.48,CIV
2035,42503852.12,CIV
2036,46264083.09,CIV
2037,50356974.18,CIV
2038,54811955.19,CIV
2039,59661059.47,CIV
2040,64939154.33,CIV
2041,70684191.7,CIV
2042,76937481.07,CIV
2043,83743986.47,CIV
2044,91152649.82,CIV
2045,99216742.83,CIV
2046,107994250,CIV
2047,117548285.8,CIV
2048,127947548.1,CIV
2049,139266812.3,CIV
2050,151587469.2,CIV
2021,7471947,CMR
2022,7940990.662,CMR
2023,8439478.049,CMR
2024,8969257.461,CMR
2025,9532293.222,CMR
2026,10130672.96,CMR
2027,10766615.37,CMR
2028,11442478.39,CMR
2029,12160768.01,CMR
2030,12924147.51,CMR
2031,13735447.36,CMR
2032,14597675.71,CMR
2033,15514029.54,CMR
2034,16487906.53,CMR
2035,17522917.62,CMR
2036,18622900.46,CMR
2037,19791933.57,CMR
2038,21034351.51,CMR
2039,22354760.93,CMR
2040,23758057.68,CMR
2041,25249444.91,CMR
2042,26834452.42,CMR
2043,28518957.12,CMR
2044,30309204.84,CMR
2045,32211833.49,CMR
2046,34233897.66,CMR
2047,36382894.8,CMR
2048,38666792.99,CMR
2049,41094060.49,CMR
2050,43673697.18,CMR
2021,5889085,COD
2022,6672056.559,COD
2023,7559126.54,COD
