COUNTRY,SECTOR,PRODUCT,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175.80,251.90,251.90,696.00,777.00,990.60,1162.00,1365.00,1449.00,1513.00,1698.00,1729.00,1746.00,1846.00,1886.00,1971.00,2174.00,2194.00,2182.00,2182.00,2190.00,2189.00,2173.00,2215.00,2180.00,2108.00,2593.00,..
Algeria,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.62,13.64,11.53,29.81,22.16,20.78,21.22,23.65,24.67,22.73,22.56,22.39,21.91,23.85,26.17,26.90,29.92,31.66,33.79,30.03,29.44,30.01,28.02,27.91,27.05,20.94,23.69,..
Algeria,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.26,52.26,43.81,109.09,96.28,97.50,93.86,104.84,116.11,111.09,103.92,108.74,110.09,109.55,102.50,95.22,97.88,95.31,83.76,95.03,83.18,71.77,67.51,69.96,70.16,73.55,90.82,..
Algeria,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.81,30.41,30.76,33.75,33.04,32.38,32.97,32.26,32.59,35.09,34.37,31.26,30.24,29.44,28.81,27.86,28.35,27.61,26.11,30.85,..
Algeria,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.21,85.92,86.91,95.34,93.34,91.49,93.14,91.14,92.06,99.14,97.10,88.33,85.43,83.18,81.40,78.72,80.09,78.01,73.78,87.17,..
Argentina,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,385.47,397.56,589.88,559.44,894.01,1439.17
Argentina,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.91,72.81,73.00,60.61,60.57,86.91
Argentina,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120.46,101.94,109.44,84.38,97.07,..
Argentina,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.08,95.40,111.93,149.81,151.08,153.08,195.55,214.69,303.48,328.26,922.72,1555.15
Argentina,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.19,30.77,35.65,40.38,38.74,37.25,43.07,39.32,37.56,35.56,62.52,93.91
Argentina,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.38,71.73,69.52,81.42,68.67,57.55,61.11,55.05,56.30,49.51,100.19,..
Argentina,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.95,34.25,35.10,44.20,38.74,34.51,39.29,37.08,41.60,..,..,..
Argentina,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.51,60.72,62.23,78.36,68.67,61.17,69.65,65.74,73.75,..,..,..
Armenia,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29018.06,28909.08,28807.65,32610.00,38328.27,43519.21,46692.43,..
Armenia,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.66,77.61,71.70,79.61,92.15,91.06,97.18,..
Armenia,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158.46,154.51,148.85,165.64,193.32,219.66,237.46,..
Armenia,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.66,71.87,69.83,74.72,85.28,93.35,101.44,..
Armenia,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158.46,146.65,142.50,152.47,174.02,190.49,207.00,..
Armenia,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21958.66,21566.92,21390.41,25473.11,31392.38,35777.77,37769.57,..
Armenia,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.77,57.90,53.24,62.19,75.48,74.86,78.61,..
Armenia,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.91,115.27,110.53,129.39,158.34,180.59,192.08,..
Armenia,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.77,53.57,49.66,56.47,64.16,73.69,76.63,..
Armenia,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.91,109.30,101.34,115.23,130.91,150.36,156.37,..
Australia,Residential,Electricity (MWh),Total price (National currency/unit),19.90,20.00,20.50,21.50,23.30,26.20,28.90,31.30,33.80,36.50,38.00,42.70,49.70,62.00,67.30,70.70,75.60,79.50,84.10,88.80,91.90,96.10,100.70,104.60,106.50,107.20,106.10,107.90,109.10,108.50,109.10,121.60,122.60,126.90,133.80,..,..,..,..,..,..,..,284.90,298.20,314.27,282.48,271.81,309.36
Australia,Residential,Electricity (MWh),Total price (USD/unit),22.11,22.73,24.40,30.71,33.77,34.47,35.24,34.78,38.85,41.01,43.18,49.08,50.20,55.86,59.04,49.44,50.40,55.59,65.70,70.48,71.80,75.08,74.04,71.16,77.74,79.41,82.89,79.93,68.62,70.00,63.06,62.68,66.63,82.40,98.38,..,..,..,..,..,..,..,293.71,286.73,283.13,212.39,201.34,237.97
Australia,Residential,Electricity (MWh),Total price (USD/unit using PPP),29.26,28.99,28.87,28.29,28.41,30.47,31.41,32.95,35.21,37.63,38.78,43.13,47.79,56.88,60.63,62.02,63.53,64.11,64.69,65.78,67.08,71.19,75.71,79.85,81.92,81.83,80.99,82.37,83.92,83.46,83.28,91.43,91.49,93.31,98.38,..,..,..,..,..,..,..,185.00,205.66,216.74,192.16,182.42,203.53
Australia,Residential,Electricity (MWh),Total price (2010 USD/unit),179.52,169.89,164.26,157.92,148.34,144.80,140.96,135.96,135.95,134.48,127.14,130.49,136.39,154.65,161.46,158.90,155.83,150.97,148.95,146.26,141.04,142.94,148.29,151.36,151.13,145.40,140.24,142.31,142.66,139.81,134.57,143.67,140.65,141.72,145.99,..,..,..,..,..,..,..,248.65,254.02,261.21,231.31,219.75,245.33
Australia,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),130.45,123.46,119.36,114.76,107.80,105.22,102.43,98.80,98.79,97.72,92.39,94.83,99.11,112.38,117.33,115.47,113.23,109.71,108.24,106.28,102.49,103.87,107.76,109.99,109.82,105.66,101.91,103.41,103.67,101.59,97.79,104.40,102.20,102.98,106.09,..,..,..,..,..,..,..,180.68,184.59,189.81,168.08,159.68,178.27
Australia,Industry,Electricity (MWh),Total price (National currency/unit),13.30,13.20,13.20,14.10,15.70,17.90,19.80,21.50,23.40,25.30,27.00,31.10,36.80,45.60,46.40,48.70,50.00,52.20,53.70,56.20,58.90,60.60,62.40,62.00,62.00,81.70,80.60,76.40,75.30,78.10,78.00,93.50,98.78,91.41,91.08,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Industry,Electricity (MWh),Total price (USD/unit),14.78,15.00,15.71,20.14,22.75,23.55,24.15,23.89,26.90,28.43,30.68,35.75,37.17,41.08,40.70,34.06,33.33,36.50,41.95,44.60,46.02,47.34,45.88,42.18,45.26,60.52,62.97,56.59,47.36,50.39,45.09,48.20,53.68,59.36,66.97,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Industry,Electricity (MWh),Total price (USD/unit using PPP),19.56,19.13,18.59,18.55,19.15,20.81,21.52,22.63,24.38,26.08,27.55,31.41,35.38,41.83,41.80,42.72,42.02,42.10,41.31,41.63,42.99,44.89,46.92,47.33,47.69,62.37,61.53,58.32,57.92,60.08,59.54,70.30,73.72,67.21,66.97,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Industry,Electricity (MWh),Total price (2010 USD/unit),105.92,100.75,96.04,94.28,90.93,90.38,89.66,88.33,88.97,83.79,78.39,83.28,90.37,103.71,100.09,98.52,95.85,93.23,89.35,87.60,86.56,87.89,89.05,86.84,86.12,109.45,107.14,100.27,98.18,101.20,94.32,109.66,115.67,106.48,102.08,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),76.97,73.21,69.79,68.51,66.08,65.68,65.15,64.19,64.65,60.89,56.96,60.52,65.67,75.36,72.73,71.59,69.65,67.74,64.93,63.65,62.90,63.86,64.71,63.10,62.58,79.54,77.85,72.87,71.35,73.54,68.54,79.69,84.05,77.37,74.18,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,Residential,Electricity (MWh),Total price (National currency/unit),51.10,51.30,56.10,62.40,72.30,78.50,85.80,81.40,84.30,85.00,95.20,104.60,118.50,117.00,124.30,127.20,130.10,130.10,130.10,129.40,128.60,130.80,136.60,138.10,138.10,140.40,149.10,150.00,150.90,126.20,127.50,132.40,137.90,134.80,142.25,140.20,139.00,156.00,175.80,184.04,194.51,196.10,197.55,204.82,201.18,199.69,201.54,196.47
Austria,Residential,Electricity (MWh),Total price (USD/unit),27.18,28.34,33.39,43.94,53.16,61.81,66.00,67.83,79.53,87.63,101.28,90.17,95.56,89.31,85.72,84.80,117.21,141.41,144.56,134.79,154.94,153.88,170.75,162.47,166.39,192.33,193.64,168.54,167.67,134.26,116.97,118.21,130.09,151.46,175.62,173.09,173.75,213.70,258.53,255.61,255.93,272.36,253.27,273.10,268.25,221.88,223.93,220.75
Austria,Residential,Electricity (MWh),Total price (USD/unit using PPP),50.59,49.81,52.92,57.78,66.33,74.06,80.94,77.52,81.06,85.00,98.14,110.11,126.06,124.47,130.84,133.89,136.95,136.95,138.40,139.14,139.78,142.17,146.88,146.91,146.91,149.36,158.62,161.29,164.02,137.17,140.11,143.91,153.22,151.46,161.65,159.32,161.63,179.31,206.82,219.10,231.56,236.26,243.89,256.03,251.48,249.62,251.92,245.59
Austria,Residential,Electricity (MWh),Total price (2010 USD/unit),265.76,254.81,262.04,270.97,286.71,287.07,292.32,262.90,262.91,255.58,269.21,276.98,297.62,284.35,285.88,283.53,285.12,281.18,275.88,267.54,257.47,253.43,254.44,248.20,241.09,239.73,249.95,248.20,247.42,205.74,203.10,205.46,210.18,202.71,209.60,201.94,197.36,216.80,236.71,246.55,255.93,249.80,245.57,249.61,241.29,237.38,237.45,226.76
Austria,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),240.45,230.55,237.08,245.17,259.41,259.73,264.48,237.86,237.87,231.24,243.57,250.60,269.27,257.27,258.65,256.53,257.96,254.40,249.61,242.06,232.95,229.30,230.21,224.57,218.13,216.90,226.14,224.56,223.85,186.15,183.76,185.89,190.16,183.40,189.64,182.71,178.57,196.15,214.17,223.07,231.56,226.01,222.18,225.84,218.31,214.77,214.83,205.17
Austria,Industry,Electricity (MWh),Total price (National currency/unit),27.80,27.80,27.80,31.90,31.90,37.70,39.40,41.70,45.04,46.22,51.41,58.20,65.65,64.98,69.72,70.68,72.36,71.52,71.52,64.68,64.80,68.40,67.08,72.48,71.88,71.28,75.00,86.04,84.60,63.84,49.80,..,..,..,92.52,98.28,104.40,117.60,126.49,..,..,..,128.89,127.60,122.20,117.50,114.63,109.72
Austria,Industry,Electricity (MWh),Total price (USD/unit),14.79,15.36,16.55,22.46,23.46,29.69,30.31,34.75,42.49,47.65,54.69,50.17,52.95,49.60,48.08,47.12,65.19,77.74,79.47,67.38,78.07,80.47,83.85,85.27,86.60,97.64,97.40,96.67,94.00,67.91,45.69,..,..,..,114.22,121.33,130.50,161.10,186.01,..,..,..,165.24,170.14,162.94,130.55,127.37,123.28
Austria,Industry,Electricity (MWh),Total price (USD/unit using PPP),27.52,26.99,26.23,29.54,29.27,35.57,37.17,39.71,43.30,46.22,53.00,61.26,69.84,69.12,73.39,74.40,76.17,75.28,76.09,69.55,70.43,74.35,72.13,77.11,76.47,75.83,79.79,92.52,91.96,69.39,54.73,..,..,..,105.14,111.68,121.40,135.17,148.81,..,..,..,159.12,159.50,152.75,146.87,143.29,137.15
Austria,Industry,Electricity (MWh),Total price (2010 USD/unit),97.57,92.77,89.26,90.17,78.31,86.98,85.90,88.24,94.40,92.97,95.22,99.78,109.07,107.30,110.98,109.66,118.41,119.44,119.70,106.39,103.60,108.43,106.60,115.65,113.19,111.88,117.68,134.50,132.96,101.18,76.35,..,..,..,140.28,143.73,150.05,163.40,169.95,..,..,..,159.02,157.27,151.23,147.42,145.67,135.38
Austria,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),88.28,83.93,80.76,81.58,70.85,78.70,77.72,79.84,85.41,84.12,86.15,90.28,98.68,97.08,100.41,99.21,107.13,108.06,108.30,96.26,93.73,98.11,96.45,104.64,102.41,101.23,106.47,121.69,120.30,91.54,69.08,..,..,..,126.92,130.04,135.76,147.84,153.76,..,..,..,143.87,142.29,136.83,133.38,131.80,122.48
Azerbaijan,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.00,60.00,60.00,70.00,..
Azerbaijan,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.92,76.92,58.82,43.75,..
Azerbaijan,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166.67,171.43,187.50,194.44,..
Azerbaijan,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.24,66.32,63.67,71.29,..
Azerbaijan,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.31,176.87,169.78,190.12,..
Azerbaijan,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Industry,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Industry,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Industry,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Industry,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Residential,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Residential,Electricity (MWh),Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Residential,Electricity (MWh),Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Residential,Electricity (MWh),Total price (2010 USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Residential,Electricity (MWh),Total price (2010 USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Industry,Electricity (MWh),Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
