,Nation,iso_code3,Year,fuelefficiency_trns_public_hydrogen_km_per_litre
47,Africa Eastern and Southern,AFE,2042,0.5602
48,Africa Eastern and Southern,AFE,2043,0.5602
49,Africa Eastern and Southern,AFE,2044,0.5602
50,Africa Eastern and Southern,AFE,2045,0.5602
51,Africa Eastern and Southern,AFE,2046,0.5602
52,Africa Eastern and Southern,AFE,2047,0.5602
53,Africa Eastern and Southern,AFE,2048,0.5602
54,Africa Eastern and Southern,AFE,2049,0.5602
55,Africa Eastern and Southern,AFE,2050,0.5602
56,Afghanistan,AFG,2023,0.5602
57,Afghanistan,AFG,2024,0.5602
58,Afghanistan,AFG,2025,0.5602
59,Afghanistan,AFG,2026,0.5602
60,Afghanistan,AFG,2027,0.5602
61,Afghanistan,AFG,2028,0.5602
62,Afghanistan,AFG,2029,0.5602
63,Afghanistan,AFG,2030,0.5602
64,Afghanistan,AFG,2031,0.5602
65,Afghanistan,AFG,2032,0.5602
66,Afghanistan,AFG,2033,0.5602
67,Afghanistan,AFG,2034,0.5602
68,Afghanistan,AFG,2035,0.5602
69,Afghanistan,AFG,2036,0.5602
70,Afghanistan,AFG,2037,0.5602
71,Afghanistan,AFG,2038,0.5602
72,Afghanistan,AFG,2039,0.5602
73,Afghanistan,AFG,2040,0.5602
74,Afghanistan,AFG,2041,0.5602
75,Afghanistan,AFG,2042,0.5602
76,Afghanistan,AFG,2043,0.5602
77,Afghanistan,AFG,2044,0.5602
78,Afghanistan,AFG,2045,0.5602
79,Afghanistan,AFG,2046,0.5602
80,Afghanistan,AFG,2047,0.5602
81,Afghanistan,AFG,2048,0.5602
82,Afghanistan,AFG,2049,0.5602
83,Afghanistan,AFG,2050,0.5602
84,Africa Western and Central,AFW,2023,0.5602
85,Africa Western and Central,AFW,2024,0.5602
86,Africa Western and Central,AFW,2025,0.5602
87,Africa Western and Central,AFW,2026,0.5602
88,Africa Western and Central,AFW,2027,0.5602
89,Africa Western and Central,AFW,2028,0.5602
90,Africa Western and Central,AFW,2029,0.5602
91,Africa Western and Central,AFW,2030,0.5602
92,Africa Western and Central,AFW,2031,0.5602
93,Africa Western and Central,AFW,2032,0.5602
94,Africa Western and Central,AFW,2033,0.5602
95,Africa Western and Central,AFW,2034,0.5602
96,Africa Western and Central,AFW,2035,0.5602
97,Africa Western and Central,AFW,2036,0.5602
98,Africa Western and Central,AFW,2037,0.5602
99,Africa Western and Central,AFW,2038,0.5602
100,Africa Western and Central,AFW,2039,0.5602
101,Africa Western and Central,AFW,2040,0.5602
102,Africa Western and Central,AFW,2041,0.5602
103,Africa Western and Central,AFW,2042,0.5602
104,Africa Western and Central,AFW,2043,0.5602
105,Africa Western and Central,AFW,2044,0.5602
106,Africa Western and Central,AFW,2045,0.5602
107,Africa Western and Central,AFW,2046,0.5602
108,Africa Western and Central,AFW,2047,0.5602
109,Africa Western and Central,AFW,2048,0.5602
110,Africa Western and Central,AFW,2049,0.5602
111,Africa Western and Central,AFW,2050,0.5602
112,Angola,AGO,2023,0.5602
113,Angola,AGO,2024,0.5602
114,Angola,AGO,2025,0.5602
115,Angola,AGO,2026,0.5602
116,Angola,AGO,2027,0.5602
117,Angola,AGO,2028,0.5602
118,Angola,AGO,2029,0.5602
119,Angola,AGO,2030,0.5602
120,Angola,AGO,2031,0.5602
121,Angola,AGO,2032,0.5602
122,Angola,AGO,2033,0.5602
123,Angola,AGO,2034,0.5602
124,Angola,AGO,2035,0.5602
125,Angola,AGO,2036,0.5602
126,Angola,AGO,2037,0.5602
127,Angola,AGO,2038,0.5602
128,Angola,AGO,2039,0.5602
129,Angola,AGO,2040,0.5602
130,Angola,AGO,2041,0.5602
131,Angola,AGO,2042,0.5602
132,Angola,AGO,2043,0.5602
133,Angola,AGO,2044,0.5602
134,Angola,AGO,2045,0.5602
135,Angola,AGO,2046,0.5602
136,Angola,AGO,2047,0.5602
137,Angola,AGO,2048,0.5602
138,Angola,AGO,2049,0.5602
139,Angola,AGO,2050,0.5602
140,Albania,ALB,2023,0.5602
141,Albania,ALB,2024,0.5602
142,Albania,ALB,2025,0.5602
143,Albania,ALB,2026,0.5602
144,Albania,ALB,2027,0.5602
145,Albania,ALB,2028,0.5602
146,Albania,ALB,2029,0.5602
147,Albania,ALB,2030,0.5602
148,Albania,ALB,2031,0.5602
149,Albania,ALB,2032,0.5602
150,Albania,ALB,2033,0.5602
151,Albania,ALB,2034,0.5602
152,Albania,ALB,2035,0.5602
153,Albania,ALB,2036,0.5602
154,Albania,ALB,2037,0.5602
155,Albania,ALB,2038,0.5602
156,Albania,ALB,2039,0.5602
157,Albania,ALB,2040,0.5602
158,Albania,ALB,2041,0.5602
159,Albania,ALB,2042,0.5602
160,Albania,ALB,2043,0.5602
161,Albania,ALB,2044,0.5602
162,Albania,ALB,2045,0.5602
163,Albania,ALB,2046,0.5602
164,Albania,ALB,2047,0.5602
165,Albania,ALB,2048,0.5602
166,Albania,ALB,2049,0.5602
167,Albania,ALB,2050,0.5602
168,Andorra,AND,2023,0.5602
169,Andorra,AND,2024,0.5602
170,Andorra,AND,2025,0.5602
171,Andorra,AND,2026,0.5602
172,Andorra,AND,2027,0.5602
173,Andorra,AND,2028,0.5602
174,Andorra,AND,2029,0.5602
175,Andorra,AND,2030,0.5602
176,Andorra,AND,2031,0.5602
177,Andorra,AND,2032,0.5602
178,Andorra,AND,2033,0.5602
179,Andorra,AND,2034,0.5602
180,Andorra,AND,2035,0.5602
181,Andorra,AND,2036,0.5602
182,Andorra,AND,2037,0.5602
183,Andorra,AND,2038,0.5602
184,Andorra,AND,2039,0.5602
185,Andorra,AND,2040,0.5602
186,Andorra,AND,2041,0.5602
187,Andorra,AND,2042,0.5602
188,Andorra,AND,2043,0.5602
189,Andorra,AND,2044,0.5602
190,Andorra,AND,2045,0.5602
191,Andorra,AND,2046,0.5602
192,Andorra,AND,2047,0.5602
193,Andorra,AND,2048,0.5602
194,Andorra,AND,2049,0.5602
195,Andorra,AND,2050,0.5602
196,Arab World,ARB,2023,0.5602
197,Arab World,ARB,2024,0.5602
198,Arab World,ARB,2025,0.5602
199,Arab World,ARB,2026,0.5602
200,Arab World,ARB,2027,0.5602
201,Arab World,ARB,2028,0.5602
202,Arab World,ARB,2029,0.5602
203,Arab World,ARB,2030,0.5602
204,Arab World,ARB,2031,0.5602
205,Arab World,ARB,2032,0.5602
206,Arab World,ARB,2033,0.5602
207,Arab World,ARB,2034,0.5602
208,Arab World,ARB,2035,0.5602
209,Arab World,ARB,2036,0.5602
210,Arab World,ARB,2037,0.5602
211,Arab World,ARB,2038,0.5602
212,Arab World,ARB,2039,0.5602
213,Arab World,ARB,2040,0.5602
214,Arab World,ARB,2041,0.5602
215,Arab World,ARB,2042,0.5602
216,Arab World,ARB,2043,0.5602
217,Arab World,ARB,2044,0.5602
218,Arab World,ARB,2045,0.5602
219,Arab World,ARB,2046,0.5602
220,Arab World,ARB,2047,0.5602
221,Arab World,ARB,2048,0.5602
222,Arab World,ARB,2049,0.5602
223,Arab World,ARB,2050,0.5602
224,United Arab Emirates,ARE,2023,0.5602
225,United Arab Emirates,ARE,2024,0.5602
226,United Arab Emirates,ARE,2025,0.5602
227,United Arab Emirates,ARE,2026,0.5602
228,United Arab Emirates,ARE,2027,0.5602
229,United Arab Emirates,ARE,2028,0.5602
230,United Arab Emirates,ARE,2029,0.5602
231,United Arab Emirates,ARE,2030,0.5602
232,United Arab Emirates,ARE,2031,0.5602
233,United Arab Emirates,ARE,2032,0.5602
234,United Arab Emirates,ARE,2033,0.5602
235,United Arab Emirates,ARE,2034,0.5602
236,United Arab Emirates,ARE,2035,0.5602
237,United Arab Emirates,ARE,2036,0.5602
238,United Arab Emirates,ARE,2037,0.5602
239,United Arab Emirates,ARE,2038,0.5602
240,United Arab Emirates,ARE,2039,0.5602
241,United Arab Emirates,ARE,2040,0.5602
242,United Arab Emirates,ARE,2041,0.5602
243,United Arab Emirates,ARE,2042,0.5602
244,United Arab Emirates,ARE,2043,0.5602
245,United Arab Emirates,ARE,2044,0.5602
246,United Arab Emirates,ARE,2045,0.5602
247,United Arab Emirates,ARE,2046,0.5602
248,United Arab Emirates,ARE,2047,0.5602
249,United Arab Emirates,ARE,2048,0.5602
250,United Arab Emirates,ARE,2049,0.5602
251,United Arab Emirates,ARE,2050,0.5602
252,Argentina,ARG,2023,0.5602
253,Argentina,ARG,2024,0.5602
254,Argentina,ARG,2025,0.5602
255,Argentina,ARG,2026,0.5602
256,Argentina,ARG,2027,0.5602
257,Argentina,ARG,2028,0.5602
258,Argentina,ARG,2029,0.5602
259,Argentina,ARG,2030,0.5602
260,Argentina,ARG,2031,0.5602
261,Argentina,ARG,2032,0.5602
262,Argentina,ARG,2033,0.5602
263,Argentina,ARG,2034,0.5602
264,Argentina,ARG,2035,0.5602
265,Argentina,ARG,2036,0.5602
266,Argentina,ARG,2037,0.5602
267,Argentina,ARG,2038,0.5602
268,Argentina,ARG,2039,0.5602
269,Argentina,ARG,2040,0.5602
270,Argentina,ARG,2041,0.5602
271,Argentina,ARG,2042,0.5602
272,Argentina,ARG,2043,0.5602
273,Argentina,ARG,2044,0.5602
274,Argentina,ARG,2045,0.5602
275,Argentina,ARG,2046,0.5602
276,Argentina,ARG,2047,0.5602
277,Argentina,ARG,2048,0.5602
278,Argentina,ARG,2049,0.5602
279,Argentina,ARG,2050,0.5602
280,Armenia,ARM,2023,0.5602
281,Armenia,ARM,2024,0.5602
282,Armenia,ARM,2025,0.5602
283,Armenia,ARM,2026,0.5602
284,Armenia,ARM,2027,0.5602
285,Armenia,ARM,2028,0.5602
286,Armenia,ARM,2029,0.5602
287,Armenia,ARM,2030,0.5602
288,Armenia,ARM,2031,0.5602
289,Armenia,ARM,2032,0.5602
290,Armenia,ARM,2033,0.5602
291,Armenia,ARM,2034,0.5602
292,Armenia,ARM,2035,0.5602
293,Armenia,ARM,2036,0.5602
294,Armenia,ARM,2037,0.5602
295,Armenia,ARM,2038,0.5602
296,Armenia,ARM,2039,0.5602
297,Armenia,ARM,2040,0.5602
298,Armenia,ARM,2041,0.5602
299,Armenia,ARM,2042,0.5602
300,Armenia,ARM,2043,0.5602
301,Armenia,ARM,2044,0.5602
302,Armenia,ARM,2045,0.5602
303,Armenia,ARM,2046,0.5602
304,Armenia,ARM,2047,0.5602
305,Armenia,ARM,2048,0.5602
306,Armenia,ARM,2049,0.5602
307,Armenia,ARM,2050,0.5602
308,American Samoa,ASM,2023,0.5602
309,American Samoa,ASM,2024,0.5602
310,American Samoa,ASM,2025,0.5602
311,American Samoa,ASM,2026,0.5602
312,American Samoa,ASM,2027,0.5602
313,American Samoa,ASM,2028,0.5602
314,American Samoa,ASM,2029,0.5602
315,American Samoa,ASM,2030,0.5602
316,American Samoa,ASM,2031,0.5602
317,American Samoa,ASM,2032,0.5602
318,American Samoa,ASM,2033,0.5602
319,American Samoa,ASM,2034,0.5602
320,American Samoa,ASM,2035,0.5602
321,American Samoa,ASM,2036,0.5602
322,American Samoa,ASM,2037,0.5602
323,American Samoa,ASM,2038,0.5602
324,American Samoa,ASM,2039,0.5602
325,American Samoa,ASM,2040,0.5602
326,American Samoa,ASM,2041,0.5602
327,American Samoa,ASM,2042,0.5602
328,American Samoa,ASM,2043,0.5602
329,American Samoa,ASM,2044,0.5602
330,American Samoa,ASM,2045,0.5602
331,American Samoa,ASM,2046,0.5602
332,American Samoa,ASM,2047,0.5602
333,American Samoa,ASM,2048,0.5602
334,American Samoa,ASM,2049,0.5602
335,American Samoa,ASM,2050,0.5602
336,Antigua and Barbuda,ATG,2023,0.5602
337,Antigua and Barbuda,ATG,2024,0.5602
338,Antigua and Barbuda,ATG,2025,0.5602
339,Antigua and Barbuda,ATG,2026,0.5602
340,Antigua and Barbuda,ATG,2027,0.5602
341,Antigua and Barbuda,ATG,2028,0.5602
342,Antigua and Barbuda,ATG,2029,0.5602
343,Antigua and Barbuda,ATG,2030,0.5602
344,Antigua and Barbuda,ATG,2031,0.5602
345,Antigua and Barbuda,ATG,2032,0.5602
346,Antigua and Barbuda,ATG,2033,0.5602
347,Antigua and Barbuda,ATG,2034,0.5602
348,Antigua and Barbuda,ATG,2035,0.5602
349,Antigua and Barbuda,ATG,2036,0.5602
350,Antigua and Barbuda,ATG,2037,0.5602
351,Antigua and Barbuda,ATG,2038,0.5602
352,Antigua and Barbuda,ATG,2039,0.5602
353,Antigua and Barbuda,ATG,2040,0.5602
354,Antigua and Barbuda,ATG,2041,0.5602
355,Antigua and Barbuda,ATG,2042,0.5602
356,Antigua and Barbuda,ATG,2043,0.5602
357,Antigua and Barbuda,ATG,2044,0.5602
358,Antigua and Barbuda,ATG,2045,0.5602
359,Antigua and Barbuda,ATG,2046,0.5602
360,Antigua and Barbuda,ATG,2047,0.5602
361,Antigua and Barbuda,ATG,2048,0.5602
362,Antigua and Barbuda,ATG,2049,0.5602
363,Antigua and Barbuda,ATG,2050,0.5602
364,Australia,AUS,2023,0.5602
365,Australia,AUS,2024,0.5602
366,Australia,AUS,2025,0.5602
367,Australia,AUS,2026,0.5602
368,Australia,AUS,2027,0.5602
369,Australia,AUS,2028,0.5602
370,Australia,AUS,2029,0.5602
371,Australia,AUS,2030,0.5602
372,Australia,AUS,2031,0.5602
373,Australia,AUS,2032,0.5602
374,Australia,AUS,2033,0.5602
375,Australia,AUS,2034,0.5602
376,Australia,AUS,2035,0.5602
377,Australia,AUS,2036,0.5602
378,Australia,AUS,2037,0.5602
379,Australia,AUS,2038,0.5602
380,Australia,AUS,2039,0.5602
381,Australia,AUS,2040,0.5602
382,Australia,AUS,2041,0.5602
383,Australia,AUS,2042,0.5602
384,Australia,AUS,2043,0.5602
385,Australia,AUS,2044,0.5602
386,Australia,AUS,2045,0.5602
387,Australia,AUS,2046,0.5602
388,Australia,AUS,2047,0.5602
389,Australia,AUS,2048,0.5602
390,Australia,AUS,2049,0.5602
391,Australia,AUS,2050,0.5602
392,Austria,AUT,2023,0.5602
393,Austria,AUT,2024,0.5602
394,Austria,AUT,2025,0.5602
395,Austria,AUT,2026,0.5602
396,Austria,AUT,2027,0.5602
397,Austria,AUT,2028,0.5602
398,Austria,AUT,2029,0.5602
399,Austria,AUT,2030,0.5602
400,Austria,AUT,2031,0.5602
401,Austria,AUT,2032,0.5602
402,Austria,AUT,2033,0.5602
403,Austria,AUT,2034,0.5602
404,Austria,AUT,2035,0.5602
405,Austria,AUT,2036,0.5602
406,Austria,AUT,2037,0.5602
407,Austria,AUT,2038,0.5602
408,Austria,AUT,2039,0.5602
409,Austria,AUT,2040,0.5602
410,Austria,AUT,2041,0.5602
411,Austria,AUT,2042,0.5602
412,Austria,AUT,2043,0.5602
413,Austria,AUT,2044,0.5602
414,Austria,AUT,2045,0.5602
415,Austria,AUT,2046,0.5602
416,Austria,AUT,2047,0.5602
417,Austria,AUT,2048,0.5602
418,Austria,AUT,2049,0.5602
419,Austria,AUT,2050,0.5602
420,Azerbaijan,AZE,2023,0.5602
421,Azerbaijan,AZE,2024,0.5602
422,Azerbaijan,AZE,2025,0.5602
423,Azerbaijan,AZE,2026,0.5602
424,Azerbaijan,AZE,2027,0.5602
425,Azerbaijan,AZE,2028,0.5602
426,Azerbaijan,AZE,2029,0.5602
427,Azerbaijan,AZE,2030,0.5602
428,Azerbaijan,AZE,2031,0.5602
429,Azerbaijan,AZE,2032,0.5602
430,Azerbaijan,AZE,2033,0.5602
431,Azerbaijan,AZE,2034,0.5602
432,Azerbaijan,AZE,2035,0.5602
433,Azerbaijan,AZE,2036,0.5602
434,Azerbaijan,AZE,2037,0.5602
435,Azerbaijan,AZE,2038,0.5602
436,Azerbaijan,AZE,2039,0.5602
437,Azerbaijan,AZE,2040,0.5602
438,Azerbaijan,AZE,2041,0.5602
439,Azerbaijan,AZE,2042,0.5602
440,Azerbaijan,AZE,2043,0.5602
441,Azerbaijan,AZE,2044,0.5602
442,Azerbaijan,AZE,2045,0.5602
443,Azerbaijan,AZE,2046,0.5602
444,Azerbaijan,AZE,2047,0.5602
445,Azerbaijan,AZE,2048,0.5602
446,Azerbaijan,AZE,2049,0.5602
447,Azerbaijan,AZE,2050,0.5602
448,Burundi,BDI,2023,0.5602
449,Burundi,BDI,2024,0.5602
450,Burundi,BDI,2025,0.5602
451,Burundi,BDI,2026,0.5602
452,Burundi,BDI,2027,0.5602
453,Burundi,BDI,2028,0.5602
454,Burundi,BDI,2029,0.5602
455,Burundi,BDI,2030,0.5602
456,Burundi,BDI,2031,0.5602
457,Burundi,BDI,2032,0.5602
458,Burundi,BDI,2033,0.5602
459,Burundi,BDI,2034,0.5602
460,Burundi,BDI,2035,0.5602
461,Burundi,BDI,2036,0.5602
462,Burundi,BDI,2037,0.5602
463,Burundi,BDI,2038,0.5602
464,Burundi,BDI,2039,0.5602
465,Burundi,BDI,2040,0.5602
466,Burundi,BDI,2041,0.5602
467,Burundi,BDI,2042,0.5602
468,Burundi,BDI,2043,0.5602
469,Burundi,BDI,2044,0.5602
470,Burundi,BDI,2045,0.5602
471,Burundi,BDI,2046,0.5602
472,Burundi,BDI,2047,0.5602
473,Burundi,BDI,2048,0.5602
474,Burundi,BDI,2049,0.5602
475,Burundi,BDI,2050,0.5602
476,Belgium,BEL,2023,0.5602
477,Belgium,BEL,2024,0.5602
478,Belgium,BEL,2025,0.5602
479,Belgium,BEL,2026,0.5602
480,Belgium,BEL,2027,0.5602
481,Belgium,BEL,2028,0.5602
482,Belgium,BEL,2029,0.5602
483,Belgium,BEL,2030,0.5602
484,Belgium,BEL,2031,0.5602
485,Belgium,BEL,2032,0.5602
486,Belgium,BEL,2033,0.5602
487,Belgium,BEL,2034,0.5602
488,Belgium,BEL,2035,0.5602
489,Belgium,BEL,2036,0.5602
490,Belgium,BEL,2037,0.5602
491,Belgium,BEL,2038,0.5602
492,Belgium,BEL,2039,0.5602
493,Belgium,BEL,2040,0.5602
494,Belgium,BEL,2041,0.5602
495,Belgium,BEL,2042,0.5602
496,Belgium,BEL,2043,0.5602
497,Belgium,BEL,2044,0.5602
498,Belgium,BEL,2045,0.5602
499,Belgium,BEL,2046,0.5602
500,Belgium,BEL,2047,0.5602
501,Belgium,BEL,2048,0.5602
502,Belgium,BEL,2049,0.5602
503,Belgium,BEL,2050,0.5602
504,Benin,BEN,2023,0.5602
505,Benin,BEN,2024,0.5602
506,Benin,BEN,2025,0.5602
507,Benin,BEN,2026,0.5602
508,Benin,BEN,2027,0.5602
509,Benin,BEN,2028,0.5602
510,Benin,BEN,2029,0.5602
511,Benin,BEN,2030,0.5602
512,Benin,BEN,2031,0.5602
513,Benin,BEN,2032,0.5602
514,Benin,BEN,2033,0.5602
515,Benin,BEN,2034,0.5602
516,Benin,BEN,2035,0.5602
517,Benin,BEN,2036,0.5602
518,Benin,BEN,2037,0.5602
519,Benin,BEN,2038,0.5602
520,Benin,BEN,2039,0.5602
521,Benin,BEN,2040,0.5602
522,Benin,BEN,2041,0.5602
523,Benin,BEN,2042,0.5602
524,Benin,BEN,2043,0.5602
525,Benin,BEN,2044,0.5602
526,Benin,BEN,2045,0.5602
527,Benin,BEN,2046,0.5602
528,Benin,BEN,2047,0.5602
529,Benin,BEN,2048,0.5602
530,Benin,BEN,2049,0.5602
531,Benin,BEN,2050,0.5602
532,Burkina Faso,BFA,2023,0.5602
533,Burkina Faso,BFA,2024,0.5602
534,Burkina Faso,BFA,2025,0.5602
535,Burkina Faso,BFA,2026,0.5602
536,Burkina Faso,BFA,2027,0.5602
537,Burkina Faso,BFA,2028,0.5602
538,Burkina Faso,BFA,2029,0.5602
539,Burkina Faso,BFA,2030,0.5602
540,Burkina Faso,BFA,2031,0.5602
541,Burkina Faso,BFA,2032,0.5602
542,Burkina Faso,BFA,2033,0.5602
543,Burkina Faso,BFA,2034,0.5602
544,Burkina Faso,BFA,2035,0.5602
545,Burkina Faso,BFA,2036,0.5602
546,Burkina Faso,BFA,2037,0.5602
547,Burkina Faso,BFA,2038,0.5602
548,Burkina Faso,BFA,2039,0.5602
549,Burkina Faso,BFA,2040,0.5602
550,Burkina Faso,BFA,2041,0.5602
551,Burkina Faso,BFA,2042,0.5602
552,Burkina Faso,BFA,2043,0.5602
553,Burkina Faso,BFA,2044,0.5602
554,Burkina Faso,BFA,2045,0.5602
555,Burkina Faso,BFA,2046,0.5602
556,Burkina Faso,BFA,2047,0.5602
557,Burkina Faso,BFA,2048,0.5602
558,Burkina Faso,BFA,2049,0.5602
559,Burkina Faso,BFA,2050,0.5602
560,Bangladesh,BGD,2023,0.5602
561,Bangladesh,BGD,2024,0.5602
562,Bangladesh,BGD,2025,0.5602
563,Bangladesh,BGD,2026,0.5602
564,Bangladesh,BGD,2027,0.5602
565,Bangladesh,BGD,2028,0.5602
566,Bangladesh,BGD,2029,0.5602
567,Bangladesh,BGD,2030,0.5602
568,Bangladesh,BGD,2031,0.5602
569,Bangladesh,BGD,2032,0.5602
570,Bangladesh,BGD,2033,0.5602
571,Bangladesh,BGD,2034,0.5602
572,Bangladesh,BGD,2035,0.5602
573,Bangladesh,BGD,2036,0.5602
574,Bangladesh,BGD,2037,0.5602
575,Bangladesh,BGD,2038,0.5602
576,Bangladesh,BGD,2039,0.5602
577,Bangladesh,BGD,2040,0.5602
578,Bangladesh,BGD,2041,0.5602
579,Bangladesh,BGD,2042,0.5602
580,Bangladesh,BGD,2043,0.5602
581,Bangladesh,BGD,2044,0.5602
582,Bangladesh,BGD,2045,0.5602
583,Bangladesh,BGD,2046,0.5602
584,Bangladesh,BGD,2047,0.5602
585,Bangladesh,BGD,2048,0.5602
586,Bangladesh,BGD,2049,0.5602
587,Bangladesh,BGD,2050,0.5602
588,Bulgaria,BGR,2023,0.5602
589,Bulgaria,BGR,2024,0.5602
590,Bulgaria,BGR,2025,0.5602
591,Bulgaria,BGR,2026,0.5602
592,Bulgaria,BGR,2027,0.5602
593,Bulgaria,BGR,2028,0.5602
594,Bulgaria,BGR,2029,0.5602
595,Bulgaria,BGR,2030,0.5602
596,Bulgaria,BGR,2031,0.5602
597,Bulgaria,BGR,2032,0.5602
598,Bulgaria,BGR,2033,0.5602
599,Bulgaria,BGR,2034,0.5602
600,Bulgaria,BGR,2035,0.5602
601,Bulgaria,BGR,2036,0.5602
602,Bulgaria,BGR,2037,0.5602
603,Bulgaria,BGR,2038,0.5602
604,Bulgaria,BGR,2039,0.5602
605,Bulgaria,BGR,2040,0.5602
606,Bulgaria,BGR,2041,0.5602
607,Bulgaria,BGR,2042,0.5602
608,Bulgaria,BGR,2043,0.5602
609,Bulgaria,BGR,2044,0.5602
610,Bulgaria,BGR,2045,0.5602
611,Bulgaria,BGR,2046,0.5602
612,Bulgaria,BGR,2047,0.5602
613,Bulgaria,BGR,2048,0.5602
614,Bulgaria,BGR,2049,0.5602
615,Bulgaria,BGR,2050,0.5602
616,Bahrain,BHR,2023,0.5602
617,Bahrain,BHR,2024,0.5602
618,Bahrain,BHR,2025,0.5602
619,Bahrain,BHR,2026,0.5602
620,Bahrain,BHR,2027,0.5602
621,Bahrain,BHR,2028,0.5602
622,Bahrain,BHR,2029,0.5602
623,Bahrain,BHR,2030,0.5602
624,Bahrain,BHR,2031,0.5602
625,Bahrain,BHR,2032,0.5602
626,Bahrain,BHR,2033,0.5602
627,Bahrain,BHR,2034,0.5602
628,Bahrain,BHR,2035,0.5602
629,Bahrain,BHR,2036,0.5602
630,Bahrain,BHR,2037,0.5602
631,Bahrain,BHR,2038,0.5602
632,Bahrain,BHR,2039,0.5602
633,Bahrain,BHR,2040,0.5602
634,Bahrain,BHR,2041,0.5602
635,Bahrain,BHR,2042,0.5602
636,Bahrain,BHR,2043,0.5602
637,Bahrain,BHR,2044,0.5602
638,Bahrain,BHR,2045,0.5602
639,Bahrain,BHR,2046,0.5602
640,Bahrain,BHR,2047,0.5602
641,Bahrain,BHR,2048,0.5602
642,Bahrain,BHR,2049,0.5602
643,Bahrain,BHR,2050,0.5602
644,"Bahamas, The",BHS,2023,0.5602
645,"Bahamas, The",BHS,2024,0.5602
646,"Bahamas, The",BHS,2025,0.5602
647,"Bahamas, The",BHS,2026,0.5602
648,"Bahamas, The",BHS,2027,0.5602
649,"Bahamas, The",BHS,2028,0.5602
650,"Bahamas, The",BHS,2029,0.5602
651,"Bahamas, The",BHS,2030,0.5602
652,"Bahamas, The",BHS,2031,0.5602
653,"Bahamas, The",BHS,2032,0.5602
654,"Bahamas, The",BHS,2033,0.5602
655,"Bahamas, The",BHS,2034,0.5602
656,"Bahamas, The",BHS,2035,0.5602
657,"Bahamas, The",BHS,2036,0.5602
658,"Bahamas, The",BHS,2037,0.5602
659,"Bahamas, The",BHS,2038,0.5602
660,"Bahamas, The",BHS,2039,0.5602
661,"Bahamas, The",BHS,2040,0.5602
662,"Bahamas, The",BHS,2041,0.5602
663,"Bahamas, The",BHS,2042,0.5602
664,"Bahamas, The",BHS,2043,0.5602
665,"Bahamas, The",BHS,2044,0.5602
666,"Bahamas, The",BHS,2045,0.5602
667,"Bahamas, The",BHS,2046,0.5602
668,"Bahamas, The",BHS,2047,0.5602
669,"Bahamas, The",BHS,2048,0.5602
670,"Bahamas, The",BHS,2049,0.5602
671,"Bahamas, The",BHS,2050,0.5602
672,Bosnia and Herzegovina,BIH,2023,0.5602
673,Bosnia and Herzegovina,BIH,2024,0.5602
674,Bosnia and Herzegovina,BIH,2025,0.5602
675,Bosnia and Herzegovina,BIH,2026,0.5602
676,Bosnia and Herzegovina,BIH,2027,0.5602
677,Bosnia and Herzegovina,BIH,2028,0.5602
678,Bosnia and Herzegovina,BIH,2029,0.5602
679,Bosnia and Herzegovina,BIH,2030,0.5602
