,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_aviation
99,Albania,ALB,2005,113.85
100,Albania,ALB,2006,114.60000000000001
101,Albania,ALB,2007,115.5
102,Andorra,AND,1991,85.19999999999999
103,Andorra,AND,1992,85.05000000000001
104,Andorra,AND,1993,86.85
105,Andorra,AND,1994,90.89999999999999
106,Andorra,AND,1995,91.95
107,Andorra,AND,1996,91.5
108,Andorra,AND,1997,94.95
109,Andorra,AND,1998,95.7
110,Andorra,AND,1999,93.3
111,Andorra,AND,2000,95.4
112,Andorra,AND,2001,93.0
113,Andorra,AND,2002,97.05
114,Andorra,AND,2003,97.05
115,Andorra,AND,2004,98.10000000000001
116,Andorra,AND,2005,113.85
117,Andorra,AND,2006,114.60000000000001
118,Andorra,AND,2007,115.5
119,Arab World,ARB,1991,85.19999999999999
120,Arab World,ARB,1992,85.05000000000001
121,Arab World,ARB,1993,86.85
122,Arab World,ARB,1994,90.89999999999999
123,Arab World,ARB,1995,91.95
124,Arab World,ARB,1996,91.5
125,Arab World,ARB,1997,94.95
126,Arab World,ARB,1998,95.7
127,Arab World,ARB,1999,93.3
128,Arab World,ARB,2000,95.4
129,Arab World,ARB,2001,93.0
130,Arab World,ARB,2002,97.05
131,Arab World,ARB,2003,97.05
132,Arab World,ARB,2004,98.10000000000001
133,Arab World,ARB,2005,113.85
134,Arab World,ARB,2006,114.60000000000001
135,Arab World,ARB,2007,115.5
136,United Arab Emirates,ARE,1991,85.19999999999999
137,United Arab Emirates,ARE,1992,85.05000000000001
138,United Arab Emirates,ARE,1993,86.85
139,United Arab Emirates,ARE,1994,90.89999999999999
140,United Arab Emirates,ARE,1995,91.95
141,United Arab Emirates,ARE,1996,91.5
142,United Arab Emirates,ARE,1997,94.95
143,United Arab Emirates,ARE,1998,95.7
144,United Arab Emirates,ARE,1999,93.3
145,United Arab Emirates,ARE,2000,95.4
146,United Arab Emirates,ARE,2001,93.0
147,United Arab Emirates,ARE,2002,97.05
148,United Arab Emirates,ARE,2003,97.05
149,United Arab Emirates,ARE,2004,98.10000000000001
150,United Arab Emirates,ARE,2005,113.85
151,United Arab Emirates,ARE,2006,114.60000000000001
152,United Arab Emirates,ARE,2007,115.5
153,Argentina,ARG,1991,85.19999999999999
154,Argentina,ARG,1992,85.05000000000001
155,Argentina,ARG,1993,86.85
156,Argentina,ARG,1994,90.89999999999999
157,Argentina,ARG,1995,91.95
158,Argentina,ARG,1996,91.5
159,Argentina,ARG,1997,94.95
160,Argentina,ARG,1998,95.7
161,Argentina,ARG,1999,93.3
162,Argentina,ARG,2000,95.4
163,Argentina,ARG,2001,93.0
164,Argentina,ARG,2002,97.05
165,Argentina,ARG,2003,97.05
166,Argentina,ARG,2004,98.10000000000001
167,Argentina,ARG,2005,113.85
168,Argentina,ARG,2006,114.60000000000001
169,Argentina,ARG,2007,115.5
170,Armenia,ARM,1991,85.19999999999999
171,Armenia,ARM,1992,85.05000000000001
172,Armenia,ARM,1993,86.85
173,Armenia,ARM,1994,90.89999999999999
174,Armenia,ARM,1995,91.95
175,Armenia,ARM,1996,91.5
176,Armenia,ARM,1997,94.95
177,Armenia,ARM,1998,95.7
178,Armenia,ARM,1999,93.3
179,Armenia,ARM,2000,95.4
180,Armenia,ARM,2001,93.0
181,Armenia,ARM,2002,97.05
182,Armenia,ARM,2003,97.05
183,Armenia,ARM,2004,98.10000000000001
184,Armenia,ARM,2005,113.85
185,Armenia,ARM,2006,114.60000000000001
186,Armenia,ARM,2007,115.5
187,American Samoa,ASM,1991,85.19999999999999
188,American Samoa,ASM,1992,85.05000000000001
189,American Samoa,ASM,1993,86.85
190,American Samoa,ASM,1994,90.89999999999999
191,American Samoa,ASM,1995,91.95
192,American Samoa,ASM,1996,91.5
193,American Samoa,ASM,1997,94.95
194,American Samoa,ASM,1998,95.7
195,American Samoa,ASM,1999,93.3
196,American Samoa,ASM,2000,95.4
197,American Samoa,ASM,2001,93.0
198,American Samoa,ASM,2002,97.05
199,American Samoa,ASM,2003,97.05
200,American Samoa,ASM,2004,98.10000000000001
201,American Samoa,ASM,2005,113.85
202,American Samoa,ASM,2006,114.60000000000001
203,American Samoa,ASM,2007,115.5
204,Antigua and Barbuda,ATG,1991,85.19999999999999
205,Antigua and Barbuda,ATG,1992,85.05000000000001
206,Antigua and Barbuda,ATG,1993,86.85
207,Antigua and Barbuda,ATG,1994,90.89999999999999
208,Antigua and Barbuda,ATG,1995,91.95
209,Antigua and Barbuda,ATG,1996,91.5
210,Antigua and Barbuda,ATG,1997,94.95
211,Antigua and Barbuda,ATG,1998,95.7
212,Antigua and Barbuda,ATG,1999,93.3
213,Antigua and Barbuda,ATG,2000,95.4
214,Antigua and Barbuda,ATG,2001,93.0
215,Antigua and Barbuda,ATG,2002,97.05
216,Antigua and Barbuda,ATG,2003,97.05
217,Antigua and Barbuda,ATG,2004,98.10000000000001
218,Antigua and Barbuda,ATG,2005,113.85
219,Antigua and Barbuda,ATG,2006,114.60000000000001
220,Antigua and Barbuda,ATG,2007,115.5
221,Australia,AUS,1991,85.19999999999999
222,Australia,AUS,1992,85.05000000000001
223,Australia,AUS,1993,86.85
224,Australia,AUS,1994,90.89999999999999
225,Australia,AUS,1995,91.95
226,Australia,AUS,1996,91.5
227,Australia,AUS,1997,94.95
228,Australia,AUS,1998,95.7
229,Australia,AUS,1999,93.3
230,Australia,AUS,2000,95.4
231,Australia,AUS,2001,93.0
232,Australia,AUS,2002,97.05
233,Australia,AUS,2003,97.05
234,Australia,AUS,2004,98.10000000000001
235,Australia,AUS,2005,113.85
236,Australia,AUS,2006,114.60000000000001
237,Australia,AUS,2007,115.5
238,Austria,AUT,1991,85.19999999999999
239,Austria,AUT,1992,85.05000000000001
240,Austria,AUT,1993,86.85
241,Austria,AUT,1994,90.89999999999999
242,Austria,AUT,1995,91.95
243,Austria,AUT,1996,91.5
244,Austria,AUT,1997,94.95
245,Austria,AUT,1998,95.7
246,Austria,AUT,1999,93.3
247,Austria,AUT,2000,95.4
248,Austria,AUT,2001,93.0
249,Austria,AUT,2002,97.05
250,Austria,AUT,2003,97.05
251,Austria,AUT,2004,98.10000000000001
252,Austria,AUT,2005,113.85
253,Austria,AUT,2006,114.60000000000001
254,Austria,AUT,2007,115.5
255,Azerbaijan,AZE,1991,85.19999999999999
256,Azerbaijan,AZE,1992,85.05000000000001
257,Azerbaijan,AZE,1993,86.85
258,Azerbaijan,AZE,1994,90.89999999999999
259,Azerbaijan,AZE,1995,91.95
260,Azerbaijan,AZE,1996,91.5
261,Azerbaijan,AZE,1997,94.95
262,Azerbaijan,AZE,1998,95.7
263,Azerbaijan,AZE,1999,93.3
264,Azerbaijan,AZE,2000,95.4
265,Azerbaijan,AZE,2001,93.0
266,Azerbaijan,AZE,2002,97.05
267,Azerbaijan,AZE,2003,97.05
268,Azerbaijan,AZE,2004,98.10000000000001
269,Azerbaijan,AZE,2005,113.85
270,Azerbaijan,AZE,2006,114.60000000000001
271,Azerbaijan,AZE,2007,115.5
272,Burundi,BDI,1991,85.19999999999999
273,Burundi,BDI,1992,85.05000000000001
274,Burundi,BDI,1993,86.85
275,Burundi,BDI,1994,90.89999999999999
276,Burundi,BDI,1995,91.95
277,Burundi,BDI,1996,91.5
278,Burundi,BDI,1997,94.95
279,Burundi,BDI,1998,95.7
280,Burundi,BDI,1999,93.3
281,Burundi,BDI,2000,95.4
282,Burundi,BDI,2001,93.0
283,Burundi,BDI,2002,97.05
284,Burundi,BDI,2003,97.05
285,Burundi,BDI,2004,98.10000000000001
286,Burundi,BDI,2005,113.85
287,Burundi,BDI,2006,114.60000000000001
288,Burundi,BDI,2007,115.5
289,Belgium,BEL,1991,85.19999999999999
290,Belgium,BEL,1992,85.05000000000001
291,Belgium,BEL,1993,86.85
292,Belgium,BEL,1994,90.89999999999999
293,Belgium,BEL,1995,91.95
294,Belgium,BEL,1996,91.5
295,Belgium,BEL,1997,94.95
296,Belgium,BEL,1998,95.7
297,Belgium,BEL,1999,93.3
298,Belgium,BEL,2000,95.4
299,Belgium,BEL,2001,93.0
300,Belgium,BEL,2002,97.05
301,Belgium,BEL,2003,97.05
302,Belgium,BEL,2004,98.10000000000001
303,Belgium,BEL,2005,113.85
304,Belgium,BEL,2006,114.60000000000001
305,Belgium,BEL,2007,115.5
306,Benin,BEN,1991,85.19999999999999
307,Benin,BEN,1992,85.05000000000001
308,Benin,BEN,1993,86.85
309,Benin,BEN,1994,90.89999999999999
310,Benin,BEN,1995,91.95
311,Benin,BEN,1996,91.5
312,Benin,BEN,1997,94.95
313,Benin,BEN,1998,95.7
314,Benin,BEN,1999,93.3
315,Benin,BEN,2000,95.4
316,Benin,BEN,2001,93.0
317,Benin,BEN,2002,97.05
318,Benin,BEN,2003,97.05
319,Benin,BEN,2004,98.10000000000001
320,Benin,BEN,2005,113.85
321,Benin,BEN,2006,114.60000000000001
322,Benin,BEN,2007,115.5
323,Burkina Faso,BFA,1991,85.19999999999999
324,Burkina Faso,BFA,1992,85.05000000000001
325,Burkina Faso,BFA,1993,86.85
326,Burkina Faso,BFA,1994,90.89999999999999
327,Burkina Faso,BFA,1995,91.95
328,Burkina Faso,BFA,1996,91.5
329,Burkina Faso,BFA,1997,94.95
330,Burkina Faso,BFA,1998,95.7
331,Burkina Faso,BFA,1999,93.3
332,Burkina Faso,BFA,2000,95.4
333,Burkina Faso,BFA,2001,93.0
334,Burkina Faso,BFA,2002,97.05
335,Burkina Faso,BFA,2003,97.05
336,Burkina Faso,BFA,2004,98.10000000000001
337,Burkina Faso,BFA,2005,113.85
338,Burkina Faso,BFA,2006,114.60000000000001
339,Burkina Faso,BFA,2007,115.5
340,Bangladesh,BGD,1991,85.19999999999999
341,Bangladesh,BGD,1992,85.05000000000001
342,Bangladesh,BGD,1993,86.85
343,Bangladesh,BGD,1994,90.89999999999999
344,Bangladesh,BGD,1995,91.95
345,Bangladesh,BGD,1996,91.5
346,Bangladesh,BGD,1997,94.95
347,Bangladesh,BGD,1998,95.7
348,Bangladesh,BGD,1999,93.3
349,Bangladesh,BGD,2000,95.4
350,Bangladesh,BGD,2001,93.0
351,Bangladesh,BGD,2002,97.05
352,Bangladesh,BGD,2003,97.05
353,Bangladesh,BGD,2004,98.10000000000001
354,Bangladesh,BGD,2005,113.85
355,Bangladesh,BGD,2006,114.60000000000001
356,Bangladesh,BGD,2007,115.5
357,Bulgaria,BGR,1991,85.19999999999999
358,Bulgaria,BGR,1992,85.05000000000001
359,Bulgaria,BGR,1993,86.85
360,Bulgaria,BGR,1994,90.89999999999999
361,Bulgaria,BGR,1995,91.95
362,Bulgaria,BGR,1996,91.5
363,Bulgaria,BGR,1997,94.95
364,Bulgaria,BGR,1998,95.7
365,Bulgaria,BGR,1999,93.3
366,Bulgaria,BGR,2000,95.4
367,Bulgaria,BGR,2001,93.0
368,Bulgaria,BGR,2002,97.05
369,Bulgaria,BGR,2003,97.05
370,Bulgaria,BGR,2004,98.10000000000001
371,Bulgaria,BGR,2005,113.85
372,Bulgaria,BGR,2006,114.60000000000001
373,Bulgaria,BGR,2007,115.5
374,Bahrain,BHR,1991,85.19999999999999
375,Bahrain,BHR,1992,85.05000000000001
376,Bahrain,BHR,1993,86.85
377,Bahrain,BHR,1994,90.89999999999999
378,Bahrain,BHR,1995,91.95
379,Bahrain,BHR,1996,91.5
380,Bahrain,BHR,1997,94.95
381,Bahrain,BHR,1998,95.7
382,Bahrain,BHR,1999,93.3
383,Bahrain,BHR,2000,95.4
384,Bahrain,BHR,2001,93.0
385,Bahrain,BHR,2002,97.05
386,Bahrain,BHR,2003,97.05
387,Bahrain,BHR,2004,98.10000000000001
388,Bahrain,BHR,2005,113.85
389,Bahrain,BHR,2006,114.60000000000001
390,Bahrain,BHR,2007,115.5
391,"Bahamas, The",BHS,1991,85.19999999999999
392,"Bahamas, The",BHS,1992,85.05000000000001
393,"Bahamas, The",BHS,1993,86.85
394,"Bahamas, The",BHS,1994,90.89999999999999
395,"Bahamas, The",BHS,1995,91.95
396,"Bahamas, The",BHS,1996,91.5
397,"Bahamas, The",BHS,1997,94.95
398,"Bahamas, The",BHS,1998,95.7
399,"Bahamas, The",BHS,1999,93.3
400,"Bahamas, The",BHS,2000,95.4
401,"Bahamas, The",BHS,2001,93.0
402,"Bahamas, The",BHS,2002,97.05
403,"Bahamas, The",BHS,2003,97.05
404,"Bahamas, The",BHS,2004,98.10000000000001
405,"Bahamas, The",BHS,2005,113.85
406,"Bahamas, The",BHS,2006,114.60000000000001
407,"Bahamas, The",BHS,2007,115.5
408,Bosnia and Herzegovina,BIH,1991,85.19999999999999
409,Bosnia and Herzegovina,BIH,1992,85.05000000000001
410,Bosnia and Herzegovina,BIH,1993,86.85
411,Bosnia and Herzegovina,BIH,1994,90.89999999999999
412,Bosnia and Herzegovina,BIH,1995,91.95
413,Bosnia and Herzegovina,BIH,1996,91.5
414,Bosnia and Herzegovina,BIH,1997,94.95
415,Bosnia and Herzegovina,BIH,1998,95.7
416,Bosnia and Herzegovina,BIH,1999,93.3
417,Bosnia and Herzegovina,BIH,2000,95.4
418,Bosnia and Herzegovina,BIH,2001,93.0
419,Bosnia and Herzegovina,BIH,2002,97.05
420,Bosnia and Herzegovina,BIH,2003,97.05
421,Bosnia and Herzegovina,BIH,2004,98.10000000000001
422,Bosnia and Herzegovina,BIH,2005,113.85
423,Bosnia and Herzegovina,BIH,2006,114.60000000000001
424,Bosnia and Herzegovina,BIH,2007,115.5
425,Belarus,BLR,1991,85.19999999999999
426,Belarus,BLR,1992,85.05000000000001
427,Belarus,BLR,1993,86.85
428,Belarus,BLR,1994,90.89999999999999
429,Belarus,BLR,1995,91.95
430,Belarus,BLR,1996,91.5
431,Belarus,BLR,1997,94.95
432,Belarus,BLR,1998,95.7
433,Belarus,BLR,1999,93.3
434,Belarus,BLR,2000,95.4
435,Belarus,BLR,2001,93.0
436,Belarus,BLR,2002,97.05
437,Belarus,BLR,2003,97.05
438,Belarus,BLR,2004,98.10000000000001
439,Belarus,BLR,2005,113.85
440,Belarus,BLR,2006,114.60000000000001
441,Belarus,BLR,2007,115.5
442,Belize,BLZ,1991,85.19999999999999
443,Belize,BLZ,1992,85.05000000000001
444,Belize,BLZ,1993,86.85
445,Belize,BLZ,1994,90.89999999999999
446,Belize,BLZ,1995,91.95
447,Belize,BLZ,1996,91.5
448,Belize,BLZ,1997,94.95
449,Belize,BLZ,1998,95.7
450,Belize,BLZ,1999,93.3
451,Belize,BLZ,2000,95.4
452,Belize,BLZ,2001,93.0
453,Belize,BLZ,2002,97.05
454,Belize,BLZ,2003,97.05
455,Belize,BLZ,2004,98.10000000000001
456,Belize,BLZ,2005,113.85
457,Belize,BLZ,2006,114.60000000000001
458,Belize,BLZ,2007,115.5
459,Bermuda,BMU,1991,85.19999999999999
460,Bermuda,BMU,1992,85.05000000000001
461,Bermuda,BMU,1993,86.85
462,Bermuda,BMU,1994,90.89999999999999
463,Bermuda,BMU,1995,91.95
464,Bermuda,BMU,1996,91.5
465,Bermuda,BMU,1997,94.95
466,Bermuda,BMU,1998,95.7
467,Bermuda,BMU,1999,93.3
468,Bermuda,BMU,2000,95.4
469,Bermuda,BMU,2001,93.0
470,Bermuda,BMU,2002,97.05
471,Bermuda,BMU,2003,97.05
472,Bermuda,BMU,2004,98.10000000000001
473,Bermuda,BMU,2005,113.85
474,Bermuda,BMU,2006,114.60000000000001
475,Bermuda,BMU,2007,115.5
476,Bolivia,BOL,1991,85.19999999999999
477,Bolivia,BOL,1992,85.05000000000001
478,Bolivia,BOL,1993,86.85
479,Bolivia,BOL,1994,90.89999999999999
480,Bolivia,BOL,1995,91.95
481,Bolivia,BOL,1996,91.5
482,Bolivia,BOL,1997,94.95
483,Bolivia,BOL,1998,95.7
484,Bolivia,BOL,1999,93.3
485,Bolivia,BOL,2000,95.4
486,Bolivia,BOL,2001,93.0
487,Bolivia,BOL,2002,97.05
488,Bolivia,BOL,2003,97.05
489,Bolivia,BOL,2004,98.10000000000001
490,Bolivia,BOL,2005,113.85
491,Bolivia,BOL,2006,114.60000000000001
492,Bolivia,BOL,2007,115.5
493,Brazil,BRA,1991,85.19999999999999
494,Brazil,BRA,1992,85.05000000000001
495,Brazil,BRA,1993,86.85
496,Brazil,BRA,1994,90.89999999999999
497,Brazil,BRA,1995,91.95
498,Brazil,BRA,1996,91.5
499,Brazil,BRA,1997,94.95
500,Brazil,BRA,1998,95.7
501,Brazil,BRA,1999,93.3
502,Brazil,BRA,2000,95.4
503,Brazil,BRA,2001,93.0
504,Brazil,BRA,2002,97.05
505,Brazil,BRA,2003,97.05
506,Brazil,BRA,2004,98.10000000000001
507,Brazil,BRA,2005,113.85
508,Brazil,BRA,2006,114.60000000000001
509,Brazil,BRA,2007,115.5
510,Barbados,BRB,1991,85.19999999999999
511,Barbados,BRB,1992,85.05000000000001
512,Barbados,BRB,1993,86.85
513,Barbados,BRB,1994,90.89999999999999
514,Barbados,BRB,1995,91.95
515,Barbados,BRB,1996,91.5
516,Barbados,BRB,1997,94.95
517,Barbados,BRB,1998,95.7
518,Barbados,BRB,1999,93.3
519,Barbados,BRB,2000,95.4
520,Barbados,BRB,2001,93.0
521,Barbados,BRB,2002,97.05
522,Barbados,BRB,2003,97.05
523,Barbados,BRB,2004,98.10000000000001
524,Barbados,BRB,2005,113.85
525,Barbados,BRB,2006,114.60000000000001
526,Barbados,BRB,2007,115.5
527,Brunei Darussalam,BRN,1991,85.19999999999999
528,Brunei Darussalam,BRN,1992,85.05000000000001
529,Brunei Darussalam,BRN,1993,86.85
530,Brunei Darussalam,BRN,1994,90.89999999999999
531,Brunei Darussalam,BRN,1995,91.95
532,Brunei Darussalam,BRN,1996,91.5
533,Brunei Darussalam,BRN,1997,94.95
534,Brunei Darussalam,BRN,1998,95.7
535,Brunei Darussalam,BRN,1999,93.3
536,Brunei Darussalam,BRN,2000,95.4
537,Brunei Darussalam,BRN,2001,93.0
538,Brunei Darussalam,BRN,2002,97.05
539,Brunei Darussalam,BRN,2003,97.05
540,Brunei Darussalam,BRN,2004,98.10000000000001
541,Brunei Darussalam,BRN,2005,113.85
542,Brunei Darussalam,BRN,2006,114.60000000000001
543,Brunei Darussalam,BRN,2007,115.5
544,Bhutan,BTN,1991,85.19999999999999
545,Bhutan,BTN,1992,85.05000000000001
546,Bhutan,BTN,1993,86.85
547,Bhutan,BTN,1994,90.89999999999999
548,Bhutan,BTN,1995,91.95
549,Bhutan,BTN,1996,91.5
550,Bhutan,BTN,1997,94.95
551,Bhutan,BTN,1998,95.7
552,Bhutan,BTN,1999,93.3
553,Bhutan,BTN,2000,95.4
554,Bhutan,BTN,2001,93.0
555,Bhutan,BTN,2002,97.05
556,Bhutan,BTN,2003,97.05
557,Bhutan,BTN,2004,98.10000000000001
558,Bhutan,BTN,2005,113.85
559,Bhutan,BTN,2006,114.60000000000001
560,Bhutan,BTN,2007,115.5
561,Botswana,BWA,1991,85.19999999999999
562,Botswana,BWA,1992,85.05000000000001
563,Botswana,BWA,1993,86.85
564,Botswana,BWA,1994,90.89999999999999
565,Botswana,BWA,1995,91.95
566,Botswana,BWA,1996,91.5
567,Botswana,BWA,1997,94.95
568,Botswana,BWA,1998,95.7
569,Botswana,BWA,1999,93.3
570,Botswana,BWA,2000,95.4
571,Botswana,BWA,2001,93.0
572,Botswana,BWA,2002,97.05
573,Botswana,BWA,2003,97.05
574,Botswana,BWA,2004,98.10000000000001
575,Botswana,BWA,2005,113.85
576,Botswana,BWA,2006,114.60000000000001
577,Botswana,BWA,2007,115.5
578,Central African Republic,CAF,1991,85.19999999999999
579,Central African Republic,CAF,1992,85.05000000000001
580,Central African Republic,CAF,1993,86.85
581,Central African Republic,CAF,1994,90.89999999999999
582,Central African Republic,CAF,1995,91.95
583,Central African Republic,CAF,1996,91.5
584,Central African Republic,CAF,1997,94.95
585,Central African Republic,CAF,1998,95.7
586,Central African Republic,CAF,1999,93.3
587,Central African Republic,CAF,2000,95.4
588,Central African Republic,CAF,2001,93.0
589,Central African Republic,CAF,2002,97.05
590,Central African Republic,CAF,2003,97.05
591,Central African Republic,CAF,2004,98.10000000000001
592,Central African Republic,CAF,2005,113.85
593,Central African Republic,CAF,2006,114.60000000000001
594,Central African Republic,CAF,2007,115.5
595,Canada,CAN,1991,85.19999999999999
596,Canada,CAN,1992,85.05000000000001
597,Canada,CAN,1993,86.85
598,Canada,CAN,1994,90.89999999999999
599,Canada,CAN,1995,91.95
600,Canada,CAN,1996,91.5
601,Canada,CAN,1997,94.95
602,Canada,CAN,1998,95.7
603,Canada,CAN,1999,93.3
604,Canada,CAN,2000,95.4
605,Canada,CAN,2001,93.0
606,Canada,CAN,2002,97.05
607,Canada,CAN,2003,97.05
608,Canada,CAN,2004,98.10000000000001
609,Canada,CAN,2005,113.85
610,Canada,CAN,2006,114.60000000000001
611,Canada,CAN,2007,115.5
612,Central Europe and the Baltics,CEB,1991,85.19999999999999
613,Central Europe and the Baltics,CEB,1992,85.05000000000001
614,Central Europe and the Baltics,CEB,1993,86.85
615,Central Europe and the Baltics,CEB,1994,90.89999999999999
616,Central Europe and the Baltics,CEB,1995,91.95
617,Central Europe and the Baltics,CEB,1996,91.5
618,Central Europe and the Baltics,CEB,1997,94.95
619,Central Europe and the Baltics,CEB,1998,95.7
620,Central Europe and the Baltics,CEB,1999,93.3
621,Central Europe and the Baltics,CEB,2000,95.4
622,Central Europe and the Baltics,CEB,2001,93.0
623,Central Europe and the Baltics,CEB,2002,97.05
624,Central Europe and the Baltics,CEB,2003,97.05
625,Central Europe and the Baltics,CEB,2004,98.10000000000001
626,Central Europe and the Baltics,CEB,2005,113.85
627,Central Europe and the Baltics,CEB,2006,114.60000000000001
628,Central Europe and the Baltics,CEB,2007,115.5
629,Switzerland,CHE,1991,85.19999999999999
630,Switzerland,CHE,1992,85.05000000000001
631,Switzerland,CHE,1993,86.85
632,Switzerland,CHE,1994,90.89999999999999
633,Switzerland,CHE,1995,91.95
634,Switzerland,CHE,1996,91.5
635,Switzerland,CHE,1997,94.95
636,Switzerland,CHE,1998,95.7
637,Switzerland,CHE,1999,93.3
638,Switzerland,CHE,2000,95.4
639,Switzerland,CHE,2001,93.0
640,Switzerland,CHE,2002,97.05
641,Switzerland,CHE,2003,97.05
642,Switzerland,CHE,2004,98.10000000000001
643,Switzerland,CHE,2005,113.85
644,Switzerland,CHE,2006,114.60000000000001
645,Switzerland,CHE,2007,115.5
646,Channel Islands,CHI,1991,85.19999999999999
647,Channel Islands,CHI,1992,85.05000000000001
648,Channel Islands,CHI,1993,86.85
649,Channel Islands,CHI,1994,90.89999999999999
650,Channel Islands,CHI,1995,91.95
651,Channel Islands,CHI,1996,91.5
652,Channel Islands,CHI,1997,94.95
653,Channel Islands,CHI,1998,95.7
654,Channel Islands,CHI,1999,93.3
655,Channel Islands,CHI,2000,95.4
656,Channel Islands,CHI,2001,93.0
657,Channel Islands,CHI,2002,97.05
658,Channel Islands,CHI,2003,97.05
659,Channel Islands,CHI,2004,98.10000000000001
660,Channel Islands,CHI,2005,113.85
661,Channel Islands,CHI,2006,114.60000000000001
662,Channel Islands,CHI,2007,115.5
663,Chile,CHL,1991,85.19999999999999
664,Chile,CHL,1992,85.05000000000001
665,Chile,CHL,1993,86.85
666,Chile,CHL,1994,90.89999999999999
667,Chile,CHL,1995,91.95
668,Chile,CHL,1996,91.5
669,Chile,CHL,1997,94.95
670,Chile,CHL,1998,95.7
671,Chile,CHL,1999,93.3
672,Chile,CHL,2000,95.4
