iso_code3,Nation,Year,pop_lvst_initial_sheep
ARE,United Arab Emirates,2035,2235981.0
ARE,United Arab Emirates,2036,2235981.0
ARE,United Arab Emirates,2037,2235981.0
ARE,United Arab Emirates,2038,2235981.0
ARE,United Arab Emirates,2039,2235981.0
ARE,United Arab Emirates,2040,2235981.0
ARE,United Arab Emirates,2041,2235981.0
ARE,United Arab Emirates,2042,2235981.0
ARE,United Arab Emirates,2043,2235981.0
ARE,United Arab Emirates,2044,2235981.0
ARE,United Arab Emirates,2045,2235981.0
ARE,United Arab Emirates,2046,2235981.0
ARE,United Arab Emirates,2047,2235981.0
ARE,United Arab Emirates,2048,2235981.0
ARE,United Arab Emirates,2049,2235981.0
ARE,United Arab Emirates,2050,2235981.0
ARG,Argentina,2023,12461845.0
ARG,Argentina,2024,12461845.0
ARG,Argentina,2025,12461845.0
ARG,Argentina,2026,12461845.0
ARG,Argentina,2027,12461845.0
ARG,Argentina,2028,12461845.0
ARG,Argentina,2029,12461845.0
ARG,Argentina,2030,12461845.0
ARG,Argentina,2031,12461845.0
ARG,Argentina,2032,12461845.0
ARG,Argentina,2033,12461845.0
ARG,Argentina,2034,12461845.0
ARG,Argentina,2035,12461845.0
ARG,Argentina,2036,12461845.0
ARG,Argentina,2037,12461845.0
ARG,Argentina,2038,12461845.0
ARG,Argentina,2039,12461845.0
ARG,Argentina,2040,12461845.0
ARG,Argentina,2041,12461845.0
ARG,Argentina,2042,12461845.0
ARG,Argentina,2043,12461845.0
ARG,Argentina,2044,12461845.0
ARG,Argentina,2045,12461845.0
ARG,Argentina,2046,12461845.0
ARG,Argentina,2047,12461845.0
ARG,Argentina,2048,12461845.0
ARG,Argentina,2049,12461845.0
ARG,Argentina,2050,12461845.0
ARM,Armenia,2023,691787.0
ARM,Armenia,2024,691787.0
ARM,Armenia,2025,691787.0
ARM,Armenia,2026,691787.0
ARM,Armenia,2027,691787.0
ARM,Armenia,2028,691787.0
ARM,Armenia,2029,691787.0
ARM,Armenia,2030,691787.0
ARM,Armenia,2031,691787.0
ARM,Armenia,2032,691787.0
ARM,Armenia,2033,691787.0
ARM,Armenia,2034,691787.0
ARM,Armenia,2035,691787.0
ARM,Armenia,2036,691787.0
ARM,Armenia,2037,691787.0
ARM,Armenia,2038,691787.0
ARM,Armenia,2039,691787.0
ARM,Armenia,2040,691787.0
ARM,Armenia,2041,691787.0
ARM,Armenia,2042,691787.0
ARM,Armenia,2043,691787.0
ARM,Armenia,2044,691787.0
ARM,Armenia,2045,691787.0
ARM,Armenia,2046,691787.0
ARM,Armenia,2047,691787.0
ARM,Armenia,2048,691787.0
ARM,Armenia,2049,691787.0
ARM,Armenia,2050,691787.0
ATG,Antigua and Barbuda,2023,8300.0
ATG,Antigua and Barbuda,2024,8300.0
ATG,Antigua and Barbuda,2025,8300.0
ATG,Antigua and Barbuda,2026,8300.0
ATG,Antigua and Barbuda,2027,8300.0
ATG,Antigua and Barbuda,2028,8300.0
ATG,Antigua and Barbuda,2029,8300.0
ATG,Antigua and Barbuda,2030,8300.0
ATG,Antigua and Barbuda,2031,8300.0
ATG,Antigua and Barbuda,2032,8300.0
ATG,Antigua and Barbuda,2033,8300.0
ATG,Antigua and Barbuda,2034,8300.0
ATG,Antigua and Barbuda,2035,8300.0
ATG,Antigua and Barbuda,2036,8300.0
ATG,Antigua and Barbuda,2037,8300.0
ATG,Antigua and Barbuda,2038,8300.0
ATG,Antigua and Barbuda,2039,8300.0
ATG,Antigua and Barbuda,2040,8300.0
ATG,Antigua and Barbuda,2041,8300.0
ATG,Antigua and Barbuda,2042,8300.0
ATG,Antigua and Barbuda,2043,8300.0
ATG,Antigua and Barbuda,2044,8300.0
ATG,Antigua and Barbuda,2045,8300.0
ATG,Antigua and Barbuda,2046,8300.0
ATG,Antigua and Barbuda,2047,8300.0
ATG,Antigua and Barbuda,2048,8300.0
ATG,Antigua and Barbuda,2049,8300.0
ATG,Antigua and Barbuda,2050,8300.0
AUS,Australia,2023,70234655.0
AUS,Australia,2024,70234655.0
AUS,Australia,2025,70234655.0
AUS,Australia,2026,70234655.0
AUS,Australia,2027,70234655.0
AUS,Australia,2028,70234655.0
AUS,Australia,2029,70234655.0
AUS,Australia,2030,70234655.0
AUS,Australia,2031,70234655.0
AUS,Australia,2032,70234655.0
AUS,Australia,2033,70234655.0
AUS,Australia,2034,70234655.0
AUS,Australia,2035,70234655.0
AUS,Australia,2036,70234655.0
AUS,Australia,2037,70234655.0
AUS,Australia,2038,70234655.0
AUS,Australia,2039,70234655.0
AUS,Australia,2040,70234655.0
AUS,Australia,2041,70234655.0
AUS,Australia,2042,70234655.0
AUS,Australia,2043,70234655.0
AUS,Australia,2044,70234655.0
AUS,Australia,2045,70234655.0
AUS,Australia,2046,70234655.0
AUS,Australia,2047,70234655.0
AUS,Australia,2048,70234655.0
AUS,Australia,2049,70234655.0
AUS,Australia,2050,70234655.0
AUT,Austria,2023,400660.0
AUT,Austria,2024,400660.0
AUT,Austria,2025,400660.0
AUT,Austria,2026,400660.0
AUT,Austria,2027,400660.0
AUT,Austria,2028,400660.0
AUT,Austria,2029,400660.0
AUT,Austria,2030,400660.0
AUT,Austria,2031,400660.0
AUT,Austria,2032,400660.0
AUT,Austria,2033,400660.0
AUT,Austria,2034,400660.0
AUT,Austria,2035,400660.0
AUT,Austria,2036,400660.0
AUT,Austria,2037,400660.0
AUT,Austria,2038,400660.0
AUT,Austria,2039,400660.0
AUT,Austria,2040,400660.0
AUT,Austria,2041,400660.0
AUT,Austria,2042,400660.0
AUT,Austria,2043,400660.0
AUT,Austria,2044,400660.0
AUT,Austria,2045,400660.0
AUT,Austria,2046,400660.0
AUT,Austria,2047,400660.0
AUT,Austria,2048,400660.0
AUT,Austria,2049,400660.0
AUT,Austria,2050,400660.0
AZE,Azerbaijan,2023,7170828.0
AZE,Azerbaijan,2024,7170828.0
AZE,Azerbaijan,2025,7170828.0
AZE,Azerbaijan,2026,7170828.0
AZE,Azerbaijan,2027,7170828.0
AZE,Azerbaijan,2028,7170828.0
AZE,Azerbaijan,2029,7170828.0
AZE,Azerbaijan,2030,7170828.0
AZE,Azerbaijan,2031,7170828.0
AZE,Azerbaijan,2032,7170828.0
AZE,Azerbaijan,2033,7170828.0
AZE,Azerbaijan,2034,7170828.0
AZE,Azerbaijan,2035,7170828.0
AZE,Azerbaijan,2036,7170828.0
AZE,Azerbaijan,2037,7170828.0
AZE,Azerbaijan,2038,7170828.0
AZE,Azerbaijan,2039,7170828.0
AZE,Azerbaijan,2040,7170828.0
AZE,Azerbaijan,2041,7170828.0
AZE,Azerbaijan,2042,7170828.0
AZE,Azerbaijan,2043,7170828.0
AZE,Azerbaijan,2044,7170828.0
AZE,Azerbaijan,2045,7170828.0
AZE,Azerbaijan,2046,7170828.0
AZE,Azerbaijan,2047,7170828.0
AZE,Azerbaijan,2048,7170828.0
AZE,Azerbaijan,2049,7170828.0
AZE,Azerbaijan,2050,7170828.0
BDI,Burundi,2023,713807.0
BDI,Burundi,2024,713807.0
BDI,Burundi,2025,713807.0
BDI,Burundi,2026,713807.0
BDI,Burundi,2027,713807.0
BDI,Burundi,2028,713807.0
BDI,Burundi,2029,713807.0
BDI,Burundi,2030,713807.0
BDI,Burundi,2031,713807.0
BDI,Burundi,2032,713807.0
BDI,Burundi,2033,713807.0
BDI,Burundi,2034,713807.0
BDI,Burundi,2035,713807.0
BDI,Burundi,2036,713807.0
BDI,Burundi,2037,713807.0
BDI,Burundi,2038,713807.0
BDI,Burundi,2039,713807.0
BDI,Burundi,2040,713807.0
BDI,Burundi,2041,713807.0
BDI,Burundi,2042,713807.0
BDI,Burundi,2043,713807.0
BDI,Burundi,2044,713807.0
BDI,Burundi,2045,713807.0
BDI,Burundi,2046,713807.0
BDI,Burundi,2047,713807.0
BDI,Burundi,2048,713807.0
BDI,Burundi,2049,713807.0
BDI,Burundi,2050,713807.0
BEL,Belgium,2023,110120.0
BEL,Belgium,2024,110120.0
BEL,Belgium,2025,110120.0
BEL,Belgium,2026,110120.0
BEL,Belgium,2027,110120.0
BEL,Belgium,2028,110120.0
BEL,Belgium,2029,110120.0
BEL,Belgium,2030,110120.0
BEL,Belgium,2031,110120.0
BEL,Belgium,2032,110120.0
BEL,Belgium,2033,110120.0
BEL,Belgium,2034,110120.0
BEL,Belgium,2035,110120.0
BEL,Belgium,2036,110120.0
BEL,Belgium,2037,110120.0
BEL,Belgium,2038,110120.0
BEL,Belgium,2039,110120.0
BEL,Belgium,2040,110120.0
BEL,Belgium,2041,110120.0
BEL,Belgium,2042,110120.0
BEL,Belgium,2043,110120.0
BEL,Belgium,2044,110120.0
BEL,Belgium,2045,110120.0
BEL,Belgium,2046,110120.0
BEL,Belgium,2047,110120.0
BEL,Belgium,2048,110120.0
BEL,Belgium,2049,110120.0
BEL,Belgium,2050,110120.0
BEN,Benin,2023,2500613.0
BEN,Benin,2024,2500613.0
BEN,Benin,2025,2500613.0
BEN,Benin,2026,2500613.0
BEN,Benin,2027,2500613.0
BEN,Benin,2028,2500613.0
BEN,Benin,2029,2500613.0
BEN,Benin,2030,2500613.0
BEN,Benin,2031,2500613.0
BEN,Benin,2032,2500613.0
BEN,Benin,2033,2500613.0
BEN,Benin,2034,2500613.0
BEN,Benin,2035,2500613.0
BEN,Benin,2036,2500613.0
BEN,Benin,2037,2500613.0
BEN,Benin,2038,2500613.0
BEN,Benin,2039,2500613.0
BEN,Benin,2040,2500613.0
BEN,Benin,2041,2500613.0
BEN,Benin,2042,2500613.0
BEN,Benin,2043,2500613.0
BEN,Benin,2044,2500613.0
BEN,Benin,2045,2500613.0
BEN,Benin,2046,2500613.0
BEN,Benin,2047,2500613.0
BEN,Benin,2048,2500613.0
BEN,Benin,2049,2500613.0
BEN,Benin,2050,2500613.0
BFA,Burkina Faso,2023,11260981.0
BFA,Burkina Faso,2024,11260981.0
BFA,Burkina Faso,2025,11260981.0
BFA,Burkina Faso,2026,11260981.0
BFA,Burkina Faso,2027,11260981.0
BFA,Burkina Faso,2028,11260981.0
BFA,Burkina Faso,2029,11260981.0
BFA,Burkina Faso,2030,11260981.0
BFA,Burkina Faso,2031,11260981.0
BFA,Burkina Faso,2032,11260981.0
BFA,Burkina Faso,2033,11260981.0
BFA,Burkina Faso,2034,11260981.0
BFA,Burkina Faso,2035,11260981.0
BFA,Burkina Faso,2036,11260981.0
BFA,Burkina Faso,2037,11260981.0
BFA,Burkina Faso,2038,11260981.0
BFA,Burkina Faso,2039,11260981.0
BFA,Burkina Faso,2040,11260981.0
BFA,Burkina Faso,2041,11260981.0
BFA,Burkina Faso,2042,11260981.0
BFA,Burkina Faso,2043,11260981.0
BFA,Burkina Faso,2044,11260981.0
BFA,Burkina Faso,2045,11260981.0
BFA,Burkina Faso,2046,11260981.0
BFA,Burkina Faso,2047,11260981.0
BFA,Burkina Faso,2048,11260981.0
BFA,Burkina Faso,2049,11260981.0
BFA,Burkina Faso,2050,11260981.0
BGD,Bangladesh,2023,2100000.0
BGD,Bangladesh,2024,2100000.0
BGD,Bangladesh,2025,2100000.0
BGD,Bangladesh,2026,2100000.0
BGD,Bangladesh,2027,2100000.0
BGD,Bangladesh,2028,2100000.0
BGD,Bangladesh,2029,2100000.0
BGD,Bangladesh,2030,2100000.0
BGD,Bangladesh,2031,2100000.0
BGD,Bangladesh,2032,2100000.0
BGD,Bangladesh,2033,2100000.0
BGD,Bangladesh,2034,2100000.0
BGD,Bangladesh,2035,2100000.0
BGD,Bangladesh,2036,2100000.0
BGD,Bangladesh,2037,2100000.0
BGD,Bangladesh,2038,2100000.0
BGD,Bangladesh,2039,2100000.0
BGD,Bangladesh,2040,2100000.0
BGD,Bangladesh,2041,2100000.0
BGD,Bangladesh,2042,2100000.0
BGD,Bangladesh,2043,2100000.0
BGD,Bangladesh,2044,2100000.0
BGD,Bangladesh,2045,2100000.0
BGD,Bangladesh,2046,2100000.0
BGD,Bangladesh,2047,2100000.0
BGD,Bangladesh,2048,2100000.0
BGD,Bangladesh,2049,2100000.0
BGD,Bangladesh,2050,2100000.0
BGR,Bulgaria,2023,1096400.0
BGR,Bulgaria,2024,1096400.0
BGR,Bulgaria,2025,1096400.0
BGR,Bulgaria,2026,1096400.0
BGR,Bulgaria,2027,1096400.0
BGR,Bulgaria,2028,1096400.0
BGR,Bulgaria,2029,1096400.0
BGR,Bulgaria,2030,1096400.0
BGR,Bulgaria,2031,1096400.0
BGR,Bulgaria,2032,1096400.0
BGR,Bulgaria,2033,1096400.0
BGR,Bulgaria,2034,1096400.0
BGR,Bulgaria,2035,1096400.0
BGR,Bulgaria,2036,1096400.0
BGR,Bulgaria,2037,1096400.0
BGR,Bulgaria,2038,1096400.0
BGR,Bulgaria,2039,1096400.0
BGR,Bulgaria,2040,1096400.0
BGR,Bulgaria,2041,1096400.0
BGR,Bulgaria,2042,1096400.0
BGR,Bulgaria,2043,1096400.0
BGR,Bulgaria,2044,1096400.0
BGR,Bulgaria,2045,1096400.0
BGR,Bulgaria,2046,1096400.0
BGR,Bulgaria,2047,1096400.0
BGR,Bulgaria,2048,1096400.0
BGR,Bulgaria,2049,1096400.0
BGR,Bulgaria,2050,1096400.0
BHR,Bahrain,2023,62300.0
BHR,Bahrain,2024,62300.0
BHR,Bahrain,2025,62300.0
BHR,Bahrain,2026,62300.0
BHR,Bahrain,2027,62300.0
BHR,Bahrain,2028,62300.0
BHR,Bahrain,2029,62300.0
BHR,Bahrain,2030,62300.0
BHR,Bahrain,2031,62300.0
BHR,Bahrain,2032,62300.0
BHR,Bahrain,2033,62300.0
BHR,Bahrain,2034,62300.0
BHR,Bahrain,2035,62300.0
BHR,Bahrain,2036,62300.0
BHR,Bahrain,2037,62300.0
BHR,Bahrain,2038,62300.0
BHR,Bahrain,2039,62300.0
BHR,Bahrain,2040,62300.0
BHR,Bahrain,2041,62300.0
BHR,Bahrain,2042,62300.0
BHR,Bahrain,2043,62300.0
BHR,Bahrain,2044,62300.0
BHR,Bahrain,2045,62300.0
BHR,Bahrain,2046,62300.0
BHR,Bahrain,2047,62300.0
BHR,Bahrain,2048,62300.0
BHR,Bahrain,2049,62300.0
BHR,Bahrain,2050,62300.0
BHS,Bahamas,2023,6605.0
BHS,Bahamas,2024,6605.0
BHS,Bahamas,2025,6605.0
BHS,Bahamas,2026,6605.0
BHS,Bahamas,2027,6605.0
BHS,Bahamas,2028,6605.0
BHS,Bahamas,2029,6605.0
BHS,Bahamas,2030,6605.0
BHS,Bahamas,2031,6605.0
BHS,Bahamas,2032,6605.0
BHS,Bahamas,2033,6605.0
BHS,Bahamas,2034,6605.0
BHS,Bahamas,2035,6605.0
BHS,Bahamas,2036,6605.0
BHS,Bahamas,2037,6605.0
BHS,Bahamas,2038,6605.0
BHS,Bahamas,2039,6605.0
BHS,Bahamas,2040,6605.0
BHS,Bahamas,2041,6605.0
BHS,Bahamas,2042,6605.0
BHS,Bahamas,2043,6605.0
BHS,Bahamas,2044,6605.0
BHS,Bahamas,2045,6605.0
BHS,Bahamas,2046,6605.0
BHS,Bahamas,2047,6605.0
BHS,Bahamas,2048,6605.0
BHS,Bahamas,2049,6605.0
BHS,Bahamas,2050,6605.0
BIH,Bosnia and Herzegovina,2023,997046.0
BIH,Bosnia and Herzegovina,2024,997046.0
BIH,Bosnia and Herzegovina,2025,997046.0
BIH,Bosnia and Herzegovina,2026,997046.0
BIH,Bosnia and Herzegovina,2027,997046.0
BIH,Bosnia and Herzegovina,2028,997046.0
BIH,Bosnia and Herzegovina,2029,997046.0
BIH,Bosnia and Herzegovina,2030,997046.0
BIH,Bosnia and Herzegovina,2031,997046.0
BIH,Bosnia and Herzegovina,2032,997046.0
BIH,Bosnia and Herzegovina,2033,997046.0
BIH,Bosnia and Herzegovina,2034,997046.0
BIH,Bosnia and Herzegovina,2035,997046.0
BIH,Bosnia and Herzegovina,2036,997046.0
BIH,Bosnia and Herzegovina,2037,997046.0
BIH,Bosnia and Herzegovina,2038,997046.0
BIH,Bosnia and Herzegovina,2039,997046.0
BIH,Bosnia and Herzegovina,2040,997046.0
BIH,Bosnia and Herzegovina,2041,997046.0
BIH,Bosnia and Herzegovina,2042,997046.0
BIH,Bosnia and Herzegovina,2043,997046.0
BIH,Bosnia and Herzegovina,2044,997046.0
BIH,Bosnia and Herzegovina,2045,997046.0
BIH,Bosnia and Herzegovina,2046,997046.0
BIH,Bosnia and Herzegovina,2047,997046.0
BIH,Bosnia and Herzegovina,2048,997046.0
BIH,Bosnia and Herzegovina,2049,997046.0
BIH,Bosnia and Herzegovina,2050,997046.0
BLR,Belarus,2023,78700.0
BLR,Belarus,2024,78700.0
BLR,Belarus,2025,78700.0
BLR,Belarus,2026,78700.0
BLR,Belarus,2027,78700.0
BLR,Belarus,2028,78700.0
BLR,Belarus,2029,78700.0
BLR,Belarus,2030,78700.0
BLR,Belarus,2031,78700.0
BLR,Belarus,2032,78700.0
BLR,Belarus,2033,78700.0
BLR,Belarus,2034,78700.0
BLR,Belarus,2035,78700.0
BLR,Belarus,2036,78700.0
BLR,Belarus,2037,78700.0
BLR,Belarus,2038,78700.0
BLR,Belarus,2039,78700.0
BLR,Belarus,2040,78700.0
BLR,Belarus,2041,78700.0
BLR,Belarus,2042,78700.0
BLR,Belarus,2043,78700.0
BLR,Belarus,2044,78700.0
BLR,Belarus,2045,78700.0
BLR,Belarus,2046,78700.0
BLR,Belarus,2047,78700.0
BLR,Belarus,2048,78700.0
BLR,Belarus,2049,78700.0
BLR,Belarus,2050,78700.0
BLZ,Belize,2023,15909.0
BLZ,Belize,2024,15909.0
BLZ,Belize,2025,15909.0
BLZ,Belize,2026,15909.0
BLZ,Belize,2027,15909.0
BLZ,Belize,2028,15909.0
BLZ,Belize,2029,15909.0
BLZ,Belize,2030,15909.0
BLZ,Belize,2031,15909.0
BLZ,Belize,2032,15909.0
BLZ,Belize,2033,15909.0
BLZ,Belize,2034,15909.0
BLZ,Belize,2035,15909.0
BLZ,Belize,2036,15909.0
BLZ,Belize,2037,15909.0
BLZ,Belize,2038,15909.0
BLZ,Belize,2039,15909.0
BLZ,Belize,2040,15909.0
BLZ,Belize,2041,15909.0
BLZ,Belize,2042,15909.0
BLZ,Belize,2043,15909.0
BLZ,Belize,2044,15909.0
BLZ,Belize,2045,15909.0
BLZ,Belize,2046,15909.0
BLZ,Belize,2047,15909.0
BLZ,Belize,2048,15909.0
BLZ,Belize,2049,15909.0
BLZ,Belize,2050,15909.0
BOL,Bolivia (Plurinational State of),2023,7592484.0
BOL,Bolivia (Plurinational State of),2024,7592484.0
BOL,Bolivia (Plurinational State of),2025,7592484.0
BOL,Bolivia (Plurinational State of),2026,7592484.0
BOL,Bolivia (Plurinational State of),2027,7592484.0
BOL,Bolivia (Plurinational State of),2028,7592484.0
BOL,Bolivia (Plurinational State of),2029,7592484.0
BOL,Bolivia (Plurinational State of),2030,7592484.0
BOL,Bolivia (Plurinational State of),2031,7592484.0
BOL,Bolivia (Plurinational State of),2032,7592484.0
BOL,Bolivia (Plurinational State of),2033,7592484.0
BOL,Bolivia (Plurinational State of),2034,7592484.0
BOL,Bolivia (Plurinational State of),2035,7592484.0
BOL,Bolivia (Plurinational State of),2036,7592484.0
BOL,Bolivia (Plurinational State of),2037,7592484.0
BOL,Bolivia (Plurinational State of),2038,7592484.0
BOL,Bolivia (Plurinational State of),2039,7592484.0
BOL,Bolivia (Plurinational State of),2040,7592484.0
BOL,Bolivia (Plurinational State of),2041,7592484.0
BOL,Bolivia (Plurinational State of),2042,7592484.0
BOL,Bolivia (Plurinational State of),2043,7592484.0
BOL,Bolivia (Plurinational State of),2044,7592484.0
BOL,Bolivia (Plurinational State of),2045,7592484.0
BOL,Bolivia (Plurinational State of),2046,7592484.0
BOL,Bolivia (Plurinational State of),2047,7592484.0
BOL,Bolivia (Plurinational State of),2048,7592484.0
BOL,Bolivia (Plurinational State of),2049,7592484.0
BOL,Bolivia (Plurinational State of),2050,7592484.0
BRA,Brazil,2023,21514274.0
BRA,Brazil,2024,21514274.0
BRA,Brazil,2025,21514274.0
BRA,Brazil,2026,21514274.0
BRA,Brazil,2027,21514274.0
BRA,Brazil,2028,21514274.0
BRA,Brazil,2029,21514274.0
BRA,Brazil,2030,21514274.0
BRA,Brazil,2031,21514274.0
BRA,Brazil,2032,21514274.0
BRA,Brazil,2033,21514274.0
BRA,Brazil,2034,21514274.0
BRA,Brazil,2035,21514274.0
BRA,Brazil,2036,21514274.0
BRA,Brazil,2037,21514274.0
BRA,Brazil,2038,21514274.0
BRA,Brazil,2039,21514274.0
BRA,Brazil,2040,21514274.0
BRA,Brazil,2041,21514274.0
BRA,Brazil,2042,21514274.0
BRA,Brazil,2043,21514274.0
BRA,Brazil,2044,21514274.0
BRA,Brazil,2045,21514274.0
BRA,Brazil,2046,21514274.0
BRA,Brazil,2047,21514274.0
BRA,Brazil,2048,21514274.0
BRA,Brazil,2049,21514274.0
BRA,Brazil,2050,21514274.0
BRB,Barbados,2023,13320.0
BRB,Barbados,2024,13320.0
BRB,Barbados,2025,13320.0
BRB,Barbados,2026,13320.0
BRB,Barbados,2027,13320.0
BRB,Barbados,2028,13320.0
BRB,Barbados,2029,13320.0
BRB,Barbados,2030,13320.0
BRB,Barbados,2031,13320.0
BRB,Barbados,2032,13320.0
BRB,Barbados,2033,13320.0
BRB,Barbados,2034,13320.0
BRB,Barbados,2035,13320.0
BRB,Barbados,2036,13320.0
BRB,Barbados,2037,13320.0
BRB,Barbados,2038,13320.0
BRB,Barbados,2039,13320.0
BRB,Barbados,2040,13320.0
BRB,Barbados,2041,13320.0
BRB,Barbados,2042,13320.0
BRB,Barbados,2043,13320.0
BRB,Barbados,2044,13320.0
BRB,Barbados,2045,13320.0
BRB,Barbados,2046,13320.0
BRB,Barbados,2047,13320.0
BRB,Barbados,2048,13320.0
BRB,Barbados,2049,13320.0
BRB,Barbados,2050,13320.0
BRN,Brunei Darussalam,2023,4498.0
BRN,Brunei Darussalam,2024,4498.0
BRN,Brunei Darussalam,2025,4498.0
BRN,Brunei Darussalam,2026,4498.0
BRN,Brunei Darussalam,2027,4498.0
BRN,Brunei Darussalam,2028,4498.0
BRN,Brunei Darussalam,2029,4498.0
BRN,Brunei Darussalam,2030,4498.0
BRN,Brunei Darussalam,2031,4498.0
BRN,Brunei Darussalam,2032,4498.0
BRN,Brunei Darussalam,2033,4498.0
BRN,Brunei Darussalam,2034,4498.0
BRN,Brunei Darussalam,2035,4498.0
BRN,Brunei Darussalam,2036,4498.0
BRN,Brunei Darussalam,2037,4498.0
BRN,Brunei Darussalam,2038,4498.0
BRN,Brunei Darussalam,2039,4498.0
BRN,Brunei Darussalam,2040,4498.0
BRN,Brunei Darussalam,2041,4498.0
BRN,Brunei Darussalam,2042,4498.0
BRN,Brunei Darussalam,2043,4498.0
BRN,Brunei Darussalam,2044,4498.0
BRN,Brunei Darussalam,2045,4498.0
BRN,Brunei Darussalam,2046,4498.0
BRN,Brunei Darussalam,2047,4498.0
BRN,Brunei Darussalam,2048,4498.0
BRN,Brunei Darussalam,2049,4498.0
BRN,Brunei Darussalam,2050,4498.0
BTN,Bhutan,2023,10024.0
BTN,Bhutan,2024,10024.0
BTN,Bhutan,2025,10024.0
BTN,Bhutan,2026,10024.0
BTN,Bhutan,2027,10024.0
BTN,Bhutan,2028,10024.0
BTN,Bhutan,2029,10024.0
BTN,Bhutan,2030,10024.0
BTN,Bhutan,2031,10024.0
BTN,Bhutan,2032,10024.0
BTN,Bhutan,2033,10024.0
BTN,Bhutan,2034,10024.0
BTN,Bhutan,2035,10024.0
BTN,Bhutan,2036,10024.0
BTN,Bhutan,2037,10024.0
BTN,Bhutan,2038,10024.0
BTN,Bhutan,2039,10024.0
BTN,Bhutan,2040,10024.0
BTN,Bhutan,2041,10024.0
BTN,Bhutan,2042,10024.0
BTN,Bhutan,2043,10024.0
BTN,Bhutan,2044,10024.0
BTN,Bhutan,2045,10024.0
BTN,Bhutan,2046,10024.0
BTN,Bhutan,2047,10024.0
BTN,Bhutan,2048,10024.0
BTN,Bhutan,2049,10024.0
BTN,Bhutan,2050,10024.0
BWA,Botswana,2023,133502.0
