Year,iso_code3,cost_enfu_fuel_waste_usd_per_mmbtu
2020,BEL,9380.0
2015,BEN,9380.0
2016,BEN,9380.0
2017,BEN,9380.0
2018,BEN,9380.0
2019,BEN,9380.0
2020,BEN,9380.0
2015,BFA,9380.0
2016,BFA,9380.0
2017,BFA,9380.0
2018,BFA,9380.0
2019,BFA,9380.0
2020,BFA,9380.0
2015,BGD,9380.0
2016,BGD,9380.0
2017,BGD,9380.0
2018,BGD,9380.0
2019,BGD,9380.0
2020,BGD,9380.0
2015,BGR,9380.0
2016,BGR,9380.0
2017,BGR,9380.0
2018,BGR,9380.0
2019,BGR,9380.0
2020,BGR,9380.0
2015,BHR,9380.0
2016,BHR,9380.0
2017,BHR,9380.0
2018,BHR,9380.0
2019,BHR,9380.0
2020,BHR,9380.0
2015,BHS,9380.0
2016,BHS,9380.0
2017,BHS,9380.0
2018,BHS,9380.0
2019,BHS,9380.0
2020,BHS,9380.0
2015,BIH,9380.0
2016,BIH,9380.0
2017,BIH,9380.0
2018,BIH,9380.0
2019,BIH,9380.0
2020,BIH,9380.0
2015,BLR,9380.0
2016,BLR,9380.0
2017,BLR,9380.0
2018,BLR,9380.0
2019,BLR,9380.0
2020,BLR,9380.0
2015,BLZ,9380.0
2016,BLZ,9380.0
2017,BLZ,9380.0
2018,BLZ,9380.0
2019,BLZ,9380.0
2020,BLZ,9380.0
2015,BMU,9380.0
2016,BMU,9380.0
2017,BMU,9380.0
2018,BMU,9380.0
2019,BMU,9380.0
2020,BMU,9380.0
2015,BOL,9380.0
2016,BOL,9380.0
2017,BOL,9380.0
2018,BOL,9380.0
2019,BOL,9380.0
2020,BOL,9380.0
2015,BRA,9380.0
2016,BRA,9380.0
2017,BRA,9380.0
2018,BRA,9380.0
2019,BRA,9380.0
2020,BRA,9380.0
2015,BRB,9380.0
2016,BRB,9380.0
2017,BRB,9380.0
2018,BRB,9380.0
2019,BRB,9380.0
2020,BRB,9380.0
2015,BRN,9380.0
2016,BRN,9380.0
2017,BRN,9380.0
2018,BRN,9380.0
2019,BRN,9380.0
2020,BRN,9380.0
2015,BTN,9380.0
2016,BTN,9380.0
2017,BTN,9380.0
2018,BTN,9380.0
2019,BTN,9380.0
2020,BTN,9380.0
2015,BWA,9380.0
2016,BWA,9380.0
2017,BWA,9380.0
2018,BWA,9380.0
2019,BWA,9380.0
2020,BWA,9380.0
2015,CAF,9380.0
2016,CAF,9380.0
2017,CAF,9380.0
2018,CAF,9380.0
2019,CAF,9380.0
2020,CAF,9380.0
2015,CAN,9380.0
2016,CAN,9380.0
2017,CAN,9380.0
2018,CAN,9380.0
2019,CAN,9380.0
2020,CAN,9380.0
2015,CHE,9380.0
2016,CHE,9380.0
2017,CHE,9380.0
2018,CHE,9380.0
2019,CHE,9380.0
2020,CHE,9380.0
2015,CHL,9380.0
2016,CHL,9380.0
2017,CHL,9380.0
2018,CHL,9380.0
2019,CHL,9380.0
2020,CHL,9380.0
2015,CHN,9380.0
2016,CHN,9380.0
2017,CHN,9380.0
2018,CHN,9380.0
2019,CHN,9380.0
2020,CHN,9380.0
2015,CIV,9380.0
2016,CIV,9380.0
2017,CIV,9380.0
2018,CIV,9380.0
2019,CIV,9380.0
2020,CIV,9380.0
2015,CMR,9380.0
2016,CMR,9380.0
2017,CMR,9380.0
2018,CMR,9380.0
2019,CMR,9380.0
2020,CMR,9380.0
2015,COD,9380.0
2016,COD,9380.0
2017,COD,9380.0
2018,COD,9380.0
2019,COD,9380.0
2020,COD,9380.0
2015,COG,9380.0
2016,COG,9380.0
2017,COG,9380.0
2018,COG,9380.0
2019,COG,9380.0
2020,COG,9380.0
2015,COL,9380.0
2016,COL,9380.0
2017,COL,9380.0
2018,COL,9380.0
2019,COL,9380.0
2020,COL,9380.0
2015,COM,9380.0
2016,COM,9380.0
2017,COM,9380.0
2018,COM,9380.0
2019,COM,9380.0
2020,COM,9380.0
2015,CPV,9380.0
2016,CPV,9380.0
2017,CPV,9380.0
2018,CPV,9380.0
2019,CPV,9380.0
2020,CPV,9380.0
2015,CRI,9380.0
2016,CRI,9380.0
2017,CRI,9380.0
2018,CRI,9380.0
2019,CRI,9380.0
2020,CRI,9380.0
2015,CUB,9380.0
2016,CUB,9380.0
2017,CUB,9380.0
2018,CUB,9380.0
2019,CUB,9380.0
2020,CUB,9380.0
2015,CUW,9380.0
2016,CUW,9380.0
2017,CUW,9380.0
2018,CUW,9380.0
2019,CUW,9380.0
2020,CUW,9380.0
2015,CYM,9380.0
2016,CYM,9380.0
2017,CYM,9380.0
2018,CYM,9380.0
2019,CYM,9380.0
2020,CYM,9380.0
2015,CYP,9380.0
2016,CYP,9380.0
2017,CYP,9380.0
2018,CYP,9380.0
2019,CYP,9380.0
2020,CYP,9380.0
2015,CZE,9380.0
2016,CZE,9380.0
2017,CZE,9380.0
2018,CZE,9380.0
2019,CZE,9380.0
2020,CZE,9380.0
2015,DEU,9380.0
2016,DEU,9380.0
2017,DEU,9380.0
2018,DEU,9380.0
2019,DEU,9380.0
2020,DEU,9380.0
2015,DJI,9380.0
2016,DJI,9380.0
2017,DJI,9380.0
2018,DJI,9380.0
2019,DJI,9380.0
2020,DJI,9380.0
2015,DMA,9380.0
2016,DMA,9380.0
2017,DMA,9380.0
2018,DMA,9380.0
2019,DMA,9380.0
2020,DMA,9380.0
2015,DNK,9380.0
2016,DNK,9380.0
2017,DNK,9380.0
2018,DNK,9380.0
2019,DNK,9380.0
2020,DNK,9380.0
2015,DOM,9380.0
2016,DOM,9380.0
2017,DOM,9380.0
2018,DOM,9380.0
2019,DOM,9380.0
2020,DOM,9380.0
2015,DZA,9380.0
2016,DZA,9380.0
2017,DZA,9380.0
2018,DZA,9380.0
2019,DZA,9380.0
2020,DZA,9380.0
2015,ECU,9380.0
2016,ECU,9380.0
2017,ECU,9380.0
2018,ECU,9380.0
2019,ECU,9380.0
2020,ECU,9380.0
2015,EGY,9380.0
2016,EGY,9380.0
2017,EGY,9380.0
2018,EGY,9380.0
2019,EGY,9380.0
2020,EGY,9380.0
2015,ERI,9380.0
2016,ERI,9380.0
2017,ERI,9380.0
2018,ERI,9380.0
2019,ERI,9380.0
2020,ERI,9380.0
2015,ESP,9380.0
2016,ESP,9380.0
2017,ESP,9380.0
2018,ESP,9380.0
2019,ESP,9380.0
2020,ESP,9380.0
2015,EST,9380.0
2016,EST,9380.0
2017,EST,9380.0
2018,EST,9380.0
2019,EST,9380.0
2020,EST,9380.0
2015,ETH,9380.0
2016,ETH,9380.0
2017,ETH,9380.0
2018,ETH,9380.0
2019,ETH,9380.0
2020,ETH,9380.0
2015,FIN,9380.0
2016,FIN,9380.0
2017,FIN,9380.0
2018,FIN,9380.0
2019,FIN,9380.0
2020,FIN,9380.0
2015,FJI,9380.0
2016,FJI,9380.0
2017,FJI,9380.0
2018,FJI,9380.0
2019,FJI,9380.0
2020,FJI,9380.0
2015,FRA,9380.0
2016,FRA,9380.0
2017,FRA,9380.0
2018,FRA,9380.0
2019,FRA,9380.0
2020,FRA,9380.0
2015,FRO,9380.0
2016,FRO,9380.0
2017,FRO,9380.0
2018,FRO,9380.0
2019,FRO,9380.0
2020,FRO,9380.0
2015,FSM,9380.0
2016,FSM,9380.0
2017,FSM,9380.0
2018,FSM,9380.0
2019,FSM,9380.0
2020,FSM,9380.0
2015,GAB,9380.0
2016,GAB,9380.0
2017,GAB,9380.0
2018,GAB,9380.0
2019,GAB,9380.0
2020,GAB,9380.0
2015,GBR,9380.0
2016,GBR,9380.0
2017,GBR,9380.0
2018,GBR,9380.0
2019,GBR,9380.0
2020,GBR,9380.0
2015,GEO,9380.0
2016,GEO,9380.0
2017,GEO,9380.0
2018,GEO,9380.0
2019,GEO,9380.0
2020,GEO,9380.0
2015,GHA,9380.0
2016,GHA,9380.0
2017,GHA,9380.0
2018,GHA,9380.0
2019,GHA,9380.0
2020,GHA,9380.0
2015,GIB,9380.0
2016,GIB,9380.0
2017,GIB,9380.0
2018,GIB,9380.0
2019,GIB,9380.0
2020,GIB,9380.0
2015,GIN,9380.0
2016,GIN,9380.0
2017,GIN,9380.0
2018,GIN,9380.0
2019,GIN,9380.0
2020,GIN,9380.0
2015,GMB,9380.0
2016,GMB,9380.0
2017,GMB,9380.0
2018,GMB,9380.0
2019,GMB,9380.0
2020,GMB,9380.0
2015,GNB,9380.0
2016,GNB,9380.0
2017,GNB,9380.0
2018,GNB,9380.0
2019,GNB,9380.0
2020,GNB,9380.0
2015,GNQ,9380.0
2016,GNQ,9380.0
2017,GNQ,9380.0
2018,GNQ,9380.0
2019,GNQ,9380.0
2020,GNQ,9380.0
2015,GRC,9380.0
2016,GRC,9380.0
2017,GRC,9380.0
2018,GRC,9380.0
2019,GRC,9380.0
2020,GRC,9380.0
2015,GRD,9380.0
2016,GRD,9380.0
2017,GRD,9380.0
2018,GRD,9380.0
2019,GRD,9380.0
2020,GRD,9380.0
2015,GRL,9380.0
2016,GRL,9380.0
2017,GRL,9380.0
2018,GRL,9380.0
2019,GRL,9380.0
2020,GRL,9380.0
2015,GTM,9380.0
2016,GTM,9380.0
2017,GTM,9380.0
2018,GTM,9380.0
2019,GTM,9380.0
2020,GTM,9380.0
2015,GUM,9380.0
2016,GUM,9380.0
2017,GUM,9380.0
2018,GUM,9380.0
2019,GUM,9380.0
2020,GUM,9380.0
2015,GUY,9380.0
2016,GUY,9380.0
2017,GUY,9380.0
2018,GUY,9380.0
2019,GUY,9380.0
2020,GUY,9380.0
2015,HKG,9380.0
2016,HKG,9380.0
2017,HKG,9380.0
2018,HKG,9380.0
2019,HKG,9380.0
2020,HKG,9380.0
2015,HND,9380.0
2016,HND,9380.0
2017,HND,9380.0
2018,HND,9380.0
2019,HND,9380.0
2020,HND,9380.0
2015,HRV,9380.0
2016,HRV,9380.0
2017,HRV,9380.0
2018,HRV,9380.0
2019,HRV,9380.0
2020,HRV,9380.0
2015,HTI,9380.0
2016,HTI,9380.0
2017,HTI,9380.0
2018,HTI,9380.0
2019,HTI,9380.0
2020,HTI,9380.0
2015,HUN,9380.0
2016,HUN,9380.0
2017,HUN,9380.0
2018,HUN,9380.0
2019,HUN,9380.0
2020,HUN,9380.0
2015,IDN,9380.0
2016,IDN,9380.0
2017,IDN,9380.0
2018,IDN,9380.0
2019,IDN,9380.0
2020,IDN,9380.0
2015,IMN,9380.0
2016,IMN,9380.0
2017,IMN,9380.0
2018,IMN,9380.0
2019,IMN,9380.0
2020,IMN,9380.0
2015,IND,9380.0
2016,IND,9380.0
2017,IND,9380.0
2018,IND,9380.0
2019,IND,9380.0
2020,IND,9380.0
2015,IRL,9380.0
2016,IRL,9380.0
2017,IRL,9380.0
2018,IRL,9380.0
2019,IRL,9380.0
2020,IRL,9380.0
2015,IRN,9380.0
2016,IRN,9380.0
2017,IRN,9380.0
2018,IRN,9380.0
2019,IRN,9380.0
2020,IRN,9380.0
2015,IRQ,9380.0
2016,IRQ,9380.0
2017,IRQ,9380.0
2018,IRQ,9380.0
2019,IRQ,9380.0
2020,IRQ,9380.0
2015,ISL,9380.0
2016,ISL,9380.0
2017,ISL,9380.0
2018,ISL,9380.0
2019,ISL,9380.0
2020,ISL,9380.0
2015,ISR,9380.0
2016,ISR,9380.0
2017,ISR,9380.0
2018,ISR,9380.0
2019,ISR,9380.0
2020,ISR,9380.0
2015,ITA,9380.0
2016,ITA,9380.0
2017,ITA,9380.0
2018,ITA,9380.0
2019,ITA,9380.0
2020,ITA,9380.0
2015,JAM,9380.0
2016,JAM,9380.0
2017,JAM,9380.0
2018,JAM,9380.0
2019,JAM,9380.0
2020,JAM,9380.0
2015,JOR,9380.0
2016,JOR,9380.0
2017,JOR,9380.0
2018,JOR,9380.0
2019,JOR,9380.0
2020,JOR,9380.0
2015,JPN,9380.0
2016,JPN,9380.0
2017,JPN,9380.0
2018,JPN,9380.0
2019,JPN,9380.0
2020,JPN,9380.0
2015,KAZ,9380.0
2016,KAZ,9380.0
2017,KAZ,9380.0
2018,KAZ,9380.0
2019,KAZ,9380.0
2020,KAZ,9380.0
2015,KEN,9380.0
2016,KEN,9380.0
2017,KEN,9380.0
2018,KEN,9380.0
2019,KEN,9380.0
2020,KEN,9380.0
2015,KGZ,9380.0
2016,KGZ,9380.0
2017,KGZ,9380.0
2018,KGZ,9380.0
2019,KGZ,9380.0
2020,KGZ,9380.0
2015,KHM,9380.0
2016,KHM,9380.0
2017,KHM,9380.0
2018,KHM,9380.0
2019,KHM,9380.0
2020,KHM,9380.0
2015,KIR,9380.0
2016,KIR,9380.0
2017,KIR,9380.0
2018,KIR,9380.0
2019,KIR,9380.0
2020,KIR,9380.0
2015,KNA,9380.0
2016,KNA,9380.0
2017,KNA,9380.0
2018,KNA,9380.0
2019,KNA,9380.0
2020,KNA,9380.0
2015,KOR,9380.0
2016,KOR,9380.0
2017,KOR,9380.0
2018,KOR,9380.0
2019,KOR,9380.0
2020,KOR,9380.0
2015,KWT,9380.0
2016,KWT,9380.0
2017,KWT,9380.0
2018,KWT,9380.0
2019,KWT,9380.0
2020,KWT,9380.0
2015,LAO,9380.0
2016,LAO,9380.0
2017,LAO,9380.0
2018,LAO,9380.0
2019,LAO,9380.0
2020,LAO,9380.0
2015,LBN,9380.0
2016,LBN,9380.0
2017,LBN,9380.0
2018,LBN,9380.0
2019,LBN,9380.0
2020,LBN,9380.0
2015,LBR,9380.0
2016,LBR,9380.0
2017,LBR,9380.0
2018,LBR,9380.0
2019,LBR,9380.0
2020,LBR,9380.0
2015,LBY,9380.0
2016,LBY,9380.0
2017,LBY,9380.0
2018,LBY,9380.0
2019,LBY,9380.0
2020,LBY,9380.0
2015,LCA,9380.0
2016,LCA,9380.0
2017,LCA,9380.0
2018,LCA,9380.0
2019,LCA,9380.0
2020,LCA,9380.0
2015,LIE,9380.0
2016,LIE,9380.0
2017,LIE,9380.0
2018,LIE,9380.0
2019,LIE,9380.0
2020,LIE,9380.0
2015,LKA,9380.0
2016,LKA,9380.0
2017,LKA,9380.0
2018,LKA,9380.0
2019,LKA,9380.0
2020,LKA,9380.0
2015,LSO,9380.0
2016,LSO,9380.0
2017,LSO,9380.0
2018,LSO,9380.0
2019,LSO,9380.0
2020,LSO,9380.0
2015,LTU,9380.0
2016,LTU,9380.0
2017,LTU,9380.0
2018,LTU,9380.0
2019,LTU,9380.0
2020,LTU,9380.0
2015,LUX,9380.0
2016,LUX,9380.0
2017,LUX,9380.0
2018,LUX,9380.0
2019,LUX,9380.0
2020,LUX,9380.0
2015,LVA,9380.0
2016,LVA,9380.0
2017,LVA,9380.0
2018,LVA,9380.0
2019,LVA,9380.0
2020,LVA,9380.0
2015,MAC,9380.0
2016,MAC,9380.0
2017,MAC,9380.0
2018,MAC,9380.0
2019,MAC,9380.0
2020,MAC,9380.0
2015,MAF,9380.0
2016,MAF,9380.0
2017,MAF,9380.0
2018,MAF,9380.0
2019,MAF,9380.0
2020,MAF,9380.0
2015,MAR,9380.0
2016,MAR,9380.0
2017,MAR,9380.0
2018,MAR,9380.0
2019,MAR,9380.0
2020,MAR,9380.0
2015,MCO,9380.0
2016,MCO,9380.0
2017,MCO,9380.0
2018,MCO,9380.0
2019,MCO,9380.0
2020,MCO,9380.0
2015,MDA,9380.0
2016,MDA,9380.0
2017,MDA,9380.0
2018,MDA,9380.0
2019,MDA,9380.0
2020,MDA,9380.0
2015,MDG,9380.0
2016,MDG,9380.0
2017,MDG,9380.0
2018,MDG,9380.0
2019,MDG,9380.0
2020,MDG,9380.0
2015,MDV,9380.0
2016,MDV,9380.0
2017,MDV,9380.0
2018,MDV,9380.0
2019,MDV,9380.0
2020,MDV,9380.0
2015,MEX,9380.0
2016,MEX,9380.0
2017,MEX,9380.0
2018,MEX,9380.0
2019,MEX,9380.0
2020,MEX,9380.0
2015,MHL,9380.0
2016,MHL,9380.0
2017,MHL,9380.0
2018,MHL,9380.0
2019,MHL,9380.0
2020,MHL,9380.0
2015,MKD,9380.0
2016,MKD,9380.0
2017,MKD,9380.0
2018,MKD,9380.0
2019,MKD,9380.0
2020,MKD,9380.0
2015,MLI,9380.0
2016,MLI,9380.0
2017,MLI,9380.0
2018,MLI,9380.0
2019,MLI,9380.0
2020,MLI,9380.0
2015,MLT,9380.0
2016,MLT,9380.0
2017,MLT,9380.0
2018,MLT,9380.0
2019,MLT,9380.0
2020,MLT,9380.0
2015,MMR,9380.0
2016,MMR,9380.0
2017,MMR,9380.0
2018,MMR,9380.0
2019,MMR,9380.0
2020,MMR,9380.0
2015,MNE,9380.0
2016,MNE,9380.0
2017,MNE,9380.0
2018,MNE,9380.0
2019,MNE,9380.0
2020,MNE,9380.0
2015,MNG,9380.0
2016,MNG,9380.0
2017,MNG,9380.0
2018,MNG,9380.0
2019,MNG,9380.0
2020,MNG,9380.0
2015,MNP,9380.0
2016,MNP,9380.0
2017,MNP,9380.0
2018,MNP,9380.0
2019,MNP,9380.0
2020,MNP,9380.0
2015,MOZ,9380.0
2016,MOZ,9380.0
2017,MOZ,9380.0
2018,MOZ,9380.0
2019,MOZ,9380.0
2020,MOZ,9380.0
2015,MRT,9380.0
2016,MRT,9380.0
2017,MRT,9380.0
2018,MRT,9380.0
2019,MRT,9380.0
2020,MRT,9380.0
2015,MUS,9380.0
2016,MUS,9380.0
2017,MUS,9380.0
2018,MUS,9380.0
2019,MUS,9380.0
2020,MUS,9380.0
2015,MWI,9380.0
2016,MWI,9380.0
2017,MWI,9380.0
2018,MWI,9380.0
2019,MWI,9380.0
2020,MWI,9380.0
2015,MYS,9380.0
2016,MYS,9380.0
2017,MYS,9380.0
2018,MYS,9380.0
2019,MYS,9380.0
2020,MYS,9380.0
2015,NAM,9380.0
2016,NAM,9380.0
2017,NAM,9380.0
2018,NAM,9380.0
2019,NAM,9380.0
2020,NAM,9380.0
2015,NCL,9380.0
2016,NCL,9380.0
2017,NCL,9380.0
2018,NCL,9380.0
2019,NCL,9380.0
2020,NCL,9380.0
2015,NER,9380.0
2016,NER,9380.0
2017,NER,9380.0
2018,NER,9380.0
2019,NER,9380.0
2020,NER,9380.0
2015,NGA,9380.0
2016,NGA,9380.0
2017,NGA,9380.0
2018,NGA,9380.0
2019,NGA,9380.0
2020,NGA,9380.0
2015,NIC,9380.0
2016,NIC,9380.0
2017,NIC,9380.0
2018,NIC,9380.0
2019,NIC,9380.0
2020,NIC,9380.0
2015,NLD,9380.0
2016,NLD,9380.0
2017,NLD,9380.0
2018,NLD,9380.0
2019,NLD,9380.0
2020,NLD,9380.0
2015,NOR,9380.0
2016,NOR,9380.0
2017,NOR,9380.0
2018,NOR,9380.0
2019,NOR,9380.0
2020,NOR,9380.0
2015,NPL,9380.0
2016,NPL,9380.0
2017,NPL,9380.0
2018,NPL,9380.0
2019,NPL,9380.0
2020,NPL,9380.0
2015,NRU,9380.0
2016,NRU,9380.0
2017,NRU,9380.0
2018,NRU,9380.0
2019,NRU,9380.0
2020,NRU,9380.0
2015,NZL,9380.0
2016,NZL,9380.0
2017,NZL,9380.0
2018,NZL,9380.0
2019,NZL,9380.0
2020,NZL,9380.0
2015,OMN,9380.0
2016,OMN,9380.0
2017,OMN,9380.0
2018,OMN,9380.0
2019,OMN,9380.0
2020,OMN,9380.0
2015,PAK,9380.0
2016,PAK,9380.0
2017,PAK,9380.0
2018,PAK,9380.0
2019,PAK,9380.0
2020,PAK,9380.0
2015,PAN,9380.0
2016,PAN,9380.0
2017,PAN,9380.0
2018,PAN,9380.0
2019,PAN,9380.0
2020,PAN,9380.0
2015,PER,9380.0
2016,PER,9380.0
2017,PER,9380.0
2018,PER,9380.0
2019,PER,9380.0
2020,PER,9380.0
2015,PHL,9380.0
2016,PHL,9380.0
2017,PHL,9380.0
2018,PHL,9380.0
2019,PHL,9380.0
2020,PHL,9380.0
2015,PLW,9380.0
2016,PLW,9380.0
2017,PLW,9380.0
2018,PLW,9380.0
2019,PLW,9380.0
2020,PLW,9380.0
2015,PNG,9380.0
2016,PNG,9380.0
2017,PNG,9380.0
2018,PNG,9380.0
2019,PNG,9380.0
2020,PNG,9380.0
2015,POL,9380.0
2016,POL,9380.0
2017,POL,9380.0
2018,POL,9380.0
2019,POL,9380.0
2020,POL,9380.0
2015,PRI,9380.0
2016,PRI,9380.0
2017,PRI,9380.0
2018,PRI,9380.0
2019,PRI,9380.0
2020,PRI,9380.0
2015,PRK,9380.0
2016,PRK,9380.0
2017,PRK,9380.0
2018,PRK,9380.0
2019,PRK,9380.0
2020,PRK,9380.0
2015,PRT,9380.0
2016,PRT,9380.0
2017,PRT,9380.0
2018,PRT,9380.0
2019,PRT,9380.0
2020,PRT,9380.0
2015,PRY,9380.0
2016,PRY,9380.0
2017,PRY,9380.0
2018,PRY,9380.0
2019,PRY,9380.0
2020,PRY,9380.0
2015,PYF,9380.0
2016,PYF,9380.0
2017,PYF,9380.0
2018,PYF,9380.0
2019,PYF,9380.0
2020,PYF,9380.0
2015,QAT,9380.0
2016,QAT,9380.0
2017,QAT,9380.0
2018,QAT,9380.0
2019,QAT,9380.0
2020,QAT,9380.0
2015,ROU,9380.0
2016,ROU,9380.0
2017,ROU,9380.0
2018,ROU,9380.0
2019,ROU,9380.0
2020,ROU,9380.0
2015,RUS,9380.0
2016,RUS,9380.0
2017,RUS,9380.0
2018,RUS,9380.0
2019,RUS,9380.0
2020,RUS,9380.0
2015,RWA,9380.0
2016,RWA,9380.0
2017,RWA,9380.0
2018,RWA,9380.0
2019,RWA,9380.0
2020,RWA,9380.0
2015,SAU,9380.0
2016,SAU,9380.0
2017,SAU,9380.0
2018,SAU,9380.0
2019,SAU,9380.0
2020,SAU,9380.0
2015,SDN,9380.0
2016,SDN,9380.0
2017,SDN,9380.0
2018,SDN,9380.0
2019,SDN,9380.0
2020,SDN,9380.0
2015,SEN,9380.0
2016,SEN,9380.0
2017,SEN,9380.0
2018,SEN,9380.0
2019,SEN,9380.0
2020,SEN,9380.0
2015,SGP,9380.0
2016,SGP,9380.0
2017,SGP,9380.0
2018,SGP,9380.0
2019,SGP,9380.0
2020,SGP,9380.0
2015,SLB,9380.0
2016,SLB,9380.0
2017,SLB,9380.0
2018,SLB,9380.0
2019,SLB,9380.0
2020,SLB,9380.0
2015,SLE,9380.0
2016,SLE,9380.0
2017,SLE,9380.0
2018,SLE,9380.0
2019,SLE,9380.0
2020,SLE,9380.0
2015,SLV,9380.0
2016,SLV,9380.0
2017,SLV,9380.0
2018,SLV,9380.0
2019,SLV,9380.0
2020,SLV,9380.0
2015,SMR,9380.0
2016,SMR,9380.0
2017,SMR,9380.0
2018,SMR,9380.0
2019,SMR,9380.0
2020,SMR,9380.0
2015,SOM,9380.0
2016,SOM,9380.0
2017,SOM,9380.0
2018,SOM,9380.0
2019,SOM,9380.0
2020,SOM,9380.0
2015,SRB,9380.0
2016,SRB,9380.0
2017,SRB,9380.0
2018,SRB,9380.0
2019,SRB,9380.0
2020,SRB,9380.0
2015,SSD,9380.0
2016,SSD,9380.0
2017,SSD,9380.0
2018,SSD,9380.0
2019,SSD,9380.0
2020,SSD,9380.0
2015,STP,9380.0
2016,STP,9380.0
2017,STP,9380.0
2018,STP,9380.0
2019,STP,9380.0
2020,STP,9380.0
2015,SUR,9380.0
2016,SUR,9380.0
2017,SUR,9380.0
2018,SUR,9380.0
2019,SUR,9380.0
2020,SUR,9380.0
2015,SVK,9380.0
2016,SVK,9380.0
2017,SVK,9380.0
2018,SVK,9380.0
2019,SVK,9380.0
2020,SVK,9380.0
2015,SVN,9380.0
2016,SVN,9380.0
2017,SVN,9380.0
2018,SVN,9380.0
2019,SVN,9380.0
2020,SVN,9380.0
2015,SWE,9380.0
2016,SWE,9380.0
2017,SWE,9380.0
2018,SWE,9380.0
2019,SWE,9380.0
2020,SWE,9380.0
2015,SWZ,9380.0
2016,SWZ,9380.0
2017,SWZ,9380.0
2018,SWZ,9380.0
2019,SWZ,9380.0
2020,SWZ,9380.0
2015,SXM,9380.0
2016,SXM,9380.0
2017,SXM,9380.0
2018,SXM,9380.0
2019,SXM,9380.0
2020,SXM,9380.0
2015,SYC,9380.0
2016,SYC,9380.0
2017,SYC,9380.0
2018,SYC,9380.0
2019,SYC,9380.0
2020,SYC,9380.0
2015,SYR,9380.0
2016,SYR,9380.0
2017,SYR,9380.0
2018,SYR,9380.0
2019,SYR,9380.0
2020,SYR,9380.0
2015,TCA,9380.0
2016,TCA,9380.0
2017,TCA,9380.0
2018,TCA,9380.0
2019,TCA,9380.0
2020,TCA,9380.0
2015,TCD,9380.0
2016,TCD,9380.0
2017,TCD,9380.0
2018,TCD,9380.0
2019,TCD,9380.0
2020,TCD,9380.0
2015,TGO,9380.0
2016,TGO,9380.0
2017,TGO,9380.0
2018,TGO,9380.0
2019,TGO,9380.0
2020,TGO,9380.0
2015,THA,9380.0
2016,THA,9380.0
2017,THA,9380.0
2018,THA,9380.0
2019,THA,9380.0
2020,THA,9380.0
2015,TJK,9380.0
2016,TJK,9380.0
2017,TJK,9380.0
2018,TJK,9380.0
2019,TJK,9380.0
2020,TJK,9380.0
2015,TKM,9380.0
2016,TKM,9380.0
2017,TKM,9380.0
2018,TKM,9380.0
2019,TKM,9380.0
2020,TKM,9380.0
2015,TLS,9380.0
2016,TLS,9380.0
2017,TLS,9380.0
2018,TLS,9380.0
2019,TLS,9380.0
2020,TLS,9380.0
2015,TON,9380.0
2016,TON,9380.0
2017,TON,9380.0
2018,TON,9380.0
2019,TON,9380.0
2020,TON,9380.0
2015,TTO,9380.0
2016,TTO,9380.0
2017,TTO,9380.0
2018,TTO,9380.0
2019,TTO,9380.0
2020,TTO,9380.0
