Year,iso_code3,cost_enfu_fuel_gasoline_usd_per_m3
2016,MKD,2070.2170293586955
2017,MKD,2070.2170293586955
2018,MKD,2070.2170293586955
2019,MKD,2070.2170293586955
2020,MKD,2070.2170293586955
2015,MLI,2070.2170293586955
2016,MLI,2070.2170293586955
2017,MLI,2070.2170293586955
2018,MLI,2070.2170293586955
2019,MLI,2070.2170293586955
2020,MLI,2070.2170293586955
2015,MLT,2348.571429
2016,MLT,2348.571429
2017,MLT,2348.571429
2018,MLT,2348.571429
2019,MLT,2348.571429
2020,MLT,2348.571429
2015,MMR,2070.2170293586955
2016,MMR,2070.2170293586955
2017,MMR,2070.2170293586955
2018,MMR,2070.2170293586955
2019,MMR,2070.2170293586955
2020,MMR,2070.2170293586955
2015,MNE,2062.733897
2016,MNE,2062.733897
2017,MNE,2062.733897
2018,MNE,2062.733897
2019,MNE,2062.733897
2020,MNE,2062.733897
2015,MNG,2070.2170293586955
2016,MNG,2070.2170293586955
2017,MNG,2070.2170293586955
2018,MNG,2070.2170293586955
2019,MNG,2070.2170293586955
2020,MNG,2070.2170293586955
2015,MNP,2070.2170293586955
2016,MNP,2070.2170293586955
2017,MNP,2070.2170293586955
2018,MNP,2070.2170293586955
2019,MNP,2070.2170293586955
2020,MNP,2070.2170293586955
2015,MOZ,2070.2170293586955
2016,MOZ,2070.2170293586955
2017,MOZ,2070.2170293586955
2018,MOZ,2070.2170293586955
2019,MOZ,2070.2170293586955
2020,MOZ,2070.2170293586955
2015,MRT,2070.2170293586955
2016,MRT,2070.2170293586955
2017,MRT,2070.2170293586955
2018,MRT,2070.2170293586955
2019,MRT,2070.2170293586955
2020,MRT,2070.2170293586955
2015,MUS,2925.714286
2016,MUS,2925.714286
2017,MUS,2925.714286
2018,MUS,2925.714286
2019,MUS,2925.714286
2020,MUS,2925.714286
2015,MWI,2070.2170293586955
2016,MWI,2070.2170293586955
2017,MWI,2070.2170293586955
2018,MWI,2070.2170293586955
2019,MWI,2070.2170293586955
2020,MWI,2070.2170293586955
2015,MYS,1455.384615
2016,MYS,1455.384615
2017,MYS,1455.384615
2018,MYS,1455.384615
2019,MYS,1455.384615
2020,MYS,1455.384615
2015,NAM,2070.2170293586955
2016,NAM,2070.2170293586955
2017,NAM,2070.2170293586955
2018,NAM,2070.2170293586955
2019,NAM,2070.2170293586955
2020,NAM,2070.2170293586955
2015,NCL,2070.2170293586955
2016,NCL,2070.2170293586955
2017,NCL,2070.2170293586955
2018,NCL,2070.2170293586955
2019,NCL,2070.2170293586955
2020,NCL,2070.2170293586955
2015,NER,2070.2170293586955
2016,NER,2070.2170293586955
2017,NER,2070.2170293586955
2018,NER,2070.2170293586955
2019,NER,2070.2170293586955
2020,NER,2070.2170293586955
2015,NGA,1310.0
2016,NGA,1310.0
2017,NGA,1310.0
2018,NGA,1310.0
2019,NGA,1310.0
2020,NGA,1310.0
2015,NIC,2882.857143
2016,NIC,2882.857143
2017,NIC,2882.857143
2018,NIC,2882.857143
2019,NIC,2882.857143
2020,NIC,2882.857143
2015,NLD,1972.5
2016,NLD,1972.5
2017,NLD,1972.5
2018,NLD,1972.5
2019,NLD,1972.5
2020,NLD,1972.5
2015,NOR,1512.727273
2016,NOR,1512.727273
2017,NOR,1512.727273
2018,NOR,1512.727273
2019,NOR,1512.727273
2020,NOR,1512.727273
2015,NPL,2070.2170293586955
2016,NPL,2070.2170293586955
2017,NPL,2070.2170293586955
2018,NPL,2070.2170293586955
2019,NPL,2070.2170293586955
2020,NPL,2070.2170293586955
2015,NRU,2070.2170293586955
2016,NRU,2070.2170293586955
2017,NRU,2070.2170293586955
2018,NRU,2070.2170293586955
2019,NRU,2070.2170293586955
2020,NRU,2070.2170293586955
2015,NZL,1377.5
2016,NZL,1377.5
2017,NZL,1377.5
2018,NZL,1377.5
2019,NZL,1377.5
2020,NZL,1377.5
2015,OMN,2062.733897
2016,OMN,2062.733897
2017,OMN,2062.733897
2018,OMN,2062.733897
2019,OMN,2062.733897
2020,OMN,2062.733897
2015,PAK,3483.333333
2016,PAK,3483.333333
2017,PAK,3483.333333
2018,PAK,3483.333333
2019,PAK,3483.333333
2020,PAK,3483.333333
2015,PAN,1602.857143
2016,PAN,1602.857143
2017,PAN,1602.857143
2018,PAN,1602.857143
2019,PAN,1602.857143
2020,PAN,1602.857143
2015,PER,2478.666667
2016,PER,2478.666667
2017,PER,2478.666667
2018,PER,2478.666667
2019,PER,2478.666667
2020,PER,2478.666667
2015,PHL,2541.111111
2016,PHL,2541.111111
2017,PHL,2541.111111
2018,PHL,2541.111111
2019,PHL,2541.111111
2020,PHL,2541.111111
2015,PLW,2070.2170293586955
2016,PLW,2070.2170293586955
2017,PLW,2070.2170293586955
2018,PLW,2070.2170293586955
2019,PLW,2070.2170293586955
2020,PLW,2070.2170293586955
2015,PNG,2070.2170293586955
2016,PNG,2070.2170293586955
2017,PNG,2070.2170293586955
2018,PNG,2070.2170293586955
2019,PNG,2070.2170293586955
2020,PNG,2070.2170293586955
2015,POL,2859.375
2016,POL,2859.375
