Year,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_ocean
2031,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2032,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2033,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2034,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2035,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2036,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2037,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2038,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2039,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2040,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2041,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2042,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2043,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2044,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2045,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2046,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2047,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2048,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2049,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
2050,6.25567770748451e-05,0.0019338203695745595,0.03432191173510741,0.8020812367746813,0.021987347211871646,0.13540550390843864,0.0019990970065222238,0.002208526216729314,0.0,0.0
