Year,iso_code3,net_imports_cement_clinker_tonne
2020,BFA,2076739.8
2010,BGD,8461680.0
2011,BGD,8642599.875
2012,BGD,9952320.0
2013,BGD,10024899.884
2014,BGD,9759477.43975
2015,BGD,12374500.0
2016,BGD,9759477.43975
2017,BGD,9759477.43975
2018,BGD,9759477.43975
2019,BGD,9759477.43975
2020,BGD,9759477.43975
2010,BGR,10920.72
2011,BGR,9347.180000000002
2012,BGR,-281786.6
2013,BGR,-232091.42
2014,BGR,-250150.1
2015,BGR,-327122.1
2016,BGR,-510610.4
2017,BGR,-562791.9
2018,BGR,-315963.3
2019,BGR,-126568.8
2020,BGR,-94241.1
2010,BHR,182736.0
2011,BHR,36335.4
2012,BHR,416565.0
2013,BHR,147206.0
2014,BHR,341961.0
2015,BHR,249755.0
2016,BHR,215699.0
2017,BHR,-2.772
2018,BHR,1059540.0
2019,BHR,572641.8
2020,BHR,646714.0
2010,BHS,274.882
2011,BHS,136.851
2012,BHS,239.319
2013,BHS,287.492
2014,BHS,104.283
2015,BHS,2322.52
2016,BHS,12692.762
2017,BHS,10870.0
2018,BHS,7372.2
2019,BHS,10337.572782
2020,BHS,7963.55
2010,BIH,72.0
2011,BIH,-3.0
2012,BIH,50056.386
2013,BIH,-18972.364003
2014,BIH,1.4840000000000002
2015,BIH,6.9
2016,BIH,19.008
2017,BIH,-5063.186
2018,BIH,-34346.14103
2019,BIH,-65903.008
2020,BIH,-59120.7
2010,BLR,138979.3
2011,BLR,24643.5
2012,BLR,13.9
2013,BLR,2.751
2014,BLR,0.235
2015,BLR,-210.0
2016,BLR,13223.972214285712
2017,BLR,-2774.23
2018,BLR,14.8845
2019,BLR,13223.972214285712
2020,BLR,13223.972214285712
2012,BLZ,-35.0
2013,BLZ,3.1870000000000003
2014,BLZ,11.664
2015,BLZ,0.668
2016,BLZ,1.957
2017,BLZ,2852.9250642857146
2018,BLZ,2852.9250642857146
2019,BLZ,4.73925
2020,BLZ,0.5602
2010,BMU,97.86
2011,BMU,96.474
2012,BMU,0.0
2013,BMU,0.716
2014,BMU,4.673
2015,BMU,0.752
2016,BMU,18.077
2017,BMU,0.775
2018,BMU,0.308
2019,BMU,1.41478
2020,BMU,1.082
2010,BOL,238304.0
2011,BOL,214551.0
2012,BOL,167821.0
2013,BOL,189003.0
2014,BOL,171266.0
2015,BOL,178561.0
2016,BOL,119027.0
2017,BOL,-154986.37
2018,BOL,-72241.2
2019,BOL,-40532.84
2020,BOL,642.91
2010,BRA,1065810.0
2011,BRA,1625697.5
2012,BRA,1965611.9
2013,BRA,1422844.0
2014,BRA,-139302.0
2015,BRA,793469.0
2016,BRA,261235.0
2017,BRA,316422.86
2018,BRA,487109.05
2019,BRA,455863.985
2020,BRA,442036.0
2011,BRB,7.019
2012,BRB,2.998
2013,BRB,8409.210000000001
2014,BRB,944.045777777778
2015,BRB,-0.002
2016,BRB,7.547000000000001
2017,BRB,3042.973
2018,BRB,1151.14
2019,BRB,-6.336
2020,BRB,3.5
2010,BRN,214956.947
2011,BRN,303337.734
2012,BRN,307584.843
2013,BRN,256698.889
2014,BRN,175981.931
2015,BRN,181798.837
2016,BRN,192599.939
2017,BRN,283985.0
2018,BRN,266245.966
2019,BRN,128920.0
2020,BRN,102164.9996
2010,BTN,6927.350000000001
2011,BTN,13223.1
2012,BTN,-5809.299999999999
2013,BTN,5317.125000000001
2014,BTN,5317.125000000001
2015,BTN,5317.125000000001
2016,BTN,5317.125000000001
2017,BTN,5317.125000000001
2018,BTN,5317.125000000001
2019,BTN,5317.125000000001
2020,BTN,5317.125000000001
2010,BWA,322.63800000000003
2011,BWA,4701.04
2012,BWA,5867.97
2013,BWA,3510.1720000000005
2014,BWA,6529.675
2015,BWA,22328.14
2016,BWA,11570.763
2017,BWA,-111.48
2018,BWA,1116.135
2019,BWA,872.988
2020,BWA,1917.38
2010,CAF,64.0
2011,CAF,215.53360000000004
2012,CAF,288.0
2013,CAF,215.53360000000004
2014,CAF,215.53360000000004
2015,CAF,215.53360000000004
2016,CAF,65.0
2017,CAF,215.53360000000004
2018,CAF,900.0
2019,CAF,210.668
2020,CAF,0.0
2010,CAN,-415711.0
2011,CAN,-517729.0
2012,CAN,-646905.0
2013,CAN,-661613.0
2014,CAN,-537380.0
2015,CAN,-588307.0
2016,CAN,-609072.0
2017,CAN,-672850.0
2018,CAN,-589739.0
2019,CAN,-572497.95
2020,CAN,-569552.7
2010,CHE,67962.37
2011,CHE,46013.024
2012,CHE,2544.465
2013,CHE,62166.518
2014,CHE,82741.209
2015,CHE,-16309.4
2016,CHE,8583.960000000001
2017,CHE,5382.369999999999
2018,CHE,29786.898
2019,CHE,-6.79378
2020,CHE,12545.359
2010,CHL,573907.0
2011,CHL,991330.0
2012,CHL,1172288.8
2013,CHL,-2920.0
2014,CHL,1080372.167
2015,CHL,0.0
2016,CHL,-3.1
2017,CHL,0.0
2018,CHL,2142610.0
2019,CHL,0.0
2020,CHL,1551418.819
2010,CHN,-5373558.0
2011,CHN,-261900.0
2012,CHN,-2612032.0
2013,CHN,-3349891.0
2014,CHN,-3625388.0
2015,CHN,-6551348.41
2016,CHN,-8248084.7
2017,CHN,-3227929.0
2018,CHN,-1503480.0
2019,CHN,-440697.0
2020,CHN,0.0
2010,CIV,1156490.0
2011,CIV,972098.91
2012,CIV,1395320.0
2013,CIV,1490527.4
2014,CIV,1726598.5
2015,CIV,1911700.0
2016,CIV,2086666.98
2017,CIV,3027149.94
2018,CIV,3140654.045
2019,CIV,3068162.0
2020,CIV,3666540.43
2010,CMR,713812.972
2011,CMR,582715.0
2012,CMR,772513.0
2013,CMR,630689.95
2014,CMR,875564.55
2015,CMR,1340350.083
2016,CMR,1887380.0
2017,CMR,5257098.82
2018,CMR,1991000.0
2019,CMR,1391402.183125
2020,CMR,1391402.183125
2010,COG,85.35000000000001
2011,COG,72.894
2012,COG,298.5
2013,COG,1232.25
2014,COG,2186.07
2015,COG,41369.8
2016,COG,146374.0
2017,COG,144561.0
2018,COG,-22897.0
2019,COG,-113286.472
2020,COG,-25951.786
2010,COK,221.57
2011,COK,354.116
2012,COK,287.843
2013,COK,287.843
2014,COK,287.843
2015,COK,287.843
2016,COK,287.843
2017,COK,287.843
2018,COK,287.843
2019,COK,287.843
2020,COK,287.843
2010,COL,196.21
2011,COL,1247.549
2012,COL,33246.97
2013,COL,283284.346
2014,COL,893365.1
2015,COL,811217.955
2016,COL,1211159.649
2017,COL,1126158.72833
2018,COL,675065.97632
2019,COL,965064.0
2020,COL,749253.0
2010,COM,180498.0
2011,COM,608.665
2012,COM,4731.08
2013,COM,7344.66
2014,COM,7111.43
2015,COM,7933.81
2016,COM,3317.58
2017,COM,3208.57
2018,COM,1693.73
2019,COM,3329.53
2020,COM,4522.04
2010,CRI,-236025.92
2011,CRI,-115439.0
2012,CRI,-210383.935
2013,CRI,-206410.933
2014,CRI,-200295.937
2015,CRI,-301469.008
2016,CRI,-315457.593
2017,CRI,-346276.72
2018,CRI,-194903.0
2019,CRI,-293287.0
2020,CRI,-284600.0
2020,CYM,476.846
2010,CYP,29511.8
2011,CYP,69752.5
2012,CYP,-36.72999999999956
2013,CYP,-729512.9
2014,CYP,-959715.3
2015,CYP,-1016810.0
2016,CYP,-847651.0
2017,CYP,-29329.2
2018,CYP,15530.86
2019,CYP,39.809
2020,CYP,-299469.1290000001
2010,CZE,33446.899999999994
2011,CZE,44857.63
2012,CZE,81908.2
2013,CZE,142801.94
2014,CZE,208419.425
2015,CZE,91813.6
2016,CZE,17138.448
2017,CZE,-3600.899999999998
2018,CZE,14600.500000000002
2019,CZE,36517.7
2020,CZE,82285.90000000001
2011,Cape Verde,18.538
2012,Cape Verde,4.686333333333334
2013,Cape Verde,4.686333333333334
2014,Cape Verde,0.07
2015,Cape Verde,1.63
2016,Cape Verde,4.686333333333334
2017,Cape Verde,4.686333333333334
2018,Cape Verde,4.686333333333334
2019,Cape Verde,4.686333333333334
2020,Cape Verde,3.125
2015,"Congo, Dem. Rep.",1458.33
2016,"Congo, Dem. Rep.",1838.51
2017,"Congo, Dem. Rep.",1706.85
2018,"Congo, Dem. Rep.",1537.83
2019,"Congo, Dem. Rep.",14838.4
2020,"Congo, Dem. Rep.",5794.03
2010,DEU,-673819.5
2011,DEU,-723113.9
2012,DEU,-406756.2
2013,DEU,-399407.9
2014,DEU,-375321.4
2015,DEU,-284196.9
2016,DEU,-363486.0
2017,DEU,-340630.8
2018,DEU,-444292.0
2019,DEU,0.0
2020,DEU,233112.9
2010,DNK,10124.700000000004
2011,DNK,23901.980000000003
2012,DNK,99.20000000000071
2013,DNK,27443.357000000004
2014,DNK,15682.6
2015,DNK,89433.289
2016,DNK,120156.108
2017,DNK,29997.732
2018,DNK,-185.5
2019,DNK,231.647
2020,DNK,453.064
2010,DOM,19503.500000000004
2011,DOM,110518.1
2012,DOM,64004.0
2013,DOM,165039.59999999998
2014,DOM,411321.3
2015,DOM,348797.1
2016,DOM,107556.8
2017,DOM,282154.3
2018,DOM,188974.0
2019,DOM,409107.1
2020,DOM,-48169.4
2010,DZA,337617.0
2011,DZA,89483.1
2012,DZA,315166.85
2013,DZA,428960.44
2014,DZA,359878.0
2015,DZA,601110.0
2016,DZA,1240099.9
2017,DZA,792043.8232
2018,DZA,499938.2304571428
2019,DZA,499938.2304571428
2020,DZA,499938.2304571428
2010,ECU,92474.1
2011,ECU,604951.0
2012,ECU,657943.0
2013,ECU,922271.0
2014,ECU,891264.0
2015,ECU,38315.51
2016,ECU,0.913
2017,ECU,32211.3597
2018,ECU,-111523.0
2019,ECU,0.0
2020,ECU,-383387.88
2010,EGY,820357.2
2011,EGY,-351472.3
2012,EGY,-7556.900000000009
2013,EGY,806974.8
2014,EGY,-11160.0
2015,EGY,1428117.0
2016,EGY,-45240.4
2017,EGY,-577817.0
2018,EGY,-1445960.0
2019,EGY,-562720.4
2020,EGY,-937504.7
2010,ESP,-1541790.0
2011,ESP,-1099911.0
2012,ESP,80444.1
2013,ESP,-3904210.0
2014,ESP,-4697900.0
2015,ESP,-4832796.3
2016,ESP,-5416863.45
2017,ESP,-4819773.0
2018,ESP,-4102959.52
2019,ESP,-2345637.0
2020,ESP,246758.0
2010,EST,-208715.7
2011,EST,-426970.0
2012,EST,-343065.62
2013,EST,-342157.87
2014,EST,-358775.67
2015,EST,-31470.9
2016,EST,4027.2859
2017,EST,-93282.2
2018,EST,-60054.9
2019,EST,-150704.0
2020,EST,187353.0
2010,ETH,147301.0
2011,ETH,294560.0
2012,ETH,33906.9
2013,ETH,3115.33
2014,ETH,-5157.87622
2015,ETH,-7375.331
2016,ETH,-3492.677
2017,ETH,-17087.95
2018,ETH,-114634.09
2019,ETH,-31965.796
2020,ETH,-19977.027400000003
2013,East Timor,3196.42
2014,East Timor,2533.59
2015,East Timor,2533.59
2016,East Timor,2533.59
2017,East Timor,1870.76
2018,East Timor,2533.59
2019,East Timor,2533.59
2020,East Timor,2533.59
2010,FIN,14182.2
2011,FIN,16731.975
2012,FIN,7483.88
2013,FIN,2893.52
2014,FIN,1288.9250000000002
2015,FIN,1747.29
2016,FIN,4964.775000000001
2017,FIN,29868.65
2018,FIN,66467.45
2019,FIN,20492.082
2020,FIN,1913.19
2010,FJI,53844.99
2011,FJI,27485.7
2012,FJI,26116.428
2013,FJI,83650.0
2014,FJI,288945.875
2015,FJI,174518.412
2016,FJI,249029.118
2017,FJI,226205.583
2018,FJI,108912.3
2019,FJI,194839.4
2020,FJI,120150.714
2010,FRA,518613.0
2011,FRA,674629.0
2012,FRA,486178.0
2013,FRA,904154.0
2014,FRA,760167.0
2015,FRA,588917.0
2016,FRA,619940.0
2017,FRA,974660.0
2018,FRA,-626190.0
2019,FRA,1206261.0
2020,FRA,1376680.0
2010,GBR,164893.18
2011,GBR,193066.6
2012,GBR,161086.1
2013,GBR,266015.3
2014,GBR,960397.8
2015,GBR,868802.6
2016,GBR,571110.8
2017,GBR,548922.1
2018,GBR,899729.5
2019,GBR,571779.0
2020,GBR,256249.0
2010,GEO,134451.0
2011,GEO,77727.8
2012,GEO,217784.928
2013,GEO,147050.0
2014,GEO,33343.4
2015,GEO,94631.6
2016,GEO,189744.0
2017,GEO,306242.93
2018,GEO,475543.2
2019,GEO,595020.3
2020,GEO,561910.0
2010,GHA,2167190.0
2011,GHA,60268200.0
2012,GHA,3475250.0
2013,GHA,2770542.765
2014,GHA,3854621.4
2015,GHA,2786904.0
2016,GHA,2819060.0
2017,GHA,3313525.0
2018,GHA,3567519.0
2019,GHA,5220690.0
2020,GHA,6558423.018333334
2013,GIN,474027.0
2014,GIN,738522.0
2015,GIN,936459.0
2016,GIN,952033.0
2017,GIN,796003.6666666666
2018,GIN,796003.6666666666
2019,GIN,796003.6666666666
2020,GIN,796003.6666666666
2010,GRC,-709802.0
2011,GRC,-425003.7
2012,GRC,-1847783.0
2013,GRC,-1741201.0
2014,GRC,-3103067.0
2015,GRC,-2130937.0
2016,GRC,-1618846.5
2017,GRC,-1472346.7
2018,GRC,-878366.5
2019,GRC,-1502309.0
2020,GRC,-825150.0
2010,GRD,70.061
2011,GRD,0.006
2012,GRD,0.05
2013,GRD,8.316
2014,GRD,9.3703
2015,GRD,9.3703
2016,GRD,9.3703
2017,GRD,2.953
2018,GRD,9.3703
2019,GRD,9.3703
2020,GRD,0.499
2010,GRL,141.29500000000002
2011,GRL,40.945
2012,GRL,47.22291666666666
2013,GRL,27.567
2014,GRL,2.44
2015,GRL,84.888
2016,GRL,1.0
2017,GRL,47.22291666666666
2018,GRL,56.35
2019,GRL,47.22291666666666
2020,GRL,47.22291666666666
2010,GTM,173948.815
2011,GTM,173207.0
2012,GTM,132774.139
2013,GTM,90734.11
2014,GTM,96786.5
2015,GTM,295465.0
2016,GTM,381012.95
2017,GTM,383704.0
2018,GTM,464452.955
2019,GTM,419056.0
2020,GTM,-42789.1
2010,GUY,21.786
2011,GUY,95.0
2012,GUY,1900.51
2013,GUY,1639.14
2014,GUY,5.629
2015,GUY,9936.69
2016,GUY,28.636
2017,GUY,1082.76478125
2018,GUY,1082.76478125
2019,GUY,1082.76478125
2020,GUY,0.5
2011,"Gambia, The",0.018
2012,"Gambia, The",0.6
2013,"Gambia, The",1.033
2014,"Gambia, The",0.0
2015,"Gambia, The",895.135
2016,"Gambia, The",73.50621428571428
2017,"Gambia, The",1.72
2018,"Gambia, The",73.50621428571428
2019,"Gambia, The",0.5
2020,"Gambia, The",63.105
2010,HND,-24899.968
2011,HND,1.263
2012,HND,-186651.3
2013,HND,1282.5032000000035
2014,HND,-132253.983
2015,HND,-104472.984
2016,HND,27812.7
2017,HND,240832.988
2018,HND,125367.9
2019,HND,74885.7
2020,HND,19293.56
2010,HRV,-175435.518
2011,HRV,-103136.681
2012,HRV,-284436.152
2013,HRV,-327109.555
2014,HRV,-396054.16
2015,HRV,-350349.634
2016,HRV,-213653.11
2017,HRV,-496174.119
2018,HRV,-163715.78
2019,HRV,45353.61
2020,HRV,-21031.90000000001
2010,HUN,69174.9
2011,HUN,67748.6
2012,HUN,-155866.7
2013,HUN,59954.58
2014,HUN,124286.33
2015,HUN,-2252.0
2016,HUN,-16361.600000000002
2017,HUN,-70196.7
2018,HUN,10226.700000000004
2019,HUN,17517.3
2020,HUN,-29342.1
2010,"Hong Kong, China",176092.0
2011,"Hong Kong, China",702341.0
2012,"Hong Kong, China",326374.0
2013,"Hong Kong, China",343558.0
2014,"Hong Kong, China",804911.0
2015,"Hong Kong, China",555175.0
2016,"Hong Kong, China",552704.0
2017,"Hong Kong, China",260457.0
2018,"Hong Kong, China",397847.0
2019,"Hong Kong, China",109685.0
2020,"Hong Kong, China",89805.0
2010,IDN,-1315818.0
2011,IDN,-225860.0
2012,IDN,1666550.9
2013,IDN,144667.0
2014,IDN,1933248.0
2015,IDN,1603509.0
2016,IDN,-657854.0
2017,IDN,-2105741.7
2018,IDN,-4729972.4
2019,IDN,0.0
2020,IDN,-7834190.0
2010,IND,-789630.0
2011,IND,-1318779.3
2012,IND,-355235.0
2013,IND,-1881568.0
2014,IND,-3839792.2
2015,IND,-2187360.0
2016,IND,-3131757.0
2017,IND,-2593503.0
2018,IND,1123920.0
2019,IND,230094.0
2020,IND,232771.0
2010,IRL,15458.463
2011,IRL,23243.9
2012,IRL,5883.300000000003
2013,IRL,25004.000000000004
2014,IRL,17319.2
2015,IRL,26227.5
2016,IRL,58391.7
2017,IRL,100941.2
2018,IRL,70268.1
2019,IRL,-110686.3
2020,IRL,8931.0
2010,IRN,-727411.7
2011,IRN,-1360459.3
2012,IRN,-3616475.859714286
2013,IRN,-2837120.0
2014,IRN,-3311649.868
2015,IRN,-3173451.0
2016,IRN,-5095130.0
2017,IRN,-6047200.0
2018,IRN,-6253230.0
2019,IRN,-3616475.859714286
2020,IRN,-3616475.859714286
2014,IRQ,221696.0
2015,IRQ,221696.0
2016,IRQ,221696.0
2017,IRQ,221696.0
2018,IRQ,221696.0
2019,IRQ,221696.0
2020,IRQ,221696.0
2010,ISL,-5.325000000000003
2011,ISL,41.776
2012,ISL,68.57600000000001
2013,ISL,39.727
2014,ISL,93.226
2015,ISL,62.207
2016,ISL,442.862
2017,ISL,57.24
2018,ISL,78.237
2019,ISL,64.8129
2020,ISL,107.037
2010,ISR,-5645.973
2011,ISR,34778.0
2012,ISR,33427.6
2013,ISR,515038.0
2014,ISR,773621.0
2015,ISR,1089940.0
2016,ISR,1226760.0
2017,ISR,974134.46
2018,ISR,437530.0
2019,ISR,525709.0
2020,ISR,811979.0
2010,ITA,745003.8
2011,ITA,798786.3
2012,ITA,681907.8
2013,ITA,327980.0
2014,ITA,229951.0
2015,ITA,243026.0
2016,ITA,144957.0
2017,ITA,142101.0
2018,ITA,266201.0
2019,ITA,0.0
2020,ITA,-177010.0
2012,JAM,3.397
2013,JAM,-29804.31553875
2014,JAM,-113309.0
2015,JAM,-152478.756
2016,JAM,-39438.449
2017,JAM,-33452.2254
2018,JAM,48001.2
2019,JAM,0.0
2020,JAM,0.4
2010,JOR,841783.0
2011,JOR,580258.0
2012,JOR,-210037.2
2013,JOR,-410773.0
2014,JOR,-251551.0
2015,JOR,-56671.4
2016,JOR,249627.1658
2017,JOR,41654.868
2018,JOR,913566.7
2019,JOR,656384.94
2020,JOR,93892.6
2010,JPN,-4895917.0
2011,JPN,-4861860.0
2012,JPN,-4320980.305
2013,JPN,-3547455.0
2014,JPN,-3845922.0
2015,JPN,-4415230.0
2016,JPN,-5519072.81
2017,JPN,-5215346.0
2018,JPN,-4428706.0
2019,JPN,-4468678.0
2020,JPN,-6007190.0
2010,KAZ,-0.025
2011,KAZ,5886.37
2012,KAZ,16054.8
2013,KAZ,6815.9000000000015
2014,KAZ,-75741.8
2015,KAZ,17778.49
2016,KAZ,8155.803000000001
2017,KAZ,3770.97
2018,KAZ,10314.798
2019,KAZ,8501.8
2020,KAZ,-4667.93
2010,KEN,982844.26
2011,KEN,1261007.46375
2012,KEN,1261007.46375
2013,KEN,1346424.6
2014,KEN,1261007.46375
2015,KEN,1872596.0
2016,KEN,1940912.3
2017,KEN,-73602.2
2018,KEN,1919558.5
2019,KEN,1587700.4
2020,KEN,1732222.0
2010,KGZ,97.452
2011,KGZ,96.75
2012,KGZ,-1222.042875
2013,KGZ,-393.59
2014,KGZ,-1222.042875
2015,KGZ,557.6
2016,KGZ,-1222.042875
2017,KGZ,-138.31
2018,KGZ,-946.79
2019,KGZ,-5211.42
2020,KGZ,-7127.47
2010,KHM,9743.47
2011,KHM,17670.7
2012,KHM,4157.63
2013,KHM,1054.07
2014,KHM,52250.6
2015,KHM,5847.21
2016,KHM,166.317
2017,KHM,8803.99
2018,KHM,49904.7
2019,KHM,264167.0
2020,KHM,6037.95
2010,KIR,336.52
2011,KIR,2.0
2012,KIR,229.0
2013,KIR,493.0
2014,KIR,480.456
2015,KIR,-4.0
2016,KIR,480.456
2017,KIR,76.2671
2018,KIR,514.622
2019,KIR,261.4455666666667
2020,KIR,0.0
2010,KOR,-4672140.23
2011,KOR,-5475970.97
2012,KOR,-5669230.0
2013,KOR,-5513671.1
2014,KOR,-5568474.8
2015,KOR,-4492493.24
2016,KOR,-3135281.5
2017,KOR,-2212411.4
2018,KOR,-4285123.28
2019,KOR,-5435068.82
2020,KOR,-4238492.84
2010,KWT,512915.0
2011,KWT,507604.0
2012,KWT,1118087.7774
2013,KWT,621659.949
2014,KWT,1141650.0
2015,KWT,1270060.0
2016,KWT,1610920.0
2017,KWT,1106146.6
2018,KWT,1432420.175
2019,KWT,2116660.0
2020,KWT,1873226.0
2010,LAO,90220.9
2011,LAO,167876.947
2012,LAO,194115.0
2013,LAO,155258.465
2014,LAO,75537.7
2015,LAO,88058.5
2016,LAO,342459.0
2017,LAO,20434.4
2018,LAO,369744.771
2019,LAO,74890.17
2020,LAO,-28105.7
2010,LBN,-94084.4
2011,LBN,-122198.0
2012,LBN,-103722.0
2013,LBN,-109342.0
2014,LBN,-76106.0
2015,LBN,-35750.0
2016,LBN,-20403.7
2017,LBN,-12850.8
2018,LBN,-20350.2
2019,LBN,-34000.0
2020,LBN,-179857.0
2010,LBY,3500.0
2011,LBY,3500.0
2012,LBY,3500.0
2013,LBY,3500.0
2014,LBY,3500.0
2015,LBY,3500.0
2016,LBY,3500.0
2017,LBY,3500.0
2018,LBY,3500.0
2019,LBY,3500.0
2020,LBY,3500.0
2010,LKA,1095830.0
2011,LKA,2347230.0
2012,LKA,2337549.9
2013,LKA,2644145.312
2014,LKA,3077731.651
2015,LKA,2881709.5
2016,LKA,3084133.352
2017,LKA,3879580.631
2018,LKA,2355347.7263700003
2019,LKA,4411138.1604
2020,LKA,0.0
2010,LSO,4503.78
2011,LSO,5812.62
2012,LSO,3832.167
2013,LSO,2446.6
2014,LSO,1104.9057
2015,LSO,1018.0
2016,LSO,85.3939
2017,LSO,731.73
2018,LSO,214.0
2019,LSO,916.929
2020,LSO,15191.625
2010,LTU,176447.22
2011,LTU,227694.505
2012,LTU,173469.119
2013,LTU,24010.594
2014,LTU,16.689
2015,LTU,-3364.81
2016,LTU,25.712
2017,LTU,1213.44
2018,LTU,4.676
2019,LTU,34947.67
2020,LTU,27848.275
2010,LUX,19584.16
2011,LUX,30018.05
2012,LUX,34735.397000000004
2013,LUX,8826.795
2014,LUX,12384.167
2015,LUX,3427.001
2016,LUX,4000.883
2017,LUX,4988.478
2018,LUX,3972.485
2019,LUX,3616.919
2020,LUX,-5660.1
2010,LVA,-68644.165
2011,LVA,-194499.25
2012,LVA,-162401.34
2013,LVA,-26861.641000000003
2014,LVA,-1912.982
2015,LVA,-683.419
2016,LVA,-345.43500000000006
2017,LVA,-0.5700000000000001
2018,LVA,1.8
2019,LVA,-43385.8842
2020,LVA,-24352.38
2013,MAC,506412.0
2014,MAC,358716.875
2015,MAC,421965.0
2016,MAC,358716.875
2017,MAC,357462.0
2018,MAC,260389.0
2019,MAC,358716.875
2020,MAC,358716.875
2010,MAR,326063.1
2011,MAR,36234.80000000001
2012,MAR,-110818.5
2013,MAR,-898683.0
2014,MAR,-975057.7477999998
2015,MAR,-1638785.493
2016,MAR,-1517376.14
2017,MAR,-1960334.99
2018,MAR,-1491270.2
2019,MAR,-993390.0
2020,MAR,-1039784.0
2012,MDA,9472.18
2013,MDA,8476.24
2014,MDA,38.7199999999998
2015,MDA,3312.81375
2016,MDA,3312.81375
2017,MDA,3312.81375
2018,MDA,3312.81375
2019,MDA,3312.81375
2020,MDA,-0.04
2010,MDG,33200.0
2011,MDG,29553.8
2012,MDG,15417.2
2013,MDG,7642.8
2014,MDG,3458.4
2015,MDG,7212.81
2016,MDG,11519.7
2017,MDG,10824.9
2018,MDG,2651.8
2019,MDG,1117.0
