Year,prodinit_ippu_chemicals_tonne,iso_code3
2043,746721683.611438,"ASM"
2044,1530401569.75923,"ASM"
2045,3136548751.86435,"ASM"
2046,6428337677.65253,"ASM"
2047,13174839151.9069,"ASM"
2048,27001753078.722,"ASM"
2049,55339929460.8272,"ASM"
2050,113418850390.964,"ASM"
2021,336.8236,"ATG"
2022,317.121152155328,"ATG"
2023,298.571196152296,"ATG"
2024,281.106317147048,"ATG"
2025,264.663043717284,"ATG"
2026,249.181617192385,"ATG"
2027,234.605774476542,"ATG"
2028,220.88254357561,"ATG"
2029,207.962051084594,"ATG"
2030,195.797340936121,"ATG"
2031,184.344203751199,"ATG"
2032,173.561016172076,"ATG"
2033,163.408589593301,"ATG"
2034,153.850027741241,"ATG"
2035,144.850592584461,"ATG"
2036,136.377578087659,"ATG"
2037,128.400191350343,"ATG"
2038,120.889440698293,"ATG"
2039,113.818030321081,"ATG"
2040,107.160261072773,"ATG"
2041,100.891937075263,"ATG"
2042,94.9902777848411,"ATG"
2043,89.433835202413,"ATG"
2044,84.2024159264936,"ATG"
2045,79.2770077657022,"ATG"
2046,74.6397106440474,"ATG"
2047,70.2736715478981,"ATG"
2048,66.1630232782219,"ATG"
2049,62.2928267855029,"ATG"
2050,58.6490168777691,"ATG"
2021,5144778,"AUS"
2022,5059184.59439902,"AUS"
2023,4975015.20186185,"AUS"
2024,4892246.13115676,"AUS"
2025,4810854.08520183,"AUS"
2026,4730816.15450748,"AUS"
2027,4652109.81072814,"AUS"
2028,4574712.90032113,"AUS"
2029,4498603.63831115,"AUS"
2030,4423760.60215837,"AUS"
2031,4350162.72572869,"AUS"
2032,4277789.29336415,"AUS"
2033,4206619.93405216,"AUS"
2034,4136634.61569158,"AUS"
2035,4067813.63945433,"AUS"
2036,4000137.6342407,"AUS"
2037,3933587.55122695,"AUS"
2038,3868144.65850366,"AUS"
2039,3803790.53580322,"AUS"
2040,3740507.06931503,"AUS"
2041,3678276.44658705,"AUS"
2042,3617081.15151208,"AUS"
2043,3556903.95939746,"AUS"
2044,3497727.9321169,"AUS"
2045,3439536.41334281,"AUS"
2046,3382313.02385806,"AUS"
2047,3326041.65694571,"AUS"
2048,3270706.47385546,"AUS"
2049,3216291.89934545,"AUS"
2050,3162782.61729834,"AUS"
2021,2212046,"AUT"
2022,2306935.2719096,"AUT"
2023,2405894.97179563,"AUT"
2024,2509099.70721464,"AUT"
2025,2616731.57579522,"AUT"
2026,2728980.48653671,"AUT"
2027,2846044.49489051,"AUT"
2028,2968130.15221522,"AUT"
2029,3095452.87022228,"AUT"
2030,3228237.30105505,"AUT"
2031,3366717.73367197,"AUT"
2032,3511138.50723332,"AUT"
2033,3661754.44222073,"AUT"
2034,3818831.29005033,"AUT"
2035,3982646.20197282,"AUT"
2036,4153488.21808765,"AUT"
2037,4331658.77733437,"AUT"
2038,4517472.24936077,"AUT"
2039,4711256.48920645,"AUT"
2040,4913353.4157804,"AUT"
2041,5124119.61515328,"AUT"
2042,5343926.96972892,"AUT"
2043,5573163.31440515,"AUT"
2044,5812233.1208817,"AUT"
2045,6061558.21132256,"AUT"
2046,6321578.50263209,"AUT"
2047,6592752.78265799,"AUT"
2048,6875559.51969078,"AUT"
2049,7170497.70668808,"AUT"
2050,7478087.74171317,"AUT"
2021,104760.1,"AZE"
2022,116889.51371492,"AZE"
2023,130423.304449982,"AZE"
2024,145524.074855325,"AZE"
2025,162373.254165017,"AZE"
2026,181173.277990933,"AZE"
2027,202150.0204992,"AZE"
2028,225555.508190739,"AZE"
2029,251670.947890821,"AZE"
2030,280810.105327611,"AZE"
2031,313323.074891872,"AZE"
2032,349600.485869853,"AZE"
2033,390078.195685447,"AZE"
2034,435242.526538876,"AZE"
2035,485636.108357882,"AZE"
2036,541864.398261925,"AZE"
2037,604602.954867972,"AZE"
2038,674605.554835487,"AZE"
2039,752713.249167422,"AZE"
2040,839864.468074749,"AZE"
2041,937106.295810117,"AZE"
2042,1045607.05093289,"AZE"
2043,1166670.32315202,"AZE"
2044,1301750.63539332,"AZE"
2045,1452470.91926424,"AZE"
2046,1620642.01387609,"AZE"
2047,1808284.42229384,"AZE"
2048,2017652.58700776,"AZE"
2049,2251261.9760862,"AZE"
2050,2511919.30543791,"AZE"
2021,34240.96,"BDI"
2022,46087.9674115977,"BDI"
2023,62033.9131885464,"BDI"
2024,83496.9863417267,"BDI"
2025,112386.054172667,"BDI"
2026,151270.431735206,"BDI"
2027,203608.38972244,"BDI"
2028,274054.723648394,"BDI"
2029,368874.7386902,"BDI"
2030,496501.468875743,"BDI"
2031,668285.688174503,"BDI"
2032,899505.417436416,"BDI"
2033,1210724.70997791,"BDI"
2034,1629622.56250636,"BDI"
2035,2193454.60974218,"BDI"
2036,2952366.53915709,"BDI"
2037,3973853.91191612,"BDI"
2038,5348765.03435769,"BDI"
2039,7199380.75906079,"BDI"
2040,9690289.81101223,"BDI"
2041,13043026.8607793,"BDI"
2042,17555775.2150696,"BDI"
2043,23629886.4283437,"BDI"
2044,31805575.4175485,"BDI"
2045,42809965.7063087,"BDI"
2046,57621757.8118128,"BDI"
2047,77558272.2046871,"BDI"
2048,104392608.20577,"BDI"
2049,140511338.613147,"BDI"
2050,189126764.990312,"BDI"
2021,7997557,"BEL"
2022,7945027.20858516,"BEL"
2023,7892842.44490642,"BEL"
2024,7841000.44274236,"BEL"
2025,7789498.95075663,"BEL"
2026,7738335.73240015,"BEL"
2027,7687508.56581403,"BEL"
2028,7637015.24373304,"BEL"
2029,7586853.5733898,"BEL"
2030,7537021.37641951,"BEL"
2031,7487516.48876538,"BEL"
2032,7438336.76058463,"BEL"
2033,7389480.05615516,"BEL"
2034,7340944.25378276,"BEL"
2035,7292727.24570902,"BEL"
2036,7244826.93801975,"BEL"
2037,7197241.25055409,"BEL"
2038,7149968.11681414,"BEL"
2039,7103005.48387523,"BEL"
2040,7056351.31229677,"BEL"
2041,7010003.57603371,"BEL"
2042,6963960.2623485,"BEL"
2043,6918219.37172372,"BEL"
2044,6872778.91777525,"BEL"
2045,6827636.92716599,"BEL"
2046,6782791.43952016,"BEL"
2047,6738240.5073382,"BEL"
2048,6693982.19591215,"BEL"
2049,6650014.58324169,"BEL"
2050,6606335.75995061,"BEL"
2021,38908.98,"BEN"
2022,48358.3569979105,"BEN"
2023,60102.5956356953,"BEN"
2024,74699.0225971487,"BEN"
2025,92840.3160953563,"BEN"
2026,115387.377143736,"BEN"
2027,143410.183895063,"BEN"
2028,178238.567804488,"BEN"
2029,221525.321215968,"BEN"
2030,275324.631163258,"BEN"
2031,342189.561487113,"BEN"
2032,425293.209314462,"BEN"
2033,528579.285419865,"BEN"
2034,656949.264309531,"BEN"
2035,816494.985296323,"BEN"
2036,1014787.7427258,"BEN"
2037,1261237.58422446,"BEN"
2038,1567539.86758606,"BEN"
2039,1948230.26779895,"BEN"
2040,2421374.57225443,"BEN"
2041,3009425.99859319,"BEN"
2042,3740290.71948848,"BEN"
2043,4648652.15919294,"BEN"
2044,5777616.90677472,"BEN"
2045,7180760.35339336,"BEN"
2046,8924669.1300013,"BEN"
2047,11092100.9976831,"BEN"
2048,13785912.1442618,"BEN"
2049,17133938.2583157,"BEN"
2050,21295061.0135704,"BEN"
2021,47484.12,"BFA"
2022,49957.2621080354,"BFA"
2023,52559.2142663896,"BFA"
2024,55296.6853613043,"BFA"
2025,58176.7337017143,"BFA"
2026,61206.7852184251,"BFA"
2027,64394.6526111696,"BFA"
2028,67748.5554929119,"BFA"
2029,71277.1415833374,"BFA"
2030,74989.5090061759,"BFA"
2031,78895.2297478487,"BFA"
2032,83004.374337925,"BFA"
2033,87327.5378150255,"BFA"
2034,91875.8670451217,"BFA"
2035,96661.0894626701,"BFA"
2036,101695.543308687,"BFA"
2037,106992.209443728,"BFA"
2038,112564.744817808,"BFA"
2039,118427.51768354,"BFA"
2040,124595.644643317,"BFA"
2041,131085.029626027,"BFA"
2042,137912.404893826,"BFA"
2043,145095.374184683,"BFA"
2044,152652.458101944,"BFA"
2045,160603.141867949,"BFA"
2046,168967.925564823,"BFA"
2047,177768.37699199,"BFA"
2048,187027.187276691,"BFA"
2049,196768.229380903,"BFA"
2050,207016.619655493,"BFA"
2021,1565352,"BGD"
2022,1700641.11137611,"BGD"
2023,1847622.89229679,"BGD"
2024,2007307.90835516,"BGD"
2025,2180794.06557705,"BGD"
2026,2369274.15901687,"BGD"
2027,2574044.07375795,"BGD"
2028,2796511.69470305,"BGD"
2029,3038206.58641384,"BGD"
2030,3300790.50955251,"BGD"
2031,3586068.84623082,"BGD"
2032,3896003.0128209,"BGD"
2033,4232723.9455716,"BGD"
2034,4598546.75174987,"BGD"
2035,4995986.62704037,"BGD"
2036,5427776.14864268,"BGD"
2037,5896884.06296374,"BGD"
2038,6406535.69707946,"BGD"
2039,6960235.1343033,"BGD"
2040,7561789.30632893,"BGD"
2041,8215334.16759119,"BGD"
2042,8925363.13180576,"BGD"
2043,9696757.96620153,"BGD"
2044,10534822.3558574,"BGD"
2045,11445318.3689133,"BGD"
2046,12434506.0733702,"BGD"
2047,13509186.5778619,"BGD"
2048,14676748.7923242,"BGD"
2049,15945220.2300608,"BGD"
2050,17323322.2004939,"BGD"
2021,288502,"BGR"
2022,299204.035409072,"BGR"
2023,310303.064814363,"BGR"
2024,321813.814782083,"BGR"
2025,333751.558163156,"BGR"
2026,346132.134357759,"BGR"
2027,358971.970331563,"BGR"
2028,372288.102411593,"BGR"
2029,386098.198890596,"BGR"
2030,400420.583469928,"BGR"
2031,415274.259572057,"BGR"
2032,430678.93555495,"BGR"
2033,446655.050861778,"BGR"
2034,463223.803140666,"BGR"
2035,480407.176370442,"BGR"
2036,498227.970029719,"BGR"
2037,516709.82934802,"BGR"
2038,535877.276679055,"BGR"
2039,555755.744037813,"BGR"
2040,576371.606844615,"BGR"
2041,597752.21892091,"BGR"
2042,619925.948783244,"BGR"
2043,642922.21728357,"BGR"
2044,666771.536645821,"BGR"
2045,691505.550950558,"BGR"
2046,717157.078121402,"BGR"
2047,743760.153468963,"BGR"
2048,771350.074850035,"BGR"
2049,799963.449501981,"BGR"
2050,829638.242614451,"BGR"
2021,81549.26,"BHR"
2022,84655.0751797146,"BHR"
2023,87879.1757728167,"BHR"
2024,91226.0666961191,"BHR"
2025,94700.4244368327,"BHR"
2026,98307.1035868499,"BHR"
2027,102051.143625887,"BHR"
2028,105937.775962961,"BHR"
2029,109972.43124605,"BHR"
2030,114160.74695013,"BHR"
2031,118508.575254216,"BHR"
2032,123021.991218394,"BHR"
2033,127707.301272278,"BHR"
2034,132571.052026753,"BHR"
2035,137620.039421309,"BHR"
2036,142861.318219763,"BHR"
2037,148302.211867615,"BHR"
2038,153950.322724828,"BHR"
2039,159813.542688329,"BHR"
2040,165900.064219062,"BHR"
2041,172218.391789014,"BHR"
2042,178777.353764198,"BHR"
2043,185586.114740203,"BHR"
2044,192654.188347546,"BHR"
2045,199991.450544719,"BHR"
2046,207608.153417497,"BHR"
2047,215514.939503803,"BHR"
2048,223722.856664133,"BHR"
2049,232243.373518321,"BHR"
2050,241088.395470223,"BHR"
2021,41801.79,"BHS"
2022,45923.0642417115,"BHS"
2023,50450.6584370756,"BHS"
2024,55424.6320179703,"BHS"
2025,60888.9939099371,"BHS"
2026,66892.091916141,"BHS"
2027,73487.0404910272,"BHS"
2028,80732.1906885494,"BHS"
2029,88691.6464429958,"BHS"
2030,97435.8317503834,"BHS"
2031,107042.113768751,"BHS"
2032,117595.487350445,"BHS"
2033,129189.327063024,"BHS"
2034,141926.213352556,"BHS"
2035,155918.840159053,"BHS"
2036,171291.012014494,"BHS"
2037,188178.739445592,"BHS"
2038,206731.442373263,"BHS"
2039,227113.272156265,"BHS"
2040,249504.563976267,"BHS"
2041,274103.432414792,"BHS"
2042,301127.524339463,"BHS"
2043,330815.9446088,"BHS"
2044,363431.371633904,"BHS"
2045,399262.381515172,"BHS"
2046,438626.001317646,"BHS"
2047,481870.51407596,"BHS"
2048,529378.540347121,"BHS"
2049,581570.423576222,"BHS"
2050,638907.949228256,"BHS"
2021,132240.5,"BIH"
2022,132719.249263898,"BIH"
2023,133199.73174007,"BIH"
2024,133681.953703251,"BIH"
2025,134165.921450891,"BIH"
2026,134651.641303243,"BIH"
2027,135139.119603435,"BIH"
2028,135628.362717564,"BIH"
2029,136119.377034772,"BIH"
2030,136612.168967332,"BIH"
2031,137106.744950731,"BIH"
2032,137603.111443754,"BIH"
2033,138101.27492857,"BIH"
2034,138601.241910814,"BIH"
2035,139103.018919674,"BIH"
2036,139606.612507975,"BIH"
2037,140112.029252267,"BIH"
2038,140619.275752907,"BIH"
2039,141128.358634146,"BIH"
2040,141639.284544221,"BIH"
2041,142152.060155434,"BIH"
2042,142666.692164244,"BIH"
2043,143183.187291353,"BIH"
2044,143701.552281793,"BIH"
2045,144221.793905017,"BIH"
2046,144743.918954983,"BIH"
2047,145267.934250248,"BIH"
2048,145793.846634051,"BIH"
2049,146321.662974408,"BIH"
2050,146851.390164197,"BIH"
2021,698069.5,"BLR"
2022,716202.647152541,"BLR"
2023,734806.823372611,"BLR"
2024,753894.264174575,"BLR"
2025,773477.522904163,"BLR"
2026,793569.478994501,"BLR"
2027,814183.3464366,"BLR"
2028,835332.682469879,"BLR"
2029,857031.396498429,"BLR"
2030,879293.759238892,"BLR"
2031,902134.412105962,"BLR"
2032,925568.376841692,"BLR"
2033,949611.065394921,"BLR"
2034,974278.290057347,"BLR"
2035,999586.273862879,"BLR"
2036,1025551.66125714,"BLR"
2037,1052191.52904409,"BLR"
2038,1079523.39761709,"BLR"
2039,1107565.24248153,"BLR"
2040,1136335.506077,"BLR"
2041,1165853.10990635,"BLR"
2042,1196137.46697993,"BLR"
2043,1227208.49458308,"BLR"
2044,1259086.62737519,"BLR"
2045,1291792.83082913,"BLR"
2046,1325348.61501971,"BLR"
2047,1359776.04877031,"BLR"
2048,1395097.77416707,"BLR"
2049,1431337.02144998,"BLR"
2050,1468517.62429086,"BLR"
2021,13795.89,"BLZ"
2022,15612.2957431813,"BLZ"
2023,17667.8545836881,"BLZ"
2024,19994.0540920564,"BLZ"
2025,22626.5275810658,"BLZ"
2026,25605.5999458424,"BLZ"
2027,28976.9053708082,"BLZ"
2028,32792.0863656666,"BLZ"
2029,37109.584838436,"BLZ"
2030,41995.5373233869,"BLZ"
2031,47524.7880772117,"BLZ"
2032,53782.0355622904,"BLZ"
2033,60863.1298791721,"BLZ"
2034,68876.5410226735,"BLZ"
2035,77945.02045271,"BLZ"
2036,88207.4814322254,"BLZ"
2037,99821.1269357089,"BLZ"
2038,112963.857724143,"BLZ"
2039,127836.997473884,"BLZ"
2040,144668.376703685,"BLZ"
2041,163715.822740243,"BLZ"
2042,185271.109182439,"BLZ"
2043,209664.425363168,"BLZ"
2044,237269.434273101,"BLZ"
2045,268508.996424948,"BLZ"
2046,303861.647337802,"BLZ"
2047,343868.927865329,"BLZ"
2048,389143.679655622,"BLZ"
2049,440379.432814656,"BLZ"
2050,498361.029575972,"BLZ"
2021,1629.873,"BMU"
2022,1708.51320656483,"BMU"
2023,1790.94774685294,"BMU"
2024,1877.35969475276,"BMU"
2025,1967.94095733693,"BMU"
2026,2062.89270105707,"BMU"
2027,2162.42579850221,"BMU"
2028,2266.76129671301,"BMU"
2029,2376.13090809173,"BMU"
2030,2490.77752499833,"BMU"
2031,2610.95575917542,"BMU"
2032,2736.93250720007,"BMU"
2033,2868.98754321835,"BMU"
2034,3007.41414027874,"BMU"
2035,3152.5197216446,"BMU"
2036,3304.62654353184,"BMU"
2037,3464.07241078835,"BMU"
2038,3631.2114271043,"BMU"
2039,3806.41478141967,"BMU"
2040,3990.07157227532,"BMU"
2041,4182.58967193841,"BMU"
2042,4384.39663222131,"BMU"
2043,4595.94063400552,"BMU"
2044,4817.69148257954,"BMU"
2045,5050.14165100106,"BMU"
2046,5293.80737380055,"BMU"
2047,5549.22979345539,"BMU"
2048,5816.97616218047,"BMU"
2049,6097.64110170432,"BMU"
2050,6391.84792382864,"BMU"
2021,88970.04,"BOL"
2022,97028.363460541,"BOL"
2023,105816.557077313,"BOL"
2024,115400.727708346,"BOL"
2025,125852.969737861,"BOL"
2026,137251.90738718,"BOL"
2027,149683.286144592,"BOL"
2028,163240.617763076,"BOL"
2029,178025.883677685,"BOL"
2030,194150.302133869,"BOL"
2031,211735.164797261,"BOL"
2032,230912.749138094,"BOL"
2033,251827.313453425,"BOL"
2034,274636.18201195,"BOL"
2035,299510.928484136,"BOL"
2036,326638.666559697,"BOL"
2037,356223.457460744,"BOL"
2038,388487.84493827,"BOL"
2039,423674.529298545,"BOL"
2040,462048.193051873,"BOL"
2041,503897.491916642,"BOL"
2042,549537.22615549,"BOL"
2043,599310.708576869,"BOL"
2044,653592.34701469,"BOL"
2045,712790.460712048,"BOL"
2046,777350.351794549,"BOL"
2047,847757.65493756,"BOL"
2048,924541.990424388,"BOL"
2049,1008280.94807454,"BOL"
2050,1099604.43201009,"BOL"
2021,17500920,"BRA"
2022,17439600.0419917,"BRA"
2023,17378494.9376739,"BRA"
2024,17317603.9342394,"BRA"
2025,17256926.2815188,"BRA"
2026,17196461.2319708,"BRA"
2027,17136208.0406736,"BRA"
2028,17076165.9653155,"BRA"
2029,17016334.2661856,"BRA"
2030,16956712.2061649,"BRA"
2031,16897299.050717,"BRA"
2032,16838094.0678792,"BRA"
2033,16779096.5282538,"BRA"
2034,16720305.7049982,"BRA"
2035,16661720.8738169,"BRA"
2036,16603341.3129522,"BRA"
2037,16545166.3031751,"BRA"
2038,16487195.1277768,"BRA"
2039,16429427.0725596,"BRA"
2040,16371861.4258285,"BRA"
2041,16314497.4783817,"BRA"
2042,16257334.5235027,"BRA"
2043,16200371.856951,"BRA"
2044,16143608.7769536,"BRA"
2045,16087044.5841966,"BRA"
2046,16030678.581816,"BRA"
2047,15974510.07539,"BRA"
2048,15918538.3729294,"BRA"
2049,15862762.7848699,"BRA"
2050,15807182.6240633,"BRA"
2021,3758.148,"BRB"
2022,3643.38396621558,"BRB"
2023,3532.12452656914,"BRB"
2024,3424.26265990024,"BRB"
2025,3319.69461319545,"BRB"
2026,3218.31980178761,"BRB"
2027,3120.04071260288,"BRB"
2028,3024.76281036222,"BRB"
2029,2932.39444664736,"BRB"
2030,2842.84677174358,"BRB"
2031,2756.03364917461,"BRB"
2032,2671.87157284742,"BRB"
2033,2590.27958672715,"BRB"
2034,2511.17920696503,"BRB"
2035,2434.49434640422,"BRB"
2036,2360.15124139114,"BRB"
2037,2288.07838082169,"BRB"
2038,2218.20643735431,"BRB"
2039,2150.46820072357,"BRB"
2040,2084.79851309015,"BRB"
2041,2021.13420636513,"BRB"
2042,1959.41404144823,"BRB"
2043,1899.57864932146,"BRB"
2044,1841.57047394175,"BRB"
2045,1785.33371687741,"BRB"
2046,1730.81428363524,"BRB"
2047,1677.95973162673,"BRB"
2048,1626.71921972318,"BRB"
2049,1577.04345935129,"BRB"
2050,1528.8846670822,"BRB"
2021,246185,"BRN"
2022,357721.757981478,"BRN"
2023,519791.441937401,"BRN"
2024,755288.536643478,"BRN"
2025,1097480.11906234,"BRN"
2026,1594705.27262304,"BRN"
2027,2317203.62160589,"BRN"
2028,3367037.60636069,"BRN"
2029,4892510.15186585,"BRN"
2030,7109114.41585669,"BRN"
2031,10329975.0453185,"BRN"
2032,15010081.171136,"BRN"
2033,21810559.6359788,"BRN"
2034,31692067.8982969,"BRN"
2035,46050499.594399,"BRN"
2036,66914172.9627465,"BRN"
2037,97230357.6014395,"BRN"
2038,141281615.250136,"BRN"
2039,205290768.23422,"BRN"
2040,298299955.359235,"BRN"
2041,433447953.518297,"BRN"
2042,629826203.570645,"BRN"
2043,915175728.67596,"BRN"
2044,1329805920.44172,"BRN"
2045,1932288773.21766,"BRN"
2046,2807732952.3866,"BRN"
2047,4079806518.14797,"BRN"
2048,5928206673.42115,"BRN"
2049,8614044368.64043,"BRN"
2050,12516729674.3526,"BRN"
2021,3091.393,"BTN"
2022,3136.2624400435,"BTN"
2023,3181.78312910316,"BTN"
2024,3227.96451960988,"BTN"
2025,3274.81620119005,"BTN"
2026,3322.34790265693,"BTN"
2027,3370.56949403076,"BTN"
2028,3419.49098858834,"BTN"
2029,3469.12254494231,"BTN"
2030,3519.47446915054,"BTN"
2031,3570.55721685625,"BTN"
2032,3622.3813954591,"BTN"
2033,3674.95776631789,"BTN"
2034,3728.29724698508,"BTN"
2035,3782.41091347392,"BTN"
2036,3837.31000255836,"BTN"
2037,3893.00591410637,"BTN"
2038,3949.51021344714,"BTN"
2039,4006.83463377269,"BTN"
2040,4064.99107857421,"BTN"
2041,4123.99162411386,"BTN"
2042,4183.84852193244,"BTN"
2043,4244.57420139343,"BTN"
2044,4306.18127226394,"BTN"
2045,4368.68252733319,"BTN"
2046,4432.09094506891,"BTN"
2047,4496.41969231234,"BTN"
2048,4561.68212701237,"BTN"
2049,4627.8918009993,"BTN"
2050,4695.06246279894,"BTN"
2021,24789.61,"BWA"
2022,25285.8865344423,"BWA"
