Year,iso_code3,pij_lndu_forests_primary_to_forests_mangroves
2025,ALB,0.0
2026,ALB,0.0
2027,ALB,0.0
2028,ALB,0.0
2029,ALB,0.0
2030,ALB,0.0
2031,ALB,0.0
2032,ALB,0.0
2033,ALB,0.0
2034,ALB,0.0
2035,ALB,0.0
2036,ALB,0.0
2037,ALB,0.0
2038,ALB,0.0
2039,ALB,0.0
2040,ALB,0.0
2041,ALB,0.0
2042,ALB,0.0
2043,ALB,0.0
2044,ALB,0.0
2045,ALB,0.0
2046,ALB,0.0
2047,ALB,0.0
2048,ALB,0.0
2049,ALB,0.0
2050,ALB,0.0
2019,ARG,0.0
2020,ARG,0.0
2021,ARG,0.0
2022,ARG,0.0
2023,ARG,0.0
2024,ARG,0.0
2025,ARG,0.0
2026,ARG,0.0
2027,ARG,0.0
2028,ARG,0.0
2029,ARG,0.0
2030,ARG,0.0
2031,ARG,0.0
2032,ARG,0.0
2033,ARG,0.0
2034,ARG,0.0
2035,ARG,0.0
2036,ARG,0.0
2037,ARG,0.0
2038,ARG,0.0
2039,ARG,0.0
2040,ARG,0.0
2041,ARG,0.0
2042,ARG,0.0
2043,ARG,0.0
2044,ARG,0.0
2045,ARG,0.0
2046,ARG,0.0
2047,ARG,0.0
2048,ARG,0.0
2049,ARG,0.0
2050,ARG,0.0
2019,ATG,0.4922635126759699
2020,ATG,0.4921866071833458
2021,ATG,0.4921866071833458
2022,ATG,0.4921866071833458
2023,ATG,0.4921866071833458
2024,ATG,0.4921866071833458
2025,ATG,0.4921866071833458
2026,ATG,0.4921866071833458
2027,ATG,0.4921866071833458
2028,ATG,0.4921866071833458
2029,ATG,0.4921866071833458
2030,ATG,0.4921866071833458
2031,ATG,0.4921866071833458
2032,ATG,0.4921866071833458
2033,ATG,0.4921866071833458
2034,ATG,0.4921866071833458
2035,ATG,0.4921866071833458
2036,ATG,0.4921866071833458
2037,ATG,0.4921866071833458
2038,ATG,0.4921866071833458
2039,ATG,0.4921866071833458
2040,ATG,0.4921866071833458
2041,ATG,0.4921866071833458
2042,ATG,0.4921866071833458
2043,ATG,0.4921866071833458
2044,ATG,0.4921866071833458
2045,ATG,0.4921866071833458
2046,ATG,0.4921866071833458
2047,ATG,0.4921866071833458
2048,ATG,0.4921866071833458
2049,ATG,0.4921866071833458
2050,ATG,0.4921866071833458
2019,AUS,0.0
2020,AUS,1.0144417584285542e-06
2021,AUS,1.0144417584285542e-06
2022,AUS,1.0144417584285542e-06
2023,AUS,1.0144417584285542e-06
2024,AUS,1.0144417584285542e-06
2025,AUS,1.0144417584285542e-06
2026,AUS,1.0144417584285542e-06
2027,AUS,1.0144417584285542e-06
2028,AUS,1.0144417584285542e-06
2029,AUS,1.0144417584285542e-06
2030,AUS,1.0144417584285542e-06
2031,AUS,1.0144417584285542e-06
2032,AUS,1.0144417584285542e-06
2033,AUS,1.0144417584285542e-06
2034,AUS,1.0144417584285542e-06
2035,AUS,1.0144417584285542e-06
2036,AUS,1.0144417584285542e-06
2037,AUS,1.0144417584285542e-06
2038,AUS,1.0144417584285542e-06
2039,AUS,1.0144417584285542e-06
2040,AUS,1.0144417584285542e-06
2041,AUS,1.0144417584285542e-06
2042,AUS,1.0144417584285542e-06
2043,AUS,1.0144417584285542e-06
2044,AUS,1.0144417584285542e-06
2045,AUS,1.0144417584285542e-06
2046,AUS,1.0144417584285542e-06
2047,AUS,1.0144417584285542e-06
2048,AUS,1.0144417584285542e-06
2049,AUS,1.0144417584285542e-06
2050,AUS,1.0144417584285542e-06
2019,AUT,0.0
2020,AUT,0.0980304081621019
2021,AUT,0.0980304081621019
2022,AUT,0.0980304081621019
2023,AUT,0.0980304081621019
2024,AUT,0.0980304081621019
2025,AUT,0.0980304081621019
2026,AUT,0.0980304081621019
2027,AUT,0.0980304081621019
2028,AUT,0.0980304081621019
2029,AUT,0.0980304081621019
2030,AUT,0.0980304081621019
2031,AUT,0.0980304081621019
2032,AUT,0.0980304081621019
2033,AUT,0.0980304081621019
2034,AUT,0.0980304081621019
2035,AUT,0.0980304081621019
2036,AUT,0.0980304081621019
2037,AUT,0.0980304081621019
2038,AUT,0.0980304081621019
2039,AUT,0.0980304081621019
2040,AUT,0.0980304081621019
2041,AUT,0.0980304081621019
2042,AUT,0.0980304081621019
2043,AUT,0.0980304081621019
2044,AUT,0.0980304081621019
2045,AUT,0.0980304081621019
2046,AUT,0.0980304081621019
2047,AUT,0.0980304081621019
2048,AUT,0.0980304081621019
2049,AUT,0.0980304081621019
2050,AUT,0.0980304081621019
2019,AZE,0.0
2020,AZE,0.0980152215024725
2021,AZE,0.0980152215024725
2022,AZE,0.0980152215024725
2023,AZE,0.0980152215024725
2024,AZE,0.0980152215024725
2025,AZE,0.0980152215024725
2026,AZE,0.0980152215024725
2027,AZE,0.0980152215024725
2028,AZE,0.0980152215024725
2029,AZE,0.0980152215024725
2030,AZE,0.0980152215024725
2031,AZE,0.0980152215024725
2032,AZE,0.0980152215024725
2033,AZE,0.0980152215024725
2034,AZE,0.0980152215024725
2035,AZE,0.0980152215024725
2036,AZE,0.0980152215024725
2037,AZE,0.0980152215024725
2038,AZE,0.0980152215024725
2039,AZE,0.0980152215024725
2040,AZE,0.0980152215024725
2041,AZE,0.0980152215024725
2042,AZE,0.0980152215024725
2043,AZE,0.0980152215024725
2044,AZE,0.0980152215024725
2045,AZE,0.0980152215024725
2046,AZE,0.0980152215024725
2047,AZE,0.0980152215024725
2048,AZE,0.0980152215024725
2049,AZE,0.0980152215024725
2050,AZE,0.0980152215024725
2019,BDI,0.0
2020,BDI,0.1960592319055038
2021,BDI,0.1960592319055038
2022,BDI,0.1960592319055038
2023,BDI,0.1960592319055038
2024,BDI,0.1960592319055038
2025,BDI,0.1960592319055038
2026,BDI,0.1960592319055038
2027,BDI,0.1960592319055038
2028,BDI,0.1960592319055038
2029,BDI,0.1960592319055038
2030,BDI,0.1960592319055038
2031,BDI,0.1960592319055038
2032,BDI,0.1960592319055038
2033,BDI,0.1960592319055038
2034,BDI,0.1960592319055038
2035,BDI,0.1960592319055038
2036,BDI,0.1960592319055038
2037,BDI,0.1960592319055038
2038,BDI,0.1960592319055038
2039,BDI,0.1960592319055038
2040,BDI,0.1960592319055038
2041,BDI,0.1960592319055038
2042,BDI,0.1960592319055038
2043,BDI,0.1960592319055038
2044,BDI,0.1960592319055038
2045,BDI,0.1960592319055038
2046,BDI,0.1960592319055038
2047,BDI,0.1960592319055038
2048,BDI,0.1960592319055038
2049,BDI,0.1960592319055038
2050,BDI,0.1960592319055038
2019,BEL,0.0
2020,BEL,0.0
2021,BEL,0.0
2022,BEL,0.0
2023,BEL,0.0
2024,BEL,0.0
2025,BEL,0.0
2026,BEL,0.0
2027,BEL,0.0
2028,BEL,0.0
2029,BEL,0.0
2030,BEL,0.0
2031,BEL,0.0
2032,BEL,0.0
2033,BEL,0.0
2034,BEL,0.0
2035,BEL,0.0
2036,BEL,0.0
2037,BEL,0.0
2038,BEL,0.0
2039,BEL,0.0
2040,BEL,0.0
2041,BEL,0.0
2042,BEL,0.0
2043,BEL,0.0
2044,BEL,0.0
2045,BEL,0.0
2046,BEL,0.0
2047,BEL,0.0
2048,BEL,0.0
2049,BEL,0.0
2050,BEL,0.0
2019,BEN,0.0079747810017079
2020,BEN,0.2005269394356346
2021,BEN,0.2005269394356346
2022,BEN,0.2005269394356346
2023,BEN,0.2005269394356346
2024,BEN,0.2005269394356346
2025,BEN,0.2005269394356346
2026,BEN,0.2005269394356346
2027,BEN,0.2005269394356346
2028,BEN,0.2005269394356346
2029,BEN,0.2005269394356346
2030,BEN,0.2005269394356346
2031,BEN,0.2005269394356346
2032,BEN,0.2005269394356346
2033,BEN,0.2005269394356346
2034,BEN,0.2005269394356346
2035,BEN,0.2005269394356346
2036,BEN,0.2005269394356346
2037,BEN,0.2005269394356346
2038,BEN,0.2005269394356346
2039,BEN,0.2005269394356346
2040,BEN,0.2005269394356346
2041,BEN,0.2005269394356346
2042,BEN,0.2005269394356346
2043,BEN,0.2005269394356346
2044,BEN,0.2005269394356346
2045,BEN,0.2005269394356346
2046,BEN,0.2005269394356346
2047,BEN,0.2005269394356346
2048,BEN,0.2005269394356346
2049,BEN,0.2005269394356346
2050,BEN,0.2005269394356346
2019,BFA,0.4901503784302855
2020,BFA,0.4901474860965053
2021,BFA,0.4901474860965053
2022,BFA,0.4901474860965053
2023,BFA,0.4901474860965053
2024,BFA,0.4901474860965053
2025,BFA,0.4901474860965053
2026,BFA,0.4901474860965053
2027,BFA,0.4901474860965053
2028,BFA,0.4901474860965053
2029,BFA,0.4901474860965053
2030,BFA,0.4901474860965053
2031,BFA,0.4901474860965053
2032,BFA,0.4901474860965053
2033,BFA,0.4901474860965053
2034,BFA,0.4901474860965053
2035,BFA,0.4901474860965053
2036,BFA,0.4901474860965053
2037,BFA,0.4901474860965053
2038,BFA,0.4901474860965053
2039,BFA,0.4901474860965053
2040,BFA,0.4901474860965053
2041,BFA,0.4901474860965053
2042,BFA,0.4901474860965053
2043,BFA,0.4901474860965053
2044,BFA,0.4901474860965053
2045,BFA,0.4901474860965053
2046,BFA,0.4901474860965053
2047,BFA,0.4901474860965053
2048,BFA,0.4901474860965053
2049,BFA,0.4901474860965053
2050,BFA,0.4901474860965053
2019,BGD,0.0003161743008964
2020,BGD,0.0002190310875538
2021,BGD,0.0002190310875538
2022,BGD,0.0002190310875538
2023,BGD,0.0002190310875538
2024,BGD,0.0002190310875538
2025,BGD,0.0002190310875538
2026,BGD,0.0002190310875538
2027,BGD,0.0002190310875538
2028,BGD,0.0002190310875538
2029,BGD,0.0002190310875538
2030,BGD,0.0002190310875538
2031,BGD,0.0002190310875538
2032,BGD,0.0002190310875538
2033,BGD,0.0002190310875538
2034,BGD,0.0002190310875538
2035,BGD,0.0002190310875538
2036,BGD,0.0002190310875538
2037,BGD,0.0002190310875538
2038,BGD,0.0002190310875538
2039,BGD,0.0002190310875538
2040,BGD,0.0002190310875538
2041,BGD,0.0002190310875538
2042,BGD,0.0002190310875538
2043,BGD,0.0002190310875538
2044,BGD,0.0002190310875538
2045,BGD,0.0002190310875538
2046,BGD,0.0002190310875538
2047,BGD,0.0002190310875538
2048,BGD,0.0002190310875538
2049,BGD,0.0002190310875538
2050,BGD,0.0002190310875538
2019,BGR,0.0
2020,BGR,0.0980273530907867
2021,BGR,0.0980273530907867
2022,BGR,0.0980273530907867
2023,BGR,0.0980273530907867
2024,BGR,0.0980273530907867
2025,BGR,0.0980273530907867
2026,BGR,0.0980273530907867
2027,BGR,0.0980273530907867
2028,BGR,0.0980273530907867
2029,BGR,0.0980273530907867
2030,BGR,0.0980273530907867
2031,BGR,0.0980273530907867
2032,BGR,0.0980273530907867
2033,BGR,0.0980273530907867
2034,BGR,0.0980273530907867
2035,BGR,0.0980273530907867
2036,BGR,0.0980273530907867
2037,BGR,0.0980273530907867
2038,BGR,0.0980273530907867
2039,BGR,0.0980273530907867
2040,BGR,0.0980273530907867
2041,BGR,0.0980273530907867
2042,BGR,0.0980273530907867
2043,BGR,0.0980273530907867
2044,BGR,0.0980273530907867
2045,BGR,0.0980273530907867
2046,BGR,0.0980273530907867
2047,BGR,0.0980273530907867
2048,BGR,0.0980273530907867
2049,BGR,0.0980273530907867
2050,BGR,0.0980273530907867
2019,BHS,9.07299254109153e-05
2020,BHS,1.814598508218306e-05
2021,BHS,1.814598508218306e-05
2022,BHS,1.814598508218306e-05
2023,BHS,1.814598508218306e-05
2024,BHS,1.814598508218306e-05
2025,BHS,1.814598508218306e-05
2026,BHS,1.814598508218306e-05
2027,BHS,1.814598508218306e-05
2028,BHS,1.814598508218306e-05
2029,BHS,1.814598508218306e-05
2030,BHS,1.814598508218306e-05
2031,BHS,1.814598508218306e-05
2032,BHS,1.814598508218306e-05
2033,BHS,1.814598508218306e-05
2034,BHS,1.814598508218306e-05
2035,BHS,1.814598508218306e-05
2036,BHS,1.814598508218306e-05
2037,BHS,1.814598508218306e-05
2038,BHS,1.814598508218306e-05
2039,BHS,1.814598508218306e-05
2040,BHS,1.814598508218306e-05
2041,BHS,1.814598508218306e-05
2042,BHS,1.814598508218306e-05
2043,BHS,1.814598508218306e-05
2044,BHS,1.814598508218306e-05
2045,BHS,1.814598508218306e-05
2046,BHS,1.814598508218306e-05
2047,BHS,1.814598508218306e-05
2048,BHS,1.814598508218306e-05
2049,BHS,1.814598508218306e-05
2050,BHS,1.814598508218306e-05
2019,BIH,0.0
2020,BIH,0.0980271418652053
2021,BIH,0.0980271418652053
2022,BIH,0.0980271418652053
2023,BIH,0.0980271418652053
2024,BIH,0.0980271418652053
2025,BIH,0.0980271418652053
2026,BIH,0.0980271418652053
2027,BIH,0.0980271418652053
2028,BIH,0.0980271418652053
2029,BIH,0.0980271418652053
2030,BIH,0.0980271418652053
2031,BIH,0.0980271418652053
2032,BIH,0.0980271418652053
2033,BIH,0.0980271418652053
2034,BIH,0.0980271418652053
2035,BIH,0.0980271418652053
2036,BIH,0.0980271418652053
2037,BIH,0.0980271418652053
2038,BIH,0.0980271418652053
2039,BIH,0.0980271418652053
2040,BIH,0.0980271418652053
2041,BIH,0.0980271418652053
2042,BIH,0.0980271418652053
2043,BIH,0.0980271418652053
2044,BIH,0.0980271418652053
2045,BIH,0.0980271418652053
2046,BIH,0.0980271418652053
2047,BIH,0.0980271418652053
2048,BIH,0.0980271418652053
2049,BIH,0.0980271418652053
2050,BIH,0.0980271418652053
2019,BLR,0.0
2020,BLR,0.0
2021,BLR,0.0
2022,BLR,0.0
2023,BLR,0.0
2024,BLR,0.0
2025,BLR,0.0
2026,BLR,0.0
2027,BLR,0.0
2028,BLR,0.0
2029,BLR,0.0
2030,BLR,0.0
2031,BLR,0.0
2032,BLR,0.0
2033,BLR,0.0
2034,BLR,0.0
2035,BLR,0.0
2036,BLR,0.0
2037,BLR,0.0
2038,BLR,0.0
2039,BLR,0.0
2040,BLR,0.0
2041,BLR,0.0
2042,BLR,0.0
2043,BLR,0.0
2044,BLR,0.0
2045,BLR,0.0
2046,BLR,0.0
2047,BLR,0.0
2048,BLR,0.0
2049,BLR,0.0
2050,BLR,0.0
2019,BLZ,0.0
2020,BLZ,0.0014385714026267
2021,BLZ,0.0014385714026267
2022,BLZ,0.0014385714026267
2023,BLZ,0.0014385714026267
2024,BLZ,0.0014385714026267
2025,BLZ,0.0014385714026267
2026,BLZ,0.0014385714026267
2027,BLZ,0.0014385714026267
2028,BLZ,0.0014385714026267
2029,BLZ,0.0014385714026267
2030,BLZ,0.0014385714026267
2031,BLZ,0.0014385714026267
2032,BLZ,0.0014385714026267
2033,BLZ,0.0014385714026267
2034,BLZ,0.0014385714026267
2035,BLZ,0.0014385714026267
2036,BLZ,0.0014385714026267
2037,BLZ,0.0014385714026267
2038,BLZ,0.0014385714026267
2039,BLZ,0.0014385714026267
2040,BLZ,0.0014385714026267
2041,BLZ,0.0014385714026267
2042,BLZ,0.0014385714026267
2043,BLZ,0.0014385714026267
2044,BLZ,0.0014385714026267
2045,BLZ,0.0014385714026267
2046,BLZ,0.0014385714026267
2047,BLZ,0.0014385714026267
2048,BLZ,0.0014385714026267
2049,BLZ,0.0014385714026267
2050,BLZ,0.0014385714026267
2019,BOL,0.0
2020,BOL,0.0
2021,BOL,0.0
2022,BOL,0.0
2023,BOL,0.0
2024,BOL,0.0
2025,BOL,0.0
2026,BOL,0.0
2027,BOL,0.0
2028,BOL,0.0
2029,BOL,0.0
2030,BOL,0.0
2031,BOL,0.0
2032,BOL,0.0
2033,BOL,0.0
2034,BOL,0.0
2035,BOL,0.0
2036,BOL,0.0
2037,BOL,0.0
2038,BOL,0.0
2039,BOL,0.0
2040,BOL,0.0
2041,BOL,0.0
2042,BOL,0.0
2043,BOL,0.0
2044,BOL,0.0
2045,BOL,0.0
2046,BOL,0.0
2047,BOL,0.0
2048,BOL,0.0
2049,BOL,0.0
2050,BOL,0.0
2019,BRA,0.0
2020,BRA,3.4917978081977536e-05
2021,BRA,3.4917978081977536e-05
2022,BRA,3.4917978081977536e-05
2023,BRA,3.4917978081977536e-05
2024,BRA,3.4917978081977536e-05
2025,BRA,3.4917978081977536e-05
2026,BRA,3.4917978081977536e-05
2027,BRA,3.4917978081977536e-05
2028,BRA,3.4917978081977536e-05
2029,BRA,3.4917978081977536e-05
2030,BRA,3.4917978081977536e-05
2031,BRA,3.4917978081977536e-05
2032,BRA,3.4917978081977536e-05
2033,BRA,3.4917978081977536e-05
2034,BRA,3.4917978081977536e-05
2035,BRA,3.4917978081977536e-05
2036,BRA,3.4917978081977536e-05
2037,BRA,3.4917978081977536e-05
2038,BRA,3.4917978081977536e-05
2039,BRA,3.4917978081977536e-05
2040,BRA,3.4917978081977536e-05
2041,BRA,3.4917978081977536e-05
2042,BRA,3.4917978081977536e-05
2043,BRA,3.4917978081977536e-05
2044,BRA,3.4917978081977536e-05
2045,BRA,3.4917978081977536e-05
2046,BRA,3.4917978081977536e-05
2047,BRA,3.4917978081977536e-05
2048,BRA,3.4917978081977536e-05
2049,BRA,3.4917978081977536e-05
2050,BRA,3.4917978081977536e-05
2019,BRN,0.0
2020,BRN,0.1960621739828578
2021,BRN,0.1960621739828578
2022,BRN,0.1960621739828578
2023,BRN,0.1960621739828578
2024,BRN,0.1960621739828578
2025,BRN,0.1960621739828578
2026,BRN,0.1960621739828578
2027,BRN,0.1960621739828578
2028,BRN,0.1960621739828578
2029,BRN,0.1960621739828578
2030,BRN,0.1960621739828578
2031,BRN,0.1960621739828578
2032,BRN,0.1960621739828578
2033,BRN,0.1960621739828578
2034,BRN,0.1960621739828578
2035,BRN,0.1960621739828578
2036,BRN,0.1960621739828578
2037,BRN,0.1960621739828578
2038,BRN,0.1960621739828578
2039,BRN,0.1960621739828578
2040,BRN,0.1960621739828578
2041,BRN,0.1960621739828578
2042,BRN,0.1960621739828578
2043,BRN,0.1960621739828578
2044,BRN,0.1960621739828578
2045,BRN,0.1960621739828578
2046,BRN,0.1960621739828578
2047,BRN,0.1960621739828578
2048,BRN,0.1960621739828578
2049,BRN,0.1960621739828578
2050,BRN,0.1960621739828578
2019,BWA,0.4901482311217323
2020,BWA,0.4901483037097859
2021,BWA,0.4901483037097859
2022,BWA,0.4901483037097859
2023,BWA,0.4901483037097859
2024,BWA,0.4901483037097859
2025,BWA,0.4901483037097859
2026,BWA,0.4901483037097859
2027,BWA,0.4901483037097859
2028,BWA,0.4901483037097859
2029,BWA,0.4901483037097859
2030,BWA,0.4901483037097859
2031,BWA,0.4901483037097859
2032,BWA,0.4901483037097859
2033,BWA,0.4901483037097859
2034,BWA,0.4901483037097859
2035,BWA,0.4901483037097859
2036,BWA,0.4901483037097859
2037,BWA,0.4901483037097859
2038,BWA,0.4901483037097859
2039,BWA,0.4901483037097859
2040,BWA,0.4901483037097859
2041,BWA,0.4901483037097859
2042,BWA,0.4901483037097859
2043,BWA,0.4901483037097859
2044,BWA,0.4901483037097859
2045,BWA,0.4901483037097859
2046,BWA,0.4901483037097859
2047,BWA,0.4901483037097859
2048,BWA,0.4901483037097859
2049,BWA,0.4901483037097859
2050,BWA,0.4901483037097859
2019,CAF,0.0
2020,CAF,0.0
2021,CAF,0.0
2022,CAF,0.0
2023,CAF,0.0
2024,CAF,0.0
2025,CAF,0.0
2026,CAF,0.0
2027,CAF,0.0
2028,CAF,0.0
2029,CAF,0.0
2030,CAF,0.0
2031,CAF,0.0
2032,CAF,0.0
2033,CAF,0.0
2034,CAF,0.0
2035,CAF,0.0
2036,CAF,0.0
2037,CAF,0.0
2038,CAF,0.0
2039,CAF,0.0
2040,CAF,0.0
2041,CAF,0.0
2042,CAF,0.0
2043,CAF,0.0
2044,CAF,0.0
2045,CAF,0.0
2046,CAF,0.0
2047,CAF,0.0
2048,CAF,0.0
2049,CAF,0.0
2050,CAF,0.0
2019,CAN,0.0
2020,CAN,0.0
2021,CAN,0.0
2022,CAN,0.0
2023,CAN,0.0
2024,CAN,0.0
2025,CAN,0.0
2026,CAN,0.0
2027,CAN,0.0
2028,CAN,0.0
2029,CAN,0.0
2030,CAN,0.0
2031,CAN,0.0
2032,CAN,0.0
2033,CAN,0.0
2034,CAN,0.0
2035,CAN,0.0
2036,CAN,0.0
2037,CAN,0.0
2038,CAN,0.0
2039,CAN,0.0
2040,CAN,0.0
2041,CAN,0.0
2042,CAN,0.0
2043,CAN,0.0
2044,CAN,0.0
2045,CAN,0.0
2046,CAN,0.0
2047,CAN,0.0
2048,CAN,0.0
2049,CAN,0.0
2050,CAN,0.0
2019,CHE,0.0
2020,CHE,0.098044963719132
2021,CHE,0.098044963719132
2022,CHE,0.098044963719132
2023,CHE,0.098044963719132
2024,CHE,0.098044963719132
2025,CHE,0.098044963719132
2026,CHE,0.098044963719132
2027,CHE,0.098044963719132
2028,CHE,0.098044963719132
2029,CHE,0.098044963719132
2030,CHE,0.098044963719132
2031,CHE,0.098044963719132
2032,CHE,0.098044963719132
2033,CHE,0.098044963719132
2034,CHE,0.098044963719132
2035,CHE,0.098044963719132
2036,CHE,0.098044963719132
2037,CHE,0.098044963719132
2038,CHE,0.098044963719132
2039,CHE,0.098044963719132
2040,CHE,0.098044963719132
2041,CHE,0.098044963719132
2042,CHE,0.098044963719132
2043,CHE,0.098044963719132
2044,CHE,0.098044963719132
2045,CHE,0.098044963719132
2046,CHE,0.098044963719132
2047,CHE,0.098044963719132
2048,CHE,0.098044963719132
2049,CHE,0.098044963719132
2050,CHE,0.098044963719132
2019,CHL,0.0
2020,CHL,0.0
2021,CHL,0.0
2022,CHL,0.0
2023,CHL,0.0
2024,CHL,0.0
2025,CHL,0.0
2026,CHL,0.0
2027,CHL,0.0
2028,CHL,0.0
2029,CHL,0.0
2030,CHL,0.0
2031,CHL,0.0
2032,CHL,0.0
2033,CHL,0.0
2034,CHL,0.0
2035,CHL,0.0
2036,CHL,0.0
2037,CHL,0.0
2038,CHL,0.0
2039,CHL,0.0
2040,CHL,0.0
2041,CHL,0.0
2042,CHL,0.0
2043,CHL,0.0
2044,CHL,0.0
2045,CHL,0.0
2046,CHL,0.0
2047,CHL,0.0
2048,CHL,0.0
2049,CHL,0.0
2050,CHL,0.0
2019,CHN,9.047594374512108e-05
2020,CHN,6.585887820288648e-05
2021,CHN,6.585887820288648e-05
2022,CHN,6.585887820288648e-05
2023,CHN,6.585887820288648e-05
2024,CHN,6.585887820288648e-05
2025,CHN,6.585887820288648e-05
2026,CHN,6.585887820288648e-05
2027,CHN,6.585887820288648e-05
2028,CHN,6.585887820288648e-05
2029,CHN,6.585887820288648e-05
2030,CHN,6.585887820288648e-05
2031,CHN,6.585887820288648e-05
2032,CHN,6.585887820288648e-05
2033,CHN,6.585887820288648e-05
2034,CHN,6.585887820288648e-05
2035,CHN,6.585887820288648e-05
2036,CHN,6.585887820288648e-05
2037,CHN,6.585887820288648e-05
2038,CHN,6.585887820288648e-05
2039,CHN,6.585887820288648e-05
2040,CHN,6.585887820288648e-05
2041,CHN,6.585887820288648e-05
2042,CHN,6.585887820288648e-05
2043,CHN,6.585887820288648e-05
2044,CHN,6.585887820288648e-05
2045,CHN,6.585887820288648e-05
2046,CHN,6.585887820288648e-05
2047,CHN,6.585887820288648e-05
2048,CHN,6.585887820288648e-05
2049,CHN,6.585887820288648e-05
2050,CHN,6.585887820288648e-05
2019,CIV,0.0050716866153107
2020,CIV,0.0035124264841622
2021,CIV,0.0035124264841622
2022,CIV,0.0035124264841622
2023,CIV,0.0035124264841622
2024,CIV,0.0035124264841622
2025,CIV,0.0035124264841622
2026,CIV,0.0035124264841622
2027,CIV,0.0035124264841622
2028,CIV,0.0035124264841622
2029,CIV,0.0035124264841622
2030,CIV,0.0035124264841622
2031,CIV,0.0035124264841622
2032,CIV,0.0035124264841622
2033,CIV,0.0035124264841622
2034,CIV,0.0035124264841622
2035,CIV,0.0035124264841622
2036,CIV,0.0035124264841622
2037,CIV,0.0035124264841622
2038,CIV,0.0035124264841622
2039,CIV,0.0035124264841622
2040,CIV,0.0035124264841622
2041,CIV,0.0035124264841622
2042,CIV,0.0035124264841622
2043,CIV,0.0035124264841622
2044,CIV,0.0035124264841622
2045,CIV,0.0035124264841622
2046,CIV,0.0035124264841622
2047,CIV,0.0035124264841622
2048,CIV,0.0035124264841622
2049,CIV,0.0035124264841622
2050,CIV,0.0035124264841622
2019,CMR,0.00144879258282
2020,CMR,0.0008144179016418
2021,CMR,0.0008144179016418
2022,CMR,0.0008144179016418
2023,CMR,0.0008144179016418
2024,CMR,0.0008144179016418
2025,CMR,0.0008144179016418
2026,CMR,0.0008144179016418
2027,CMR,0.0008144179016418
2028,CMR,0.0008144179016418
2029,CMR,0.0008144179016418
2030,CMR,0.0008144179016418
2031,CMR,0.0008144179016418
2032,CMR,0.0008144179016418
2033,CMR,0.0008144179016418
2034,CMR,0.0008144179016418
2035,CMR,0.0008144179016418
2036,CMR,0.0008144179016418
2037,CMR,0.0008144179016418
2038,CMR,0.0008144179016418
2039,CMR,0.0008144179016418
2040,CMR,0.0008144179016418
2041,CMR,0.0008144179016418
2042,CMR,0.0008144179016418
2043,CMR,0.0008144179016418
2044,CMR,0.0008144179016418
2045,CMR,0.0008144179016418
2046,CMR,0.0008144179016418
2047,CMR,0.0008144179016418
2048,CMR,0.0008144179016418
2049,CMR,0.0008144179016418
2050,CMR,0.0008144179016418
2019,COD,0.0
2020,COD,0.0
2021,COD,0.0
2022,COD,0.0
